,actual_deaths,Baseline,AIpert-pwllnod,BPagano-RtDriven,CEID-Walk,CMU-TimeSeries,COVIDhub-baseline,COVIDhub-ensemble,COVIDhub-trained_ensemble,CU-select,Caltech-CS156,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,FDANIHASU-Sweight,GT-DeepCOVID,GT_CHHS-COVID19,Google_Harvard-CPF,IBF-TimeSeries,IHME-CurveFit,IowaStateLW-STEM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MIT_CritData-GBCF,MIT_ISOLAT-Mixtures,MOBS-GLEAM_COVID,Microsoft-DeepSTIA,OliverWyman-Navigator,PSI-DRAFT,QJHong-Encounter,RPI_UW-Mob_Collision,RobertWalraven-ESG,SigSci-TS,SteveMcConnell-CovidComplete,TTU-squider,UA-EpiCovDA,UCLA-SuEIR,UCM_MESALab-FoGSEIR,UCSD_NEU-DeepGLEAM,UChicagoCHATTOPADHYAY-UnIT,UMass-MechBayes,UMich-RidgeTfReg,USC-SI_kJalpha,UpstateSU-GRU,WalmartLabsML-LogForecasting,epiforecasts-ensemble1,error-Baseline,error-AIpert-pwllnod,error-BPagano-RtDriven,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-baseline,error-COVIDhub-ensemble,error-COVIDhub-trained_ensemble,error-CU-select,error-Caltech-CS156,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-FDANIHASU-Sweight,error-GT-DeepCOVID,error-GT_CHHS-COVID19,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IHME-CurveFit,error-IowaStateLW-STEM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MIT_CritData-GBCF,error-MIT_ISOLAT-Mixtures,error-MOBS-GLEAM_COVID,error-Microsoft-DeepSTIA,error-OliverWyman-Navigator,error-PSI-DRAFT,error-QJHong-Encounter,error-RPI_UW-Mob_Collision,error-RobertWalraven-ESG,error-SigSci-TS,error-SteveMcConnell-CovidComplete,error-TTU-squider,error-UA-EpiCovDA,error-UCLA-SuEIR,error-UCM_MESALab-FoGSEIR,error-UCSD_NEU-DeepGLEAM,error-UChicagoCHATTOPADHYAY-UnIT,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,error-UpstateSU-GRU,error-WalmartLabsML-LogForecasting,error-epiforecasts-ensemble1,beat_baseline-AIpert-pwllnod,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-baseline,beat_baseline-COVIDhub-ensemble,beat_baseline-COVIDhub-trained_ensemble,beat_baseline-CU-select,beat_baseline-Caltech-CS156,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-FDANIHASU-Sweight,beat_baseline-GT-DeepCOVID,beat_baseline-GT_CHHS-COVID19,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MIT_CritData-GBCF,beat_baseline-MIT_ISOLAT-Mixtures,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-Microsoft-DeepSTIA,beat_baseline-OliverWyman-Navigator,beat_baseline-PSI-DRAFT,beat_baseline-QJHong-Encounter,beat_baseline-RPI_UW-Mob_Collision,beat_baseline-RobertWalraven-ESG,beat_baseline-SigSci-TS,beat_baseline-SteveMcConnell-CovidComplete,beat_baseline-TTU-squider,beat_baseline-UA-EpiCovDA,beat_baseline-UCLA-SuEIR,beat_baseline-UCM_MESALab-FoGSEIR,beat_baseline-UCSD_NEU-DeepGLEAM,beat_baseline-UChicagoCHATTOPADHYAY-UnIT,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha,beat_baseline-UpstateSU-GRU,beat_baseline-WalmartLabsML-LogForecasting,beat_baseline-epiforecasts-ensemble1
New York,46703,47076.9,46956.6,46926.7,47058.5,47136.0,47086.3,46908.0,46713.0,46858.0,46994.3,46297.0,46249.6,47055.0,47486.9,,46633.2,,47003.5,,47258.5,46530.0,46565.7,47310.0,47016.3,46740.8,46465.0,47021.2,47067.0,45619.7,46910.6,47112.1,46901.4,47803.0,,46562.2,46834.7,48532.0,46838.0,45085.4,46472.0,47062.4,,46929.3,46870.2,46572.0,46916.6,46771.0,,45080.0,46779.0,373.9,253.6,223.7,355.5,433.0,383.3,205.0,10.0,155.0,291.3,-406.0,-453.4,352.0,783.9,,-69.8,,300.5,,555.5,-173.0,-137.3,607.0,313.3,37.8,-238.0,318.2,364.0,-1083.3,207.6,409.1,198.4,1100.0,,-140.8,131.7,1829.0,135.0,-1617.6,-231.0,359.4,,226.3,167.2,-131.0,213.6,68.0,,-1623.0,76.0,True,True,True,False,False,True,True,True,True,False,False,True,False,,True,,True,,False,True,True,False,True,True,True,True,True,False,True,False,True,False,,True,True,False,True,False,True,True,,True,True,True,True,True,,False,True
North Carolina,10896,11186.4,11089.2,11187.1,11212.4,11085.0,11204.1,11102.0,11025.0,10855.0,11095.8,11316.0,10698.4,10812.0,11066.0,,11031.6,,10888.7,,10729.5,11232.0,10755.1,11172.0,11143.0,10995.7,10985.0,11114.6,11140.0,11300.8,11146.5,11253.2,11120.9,11440.0,,11183.7,11026.5,,11102.0,11401.3,11020.0,11020.3,,11152.8,11473.2,11077.0,11248.2,10973.0,,10572.8,11198.0,290.4,193.2,291.1,316.4,189.0,308.1,206.0,129.0,-41.0,199.8,420.0,-197.6,-84.0,170.0,,135.6,,-7.3,,-166.5,336.0,-140.9,276.0,247.0,99.7,89.0,218.6,244.0,404.8,250.5,357.2,224.9,544.0,,287.7,130.5,,206.0,505.3,124.0,124.3,,256.8,577.2,181.0,352.2,77.0,,-323.2,302.0,True,False,False,True,False,True,True,True,True,False,True,True,True,,True,,True,,True,False,True,True,True,True,True,True,True,False,True,False,True,False,,True,True,,True,False,True,True,,True,False,True,False,True,,False,False
North Dakota,1467,1464.1,1484.1,1461.7,1461.4,1482.0,1465.4,1474.0,1470.0,1458.0,1473.1,1479.0,1476.0,1478.0,1491.4,,1465.8,,1474.8,,1473.1,1495.0,1603.1,1478.0,1467.9,1475.2,1457.0,1470.5,1485.0,1466.5,1462.8,1483.0,1465.7,1474.0,,,1469.0,1488.0,1479.0,1540.3,1466.0,1456.7,,1488.0,1489.1,1473.0,1490.2,1467.0,,1476.3,1483.0,-2.9,17.1,-5.3,-5.6,15.0,-1.6,7.0,3.0,-9.0,6.1,12.0,9.0,11.0,24.4,,-1.2,,7.8,,6.1,28.0,136.1,11.0,0.9,8.2,-10.0,3.5,18.0,-0.5,-4.2,16.0,-1.3,7.0,,,2.0,21.0,12.0,73.3,-1.0,-10.3,,21.0,22.1,6.0,23.2,0.0,,9.3,16.0,False,False,False,False,True,False,False,False,False,False,False,False,False,,True,,False,,False,False,False,False,True,False,False,False,False,True,False,False,True,False,,,True,False,False,False,True,False,,False,False,False,False,True,,False,False
Ohio,18015,12557.9,12709.6,12460.1,12714.3,12527.0,12713.9,12457.0,12356.0,12194.0,12462.2,12506.0,11989.3,12365.0,12824.2,,12469.9,,12255.5,,12166.5,12490.0,12791.3,12536.0,12797.2,12265.9,12290.0,12442.8,12572.0,12628.4,12535.5,12602.6,12510.0,12712.0,,12485.5,12345.2,12388.0,12456.0,14349.7,12235.0,12849.5,,12556.2,12869.6,12347.0,12434.5,12353.0,,12279.0,12599.0,360.9,512.6,263.1,517.3,330.0,516.9,260.0,159.0,-3.0,265.2,309.0,-207.7,168.0,627.2,,272.9,,58.5,,-30.5,293.0,594.3,339.0,600.2,68.9,93.0,245.8,375.0,431.4,338.5,405.6,313.0,515.0,,288.5,148.2,191.0,259.0,2152.7,38.0,652.5,,359.2,672.6,150.0,237.5,156.0,,82.0,402.0,False,True,False,True,False,True,True,True,True,True,True,True,False,,True,,True,,True,True,False,True,False,True,True,True,False,False,True,False,True,False,,True,True,True,True,False,True,False,,True,False,True,True,True,,True,False
Oklahoma,4155,4307.0,4447.9,4255.2,4296.3,4239.0,4275.0,4237.0,4188.0,4002.0,4224.5,4254.0,4021.7,4205.0,4222.7,,4172.1,,4100.4,,4137.8,4227.0,4615.9,4263.0,4319.0,4171.0,4287.0,4264.1,4290.0,4379.1,4235.5,4247.2,4250.2,4289.0,,,4235.2,4090.0,4196.0,3483.3,4201.0,4239.6,,4260.6,4457.2,4184.0,4256.8,4193.0,,4069.2,4290.0,152.0,292.9,100.2,141.3,84.0,120.0,82.0,33.0,-153.0,69.5,99.0,-133.3,50.0,67.7,,17.1,,-54.6,,-17.2,72.0,460.9,108.0,164.0,16.0,132.0,109.1,135.0,224.1,80.5,92.2,95.2,134.0,,,80.2,-65.0,41.0,-671.7,46.0,84.6,,105.6,302.2,29.0,101.8,38.0,,-85.8,135.0,False,True,True,True,True,True,True,False,True,True,True,True,True,,True,,True,,True,True,False,True,False,True,True,True,True,False,True,True,True,True,,,True,True,True,False,True,True,,True,False,True,True,True,,True,True
Oregon,2154,2145.6,2104.7,2135.5,2125.7,2156.0,2146.0,2146.0,2149.0,2134.0,2180.0,2163.0,2111.8,2160.0,2177.1,,2145.5,,2141.6,,2138.9,2283.0,2211.7,2143.0,2273.1,2152.9,2086.0,2121.8,2182.0,,2150.2,2166.1,2137.8,2116.0,,,2120.4,2157.0,2158.0,2359.0,2170.0,2156.6,,2173.7,2264.6,2145.0,2174.7,2135.0,,2141.3,2176.0,-8.4,-49.3,-18.5,-28.3,2.0,-8.0,-8.0,-5.0,-20.0,26.0,9.0,-42.2,6.0,23.1,,-8.5,,-12.4,,-15.1,129.0,57.7,-11.0,119.1,-1.1,-68.0,-32.2,28.0,,-3.8,12.1,-16.2,-38.0,,,-33.6,3.0,4.0,205.0,16.0,2.6,,19.7,110.6,-9.0,20.7,-19.0,,-12.7,22.0,False,False,False,True,True,True,True,False,False,False,False,True,False,,False,,False,,False,False,False,False,False,True,False,False,False,,True,False,False,False,,,False,True,True,False,False,True,,False,False,False,False,False,,False,False
Pennsylvania,23540,23899.9,23890.7,24073.0,23885.3,24260.0,23934.9,23891.0,23821.0,24026.0,23857.9,24104.0,23797.7,24305.0,24850.0,,23460.4,,23720.1,,24047.8,23690.0,24324.6,23842.0,23847.3,24111.9,23487.0,23694.4,23971.0,23783.9,24023.0,24222.0,23705.1,24209.0,,23890.7,23574.6,,23697.0,24650.1,23742.0,23715.0,,24020.1,23616.9,23790.0,24060.3,23781.0,,23801.8,23987.0,359.9,350.7,533.0,345.3,720.0,394.9,351.0,281.0,486.0,317.9,564.0,257.7,765.0,1310.0,,-79.6,,180.1,,507.8,150.0,784.6,302.0,307.3,571.9,-53.0,154.4,431.0,243.9,483.0,682.0,165.1,669.0,,350.7,34.6,,157.0,1110.1,202.0,175.0,,480.1,76.9,250.0,520.3,241.0,,261.8,447.0,True,False,True,False,False,True,True,False,True,False,True,False,False,,True,,True,,False,True,False,True,True,False,True,True,False,True,False,False,True,False,,True,True,,True,False,True,True,,False,True,True,False,True,,True,False
Rhode Island,2485,2319.7,2302.5,2319.2,2320.0,2325.0,2328.0,2324.0,2315.0,2377.0,2326.2,2361.0,2295.1,2342.0,2529.0,,2327.7,,2362.7,,2316.5,2370.0,2279.9,2322.0,2283.8,2319.8,2295.0,2292.8,2334.0,2218.4,2340.5,2358.9,2295.2,2314.0,,,2293.5,2355.0,2321.0,2260.8,2246.0,2303.0,,2363.3,2360.4,2317.0,2346.8,2305.0,,2230.5,2350.0,34.7,17.5,34.2,35.0,40.0,43.0,39.0,30.0,92.0,41.2,76.0,10.1,57.0,244.0,,42.7,,77.7,,31.5,85.0,-5.1,37.0,-1.2,34.8,10.0,7.8,49.0,-66.6,55.5,73.9,10.2,29.0,,,8.5,70.0,36.0,-24.2,-39.0,18.0,,78.3,75.4,32.0,61.8,20.0,,-54.5,65.0,True,True,False,False,False,False,True,False,False,False,True,False,False,,False,,False,,True,False,True,False,True,False,True,True,False,False,False,False,True,True,,,True,False,False,True,False,True,,False,False,True,False,True,,False,False
South Carolina,8256,8782.0,9076.2,8644.2,8799.7,8956.0,8804.9,8589.0,8471.0,8299.0,8481.6,8726.0,8103.3,8273.0,8372.2,,8618.9,,8575.6,,8111.7,8934.0,7906.3,8938.0,8356.9,8397.7,8369.0,8598.0,8650.0,8986.2,8692.1,8675.8,8579.6,8791.0,,8932.7,8423.0,8554.0,8402.0,8795.9,8535.0,8692.5,,8747.5,8738.1,8434.0,8660.5,8337.0,,8052.5,8797.0,526.0,820.2,388.2,543.7,700.0,548.9,333.0,215.0,43.0,225.6,470.0,-152.7,17.0,116.2,,362.9,,319.6,,-144.3,678.0,-349.7,682.0,100.9,141.7,113.0,342.0,394.0,730.2,436.1,419.8,323.6,535.0,,676.7,167.0,298.0,146.0,539.9,279.0,436.5,,491.5,482.1,178.0,404.5,81.0,,-203.5,541.0,False,True,False,False,False,True,True,True,True,True,True,True,True,,True,,True,,True,False,True,False,True,True,True,True,True,False,True,True,True,False,,False,True,True,True,False,True,True,,True,True,True,True,True,,True,False
South Dakota,1859,1866.6,1886.4,1865.2,1872.7,1920.0,1862.0,1867.0,1858.0,1828.0,1857.4,1883.0,1804.5,1875.0,1922.4,,1848.1,,1874.5,,1926.2,1885.0,1829.7,1884.0,1867.6,1865.5,1847.0,1851.3,1880.0,1835.7,1871.8,1883.5,1858.9,1853.0,,,1863.1,1851.0,1867.0,1854.4,1865.0,1848.4,,1896.9,1891.0,1871.0,1853.3,1858.0,,1890.4,1890.0,7.6,27.4,6.2,13.7,61.0,3.0,8.0,-1.0,-31.0,-1.6,24.0,-54.5,16.0,63.4,,-10.9,,15.5,,67.2,26.0,-29.3,25.0,8.6,6.5,-12.0,-7.7,21.0,-23.3,12.8,24.5,-0.1,-6.0,,,4.1,-8.0,8.0,-4.6,6.0,-10.6,,37.9,32.0,12.0,-5.7,-1.0,,31.4,31.0,False,True,False,False,True,False,True,False,True,False,False,False,False,,False,,False,,False,False,False,False,False,True,False,False,False,False,False,False,True,True,,,True,False,False,True,True,False,,False,False,False,True,True,,False,False
Tennessee,11115,11990.0,12282.9,11823.4,12238.3,11853.0,12241.2,11745.0,11450.0,11003.0,11423.9,11621.0,10673.2,11250.0,11584.6,,11761.5,,11380.6,,11207.7,11969.0,9930.3,11909.0,10833.9,11053.4,12141.0,11745.0,11563.0,,11720.7,11751.6,11964.2,11524.5,,11912.7,11637.5,,11574.0,10051.6,11314.0,12209.7,,11770.8,11847.7,11401.0,11920.0,11698.0,,10879.7,11931.0,875.0,1167.9,708.4,1123.3,738.0,1126.2,630.0,335.0,-112.0,308.9,506.0,-441.8,135.0,469.6,,646.5,,265.6,,92.7,854.0,-1184.7,794.0,-281.1,-61.6,1026.0,630.0,448.0,,605.7,636.6,849.2,409.5,,797.7,522.5,,459.0,-1063.4,199.0,1094.7,,655.8,732.7,286.0,805.0,583.0,,-235.3,816.0,False,True,False,True,False,True,True,True,True,True,True,True,True,,True,,True,,True,True,False,True,True,True,False,True,True,,True,True,True,True,,True,True,,True,False,True,False,,True,True,True,True,True,,True,True
Texas,42041,43496.9,43278.1,43260.5,43704.7,43251.0,43696.4,43212.0,43217.0,42904.0,43305.9,43692.0,42418.6,43367.0,42932.9,,,,42515.5,,41754.5,43387.0,45114.3,43868.0,42499.6,43656.8,42858.0,43280.7,43633.0,44463.0,43205.8,43849.2,43266.0,43154.5,,43956.6,42625.5,,42998.0,40572.4,42656.0,43119.2,,43229.7,43814.2,42663.0,43357.4,43195.0,,41474.2,43479.0,1455.9,1237.1,1219.5,1663.7,1210.0,1655.4,1171.0,1176.0,863.0,1264.9,1651.0,377.6,1326.0,891.9,,,,474.5,,-286.5,1346.0,3073.3,1827.0,458.6,1615.8,817.0,1239.7,1592.0,2422.0,1164.8,1808.2,1225.0,1113.5,,1915.6,584.5,,957.0,-1468.6,615.0,1078.2,,1188.7,1773.2,622.0,1316.4,1154.0,,-566.8,1438.0,True,True,False,True,False,True,True,True,True,False,True,True,True,,,,True,,True,True,False,False,True,False,True,True,False,False,True,False,True,True,,False,True,,True,False,True,True,,True,False,True,True,True,,True,True
Utah,1842,1867.9,1884.4,1851.5,1869.8,1873.0,1873.0,1856.0,1835.0,1806.0,1905.7,1874.0,1803.8,1857.0,1863.1,,1823.4,,1838.2,,1831.3,1948.0,2296.5,1901.0,1389.3,1849.3,1811.0,1851.1,1894.0,1883.2,1873.5,1888.1,1840.4,1898.0,,,1837.0,1845.0,1833.0,1555.6,1816.0,1868.4,,1897.1,1852.9,1839.0,1867.6,1835.0,,1278.1,1869.0,25.9,42.4,9.5,27.8,31.0,31.0,14.0,-7.0,-36.0,63.7,32.0,-38.2,15.0,21.1,,-18.6,,-3.8,,-10.7,106.0,454.5,59.0,-452.7,7.3,-31.0,9.1,52.0,41.2,31.5,46.1,-1.6,56.0,,,-5.0,3.0,-9.0,-286.4,-26.0,26.4,,55.1,10.9,-3.0,25.6,-7.0,,-563.9,27.0,False,True,False,False,False,True,True,False,False,False,False,True,True,,True,,True,,True,False,False,False,False,True,False,True,False,False,False,False,True,False,,,True,True,True,False,False,False,,False,True,True,True,True,,False,False
Vermont,196,199.7,191.2,190.3,200.6,190.0,200.0,200.0,197.0,183.0,212.9,187.0,188.4,208.0,194.6,,196.9,,205.0,,194.3,197.0,190.7,207.0,233.4,199.7,204.0,195.3,221.0,221.4,201.4,208.8,199.5,184.0,,,189.1,,194.0,228.9,203.0,200.0,,226.8,216.3,195.0,207.6,194.0,,193.6,198.0,3.7,-4.8,-5.7,4.6,-6.0,4.0,4.0,1.0,-13.0,16.9,-9.0,-7.6,12.0,-1.4,,0.9,,9.0,,-1.7,1.0,-5.3,11.0,37.4,3.7,8.0,-0.7,25.0,25.4,5.4,12.8,3.5,-12.0,,,-6.9,,-2.0,32.9,7.0,4.0,,30.8,20.3,-1.0,11.6,-2.0,,-2.4,2.0,False,False,False,False,False,False,True,False,False,False,False,False,True,,True,,False,,True,True,False,False,False,True,False,True,False,False,False,False,True,False,,,False,,True,False,False,False,,False,False,True,False,True,,True,True
Virginia,7197,7361.1,7762.5,7428.7,7423.9,7540.0,7421.4,7423.0,7370.0,7214.0,7484.3,7469.0,7247.6,7275.0,7571.7,,7361.1,,7406.6,,7478.7,7478.0,7405.1,7535.0,7647.5,7363.9,7236.0,7422.8,7495.0,7650.1,7338.7,7509.5,7402.7,7673.0,,7440.0,7482.6,,7691.0,8028.0,7246.0,7140.9,,7353.0,7618.4,7343.0,7491.2,7426.0,,7105.5,7490.0,164.1,565.5,231.7,226.9,343.0,224.4,226.0,173.0,17.0,287.3,272.0,50.6,78.0,374.7,,164.1,,209.6,,281.7,281.0,208.1,338.0,450.5,166.9,39.0,225.8,298.0,453.1,141.7,312.5,205.7,476.0,,243.0,285.6,,494.0,831.0,49.0,-56.1,,156.0,421.4,146.0,294.2,229.0,,-91.5,293.0,False,False,False,False,False,False,False,True,False,False,True,True,False,,True,,False,,False,False,False,False,False,False,True,False,False,False,True,False,False,False,,False,False,,False,False,True,True,,True,False,True,False,False,,True,False
Washington,4822,4753.6,4732.3,4785.6,4772.1,4715.0,4777.0,4764.0,4763.0,4724.0,4796.2,4862.0,4731.1,4734.0,4688.8,,4835.4,,4725.2,,4790.3,4873.0,4928.0,4818.0,4864.2,4766.8,4576.0,4691.4,4783.0,4797.2,4754.0,4786.9,4736.9,4991.0,,4724.1,4650.1,4723.0,4782.0,4864.5,4639.0,4787.3,,4752.6,4823.1,4722.0,4795.0,4715.0,,4654.9,4791.0,-68.4,-89.7,-36.4,-49.9,-107.0,-45.0,-58.0,-59.0,-98.0,-25.8,40.0,-90.9,-88.0,-133.2,,13.4,,-96.8,,-31.7,51.0,106.0,-4.0,42.2,-55.2,-246.0,-130.6,-39.0,-24.8,-68.0,-35.1,-85.1,169.0,,-97.9,-171.9,-99.0,-40.0,42.5,-183.0,-34.7,,-69.4,1.1,-100.0,-27.0,-107.0,,-167.1,-31.0,False,True,True,False,True,True,True,False,True,True,False,False,False,,True,,False,,True,True,False,True,True,True,False,False,True,True,True,True,False,False,,False,False,False,True,True,False,True,,False,True,False,True,False,,False,True
West Virginia,2254,2324.0,2292.5,2318.3,2335.7,2351.0,2327.0,2311.0,2297.0,2225.0,2313.4,2267.0,2307.7,2298.0,2356.1,,2266.2,,2283.6,,2315.2,2381.0,2245.3,2329.0,2380.6,2315.6,2251.0,2276.2,2303.0,2303.3,2315.8,2349.8,2284.2,2336.0,,,2278.4,2333.0,2285.0,2711.2,2269.0,2317.1,,2339.0,2384.8,2280.0,2308.1,2292.0,,2284.9,2316.0,70.0,38.5,64.3,81.7,97.0,73.0,57.0,43.0,-29.0,59.4,13.0,53.7,44.0,102.1,,12.2,,29.6,,61.2,127.0,-8.7,75.0,126.6,61.6,-3.0,22.2,49.0,49.3,61.8,95.8,30.2,82.0,,,24.4,79.0,31.0,457.2,15.0,63.1,,85.0,130.8,26.0,54.1,38.0,,30.9,62.0,True,True,False,False,False,True,True,True,True,True,True,True,False,,True,,True,,True,False,True,False,False,True,True,True,True,True,True,False,True,False,,,True,False,True,False,True,True,,False,False,True,True,True,,True,True
Wisconsin,6871,6945.4,7033.3,6944.5,6966.8,7050.0,6973.0,6955.0,6921.0,6906.0,6985.0,7015.0,6714.0,6940.0,7006.0,,6897.5,,6974.0,,6995.3,7179.0,7766.1,6980.0,7025.8,6955.2,6871.0,6894.5,7017.0,6934.3,6959.6,6972.6,6905.4,6981.0,,7028.2,6897.7,6899.0,6931.0,5704.8,6835.0,6908.0,,6977.5,7054.0,6857.0,6935.3,6858.0,,6949.2,7019.0,74.4,162.3,73.5,95.8,179.0,102.0,84.0,50.0,35.0,114.0,144.0,-157.0,69.0,135.0,,26.5,,103.0,,124.3,308.0,895.1,109.0,154.8,84.2,0.0,23.5,146.0,63.3,88.6,101.6,34.4,110.0,,157.2,26.7,28.0,60.0,-1166.2,-36.0,37.0,,106.5,183.0,-14.0,64.3,-13.0,,78.2,148.0,False,True,False,False,False,False,True,True,False,False,False,True,False,,True,,False,,False,False,False,False,False,False,True,True,False,True,False,False,True,False,,False,True,True,True,False,True,True,,False,False,True,True,True,,False,False
Wyoming,662,676.0,678.5,676.8,680.3,690.0,680.0,674.0,670.0,662.0,667.8,676.0,683.3,685.0,680.6,,673.8,,654.0,,708.4,687.0,726.9,680.0,664.0,668.4,680.0,651.3,682.0,,679.8,673.5,664.2,684.0,,,644.5,656.0,669.0,681.1,639.0,673.0,,704.3,691.5,660.0,670.4,658.0,,665.2,686.0,14.0,16.5,14.8,18.3,28.0,18.0,12.0,8.0,0.0,5.8,14.0,21.3,23.0,18.6,,11.8,,-8.0,,46.4,25.0,64.9,18.0,2.0,6.4,18.0,-10.7,20.0,,17.8,11.5,2.2,22.0,,,-17.5,-6.0,7.0,19.1,-23.0,11.0,,42.3,29.5,-2.0,8.4,-4.0,,3.2,24.0,False,False,False,False,False,True,True,True,True,False,False,False,False,,True,,True,,False,False,False,False,True,True,False,True,False,,False,True,True,False,,,False,True,True,False,False,True,,False,False,True,True,True,,True,False
US,499023,504615.4,504377.4,501262.8,507750.4,,507447.5,498362.0,497764.0,491766.0,497694.5,497395.0,480679.5,496487.0,506544.7,496534.4,499550.8,,,500985.0,488413.8,504188.0,494308.5,,489245.1,493484.7,495316.0,500737.2,502427.0,503728.1,499293.1,503287.0,497677.2,504494.5,498817.6,503476.1,497253.9,494883.0,492967.0,492256.9,491024.0,498006.4,516696.0,500518.3,503850.6,495106.0,501077.0,495392.0,497477.4,487032.7,501712.0,11762.4,11524.4,8409.8,14897.4,,14594.5,5509.0,4911.0,-1087.0,4841.5,4542.0,-12173.5,3634.0,13691.7,3681.4,6697.8,,,8132.0,-4439.2,11335.0,1455.5,,-3607.9,631.7,2463.0,7884.2,9574.0,10875.1,6440.1,10434.0,4824.2,11641.5,5964.6,10623.1,4400.9,2030.0,114.0,-596.1,-1829.0,5153.4,23843.0,7665.3,10997.6,2253.0,8224.0,2539.0,4624.4,-5820.3,8859.0,True,True,False,,False,True,True,True,True,True,False,True,False,True,True,,,True,True,True,True,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True
