,actual_deaths,Baseline,AIpert-pwllnod,BPagano-RtDriven,CEID-Walk,CMU-TimeSeries,COVIDhub-baseline,COVIDhub-ensemble,COVIDhub-trained_ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,FDANIHASU-Sweight,GT-DeepCOVID,GT_CHHS-COVID19,Geneva-DetGrowth,Google_Harvard-CPF,IBF-TimeSeries,IHME-CurveFit,IowaStateLW-STEM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MIT_CritData-GBCF,MIT_ISOLAT-Mixtures,MOBS-GLEAM_COVID,Microsoft-DeepSTIA,OliverWyman-Navigator,PSI-DRAFT,QJHong-Encounter,RPI_UW-Mob_Collision,RobertWalraven-ESG,SigSci-TS,TTU-squider,UA-EpiCovDA,UCM_MESALab-FoGSEIR,UCSD_NEU-DeepGLEAM,UMass-MechBayes,UMich-RidgeTfReg,USC-SI_kJalpha,UpstateSU-GRU,WalmartLabsML-LogForecasting,epiforecasts-ensemble1,error-Baseline,error-AIpert-pwllnod,error-BPagano-RtDriven,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-baseline,error-COVIDhub-ensemble,error-COVIDhub-trained_ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-FDANIHASU-Sweight,error-GT-DeepCOVID,error-GT_CHHS-COVID19,error-Geneva-DetGrowth,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IHME-CurveFit,error-IowaStateLW-STEM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MIT_CritData-GBCF,error-MIT_ISOLAT-Mixtures,error-MOBS-GLEAM_COVID,error-Microsoft-DeepSTIA,error-OliverWyman-Navigator,error-PSI-DRAFT,error-QJHong-Encounter,error-RPI_UW-Mob_Collision,error-RobertWalraven-ESG,error-SigSci-TS,error-TTU-squider,error-UA-EpiCovDA,error-UCM_MESALab-FoGSEIR,error-UCSD_NEU-DeepGLEAM,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,error-UpstateSU-GRU,error-WalmartLabsML-LogForecasting,error-epiforecasts-ensemble1,beat_baseline-AIpert-pwllnod,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-baseline,beat_baseline-COVIDhub-ensemble,beat_baseline-COVIDhub-trained_ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-FDANIHASU-Sweight,beat_baseline-GT-DeepCOVID,beat_baseline-GT_CHHS-COVID19,beat_baseline-Geneva-DetGrowth,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MIT_CritData-GBCF,beat_baseline-MIT_ISOLAT-Mixtures,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-Microsoft-DeepSTIA,beat_baseline-OliverWyman-Navigator,beat_baseline-PSI-DRAFT,beat_baseline-QJHong-Encounter,beat_baseline-RPI_UW-Mob_Collision,beat_baseline-RobertWalraven-ESG,beat_baseline-SigSci-TS,beat_baseline-TTU-squider,beat_baseline-UA-EpiCovDA,beat_baseline-UCM_MESALab-FoGSEIR,beat_baseline-UCSD_NEU-DeepGLEAM,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha,beat_baseline-UpstateSU-GRU,beat_baseline-WalmartLabsML-LogForecasting,beat_baseline-epiforecasts-ensemble1
Massachusetts,15779,15899.7,15855.4,15814.9,15922.4,15915.0,15927.0,15814.0,16114.0,15765.0,15815.0,15444.6,15777.0,,15856.9,,16031.5,15757.1,,15569.8,15840.0,15875.9,15844.0,15719.9,15700.3,15818.0,15823.3,15778.0,15948.6,15806.3,15850.6,15867.8,15694.0,,15813.5,15764.9,15906.0,17434.6,15810.0,,15818.3,15798.0,15817.6,15757.0,,15667.8,15893.0,120.7,76.4,35.9,143.4,136.0,148.0,35.0,335.0,-14.0,36.0,-334.4,-2.0,,77.9,,252.5,-21.9,,-209.2,61.0,96.9,65.0,-59.1,-78.7,39.0,44.3,-1.0,169.6,27.3,71.6,88.8,-85.0,,34.5,-14.1,127.0,1655.6,31.0,,39.3,19.0,38.6,-22.0,,-111.2,114.0,True,True,False,False,False,True,False,True,True,False,True,,True,,False,True,,False,True,True,True,True,True,True,True,True,False,True,True,True,True,,True,True,False,False,True,,True,True,True,True,,True,True
Michigan,16342,16346.1,16399.6,16345.9,16399.9,16378.0,16384.0,16356.0,16720.0,16370.0,16324.0,16228.1,16372.0,,16390.4,,16380.9,16368.9,,16321.9,16491.0,16718.3,16387.0,16271.5,16358.6,16320.0,16315.8,16449.0,16296.8,16369.5,16351.6,16344.2,16387.0,,16357.5,16333.6,16471.0,16353.0,16276.0,,16375.2,16309.0,16380.2,16346.0,,16287.1,16337.0,4.1,57.6,3.9,57.9,36.0,42.0,14.0,378.0,28.0,-18.0,-113.9,30.0,,48.4,,38.9,26.9,,-20.1,149.0,376.3,45.0,-70.5,16.6,-22.0,-26.2,107.0,-45.2,27.5,9.6,2.2,45.0,,15.5,-8.4,129.0,11.0,-66.0,,33.2,-33.0,38.2,4.0,,-54.9,-5.0,False,True,False,False,False,False,False,False,False,False,False,,False,,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,True,False,,False,False,False,False,False,,False,False,False,True,,False,False
Minnesota,6491,6510.0,6513.5,6500.3,6516.0,6518.0,6517.0,6517.0,6662.0,6549.0,6509.0,6476.9,6515.0,,6534.9,,6494.3,6533.3,,6512.7,6528.0,7254.9,6523.0,6517.4,6513.4,6496.0,6506.2,6553.0,6475.8,6522.2,6515.8,6504.3,6516.0,,6527.3,6497.5,6552.0,5890.5,6534.0,,6533.4,6506.0,6528.5,6507.0,,6492.3,6517.0,19.0,22.5,9.3,25.0,27.0,26.0,26.0,171.0,58.0,18.0,-14.1,24.0,,43.9,,3.3,42.3,,21.7,37.0,763.9,32.0,26.4,22.4,5.0,15.2,62.0,-15.2,31.2,24.8,13.3,25.0,,36.3,6.5,61.0,-600.5,43.0,,42.4,15.0,37.5,16.0,,1.3,26.0,False,True,False,False,False,False,False,False,True,True,False,,False,,True,False,,False,False,False,False,False,False,True,True,False,True,False,False,True,False,,False,True,False,False,False,,False,True,False,True,,True,False
Mississippi,6553,6627.4,6639.9,6638.9,6649.2,6650.0,6656.0,6624.0,6768.0,6624.0,6637.0,6512.5,6621.0,,6596.1,,6656.5,6604.2,,6573.6,6657.0,6500.5,6655.0,6588.3,6626.1,6604.0,6591.0,6705.0,6675.4,6672.9,6640.6,6620.3,6594.0,,6669.3,6605.4,6680.0,6511.1,6593.0,,6681.2,6614.0,6644.7,6645.0,,6612.6,6633.0,74.4,86.9,85.9,96.2,97.0,103.0,71.0,215.0,71.0,84.0,-40.5,68.0,,43.1,,103.5,51.2,,20.6,104.0,-52.5,102.0,35.3,73.1,51.0,38.0,152.0,122.4,119.9,87.6,67.3,41.0,,116.3,52.4,127.0,-41.9,40.0,,128.2,61.0,91.7,92.0,,59.6,80.0,False,False,False,False,False,True,False,True,False,True,True,,True,,False,True,,True,False,True,False,True,True,True,True,False,False,False,False,True,True,,False,True,False,True,True,,False,True,False,False,,True,False
Missouri,8059,8047.0,8078.8,8042.9,8097.4,8069.0,8088.0,8016.0,8220.0,8025.0,8070.0,7770.9,7944.0,,7961.3,,8105.3,8039.0,,7609.8,8207.0,7115.8,8021.0,7507.1,7962.0,7916.0,7951.1,8062.0,8054.6,8024.2,8023.0,8031.5,7994.0,,8041.0,7994.9,7947.0,7598.4,7948.0,,8051.8,7943.0,7989.3,7879.0,,7489.1,8102.0,-1.0,30.8,-5.1,49.4,21.0,40.0,-32.0,172.0,-23.0,22.0,-277.1,-104.0,,-86.7,,57.3,-9.0,,-438.2,159.0,-932.2,-27.0,-540.9,-86.0,-132.0,-96.9,14.0,6.6,-23.8,-25.0,-16.5,-54.0,,-7.0,-53.1,-101.0,-449.6,-100.0,,3.8,-105.0,-58.7,-169.0,,-558.9,54.0,False,False,False,False,False,False,False,False,False,False,False,,False,,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,False,False,,False,False,False,False,,False,False
Montana,1341,1338.1,1380.7,1373.8,1335.1,1346.0,1342.0,1363.0,1449.0,1367.0,1369.0,1397.2,1353.0,,1363.1,,1327.0,1359.5,,1340.0,1371.0,1466.8,1371.0,1363.5,1366.1,1339.0,1343.1,1387.0,1346.9,1370.9,1361.2,1338.9,1378.0,,,1344.1,1360.0,1162.1,1372.0,,1382.5,1352.0,1366.8,1348.0,,1361.9,1369.0,-2.9,39.7,32.8,-5.9,5.0,1.0,22.0,108.0,26.0,28.0,56.2,12.0,,22.1,,-14.0,18.5,,-1.0,30.0,125.8,30.0,22.5,25.1,-2.0,2.1,46.0,5.9,29.9,20.2,-2.1,37.0,,,3.1,19.0,-178.9,31.0,,41.5,11.0,25.8,7.0,,20.9,28.0,False,False,False,False,True,False,False,False,False,False,False,,False,,False,False,,True,False,False,False,False,False,True,True,False,False,False,False,True,False,,,False,False,False,False,,False,False,False,False,,False,False
Nebraska,2047,2031.1,2033.5,2032.8,2032.2,2042.0,2036.0,2036.0,2144.0,2055.0,2034.0,2013.6,2029.0,,2025.8,,2083.9,2051.9,,2044.2,2077.0,2022.3,2044.0,2066.2,2029.5,2029.0,2032.3,2093.0,2014.3,2035.9,2039.6,2036.6,2027.0,,,2028.7,2042.0,1863.0,2064.0,,2047.5,2030.0,2045.6,2027.0,,2043.5,2033.0,-15.9,-13.5,-14.2,-14.8,-5.0,-11.0,-11.0,97.0,8.0,-13.0,-33.4,-18.0,,-21.2,,36.9,4.9,,-2.8,30.0,-24.7,-3.0,19.2,-17.5,-18.0,-14.7,46.0,-32.7,-11.1,-7.4,-10.4,-20.0,,,-18.3,-5.0,-184.0,17.0,,0.5,-17.0,-1.4,-20.0,,-3.5,-14.0,True,True,True,True,True,True,False,True,True,False,False,,False,,False,True,,True,False,False,True,False,False,False,True,False,False,True,True,True,False,,,False,True,False,False,,True,False,True,False,,True,True
Nevada,4868,4871.0,4901.5,4880.7,4895.2,4888.0,4892.0,4864.0,4968.0,4840.0,4877.0,4768.4,4879.0,,4857.7,,4854.8,4847.6,,4868.3,4908.0,4620.3,4890.0,4804.0,4824.7,4844.0,4851.0,4916.0,4887.8,4881.2,4868.2,4866.4,4805.0,,4894.3,4834.9,4820.0,4592.7,4856.0,,4890.7,4840.0,4863.5,4880.0,,4851.5,4882.0,3.0,33.5,12.7,27.2,20.0,24.0,-4.0,100.0,-28.0,9.0,-99.6,11.0,,-10.3,,-13.2,-20.4,,0.3,40.0,-247.7,22.0,-64.0,-43.3,-24.0,-17.0,48.0,19.8,13.2,0.2,-1.6,-63.0,,26.3,-33.1,-48.0,-275.3,-12.0,,22.7,-28.0,-4.5,12.0,,-16.5,14.0,False,False,False,False,False,False,False,False,False,False,False,,False,,False,False,,True,False,False,False,False,False,False,False,False,False,False,True,True,False,,False,False,False,False,False,,False,False,False,False,,False,False
New Hampshire,1153,1157.9,1170.2,1166.3,1162.8,1162.0,1162.0,1166.0,1231.0,1164.0,1166.0,1165.7,1173.0,,1154.8,,1174.2,1159.4,,1159.2,1183.0,1196.5,1172.0,1197.3,1161.7,1159.0,1155.5,1184.0,,1183.9,1170.2,1158.9,1177.0,,,1155.7,1178.0,1220.4,1183.0,,1195.6,1163.0,1172.7,1162.0,,1156.0,1163.0,4.9,17.2,13.3,9.8,9.0,9.0,13.0,78.0,11.0,13.0,12.7,20.0,,1.8,,21.2,6.4,,6.2,30.0,43.5,19.0,44.3,8.7,6.0,2.5,31.0,,30.9,17.2,5.9,24.0,,,2.7,25.0,67.4,30.0,,42.6,10.0,19.7,9.0,,3.0,10.0,False,False,False,False,False,False,False,False,False,False,False,,True,,False,False,,False,False,False,False,False,False,False,True,False,,False,False,False,False,,,True,False,False,False,,False,False,False,False,,True,False
New Jersey,22834,22852.6,22912.0,22864.0,22916.7,22909.0,22916.0,22863.0,23164.0,23036.0,22840.0,22622.1,22920.0,,23090.4,,22780.7,22854.9,,22808.9,23036.0,22872.0,22933.0,22827.8,22844.4,22853.0,22834.8,22927.0,22860.1,22887.5,22894.2,22860.5,22647.0,,22827.8,22835.1,23197.0,22062.9,22796.0,,22893.1,22767.0,22898.5,22907.0,,22735.2,22870.0,18.6,78.0,30.0,82.7,75.0,82.0,29.0,330.0,202.0,6.0,-211.9,86.0,,256.4,,-53.3,20.9,,-25.1,202.0,38.0,99.0,-6.2,10.4,19.0,0.8,93.0,26.1,53.5,60.2,26.5,-187.0,,-6.2,1.1,363.0,-771.1,-38.0,,59.1,-67.0,64.5,73.0,,-98.8,36.0,False,False,False,False,False,False,False,False,True,False,False,,False,,False,False,,False,False,False,False,True,True,False,True,False,False,False,False,False,False,,True,True,False,False,False,,False,False,False,False,,False,False
New Mexico,3610,3640.4,3632.0,3615.1,3643.0,3643.0,3646.0,3624.0,3780.0,3609.0,3617.0,3551.9,3629.0,,3635.3,,3657.4,3617.4,,3575.2,3657.0,3815.4,3641.0,3602.4,3612.9,3605.0,3613.3,3632.0,3609.0,3616.2,3618.9,3650.7,3635.0,,,3605.2,3611.0,3582.8,3633.0,,3627.5,3615.0,3624.6,3607.0,,3623.4,3626.0,30.4,22.0,5.1,33.0,33.0,36.0,14.0,170.0,-1.0,7.0,-58.1,19.0,,25.3,,47.4,7.4,,-34.8,47.0,205.4,31.0,-7.6,2.9,-5.0,3.3,22.0,-1.0,6.2,8.9,40.7,25.0,,,-4.8,1.0,-27.2,23.0,,17.5,5.0,14.6,-3.0,,13.4,16.0,True,True,False,False,False,True,False,True,True,False,True,,True,,False,True,,False,False,False,False,True,True,True,True,True,True,True,True,False,True,,,True,True,True,True,,True,True,True,True,,True,True
New York,46703,46779.7,46843.9,46712.4,46843.1,46820.0,46838.0,46729.0,47236.0,46696.0,46615.0,46045.5,46781.0,,46793.8,,46782.9,46722.8,,47258.5,46838.0,46165.5,46904.0,46644.6,46670.6,46658.0,46738.7,46907.0,46821.6,46805.4,46766.3,46748.9,46403.5,,46643.9,46677.6,47521.0,45228.0,46498.0,,46813.6,46658.0,46759.4,46760.0,,45928.3,46729.0,76.7,140.9,9.4,140.1,117.0,135.0,26.0,533.0,-7.0,-88.0,-657.5,78.0,,90.8,,79.9,19.8,,555.5,135.0,-537.5,201.0,-58.4,-32.4,-45.0,35.7,204.0,118.6,102.4,63.3,45.9,-299.5,,-59.1,-25.4,818.0,-1475.0,-205.0,,110.6,-45.0,56.4,57.0,,-774.7,26.0,False,True,False,False,False,True,False,True,False,False,False,,False,,False,True,,False,False,False,False,True,True,True,True,False,False,False,True,True,False,,True,True,False,False,False,,False,True,True,True,,False,True
North Carolina,10896,10926.4,11051.1,11012.4,10981.6,10975.0,10980.0,10941.0,11231.0,10933.0,11023.0,10609.1,10852.0,,10919.1,,10927.6,10886.2,,10918.7,11047.0,10926.4,11050.0,11018.3,10926.1,10859.0,10901.6,11090.0,11001.4,11004.3,10987.1,10916.7,11187.0,,11036.1,10885.5,10941.0,11290.1,10846.0,,11006.0,10916.0,11018.6,10918.0,,10796.5,10975.0,30.4,155.1,116.4,85.6,79.0,84.0,45.0,335.0,37.0,127.0,-286.9,-44.0,,23.1,,31.6,-9.8,,22.7,151.0,30.4,154.0,122.3,30.1,-37.0,5.6,194.0,105.4,108.3,91.1,20.7,291.0,,140.1,-10.5,45.0,394.1,-50.0,,110.0,20.0,122.6,22.0,,-99.5,79.0,False,False,False,False,False,False,False,False,False,False,False,,True,,False,True,,True,False,True,False,False,True,False,True,False,False,False,False,True,False,,False,True,False,False,False,,False,True,False,True,,False,False
North Dakota,1467,1467.9,1471.6,1465.8,1467.5,1470.0,1469.0,1469.0,1541.0,1468.0,1464.0,1479.2,1471.0,,1470.8,,1471.0,1472.2,,1466.5,1479.0,1560.1,1473.0,1447.2,1470.7,1467.0,1466.7,1488.0,1466.3,1468.2,1469.7,1467.1,1466.0,,,1466.7,1477.0,1470.5,1482.0,,1479.9,1468.0,,1470.0,,1452.1,1469.0,0.9,4.6,-1.2,0.5,3.0,2.0,2.0,74.0,1.0,-3.0,12.2,4.0,,3.8,,4.0,5.2,,-0.5,12.0,93.1,6.0,-19.8,3.7,0.0,-0.3,21.0,-0.7,1.2,2.7,0.1,-1.0,,,-0.3,10.0,3.5,15.0,,12.9,1.0,,3.0,,-14.9,2.0,False,False,True,False,False,False,False,False,False,False,False,,False,,False,False,,True,False,False,False,False,False,True,True,False,True,False,False,True,False,,,True,False,False,False,,False,False,,False,,False,False
Ohio,18015,16429.1,16864.2,18546.2,21220.3,17135.0,21028.0,16943.0,19838.0,16654.0,18579.0,12687.7,16791.0,,,,23950.2,16943.5,,12307.6,16831.0,12469.6,16765.0,16861.6,16626.8,17257.0,17990.5,17100.0,19827.0,16763.6,17899.6,16613.7,17193.0,,16744.4,16703.7,16837.0,14139.2,16611.0,,16815.1,16767.0,17912.1,18288.0,,17025.1,48678.0,-195.9,239.2,1921.2,4595.3,510.0,4403.0,318.0,3213.0,29.0,1954.0,-3937.3,166.0,,,,7325.2,318.5,,-4317.4,206.0,-4155.4,140.0,236.6,1.8,632.0,1365.5,475.0,3202.0,138.6,1274.6,-11.3,568.0,,119.4,78.7,212.0,-2485.8,-14.0,,190.1,142.0,1287.1,1663.0,,400.1,32053.0,False,False,False,False,False,False,False,True,False,False,True,,,,False,False,,False,False,False,True,False,True,False,False,False,False,True,False,True,False,,True,True,False,False,True,,True,True,False,False,,False,False
Oklahoma,4155,4204.9,4238.9,4222.7,4222.2,4225.0,4227.0,4202.0,4381.0,4176.0,4182.0,4107.7,4201.0,,4172.6,,4197.2,4174.9,,4203.6,4271.0,4493.9,4237.0,4238.2,4179.8,4175.0,4178.9,4274.0,4295.5,4216.0,4202.3,4193.1,4257.0,,,4178.6,4153.0,3638.4,4189.0,,4225.2,4172.0,4216.9,4224.0,,4154.6,4218.0,49.9,83.9,67.7,67.2,70.0,72.0,47.0,226.0,21.0,27.0,-47.3,46.0,,17.6,,42.2,19.9,,48.6,116.0,338.9,82.0,83.2,24.8,20.0,23.9,119.0,140.5,61.0,47.3,38.1,102.0,,,23.6,-2.0,-516.6,34.0,,70.2,17.0,61.9,69.0,,-0.4,63.0,False,False,False,False,False,True,False,True,True,True,True,,True,,True,True,,True,False,False,False,False,True,True,True,False,False,False,True,True,False,,,True,True,False,True,,False,True,False,False,,True,False
Oregon,2154,2234.7,2177.0,2193.3,2250.6,2252.0,2254.0,2205.0,2345.0,2197.0,2187.0,2104.8,2192.0,,2203.0,,2282.7,2196.9,,2115.3,2225.5,2264.4,2205.0,2243.5,2207.5,2185.0,2207.2,2246.0,2196.4,2216.5,2205.6,2260.2,2213.0,,,2203.4,2205.0,2229.7,2231.0,,2228.2,2196.0,2205.0,2202.0,,2199.3,2306.0,80.7,23.0,39.3,96.6,98.0,100.0,51.0,191.0,43.0,33.0,-49.2,38.0,,49.0,,128.7,42.9,,-38.7,71.5,110.4,51.0,89.5,53.5,31.0,53.2,92.0,42.4,62.5,51.6,106.2,59.0,,,49.4,51.0,75.7,77.0,,74.2,42.0,51.0,48.0,,45.3,152.0,True,True,False,False,False,True,False,True,True,True,True,,True,,False,True,,True,True,False,True,False,True,True,True,False,True,True,True,False,True,,,True,True,True,True,,True,True,True,True,,True,False
Pennsylvania,23540,23621.3,23717.8,23632.0,23729.5,23711.0,23733.0,23700.0,24168.0,23696.0,23639.0,23146.1,23766.0,,23870.5,,23600.9,23604.5,,23719.1,23829.0,24320.9,23728.0,23741.5,23770.9,23474.0,23551.3,23853.0,23657.1,23838.4,23669.4,23569.0,23631.0,,23699.6,23550.6,23955.0,24677.7,23521.0,,23836.3,23622.0,23729.5,23739.0,,23717.0,23686.0,81.3,177.8,92.0,189.5,171.0,193.0,160.0,628.0,156.0,99.0,-393.9,226.0,,330.5,,60.9,64.5,,179.1,289.0,780.9,188.0,201.5,230.9,-66.0,11.3,313.0,117.1,298.4,129.4,29.0,91.0,,159.6,10.6,415.0,1137.7,-19.0,,296.3,82.0,189.5,199.0,,177.0,146.0,False,False,False,False,False,False,False,False,False,False,False,,False,,True,True,,False,False,False,False,False,False,True,True,False,False,False,False,True,False,,False,True,False,False,True,,False,False,False,False,,False,False
Rhode Island,2485,2356.9,2335.8,2345.1,2365.1,2365.0,2368.0,2344.0,2435.0,2344.0,2356.0,2287.1,2341.0,,2343.5,,2377.6,2361.4,,2321.0,2378.0,2296.7,2343.0,2284.0,2340.3,2338.0,2336.2,2354.0,2339.3,2361.1,2354.2,2353.0,2326.0,,,2337.1,2359.0,2293.1,2331.0,,2372.4,2335.0,2350.9,2344.0,,2261.9,2366.0,43.9,22.8,32.1,52.1,52.0,55.0,31.0,122.0,31.0,43.0,-25.9,28.0,,30.5,,64.6,48.4,,8.0,65.0,-16.3,30.0,-29.0,27.3,25.0,23.2,41.0,26.3,48.1,41.2,40.0,13.0,,,24.1,46.0,-19.9,18.0,,59.4,22.0,37.9,31.0,,-51.1,53.0,True,True,False,False,False,True,False,True,True,True,True,,True,,False,False,,True,False,True,True,True,True,True,True,True,True,False,True,True,True,,,True,False,True,True,,False,True,True,True,,False,False
South Carolina,8256,8295.4,8656.6,8339.4,8225.7,8215.0,8211.0,8293.0,8717.0,8272.0,8301.0,8126.5,8267.0,,8200.7,,8136.5,8395.0,,8235.4,8473.0,8920.5,8360.0,8310.0,8233.1,8372.0,8291.9,8390.0,8416.1,8261.1,8333.5,8291.3,8334.0,,8413.8,8235.1,8314.0,8480.6,8382.0,,8264.7,8320.0,8310.2,8210.0,,8205.0,8334.0,39.4,400.6,83.4,-30.3,-41.0,-45.0,37.0,461.0,16.0,45.0,-129.5,11.0,,-55.3,,-119.5,139.0,,-20.6,217.0,664.5,104.0,54.0,-22.9,116.0,35.9,134.0,160.1,5.1,77.5,35.3,78.0,,157.8,-20.9,58.0,224.6,126.0,,8.7,64.0,54.2,-46.0,,-51.0,78.0,False,False,True,False,False,True,False,True,False,False,True,,False,,False,False,,True,False,False,False,False,True,False,True,False,False,True,False,True,False,,False,True,False,False,False,,True,False,False,False,,False,False
South Dakota,1859,1874.0,1869.6,1866.4,1874.3,1869.0,1872.0,1868.0,1953.0,1860.0,1876.0,1868.3,1871.0,,1862.0,,1904.7,1871.0,,1854.0,1882.0,1915.6,1877.0,1871.1,1867.5,1863.0,1863.4,1880.0,1850.2,1866.3,1867.9,1873.6,1861.0,,,1861.2,1857.0,1600.3,1888.0,,1878.0,1871.0,,1861.0,,1881.0,1865.0,15.0,10.6,7.4,15.3,10.0,13.0,9.0,94.0,1.0,17.0,9.3,12.0,,3.0,,45.7,12.0,,-5.0,23.0,56.6,18.0,12.1,8.5,4.0,4.4,21.0,-8.8,7.3,8.9,14.6,2.0,,,2.2,-2.0,-258.7,29.0,,19.0,12.0,,2.0,,22.0,6.0,True,True,False,True,True,True,False,True,False,True,True,,True,,False,True,,True,False,False,False,True,True,True,True,False,True,True,True,True,True,,,True,True,False,False,,False,True,,True,,False,True
Tennessee,11115,11330.7,11757.6,11551.7,11303.5,11341.0,11341.0,11359.0,11704.0,11296.0,11545.0,11230.6,11273.0,,11205.1,,11076.4,11366.5,,11580.9,11904.0,10875.3,11586.0,10983.2,11271.1,11392.0,11346.0,11415.0,11687.9,11411.2,11439.6,11309.5,11385.0,,11637.4,11338.8,11185.0,10009.9,11267.0,,11409.4,11305.0,11499.9,11243.0,,11056.8,11359.0,215.7,642.6,436.7,188.5,226.0,226.0,244.0,589.0,181.0,430.0,115.6,158.0,,90.1,,-38.6,251.5,,465.9,789.0,-239.7,471.0,-131.8,156.1,277.0,231.0,300.0,572.9,296.2,324.6,194.5,270.0,,522.4,223.8,70.0,-1105.1,152.0,,294.4,190.0,384.9,128.0,,-58.2,244.0,False,False,True,False,False,False,False,True,False,True,True,,True,,True,False,,False,False,False,False,True,True,False,False,False,False,False,False,True,False,,False,False,True,False,True,,False,True,False,True,,True,False
Texas,42041,42945.3,43074.8,43004.0,43143.4,43090.0,43116.0,42950.0,44045.0,42768.0,43101.0,41510.9,43062.0,,42745.7,,42987.9,42739.4,,42123.1,43372.0,47026.9,43141.0,42746.1,43143.5,42765.0,42916.2,43330.0,43698.5,42985.8,43064.7,42658.2,43144.5,,43374.2,42722.6,43054.0,41458.8,42762.0,,42988.1,42654.0,42962.1,43101.0,,42398.1,42818.0,904.3,1033.8,963.0,1102.4,1049.0,1075.0,909.0,2004.0,727.0,1060.0,-530.1,1021.0,,704.7,,946.9,698.4,,82.1,1331.0,4985.9,1100.0,705.1,1102.5,724.0,875.2,1289.0,1657.5,944.8,1023.7,617.2,1103.5,,1333.2,681.6,1013.0,-582.2,721.0,,947.1,613.0,921.1,1060.0,,357.1,777.0,False,False,False,False,False,False,False,True,False,True,False,,True,,False,True,,True,False,False,False,True,False,True,True,False,False,False,False,True,False,,False,True,False,True,True,,False,True,False,False,,True,True
Utah,1842,1843.7,1858.3,1833.4,1847.5,1849.0,1847.0,1842.0,1920.0,1825.0,1848.0,1813.4,1847.0,,1831.8,,1838.1,1839.3,,1828.5,1870.0,2022.8,1862.0,1319.2,1839.8,1834.0,1840.3,1897.0,1854.6,1847.2,1850.9,1840.6,1864.0,,,1837.0,1842.0,1627.7,1860.0,,1858.4,1836.0,,1844.0,,1273.8,1842.0,1.7,16.3,-8.6,5.5,7.0,5.0,0.0,78.0,-17.0,6.0,-28.6,5.0,,-10.2,,-3.9,-2.7,,-13.5,28.0,180.8,20.0,-522.8,-2.2,-8.0,-1.7,55.0,12.6,5.2,8.9,-1.4,22.0,,,-5.0,0.0,-214.3,18.0,,16.4,-6.0,,2.0,,-568.2,0.0,False,False,False,False,False,True,False,False,False,False,False,,False,,False,False,,False,False,False,False,False,False,False,True,False,False,False,False,True,False,,,False,True,False,False,,False,False,,False,,False,True
Vermont,196,194.1,195.1,195.4,196.2,197.0,196.0,197.0,236.0,197.0,196.0,208.7,199.0,,197.4,,194.7,197.5,,199.1,202.0,216.6,198.0,214.3,195.6,195.0,192.2,207.0,194.4,197.4,197.8,193.9,190.0,,,193.1,201.0,217.3,211.0,,209.2,194.0,198.8,195.0,,194.5,195.0,-1.9,-0.9,-0.6,0.2,1.0,0.0,1.0,40.0,1.0,0.0,12.7,3.0,,1.4,,-1.3,1.5,,3.1,6.0,20.6,2.0,18.3,-0.4,-1.0,-3.8,11.0,-1.6,1.4,1.8,-2.1,-6.0,,,-2.9,5.0,21.3,15.0,,13.2,-2.0,2.8,-1.0,,-1.5,-1.0,True,True,True,True,True,True,False,True,True,False,False,,True,,True,True,,False,False,False,False,False,True,True,False,False,True,True,True,False,False,,,False,False,False,False,,False,False,False,True,,True,True
