,actual_cases,COVIDhub-baseline,BPagano-RtDriven,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,Google_Harvard-CPF,IBF-TimeSeries,IEM_MED-CovidProject,IQVIA_ACOE-STAN,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,JHU_UNC_GAS-StatMechPool,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,Microsoft-DeepSTIA,OneQuietNight-ML,QJHong-Encounter,RobertWalraven-ESG,TTU-squider,UCF-AEM,UCLA-SuEIR,UCSB-ACTS,UMich-RidgeTfReg,USC-SI_kJalpha,UVA-Ensemble,Wadhwani_AI-BayesOpt,error-COVIDhub-baseline,error-BPagano-RtDriven,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IEM_MED-CovidProject,error-IQVIA_ACOE-STAN,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-JHU_UNC_GAS-StatMechPool,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-Microsoft-DeepSTIA,error-OneQuietNight-ML,error-QJHong-Encounter,error-RobertWalraven-ESG,error-TTU-squider,error-UCF-AEM,error-UCLA-SuEIR,error-UCSB-ACTS,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,error-UVA-Ensemble,error-Wadhwani_AI-BayesOpt,beat_baseline-BPagano-RtDriven,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IEM_MED-CovidProject,beat_baseline-IQVIA_ACOE-STAN,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-JHU_UNC_GAS-StatMechPool,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-Microsoft-DeepSTIA,beat_baseline-OneQuietNight-ML,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-TTU-squider,beat_baseline-UCF-AEM,beat_baseline-UCLA-SuEIR,beat_baseline-UCSB-ACTS,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha,beat_baseline-UVA-Ensemble,beat_baseline-Wadhwani_AI-BayesOpt
New Jersey,143479,138040.0,139355.6,146780.0,140907.0,,145558.1,218713.0,107912.6,179485.2,,162723.2,111505.0,149810.0,157038.7,148769.2,166233.0,126597.4,167856.0,171512.0,129166.0,126470.6,137724.8,123162.0,,133245.5,271985.9,,154168.7,207688.5,,164959.0,189659.4,164343.4,-5439.0,-4123.4,3301.0,-2572.0,,2079.1,75234.0,-35566.4,36006.2,,19244.2,-31974.0,6331.0,13559.7,5290.2,22754.0,-16881.6,24377.0,28033.0,-14313.0,-17008.4,-5754.2,-20317.0,,-10233.5,128506.9,,10689.7,64209.5,,21480.0,46180.4,20864.4,True,True,True,,True,False,False,False,,False,False,False,False,True,False,False,False,False,False,False,False,False,,False,False,,False,False,,False,False,False
New Mexico,36596,46008.0,39080.2,39122.0,38267.0,,44811.1,41636.0,32247.6,50965.5,,39768.9,56387.0,53464.0,64890.3,23123.8,39233.0,28882.3,59887.5,36388.0,43827.5,41925.7,41486.2,30368.0,,35872.2,15759.2,,29196.7,82975.2,,38576.0,59443.8,36593.2,9412.0,2484.2,2526.0,1671.0,,8215.1,5040.0,-4348.4,14369.5,,3172.9,19791.0,16868.0,28294.3,-13472.2,2637.0,-7713.7,23291.5,-208.0,7231.5,5329.7,4890.2,-6228.0,,-723.8,-20836.8,,-7399.3,46379.2,,1980.0,22847.8,-2.8,True,True,True,,True,True,True,False,,True,False,False,False,False,True,True,False,True,True,True,True,True,,True,False,,True,False,,True,False,True
New York,345056,275364.0,358714.8,316152.0,273887.0,,369129.5,538921.0,234918.4,335048.1,,482560.1,268739.0,293608.0,409856.2,743560.9,290439.0,335118.6,362529.5,554384.0,284770.5,310577.1,325879.8,281850.0,,361074.6,402048.8,,236446.7,417413.0,,329365.0,303026.7,441315.6,-69692.0,13658.8,-28904.0,-71169.0,,24073.5,193865.0,-110137.6,-10007.9,,137504.1,-76317.0,-51448.0,64800.2,398504.9,-54617.0,-9937.4,17473.5,209328.0,-60285.5,-34478.9,-19176.2,-63206.0,,16018.6,56992.8,,-108609.3,72357.0,,-15691.0,-42029.3,96259.6,True,True,False,,True,False,False,True,,False,False,True,True,False,True,True,True,False,True,True,True,True,,True,True,,False,False,,True,True,False
North Carolina,184579,164896.0,192995.3,194943.0,198433.0,,183020.7,187082.0,136430.1,171639.8,,325757.7,166807.0,194558.0,203358.8,223529.0,187463.0,129929.9,194028.5,251914.7,207992.5,202648.3,182863.8,156310.0,,214642.3,125945.5,,129710.1,188591.0,,232970.0,248418.7,212032.8,-19683.0,8416.3,10364.0,13854.0,,-1558.3,2503.0,-48148.9,-12939.2,,141178.7,-17772.0,9979.0,18779.8,38950.0,2884.0,-54649.1,9449.5,67335.7,23413.5,18069.3,-1715.2,-28269.0,,30063.3,-58633.5,,-54868.9,4012.0,,48391.0,63839.7,27453.8,True,True,True,,True,True,False,True,,False,True,True,True,False,True,False,True,False,False,True,True,False,,False,False,,False,True,,False,False,False
North Dakota,6968,20344.0,21588.0,11294.0,6150.0,,16769.5,6902.0,8051.8,11888.5,,9174.7,20707.0,24453.0,16033.1,8862.0,23277.0,9495.4,8631.0,10429.5,5846.0,12728.1,13624.1,22362.0,,1828.0,12328.9,,14002.3,33994.1,,18352.0,18292.1,9656.8,13376.0,14620.0,4326.0,-818.0,,9801.5,-66.0,1083.8,4920.5,,2206.7,13739.0,17485.0,9065.1,1894.0,16309.0,2527.4,1663.0,3461.5,-1122.0,5760.1,6656.1,15394.0,,-5140.0,5360.9,,7034.3,27026.1,,11384.0,11324.1,2688.8,False,True,True,,True,True,True,True,,True,False,False,True,True,False,True,True,True,True,True,True,False,,True,True,,True,False,,True,True,True
Ohio,217516,344116.0,303319.0,341030.0,290233.0,,353165.0,461787.0,198403.9,496535.4,,437203.2,379004.0,376008.0,383021.8,422568.5,307666.0,209532.5,385348.5,362807.7,280536.0,332368.3,345497.7,277250.0,,294019.4,157799.0,,465901.0,386754.5,337936.4,367930.0,464866.4,324696.0,126600.0,85803.0,123514.0,72717.0,,135649.0,244271.0,-19112.1,279019.4,,219687.2,161488.0,158492.0,165505.8,205052.5,90150.0,-7983.5,167832.5,145291.7,63020.0,114852.3,127981.7,59734.0,,76503.4,-59717.0,,248385.0,169238.5,120420.4,150414.0,247350.4,107180.0,True,True,True,,False,False,True,False,,False,False,False,False,False,True,True,False,False,True,True,False,True,,True,True,,False,False,True,False,False,True
Oklahoma,91539,80364.0,109017.3,83126.0,68695.0,,88757.0,193895.0,73886.5,106624.5,,104865.2,95331.0,106590.0,99505.9,52687.8,82284.0,49225.4,90560.5,85318.8,66461.0,87995.7,91000.3,66788.0,,,59086.5,,79610.6,138438.3,,97961.0,99506.0,76785.5,-11175.0,17478.3,-8413.0,-22844.0,,-2782.0,102356.0,-17652.5,15085.5,,13326.2,3792.0,15051.0,7966.9,-38851.2,-9255.0,-42313.6,-978.5,-6220.2,-25078.0,-3543.3,-538.7,-24751.0,,,-32452.5,,-11928.4,46899.3,,6422.0,7967.0,-14753.5,False,True,False,,True,False,False,False,,False,True,False,True,False,True,False,True,True,False,True,True,False,,,False,,False,False,,True,True,False
Oregon,31637,38384.0,58038.4,42126.0,32793.0,,43387.3,57891.0,30487.6,59014.6,,42662.9,41961.0,44076.0,57746.3,46468.5,38999.0,38889.4,49782.0,45178.4,29363.0,37809.5,43253.8,25668.0,,42175.8,78342.8,,55634.3,70070.2,,39309.0,50926.0,64398.7,6747.0,26401.4,10489.0,1156.0,,11750.3,26254.0,-1149.4,27377.6,,11025.9,10324.0,12439.0,26109.3,14831.5,7362.0,7252.4,18145.0,13541.4,-2274.0,6172.5,11616.8,-5969.0,,10538.8,46705.8,,23997.3,38433.2,,7672.0,19289.0,32761.7,False,False,True,,False,False,True,False,,False,False,False,False,False,False,False,False,False,True,True,False,True,,False,False,,False,False,,False,False,False
Pennsylvania,231947,278780.0,342272.2,333337.0,285502.0,,314809.5,478304.0,227079.7,404796.0,,456514.5,298375.0,316946.0,412041.4,415083.0,284649.0,243172.7,368433.0,530822.8,352119.0,300872.1,282164.6,236357.0,,406895.0,346129.8,,204926.0,401987.4,417300.9,371653.0,398306.0,375256.0,46833.0,110325.2,101390.0,53555.0,,82862.5,246357.0,-4867.3,172849.0,,224567.5,66428.0,84999.0,180094.4,183136.0,52702.0,11225.7,136486.0,298875.8,120172.0,68925.1,50217.6,4410.0,,174948.0,114182.8,,-27021.0,170040.4,185353.9,139706.0,166359.0,143309.0,False,False,False,,False,False,True,False,,False,False,False,False,False,False,True,False,False,False,False,False,True,,False,False,,True,False,False,False,False,False
Rhode Island,26796,34724.0,39247.6,34077.0,26180.0,,37220.8,23818.0,108705.2,41531.3,,53770.3,26667.0,38909.0,43668.5,41578.9,39376.0,17744.9,35890.5,59635.2,31197.0,28775.3,40457.1,30010.0,,35114.8,31191.9,,20646.6,51157.7,,29177.0,37151.1,52221.7,7928.0,12451.6,7281.0,-616.0,,10424.8,-2978.0,81909.2,14735.3,,26974.3,-129.0,12113.0,16872.5,14782.9,12580.0,-9051.1,9094.5,32839.2,4401.0,1979.3,13661.1,3214.0,,8318.8,4395.9,,-6149.4,24361.7,,2381.0,10355.1,25425.7,False,True,True,,False,True,False,False,,False,True,False,False,False,False,False,False,False,True,True,False,True,,False,True,,True,False,,True,False,False
South Carolina,101286,78252.0,96812.3,94781.0,103334.0,,84116.0,83889.0,74500.2,74217.8,,158131.9,66071.0,88617.0,97157.4,109300.7,107458.0,54583.4,73305.0,146797.8,103927.5,98909.1,91552.8,78744.0,,108452.4,68145.3,,76923.4,83666.1,,116332.0,104024.9,91751.7,-23034.0,-4473.7,-6505.0,2048.0,,-17170.0,-17397.0,-26785.8,-27068.2,,56845.9,-35215.0,-12669.0,-4128.6,8014.7,6172.0,-46702.6,-27981.0,45511.8,2641.5,-2376.9,-9733.2,-22542.0,,7166.4,-33140.7,,-24362.6,-17619.9,,15046.0,2738.9,-9534.3,True,True,True,,True,True,False,False,,False,False,True,True,True,True,False,False,False,True,True,True,True,,True,False,,False,True,,True,True,True
South Dakota,12494,20412.0,16287.7,15611.0,13172.0,,19550.3,14263.0,12463.3,17205.5,,15201.3,27311.0,22644.0,20908.6,10948.8,19946.0,9241.5,13232.0,14664.1,12078.0,17466.3,18046.3,20197.0,,14487.2,8793.3,,26141.3,34016.7,,16073.0,23505.3,15431.3,7918.0,3793.7,3117.0,678.0,,7056.3,1769.0,-30.7,4711.5,,2707.3,14817.0,10150.0,8414.6,-1545.2,7452.0,-3252.5,738.0,2170.1,-416.0,4972.3,5552.3,7703.0,,1993.2,-3700.7,,13647.3,21522.7,,3579.0,11011.3,2937.3,True,True,True,,True,True,True,True,,True,False,False,False,True,True,True,True,True,True,True,True,True,,True,True,,False,False,,True,False,True
Tennessee,203497,181724.0,217453.8,196296.0,162097.0,,185384.1,126922.0,164625.0,225017.2,,388827.6,188843.0,202366.0,200317.9,202277.8,179119.0,97055.3,204758.5,207697.7,251575.0,247375.8,200658.2,163858.0,,217291.4,139891.6,,163865.6,200230.5,,253620.0,219470.7,215956.6,-21773.0,13956.8,-7201.0,-41400.0,,-18112.9,-76575.0,-38872.0,21520.2,,185330.6,-14654.0,-1131.0,-3179.1,-1219.2,-24378.0,-106441.7,1261.5,4200.7,48078.0,43878.8,-2838.8,-39639.0,,13794.4,-63605.4,,-39631.4,-3266.5,,50123.0,15973.7,12459.6,True,True,False,,True,False,False,True,,False,True,True,True,True,False,False,True,True,False,False,True,False,,True,False,,False,True,,False,True,True
Texas,477639,356340.0,404975.4,372588.0,396650.0,,369114.1,462339.0,350593.4,414000.2,,362685.0,354015.0,435785.0,491944.8,537859.5,298264.0,383659.0,756011.0,423831.1,337420.5,349353.2,364870.8,286922.0,,398729.9,517492.9,,339873.3,587113.4,,372267.0,487153.4,413636.9,-121299.0,-72663.6,-105051.0,-80989.0,,-108524.9,-15300.0,-127045.6,-63638.8,,-114954.0,-123624.0,-41854.0,14305.8,60220.5,-179375.0,-93980.0,278372.0,-53807.9,-140218.5,-128285.8,-112768.2,-190717.0,,-78909.1,39853.9,,-137765.7,109474.4,,-105372.0,9514.4,-64002.1,True,True,True,,True,True,False,True,,True,False,True,True,True,False,True,False,True,False,False,True,False,,True,True,,False,True,,True,True,True
Utah,71902,75908.0,66495.8,70520.0,49174.0,,86476.7,113560.0,45840.2,67926.3,,79812.5,103424.0,96456.0,93856.1,47315.1,76683.0,40173.0,67160.0,75879.1,60877.0,67406.7,78578.6,61597.0,,78186.5,60301.5,,55666.6,119670.6,,79190.0,89303.9,62844.2,4006.0,-5406.2,-1382.0,-22728.0,,14574.7,41658.0,-26061.8,-3975.7,,7910.5,31522.0,24554.0,21954.1,-24586.9,4781.0,-31729.0,-4742.0,3977.1,-11025.0,-4495.3,6676.6,-10305.0,,6284.5,-11600.5,,-16235.4,47768.6,,7288.0,17401.9,-9057.8,False,True,False,,False,False,False,True,,False,False,False,False,False,False,False,False,True,False,False,False,False,,False,False,,False,False,,False,False,False
Vermont,3164,2928.0,4799.9,3699.0,3672.0,,3463.1,11526.0,3949.8,4525.5,,4860.7,662.0,4356.0,3954.4,4627.2,2944.0,2530.8,3880.5,9618.5,3238.5,3470.1,3940.7,2096.0,,4039.5,9092.6,,3995.2,5249.9,,4019.0,4436.6,3728.9,-236.0,1635.9,535.0,508.0,,299.1,8362.0,785.8,1361.5,,1696.7,-2502.0,1192.0,790.4,1463.2,-220.0,-633.2,716.5,6454.5,74.5,306.1,776.7,-1068.0,,875.5,5928.6,,831.2,2085.9,,855.0,1272.6,564.9,False,False,False,,False,False,False,False,,False,False,False,False,False,True,False,False,False,True,False,False,False,,False,False,,False,False,,False,False,False
Virginia,115100,109768.0,131733.4,122528.0,156923.0,,114444.9,88198.0,88242.2,110940.6,,187038.8,99013.0,110415.0,132592.9,166546.9,165120.0,93088.0,128518.0,157824.3,124301.0,118839.0,118844.8,105881.0,,127665.1,62627.4,,108774.0,109769.3,,151887.0,157949.3,117726.4,-5332.0,16633.4,7428.0,41823.0,,-655.1,-26902.0,-26857.8,-4159.4,,71938.8,-16087.0,-4685.0,17492.9,51446.9,50020.0,-22012.0,13418.0,42724.3,9201.0,3739.0,3744.8,-9219.0,,12565.1,-52472.6,,-6326.0,-5330.7,,36787.0,42849.3,2626.4,False,False,False,,True,False,False,True,,False,False,True,False,False,False,False,False,False,False,True,True,False,,False,False,,False,True,,False,False,True
Washington,62878,95768.0,79497.1,94931.0,136813.0,,97055.2,144766.0,72647.7,125846.2,,104400.2,89668.0,78006.0,134393.2,93047.4,91115.0,90439.0,109717.5,91391.7,73180.5,105424.5,102446.9,77497.0,,101135.1,151905.1,,136185.3,112374.3,,109470.0,110355.9,,32890.0,16619.1,32053.0,73935.0,,34177.2,81888.0,9769.7,62968.2,,41522.2,26790.0,15128.0,71515.2,30169.4,28237.0,27561.0,46839.5,28513.7,10302.5,42546.5,39568.9,14619.0,,38257.1,89027.1,,73307.3,49496.3,,46592.0,47477.9,,True,True,False,,False,False,True,False,,False,True,True,False,True,True,True,False,True,True,False,False,True,,False,False,,False,False,,False,False,
West Virginia,37627,34316.0,45752.0,37124.0,36293.0,,35872.1,58876.0,26348.5,48394.6,,41306.6,41328.0,36180.0,44799.6,39791.1,36168.0,17915.8,40697.0,60837.2,33593.5,33093.5,35365.3,27973.0,,39183.6,22255.5,,44268.7,50013.2,,42420.0,42118.8,39279.7,-3311.0,8125.0,-503.0,-1334.0,,-1754.9,21249.0,-11278.5,10767.6,,3679.6,3701.0,-1447.0,7172.6,2164.1,-1459.0,-19711.2,3070.0,23210.2,-4033.5,-4533.5,-2261.7,-9654.0,,1556.6,-15371.5,,6641.7,12386.2,,4793.0,4491.8,1652.7,False,True,True,,True,False,False,False,,False,False,True,False,True,True,False,True,False,False,False,True,False,,True,False,,False,False,,False,False,True
Wisconsin,82143,112292.0,119850.3,96365.0,92089.0,,109056.9,57272.0,60066.2,109905.5,,88489.5,147994.0,117608.0,117031.7,51892.8,122490.0,64788.2,83851.5,79688.5,85081.0,104570.5,95946.0,107343.0,,84734.9,44617.3,,96467.4,202373.2,109208.5,102967.0,133453.2,65756.6,30149.0,37707.3,14222.0,9946.0,,26913.9,-24871.0,-22076.8,27762.5,,6346.5,65851.0,35465.0,34888.7,-30250.2,40347.0,-17354.8,1708.5,-2454.5,2938.0,22427.5,13803.0,25200.0,,2591.9,-37525.7,,14324.4,120230.2,27065.5,20824.0,51310.2,-16386.4,False,True,True,,True,True,True,True,,True,False,False,False,False,False,True,True,True,True,True,True,True,,True,False,,True,False,True,True,False,True
Wyoming,7812,11864.0,14879.7,9597.0,8714.0,,11249.5,15348.0,6250.3,8565.0,,7491.2,17725.0,13949.0,12691.0,6096.7,10988.0,4592.2,7990.5,6042.5,6392.5,10207.7,12365.7,8792.0,,3997.6,14491.2,,9946.7,26988.7,,13308.0,11609.1,7621.1,4052.0,7067.7,1785.0,902.0,,3437.5,7536.0,-1561.7,753.0,,-320.8,9913.0,6137.0,4879.0,-1715.3,3176.0,-3219.8,178.5,-1769.5,-1419.5,2395.7,4553.7,980.0,,-3814.4,6679.2,,2134.7,19176.7,,5496.0,3797.1,-190.9,False,True,True,,True,False,True,True,,True,False,False,False,True,True,True,True,True,True,True,False,True,,True,False,,True,False,,False,True,True
US,6025375,5923924.0,7107873.9,6692572.0,6181181.0,7474009.0,6757477.9,7267251.0,5949508.8,,6462640.0,7323115.9,6118103.0,6223853.0,7811180.4,7800416.1,,4718349.7,,8488809.7,6581995.0,5995707.9,6100321.7,7875484.0,6130300.0,7684100.1,5582664.9,6427957.0,5524615.7,,7562983.7,6962010.0,8000143.7,,-101451.0,1082498.9,667197.0,155806.0,1448634.0,732102.9,1241876.0,-75866.2,,437265.0,1297740.9,92728.0,198478.0,1785805.4,1775041.1,,-1307025.3,,2463434.7,556620.0,-29667.1,74946.7,1850109.0,104925.0,1658725.1,-442710.1,402582.0,-500759.3,,1537608.7,936635.0,1974768.7,,False,False,False,False,False,False,True,,False,False,True,False,False,False,,False,,False,False,True,True,False,False,False,False,False,False,,False,False,False,
