,actual_cases,COVIDhub-baseline,BPagano-RtDriven,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,Google_Harvard-CPF,IBF-TimeSeries,IEM_MED-CovidProject,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,JHU_UNC_GAS-StatMechPool,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,Microsoft-DeepSTIA,OliverWyman-Navigator,OneQuietNight-ML,QJHong-Encounter,RobertWalraven-ESG,TTU-squider,UCF-AEM,UCLA-SuEIR,UCSB-ACTS,UMich-RidgeTfReg,USC-SI_kJalpha,UVA-Ensemble,Wadhwani_AI-BayesOpt,error-COVIDhub-baseline,error-BPagano-RtDriven,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IEM_MED-CovidProject,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-JHU_UNC_GAS-StatMechPool,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-Microsoft-DeepSTIA,error-OliverWyman-Navigator,error-OneQuietNight-ML,error-QJHong-Encounter,error-RobertWalraven-ESG,error-TTU-squider,error-UCF-AEM,error-UCLA-SuEIR,error-UCSB-ACTS,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,error-UVA-Ensemble,error-Wadhwani_AI-BayesOpt,beat_baseline-BPagano-RtDriven,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IEM_MED-CovidProject,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-JHU_UNC_GAS-StatMechPool,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-Microsoft-DeepSTIA,beat_baseline-OliverWyman-Navigator,beat_baseline-OneQuietNight-ML,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-TTU-squider,beat_baseline-UCF-AEM,beat_baseline-UCLA-SuEIR,beat_baseline-UCSB-ACTS,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha,beat_baseline-UVA-Ensemble,beat_baseline-Wadhwani_AI-BayesOpt
New Jersey,108166,92763.0,92538.6,93704.0,78093.0,,89805.7,75986.0,68559.0,141249.0,,94423.7,90923.0,109528.8,77292.9,93971.0,110951.5,109152.0,100498.8,82537.5,88668.5,106912.4,100060.0,95473.0,,93340.2,183898.2,,93978.1,124012.0,115860.2,92872.0,119620.2,129173.7,-15403.0,-15627.4,-14462.0,-30073.0,,-18360.3,-32180.0,-39607.0,33083.0,,-13742.3,-17243.0,1362.8,-30873.1,-14195.0,2785.5,986.0,-7667.2,-25628.5,-19497.5,-1253.6,-8106.0,-12693.0,,-14825.8,75732.2,,-14187.9,15846.0,7694.2,-15294.0,11454.2,21007.7,False,True,False,,False,False,False,False,,True,False,True,False,True,True,True,True,False,False,True,True,True,,True,False,,True,False,True,True,True,False
New Mexico,26024,31716.0,33751.5,25671.0,24248.0,,30187.2,17165.0,27480.6,33624.4,,25327.1,32903.0,30913.8,22293.9,28106.0,13960.5,33577.5,25842.6,18797.5,23431.9,29754.5,33303.0,23423.0,,24746.3,17863.5,,20205.0,34339.0,31682.9,29095.0,40372.4,25304.1,5692.0,7727.5,-353.0,-1776.0,,4163.2,-8859.0,1456.6,7600.4,,-696.9,6879.0,4889.8,-3730.1,2082.0,-12063.5,7553.5,-181.4,-7226.5,-2592.1,3730.5,7279.0,-2601.0,,-1277.7,-8160.5,,-5819.0,8315.0,5658.9,3071.0,14348.4,-719.9,False,True,True,,True,False,True,False,,True,False,True,True,True,False,False,True,False,True,True,False,True,,True,False,,False,False,True,True,False,True
New York,271506,219918.0,279579.9,250069.0,210741.0,,243878.2,251620.0,128837.6,235009.1,,261522.1,213561.0,297051.1,325882.1,220088.0,291860.2,252707.0,381943.9,214651.5,213177.2,238536.4,283525.0,260326.0,,189189.0,321841.4,,335507.4,264814.6,326820.6,229030.0,251042.8,337267.9,-51588.0,8073.9,-21437.0,-60765.0,,-27627.8,-19886.0,-142668.4,-36496.9,,-9983.9,-57945.0,25545.1,54376.1,-51418.0,20354.2,-18799.0,110437.9,-56854.5,-58328.8,-32969.6,12019.0,-11180.0,,-82317.0,50335.4,,64001.4,-6691.4,55314.6,-42476.0,-20463.2,65761.9,True,True,False,,True,True,False,True,,True,False,True,False,True,True,True,False,False,False,True,True,True,,False,True,,False,True,False,True,True,False
North Carolina,142087,127476.0,165468.4,147148.0,123902.0,,138419.2,148341.0,110593.5,154129.6,,180499.7,138537.0,172542.9,149414.6,147056.0,92888.7,144379.5,181162.8,146156.0,136909.8,149580.9,163757.0,139101.0,,161235.5,95659.3,,140579.2,144477.1,162858.5,146393.0,191756.7,232983.6,-14611.0,23381.4,5061.0,-18185.0,,-3667.8,6254.0,-31493.5,12042.6,,38412.7,-3550.0,30455.9,7327.6,4969.0,-49198.3,2292.5,39075.8,4069.0,-5177.2,7493.9,21670.0,-2986.0,,19148.5,-46427.7,,-1507.8,2390.1,20771.5,4306.0,49669.7,90896.6,False,True,False,,True,True,False,True,,False,True,False,True,True,False,True,False,True,True,True,False,True,,False,False,,True,True,False,True,False,False
North Dakota,4774,6582.0,10206.3,5319.0,3396.0,,7683.5,5467.0,6426.6,7290.6,,4223.4,11757.0,6707.0,3558.7,5091.0,7455.8,3834.5,5464.8,2186.5,5412.5,7707.1,7623.0,7313.0,,3066.8,5498.4,,3537.5,16969.9,3807.6,5010.0,8653.7,7035.6,1808.0,5432.3,545.0,-1378.0,,2909.5,693.0,1652.6,2516.6,,-550.6,6983.0,1933.0,-1215.3,317.0,2681.8,-939.5,690.8,-2587.5,638.5,2933.1,2849.0,2539.0,,-1707.2,724.4,,-1236.5,12195.9,-966.4,236.0,3879.7,2261.6,False,True,True,,False,True,True,False,,True,False,False,True,True,False,True,True,False,True,False,False,False,,True,True,,True,False,True,True,False,False
Ohio,156548,182904.0,188371.5,183147.0,148628.0,,203219.7,201073.0,160832.7,310773.3,,198463.0,202214.0,229939.6,143877.7,182099.0,139528.4,224221.0,222325.5,169769.5,178904.6,237118.2,233080.0,139413.0,,180201.7,210433.5,,172104.7,298352.1,191549.8,170447.0,248177.2,303071.0,26356.0,31823.5,26599.0,-7920.0,,46671.7,44525.0,4284.7,154225.3,,41915.0,45666.0,73391.6,-12670.3,25551.0,-17019.6,67673.0,65777.5,13221.5,22356.6,80570.2,76532.0,-17135.0,,23653.7,53885.5,,15556.7,141804.1,35001.8,13899.0,91629.2,146523.0,False,False,True,,False,False,True,False,,False,False,False,True,True,True,False,False,True,True,False,False,True,,True,False,,True,False,False,True,False,False
Oklahoma,69007,67596.0,66139.3,67268.0,57895.0,,66612.4,48458.0,68831.5,78357.5,,89584.8,73762.0,74699.6,52381.2,65505.0,41008.8,68329.5,64124.3,67362.0,73608.5,78085.5,79081.0,72227.0,,69260.8,47386.8,,62716.0,75747.3,76800.3,71796.0,83472.2,63352.7,-1411.0,-2867.7,-1739.0,-11112.0,,-2394.6,-20549.0,-175.5,9350.5,,20577.8,4755.0,5692.6,-16625.8,-3502.0,-27998.2,-677.5,-4882.7,-1645.0,4601.5,9078.5,10074.0,3220.0,,253.8,-21620.2,,-6291.0,6740.3,7793.3,2789.0,14465.2,-5654.3,False,False,False,,False,False,True,False,,False,False,False,False,False,False,True,False,False,False,False,False,False,,True,False,,False,False,False,False,False,False
Oregon,22662,26925.0,32386.1,26728.0,25320.0,,27582.0,31108.0,24760.2,39871.2,,24074.6,26610.0,34127.8,17296.9,27449.0,32966.1,31804.0,26917.3,24194.0,24549.1,29596.4,35906.0,25519.0,,24115.6,40919.1,,23594.4,38129.9,28908.7,25365.0,34803.8,30244.6,4263.0,9724.1,4066.0,2658.0,,4920.0,8446.0,2098.2,17209.2,,1412.6,3948.0,11465.8,-5365.1,4787.0,10304.1,9142.0,4255.3,1532.0,1887.1,6934.4,13244.0,2857.0,,1453.6,18257.1,,932.4,15467.9,6246.7,2703.0,12141.8,7582.6,False,True,True,,False,False,True,False,,True,True,False,False,False,False,False,True,True,True,False,False,True,,True,False,,True,False,False,True,False,False
Pennsylvania,164382,202695.0,230620.7,200949.0,162922.0,,221364.6,207982.0,158645.2,269139.5,,181330.7,214283.0,286122.4,260781.9,199051.0,167195.4,239322.5,268871.0,166849.0,167513.9,203840.2,241011.0,194199.0,,182203.7,265289.1,,147255.1,260501.4,271351.9,186472.0,289648.9,370889.4,38313.0,66238.7,36567.0,-1460.0,,56982.6,43600.0,-5736.8,104757.5,,16948.7,49901.0,121740.4,96399.9,34669.0,2813.4,74940.5,104489.0,2467.0,3131.9,39458.2,76629.0,29817.0,,17821.7,100907.1,,-17126.9,96119.4,106969.9,22090.0,125266.9,206507.4,False,True,True,,False,False,True,False,,True,False,False,False,True,True,False,False,True,True,False,False,True,,True,False,,True,False,False,True,False,False
Rhode Island,19802,20982.0,23796.4,20718.0,18108.0,,22750.3,17160.0,268985.5,31768.0,,18679.2,22985.0,29155.6,15727.0,20932.0,16616.1,21904.0,20935.0,16868.0,16472.6,26226.5,23122.0,17747.0,,27607.3,22571.3,,19790.8,32001.3,27716.1,11980.0,26795.7,42115.2,1180.0,3994.4,916.0,-1694.0,,2948.3,-2642.0,249183.5,11966.0,,-1122.8,3183.0,9353.6,-4075.0,1130.0,-3185.9,2102.0,1133.0,-2934.0,-3329.4,6424.5,3320.0,-2055.0,,7805.3,2769.3,,-11.2,12199.3,7914.1,-7822.0,6993.7,22313.2,False,True,False,,False,False,False,False,,True,False,False,False,True,False,False,True,False,False,False,False,False,,False,False,,True,False,False,False,False,False
South Carolina,79547,65217.0,71786.8,72243.0,66849.0,,70372.5,37943.0,59686.3,93437.9,,92727.9,67900.0,87923.5,81511.9,72991.0,42030.3,69284.5,98274.7,75958.5,69293.8,74290.3,83430.0,74003.0,,80524.5,70202.0,,61497.6,69377.1,72868.2,60732.0,90861.0,120918.7,-14330.0,-7760.2,-7304.0,-12698.0,,-9174.5,-41604.0,-19860.7,13890.9,,13180.9,-11647.0,8376.5,1964.9,-6556.0,-37516.7,-10262.5,18727.7,-3588.5,-10253.2,-5256.7,3883.0,-5544.0,,977.5,-9345.0,,-18049.4,-10169.9,-6678.8,-18815.0,11314.0,41371.7,True,True,True,,True,False,False,True,,True,True,True,True,True,False,True,False,True,True,True,True,True,,True,True,,False,True,True,False,True,False
South Dakota,8565,11787.0,8174.2,9477.0,7382.0,,11449.5,3353.0,9108.5,10240.4,,7037.5,13677.0,13418.3,6109.5,12577.0,7469.6,9657.5,8966.8,6113.5,8801.0,10776.8,11417.0,13696.0,,7333.0,2140.1,,17311.9,14716.8,11747.0,9950.0,13836.7,10315.7,3222.0,-390.8,912.0,-1183.0,,2884.5,-5212.0,543.5,1675.4,,-1527.5,5112.0,4853.3,-2455.5,4012.0,-1095.4,1092.5,401.8,-2451.5,236.0,2211.8,2852.0,5131.0,,-1232.0,-6424.9,,8746.9,6151.8,3182.0,1385.0,5271.7,1750.7,True,True,True,,True,False,True,True,,True,False,False,True,False,True,True,True,True,True,True,True,False,,True,False,,False,False,True,True,False,True
Tennessee,142799,182094.0,228949.6,208918.0,151072.0,,200554.2,155380.0,171795.6,170497.3,,310770.5,199680.0,208230.1,388631.6,222903.0,83027.9,193333.5,189415.7,284221.0,223087.5,214861.1,209869.0,175252.0,,237533.8,133268.9,,184325.5,158013.0,205570.4,242659.0,238729.4,335726.0,39295.0,86150.6,66119.0,8273.0,,57755.2,12581.0,28996.6,27698.3,,167971.5,56881.0,65431.1,245832.6,80104.0,-59771.1,50534.5,46616.7,141422.0,80288.5,72062.1,67070.0,32453.0,,94734.8,-9530.1,,41526.5,15214.0,62771.4,99860.0,95930.4,192927.0,False,False,True,,False,True,True,True,,False,False,False,False,False,False,False,False,False,False,False,False,True,,False,True,,False,True,False,False,False,False
Texas,366748,334062.0,346420.5,338516.0,447558.0,,340819.7,293528.0,307056.6,514437.4,,638021.1,354946.0,430037.6,338655.6,319938.0,305530.8,565684.0,372022.7,310018.0,337810.3,321234.4,413363.0,390887.0,,346604.9,355809.7,,328306.9,350206.2,306120.0,331424.0,429308.9,264624.4,-32686.0,-20327.5,-28232.0,80810.0,,-25928.3,-73220.0,-59691.4,147689.4,,271273.1,-11802.0,63289.6,-28092.4,-46810.0,-61217.2,198936.0,5274.7,-56730.0,-28937.7,-45513.6,46615.0,24139.0,,-20143.1,-10938.3,,-38441.1,-16541.8,-60628.0,-35324.0,62560.9,-102123.6,True,True,False,,True,False,False,False,,False,True,False,True,False,False,False,True,False,True,False,False,True,,True,True,,False,True,False,False,False,False
Utah,54753,51447.0,43081.7,47473.0,28283.0,,56906.8,25536.0,37412.9,68025.5,,47172.1,57557.0,65129.9,27382.6,57224.0,31363.6,49417.0,47791.4,37900.5,45031.6,54135.2,53761.0,48751.0,,51090.6,47424.8,,43264.8,64926.0,52188.2,50480.0,37764.1,57236.0,-3306.0,-11671.3,-7280.0,-26470.0,,2153.8,-29217.0,-17340.1,13272.5,,-7580.9,2804.0,10376.9,-27370.4,2471.0,-23389.4,-5336.0,-6961.6,-16852.5,-9721.4,-617.8,-992.0,-6002.0,,-3662.4,-7328.2,,-11488.2,10173.0,-2564.8,-4273.0,-16988.9,2483.0,False,False,False,,True,False,False,False,,False,True,False,False,True,False,False,False,False,False,True,True,False,,False,False,,False,False,True,False,False,True
Vermont,2447,2151.0,1850.7,2182.0,1924.0,,2129.1,2407.0,1580.6,5204.1,,2158.2,2439.0,2716.0,2259.7,2205.0,3992.1,2358.0,6164.6,2137.5,2060.7,2685.4,3346.0,2842.0,,,6228.8,,4417.3,3030.5,1953.0,1953.0,2316.9,3695.1,-296.0,-596.3,-265.0,-523.0,,-317.9,-40.0,-866.4,2757.1,,-288.8,-8.0,269.0,-187.3,-242.0,1545.1,-89.0,3717.6,-309.5,-386.3,238.4,899.0,395.0,,,3781.8,,1970.3,583.5,-494.0,-494.0,-130.1,1248.1,False,True,False,,False,True,False,False,,True,True,True,True,True,False,True,False,False,False,True,False,False,,,False,,False,False,False,False,True,False
Virginia,90743,73071.0,108622.5,83285.0,72191.0,,81079.4,85380.0,78664.4,99112.5,,80933.0,72762.0,105375.8,112572.8,72330.0,78462.6,87739.5,109287.6,83285.5,75336.1,93668.8,99368.0,87168.0,,88492.3,47041.7,,67437.3,88480.6,93584.9,77640.0,101418.7,123243.6,-17672.0,17879.5,-7458.0,-18552.0,,-9663.6,-5363.0,-12078.6,8369.5,,-9810.0,-17981.0,14632.8,21829.8,-18413.0,-12280.4,-3003.5,18544.6,-7457.5,-15406.9,2925.8,8625.0,-3575.0,,-2250.7,-43701.3,,-23305.7,-2262.4,2841.9,-13103.0,10675.7,32500.6,False,True,False,,True,True,True,True,,True,False,True,False,False,True,True,False,True,True,True,True,True,,True,False,,False,True,True,True,True,False
Washington,48995,41649.0,53662.2,39784.0,28488.0,,34386.6,38186.0,33946.9,69480.5,,68191.8,52409.0,63109.8,28355.2,53961.0,44858.0,40911.5,48556.3,43821.5,32121.3,56428.7,56802.0,32706.0,,28424.2,86483.3,,41132.3,85623.6,51104.0,29508.0,51270.6,,-7346.0,4667.2,-9211.0,-20507.0,,-14608.4,-10809.0,-15048.1,20485.5,,19196.8,3414.0,14114.8,-20639.8,4966.0,-4137.0,-8083.5,-438.7,-5173.5,-16873.7,7433.7,7807.0,-16289.0,,-20570.8,37488.3,,-7862.7,36628.6,2109.0,-19487.0,2275.6,,True,False,False,,False,False,False,False,,False,True,False,False,True,True,False,True,True,False,False,False,False,,False,False,,False,False,True,False,True,
West Virginia,28563,27192.0,34302.7,27866.0,27394.0,,27872.3,18803.0,24941.6,37939.4,,30864.0,26482.0,34142.4,26819.4,27305.0,19211.2,30984.0,28429.7,27650.5,25457.9,30475.8,35565.0,28127.0,,29377.5,26140.0,,31046.6,31293.9,33246.4,28261.0,33681.6,36690.3,-1371.0,5739.7,-697.0,-1169.0,,-690.7,-9760.0,-3621.4,9376.4,,2301.0,-2081.0,5579.4,-1743.6,-1258.0,-9351.8,2421.0,-133.3,-912.5,-3105.1,1912.8,7002.0,-436.0,,814.5,-2423.0,,2483.6,2730.9,4683.4,-302.0,5118.6,8127.3,False,True,True,,True,False,False,False,,False,False,False,False,True,False,False,True,True,False,False,False,True,,True,False,,False,False,False,True,False,False
Wisconsin,57455,74064.0,61536.6,63014.0,64776.0,,68738.3,14668.0,50299.5,90362.3,,58441.0,70171.0,93500.3,40640.0,77829.0,51206.4,57176.0,54913.2,50151.5,66216.6,66027.3,75238.0,86463.0,,58290.0,37043.5,,65255.4,95271.2,76231.4,64161.0,94953.1,64448.4,16609.0,4081.6,5559.0,7321.0,,11283.3,-42787.0,-7155.5,32907.3,,986.0,12716.0,36045.3,-16815.0,20374.0,-6248.6,-279.0,-2541.8,-7303.5,8761.6,8572.3,17783.0,29008.0,,835.0,-20411.5,,7800.4,37816.2,18776.4,6706.0,37498.1,6993.4,True,True,True,,True,False,True,False,,True,True,False,False,False,True,True,True,True,True,True,False,False,,True,False,,True,False,False,True,False,True
Wyoming,5231,7743.0,4448.6,5283.0,4890.0,,6509.1,4939.0,5198.7,3428.7,,4020.4,8062.0,7788.7,3062.9,6864.0,4234.9,5767.0,4104.6,3115.0,5653.5,7097.6,8725.0,8021.0,,2127.4,7333.6,,6513.9,11037.8,9673.1,5283.0,6325.7,5129.6,2512.0,-782.4,52.0,-341.0,,1278.1,-292.0,-32.3,-1802.3,,-1210.6,2831.0,2557.7,-2168.1,1633.0,-996.1,536.0,-1126.4,-2116.0,422.5,1866.6,3494.0,2790.0,,-3103.6,2102.6,,1282.9,5806.8,4442.1,52.0,1094.7,-101.4,True,True,True,,True,True,True,True,,True,False,False,True,True,True,True,True,True,True,True,False,False,,False,True,,True,False,False,True,True,True
US,4486736,4537116.0,5044151.3,4666348.0,4248102.0,6579375.0,4706409.6,4646317.0,4827745.3,,4483369.0,4842069.2,4633198.0,5907057.8,5174420.8,,3653985.1,,5935005.1,3912385.5,4522836.4,4910969.5,5395327.0,5158719.0,4501587.0,5099435.1,4520477.4,4549348.0,4152772.5,,5123904.7,4639860.0,6299643.5,,50380.0,557415.3,179612.0,-238634.0,2092639.0,219673.6,159581.0,341009.3,,-3367.0,355333.2,146462.0,1420321.8,687684.8,,-832750.9,,1448269.1,-574350.5,36100.4,424233.5,908591.0,671983.0,14851.0,612699.1,33741.4,62612.0,-333963.5,,637168.7,153124.0,1812907.5,,False,False,False,False,False,False,False,,True,False,False,False,False,,False,,False,False,True,False,False,False,True,False,True,False,False,,False,False,False,
