,actual_cases,COVIDhub-baseline,BPagano-RtDriven,CEID-Walk,CMU-TimeSeries,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,FAIR-NRAR,Geneva-DetGrowth,Google_Harvard-CPF,IBF-TimeSeries,IEM_MED-CovidProject,IowaStateLW-STEM,JHUAPL-Bucky,JHU_IDD-CovidSP,JHU_UNC_GAS-StatMechPool,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MITCovAlliance-SIR,Microsoft-DeepSTIA,OliverWyman-Navigator,OneQuietNight-ML,PandemicCentral-USCounty,QJHong-Encounter,RobertWalraven-ESG,TTU-squider,UCF-AEM,UCLA-SuEIR,UChicagoCHATTOPADHYAY-UnIT,UMass-MechBayes,UMich-RidgeTfReg,USC-SI_kJalpha,UVA-Ensemble,UpstateSU-GRU,error-COVIDhub-baseline,error-BPagano-RtDriven,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-FAIR-NRAR,error-Geneva-DetGrowth,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IEM_MED-CovidProject,error-IowaStateLW-STEM,error-JHUAPL-Bucky,error-JHU_IDD-CovidSP,error-JHU_UNC_GAS-StatMechPool,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MITCovAlliance-SIR,error-Microsoft-DeepSTIA,error-OliverWyman-Navigator,error-OneQuietNight-ML,error-PandemicCentral-USCounty,error-QJHong-Encounter,error-RobertWalraven-ESG,error-TTU-squider,error-UCF-AEM,error-UCLA-SuEIR,error-UChicagoCHATTOPADHYAY-UnIT,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,error-UVA-Ensemble,error-UpstateSU-GRU,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-FAIR-NRAR,beat_baseline-Geneva-DetGrowth,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IEM_MED-CovidProject,beat_baseline-IowaStateLW-STEM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_IDD-CovidSP,beat_baseline-JHU_UNC_GAS-StatMechPool,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MITCovAlliance-SIR,beat_baseline-Microsoft-DeepSTIA,beat_baseline-OliverWyman-Navigator,beat_baseline-OneQuietNight-ML,beat_baseline-PandemicCentral-USCounty,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-TTU-squider,beat_baseline-UCF-AEM,beat_baseline-UCLA-SuEIR,beat_baseline-UChicagoCHATTOPADHYAY-UnIT,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha,beat_baseline-UVA-Ensemble,beat_baseline-UpstateSU-GRU
20183,15,18.0,,18.4,,11.0,4.0,,,,,6.0,,0.0,,,14.0,23.9,6.9,,,12.0,9.0,0.0,,11.0,15.0,11.0,,,,,,28.6,,,,11.1,7.0,3.0,,3.4,,-4.0,-11.0,,,,,-9.0,,-15.0,,,-1.0,8.9,-8.1,,,-3.0,-6.0,-15.0,,-4.0,0.0,-4.0,,,,,,13.6,,,,-3.9,-8.0,,False,,False,False,,,,,False,,False,,,True,False,False,,,False,False,False,,False,True,False,,,,,,False,,,,False,False
20185,16,15.0,,14.9,,12.0,5.0,,,,,9.1,,5.5,,,13.0,15.7,7.9,,,12.0,6.5,0.0,,10.0,14.0,12.9,,,,,,30.8,,,,12.7,8.0,-1.0,,-1.1,,-4.0,-11.0,,,,,-6.9,,-10.5,,,-3.0,-0.3,-8.1,,,-4.0,-9.5,-16.0,,-6.0,-2.0,-3.1,,,,,,14.8,,,,-3.3,-8.0,,False,,False,False,,,,,False,,False,,,False,True,False,,,False,False,False,,False,False,False,,,,,,False,,,,False,False
20187,1,2.0,,1.6,,2.0,0.0,,,,,4.3,,1.4,,,7.0,1.3,2.5,,,2.0,1.1,0.0,,,4.0,4.3,,,,,,17.3,,,,2.4,,1.0,,0.6,,1.0,-1.0,,,,,3.3,,0.4,,,6.0,0.3,1.5,,,1.0,0.1,-1.0,,,3.0,3.3,,,,,,16.3,,,,1.4,,,True,,False,False,,,,,False,,True,,,False,True,False,,,False,True,False,,,False,False,,,,,,False,,,,False,
20189,13,21.0,,19.6,,16.0,7.0,,,,,15.2,,13.0,,,37.0,23.7,11.7,,,15.0,11.6,0.0,,19.0,20.0,17.8,,,,,,45.0,,,,26.1,12.0,8.0,,6.6,,3.0,-6.0,,,,,2.2,,0.0,,,24.0,10.7,-1.3,,,2.0,-1.4,-13.0,,6.0,7.0,4.8,,,,,,32.0,,,,13.1,-1.0,,True,,True,True,,,,,True,,True,,,False,False,True,,,True,True,False,,True,True,True,,,,,,False,,,,False,True
20191,141,134.0,,134.5,,106.0,91.0,,,,,58.7,,0.0,,,107.0,117.5,69.5,,,102.0,85.4,13.7,,118.0,110.0,109.8,,,,,,112.2,,,,152.3,96.0,-7.0,,-6.5,,-35.0,-50.0,,,,,-82.3,,-141.0,,,-34.0,-23.5,-71.5,,,-39.0,-55.6,-127.3,,-23.0,-31.0,-31.2,,,,,,-28.8,,,,11.3,-45.0,,True,,False,False,,,,,False,,False,,,False,False,False,,,False,False,False,,False,False,False,,,,,,False,,,,False,False
20193,23,44.0,,41.6,,28.0,18.0,,,,,28.2,,20.4,,,29.0,58.6,24.9,,,19.0,23.3,0.0,,32.0,34.0,48.8,,,,,,49.6,,,,0.0,,21.0,,18.6,,5.0,-5.0,,,,,5.2,,-2.6,,,6.0,35.6,1.9,,,-4.0,0.3,-23.0,,9.0,11.0,25.8,,,,,,26.6,,,,-23.0,,,True,,True,True,,,,,True,,True,,,True,False,True,,,True,True,False,,True,True,False,,,,,,False,,,,False,
20195,37,8.0,,7.7,,8.0,,,,,,8.3,,2.6,,,9.0,4.2,5.8,,,13.0,6.5,0.0,,9.0,10.0,11.4,,,,,,19.3,,,,12.4,4.0,-29.0,,-29.3,,-29.0,,,,,,-28.7,,-34.4,,,-28.0,-32.8,-31.2,,,-24.0,-30.5,-37.0,,-28.0,-27.0,-25.6,,,,,,-17.7,,,,-24.6,-33.0,,False,,False,,,,,,True,,False,,,True,False,False,,,True,False,False,,True,True,True,,,,,,True,,,,True,False
20197,54,65.0,,69.6,,30.0,22.0,,,,,18.2,,0.0,,,29.0,161.4,20.9,,,21.0,33.3,0.0,,62.0,45.0,35.1,,,,,,65.8,,,,40.9,46.0,11.0,,15.6,,-24.0,-32.0,,,,,-35.8,,-54.0,,,-25.0,107.4,-33.1,,,-33.0,-20.7,-54.0,,8.0,-9.0,-18.9,,,,,,11.8,,,,-13.1,-8.0,,False,,False,False,,,,,False,,False,,,False,False,False,,,False,False,False,,True,True,False,,,,,,False,,,,False,True
20199,4,2.0,,2.4,,2.0,0.0,,,,,2.9,,0.0,,,8.0,0.7,2.0,,,3.0,1.0,0.0,,1.0,3.0,6.2,,,,,,15.1,,,,2.5,,-2.0,,-1.6,,-2.0,-4.0,,,,,-1.1,,-4.0,,,4.0,-3.3,-2.0,,,-1.0,-3.0,-4.0,,-3.0,-1.0,2.2,,,,,,11.1,,,,-1.5,,,True,,False,False,,,,,True,,False,,,False,False,True,,,True,False,False,,False,True,False,,,,,,False,,,,True,
20201,11,45.0,,41.3,,18.0,7.0,,,,,12.1,,1.3,,,28.0,102.1,16.4,,,18.0,17.6,0.0,,39.0,33.0,15.6,,,,,,46.9,,,,28.0,50.0,34.0,,30.3,,7.0,-4.0,,,,,1.1,,-9.7,,,17.0,91.1,5.4,,,7.0,6.6,-11.0,,28.0,22.0,4.6,,,,,,35.9,,,,17.0,39.0,,True,,True,True,,,,,True,,True,,,True,False,True,,,True,True,True,,True,True,True,,,,,,False,,,,True,False
20203,15,3.0,,2.1,,2.0,0.0,,,,,3.4,,0.0,,,9.0,1.4,1.8,,,6.0,1.9,0.0,,,4.0,6.5,,,,,,16.4,,,,0.0,,-12.0,,-12.9,,-13.0,-15.0,,,,,-11.6,,-15.0,,,-6.0,-13.6,-13.2,,,-9.0,-13.1,-15.0,,,-11.0,-8.5,,,,,,1.4,,,,-15.0,,,False,,False,False,,,,,True,,False,,,True,False,False,,,True,False,False,,,True,True,,,,,,True,,,,False,
20205,52,88.0,,90.2,,61.0,61.0,,,,,34.3,,0.0,,,51.0,74.5,41.8,,,66.0,55.4,10.8,,77.0,68.0,45.5,,,,,,90.6,,,,100.3,57.0,36.0,,38.2,,9.0,9.0,,,,,-17.7,,-52.0,,,-1.0,22.5,-10.2,,,14.0,3.4,-41.2,,25.0,16.0,-6.5,,,,,,38.6,,,,48.3,5.0,,False,,True,True,,,,,True,,False,,,True,True,True,,,True,True,False,,True,True,True,,,,,,False,,,,False,True
20207,18,20.0,,21.5,,9.0,0.0,,,,,4.6,,0.0,,,12.0,57.3,7.1,,,9.0,9.4,1.9,,10.0,16.0,8.1,,,,,,23.2,,,,25.1,8.0,2.0,,3.5,,-9.0,-18.0,,,,,-13.4,,-18.0,,,-6.0,39.3,-10.9,,,-9.0,-8.6,-16.1,,-8.0,-2.0,-9.9,,,,,,5.2,,,,7.1,-10.0,,False,,False,False,,,,,False,,False,,,False,False,False,,,False,False,False,,False,False,False,,,,,,False,,,,False,False
20209,684,1035.0,,1042.4,,892.0,1350.0,,,,,683.4,,0.0,,989.7,744.0,984.6,613.8,875.5,,727.0,889.8,137.8,,1003.0,875.0,861.5,,,,,957.2,863.8,,,,885.2,724.0,351.0,,358.4,,208.0,666.0,,,,,-0.6,,-684.0,,305.7,60.0,300.6,-70.2,191.5,,43.0,205.8,-546.2,,319.0,191.0,177.5,,,,,273.2,179.8,,,,201.2,40.0,,False,,True,False,,,,,True,,False,,True,True,True,True,True,,True,True,False,,True,True,True,,,,,True,True,,,,True,True
21001,63,36.0,,44.3,,35.0,17.0,,,,,48.2,,75.7,,,95.0,22.8,40.0,,,23.0,31.0,0.0,,28.0,47.0,42.1,,,,,,48.4,,,,61.1,63.0,-27.0,,-18.7,,-28.0,-46.0,,,,,-14.8,,12.7,,,32.0,-40.2,-23.0,,,-40.0,-32.0,-63.0,,-35.0,-16.0,-20.9,,,,,,-14.6,,,,-1.9,0.0,,True,,False,False,,,,,True,,True,,,False,False,True,,,False,False,False,,False,True,True,,,,,,True,,,,True,True
21003,124,100.0,,95.9,,91.0,95.0,,,,,66.1,,170.3,,,115.0,121.4,63.8,,,115.0,81.4,11.6,,109.0,90.0,70.2,,,,,,117.4,,,,84.8,77.0,-24.0,,-28.1,,-33.0,-29.0,,,,,-57.9,,46.3,,,-9.0,-2.6,-60.2,,,-9.0,-42.6,-112.4,,-15.0,-34.0,-53.8,,,,,,-6.6,,,,-39.2,-47.0,,False,,False,False,,,,,False,,False,,,True,True,False,,,True,False,False,,True,False,False,,,,,,True,,,,False,False
21005,153,80.0,,84.9,,72.0,71.0,,,,,59.0,,166.2,,,85.0,113.7,58.5,,,48.0,83.9,14.9,,115.0,73.0,76.2,,,,,,117.0,,,,113.1,80.0,-73.0,,-68.1,,-81.0,-82.0,,,,,-94.0,,13.2,,,-68.0,-39.3,-94.5,,,-105.0,-69.1,-138.1,,-38.0,-80.0,-76.8,,,,,,-36.0,,,,-39.9,-73.0,,True,,False,False,,,,,False,,True,,,True,True,False,,,False,True,False,,True,False,False,,,,,,True,,,,True,False
21007,19,17.0,,17.5,,10.0,7.0,,,,,9.8,,44.3,,,30.0,17.3,11.0,,,3.0,10.3,0.0,,16.0,18.0,12.3,,,,,,31.4,,,,10.2,10.0,-2.0,,-1.5,,-9.0,-12.0,,,,,-9.2,,25.3,,,11.0,-1.7,-8.0,,,-16.0,-8.7,-19.0,,-3.0,-1.0,-6.7,,,,,,12.4,,,,-8.8,-9.0,,True,,False,False,,,,,False,,False,,,False,True,False,,,False,False,False,,False,True,False,,,,,,False,,,,False,False
21009,197,92.0,,92.4,,92.0,89.0,,,,,96.6,,226.3,,,212.0,99.0,87.0,86.0,,54.0,91.4,0.0,,91.0,115.0,113.3,,,,,85.4,107.3,,,,111.5,93.0,-105.0,,-104.6,,-105.0,-108.0,,,,,-100.4,,29.3,,,15.0,-98.0,-110.0,-111.0,,-143.0,-105.6,-197.0,,-106.0,-82.0,-83.7,,,,,-111.6,-89.7,,,,-85.5,-104.0,,True,,False,False,,,,,True,,True,,,True,True,False,False,,False,False,False,,False,True,True,,,,,False,True,,,,True,True
21011,72,25.0,,21.2,,23.0,21.0,,,,,26.2,,52.3,,,52.0,13.6,25.0,,,0.0,23.1,0.0,,38.0,33.0,37.4,,,,,,39.8,,,,40.8,26.0,-47.0,,-50.8,,-49.0,-51.0,,,,,-45.8,,-19.7,,,-20.0,-58.4,-47.0,,,-72.0,-48.9,-72.0,,-34.0,-39.0,-34.6,,,,,,-32.2,,,,-31.2,-46.0,,False,,False,False,,,,,True,,True,,,True,False,False,,,False,False,False,,True,True,True,,,,,,True,,,,True,True
21013,157,168.0,,176.9,,131.0,168.0,,,,,91.1,,450.5,,,134.0,163.4,86.0,,,38.0,107.3,0.1,,142.0,143.0,68.6,,,,,,145.6,,,,130.8,94.0,11.0,,19.9,,-26.0,11.0,,,,,-65.9,,293.5,,,-23.0,6.4,-71.0,,,-119.0,-49.7,-156.9,,-15.0,-14.0,-88.4,,,,,,-11.4,,,,-26.2,-63.0,,False,,False,False,,,,,False,,False,,,False,True,False,,,False,False,False,,False,False,False,,,,,,False,,,,False,False
21015,839,538.0,,553.5,,516.0,632.0,,,,,332.0,,1232.2,,,593.0,545.9,384.3,449.0,,539.0,483.3,0.0,,508.0,493.0,383.6,,,,,573.7,602.0,1012.0,,,635.7,349.0,-301.0,,-285.5,,-323.0,-207.0,,,,,-507.0,,393.2,,,-246.0,-293.1,-454.7,-390.0,,-300.0,-355.7,-839.0,,-331.0,-346.0,-455.4,,,,,-265.3,-237.0,173.0,,,-203.3,-490.0,,True,,False,True,,,,,False,,False,,,True,True,False,False,,True,False,False,,False,False,False,,,,,True,True,True,,,True,False
21017,121,133.0,,138.1,,103.0,166.0,,,,,63.1,,265.7,,,103.0,163.5,53.4,,,89.0,85.5,11.9,,131.0,105.0,42.5,,,,,,143.5,,,,178.7,98.0,12.0,,17.1,,-18.0,45.0,,,,,-57.9,,144.7,,,-18.0,42.5,-67.6,,,-32.0,-35.5,-109.1,,10.0,-16.0,-78.5,,,,,,22.5,,,,57.7,-23.0,,False,,False,False,,,,,False,,False,,,False,False,False,,,False,False,False,,True,False,False,,,,,,False,,,,False,False
21019,451,260.0,,239.0,,192.0,381.0,,,,,143.1,,569.0,,,192.0,422.7,142.0,175.0,,123.0,208.4,0.0,,250.0,221.0,117.6,,,,,300.7,361.4,,,,385.3,165.0,-191.0,,-212.0,,-259.0,-70.0,,,,,-307.9,,118.0,,,-259.0,-28.3,-309.0,-276.0,,-328.0,-242.6,-451.0,,-201.0,-230.0,-333.4,,,,,-150.3,-89.6,,,,-65.7,-286.0,,False,,False,True,,,,,False,,True,,,False,True,False,False,,False,False,False,,False,False,False,,,,,True,True,,,,True,False
21021,384,389.0,,374.5,,300.0,497.0,,,,,155.7,,685.4,,,132.0,782.8,169.8,216.0,,294.0,322.5,71.1,,460.0,308.0,142.2,,,,,,311.4,,,,475.8,242.0,5.0,,-9.5,,-84.0,113.0,,,,,-228.3,,301.4,,,-252.0,398.8,-214.2,-168.0,,-90.0,-61.5,-312.9,,76.0,-76.0,-241.8,,,,,,-72.6,,,,91.8,-142.0,,False,,False,False,,,,,False,,False,,,False,False,False,False,,False,False,False,,False,False,False,,,,,,False,,,,False,False
21023,51,15.0,,12.7,,13.0,11.0,,,,,13.4,,63.6,,,29.0,9.7,13.7,,,4.0,13.5,0.0,,22.0,18.0,12.8,,,,,,34.1,,,,20.9,10.0,-36.0,,-38.3,,-38.0,-40.0,,,,,-37.6,,12.6,,,-22.0,-41.3,-37.3,,,-47.0,-37.5,-51.0,,-29.0,-33.0,-38.2,,,,,,-16.9,,,,-30.1,-41.0,,False,,False,False,,,,,False,,True,,,True,False,False,,,False,False,False,,True,True,False,,,,,,True,,,,True,False
21025,65,96.0,,90.2,,53.0,104.0,,,,,34.1,,258.0,,,52.0,96.0,48.2,,,39.0,52.6,0.4,,90.0,73.0,36.1,,,,,,118.1,,,,53.4,52.0,31.0,,25.2,,-12.0,39.0,,,,,-30.9,,193.0,,,-13.0,31.0,-16.8,,,-26.0,-12.4,-64.6,,25.0,8.0,-28.9,,,,,,53.1,,,,-11.6,-13.0,,True,,True,False,,,,,True,,False,,,True,True,True,,,True,True,False,,True,True,True,,,,,,False,,,,True,True
21027,111,53.0,,54.7,,49.0,49.0,,,,,31.6,,86.8,,,61.0,62.3,39.3,,,31.0,48.8,0.0,,62.0,55.0,42.3,,,,,,63.0,,,,45.8,41.0,-58.0,,-56.3,,-62.0,-62.0,,,,,-79.4,,-24.2,,,-50.0,-48.7,-71.7,,,-80.0,-62.2,-111.0,,-49.0,-56.0,-68.7,,,,,,-48.0,,,,-65.2,-70.0,,True,,False,False,,,,,False,,True,,,True,True,False,,,False,False,False,,True,True,False,,,,,,True,,,,False,False
21029,365,283.0,,285.1,,212.0,374.0,,,,,179.1,,546.6,,,304.0,350.6,130.4,201.0,,356.0,211.9,25.2,,244.0,281.0,208.1,,,,,271.1,335.1,,,,165.7,169.0,-82.0,,-79.9,,-153.0,9.0,,,,,-185.9,,181.6,,,-61.0,-14.4,-234.6,-164.0,,-9.0,-153.1,-339.8,,-121.0,-84.0,-156.9,,,,,-93.9,-29.9,,,,-199.3,-196.0,,True,,False,True,,,,,False,,False,,,True,True,False,False,,True,False,False,,False,False,False,,,,,False,True,,,,False,False
21031,79,67.0,,58.9,,47.0,45.0,,,,,34.6,,148.9,,,55.0,70.3,37.3,,,47.0,44.2,6.6,,63.0,54.0,31.8,,,,,,75.4,,,,134.2,33.0,-12.0,,-20.1,,-32.0,-34.0,,,,,-44.4,,69.9,,,-24.0,-8.7,-41.7,,,-32.0,-34.8,-72.4,,-16.0,-25.0,-47.2,,,,,,-3.6,,,,55.2,-46.0,,False,,False,False,,,,,False,,False,,,False,True,False,,,False,False,False,,False,False,False,,,,,,True,,,,False,False
21033,81,28.0,,34.6,,32.0,5.0,,,,,30.1,,109.8,,,60.0,33.4,22.7,,,33.0,26.4,0.0,,28.0,36.0,29.8,,,,,,45.6,,,,38.3,34.0,-53.0,,-46.4,,-49.0,-76.0,,,,,-50.9,,28.8,,,-21.0,-47.6,-58.3,,,-48.0,-54.6,-81.0,,-53.0,-45.0,-51.2,,,,,,-35.4,,,,-42.7,-47.0,,True,,True,False,,,,,True,,True,,,True,True,False,,,True,False,False,,False,True,True,,,,,,True,,,,True,True
21035,209,143.0,,146.2,,143.0,176.0,,,,,101.4,,286.8,,,178.0,197.9,86.6,96.0,,150.0,122.1,0.0,,137.0,136.0,166.1,,,,,145.4,131.4,,,,211.7,106.0,-66.0,,-62.8,,-66.0,-33.0,,,,,-107.6,,77.8,,,-31.0,-11.1,-122.4,-113.0,,-59.0,-86.9,-209.0,,-72.0,-73.0,-42.9,,,,,-63.6,-77.6,,,,2.7,-103.0,,True,,False,True,,,,,False,,False,,,True,True,False,False,,True,False,False,,False,False,True,,,,,True,False,,,,True,False
21037,486,320.0,,322.9,,311.0,380.0,,,,,208.4,,730.3,,,438.0,310.7,232.5,283.0,,323.5,273.8,0.1,,306.0,327.0,293.1,,,,,338.4,317.8,,,,316.7,201.0,-166.0,,-163.1,,-175.0,-106.0,,,,,-277.6,,244.3,,,-48.0,-175.3,-253.5,-203.0,,-162.5,-212.2,-485.9,,-180.0,-159.0,-192.9,,,,,-147.6,-168.2,,,,-169.3,-285.0,,True,,False,True,,,,,False,,False,,,True,False,False,False,,True,False,False,,False,True,False,,,,,True,False,,,,False,False
21039,26,29.0,,30.8,,25.0,25.0,,,,,18.5,,59.6,,,25.0,60.2,19.2,,,22.0,24.9,0.5,,45.0,27.0,24.1,,,,,,42.5,,,,31.3,25.0,3.0,,4.8,,-1.0,-1.0,,,,,-7.5,,33.6,,,-1.0,34.2,-6.8,,,-4.0,-1.1,-25.5,,19.0,1.0,-1.9,,,,,,16.5,,,,5.3,-1.0,,False,,True,True,,,,,False,,False,,,True,False,False,,,False,True,False,,False,True,True,,,,,,False,,,,False,True
21041,122,36.0,,32.1,,30.0,17.0,,,,,24.6,,70.4,,,58.0,70.3,22.1,,,18.0,25.5,0.0,,26.0,31.0,33.8,,,,,,56.3,,,,29.6,32.0,-86.0,,-89.9,,-92.0,-105.0,,,,,-97.4,,-51.6,,,-64.0,-51.7,-99.9,,,-104.0,-96.5,-122.0,,-96.0,-91.0,-88.2,,,,,,-65.7,,,,-92.4,-90.0,,False,,False,False,,,,,False,,True,,,True,True,False,,,False,False,False,,False,False,False,,,,,,True,,,,False,False
21043,83,128.0,,137.3,,86.0,73.0,,,,,84.8,,351.1,,,103.0,80.6,85.6,,,38.0,94.2,0.0,,137.0,116.0,69.6,,,,,,96.0,,,,123.6,99.0,45.0,,54.3,,3.0,-10.0,,,,,1.8,,268.1,,,20.0,-2.4,2.6,,,-45.0,11.2,-83.0,,54.0,33.0,-13.4,,,,,,13.0,,,,40.6,16.0,,False,,True,True,,,,,True,,False,,,True,True,True,,,False,True,False,,False,True,True,,,,,,True,,,,True,True
21045,36,28.0,,43.8,,24.0,14.0,,,,,36.4,,32.5,,,59.0,17.5,38.6,,,6.0,23.3,0.0,,28.0,38.0,40.1,,,,,,32.6,,,,24.2,40.0,-8.0,,7.8,,-12.0,-22.0,,,,,0.4,,-3.5,,,23.0,-18.5,2.6,,,-30.0,-12.7,-36.0,,-8.0,2.0,4.1,,,,,,-3.4,,,,-11.8,4.0,,True,,False,False,,,,,True,,True,,,False,False,True,,,False,False,False,,False,True,True,,,,,,True,,,,False,True
21047,449,390.0,,394.8,,317.0,410.0,,,,,221.0,,952.9,,,313.0,390.1,209.3,248.0,,435.0,316.7,62.6,,396.0,341.0,249.8,,,,,380.7,329.9,,,,409.3,276.0,-59.0,,-54.2,,-132.0,-39.0,,,,,-228.0,,503.9,,,-136.0,-58.9,-239.7,-201.0,,-14.0,-132.3,-386.4,,-53.0,-108.0,-199.2,,,,,-68.3,-119.1,,,,-39.7,-173.0,,True,,False,True,,,,,False,,False,,,False,True,False,False,,True,False,False,,True,False,False,,,,,False,False,,,,True,False
21049,213,66.0,,66.5,,66.0,49.0,,,,,64.0,,101.0,,,141.0,73.9,61.7,79.0,,38.0,61.9,0.0,,75.0,86.0,99.3,,,,,,129.2,,,,112.4,74.0,-147.0,,-146.5,,-147.0,-164.0,,,,,-149.0,,-112.0,,,-72.0,-139.1,-151.3,-134.0,,-175.0,-151.1,-213.0,,-138.0,-127.0,-113.7,,,,,,-83.8,,,,-100.6,-139.0,,True,,False,False,,,,,False,,True,,,True,True,False,True,,False,False,False,,True,True,True,,,,,,True,,,,True,True
21051,259,168.0,,180.7,,138.0,204.0,,,,,93.0,,341.9,,,97.0,169.6,100.0,,,107.0,135.2,0.2,,203.0,140.0,129.1,,,,,,161.1,,,,298.1,88.0,-91.0,,-78.3,,-121.0,-55.0,,,,,-166.0,,82.9,,,-162.0,-89.4,-159.0,,,-152.0,-123.8,-258.8,,-56.0,-119.0,-129.9,,,,,,-97.9,,,,39.1,-171.0,,True,,False,True,,,,,False,,True,,,False,True,False,,,False,False,False,,True,False,False,,,,,,False,,,,True,False
21053,97,87.0,,82.4,,72.0,53.0,,,,,55.6,,93.9,,,73.0,78.0,55.8,,,86.0,72.3,0.0,,77.0,69.0,41.0,,,,,,99.3,,,,85.5,83.0,-10.0,,-14.6,,-25.0,-44.0,,,,,-41.4,,-3.1,,,-24.0,-19.0,-41.2,,,-11.0,-24.7,-97.0,,-20.0,-28.0,-56.0,,,,,,2.3,,,,-11.5,-14.0,,False,,False,False,,,,,False,,True,,,False,False,False,,,False,False,False,,False,False,False,,,,,,True,,,,False,False
21055,73,31.0,,27.5,,25.0,12.0,,,,,15.0,,136.6,,,35.0,35.8,16.5,,,17.0,24.4,4.2,,31.0,30.0,27.6,,,,,,43.3,,,,31.3,11.0,-42.0,,-45.5,,-48.0,-61.0,,,,,-58.0,,63.6,,,-38.0,-37.2,-56.5,,,-56.0,-48.6,-68.8,,-42.0,-43.0,-45.4,,,,,,-29.7,,,,-41.7,-62.0,,False,,False,False,,,,,False,,False,,,True,True,False,,,False,False,False,,False,False,False,,,,,,True,,,,True,False
21057,65,35.0,,32.1,,27.0,17.0,,,,,19.6,,78.2,,,38.0,36.0,21.8,,,18.0,27.1,0.0,,35.0,28.0,20.8,,,,,,37.3,,,,27.5,31.0,-30.0,,-32.9,,-38.0,-48.0,,,,,-45.4,,13.2,,,-27.0,-29.0,-43.2,,,-47.0,-37.9,-65.0,,-30.0,-37.0,-44.2,,,,,,-27.7,,,,-37.5,-34.0,,False,,False,False,,,,,False,,True,,,True,True,False,,,False,False,False,,False,False,False,,,,,,True,,,,False,False
21059,756,486.0,,461.1,,433.0,479.0,,,,,302.9,,1155.1,,,428.0,511.0,309.0,375.5,,484.0,453.2,0.0,,464.0,468.0,412.7,,,,,432.5,463.5,,,,432.9,363.0,-270.0,,-294.9,,-323.0,-277.0,,,,,-453.1,,399.1,,,-328.0,-245.0,-447.0,-380.5,,-272.0,-302.8,-756.0,,-292.0,-288.0,-343.3,,,,,-323.5,-292.5,,,,-323.1,-393.0,,False,,False,False,,,,,False,,False,,,False,True,False,False,,False,False,False,,False,False,False,,,,,False,False,,,,False,False
21061,54,28.0,,29.0,,22.0,13.0,,,,,21.4,,44.6,,,36.0,40.4,19.7,,,16.0,24.7,0.0,,28.0,28.0,27.5,,,,,,36.4,,,,20.7,23.0,-26.0,,-25.0,,-32.0,-41.0,,,,,-32.6,,-9.4,,,-18.0,-13.6,-34.3,,,-38.0,-29.3,-54.0,,-26.0,-26.0,-26.5,,,,,,-17.6,,,,-33.3,-31.0,,True,,False,False,,,,,False,,True,,,True,True,False,,,False,False,False,,False,False,False,,,,,,True,,,,False,False
21063,34,63.0,,63.6,,33.0,7.0,,,,,24.9,,175.1,,,38.0,107.4,22.7,,,11.0,32.5,0.0,,56.0,46.0,21.1,,,,,,58.6,,,,152.1,42.0,29.0,,29.6,,-1.0,-27.0,,,,,-9.1,,141.1,,,4.0,73.4,-11.3,,,-23.0,-1.5,-34.0,,22.0,12.0,-12.9,,,,,,24.6,,,,118.1,8.0,,False,,True,True,,,,,True,,False,,,True,False,True,,,True,True,False,,True,True,True,,,,,,True,,,,False,True
21065,42,42.0,,40.1,,35.0,35.0,,,,,30.2,,117.0,,,58.0,39.2,31.9,,,24.0,31.6,0.0,,49.0,39.0,42.5,,,,,,47.3,,,,46.1,,0.0,,-1.9,,-7.0,-7.0,,,,,-11.8,,75.0,,,16.0,-2.8,-10.1,,,-18.0,-10.4,-42.0,,7.0,-3.0,0.5,,,,,,5.3,,,,4.1,,,False,,False,False,,,,,False,,False,,,False,False,False,,,False,False,False,,False,False,False,,,,,,False,,,,False,
