,actual_cases,COVIDhub-baseline,BPagano-RtDriven,CEID-Walk,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,Geneva-DetGrowth,Google_Harvard-CPF,IBF-TimeSeries,IEM_MED-CovidProject,IowaStateLW-STEM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,JHU_UNC_GAS-StatMechPool,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,Microsoft-DeepSTIA,OliverWyman-Navigator,OneQuietNight-ML,QJHong-Encounter,RobertWalraven-ESG,TTU-squider,UCF-AEM,UCLA-SuEIR,UCSB-ACTS,UChicagoCHATTOPADHYAY-UnIT,UMich-RidgeTfReg,USC-SI_kJalpha,UVA-Ensemble,Wadhwani_AI-BayesOpt,error-COVIDhub-baseline,error-BPagano-RtDriven,error-CEID-Walk,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-Geneva-DetGrowth,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IEM_MED-CovidProject,error-IowaStateLW-STEM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-JHU_UNC_GAS-StatMechPool,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-Microsoft-DeepSTIA,error-OliverWyman-Navigator,error-OneQuietNight-ML,error-QJHong-Encounter,error-RobertWalraven-ESG,error-TTU-squider,error-UCF-AEM,error-UCLA-SuEIR,error-UCSB-ACTS,error-UChicagoCHATTOPADHYAY-UnIT,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,error-UVA-Ensemble,error-Wadhwani_AI-BayesOpt,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-Geneva-DetGrowth,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IEM_MED-CovidProject,beat_baseline-IowaStateLW-STEM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-JHU_UNC_GAS-StatMechPool,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-Microsoft-DeepSTIA,beat_baseline-OliverWyman-Navigator,beat_baseline-OneQuietNight-ML,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-TTU-squider,beat_baseline-UCF-AEM,beat_baseline-UCLA-SuEIR,beat_baseline-UCSB-ACTS,beat_baseline-UChicagoCHATTOPADHYAY-UnIT,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha,beat_baseline-UVA-Ensemble,beat_baseline-Wadhwani_AI-BayesOpt
Montana,4158,2511.0,4219.2,2496.9,2239.0,2009.0,,2414.1,1420.0,2073.5,1767.9,2102.0,,1823.9,2797.0,2740.8,2546.0,1942.4,1672.0,2329.7,1725.0,1933.9,2738.3,2454.0,2080.0,,1757.3,3214.7,,2388.8,3064.9,3915.3,2250.9,2004.0,2600.6,1710.2,-1647.0,61.2,-1661.1,-1919.0,-2149.0,,-1743.9,-2738.0,-2084.5,-2390.1,-2056.0,,-2334.1,-1361.0,-1417.2,-1612.0,-2215.6,-2486.0,-1828.3,-2433.0,-2224.1,-1419.7,-1704.0,-2078.0,,-2400.7,-943.3,,-1769.2,-1093.1,-242.7,-1907.1,-2154.0,-1557.4,-2447.8,True,False,False,False,,False,False,False,False,False,,False,True,True,True,False,False,False,False,False,True,False,False,,False,True,,False,True,True,False,False,True,False
Nebraska,7358,6925.0,8258.2,6524.8,6303.0,7109.0,,5778.7,3359.0,4986.8,6210.5,5981.2,,4845.0,6065.0,6652.6,6728.0,4693.3,4558.5,4619.7,4468.5,6302.5,6730.4,6112.0,7160.0,,5695.2,7981.9,,8241.1,8311.6,7851.8,6249.0,6454.0,7544.7,4034.9,-433.0,900.2,-833.2,-1055.0,-249.0,,-1579.3,-3999.0,-2371.2,-1147.5,-1376.8,,-2513.0,-1293.0,-705.4,-630.0,-2664.7,-2799.5,-2738.3,-2889.5,-1055.5,-627.6,-1246.0,-198.0,,-1662.8,623.9,,883.1,953.6,493.8,-1109.0,-904.0,186.7,-3323.1,False,False,False,True,,False,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,True,,False,False,,False,False,False,False,False,True,False
Nevada,17438,13218.0,15622.9,13537.8,13002.0,10832.0,,12627.0,11665.0,14702.3,12483.0,15957.1,,11617.3,14624.0,15681.3,12840.0,8761.3,11744.5,11688.0,11666.5,12956.7,14081.6,12856.0,13124.0,,12894.7,13541.4,,13278.1,20678.3,13170.1,12574.7,13872.0,16611.2,,-4220.0,-1815.1,-3900.2,-4436.0,-6606.0,,-4811.0,-5773.0,-2735.7,-4955.0,-1480.9,,-5820.7,-2814.0,-1756.7,-4598.0,-8676.7,-5693.5,-5750.0,-5771.5,-4481.3,-3356.4,-4582.0,-4314.0,,-4543.3,-3896.6,,-4159.9,3240.3,-4267.9,-4863.3,-3566.0,-826.8,,True,True,False,False,,False,False,True,False,True,,False,True,True,False,False,False,False,False,False,True,False,False,,False,True,,True,True,False,False,True,True,
New Hampshire,5665,5273.0,5357.1,5348.2,5212.0,5416.0,,4995.9,5843.0,4018.3,6384.3,5754.1,,4678.8,5212.0,7314.4,5585.0,3785.7,4824.5,4333.4,6016.0,4952.3,5977.6,5395.0,4919.0,,5208.6,8574.3,,4879.5,7863.9,4176.3,4444.4,5508.0,6393.9,3531.7,-392.0,-307.9,-316.8,-453.0,-249.0,,-669.1,178.0,-1646.7,719.3,89.1,,-986.2,-453.0,1649.4,-80.0,-1879.3,-840.5,-1331.6,351.0,-712.7,312.6,-270.0,-746.0,,-456.4,2909.3,,-785.5,2198.9,-1488.7,-1220.6,-157.0,728.9,-2133.3,True,True,False,True,,False,True,False,False,True,,False,False,False,True,False,False,False,True,False,True,True,False,,False,False,,False,False,False,False,True,False,False
New Jersey,38048,29471.0,30783.3,29715.9,29748.0,33906.0,,28116.3,32730.0,25720.5,30668.2,36193.2,,29008.4,31046.0,31666.0,26242.0,24917.7,29164.0,29785.5,25251.0,29868.7,30025.7,30011.0,28188.0,,30696.9,26503.2,,27973.1,44127.1,28407.7,33623.7,29842.0,32778.7,22807.9,-8577.0,-7264.7,-8332.1,-8300.0,-4142.0,,-9931.7,-5318.0,-12327.5,-7379.8,-1854.8,,-9039.6,-7002.0,-6382.0,-11806.0,-13130.3,-8884.0,-8262.5,-12797.0,-8179.3,-8022.3,-8037.0,-9860.0,,-7351.1,-11544.8,,-10074.9,6079.1,-9640.3,-4424.3,-8206.0,-5269.3,-15240.1,True,True,True,True,,False,True,False,True,True,,False,True,True,False,False,False,True,False,True,True,True,False,,True,False,,False,True,False,True,True,True,False
New Mexico,9575,8153.0,9863.0,8239.5,7533.0,7616.0,,7503.0,5680.0,6193.1,7225.0,8649.3,,6388.9,7858.0,8784.4,7743.0,4208.6,7068.5,6993.0,5972.0,7532.6,7756.6,7949.0,6790.0,,6706.2,5067.3,,7113.7,9429.7,8671.1,9044.2,7781.0,10365.3,5456.0,-1422.0,288.0,-1335.5,-2042.0,-1959.0,,-2072.0,-3895.0,-3381.9,-2350.0,-925.7,,-3186.1,-1717.0,-790.6,-1832.0,-5366.4,-2506.5,-2582.0,-3603.0,-2042.4,-1818.4,-1626.0,-2785.0,,-2868.8,-4507.7,,-2461.3,-145.3,-903.9,-530.8,-1794.0,790.3,-4119.0,True,True,False,False,,False,False,False,False,True,,False,False,True,False,False,False,False,False,False,False,False,False,,False,False,,False,True,True,True,False,True,False
New York,107619,87651.0,77880.6,87402.9,87403.0,98473.0,,82925.7,102991.0,84157.0,98617.2,89630.9,,101222.8,80433.0,114698.3,75785.0,79550.5,76073.5,97070.9,101538.5,92146.2,85802.2,95198.0,95593.0,,73866.1,99876.6,,99293.7,109682.2,74159.4,108680.6,85900.0,77240.1,61306.5,-19968.0,-29738.4,-20216.1,-20216.0,-9146.0,,-24693.3,-4628.0,-23462.0,-9001.8,-17988.1,,-6396.2,-27186.0,7079.3,-31834.0,-28068.5,-31545.5,-10548.1,-6080.5,-15472.8,-21816.8,-12421.0,-12026.0,,-33752.9,-7742.4,,-8325.3,2063.2,-33459.6,1061.6,-21719.0,-30378.9,-46312.5,False,False,False,True,,False,True,False,True,True,,True,False,True,False,False,False,True,True,True,False,True,True,,False,True,,True,True,False,True,False,False,False
North Carolina,55918,44507.0,46136.7,44018.4,44507.0,50168.0,,43075.0,55801.0,32777.0,54148.7,73153.1,,45648.1,48021.0,52689.2,43914.0,29914.6,39460.5,54724.2,37641.5,44447.4,49595.1,45116.0,47342.0,,48120.0,32086.9,,44202.5,64462.9,39238.1,43671.6,37826.0,59245.0,32028.0,-11411.0,-9781.3,-11899.6,-11411.0,-5750.0,,-12843.0,-117.0,-23141.0,-1769.3,17235.1,,-10269.9,-7897.0,-3228.8,-12004.0,-26003.4,-16457.5,-1193.8,-18276.5,-11470.6,-6322.9,-10802.0,-8576.0,,-7798.0,-23831.1,,-11715.5,8544.9,-16679.9,-12246.4,-18092.0,3327.0,-23890.0,True,False,False,True,,False,True,False,True,False,,True,True,True,False,False,False,True,False,False,True,True,True,,True,False,,False,True,False,False,False,True,False
North Dakota,1667,1537.0,2454.9,1451.1,1363.0,948.0,,1363.4,571.0,1008.9,1559.6,1158.0,,953.7,1903.0,1403.6,1327.0,1724.3,817.5,1187.9,732.5,1451.7,1554.4,1264.0,1824.0,,1244.6,1236.0,,2031.6,0.0,2278.6,506.7,1329.0,1696.9,1005.7,-130.0,787.9,-215.9,-304.0,-719.0,,-303.6,-1096.0,-658.1,-107.4,-509.0,,-713.3,236.0,-263.4,-340.0,57.3,-849.5,-479.1,-934.5,-215.3,-112.6,-403.0,157.0,,-422.4,-431.0,,364.6,-1667.0,611.6,-1160.3,-338.0,29.9,-661.3,False,False,False,False,,False,False,False,True,False,,False,False,False,False,True,False,False,False,False,True,False,False,,False,False,,False,False,False,False,False,True,False
Ohio,56304,50005.0,58812.8,52782.9,48084.0,54111.0,,45787.9,76437.0,34342.1,50362.2,64286.2,,42449.7,49925.0,50124.1,41681.0,29988.5,43983.0,47480.7,41728.0,44437.5,50367.9,51404.0,47520.0,,43301.1,41534.6,,47284.2,68938.9,44585.8,61205.2,53938.0,49162.2,28930.2,-6299.0,2508.8,-3521.1,-8220.0,-2193.0,,-10516.1,20133.0,-21961.9,-5941.8,7982.2,,-13854.3,-6379.0,-6179.9,-14623.0,-26315.5,-12321.0,-8823.3,-14576.0,-11866.5,-5936.1,-4900.0,-8784.0,,-13002.9,-14769.4,,-9019.8,12634.9,-11718.2,4901.2,-2366.0,-7141.8,-27373.8,True,True,False,True,,False,False,False,True,False,,False,False,True,False,False,False,False,False,False,True,True,False,,False,False,,False,False,False,True,True,False,False
Oklahoma,28820,19547.0,24404.3,19462.8,20064.0,17893.0,,19426.5,27977.0,20608.4,19268.1,19354.5,,25585.9,19486.0,26010.0,18988.0,11056.3,16828.5,19935.4,26193.0,23445.2,25577.0,20163.0,20050.0,,24218.8,16233.8,,19523.7,31672.0,19568.9,21322.3,20794.0,20801.8,17650.4,-9273.0,-4415.7,-9357.2,-8756.0,-10927.0,,-9393.5,-843.0,-8211.6,-9551.9,-9465.5,,-3234.1,-9334.0,-2810.0,-9832.0,-17763.7,-11991.5,-8884.6,-2627.0,-5374.8,-3243.0,-8657.0,-8770.0,,-4601.2,-12586.2,,-9296.3,2852.0,-9251.1,-7497.7,-8026.0,-8018.2,-11169.6,True,False,True,False,,False,True,True,False,False,,True,False,True,False,False,False,True,True,True,True,True,True,,True,False,,False,True,True,True,True,True,False
Oregon,8128,8022.0,8513.9,8126.1,7940.0,8311.0,,6674.7,13555.0,5865.3,7640.4,9795.5,,6679.6,7566.0,8101.9,7379.0,6151.0,7654.5,5863.1,8535.5,7068.8,8487.4,8004.0,7771.0,,7188.3,10443.5,,8394.1,11299.2,8163.2,8012.5,8274.0,7940.2,4655.7,-106.0,385.9,-1.9,-188.0,183.0,,-1453.3,5427.0,-2262.7,-487.6,1667.5,,-1448.4,-562.0,-26.1,-749.0,-1977.0,-473.5,-2264.9,407.5,-1059.2,359.4,-124.0,-357.0,,-939.7,2315.5,,266.1,3171.2,35.2,-115.5,146.0,-187.8,-3472.3,False,True,False,False,,False,False,False,False,False,,False,False,True,False,False,False,False,False,False,False,False,False,,False,False,,False,False,True,False,False,False,False
Pennsylvania,56697,51813.0,58126.6,51338.2,50279.0,59988.0,,49769.9,89377.0,51279.6,52252.5,50967.4,,44324.5,53334.0,49176.1,44175.0,33959.3,51050.5,45659.7,40976.0,48790.6,48975.0,54761.0,45638.0,,42978.3,80945.0,,54594.2,85856.6,44070.1,63580.9,52159.0,71332.1,36656.1,-4884.0,1429.6,-5358.8,-6418.0,3291.0,,-6927.1,32680.0,-5417.4,-4444.5,-5729.6,,-12372.5,-3363.0,-7520.9,-12522.0,-22737.7,-5646.5,-11037.3,-15721.0,-7906.4,-7722.0,-1936.0,-11059.0,,-13718.7,24248.0,,-2102.8,29159.6,-12626.9,6883.9,-4538.0,14635.1,-20040.9,True,False,False,True,,False,False,False,True,False,,False,True,False,False,False,False,False,False,False,False,True,False,,False,False,,True,False,False,False,True,False,False
Rhode Island,9665,5883.0,6280.3,5993.2,5429.0,3579.0,,5429.3,3766.0,7280.3,5631.4,3643.9,,4847.7,5526.0,6621.4,5852.0,3080.5,2883.0,5725.7,3548.0,4338.3,5962.0,3189.0,5586.0,,3538.7,6447.3,,5590.6,6903.6,4085.4,5858.0,2487.0,4099.5,3006.8,-3782.0,-3384.7,-3671.8,-4236.0,-6086.0,,-4235.7,-5899.0,-2384.7,-4033.6,-6021.1,,-4817.3,-4139.0,-3043.6,-3813.0,-6584.5,-6782.0,-3939.3,-6117.0,-5326.7,-3703.0,-6476.0,-4079.0,,-6126.3,-3217.7,,-4074.4,-2761.4,-5579.6,-3807.0,-7178.0,-5565.5,-6658.2,True,True,False,False,,False,False,True,False,False,,False,False,True,False,False,False,False,False,False,True,False,False,,False,True,,False,True,False,False,False,False,False
South Carolina,37366,23826.0,23792.0,23581.7,23826.0,24983.0,,24066.1,22584.0,24749.3,24145.5,20422.4,,24197.0,23220.0,34459.6,21928.0,14459.3,21298.5,35746.7,27843.5,25048.0,28195.4,23035.0,26478.0,,21472.2,28155.7,,25323.2,29875.3,23117.6,21656.8,18669.0,30032.5,20617.1,-13540.0,-13574.0,-13784.3,-13540.0,-12383.0,,-13299.9,-14782.0,-12616.7,-13220.5,-16943.6,,-13169.0,-14146.0,-2906.4,-15438.0,-22906.7,-16067.5,-1619.3,-9522.5,-12318.0,-9170.6,-14331.0,-10888.0,,-15893.8,-9210.3,,-12042.8,-7490.7,-14248.4,-15709.2,-18697.0,-7333.5,-16748.9,False,False,False,True,,True,False,True,True,False,,True,False,True,False,False,False,True,True,True,True,False,True,,False,True,,True,True,False,False,False,True,False
South Dakota,3072,2866.0,3641.9,2906.0,2603.0,1914.0,,2494.8,1547.0,2195.9,2996.1,2799.0,,2528.7,2856.0,2728.4,2706.0,1927.9,1885.5,2402.8,2247.5,2824.9,3142.2,2414.0,2720.0,,1853.6,1868.4,,3290.4,2067.7,3710.2,3024.9,2603.0,2689.0,1750.6,-206.0,569.9,-166.0,-469.0,-1158.0,,-577.2,-1525.0,-876.1,-75.9,-273.0,,-543.3,-216.0,-343.6,-366.0,-1144.1,-1186.5,-669.2,-824.5,-247.1,70.2,-658.0,-352.0,,-1218.4,-1203.6,,218.4,-1004.3,638.2,-47.1,-469.0,-383.0,-1321.4,False,True,False,False,,False,False,False,True,False,,False,False,False,False,False,False,False,False,False,True,False,False,,False,False,,False,False,False,True,False,False,False
Tennessee,42318,43240.0,52537.8,46186.7,40670.0,34165.0,,42617.0,69537.0,34893.9,58502.0,63323.2,,37319.0,39938.0,31725.1,37988.0,26496.2,34209.0,38005.4,41955.0,40669.9,40768.3,45803.0,40880.0,,40416.4,51504.1,,39612.0,90246.1,36575.9,45946.2,45939.0,51823.8,40583.4,922.0,10219.8,3868.7,-1648.0,-8153.0,,299.0,27219.0,-7424.1,16184.0,21005.2,,-4999.0,-2380.0,-10592.9,-4330.0,-15821.8,-8109.0,-4312.6,-363.0,-1648.1,-1549.7,3485.0,-1438.0,,-1901.6,9186.1,,-2706.0,47928.1,-5742.1,3628.2,3621.0,9505.8,-1734.6,False,False,False,False,,True,False,False,False,False,,False,False,False,False,False,False,False,True,False,False,False,False,,False,False,,False,False,False,False,False,False,False
Texas,150734,125315.0,116613.5,128296.1,111528.0,146372.0,,110552.2,94970.0,110268.8,121433.6,107842.5,,91468.4,112490.0,153929.2,,92180.4,102924.0,122141.0,102466.5,108682.1,132389.1,104746.0,144313.0,,107579.5,116245.3,,125267.7,127924.9,125316.8,110678.6,104694.0,133237.9,76028.4,-25419.0,-34120.5,-22437.9,-39206.0,-4362.0,,-40181.8,-55764.0,-40465.2,-29300.4,-42891.5,,-59265.6,-38244.0,3195.2,,-58553.6,-47810.0,-28593.0,-48267.5,-42051.9,-18344.9,-45988.0,-6421.0,,-43154.5,-34488.7,,-25466.3,-22809.1,-25417.2,-40055.4,-46040.0,-17496.1,-74705.6,False,True,False,True,,False,False,False,False,False,,False,False,True,,False,False,False,False,False,True,False,True,,False,False,,False,True,True,False,False,True,False
Utah,22069,17576.0,16685.8,17523.5,16498.0,15066.0,,16252.7,23718.0,11532.5,18516.7,21102.3,,15484.2,15922.0,17121.4,17536.0,8573.3,12060.5,13844.8,15947.0,17687.0,17391.9,16680.0,15938.0,,17140.2,13184.8,,16857.6,20461.2,10460.8,16525.7,17379.0,13593.7,10687.5,-4493.0,-5383.2,-4545.5,-5571.0,-7003.0,,-5816.3,1649.0,-10536.5,-3552.3,-966.7,,-6584.8,-6147.0,-4947.6,-4533.0,-13495.7,-10008.5,-8224.2,-6122.0,-4382.0,-4677.1,-5389.0,-6131.0,,-4928.8,-8884.2,,-5211.4,-1607.8,-11608.2,-5543.3,-4690.0,-8475.3,-11381.5,False,False,False,False,,False,True,False,True,True,,False,False,False,False,False,False,False,False,True,False,False,False,,False,False,,False,True,False,False,False,False,False
Vermont,1101,723.0,618.8,716.3,718.0,816.0,,609.6,1002.0,516.1,769.7,962.3,,735.2,721.0,870.6,737.0,1009.5,624.0,1612.4,643.5,647.1,832.9,869.0,551.0,,767.7,655.0,,839.7,1034.7,845.4,648.9,716.0,639.2,463.5,-378.0,-482.2,-384.7,-383.0,-285.0,,-491.4,-99.0,-584.9,-331.3,-138.7,,-365.8,-380.0,-230.4,-364.0,-91.5,-477.0,511.4,-457.5,-453.9,-268.1,-232.0,-550.0,,-333.3,-446.0,,-261.3,-66.3,-255.6,-452.1,-385.0,-461.8,-637.5,False,False,False,True,,False,True,False,True,True,,True,False,True,True,True,False,False,False,False,True,True,False,,True,False,,True,True,True,False,False,False,False
Virginia,34960,29178.0,29634.5,28728.2,29506.0,30530.0,,27832.8,27445.0,28513.2,31287.7,31813.3,,30682.7,28020.0,33845.4,26499.0,21851.1,28377.0,29487.2,30634.0,29975.5,32389.4,31597.0,31147.0,,30927.0,15534.4,,26962.9,39399.5,28143.9,29842.4,27439.0,38574.1,23818.8,-5782.0,-5325.5,-6231.8,-5454.0,-4430.0,,-7127.2,-7515.0,-6446.8,-3672.3,-3146.7,,-4277.3,-6940.0,-1114.6,-8461.0,-13108.9,-6583.0,-5472.8,-4326.0,-4984.5,-2570.6,-3363.0,-3813.0,,-4033.0,-19425.6,,-7997.1,4439.5,-6816.1,-5117.6,-7521.0,3614.1,-11141.2,True,False,True,True,,False,False,False,True,True,,True,False,True,False,False,False,True,True,True,True,True,True,,True,False,,False,True,False,True,False,True,False
Washington,24843,10033.0,17451.8,8676.9,13899.0,17958.0,,13022.3,10687.0,17548.7,23253.2,9095.1,,17045.0,14776.0,21989.9,11577.0,9340.8,11515.5,20567.9,19842.0,12726.7,19247.5,12583.0,10913.0,,15579.8,22591.0,,10316.6,19666.9,11781.1,12528.7,11714.0,16237.8,,-14810.0,-7391.2,-16166.1,-10944.0,-6885.0,,-11820.7,-14156.0,-7294.3,-1589.8,-15747.9,,-7798.0,-10067.0,-2853.1,-13266.0,-15502.2,-13327.5,-4275.1,-5001.0,-12116.3,-5595.5,-12260.0,-13930.0,,-9263.2,-2252.0,,-14526.4,-5176.1,-13061.9,-12314.3,-13129.0,-8605.2,,True,False,True,True,,True,True,True,True,False,,True,True,True,True,False,True,True,True,True,True,True,True,,True,True,,True,True,True,True,True,True,
West Virginia,10451,9150.0,9377.4,9204.6,9189.0,9189.0,,8803.1,11123.0,9180.7,9793.4,12002.0,,9973.0,8063.0,10756.1,8861.0,6199.3,8641.0,9335.6,9254.5,10460.4,10512.0,10637.0,8468.0,,8295.2,8081.8,,9109.2,13638.5,8357.3,10266.1,8604.0,10206.0,7880.1,-1301.0,-1073.6,-1246.4,-1262.0,-1262.0,,-1647.9,672.0,-1270.3,-657.6,1551.0,,-478.0,-2388.0,305.1,-1590.0,-4251.7,-1810.0,-1115.4,-1196.5,9.4,61.0,186.0,-1983.0,,-2155.8,-2369.2,,-1341.8,3187.5,-2093.7,-184.9,-1847.0,-245.0,-2570.9,True,True,True,True,,False,True,True,True,False,,True,False,True,False,False,False,True,True,True,True,True,False,,False,False,,False,False,False,True,False,True,False
Wisconsin,24482,17630.0,23812.7,17356.2,15932.0,17653.0,,15476.6,7792.0,14289.1,15666.1,12946.6,,12656.5,17686.0,17270.8,15947.0,11934.4,12572.5,15367.2,12264.0,16576.6,18749.5,15148.0,18301.0,,13427.7,10521.6,,19006.7,16444.4,16799.6,13270.2,14886.0,22571.3,10760.4,-6852.0,-669.3,-7125.8,-8550.0,-6829.0,,-9005.4,-16690.0,-10192.9,-8815.9,-11535.4,,-11825.5,-6796.0,-7211.2,-8535.0,-12547.6,-11909.5,-9114.8,-12218.0,-7905.4,-5732.5,-9334.0,-6181.0,,-11054.3,-13960.4,,-5475.3,-8037.6,-7682.4,-11211.8,-9596.0,-1910.7,-13721.6,True,False,False,True,,False,False,False,False,False,,False,True,False,False,False,False,False,False,False,True,False,True,,False,False,,True,False,False,False,False,True,False
Wyoming,2146,1427.0,2406.1,1416.4,1284.0,931.0,,1475.2,1122.0,1022.2,1276.2,1264.6,,1019.8,1496.0,1711.6,1463.0,897.4,993.5,1067.9,1364.0,1271.4,1660.8,1472.0,947.0,,978.1,1957.3,,1580.3,2068.2,1784.6,1252.6,1374.0,1244.0,1008.3,-719.0,260.1,-729.6,-862.0,-1215.0,,-670.8,-1024.0,-1123.8,-869.8,-881.4,,-1126.2,-650.0,-434.4,-683.0,-1248.6,-1152.5,-1078.1,-782.0,-874.6,-485.2,-674.0,-1199.0,,-1167.9,-188.7,,-565.7,-77.8,-361.4,-893.4,-772.0,-902.0,-1137.7,True,False,False,False,,True,False,False,False,False,,False,True,True,True,False,False,False,False,False,True,True,False,,False,True,,True,True,True,False,False,False,False
US,1710545,1434058.0,1505929.4,1404550.2,1423488.0,1533396.0,1268888.0,1352113.7,1468373.0,1534557.7,1345770.1,,1723740.0,1345701.5,1306024.0,1581327.0,,991694.9,,1488708.7,1346457.0,1410356.7,1455280.4,1436007.0,1560365.0,1612429.0,1409364.7,1449584.0,1517811.0,1412917.8,,1296505.9,1669387.6,1372519.0,2352718.4,,-276487.0,-204615.6,-305994.8,-287057.0,-177149.0,-441657.0,-358431.3,-242172.0,-175987.3,-364774.9,,13195.0,-364843.5,-404521.0,-129218.0,,-718850.1,,-221836.3,-364088.0,-300188.3,-255264.6,-274538.0,-150180.0,-98116.0,-301180.3,-260961.0,-192734.0,-297627.2,,-414039.1,-41157.4,-338026.0,642173.4,,True,False,False,True,False,False,True,True,False,,True,False,False,True,,False,,True,False,False,True,True,True,True,False,True,True,False,,False,True,False,False,
