,actual_cases,COVIDhub-baseline,Columbia_UNC-SurvCon,Covid19Sim-Simulator,IBF-TimeSeries,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,OneQuietNight-ML,UCF-AEM,UCLA-SuEIR,USACE-ERDC_SEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-OneQuietNight-ML,error-UCF-AEM,error-UCLA-SuEIR,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-OneQuietNight-ML,beat_baseline-UCF-AEM,beat_baseline-UCLA-SuEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha
Ohio,427691,371301.0,,362684.0,,467382.0,604699.0,984834.3,602601.0,,600273.7,196779.2,222731.0,-56390.0,,-65007.0,,39691.0,177008.0,557143.3,174910.0,,172582.7,-230911.8,-204960.0,,False,,True,False,False,False,,False,False,False
Oklahoma,153951,145033.0,,136234.2,,164602.0,232489.2,289939.0,227913.0,,141355.8,91268.4,99931.0,-8918.0,,-17716.8,,10651.0,78538.2,135988.0,73962.0,,-12595.2,-62682.6,-54020.0,,False,,False,False,False,False,,False,False,False
Oregon,60808,53550.0,,54110.1,,54877.0,100721.0,87926.1,94172.0,,71010.3,85348.7,35253.0,-7258.0,,-6697.9,,-5931.0,39913.0,27118.1,33364.0,,10202.3,24540.7,-25555.0,,True,,True,False,False,False,,False,False,False
Pennsylvania,410289,299362.0,,323403.5,,353088.0,427697.0,1487271.7,488225.0,,259781.3,229581.7,289756.0,-110927.0,,-86885.5,,-57201.0,17408.0,1076982.7,77936.0,,-150507.7,-180707.3,-120533.0,,True,,True,True,False,True,,False,False,False
Rhode Island,49613,45304.0,,47776.4,,40679.0,75880.6,89398.9,59877.0,,55207.0,11420.7,29349.0,-4309.0,,-1836.6,,-8934.0,26267.6,39785.9,10264.0,,5594.0,-38192.3,-20264.0,,True,,False,False,False,False,,False,False,False
South Carolina,145066,77028.0,,69582.1,,89248.0,128215.6,106609.4,138272.0,,57862.2,55460.0,62294.0,-68038.0,,-75483.9,,-55818.0,-16850.4,-38456.6,-6794.0,,-87203.8,-89606.0,-82772.0,,False,,True,True,True,True,,False,False,False
South Dakota,30687,56224.0,,47173.8,,73505.0,96418.1,42427.2,77361.0,,23845.3,10681.6,39262.0,25537.0,,16486.8,,42818.0,65731.1,11740.2,46674.0,,-6841.7,-20005.4,8575.0,,True,,False,False,True,False,,True,True,True
Tennessee,310563,215369.0,,229041.1,,210530.0,320550.2,457642.4,333333.0,,224090.2,92323.5,124350.0,-95194.0,,-81521.9,,-100033.0,9987.2,147079.4,22770.0,,-86472.8,-218239.5,-186213.0,,True,,False,True,False,True,,True,False,False
Texas,758942,536011.0,,486719.2,,615708.0,836610.3,1258054.5,762216.0,,481064.1,276766.4,333659.0,-222931.0,,-272222.8,,-143234.0,77668.3,499112.5,3274.0,,-277877.9,-482175.6,-425283.0,,False,,True,True,False,True,,False,False,False
Utah,129744,159866.0,,139234.2,,235702.0,283022.9,170932.7,240805.0,,226072.6,55439.3,98285.0,30122.0,,9490.2,,105958.0,153278.9,41188.7,111061.0,,96328.6,-74304.7,-31459.0,,True,,False,False,False,False,,False,False,False
Vermont,5244,4921.0,,0.0,,6819.0,4084.4,55300.8,15097.0,,3839.0,11479.4,5403.0,-323.0,,-5244.0,,1575.0,-1159.6,50056.8,9853.0,,-1405.0,6235.4,159.0,,False,,False,False,False,False,,False,False,True
Virginia,178036,104160.0,,94343.7,,95482.0,137171.0,206478.2,151863.0,,132169.5,125887.5,75028.0,-73876.0,,-83692.3,,-82554.0,-40865.0,28442.2,-26173.0,,-45866.5,-52148.5,-103008.0,,False,,False,True,True,True,,True,True,False
Washington,123666,94703.0,,248881.8,,90033.0,155931.8,573738.8,158132.0,,99165.7,28517.2,63950.0,-28963.0,,125215.8,,-33633.0,32265.8,450072.8,34466.0,,-24500.3,-95148.8,-59716.0,,False,,False,False,False,False,,True,False,False
West Virginia,60180,47642.0,,40166.3,,53394.0,69326.0,152969.4,90433.0,,50755.0,34857.4,48093.0,-12538.0,,-20013.7,,-6786.0,9146.0,92789.4,30253.0,,-9425.0,-25322.6,-12087.0,,False,,True,True,False,False,,True,False,True
Wisconsin,175915,340305.0,,315384.6,,391464.0,625683.3,317100.8,504326.0,,285352.3,84115.7,173064.0,164390.0,,139469.6,,215549.0,449768.3,141185.8,328411.0,,109437.3,-91799.3,-2851.0,,True,,False,False,True,False,,True,True,True
Wyoming,19309,38703.0,,32947.3,,44340.0,68285.8,77603.7,59953.0,,40076.8,9028.8,30752.0,19394.0,,13638.3,,25031.0,48976.8,58294.7,40644.0,,20767.8,-10280.2,11443.0,,True,,False,False,False,False,,False,True,True
US,10056739,8291640.0,21354656.0,9993563.9,8495967.0,8993769.0,13191348.0,19150653.8,14145987.0,9497342.0,12987104.3,4540424.5,5718644.0,-1765099.0,11297917.0,-63175.1,-1560772.0,-1062970.0,3134609.0,9093914.8,4089248.0,-559397.0,2930365.3,-5516314.5,-4338095.0,False,True,True,True,False,False,False,True,False,False,False
