,actual_cases,COVIDhub-baseline,BPagano-RtDriven,CEID-Walk,CMU-TimeSeries,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,FAIR-NRAR,Google_Harvard-CPF,IBF-TimeSeries,IEM_MED-CovidProject,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,JHU_UNC_GAS-StatMechPool,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MITCovAlliance-SIR,Microsoft-DeepSTIA,OliverWyman-Navigator,OneQuietNight-ML,PandemicCentral-USCounty,QJHong-Encounter,RobertWalraven-ESG,TTU-squider,UCF-AEM,UCLA-SuEIR,UMass-MechBayes,UMich-RidgeTfReg,USC-SI_kJalpha,UVA-Ensemble,error-COVIDhub-baseline,error-BPagano-RtDriven,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-FAIR-NRAR,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IEM_MED-CovidProject,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-JHU_UNC_GAS-StatMechPool,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MITCovAlliance-SIR,error-Microsoft-DeepSTIA,error-OliverWyman-Navigator,error-OneQuietNight-ML,error-PandemicCentral-USCounty,error-QJHong-Encounter,error-RobertWalraven-ESG,error-TTU-squider,error-UCF-AEM,error-UCLA-SuEIR,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,error-UVA-Ensemble,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-FAIR-NRAR,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IEM_MED-CovidProject,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-JHU_UNC_GAS-StatMechPool,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MITCovAlliance-SIR,beat_baseline-Microsoft-DeepSTIA,beat_baseline-OliverWyman-Navigator,beat_baseline-OneQuietNight-ML,beat_baseline-PandemicCentral-USCounty,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-TTU-squider,beat_baseline-UCF-AEM,beat_baseline-UCLA-SuEIR,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha,beat_baseline-UVA-Ensemble
05055,562,520.0,,509.2,,406.0,388.0,,,,,454.3,310.8,,,567.0,,248.3,,333.0,462.0,,379.0,338.9,0.0,,518.0,525.0,402.7,,,,,669.6,,,,301.4,-42.0,,-52.8,,-156.0,-174.0,,,,,-107.7,-251.2,,,5.0,,-313.7,,-229.0,-100.0,,-183.0,-223.1,-562.0,,-44.0,-37.0,-159.3,,,,,107.6,,,,-260.6,,False,,False,False,,,,,False,False,,,True,,False,,False,False,,False,False,False,,False,True,False,,,,,False,,,,False
05057,178,178.0,,173.7,,158.0,169.0,,,,,135.8,155.7,,,216.0,,132.6,,138.4,,,169.0,129.1,66.9,,209.0,190.0,137.9,,,,,,,,,146.6,0.0,,-4.3,,-20.0,-9.0,,,,,-42.2,-22.3,,,38.0,,-45.4,,-39.6,,,-9.0,-48.9,-111.1,,31.0,12.0,-40.1,,,,,,,,,-31.4,,False,,False,False,,,,,False,False,,,False,,False,,False,,,False,False,False,,False,False,False,,,,,,,,,False
05059,399,358.0,,344.5,,352.0,478.0,,,,,335.6,240.4,,,440.0,,319.5,,211.8,230.0,,534.0,308.7,0.0,,411.0,365.0,385.5,,,,,333.1,,,,73.0,-41.0,,-54.5,,-47.0,79.0,,,,,-63.4,-158.6,,,41.0,,-79.5,,-187.2,-169.0,,135.0,-90.3,-399.0,,12.0,-34.0,-13.5,,,,,-65.9,,,,-326.0,,False,,False,False,,,,,False,False,,,False,,False,,False,False,,False,False,False,,True,True,True,,,,,False,,,,False
05061,127,102.0,,107.7,,115.0,108.0,,,,,124.2,68.7,,,127.0,,136.9,,77.5,,,123.0,80.9,54.5,,150.0,121.0,121.5,,,,,,,,,96.3,-25.0,,-19.3,,-12.0,-19.0,,,,,-2.8,-58.3,,,0.0,,9.9,,-49.5,,,-4.0,-46.1,-72.5,,23.0,-6.0,-5.5,,,,,,,,,-30.7,,True,,True,True,,,,,True,False,,,True,,True,,False,,,True,False,False,,True,True,True,,,,,,,,,False
05063,431,316.0,,319.5,,287.0,354.0,,,,,293.9,260.6,,,545.0,,210.2,,210.8,259.0,,286.0,237.8,0.0,,329.0,325.0,323.5,,,,,237.9,,,,39.2,-115.0,,-111.5,,-144.0,-77.0,,,,,-137.1,-170.4,,,114.0,,-220.8,,-220.2,-172.0,,-145.0,-193.2,-431.0,,-102.0,-106.0,-107.5,,,,,-193.1,,,,-391.8,,True,,False,True,,,,,False,False,,,True,,False,,False,False,,False,False,False,,True,True,True,,,,,False,,,,False
05065,216,150.0,,154.7,,129.0,60.0,,,,,114.9,106.5,,,117.0,,129.6,,78.7,,,101.0,95.2,0.0,,187.0,143.0,139.4,,,,,,,,,221.9,-66.0,,-61.3,,-87.0,-156.0,,,,,-101.1,-109.5,,,-99.0,,-86.4,,-137.3,,,-115.0,-120.8,-216.0,,-29.0,-73.0,-76.6,,,,,,,,,5.9,,True,,False,False,,,,,False,False,,,False,,False,,False,,,False,False,False,,True,False,False,,,,,,,,,True
05067,182,166.0,,127.9,,174.0,71.0,,,,,290.3,98.7,,,219.0,,203.8,,194.9,,,204.0,99.9,0.0,,269.0,202.0,489.0,,,,,,,,,296.6,-16.0,,-54.1,,-8.0,-111.0,,,,,108.3,-83.3,,,37.0,,21.8,,12.9,,,22.0,-82.1,-182.0,,87.0,20.0,307.0,,,,,,,,,114.6,,False,,True,False,,,,,False,False,,,False,,False,,True,,,False,False,False,,False,False,False,,,,,,,,,False
05069,633,694.0,,685.1,,664.0,514.0,,,,,673.8,431.7,,,664.0,,1203.0,,402.3,754.5,,1107.5,480.1,156.4,,976.0,698.0,624.0,,,,,424.6,,,,411.0,61.0,,52.1,,31.0,-119.0,,,,,40.8,-201.3,,,31.0,,570.0,,-230.7,121.5,,474.5,-152.9,-476.6,,343.0,65.0,-9.0,,,,,-208.4,,,,-222.0,,True,,True,False,,,,,True,False,,,True,,False,,False,False,,False,False,False,,False,False,True,,,,,False,,,,False
05071,398,240.0,,239.6,,244.0,235.0,,,,,232.6,189.9,,,362.0,,320.4,,147.6,,,349.0,173.7,51.0,,339.0,241.0,257.7,,,,,,,,,160.2,-158.0,,-158.4,,-154.0,-163.0,,,,,-165.4,-208.1,,,-36.0,,-77.6,,-250.4,,,-49.0,-224.3,-347.0,,-59.0,-157.0,-140.3,,,,,,,,,-237.8,,False,,True,False,,,,,False,False,,,True,,True,,False,,,True,False,False,,True,True,True,,,,,,,,,False
05073,44,32.0,,32.6,,32.0,0.0,,,,,32.9,36.3,,,51.0,,39.5,,20.9,,,26.0,25.6,0.0,,46.0,44.0,,,,,,,,,,40.2,-12.0,,-11.4,,-12.0,-44.0,,,,,-11.1,-7.7,,,7.0,,-4.5,,-23.1,,,-18.0,-18.4,-44.0,,2.0,0.0,,,,,,,,,,-3.8,,True,,False,False,,,,,True,True,,,True,,True,,False,,,False,False,False,,True,True,,,,,,,,,,True
05075,215,222.0,,221.0,,167.0,161.0,,,,,164.1,149.9,,,199.0,,112.0,,100.3,,,158.0,135.1,64.2,,204.0,188.0,180.7,,,,,,,,,266.8,7.0,,6.0,,-48.0,-54.0,,,,,-50.9,-65.1,,,-16.0,,-103.0,,-114.7,,,-57.0,-79.9,-150.8,,-11.0,-27.0,-34.3,,,,,,,,,51.8,,True,,False,False,,,,,False,False,,,False,,False,,False,,,False,False,False,,False,False,False,,,,,,,,,False
05077,102,96.0,,91.6,,92.0,129.0,,,,,157.0,78.2,,,107.0,,46.0,,76.8,,,80.0,56.3,0.0,,117.0,95.0,107.3,,,,,,,,,17.7,-6.0,,-10.4,,-10.0,27.0,,,,,55.0,-23.8,,,5.0,,-56.0,,-25.2,,,-22.0,-45.7,-102.0,,15.0,-7.0,5.3,,,,,,,,,-84.3,,False,,False,False,,,,,False,False,,,True,,False,,False,,,False,False,False,,False,False,True,,,,,,,,,False
05079,113,128.0,,126.7,,103.0,,,,,,244.9,69.5,,,140.0,,46.3,,106.2,,,116.0,87.8,0.0,,149.0,128.0,29.8,,,,,87.7,,,,93.6,15.0,,13.7,,-10.0,,,,,,131.9,-43.5,,,27.0,,-66.7,,-6.8,,,3.0,-25.2,-113.0,,36.0,15.0,-83.2,,,,,-25.3,,,,-19.4,,True,,True,,,,,,False,False,,,False,,False,,True,,,True,False,False,,False,False,False,,,,,False,,,,False
05081,124,102.0,,101.7,,102.0,45.0,,,,,80.6,68.9,,,126.0,,63.0,,55.5,,,168.5,79.6,0.0,,102.0,108.0,106.4,,,,,,,,,103.4,-22.0,,-22.3,,-22.0,-79.0,,,,,-43.4,-55.1,,,2.0,,-61.0,,-68.5,,,44.5,-44.4,-124.0,,-22.0,-16.0,-17.6,,,,,,,,,-20.6,,False,,False,False,,,,,False,False,,,True,,False,,False,,,False,False,False,,False,True,True,,,,,,,,,True
05083,295,168.0,,159.6,,167.0,170.0,,,,,140.9,135.3,,,322.0,,122.3,,136.4,,,196.0,139.2,71.2,,212.0,191.0,152.8,,,,,,,,,169.1,-127.0,,-135.4,,-128.0,-125.0,,,,,-154.1,-159.7,,,27.0,,-172.7,,-158.6,,,-99.0,-155.8,-223.8,,-83.0,-104.0,-142.2,,,,,,,,,-125.9,,False,,False,True,,,,,False,False,,,True,,False,,False,,,True,False,False,,True,True,False,,,,,,,,,True
05085,962,598.0,,624.1,,628.0,551.0,,,,,458.8,439.7,,,722.0,,653.6,,386.3,651.5,,821.0,511.6,284.4,,687.0,639.0,627.7,,,,,539.7,,,,655.9,-364.0,,-337.9,,-334.0,-411.0,,,,,-503.2,-522.3,,,-240.0,,-308.4,,-575.7,-310.5,,-141.0,-450.4,-677.6,,-275.0,-323.0,-334.3,,,,,-422.3,,,,-306.1,,True,,True,False,,,,,False,False,,,True,,True,,False,True,,True,False,False,,True,True,True,,,,,False,,,,True
05087,159,144.0,,131.3,,137.0,142.0,,,,,125.9,139.9,,,143.0,,91.9,,125.7,,,182.0,97.2,0.0,,197.0,143.0,129.8,,,,,,,,,236.0,-15.0,,-27.7,,-22.0,-17.0,,,,,-33.1,-19.1,,,-16.0,,-67.1,,-33.3,,,23.0,-61.8,-159.0,,38.0,-16.0,-29.2,,,,,,,,,77.0,,False,,False,False,,,,,False,False,,,False,,False,,False,,,False,False,False,,False,False,False,,,,,,,,,False
05089,136,72.0,,69.9,,70.0,39.0,,,,,57.5,71.3,,,102.0,,52.5,,52.4,,,83.0,56.2,0.0,,66.0,96.0,156.1,,,,,,,,,71.7,-64.0,,-66.1,,-66.0,-97.0,,,,,-78.5,-64.7,,,-34.0,,-83.5,,-83.6,,,-53.0,-79.8,-136.0,,-70.0,-40.0,20.1,,,,,,,,,-64.3,,False,,False,False,,,,,False,False,,,True,,False,,False,,,True,False,False,,False,True,True,,,,,,,,,False
05091,334,382.0,,386.3,,296.0,369.0,,,,,256.5,306.0,,,394.0,,283.6,,178.2,282.5,,229.0,270.4,104.3,,416.0,379.0,327.0,,,,,308.2,,,,138.1,48.0,,52.3,,-38.0,35.0,,,,,-77.5,-28.0,,,60.0,,-50.4,,-155.8,-51.5,,-105.0,-63.6,-229.7,,82.0,45.0,-7.0,,,,,-25.8,,,,-195.9,,False,,True,True,,,,,False,True,,,False,,False,,False,False,,False,False,False,,False,True,True,,,,,True,,,,False
05093,464,422.0,,452.1,,334.0,230.0,,,,,447.2,255.0,,,554.0,,269.1,,284.6,345.0,,334.0,307.9,0.0,,437.0,428.0,517.0,,,,,286.3,,,,376.8,-42.0,,-11.9,,-130.0,-234.0,,,,,-16.8,-209.0,,,90.0,,-194.9,,-179.4,-119.0,,-130.0,-156.1,-464.0,,-27.0,-36.0,53.0,,,,,-177.7,,,,-87.2,,True,,False,False,,,,,True,False,,,False,,False,,False,False,,False,False,False,,True,True,False,,,,,False,,,,False
05095,102,90.0,,92.0,,73.0,94.0,,,,,56.8,75.9,,,71.0,,71.7,,39.0,,,95.0,66.3,4.7,,107.0,74.0,67.6,,,,,,,,,104.7,-12.0,,-10.0,,-29.0,-8.0,,,,,-45.2,-26.1,,,-31.0,,-30.3,,-63.0,,,-7.0,-35.7,-97.3,,5.0,-28.0,-34.4,,,,,,,,,2.7,,True,,False,True,,,,,False,False,,,False,,False,,False,,,True,False,False,,True,False,False,,,,,,,,,True
05097,102,66.0,,63.3,,61.0,57.0,,,,,62.6,48.2,,,87.0,,40.7,,50.0,,,55.0,46.1,0.0,,83.0,74.0,83.9,,,,,,,,,42.6,-36.0,,-38.7,,-41.0,-45.0,,,,,-39.4,-53.8,,,-15.0,,-61.3,,-52.0,,,-47.0,-55.9,-102.0,,-19.0,-28.0,-18.1,,,,,,,,,-59.4,,False,,False,False,,,,,False,False,,,True,,False,,False,,,False,False,False,,True,True,True,,,,,,,,,False
05099,41,76.0,,76.0,,70.0,46.0,,,,,54.1,43.1,,,100.0,,52.7,,47.3,,,96.0,48.6,10.1,,80.0,78.0,68.4,,,,,,,,,62.1,35.0,,35.0,,29.0,5.0,,,,,13.1,2.1,,,59.0,,11.7,,6.3,,,55.0,7.6,-30.9,,39.0,37.0,27.4,,,,,,,,,21.1,,False,,True,True,,,,,True,True,,,False,,True,,True,,,False,True,True,,False,False,True,,,,,,,,,True
05101,51,52.0,,52.6,,49.0,,,,,,54.9,39.6,,,62.0,,20.6,,30.3,,,28.0,38.7,0.0,,55.0,58.0,64.5,,,,,,,,,51.6,1.0,,1.6,,-2.0,,,,,,3.9,-11.4,,,11.0,,-30.4,,-20.7,,,-23.0,-12.3,-51.0,,4.0,7.0,13.5,,,,,,,,,0.6,,False,,False,,,,,,False,False,,,False,,False,,False,,,False,False,False,,False,False,False,,,,,,,,,True
05103,295,222.0,,229.1,,162.0,143.0,,,,,173.2,195.8,,,240.0,,118.2,,137.3,,,152.0,146.2,0.0,,283.0,227.0,229.6,,,,,,,,,28.5,-73.0,,-65.9,,-133.0,-152.0,,,,,-121.8,-99.2,,,-55.0,,-176.8,,-157.7,,,-143.0,-148.8,-295.0,,-12.0,-68.0,-65.4,,,,,,,,,-266.5,,True,,False,False,,,,,False,False,,,True,,False,,False,,,False,False,False,,True,True,True,,,,,,,,,False
05105,136,98.0,,96.6,,86.0,82.0,,,,,50.8,83.1,,,91.0,,91.0,,53.4,,,110.0,69.2,9.7,,136.0,94.0,88.1,,,,,,,,,82.0,-38.0,,-39.4,,-50.0,-54.0,,,,,-85.2,-52.9,,,-45.0,,-45.0,,-82.6,,,-26.0,-66.8,-126.3,,0.0,-42.0,-47.9,,,,,,,,,-54.0,,False,,False,False,,,,,False,False,,,False,,False,,False,,,True,False,False,,True,False,False,,,,,,,,,False
05107,154,142.0,,148.4,,142.0,0.0,,,,,141.4,101.1,,,221.0,,207.5,,95.3,,,179.0,92.4,23.1,,198.0,159.0,154.5,,,,,,,,,12.6,-12.0,,-5.6,,-12.0,-154.0,,,,,-12.6,-52.9,,,67.0,,53.5,,-58.7,,,25.0,-61.6,-130.9,,44.0,5.0,0.5,,,,,,,,,-141.4,,True,,False,False,,,,,False,False,,,False,,False,,False,,,False,False,False,,False,True,True,,,,,,,,,False
05109,119,190.0,,189.5,,135.0,235.0,,,,,103.9,112.3,,,112.0,,114.4,,107.8,,,147.5,104.6,19.5,,241.0,149.0,119.2,,,,,,,,,217.3,71.0,,70.5,,16.0,116.0,,,,,-15.1,-6.7,,,-7.0,,-4.6,,-11.2,,,28.5,-14.4,-99.5,,122.0,30.0,0.2,,,,,,,,,98.3,,True,,True,False,,,,,True,True,,,True,,True,,True,,,True,True,False,,False,True,True,,,,,,,,,False
05111,305,348.0,,346.9,,311.0,16.0,,,,,275.9,202.9,,,341.0,,325.5,,210.0,,,358.0,234.6,94.2,,336.0,328.0,309.3,,,,,269.3,,,,179.9,43.0,,41.9,,6.0,-289.0,,,,,-29.1,-102.1,,,36.0,,20.5,,-95.0,,,53.0,-70.4,-210.8,,31.0,23.0,4.3,,,,,-35.7,,,,-125.1,,True,,True,False,,,,,True,False,,,True,,True,,False,,,False,False,False,,True,True,True,,,,,True,,,,False
05113,252,132.0,,108.3,,109.0,103.0,,,,,123.6,125.9,,,242.0,,65.4,,113.0,,,94.0,102.0,0.0,,152.0,162.0,165.3,,,,,,,,,81.1,-120.0,,-143.7,,-143.0,-149.0,,,,,-128.4,-126.1,,,-10.0,,-186.6,,-139.0,,,-158.0,-150.0,-252.0,,-100.0,-90.0,-86.7,,,,,,,,,-170.9,,False,,False,False,,,,,False,False,,,True,,False,,False,,,False,False,False,,True,True,True,,,,,,,,,False
05115,1016,838.0,,813.4,,750.0,620.0,,,,,659.7,563.4,,,738.0,,758.3,,502.5,785.5,,734.0,576.3,198.5,,1058.0,762.0,834.5,,,,,511.2,,,,589.5,-178.0,,-202.6,,-266.0,-396.0,,,,,-356.3,-452.6,,,-278.0,,-257.7,,-513.5,-230.5,,-282.0,-439.7,-817.5,,42.0,-254.0,-181.5,,,,,-504.8,,,,-426.5,,False,,False,False,,,,,False,False,,,False,,False,,False,False,,False,False,False,,True,False,False,,,,,False,,,,False
05117,91,126.0,,121.4,,96.0,129.0,,,,,66.8,52.1,,,82.0,,197.2,,57.6,,,111.0,60.1,13.6,,143.0,97.0,80.1,,,,,,,,,49.6,35.0,,30.4,,5.0,38.0,,,,,-24.2,-38.9,,,-9.0,,106.2,,-33.4,,,20.0,-30.9,-77.4,,52.0,6.0,-10.9,,,,,,,,,-41.4,,True,,True,False,,,,,True,False,,,True,,False,,True,,,True,True,False,,False,True,True,,,,,,,,,False
05119,4939,3190.0,,3207.0,4440.9,3292.0,2163.0,,,,,2724.5,2349.2,,3654.7,3664.0,,3334.2,,1925.2,3710.5,,3732.0,2684.3,1070.1,,3777.0,3279.0,3437.5,,,,,2050.4,2256.0,,,3103.1,-1749.0,,-1732.0,-498.1,-1647.0,-2776.0,,,,,-2214.5,-2589.8,,-1284.3,-1275.0,,-1604.8,,-3013.8,-1228.5,,-1207.0,-2254.7,-3868.9,,-1162.0,-1660.0,-1501.5,,,,,-2888.6,-2683.0,,,-1835.9,,True,True,True,False,,,,,False,False,,True,True,,True,,False,True,,True,False,False,,True,True,True,,,,,False,False,,,False
05121,250,146.0,,133.0,,143.0,28.0,,,,,161.4,113.0,,,197.0,,111.7,,108.0,,,176.0,113.2,34.3,,166.0,166.0,192.8,,,,,,,,,89.5,-104.0,,-117.0,,-107.0,-222.0,,,,,-88.6,-137.0,,,-53.0,,-138.3,,-142.0,,,-74.0,-136.8,-215.7,,-84.0,-84.0,-57.2,,,,,,,,,-160.5,,False,,False,False,,,,,True,False,,,True,,False,,False,,,True,False,False,,True,True,True,,,,,,,,,False
05123,304,258.0,,265.9,,254.0,258.0,,,,,304.5,177.2,,,314.0,,190.9,,214.5,,,310.5,191.4,0.0,,337.0,260.0,,,,,,192.0,,,,321.0,-46.0,,-38.1,,-50.0,-46.0,,,,,0.5,-126.8,,,10.0,,-113.1,,-89.5,,,6.5,-112.6,-304.0,,33.0,-44.0,,,,,,-112.0,,,,17.0,,True,,False,False,,,,,True,False,,,True,,False,,False,,,True,False,False,,True,True,,,,,,False,,,,True
05125,1508,936.0,,917.5,,947.0,608.0,,,,,851.6,757.5,,,1485.0,,706.6,,677.7,1135.5,,989.0,674.3,531.8,,1097.0,1012.0,1076.0,,,,,856.3,,,,1241.2,-572.0,,-590.5,,-561.0,-900.0,,,,,-656.4,-750.5,,,-23.0,,-801.4,,-830.3,-372.5,,-519.0,-833.7,-976.2,,-411.0,-496.0,-432.0,,,,,-651.7,,,,-266.8,,False,,True,False,,,,,False,False,,,True,,False,,False,True,,True,False,False,,True,True,True,,,,,False,,,,True
05127,179,60.0,,62.5,,60.0,30.0,,,,,52.5,70.8,,,126.0,,22.8,,41.7,,,29.0,46.3,0.0,,66.0,70.0,86.7,,,,,,,,,71.1,-119.0,,-116.5,,-119.0,-149.0,,,,,-126.5,-108.2,,,-53.0,,-156.2,,-137.3,,,-150.0,-132.7,-179.0,,-113.0,-109.0,-92.3,,,,,,,,,-107.9,,True,,False,False,,,,,False,True,,,True,,False,,False,,,False,False,False,,True,True,True,,,,,,,,,True
05129,62,76.0,,78.9,,69.0,6.0,,,,,64.9,62.0,,,73.0,,42.8,,48.4,,,72.0,42.6,0.0,,83.0,71.0,93.0,,,,,,,,,34.4,14.0,,16.9,,7.0,-56.0,,,,,2.9,-0.0,,,11.0,,-19.2,,-13.6,,,10.0,-19.4,-62.0,,21.0,9.0,31.0,,,,,,,,,-27.6,,False,,True,False,,,,,True,True,,,True,,False,,True,,,True,False,False,,False,True,False,,,,,,,,,False
05131,1810,968.0,,976.7,,965.0,939.0,,,,,960.1,730.7,,,1823.0,,763.5,,658.2,1015.0,,1097.5,743.3,262.1,,1042.0,991.0,1139.5,,,,,753.8,,,,635.2,-842.0,,-833.3,,-845.0,-871.0,,,,,-849.9,-1079.3,,,13.0,,-1046.5,,-1151.8,-795.0,,-712.5,-1066.7,-1547.9,,-768.0,-819.0,-670.5,,,,,-1056.2,,,,-1174.8,,True,,False,False,,,,,False,False,,,True,,False,,False,True,,True,False,False,,True,True,True,,,,,False,,,,False
05133,152,142.0,,133.9,,137.0,0.0,,,,,205.4,94.4,,,232.0,,97.3,,95.5,,,145.0,108.9,0.1,,165.0,158.0,156.1,,,,,,,,,138.6,-10.0,,-18.1,,-15.0,-152.0,,,,,53.4,-57.6,,,80.0,,-54.7,,-56.5,,,-7.0,-43.1,-151.9,,13.0,6.0,4.1,,,,,,,,,-13.4,,False,,False,False,,,,,False,False,,,False,,False,,False,,,True,False,False,,False,True,True,,,,,,,,,False
05135,238,176.0,,178.8,,164.0,165.0,,,,,132.7,147.0,,,153.0,,151.6,,116.7,,,198.0,131.7,31.4,,201.0,174.0,191.7,,,,,,,,,108.3,-62.0,,-59.2,,-74.0,-73.0,,,,,-105.3,-91.0,,,-85.0,,-86.4,,-121.3,,,-40.0,-106.3,-206.6,,-37.0,-64.0,-46.3,,,,,,,,,-129.7,,True,,False,False,,,,,False,False,,,False,,False,,False,,,True,False,False,,True,False,True,,,,,,,,,False
05137,80,162.0,,166.6,,128.0,266.0,,,,,115.6,104.3,,,99.0,,114.0,,114.0,,,176.0,106.8,61.3,,221.0,139.0,107.5,,,,,,,,,88.5,82.0,,86.6,,48.0,186.0,,,,,35.6,24.3,,,19.0,,34.0,,34.0,,,96.0,26.8,-18.7,,141.0,59.0,27.5,,,,,,,,,8.5,,False,,True,False,,,,,True,True,,,True,,True,,True,,,False,True,True,,False,True,True,,,,,,,,,True
05139,503,482.0,,486.2,,456.0,504.0,,,,,281.4,395.5,,,432.0,,484.5,,298.3,459.5,,515.0,366.9,94.4,,552.0,447.0,450.6,,,,,466.1,,,,658.1,-21.0,,-16.8,,-47.0,1.0,,,,,-221.6,-107.5,,,-71.0,,-18.5,,-204.7,-43.5,,12.0,-136.1,-408.6,,49.0,-56.0,-52.4,,,,,-36.9,,,,155.1,,True,,False,True,,,,,False,False,,,False,,True,,False,False,,True,False,False,,False,False,False,,,,,False,,,,False
05141,153,126.0,,110.0,,132.0,104.0,,,,,110.9,90.5,,,150.0,,207.4,,107.0,,,241.0,85.7,15.4,,226.0,137.0,161.9,,,,,,,,,248.8,-27.0,,-43.0,,-21.0,-49.0,,,,,-42.1,-62.5,,,-3.0,,54.4,,-46.0,,,88.0,-67.3,-137.6,,73.0,-16.0,8.9,,,,,,,,,95.8,,False,,True,False,,,,,False,False,,,True,,False,,False,,,False,False,False,,False,True,True,,,,,,,,,False
05143,3376,2370.0,,2332.1,2699.1,2351.0,2244.0,,,,,2140.6,1456.6,,2414.2,2356.0,,2103.9,,1921.2,2761.5,,2651.0,1643.1,888.9,,2768.0,2305.0,2554.6,,,,,1504.8,1492.0,,,2465.0,-1006.0,,-1043.9,-676.9,-1025.0,-1132.0,,,,,-1235.4,-1919.4,,-961.8,-1020.0,,-1272.1,,-1454.8,-614.5,,-725.0,-1732.9,-2487.1,,-608.0,-1071.0,-821.4,,,,,-1871.2,-1884.0,,,-911.0,,False,True,False,False,,,,,False,False,,True,False,,False,,False,True,,True,False,False,,True,False,True,,,,,False,False,,,True
05145,1194,702.0,,715.0,,715.0,862.0,,,,,496.6,533.0,,,1027.0,,1206.3,,450.1,674.5,,1259.0,587.9,301.3,,916.0,715.0,664.9,,,,,612.7,,,,720.8,-492.0,,-479.0,,-479.0,-332.0,,,,,-697.4,-661.0,,,-167.0,,12.3,,-743.9,-519.5,,65.0,-606.1,-892.7,,-278.0,-479.0,-529.1,,,,,-581.3,,,,-473.2,,True,,True,True,,,,,False,False,,,True,,True,,False,False,,True,False,False,,True,True,False,,,,,False,,,,True
05147,112,58.0,,57.4,,55.0,40.0,,,,,40.1,62.9,,,55.0,,54.8,,32.0,,,56.0,44.6,6.6,,81.0,60.0,56.5,,,,,,,,,63.6,-54.0,,-54.6,,-57.0,-72.0,,,,,-71.9,-49.1,,,-57.0,,-57.2,,-80.0,,,-56.0,-67.4,-105.4,,-31.0,-52.0,-55.5,,,,,,,,,-48.4,,False,,False,False,,,,,False,True,,,False,,False,,False,,,False,False,False,,True,True,False,,,,,,,,,True
05149,418,306.0,,295.0,,289.0,193.0,,,,,322.2,181.5,,,281.0,,350.7,,195.2,,,439.0,222.0,56.5,,437.0,288.0,256.5,,,,,,,,,467.4,-112.0,,-123.0,,-129.0,-225.0,,,,,-95.8,-236.5,,,-137.0,,-67.3,,-222.8,,,21.0,-196.0,-361.5,,19.0,-130.0,-161.5,,,,,,,,,49.4,,False,,False,False,,,,,True,False,,,False,,True,,False,,,True,False,False,,True,False,False,,,,,,,,,True
06001,10807,12338.0,,12184.5,15445.3,11972.0,11651.0,,,,,8399.8,19489.2,,14638.5,11387.0,,16179.5,,11112.1,11491.0,,17391.0,11243.5,4263.9,,16374.0,14071.0,16021.0,,,,,10839.4,10630.0,,,18020.8,1531.0,,1377.5,4638.3,1165.0,844.0,,,,,-2407.2,8682.2,,3831.5,580.0,,5372.5,,305.1,684.0,,6584.0,436.5,-6543.1,,5567.0,3264.0,5214.0,,,,,32.4,-177.0,,,7213.8,,True,False,True,True,,,,,False,False,,False,True,,False,,True,True,,False,True,False,,False,False,False,,,,,True,True,,,False
06003,8,2.0,,2.1,,2.0,0.0,,,,,5.3,9.0,,,4.0,,2.1,,0.9,,,10.0,0.5,,,0.0,8.0,8.7,,,,,,,,,1.3,-6.0,,-5.9,,-6.0,-8.0,,,,,-2.7,1.0,,,-4.0,,-5.9,,-7.1,,,2.0,-7.5,,,-8.0,0.0,0.7,,,,,,,,,-6.7,,True,,False,False,,,,,True,True,,,True,,True,,False,,,True,False,,,False,True,True,,,,,,,,,False
