,actual_cases,COVIDhub-baseline,CDDEP-SEIR_MCMC,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,IowaStateLW-STEM,JHU_IDD-CovidSP,LANL-GrowthRate,MITCovAlliance-SIR,OliverWyman-Navigator,RobertWalraven-ESG,UCLA-SuEIR,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-CDDEP-SEIR_MCMC,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-IowaStateLW-STEM,error-JHU_IDD-CovidSP,error-LANL-GrowthRate,error-MITCovAlliance-SIR,error-OliverWyman-Navigator,error-RobertWalraven-ESG,error-UCLA-SuEIR,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,beat_baseline-CDDEP-SEIR_MCMC,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IowaStateLW-STEM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-LANL-GrowthRate,beat_baseline-MITCovAlliance-SIR,beat_baseline-OliverWyman-Navigator,beat_baseline-RobertWalraven-ESG,beat_baseline-UCLA-SuEIR,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha
01121,500,249.0,,876.0,,,,431.0,294.4,159.2,480.9,331.0,,307.5,,,,-251.0,,376.0,,,,-69.0,-205.6,-340.8,-19.1,-169.0,,-192.5,,,,,False,,,,True,True,False,True,True,,True,,,
01123,189,147.0,,277.0,,,,228.0,101.2,66.4,111.9,,,,,,,-42.0,,88.0,,,,39.0,-87.8,-122.6,-77.1,,,,,,,,False,,,,True,False,False,False,,,,,,
01125,1229,1161.0,,2171.0,,,,1889.0,1191.4,1224.6,1570.1,2131.0,,965.2,,,,-68.0,,942.0,,,,660.0,-37.6,-4.4,341.1,902.0,,-263.8,,,,,False,,,,False,True,True,False,False,,False,,,
01127,436,402.0,,711.0,,,,712.0,464.4,208.7,483.7,791.0,,477.5,,,,-34.0,,275.0,,,,276.0,28.4,-227.3,47.7,355.0,,41.5,,,,,False,,,,False,True,False,False,False,,False,,,
01129,160,21.0,,33.0,,,,78.0,34.4,5.2,33.2,,,,,,,-139.0,,-127.0,,,,-82.0,-125.6,-154.8,-126.8,,,,,,,,True,,,,True,True,False,True,,,,,,
01131,97,57.0,,0.0,,,,81.0,46.4,11.6,85.2,,,,,,,-40.0,,-97.0,,,,-16.0,-50.6,-85.4,-11.8,,,,,,,,False,,,,True,False,False,True,,,,,,
01133,120,114.0,,203.0,,,,133.0,118.0,63.8,196.4,224.0,,,,,,-6.0,,83.0,,,,13.0,-2.0,-56.2,76.4,104.0,,,,,,,False,,,,False,True,False,False,False,,,,,
02013,1,0.0,,0.0,,,,,0.0,,,0.0,,,,,,-1.0,,-1.0,,,,,-1.0,,,-1.0,,,,,,,False,,,,,False,,,False,,,,,
02016,81,0.0,,0.0,,,,,0.0,,,0.0,,,,,,-81.0,,-81.0,,,,,-81.0,,,-81.0,,,,,,,False,,,,,False,,,False,,,,,
02020,728,387.0,,1696.0,,,,,297.6,360.9,519.1,568.0,,427.0,,,,-341.0,,968.0,,,,,-430.4,-367.1,-208.9,-160.0,,-301.0,,,,,False,,,,,False,False,True,True,,True,,,
02050,7,6.0,,0.0,,,,,17.1,0.8,,13.0,,,,,,-1.0,,-7.0,,,,,10.1,-6.2,,6.0,,,,,,,False,,,,,False,False,,False,,,,,
02060,0,0.0,,0.0,,,,,0.0,,,0.0,,,,,,0.0,,0.0,,,,,0.0,,,0.0,,,,,,,True,,,,,True,,,True,,,,,
02068,3,0.0,,0.0,,,,,0.0,,,0.0,,,,,,-3.0,,-3.0,,,,,-3.0,,,-3.0,,,,,,,False,,,,,False,,,False,,,,,
02070,0,0.0,,0.0,,,,,0.0,,,0.0,,,,,,0.0,,0.0,,,,,0.0,,,0.0,,,,,,,True,,,,,True,,,True,,,,,
02090,207,90.0,,0.0,,,,,96.8,52.5,65.8,156.0,,,,,,-117.0,,-207.0,,,,,-110.2,-154.5,-141.2,-51.0,,,,,,,False,,,,,True,False,False,True,,,,,
02100,2,0.0,,0.0,,,,,9.0,,,0.0,,,,,,-2.0,,-2.0,,,,,7.0,,,-2.0,,,,,,,False,,,,,False,,,False,,,,,
02105,0,0.0,,0.0,,,,,0.0,,,0.0,,,,,,0.0,,0.0,,,,,0.0,,,0.0,,,,,,,True,,,,,True,,,True,,,,,
02110,62,6.0,,0.0,,,,,30.4,6.6,,,,,,,,-56.0,,-62.0,,,,,-31.6,-55.4,,,,,,,,,False,,,,,True,True,,,,,,,
02122,174,90.0,,0.0,,,,,76.1,14.5,169.5,142.0,,,,,,-84.0,,-174.0,,,,,-97.9,-159.5,-4.5,-32.0,,,,,,,False,,,,,False,False,True,True,,,,,
02130,13,3.0,,0.0,,,,,7.2,1.8,,,,,,,,-10.0,,-13.0,,,,,-5.8,-11.2,,,,,,,,,False,,,,,True,False,,,,,,,
02150,5,3.0,,0.0,,,,,31.3,0.1,,0.0,,,,,,-2.0,,-5.0,,,,,26.3,-4.9,,-5.0,,,,,,,False,,,,,False,False,,False,,,,,
