,actual_cases,COVIDhub-baseline,CDDEP-SEIR_MCMC,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,IowaStateLW-STEM,JHU_IDD-CovidSP,LANL-GrowthRate,LNQ-ens1,MITCovAlliance-SIR,OliverWyman-Navigator,QJHong-Encounter,RobertWalraven-ESG,UCLA-SuEIR,UMass-MechBayes,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-CDDEP-SEIR_MCMC,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-IowaStateLW-STEM,error-JHU_IDD-CovidSP,error-LANL-GrowthRate,error-LNQ-ens1,error-MITCovAlliance-SIR,error-OliverWyman-Navigator,error-QJHong-Encounter,error-RobertWalraven-ESG,error-UCLA-SuEIR,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,beat_baseline-CDDEP-SEIR_MCMC,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IowaStateLW-STEM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MITCovAlliance-SIR,beat_baseline-OliverWyman-Navigator,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-UCLA-SuEIR,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha
12051,332,222.0,,218.0,,,,488.0,148.7,111.0,,202.5,,,,,,,,76.9,-110.0,,-114.0,,,,156.0,-183.3,-221.0,,-129.5,,,,,,,,-255.1,,False,,,,False,False,False,,False,,,,,,,,False
12053,600,594.0,355.6,1148.0,,,,1310.0,223.0,1085.5,752.3,496.2,989.0,,,,1402.0,,,1265.8,-6.0,-244.4,548.0,,,,710.0,-377.0,485.5,152.3,-103.8,389.0,,,,802.0,,,665.8,False,False,,,,False,False,False,False,False,False,,,,False,,,False
12055,501,240.0,274.5,321.0,,,,322.0,292.2,188.5,277.8,235.0,426.0,,,287.8,,,,458.9,-261.0,-226.5,-180.0,,,,-179.0,-208.8,-312.5,-223.2,-266.0,-75.0,,,-213.2,,,,-42.1,True,True,,,,True,True,False,True,False,True,,,True,,,,True
12057,8266,9320.0,8775.7,14191.0,,,,20159.0,4000.7,11803.4,11530.2,7626.5,15675.0,,,16566.2,10698.0,,,9619.6,1054.0,509.7,5925.0,,,,11893.0,-4265.3,3537.4,3264.2,-639.5,7409.0,,,8300.2,2432.0,,,1353.6,True,False,,,,False,False,False,False,True,False,,,False,False,,,False
12059,146,60.0,,61.0,,,,199.0,58.2,19.8,,63.6,143.0,,,,,,,134.6,-86.0,,-85.0,,,,53.0,-87.8,-126.2,,-82.4,-3.0,,,,,,,-11.4,,True,,,,True,False,False,,True,True,,,,,,,True
12061,783,522.0,592.5,656.0,,,,864.0,249.5,567.9,555.7,531.2,901.0,,,497.5,586.0,,,714.8,-261.0,-190.5,-127.0,,,,81.0,-533.5,-215.1,-227.3,-251.8,118.0,,,-285.5,-197.0,,,-68.2,True,True,,,,True,False,True,True,True,True,,,False,True,,,True
12063,639,360.0,,1034.0,,,,551.0,108.4,265.8,,77.1,625.0,,,,,,,982.7,-279.0,,395.0,,,,-88.0,-530.6,-373.2,,-561.9,-14.0,,,,,,,343.7,,False,,,,True,False,False,,False,True,,,,,,,False
12065,89,44.0,,0.0,,,,57.0,30.5,31.8,,,64.0,,,,,,,51.5,-45.0,,-89.0,,,,-32.0,-58.5,-57.2,,,-25.0,,,,,,,-37.5,,False,,,,True,False,False,,,True,,,,,,,True
12067,29,34.0,,0.0,,,,39.0,29.8,26.4,,,50.0,,,,,,,46.1,5.0,,-29.0,,,,10.0,0.8,-2.6,,,21.0,,,,,,,17.1,,False,,,,False,True,True,,,False,,,,,,,False
12069,1594,1400.0,982.8,1365.0,,,,2639.0,743.8,1579.9,1671.9,1331.2,2123.0,,,1265.9,1704.0,,,1205.1,-194.0,-611.2,-229.0,,,,1045.0,-850.2,-14.1,77.9,-262.8,529.0,,,-328.1,110.0,,,-388.9,False,False,,,,False,False,True,True,False,False,,,False,True,,,False
12071,5444,3266.0,3730.0,2675.0,,,,10429.0,1653.9,6511.3,7744.4,3341.0,7149.0,,,8653.7,9186.0,,,2121.9,-2178.0,-1714.0,-2769.0,,,,4985.0,-3790.1,1067.3,2300.4,-2103.0,1705.0,,,3209.7,3742.0,,,-3322.1,True,False,,,,False,False,True,False,True,True,,,False,False,,,False
12073,1410,1216.0,1482.2,1090.0,,,,2714.0,176.9,1241.6,1283.8,792.9,1750.0,,,720.3,2304.0,,,675.2,-194.0,72.2,-320.0,,,,1304.0,-1233.1,-168.4,-126.2,-617.1,340.0,,,-689.7,894.0,,,-734.8,True,False,,,,False,False,True,True,False,False,,,False,False,,,False
12075,194,106.0,,161.0,,,,294.0,159.0,53.0,,87.5,199.0,,,,,,,177.4,-88.0,,-33.0,,,,100.0,-35.0,-141.0,,-106.5,5.0,,,,,,,-16.6,,True,,,,False,True,False,,False,True,,,,,,,True
12077,59,70.0,,0.0,,,,116.0,19.2,21.6,,1.4,167.0,,,,,,,86.4,11.0,,-59.0,,,,57.0,-39.8,-37.4,,-57.6,108.0,,,,,,,27.4,,False,,,,False,False,False,,False,False,,,,,,,False
12079,199,162.0,,464.0,,,,136.0,68.6,164.2,,66.6,277.0,,,,,,,180.2,-37.0,,265.0,,,,-63.0,-130.4,-34.8,,-132.4,78.0,,,,,,,-18.8,,False,,,,False,False,True,,False,False,,,,,,,True
12081,3077,2156.0,1796.8,3648.0,,,,3918.0,788.4,3611.7,3961.1,1696.2,4041.0,,,3933.0,3718.0,,,2557.2,-921.0,-1280.2,571.0,,,,841.0,-2288.6,534.7,884.1,-1380.8,964.0,,,856.0,641.0,,,-519.8,False,True,,,,True,False,True,True,False,False,,,True,True,,,True
12083,1821,1070.0,430.0,2224.0,,,,1754.0,567.1,1679.2,1447.0,923.0,1607.0,,,1192.5,2167.0,,,1984.5,-751.0,-1391.0,403.0,,,,-67.0,-1253.9,-141.8,-374.0,-898.0,-214.0,,,-628.5,346.0,,,163.5,False,True,,,,True,False,True,True,False,True,,,True,True,,,True
12085,708,858.0,1054.0,727.0,,,,1331.0,736.7,562.8,798.4,712.7,1639.0,,,1124.0,1147.0,,,548.8,150.0,346.0,19.0,,,,623.0,28.7,-145.2,90.4,4.7,931.0,,,416.0,439.0,,,-159.2,False,True,,,,False,True,True,True,True,False,,,False,False,,,False
12086,40986,32278.0,15298.3,45839.0,,,,3087.0,11771.1,40724.6,42382.4,,52116.0,,,40682.4,48024.0,,,23108.0,-8708.0,-25687.7,4853.0,,,,-37899.0,-29214.9,-261.4,1396.4,,11130.0,,,-303.6,7038.0,,,-17878.0,False,True,,,,False,False,True,True,,False,,,True,True,,,False
12087,570,414.0,204.4,1248.0,,,,896.0,134.8,691.6,461.8,230.2,626.0,,,,,,,775.7,-156.0,-365.6,678.0,,,,326.0,-435.2,121.6,-108.2,-339.8,56.0,,,,,,,205.7,False,False,,,,False,False,True,True,False,True,,,,,,,False
12089,437,410.0,157.3,1020.0,,,,552.0,101.1,697.0,518.3,213.4,612.0,,,,,,,578.4,-27.0,-279.6,583.0,,,,115.0,-335.9,260.0,81.3,-223.6,175.0,,,,,,,141.4,False,False,,,,False,False,False,False,False,False,,,,,,,False
12091,1145,500.0,338.2,733.0,,,,1049.0,268.2,1279.4,1142.7,554.1,1039.0,,,1360.0,1277.0,,,810.9,-645.0,-806.8,-412.0,,,,-96.0,-876.8,134.4,-2.3,-590.9,-106.0,,,215.0,132.0,,,-334.1,False,True,,,,True,False,True,True,True,True,,,True,True,,,True
12093,284,210.0,,321.0,,,,323.0,184.0,88.0,,140.0,373.0,,,,,,,304.1,-74.0,,37.0,,,,39.0,-100.0,-196.0,,-144.0,89.0,,,,,,,20.1,,True,,,,True,False,False,,False,False,,,,,,,True
12095,9929,6736.0,12007.6,5922.0,,,,16160.0,1274.7,8740.9,10867.0,6602.8,12394.0,,,7831.6,11800.0,,,3728.0,-3193.0,2078.6,-4007.0,,,,6231.0,-8654.3,-1188.1,938.0,-3326.2,2465.0,,,-2097.4,1871.0,,,-6201.0,True,False,,,,False,False,True,True,False,True,,,True,True,,,False
12097,3546,2160.0,1416.1,2460.0,,,,3204.0,376.6,3290.3,3196.1,1959.7,3481.0,,,2622.4,3666.0,,,1904.0,-1386.0,-2129.9,-1086.0,,,,-342.0,-3169.4,-255.7,-349.9,-1586.3,-65.0,,,-923.6,120.0,,,-1642.0,False,True,,,,True,False,True,True,False,True,,,True,True,,,False
12099,9860,7396.0,7443.9,8723.0,,,,15943.0,4499.9,9419.9,11348.6,6186.7,14231.0,,,10299.6,12246.0,,,6433.5,-2464.0,-2416.1,-1137.0,,,,6083.0,-5360.1,-440.1,1488.6,-3673.3,4371.0,,,439.6,2386.0,,,-3426.5,True,True,,,,False,False,True,True,False,False,,,True,True,,,False
12101,1926,2280.0,1869.0,3102.0,,,,4410.0,750.9,2871.2,2555.5,2157.9,3541.0,,,1723.0,2473.0,,,2857.9,354.0,-57.0,1176.0,,,,2484.0,-1175.1,945.2,629.5,231.9,1615.0,,,-203.0,547.0,,,931.9,True,False,,,,False,False,False,False,True,False,,,True,False,,,False
12103,4389,4960.0,3454.8,4901.0,,,,11588.0,3187.9,5271.2,5234.7,4052.2,8165.0,,,4575.7,3851.0,,,4727.4,571.0,-934.2,512.0,,,,7199.0,-1201.1,882.2,845.7,-336.8,3776.0,,,186.7,-538.0,,,338.4,False,True,,,,False,False,False,False,True,False,,,True,True,,,True
12105,4214,4154.0,3925.5,5732.0,,,,5809.0,2181.5,5319.2,4875.9,3470.0,6198.0,,,4304.9,5553.0,,,4632.6,-60.0,-288.5,1518.0,,,,1595.0,-2032.5,1105.2,661.9,-744.0,1984.0,,,90.9,1339.0,,,418.6,False,False,,,,False,False,False,False,False,False,,,False,False,,,False
12107,455,358.0,262.7,686.0,,,,789.0,194.1,457.7,503.5,250.5,620.0,,,501.8,,,,410.5,-97.0,-192.3,231.0,,,,334.0,-260.9,2.7,48.5,-204.5,165.0,,,46.8,,,,-44.5,False,False,,,,False,False,True,True,False,False,,,True,,,,True
12109,1083,1058.0,673.0,1122.0,,,,3156.0,299.1,1319.1,1092.4,1021.9,1622.0,,,1339.2,1491.0,,,1285.2,-25.0,-410.0,39.0,,,,2073.0,-783.9,236.1,9.4,-61.1,539.0,,,256.2,408.0,,,202.2,False,False,,,,False,False,False,True,False,False,,,False,False,,,False
12111,1577,1260.0,1623.0,1585.0,,,,1694.0,1102.0,1295.0,1636.5,1265.8,2170.0,,,1635.2,1684.0,,,1233.5,-317.0,46.0,8.0,,,,117.0,-475.0,-282.0,59.5,-311.2,593.0,,,58.2,107.0,,,-343.5,True,True,,,,True,False,True,True,True,False,,,True,True,,,False
12113,1223,654.0,469.2,857.0,,,,1019.0,121.5,1423.9,1315.1,625.1,1142.0,,,1492.5,2488.0,,,570.4,-569.0,-753.8,-366.0,,,,-204.0,-1101.5,200.9,92.1,-597.9,-81.0,,,269.5,1265.0,,,-652.6,False,True,,,,True,False,True,True,False,True,,,True,False,,,False
12115,2365,1164.0,1029.9,1246.0,,,,2785.0,398.2,2938.7,2786.2,1571.1,2421.0,,,2502.8,3609.0,,,1057.9,-1201.0,-1335.1,-1119.0,,,,420.0,-1966.8,573.7,421.2,-793.9,56.0,,,137.8,1244.0,,,-1307.1,False,True,,,,True,False,True,True,True,True,,,True,False,,,False
12117,1886,1756.0,2752.2,1766.0,,,,4684.0,657.8,2057.6,2091.3,1693.4,3076.0,,,1729.3,1737.0,,,1656.1,-130.0,866.2,-120.0,,,,2798.0,-1228.2,171.6,205.3,-192.6,1190.0,,,-156.7,-149.0,,,-229.9,False,True,,,,False,False,False,False,False,False,,,False,False,,,False
12119,346,428.0,46.5,1803.0,,,,702.0,26.5,616.9,578.0,146.3,711.0,,,447.3,1306.0,,,833.2,82.0,-299.5,1457.0,,,,356.0,-319.5,270.9,232.0,-199.7,365.0,,,101.3,960.0,,,487.2,False,False,,,,False,False,False,False,False,False,,,False,False,,,False
12121,269,254.0,,215.0,,,,437.0,96.6,182.3,,179.8,484.0,,,,,,,198.9,-15.0,,-54.0,,,,168.0,-172.4,-86.7,,-89.2,215.0,,,,,,,-70.1,,False,,,,False,False,False,,False,False,,,,,,,False
12123,127,66.0,,0.0,,,,162.0,66.2,76.4,,41.8,118.0,,,,,,,174.3,-61.0,,-127.0,,,,35.0,-60.8,-50.6,,-85.2,-9.0,,,,,,,47.3,,False,,,,True,True,True,,False,True,,,,,,,True
12125,74,54.0,,112.0,,,,135.0,57.9,22.7,,42.8,88.0,,,,,,,46.0,-20.0,,38.0,,,,61.0,-16.1,-51.3,,-31.2,14.0,,,,,,,-28.0,,False,,,,False,True,False,,False,True,,,,,,,False
12127,2499,2060.0,1889.4,3292.0,,,,5857.0,729.8,2839.1,2748.1,1960.0,3373.0,,,2686.6,4648.0,,,3024.5,-439.0,-609.6,793.0,,,,3358.0,-1769.2,340.1,249.1,-539.0,874.0,,,187.6,2149.0,,,525.5,False,False,,,,False,False,True,True,False,False,,,True,False,,,False
12129,355,76.0,,188.0,,,,188.0,34.1,52.5,,42.7,124.0,,,,,,,154.3,-279.0,,-167.0,,,,-167.0,-320.9,-302.5,,-312.3,-231.0,,,,,,,-200.7,,True,,,,True,False,False,,False,True,,,,,,,True
12131,478,466.0,167.6,1206.0,,,,390.0,65.0,479.7,551.3,322.4,817.0,,,,,,,1000.8,-12.0,-310.4,728.0,,,,-88.0,-413.0,1.7,73.3,-155.6,339.0,,,,,,,522.8,False,False,,,,False,False,True,False,False,False,,,,,,,False
12133,264,62.0,,84.0,,,,280.0,61.1,42.5,,32.2,134.0,,,,,,,114.7,-202.0,,-180.0,,,,16.0,-202.9,-221.5,,-231.8,-130.0,,,,,,,-149.3,,True,,,,True,False,False,,False,True,,,,,,,True
13001,146,110.0,,219.0,,,,82.0,57.6,40.2,,41.4,184.0,,,,,,,147.3,-36.0,,73.0,,,,-64.0,-88.4,-105.8,,-104.6,38.0,,,,,,,1.3,,False,,,,False,False,False,,False,False,,,,,,,True
13003,72,64.0,,27.0,,,,39.0,46.5,14.7,,0.8,,,,,,,,32.3,-8.0,,-45.0,,,,-33.0,-25.5,-57.3,,-71.2,,,,,,,,-39.7,,False,,,,False,False,False,,False,,,,,,,,False
13005,77,42.0,,82.0,,,,128.0,53.0,15.3,,47.2,,,,,,,,33.8,-35.0,,5.0,,,,51.0,-24.0,-61.7,,-29.8,,,,,,,,-43.2,,True,,,,False,True,False,,True,,,,,,,,False
13007,6,2.0,,0.0,,,,15.0,1.7,2.8,,,,,,,,,,0.0,-4.0,,-6.0,,,,9.0,-4.3,-3.2,,,,,,,,,,-6.0,,False,,,,False,False,True,,,,,,,,,,False
13009,175,166.0,,338.0,,,,215.0,139.6,75.5,,61.8,338.0,,,,,,,270.6,-9.0,,163.0,,,,40.0,-35.4,-99.5,,-113.2,163.0,,,,,,,95.6,,False,,,,False,False,False,,False,False,,,,,,,False
13011,50,22.0,,31.0,,,,82.0,40.2,5.9,,28.3,,,,,,,,73.2,-28.0,,-19.0,,,,32.0,-9.8,-44.1,,-21.7,,,,,,,,23.2,,True,,,,False,True,False,,True,,,,,,,,True
13013,285,180.0,132.7,318.0,,,,345.0,213.3,136.9,229.9,134.3,347.0,,,212.5,,,,481.5,-105.0,-152.3,33.0,,,,60.0,-71.7,-148.1,-55.1,-150.7,62.0,,,-72.5,,,,196.5,False,True,,,,True,True,False,True,False,True,,,True,,,,False
13015,392,322.0,68.2,704.0,,,,537.0,106.8,343.1,463.1,157.1,566.0,,,382.3,,,,679.5,-70.0,-323.8,312.0,,,,145.0,-285.2,-48.9,71.1,-234.9,174.0,,,-9.7,,,,287.5,False,False,,,,False,False,True,False,False,False,,,True,,,,False
13017,68,90.0,,110.0,,,,122.0,80.5,43.7,,49.4,150.0,,,,,,,217.7,22.0,,42.0,,,,54.0,12.5,-24.3,,-18.6,82.0,,,,,,,149.7,,False,,,,False,True,False,,True,False,,,,,,,False
13019,55,80.0,,93.0,,,,82.0,72.9,26.4,,63.5,108.0,,,,,,,47.6,25.0,,38.0,,,,27.0,17.9,-28.6,,8.5,53.0,,,,,,,-7.4,,False,,,,False,True,False,,True,False,,,,,,,True
13021,997,1090.0,494.9,888.0,,,,983.0,639.1,888.9,847.1,759.9,1348.0,,,721.8,1724.0,,,888.0,93.0,-502.1,-109.0,,,,-14.0,-357.9,-108.1,-149.9,-237.1,351.0,,,-275.2,727.0,,,-109.0,False,False,,,,True,False,False,False,False,False,,,False,False,,,False
13023,27,36.0,,59.0,,,,54.0,26.8,7.2,,,56.0,,,,,,,33.0,9.0,,32.0,,,,27.0,-0.2,-19.8,,,29.0,,,,,,,6.0,,False,,,,False,True,False,,,False,,,,,,,True
13025,59,54.0,,94.0,,,,39.0,65.3,35.5,,36.7,92.0,,,,,,,128.6,-5.0,,35.0,,,,-20.0,6.3,-23.5,,-22.3,33.0,,,,,,,69.6,,False,,,,False,False,False,,False,False,,,,,,,False
13027,85,92.0,,141.0,,,,83.0,50.5,23.4,,51.0,132.0,,,,,,,61.0,7.0,,56.0,,,,-2.0,-34.5,-61.6,,-34.0,47.0,,,,,,,-24.0,,False,,,,True,False,False,,False,False,,,,,,,False
13029,218,160.0,,419.0,,,,139.0,82.2,242.4,,134.3,227.0,,,,,,,354.3,-58.0,,201.0,,,,-79.0,-135.8,24.4,,-83.7,9.0,,,,,,,136.3,,False,,,,False,False,True,,False,True,,,,,,,False
13031,294,252.0,341.9,241.0,,,,236.0,270.6,190.0,254.4,221.0,373.0,,,,,,,177.9,-42.0,47.9,-53.0,,,,-58.0,-23.4,-104.0,-39.6,-73.0,79.0,,,,,,,-116.1,False,False,,,,False,True,False,True,False,False,,,,,,,False
13033,150,28.0,,14.0,,,,33.0,32.4,20.4,,8.8,,,,,,,,38.4,-122.0,,-136.0,,,,-117.0,-117.6,-129.6,,-141.2,,,,,,,,-111.6,,False,,,,True,True,False,,False,,,,,,,,True
13035,63,96.0,,140.0,,,,107.0,47.4,14.7,,23.8,184.0,,,,,,,47.9,33.0,,77.0,,,,44.0,-15.6,-48.3,,-39.2,121.0,,,,,,,-15.1,,False,,,,False,True,False,,False,False,,,,,,,True
13037,14,6.0,,0.0,,,,36.0,6.5,0.1,,4.3,,,,,,,,0.1,-8.0,,-14.0,,,,22.0,-7.5,-13.9,,-9.7,,,,,,,,-13.9,,False,,,,False,True,False,,False,,,,,,,,False
13039,221,164.0,67.4,364.0,,,,222.0,121.7,171.7,209.5,98.5,215.0,,,,,,,166.3,-57.0,-153.6,143.0,,,,1.0,-99.3,-49.3,-11.5,-122.5,-6.0,,,,,,,-54.7,False,False,,,,True,False,True,True,False,True,,,,,,,True
13043,83,60.0,,117.0,,,,17.0,35.0,12.0,,,68.0,,,,,,,54.2,-23.0,,34.0,,,,-66.0,-48.0,-71.0,,,-15.0,,,,,,,-28.8,,False,,,,False,False,False,,,True,,,,,,,False
13045,487,422.0,99.4,1042.0,,,,636.0,103.8,276.5,439.3,188.3,630.0,,,547.7,,,,564.3,-65.0,-387.6,555.0,,,,149.0,-383.2,-210.5,-47.7,-298.7,143.0,,,60.7,,,,77.3,False,False,,,,False,False,False,True,False,False,,,True,,,,False
13047,90,68.0,132.9,60.0,,,,571.0,129.2,24.5,73.0,59.7,173.0,,,,,,,184.4,-22.0,42.9,-30.0,,,,481.0,39.2,-65.5,-17.0,-30.3,83.0,,,,,,,94.4,False,False,,,,False,False,False,True,False,False,,,,,,,False
13049,155,68.0,,95.0,,,,18.0,30.2,111.1,,,99.0,,,,,,,150.5,-87.0,,-60.0,,,,-137.0,-124.8,-43.9,,,-56.0,,,,,,,-4.5,,True,,,,False,False,True,,,True,,,,,,,True
13051,1702,1324.0,1333.7,1930.0,,,,2594.0,467.2,1578.8,1650.5,1153.8,1854.0,,,2218.3,1800.0,,,1680.6,-378.0,-368.3,228.0,,,,892.0,-1234.8,-123.2,-51.5,-548.2,152.0,,,516.3,98.0,,,-21.4,True,True,,,,False,False,True,True,False,True,,,False,True,,,True
13053,44,70.0,,40.0,,,,172.0,66.5,26.5,,3.2,,,,,,,,44.4,26.0,,-4.0,,,,128.0,22.5,-17.5,,-40.8,,,,,,,,0.4,,True,,,,False,True,True,,False,,,,,,,,True
13055,54,26.0,,35.0,,,,64.0,44.7,11.5,,,49.0,,,,,,,23.6,-28.0,,-19.0,,,,10.0,-9.3,-42.5,,,-5.0,,,,,,,-30.4,,True,,,,True,True,False,,,True,,,,,,,False
13057,685,600.0,226.6,1007.0,,,,778.0,342.4,485.8,631.8,516.1,991.0,,,533.8,837.0,,,799.1,-85.0,-458.4,322.0,,,,93.0,-342.6,-199.2,-53.2,-168.9,306.0,,,-151.2,152.0,,,114.1,False,False,,,,False,False,False,True,False,False,,,False,False,,,False
13059,514,470.0,250.8,543.0,,,,906.0,99.3,386.3,464.2,377.6,643.0,,,481.3,806.0,,,509.3,-44.0,-263.2,29.0,,,,392.0,-414.6,-127.7,-49.8,-136.4,129.0,,,-32.7,292.0,,,-4.7,False,True,,,,False,False,False,False,False,False,,,True,False,,,True
13061,8,10.0,,0.0,,,,13.0,2.4,5.7,,,,,,,,,,75.5,2.0,,-8.0,,,,5.0,-5.6,-2.3,,,,,,,,,,67.5,,False,,,,False,False,False,,,,,,,,,,False
13063,1189,958.0,494.7,1046.0,,,,1941.0,433.4,787.5,1057.5,597.0,1591.0,,,841.3,1076.0,,,1079.2,-231.0,-694.3,-143.0,,,,752.0,-755.5,-401.5,-131.5,-592.0,402.0,,,-347.7,-113.0,,,-109.8,False,True,,,,False,False,False,True,False,False,,,False,True,,,True
13065,42,6.0,,0.0,,,,21.0,14.5,0.1,,13.9,,,,,,,,0.1,-36.0,,-42.0,,,,-21.0,-27.5,-41.9,,-28.1,,,,,,,,-41.9,,False,,,,True,True,False,,True,,,,,,,,False
13067,3069,2522.0,1426.7,4944.0,,,,3102.0,1008.4,2436.8,2927.6,1840.5,4195.0,,,4007.1,3433.0,,,3567.9,-547.0,-1642.3,1875.0,,,,33.0,-2060.6,-632.2,-141.4,-1228.5,1126.0,,,938.1,364.0,,,498.9,False,False,,,,True,False,False,True,False,False,,,False,True,,,True
13069,264,614.0,,1001.0,,,,270.0,120.3,606.0,,238.7,898.0,,,,,,,895.2,350.0,,737.0,,,,6.0,-143.7,342.0,,-25.3,634.0,,,,,,,631.2,,False,,,,True,True,True,,True,False,,,,,,,False
13071,151,360.0,,556.0,,,,547.0,167.8,197.4,,247.1,688.0,,,,,,,290.5,209.0,,405.0,,,,396.0,16.8,46.4,,96.1,537.0,,,,,,,139.5,,False,,,,False,True,True,,True,False,,,,,,,True
13073,610,454.0,189.1,1023.0,,,,398.0,346.1,612.9,529.9,478.0,638.0,,,423.7,934.0,,,976.7,-156.0,-420.9,413.0,,,,-212.0,-263.9,2.9,-80.1,-132.0,28.0,,,-186.3,324.0,,,366.7,False,False,,,,False,False,True,True,True,True,,,False,False,,,False
13075,96,134.0,,214.0,,,,137.0,124.7,61.6,,70.3,182.0,,,,,,,144.3,38.0,,118.0,,,,41.0,28.7,-34.4,,-25.7,86.0,,,,,,,48.3,,False,,,,False,True,True,,True,False,,,,,,,False
13077,287,230.0,189.8,357.0,,,,495.0,192.9,128.2,253.0,264.0,449.0,,,187.9,243.0,,,377.7,-57.0,-97.2,70.0,,,,208.0,-94.1,-158.8,-34.0,-23.0,162.0,,,-99.1,-44.0,,,90.7,False,False,,,,False,False,False,True,True,False,,,False,True,,,False
13079,26,14.0,,15.0,,,,18.0,20.6,6.2,,,,,,,,,,4.0,-12.0,,-11.0,,,,-8.0,-5.4,-19.8,,,,,,,,,,-22.0,,True,,,,True,True,False,,,,,,,,,,False
13081,40,44.0,,64.0,,,,151.0,35.0,12.1,,14.9,,,,,,,,27.6,4.0,,24.0,,,,111.0,-5.0,-27.9,,-25.1,,,,,,,,-12.4,,False,,,,False,False,False,,False,,,,,,,,False
13083,16,10.0,,14.0,,,,95.0,22.8,10.8,,,,,,,,,,5.1,-6.0,,-2.0,,,,79.0,6.8,-5.2,,,,,,,,,,-10.9,,True,,,,False,False,True,,,,,,,,,,False
13085,56,40.0,,90.0,,,,68.0,38.2,17.4,,27.6,91.0,,,,,,,64.2,-16.0,,34.0,,,,12.0,-17.8,-38.6,,-28.4,35.0,,,,,,,8.2,,False,,,,True,False,False,,False,False,,,,,,,True
13087,186,88.0,,171.0,,,,201.0,57.8,48.7,,20.8,177.0,,,,,,,497.0,-98.0,,-15.0,,,,15.0,-128.2,-137.3,,-165.2,-9.0,,,,,,,311.0,,True,,,,True,False,False,,False,True,,,,,,,False
13089,2881,2910.0,1524.4,3716.0,,,,3158.0,1257.5,2391.5,2893.7,1659.3,4587.0,,,2087.6,4006.0,,,3634.9,29.0,-1356.6,835.0,,,,277.0,-1623.5,-489.5,12.7,-1221.7,1706.0,,,-793.4,1125.0,,,753.9,False,False,,,,False,False,False,True,False,False,,,False,False,,,False
13091,57,50.0,,83.0,,,,46.0,62.0,28.0,,47.0,92.0,,,,,,,69.9,-7.0,,26.0,,,,-11.0,5.0,-29.0,,-10.0,35.0,,,,,,,12.9,,False,,,,False,True,False,,False,False,,,,,,,False
13093,11,16.0,,19.0,,,,59.0,10.2,1.9,,3.8,,,,,,,,6.7,5.0,,8.0,,,,48.0,-0.8,-9.1,,-7.2,,,,,,,,-4.3,,False,,,,False,True,False,,False,,,,,,,,True
13095,305,354.0,14.2,973.0,,,,1542.0,65.8,136.2,289.7,3.8,964.0,,,270.3,,,,501.8,49.0,-290.8,668.0,,,,1237.0,-239.2,-168.8,-15.3,-301.2,659.0,,,-34.7,,,,196.8,False,False,,,,False,False,False,True,False,False,,,True,,,,False
13097,639,618.0,251.3,967.0,,,,1038.0,295.0,521.4,637.1,407.0,902.0,,,572.8,783.0,,,903.7,-21.0,-387.7,328.0,,,,399.0,-344.0,-117.6,-1.9,-232.0,263.0,,,-66.2,144.0,,,264.7,False,False,,,,False,False,False,True,False,False,,,False,False,,,False
13099,31,62.0,,68.0,,,,125.0,5.1,16.8,,3.7,140.0,,,,,,,61.4,31.0,,37.0,,,,94.0,-25.9,-14.2,,-27.3,109.0,,,,,,,30.4,,False,,,,False,True,True,,True,False,,,,,,,True
13101,25,14.0,,0.0,,,,33.0,11.5,4.3,,2.1,,,,,,,,1.2,-11.0,,-25.0,,,,8.0,-13.5,-20.7,,-22.9,,,,,,,,-23.8,,False,,,,True,False,False,,False,,,,,,,,False
13103,251,162.0,75.5,429.0,,,,177.0,131.9,176.1,179.0,165.1,213.0,,,,,,,255.7,-89.0,-175.5,178.0,,,,-74.0,-119.1,-74.9,-72.0,-85.9,-38.0,,,,,,,4.7,False,False,,,,True,False,True,True,True,True,,,,,,,True
13105,107,118.0,,336.0,,,,59.0,61.3,70.0,,42.5,163.0,,,,,,,207.9,11.0,,229.0,,,,-48.0,-45.7,-37.0,,-64.5,56.0,,,,,,,100.9,,False,,,,False,False,False,,False,False,,,,,,,False
13107,115,140.0,,272.0,,,,39.0,114.7,56.7,,68.5,183.0,,,,,,,101.0,25.0,,157.0,,,,-76.0,-0.3,-58.3,,-46.5,68.0,,,,,,,-14.0,,False,,,,False,True,False,,False,False,,,,,,,True
