,actual_deaths,Baseline,AIpert-pwllnod,BPagano-RtDriven,CEID-Walk,CMU-TimeSeries,COVIDhub-baseline,COVIDhub-ensemble,COVIDhub-trained_ensemble,CU-select,Caltech-CS156,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,FDANIHASU-Sweight,GT-DeepCOVID,Geneva-DetGrowth,Google_Harvard-CPF,IBF-TimeSeries,IHME-CurveFit,IowaStateLW-STEM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MIT_CritData-GBCF,MIT_ISOLAT-Mixtures,MOBS-GLEAM_COVID,Microsoft-DeepSTIA,OliverWyman-Navigator,PSI-DRAFT,QJHong-Encounter,RPI_UW-Mob_Collision,RobertWalraven-ESG,SigSci-TS,SteveMcConnell-CovidComplete,TTU-squider,UA-EpiCovDA,UCLA-SuEIR,UCM_MESALab-FoGSEIR,UCSD_NEU-DeepGLEAM,UChicagoCHATTOPADHYAY-UnIT,UMass-MechBayes,UMich-RidgeTfReg,USC-SI_kJalpha,UpstateSU-GRU,WalmartLabsML-LogForecasting,epiforecasts-ensemble1,error-Baseline,error-AIpert-pwllnod,error-BPagano-RtDriven,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-baseline,error-COVIDhub-ensemble,error-COVIDhub-trained_ensemble,error-CU-select,error-Caltech-CS156,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-FDANIHASU-Sweight,error-GT-DeepCOVID,error-Geneva-DetGrowth,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IHME-CurveFit,error-IowaStateLW-STEM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MIT_CritData-GBCF,error-MIT_ISOLAT-Mixtures,error-MOBS-GLEAM_COVID,error-Microsoft-DeepSTIA,error-OliverWyman-Navigator,error-PSI-DRAFT,error-QJHong-Encounter,error-RPI_UW-Mob_Collision,error-RobertWalraven-ESG,error-SigSci-TS,error-SteveMcConnell-CovidComplete,error-TTU-squider,error-UA-EpiCovDA,error-UCLA-SuEIR,error-UCM_MESALab-FoGSEIR,error-UCSD_NEU-DeepGLEAM,error-UChicagoCHATTOPADHYAY-UnIT,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,error-UpstateSU-GRU,error-WalmartLabsML-LogForecasting,error-epiforecasts-ensemble1,beat_baseline-AIpert-pwllnod,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-baseline,beat_baseline-COVIDhub-ensemble,beat_baseline-COVIDhub-trained_ensemble,beat_baseline-CU-select,beat_baseline-Caltech-CS156,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-FDANIHASU-Sweight,beat_baseline-GT-DeepCOVID,beat_baseline-Geneva-DetGrowth,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MIT_CritData-GBCF,beat_baseline-MIT_ISOLAT-Mixtures,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-Microsoft-DeepSTIA,beat_baseline-OliverWyman-Navigator,beat_baseline-PSI-DRAFT,beat_baseline-QJHong-Encounter,beat_baseline-RPI_UW-Mob_Collision,beat_baseline-RobertWalraven-ESG,beat_baseline-SigSci-TS,beat_baseline-SteveMcConnell-CovidComplete,beat_baseline-TTU-squider,beat_baseline-UA-EpiCovDA,beat_baseline-UCLA-SuEIR,beat_baseline-UCM_MESALab-FoGSEIR,beat_baseline-UCSD_NEU-DeepGLEAM,beat_baseline-UChicagoCHATTOPADHYAY-UnIT,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha,beat_baseline-UpstateSU-GRU,beat_baseline-WalmartLabsML-LogForecasting,beat_baseline-epiforecasts-ensemble1
New York,44664,44756.0,44715.5,44835.8,44761.9,44764.0,44772.0,44704.0,44624.0,44821.0,44767.9,,43985.7,45002.0,44521.8,,44467.3,44796.2,44777.6,,44847.7,44776.0,44686.1,44993.0,44599.9,44722.9,44638.0,44756.2,44850.0,44691.9,44688.4,44777.6,44650.4,44383.5,,44563.8,44576.6,45921.0,44700.0,43410.3,44468.0,44793.0,,44696.1,44705.7,44623.0,44564.5,44708.0,,43609.1,44638.0,92.0,51.5,171.8,97.9,100.0,108.0,40.0,-40.0,157.0,103.9,,-678.3,338.0,-142.2,,-196.7,132.2,113.6,,183.7,112.0,22.1,329.0,-64.1,58.9,-26.0,92.2,186.0,27.9,24.4,113.6,-13.6,-280.5,,-100.2,-87.4,1257.0,36.0,-1253.7,-196.0,129.0,,32.1,41.7,-41.0,-99.5,44.0,,-1054.9,-26.0,True,False,False,False,False,True,True,False,False,,False,False,False,,False,False,False,,False,False,True,False,True,True,True,False,False,True,True,False,True,False,,False,True,False,True,False,False,False,,True,True,True,False,True,,False,True
North Carolina,9926,9883.6,9764.9,9897.2,9992.1,9975.0,9988.0,9884.0,9846.0,9758.0,9810.8,,9436.7,9739.0,9841.9,,9924.8,10036.9,9751.0,,9745.9,9928.0,9670.0,9925.0,9803.0,9835.1,9796.0,9882.6,9807.0,9950.1,9986.5,9871.0,9897.2,9970.0,,9861.6,9827.0,9923.0,9900.0,10240.1,9819.0,9990.5,,9991.9,9845.8,9841.0,10010.4,10025.0,,9599.6,10037.0,-42.4,-161.1,-28.8,66.1,49.0,62.0,-42.0,-80.0,-168.0,-115.2,,-489.3,-187.0,-84.1,,-1.2,110.9,-175.0,,-180.1,2.0,-256.0,-1.0,-123.0,-90.9,-130.0,-43.4,-119.0,24.1,60.5,-55.0,-28.8,44.0,,-64.4,-99.0,-3.0,-26.0,314.1,-107.0,64.5,,65.9,-80.2,-85.0,84.4,99.0,,-326.4,111.0,False,True,False,False,False,True,False,False,False,,False,False,False,,True,False,False,,False,True,False,True,False,False,False,False,False,True,False,False,True,False,,False,False,True,True,False,False,False,,False,False,False,False,False,,False,False
North Dakota,1453,1456.4,1472.2,1466.0,1458.6,1464.0,1458.0,1463.0,1461.0,1454.0,1460.9,,1445.4,1464.0,1464.0,,1461.5,1457.8,1457.9,,1491.9,1493.0,1534.3,1472.0,1448.1,1461.7,1456.0,1460.1,1467.0,1460.4,1462.4,1465.2,1459.7,1466.0,,,1464.7,1468.0,1465.0,1230.5,1460.0,1448.6,,1474.0,1463.3,1462.0,1464.9,1460.0,,1450.0,1471.0,3.4,19.2,13.0,5.6,11.0,5.0,10.0,8.0,1.0,7.9,,-7.6,11.0,11.0,,8.5,4.8,4.9,,38.9,40.0,81.3,19.0,-4.9,8.7,3.0,7.1,14.0,7.4,9.4,12.2,6.7,13.0,,,11.7,15.0,12.0,-222.5,7.0,-4.4,,21.0,10.3,9.0,11.9,7.0,,-3.0,18.0,False,False,False,False,False,False,False,True,False,,False,False,False,,False,False,False,,False,False,False,False,False,False,True,False,False,False,False,False,False,False,,,False,False,False,False,False,False,,False,False,False,False,False,,True,False
Ohio,17422,11572.7,11658.6,11608.1,11545.0,11603.0,11562.0,11545.0,11498.0,11467.0,11552.8,,11206.0,11513.0,11679.0,,11474.1,11412.1,11501.6,,11509.5,11655.0,12022.9,11651.0,11792.4,11508.7,11523.0,11567.2,11679.0,11559.0,11619.4,11600.8,11529.2,11855.0,,11643.1,11460.4,11581.0,11492.0,12858.9,11480.0,11551.2,,11624.8,11610.9,11546.0,11624.1,11557.0,,11485.0,11542.0,-2.3,83.6,33.1,-30.0,28.0,-13.0,-30.0,-77.0,-108.0,-22.2,,-369.0,-62.0,104.0,,-100.9,-162.9,-73.4,,-65.5,80.0,447.9,76.0,217.4,-66.3,-52.0,-7.8,104.0,-16.0,44.4,25.8,-45.8,280.0,,68.1,-114.6,6.0,-83.0,1283.9,-95.0,-23.8,,49.8,35.9,-29.0,49.1,-18.0,,-90.0,-33.0,False,False,False,False,False,False,False,False,False,,False,False,False,,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,False,False,False,False,,False,False,False,False,False,,False,False
Oklahoma,3761,3776.7,3806.5,3768.6,3779.0,3786.0,3777.0,3755.0,3717.0,3640.0,3742.9,,3519.9,3711.0,3726.9,,3720.0,3785.4,3726.0,,3756.7,3811.0,3611.0,3794.0,3777.5,3694.6,3800.0,3759.8,3778.0,3785.8,3754.5,3765.5,3753.6,3763.0,,,3742.8,3744.0,3744.0,3333.5,3779.0,3768.6,,3765.3,3833.3,3736.0,3785.9,3768.0,,3668.3,3735.0,15.7,45.5,7.6,18.0,25.0,16.0,-6.0,-44.0,-121.0,-18.1,,-241.1,-50.0,-34.1,,-41.0,24.4,-35.0,,-4.3,50.0,-150.0,33.0,16.5,-66.4,39.0,-1.2,17.0,24.8,-6.5,4.5,-7.4,2.0,,,-18.2,-17.0,-17.0,-427.5,18.0,7.6,,4.3,72.3,-25.0,24.9,7.0,,-92.7,-26.0,False,True,False,False,False,True,False,False,False,,False,False,False,,False,False,False,,True,False,False,False,False,False,False,True,False,False,True,True,True,True,,,False,False,False,False,False,True,,True,False,False,False,True,,False,False
Oregon,2020,2023.0,2014.8,2056.3,2032.8,2032.0,2037.0,2036.0,2027.0,2024.0,2046.6,,1962.1,2032.0,2039.3,,2058.8,1993.6,2016.9,,2007.0,2125.0,2144.7,2043.0,2098.3,2042.6,2002.0,2016.8,2071.0,,2042.1,2030.3,2019.2,2051.0,,,2017.3,2063.0,2043.0,2137.0,2028.0,2042.7,,2053.2,2053.9,2029.0,2064.9,2055.0,,2021.8,2060.0,3.0,-5.2,36.3,12.8,12.0,17.0,16.0,7.0,4.0,26.6,,-57.9,12.0,19.3,,38.8,-26.4,-3.1,,-13.0,105.0,124.7,23.0,78.3,22.6,-18.0,-3.2,51.0,,22.1,10.3,-0.8,31.0,,,-2.7,43.0,23.0,117.0,8.0,22.7,,33.2,33.9,9.0,44.9,35.0,,1.8,40.0,False,False,False,False,False,False,False,False,False,,False,False,False,,False,False,False,,False,False,False,False,False,False,False,False,False,,False,False,True,False,,,True,False,False,False,False,False,,False,False,False,False,False,,True,False
Pennsylvania,22353,22547.0,22838.2,22855.6,22699.9,22707.0,22670.0,22578.0,22522.0,22563.0,22560.9,,21911.2,22481.0,22560.3,,22457.4,22428.1,22430.9,,22565.2,23030.0,21554.8,22696.0,22400.0,22568.1,22500.0,22529.3,22677.0,22646.2,22755.4,22593.7,22657.9,22650.5,,22677.0,22390.4,22692.0,22518.0,22541.6,22365.0,22582.3,,22747.1,22505.9,22440.0,22661.0,22702.0,,22274.5,22692.0,194.0,485.2,502.6,346.9,354.0,317.0,225.0,169.0,210.0,207.9,,-441.8,128.0,207.3,,104.4,75.1,77.9,,212.2,677.0,-798.2,343.0,47.0,215.1,147.0,176.3,324.0,293.2,402.4,240.7,304.9,297.5,,324.0,37.4,339.0,165.0,188.6,12.0,229.3,,394.1,152.9,87.0,308.0,349.0,,-78.5,339.0,False,False,False,False,False,False,True,False,False,,False,True,False,,True,True,True,,False,False,False,False,True,False,True,True,False,False,False,False,False,False,,False,True,False,True,True,True,False,,False,True,True,False,False,,True,False
Rhode Island,2400,2214.9,2213.2,2226.2,2223.6,2225.0,2225.0,2223.0,2216.0,2243.0,2209.7,,2197.5,2206.0,2375.2,,2220.8,2213.3,2225.1,,2214.9,2260.0,2207.6,2238.0,2155.9,2223.0,2210.0,2202.3,2231.0,2154.9,2235.8,2222.7,2213.3,2214.0,,,2212.2,2244.0,2191.0,2189.1,2176.0,2218.3,,2245.9,2230.3,2215.0,2231.6,2211.0,,2121.9,2248.0,1.9,0.2,13.2,10.6,12.0,12.0,10.0,3.0,30.0,-3.3,,-15.5,-7.0,162.2,,7.8,0.3,12.1,,1.9,47.0,-5.4,25.0,-57.1,10.0,-3.0,-10.7,18.0,-58.1,22.8,9.7,0.3,1.0,,,-0.8,31.0,-22.0,-23.9,-37.0,5.3,,32.9,17.3,2.0,18.6,-2.0,,-91.1,35.0,True,False,False,False,False,False,False,False,False,,False,False,False,,False,True,False,,False,False,False,False,False,False,False,False,False,False,False,False,True,True,,,True,False,False,False,False,False,,False,False,False,False,False,,False,False
South Carolina,7611,7466.3,7573.4,7436.7,7549.7,7548.0,7549.0,7431.0,7393.0,7415.0,7454.8,,7123.6,7480.0,7378.6,,7478.9,7615.8,7311.0,,7013.0,7558.0,8758.9,7431.0,7410.0,7433.1,7268.0,7387.4,7460.0,7496.4,7393.7,7434.9,7459.3,7420.0,,7473.2,7374.1,7521.0,7448.0,7696.2,7436.0,7567.5,,7422.7,7531.8,7362.0,7422.3,7465.0,,7212.4,7543.0,-144.7,-37.6,-174.3,-61.3,-63.0,-62.0,-180.0,-218.0,-196.0,-156.2,,-487.4,-131.0,-232.4,,-132.1,4.8,-300.0,,-598.0,-53.0,1147.9,-180.0,-201.0,-177.9,-343.0,-223.6,-151.0,-114.6,-217.3,-176.1,-151.7,-191.0,,-137.8,-236.9,-90.0,-163.0,85.2,-175.0,-43.5,,-188.3,-79.2,-249.0,-188.7,-146.0,,-398.6,-68.0,True,False,True,True,True,False,False,False,False,,False,True,False,,True,True,False,,False,True,False,False,False,False,False,False,False,True,False,False,False,False,,True,False,True,False,True,False,True,,False,True,False,False,False,,False,True
South Dakota,1804,1840.6,1847.8,1818.3,1855.9,1853.0,1854.0,1823.0,1813.0,1789.0,1812.9,,1712.7,1817.0,1811.2,,1826.3,1826.1,1804.1,,1753.7,1819.0,1936.7,1834.0,1812.5,1811.8,1804.0,1810.7,1819.0,1835.5,1846.9,1824.8,1846.8,1847.0,,,1815.9,1816.0,1823.0,1703.7,1827.0,1781.9,,1858.0,1821.1,1816.0,1849.4,1826.0,,1823.6,1828.0,36.6,43.8,14.3,51.9,49.0,50.0,19.0,9.0,-15.0,8.9,,-91.3,13.0,7.2,,22.3,22.1,0.1,,-50.3,15.0,132.7,30.0,8.5,7.8,0.0,6.7,15.0,31.5,42.9,20.8,42.8,43.0,,,11.9,12.0,19.0,-100.3,23.0,-22.1,,54.0,17.1,12.0,45.4,22.0,,19.6,24.0,False,True,False,False,False,True,True,True,True,,False,True,True,,True,True,True,,False,True,False,True,True,True,True,True,True,True,False,True,False,False,,,True,True,True,False,True,True,,False,True,True,False,True,,True,True
Tennessee,10463,10328.0,10308.5,10144.0,10326.5,10234.0,10329.0,10095.0,10011.0,9826.0,10018.1,,9639.1,9999.0,10195.7,,9997.6,10419.4,9968.5,,9700.4,10344.0,9352.2,10191.0,9762.7,9966.1,10129.0,10169.1,10033.0,10302.9,10143.3,10138.3,10227.9,10081.0,,10069.4,10053.1,10037.0,10084.0,9575.0,10114.0,10405.7,,10156.8,10133.5,10083.0,10268.1,10186.0,,9711.5,10106.0,-135.0,-154.5,-319.0,-136.5,-229.0,-134.0,-368.0,-452.0,-637.0,-444.9,,-823.9,-464.0,-267.3,,-465.4,-43.6,-494.5,,-762.6,-119.0,-1110.8,-272.0,-700.3,-496.9,-334.0,-293.9,-430.0,-160.1,-319.7,-324.7,-235.1,-382.0,,-393.6,-409.9,-426.0,-379.0,-888.0,-349.0,-57.3,,-306.2,-329.5,-380.0,-194.9,-277.0,,-751.5,-357.0,False,False,False,False,True,False,False,False,False,,False,False,False,,False,True,False,,False,True,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,False,False,False,True,,False,False,False,False,False,,False,False
Texas,39182,38928.0,39689.6,39186.0,39134.2,39191.0,39123.0,38970.0,38832.0,39033.0,38936.1,,37475.7,38828.0,38913.8,,38836.7,39028.2,38811.8,,38407.5,39605.0,39126.7,39348.0,38711.6,39064.3,38905.5,39102.7,39280.0,39521.5,38981.0,39071.9,38982.7,38855.5,,39485.3,38679.2,39454.0,38970.0,37566.6,38673.0,38930.3,,38992.6,39046.7,38782.0,38970.0,39184.0,,38081.8,39008.0,-254.0,507.6,4.0,-47.8,9.0,-59.0,-212.0,-350.0,-149.0,-245.9,,-1706.3,-354.0,-268.2,,-345.3,-153.8,-370.2,,-774.5,423.0,-55.3,166.0,-470.4,-117.7,-276.5,-79.3,98.0,339.5,-201.0,-110.1,-199.3,-326.5,,303.3,-502.8,272.0,-212.0,-1615.4,-509.0,-251.7,,-189.4,-135.3,-400.0,-212.0,2.0,,-1100.2,-174.0,False,True,True,True,True,True,False,True,True,,False,False,False,,False,True,False,,False,False,True,True,False,True,False,True,True,False,True,True,True,False,,False,False,False,True,False,False,True,,True,True,False,True,True,,False,True
Utah,1733,1725.0,1751.1,1740.1,1744.9,1750.0,1744.0,1740.0,1727.0,1712.0,1750.0,,1663.4,1753.0,1721.3,,1726.9,1770.7,1727.9,,1772.3,1751.0,1967.7,1756.0,1270.8,1734.1,1721.0,1729.7,1773.0,,1748.1,1738.3,1722.2,1781.0,,,1728.9,1748.0,1728.0,1522.1,1713.0,1746.7,,1759.4,1728.8,1723.0,1751.6,1734.0,,1200.7,1749.0,-8.0,18.1,7.1,11.9,17.0,11.0,7.0,-6.0,-21.0,17.0,,-69.6,20.0,-11.7,,-6.1,37.7,-5.1,,39.3,18.0,234.7,23.0,-462.2,1.1,-12.0,-3.3,40.0,,15.1,5.3,-10.8,48.0,,,-4.1,15.0,-5.0,-210.9,-20.0,13.7,,26.4,-4.2,-10.0,18.6,1.0,,-532.3,16.0,False,True,False,False,False,True,True,False,False,,False,False,False,,True,False,True,,False,False,False,False,False,True,False,True,False,,False,True,False,False,,,True,False,True,False,False,False,,False,True,False,False,True,,False,False
Vermont,182,177.4,178.3,178.4,175.1,177.0,176.0,179.0,181.0,181.0,189.0,,182.2,189.0,177.4,,181.8,173.6,181.6,,188.5,194.0,218.0,184.0,202.1,186.2,177.0,177.3,198.0,176.5,176.8,181.4,177.1,173.0,,,175.9,189.0,179.0,198.6,179.0,174.9,,188.4,182.8,179.0,176.2,177.0,,179.0,186.0,-4.6,-3.7,-3.6,-6.9,-5.0,-6.0,-3.0,-1.0,-1.0,7.0,,0.2,7.0,-4.6,,-0.2,-8.4,-0.4,,6.5,12.0,36.0,2.0,20.1,4.2,-5.0,-4.7,16.0,-5.5,-5.2,-0.6,-4.9,-9.0,,,-6.1,7.0,-3.0,16.6,-3.0,-7.1,,6.4,0.8,-3.0,-5.8,-5.0,,-3.0,4.0,True,True,False,False,False,True,True,True,False,,True,False,False,,True,False,True,,False,False,False,True,False,True,False,False,False,False,False,True,False,False,,,False,False,True,False,True,False,,False,True,True,False,False,,True,True
Virginia,6773,6794.9,6867.7,6807.6,6816.6,6837.0,6819.0,6808.0,6776.0,6756.0,6842.5,,6499.8,6756.0,6857.1,,6766.2,6829.4,6715.1,,6794.6,6892.0,6985.6,6863.0,6943.8,6817.6,6807.0,6803.3,6848.0,6830.8,6820.1,6824.6,6782.0,6881.0,,6738.8,6775.6,6818.0,6913.0,7188.4,6708.0,6818.6,,6823.6,6875.3,6754.0,6894.1,6852.0,,6621.8,6852.0,21.9,94.7,34.6,43.6,64.0,46.0,35.0,3.0,-17.0,69.5,,-273.2,-17.0,84.1,,-6.8,56.4,-57.9,,21.6,119.0,212.6,90.0,170.8,44.6,34.0,30.3,75.0,57.8,47.1,51.6,9.0,108.0,,-34.2,2.6,45.0,140.0,415.4,-65.0,45.6,,50.6,102.3,-19.0,121.1,79.0,,-151.2,79.0,False,False,False,False,False,False,True,True,False,,False,True,False,,True,False,False,,True,False,False,False,False,False,False,False,False,False,False,False,True,False,,False,True,False,False,False,False,False,,False,False,True,False,False,,False,False
Washington,4449,4431.6,4447.0,4491.2,4455.8,4457.0,4456.0,4454.0,4441.0,4487.0,4477.9,,4436.3,4427.0,4399.7,,4412.0,4399.7,4411.7,,4499.3,4562.0,4383.5,4490.0,4509.0,4452.6,4422.0,4411.5,4489.0,4442.6,4460.4,4465.8,4437.1,4554.0,,4443.6,4380.1,4431.0,4459.0,4601.7,4405.0,4445.2,,4460.2,4485.0,4445.0,4494.7,4470.0,,4383.6,4485.0,-17.4,-2.0,42.2,6.8,8.0,7.0,5.0,-8.0,38.0,28.9,,-12.7,-22.0,-49.3,,-37.0,-49.3,-37.3,,50.3,113.0,-65.5,41.0,60.0,3.6,-27.0,-37.5,40.0,-6.4,11.4,16.8,-11.9,105.0,,-5.4,-68.9,-18.0,10.0,152.7,-44.0,-3.8,,11.2,36.0,-4.0,45.7,21.0,,-65.4,36.0,True,False,True,True,True,True,True,False,False,,True,False,False,,False,False,False,,False,False,False,False,False,True,False,False,False,True,True,True,True,False,,True,False,False,True,False,False,True,,True,False,True,False,False,,False,False
West Virginia,2119,2134.6,2131.4,2156.5,2148.0,2161.0,2158.0,2136.0,2125.0,2088.0,2140.8,,2105.5,2140.0,2121.8,,2125.0,2126.0,2092.9,,2065.7,2178.0,2077.1,2141.0,2179.9,2140.7,2096.0,2115.9,2141.0,2145.0,2144.3,2133.5,2129.2,2210.0,,,2110.2,2163.0,2137.0,2349.6,2106.0,2172.0,,2154.7,2153.3,2116.0,2177.7,2133.0,,2108.7,2136.0,15.6,12.4,37.5,29.0,42.0,39.0,17.0,6.0,-31.0,21.8,,-13.5,21.0,2.8,,6.0,7.0,-26.1,,-53.3,59.0,-41.9,22.0,60.9,21.7,-23.0,-3.1,22.0,26.0,25.3,14.5,10.2,91.0,,,-8.8,44.0,18.0,230.6,-13.0,53.0,,35.7,34.3,-3.0,58.7,14.0,,-10.3,17.0,True,False,False,False,False,False,True,False,False,,True,False,True,,True,True,False,,False,False,False,False,False,False,False,True,False,False,False,True,True,False,,,True,False,False,False,True,False,,False,False,True,False,True,,True,False
Wisconsin,6611,6643.1,6680.4,6684.8,6667.2,6684.0,6676.0,6650.0,6606.0,6610.0,6644.0,,6333.1,6604.0,6599.6,,6616.8,6602.1,6589.3,,6587.3,6736.0,7330.5,6690.0,6677.1,6618.7,6652.0,6634.9,6662.0,6640.3,6660.5,6645.4,6625.4,6720.0,,6718.4,6620.3,6624.0,6628.0,5640.7,6578.0,6658.2,,6668.2,6640.2,6597.0,6662.2,6664.0,,6614.6,6666.0,32.1,69.4,73.8,56.2,73.0,65.0,39.0,-5.0,-1.0,33.0,,-277.9,-7.0,-11.4,,5.8,-8.9,-21.7,,-23.7,125.0,719.5,79.0,66.1,7.7,41.0,23.9,51.0,29.3,49.5,34.4,14.4,109.0,,107.4,9.3,13.0,17.0,-970.3,-33.0,47.2,,57.2,29.2,-14.0,51.2,53.0,,3.6,55.0,False,False,False,False,False,False,True,True,False,,False,True,True,,True,True,True,,True,False,False,False,False,True,False,True,False,True,False,False,True,False,,False,True,True,True,False,False,False,,False,True,True,False,False,,True,False
Wyoming,624,617.4,627.8,631.5,621.4,636.0,621.0,624.0,621.0,616.0,620.0,,627.4,626.0,623.1,,622.3,648.5,608.1,,688.8,634.0,634.6,631.0,620.7,617.9,624.0,612.7,624.0,,623.3,627.8,609.6,633.0,,,610.4,623.0,628.0,625.0,611.0,604.0,,634.5,616.5,616.0,629.6,628.0,,618.8,628.0,-6.6,3.8,7.5,-2.6,12.0,-3.0,0.0,-3.0,-8.0,-4.0,,3.4,2.0,-0.9,,-1.7,24.5,-15.9,,64.8,10.0,10.6,7.0,-3.3,-6.1,0.0,-11.3,0.0,,-0.7,3.8,-14.4,9.0,,,-13.6,-1.0,4.0,1.0,-13.0,-20.0,,10.5,-7.5,-8.0,5.6,4.0,,-5.2,4.0,True,False,True,False,True,True,True,False,True,,True,True,True,,True,False,False,,False,False,False,False,True,True,True,False,True,,True,True,False,False,,,False,True,True,True,False,False,,False,False,False,True,True,,True,True
US,468282,460243.7,462224.9,461168.6,461257.3,,461584.0,459895.0,458676.0,456713.0,458739.4,460179.0,443369.8,457992.0,460768.6,465281.9,457971.3,458741.6,,471492.0,453346.9,462190.0,461050.7,462184.0,452548.6,458434.4,458722.0,460221.9,461391.0,461554.6,460015.1,458821.6,459217.7,463027.5,459894.5,460774.8,457200.1,459762.0,457548.0,455304.4,457224.0,459243.1,461992.0,460461.9,460058.1,457974.0,461311.7,460424.0,458465.0,452640.3,460752.0,-437.3,1543.9,487.6,576.3,,903.0,-786.0,-2005.0,-3968.0,-1941.6,-502.0,-17311.2,-2689.0,87.6,4600.9,-2709.7,-1939.4,,10811.0,-7334.1,1509.0,369.7,1503.0,-8132.4,-2246.6,-1959.0,-459.1,710.0,873.6,-665.9,-1859.4,-1463.3,2346.5,-786.5,93.8,-3480.9,-919.0,-3133.0,-5376.6,-3457.0,-1437.9,1311.0,-219.1,-622.9,-2707.0,630.7,-257.0,-2216.0,-8040.7,71.0,False,False,False,,False,False,False,False,False,False,False,False,True,False,False,False,,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True
