,actual_deaths,Baseline,AIpert-pwllnod,BPagano-RtDriven,CEID-Walk,CMU-TimeSeries,COVIDhub-baseline,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,FDANIHASU-Sweight,GT-DeepCOVID,Google_Harvard-CPF,IBF-TimeSeries,IHME-CurveFit,IowaStateLW-STEM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MIT_CritData-GBCF,MIT_ISOLAT-Mixtures,MOBS-GLEAM_COVID,Microsoft-DeepSTIA,OliverWyman-Navigator,PSI-DRAFT,QJHong-Encounter,RPI_UW-Mob_Collision,RobertWalraven-ESG,SigSci-TS,SteveMcConnell-CovidComplete,TTU-squider,UA-EpiCovDA,UCLA-SuEIR,UCM_MESALab-FoGSEIR,UCSB-ACTS,UCSD_NEU-DeepGLEAM,UChicagoCHATTOPADHYAY-UnIT,UMass-MechBayes,UMich-RidgeTfReg,USC-SI_kJalpha,UT-Mobility,UpstateSU-GRU,WalmartLabsML-LogForecasting,epiforecasts-ensemble1,error-Baseline,error-AIpert-pwllnod,error-BPagano-RtDriven,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-baseline,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-FDANIHASU-Sweight,error-GT-DeepCOVID,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IHME-CurveFit,error-IowaStateLW-STEM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MIT_CritData-GBCF,error-MIT_ISOLAT-Mixtures,error-MOBS-GLEAM_COVID,error-Microsoft-DeepSTIA,error-OliverWyman-Navigator,error-PSI-DRAFT,error-QJHong-Encounter,error-RPI_UW-Mob_Collision,error-RobertWalraven-ESG,error-SigSci-TS,error-SteveMcConnell-CovidComplete,error-TTU-squider,error-UA-EpiCovDA,error-UCLA-SuEIR,error-UCM_MESALab-FoGSEIR,error-UCSB-ACTS,error-UCSD_NEU-DeepGLEAM,error-UChicagoCHATTOPADHYAY-UnIT,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,error-UT-Mobility,error-UpstateSU-GRU,error-WalmartLabsML-LogForecasting,error-epiforecasts-ensemble1,beat_baseline-AIpert-pwllnod,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-baseline,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-FDANIHASU-Sweight,beat_baseline-GT-DeepCOVID,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MIT_CritData-GBCF,beat_baseline-MIT_ISOLAT-Mixtures,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-Microsoft-DeepSTIA,beat_baseline-OliverWyman-Navigator,beat_baseline-PSI-DRAFT,beat_baseline-QJHong-Encounter,beat_baseline-RPI_UW-Mob_Collision,beat_baseline-RobertWalraven-ESG,beat_baseline-SigSci-TS,beat_baseline-SteveMcConnell-CovidComplete,beat_baseline-TTU-squider,beat_baseline-UA-EpiCovDA,beat_baseline-UCLA-SuEIR,beat_baseline-UCM_MESALab-FoGSEIR,beat_baseline-UCSB-ACTS,beat_baseline-UCSD_NEU-DeepGLEAM,beat_baseline-UChicagoCHATTOPADHYAY-UnIT,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha,beat_baseline-UT-Mobility,beat_baseline-UpstateSU-GRU,beat_baseline-WalmartLabsML-LogForecasting,beat_baseline-epiforecasts-ensemble1
North Carolina,9926,9831.6,9481.9,9642.0,9740.6,9708.0,9726.0,9713.0,9524.0,9740.0,9522.7,9512.0,10063.9,,9695.1,9585.9,,9551.5,9716.0,9672.3,9721.0,9969.7,9627.9,10192.0,9970.4,10016.0,9843.7,9662.4,9964.6,9725.3,9747.0,,9713.1,9751.7,,9759.0,10240.1,10057.0,9606.4,,9621.2,9669.1,9641.8,9832.0,9664.7,9909.0,10192.0,,9184.3,9905.0,-94.4,-444.1,-284.0,-185.4,-218.0,-200.0,-213.0,-402.0,-186.0,-403.3,-414.0,137.9,,-230.9,-340.1,,-374.5,-210.0,-253.7,-205.0,43.7,-298.1,266.0,44.4,90.0,-82.3,-263.6,38.6,-200.7,-179.0,,-212.9,-174.3,,-167.0,314.1,131.0,-319.6,,-304.8,-256.9,-284.2,-94.0,-261.3,-17.0,266.0,,-741.7,-21.0,False,False,False,False,False,False,False,False,False,False,False,,False,False,,False,False,False,False,True,False,False,True,True,True,False,True,False,False,,False,False,,False,False,False,False,,False,False,False,True,False,True,False,,False,True
North Dakota,1453,1491.7,1495.9,1473.4,1506.5,1497.0,1502.0,1488.0,1445.0,1494.0,1444.4,1476.0,1490.4,,1491.4,1461.5,,1507.4,1511.0,1497.6,1516.0,1461.5,1469.7,1475.0,1478.6,1485.0,1468.1,1485.6,1489.7,1490.8,1502.0,,,1495.5,,1489.0,1230.5,1490.0,1461.4,,1444.1,1504.1,1479.4,1481.0,1537.3,1497.0,1474.0,,1474.1,1506.0,38.7,42.9,20.4,53.5,44.0,49.0,35.0,-8.0,41.0,-8.6,23.0,37.4,,38.4,8.5,,54.4,58.0,44.6,63.0,8.5,16.7,22.0,25.6,32.0,15.1,32.6,36.7,37.8,49.0,,,42.5,,36.0,-222.5,37.0,8.4,,-8.9,51.1,26.4,28.0,84.3,44.0,21.0,,21.1,53.0,False,True,False,False,False,True,True,False,True,True,True,,True,True,,False,False,False,False,True,True,True,True,True,True,True,True,True,False,,,False,,True,False,True,True,,True,False,True,True,False,False,True,,True,False
Ohio,17422,11660.0,11800.4,11590.5,11777.7,11773.0,11770.0,11631.0,11381.0,11512.0,11231.1,11418.0,12563.3,,11627.1,11471.2,,11601.1,11959.0,11587.4,11764.0,12016.5,11537.8,11460.0,11719.4,11968.0,11672.6,11727.7,11809.2,11603.2,12095.0,,11875.2,11450.0,,11549.0,13018.6,11356.0,11838.0,,11747.2,11737.3,11715.4,11526.0,11769.4,11770.0,11611.0,,11311.6,11670.0,-9.0,131.4,-78.5,108.7,104.0,101.0,-38.0,-288.0,-157.0,-437.9,-251.0,894.3,,-41.9,-197.8,,-67.9,290.0,-81.6,95.0,347.5,-131.2,-209.0,50.4,299.0,3.6,58.7,140.2,-65.8,426.0,,206.2,-219.0,,-120.0,1349.6,-313.0,169.0,,78.2,68.3,46.4,-143.0,100.4,101.0,-58.0,,-357.4,1.0,False,False,False,False,False,False,False,False,False,False,False,,False,False,,False,False,False,False,False,False,False,False,False,True,False,False,False,False,,False,False,,False,False,False,False,,False,False,False,False,False,False,False,,False,True
Oklahoma,3761,3821.3,3808.4,3654.3,3796.8,3773.0,3789.0,3726.0,3492.0,3724.0,3486.2,3641.0,3909.0,,3610.2,3636.6,,3604.5,3719.0,3604.8,3825.0,3819.1,3595.6,3720.0,3820.6,3807.0,3751.0,3755.9,3746.4,3829.7,3681.0,,,3603.6,,3700.0,3189.8,3815.0,3826.0,,3671.4,3770.6,3805.2,3733.0,3761.0,3841.0,3990.5,,3500.8,3747.0,60.3,47.4,-106.7,35.8,12.0,28.0,-35.0,-269.0,-37.0,-274.8,-120.0,148.0,,-150.8,-124.4,,-156.5,-42.0,-156.2,64.0,58.1,-165.4,-41.0,59.6,46.0,-10.0,-5.1,-14.6,68.7,-80.0,,,-157.4,,-61.0,-571.2,54.0,65.0,,-89.6,9.6,44.2,-28.0,-0.0,80.0,229.5,,-260.2,-14.0,True,False,True,True,True,True,False,True,False,False,False,,False,False,,False,True,False,False,True,False,True,True,True,True,True,True,False,False,,,False,,False,False,True,False,,False,True,True,True,True,False,False,,False,True
Oregon,2020,2028.6,2214.6,2093.5,1997.4,2083.0,2033.0,2069.0,2019.0,2085.0,1957.8,2048.0,2204.4,,2059.4,2083.4,,2263.5,2200.0,2120.8,2084.0,2185.1,2065.3,2077.0,2066.9,2147.0,,2042.0,2094.6,2016.1,2315.0,,,2085.4,,2075.0,2137.0,2037.0,2025.3,,2069.3,2058.3,2067.2,2046.0,2118.6,2064.0,2040.0,,2014.0,2089.0,8.6,194.6,73.5,-22.6,63.0,13.0,49.0,-1.0,65.0,-62.2,28.0,184.4,,39.4,63.4,,243.5,180.0,100.8,64.0,165.1,45.3,57.0,46.9,127.0,,22.0,74.6,-3.9,295.0,,,65.4,,55.0,117.0,17.0,5.3,,49.3,38.3,47.2,26.0,98.6,44.0,20.0,,-6.0,69.0,False,False,False,False,False,False,True,False,False,False,False,,False,False,,False,False,False,False,False,False,False,False,False,,False,False,True,False,,,False,,False,False,False,True,,False,False,False,False,False,False,False,,True,False
Pennsylvania,22353,22903.6,23492.7,23017.4,23174.2,22853.0,23076.8,22773.0,22539.0,22620.0,21991.9,22457.0,24358.0,,22871.7,22360.5,,22747.2,23446.0,22372.0,22933.0,22130.8,22589.7,22821.0,22797.6,22955.0,23903.2,22952.7,23193.5,22595.1,22218.0,,23374.0,22632.0,,22599.0,22488.1,22784.0,22706.2,,23649.9,22992.0,21953.7,22436.0,23380.1,22816.0,22801.0,,21679.8,22906.0,550.6,1139.7,664.4,821.2,500.0,723.8,420.0,186.0,267.0,-361.1,104.0,2005.0,,518.7,7.5,,394.2,1093.0,19.0,580.0,-222.2,236.7,468.0,444.6,602.0,1550.2,599.7,840.5,242.1,-135.0,,1021.0,279.0,,246.0,135.1,431.0,353.2,,1296.9,639.0,-399.3,83.0,1027.1,463.0,448.0,,-673.2,553.0,False,False,False,True,False,True,True,True,True,True,False,,True,True,,True,False,True,False,True,True,True,True,False,False,False,False,True,True,,False,True,,True,True,True,True,,False,False,True,True,False,True,True,,False,False
Rhode Island,2400,2227.9,2196.4,2224.2,2223.0,2236.0,2239.0,2241.0,2280.0,2252.0,2273.2,2204.0,2645.6,,2290.3,2241.3,,2244.3,2314.0,2277.2,2262.0,2151.4,2249.6,2217.0,2200.1,2274.0,2228.7,2258.2,2278.0,2224.8,2225.0,,,2213.8,,2199.0,2156.0,2128.0,2143.6,,2220.7,2271.4,2229.9,2236.0,2251.2,2185.0,2205.5,,2077.4,2284.0,16.9,-14.6,13.2,12.0,25.0,28.0,30.0,69.0,41.0,62.2,-7.0,434.6,,79.3,30.3,,33.3,103.0,66.2,51.0,-59.6,38.6,6.0,-10.9,63.0,17.7,47.2,67.0,13.8,14.0,,,2.8,,-12.0,-55.0,-83.0,-67.4,,9.7,60.4,18.9,25.0,40.2,-26.0,-5.5,,-133.6,73.0,True,True,True,False,False,False,False,False,False,True,False,,False,False,,False,False,False,False,False,False,True,True,False,False,False,False,True,True,,,True,,True,False,False,False,,True,False,False,False,False,False,True,,False,False
South Carolina,7611,7122.7,7498.2,7160.4,7243.5,7257.0,7220.8,7314.0,7354.0,7438.0,7252.6,7510.0,7600.9,,7313.9,7158.1,,7530.8,7313.0,7691.2,7337.0,7290.3,7175.7,6937.0,7256.8,7383.0,7397.2,7242.0,7397.5,7251.7,7314.5,,7466.8,7176.6,,7324.0,7734.1,7503.0,7176.9,,7058.7,7261.4,7260.3,7332.0,7047.4,7436.0,7429.0,,6837.4,7474.0,-488.3,-112.8,-450.6,-367.5,-354.0,-390.2,-297.0,-257.0,-173.0,-358.4,-101.0,-10.1,,-297.1,-452.9,,-80.2,-298.0,80.2,-274.0,-320.7,-435.3,-674.0,-354.2,-228.0,-213.8,-369.0,-213.5,-359.3,-296.5,,-144.2,-434.4,,-287.0,123.1,-108.0,-434.1,,-552.3,-349.6,-350.7,-279.0,-563.6,-175.0,-182.0,,-773.6,-137.0,True,True,True,True,True,True,True,True,True,True,True,,True,True,,True,True,True,True,True,True,False,True,True,True,True,True,True,True,,True,True,,True,True,True,True,,False,True,True,True,False,True,True,,False,True
South Dakota,1804,1796.0,1818.6,1768.9,1821.9,1790.0,1822.0,1793.0,1737.0,1796.0,1715.2,1793.0,1829.1,,1792.1,1771.3,,1851.8,1788.0,1804.7,1830.0,1776.0,1768.0,1766.0,1777.6,1790.0,1734.9,1796.5,1796.5,1785.8,1786.0,,,1786.6,,1785.0,1738.2,1823.0,1786.8,,1738.2,1815.4,1787.3,1793.0,1852.2,1802.0,1806.0,,1795.7,1811.0,-8.0,14.6,-35.1,17.9,-14.0,18.0,-11.0,-67.0,-8.0,-88.8,-11.0,25.1,,-11.9,-32.7,,47.8,-16.0,0.7,26.0,-28.0,-36.0,-38.0,-26.4,-14.0,-69.1,-7.5,-7.5,-18.2,-18.0,,,-17.4,,-19.0,-65.8,19.0,-17.2,,-65.8,11.4,-16.7,-11.0,48.2,-2.0,2.0,,-8.3,7.0,False,False,False,False,False,False,False,False,False,False,False,,False,False,,False,False,True,False,False,False,False,False,False,False,True,True,False,False,,,False,,False,False,False,False,,False,False,False,False,False,True,True,,False,True
Tennessee,10463,9728.1,9739.8,9842.2,9749.8,9737.0,9746.9,9678.0,9353.0,9618.0,9689.6,9494.0,10530.1,,9554.0,9577.2,,10094.3,9915.0,9486.4,9792.0,9542.4,9662.4,9521.0,9769.7,9886.0,9759.8,9808.6,9973.7,9514.2,9956.0,,10217.9,9647.6,,9841.0,9775.1,9467.0,9611.9,,9605.1,9800.6,9623.1,9630.0,10014.3,9656.0,9714.0,,9229.9,9796.0,-734.9,-723.2,-620.8,-713.2,-726.0,-716.1,-785.0,-1110.0,-845.0,-773.4,-969.0,67.1,,-909.0,-885.8,,-368.7,-548.0,-976.6,-671.0,-920.6,-800.6,-942.0,-693.3,-577.0,-703.2,-654.4,-489.3,-948.8,-507.0,,-245.1,-815.4,,-622.0,-687.9,-996.0,-851.1,,-857.9,-662.4,-839.9,-833.0,-448.7,-807.0,-749.0,,-1233.1,-667.0,True,True,True,True,True,False,False,False,False,False,True,,False,False,,True,True,False,True,False,False,False,True,True,True,True,True,False,True,,True,False,,True,True,False,False,,False,True,False,False,True,False,False,,False,True
Texas,39182,39202.9,40064.1,38558.6,39243.8,39088.0,39319.4,39085.0,38739.0,40318.0,37100.7,38639.0,42769.4,,39111.7,38751.1,,38454.6,39181.0,40246.5,39521.0,38266.3,39552.3,38841.0,39634.8,39511.0,39290.4,38912.6,39568.6,39303.1,38864.0,,40184.0,38018.8,,39143.0,36211.3,38294.0,38810.1,,39581.3,38969.7,38536.3,38643.0,39081.9,39956.0,40033.0,,36737.6,39473.0,20.9,882.1,-623.4,61.8,-94.0,137.4,-97.0,-443.0,1136.0,-2081.3,-543.0,3587.4,,-70.3,-430.9,,-727.4,-1.0,1064.5,339.0,-915.7,370.3,-341.0,452.8,329.0,108.4,-269.4,386.6,121.1,-318.0,,1002.0,-1163.2,,-39.0,-2970.7,-888.0,-371.9,,399.3,-212.3,-645.7,-539.0,-100.1,774.0,851.0,,-2444.4,291.0,False,False,False,False,False,False,False,False,False,False,False,,False,False,,False,True,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,,False,False,False,False,,False,False,False,False,False,False,False,,False,False
Utah,1733,1784.4,1813.2,1747.0,1772.5,1834.0,1776.0,1766.0,1677.0,1780.0,1671.1,1784.0,1785.4,,1745.4,1761.6,,1752.9,1742.0,1791.7,1770.0,1325.9,1740.0,1734.0,1813.4,1788.0,,1787.6,1782.3,1738.7,1748.0,,,1770.5,,1747.0,1458.4,1735.0,1769.9,,1867.3,1804.9,1737.6,1744.0,1780.9,1727.0,1768.0,,1186.7,1762.0,51.4,80.2,14.0,39.5,101.0,43.0,33.0,-56.0,47.0,-61.9,51.0,52.4,,12.4,28.6,,19.9,9.0,58.7,37.0,-407.1,7.0,1.0,80.4,55.0,,54.6,49.3,5.7,15.0,,,37.5,,14.0,-274.6,2.0,36.9,,134.3,71.9,4.6,11.0,47.9,-6.0,35.0,,-546.3,29.0,False,True,True,False,True,True,False,True,False,True,False,,True,True,,True,True,False,True,False,True,True,False,False,,False,True,True,True,,,True,,True,False,True,True,,False,False,True,True,True,True,True,,False,True
Vermont,182,183.0,182.0,182.5,184.5,185.0,184.0,188.0,185.0,194.0,206.9,204.0,189.9,,197.0,184.3,,194.4,204.0,180.7,196.0,234.2,202.7,178.0,179.1,225.0,170.6,187.0,199.1,184.9,186.0,,,181.4,,192.0,195.9,215.0,181.4,,178.7,205.5,192.3,187.0,188.1,184.0,182.0,,179.4,202.0,1.0,0.0,0.5,2.5,3.0,2.0,6.0,3.0,12.0,24.9,22.0,7.9,,15.0,2.3,,12.4,22.0,-1.3,14.0,52.2,20.7,-4.0,-2.9,43.0,-11.4,5.0,17.1,2.9,4.0,,,-0.6,,10.0,13.9,33.0,-0.6,,-3.3,23.5,10.3,5.0,6.1,2.0,0.0,,-2.6,20.0,True,True,False,False,False,False,False,False,False,False,False,,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,True,,False,False,False,True,,False,False,False,False,False,False,True,,False,False
Virginia,6773,6726.1,6881.8,6688.7,6839.4,6872.0,6824.9,6797.0,6684.0,6871.0,6526.2,6713.0,7043.6,,6760.6,6739.8,,6788.5,6782.0,7000.0,6957.0,7053.0,6766.1,6801.0,6766.8,6865.0,6755.0,6870.1,6825.8,6793.2,6911.0,,6719.2,6766.4,,6995.0,7188.4,6464.0,6709.1,,6671.6,6880.1,6905.3,6718.0,6809.5,6866.0,6681.0,,6356.2,6891.0,-46.9,108.8,-84.3,66.4,99.0,51.9,24.0,-89.0,98.0,-246.8,-60.0,270.6,,-12.4,-33.2,,15.5,9.0,227.0,184.0,280.0,-6.9,28.0,-6.2,92.0,-18.0,97.1,52.8,20.2,138.0,,-53.8,-6.6,,222.0,415.4,-309.0,-63.9,,-101.4,107.1,132.3,-55.0,36.5,93.0,-92.0,,-416.8,118.0,False,False,False,False,False,True,False,False,False,False,False,,True,True,,True,True,False,False,False,True,True,True,False,True,False,False,True,False,,False,True,,False,False,False,False,,False,False,False,False,True,False,False,,False,False
Washington,4449,4505.9,4475.6,4480.8,4522.2,4480.0,4536.0,4499.0,4499.0,4545.0,4550.5,4389.0,4449.8,,4441.6,4449.8,,4677.8,4554.5,4516.7,4615.0,4562.9,4475.2,4339.0,4380.5,4626.0,4542.9,4581.9,4562.1,4469.5,4687.0,,4438.4,4386.1,,4553.0,4648.2,4570.0,4498.7,,4454.0,4585.3,4541.3,4456.0,4438.0,4352.0,4327.0,,4304.6,4517.0,56.9,26.6,31.8,73.2,31.0,87.0,50.0,50.0,96.0,101.5,-60.0,0.8,,-7.4,0.8,,228.8,105.5,67.7,166.0,113.9,26.2,-110.0,-68.5,177.0,93.9,132.9,113.1,20.5,238.0,,-10.6,-62.9,,104.0,199.2,121.0,49.7,,5.0,136.3,92.3,7.0,-11.0,-97.0,-122.0,,-144.4,68.0,True,True,False,True,False,True,True,False,False,False,True,,True,True,,False,False,False,False,False,True,False,False,False,False,False,False,True,False,,True,False,,False,False,False,True,,True,False,False,True,True,False,False,,False,False
West Virginia,2119,2116.0,2129.9,2171.7,2090.8,2112.0,2094.0,2134.0,2064.0,2176.0,2156.1,2157.0,2368.8,,2103.4,2127.7,,2270.2,2189.0,2183.6,2173.0,2216.3,2138.7,2120.0,2137.6,2179.0,,2115.3,2201.5,2060.6,2208.0,,,2094.0,,2117.0,2385.2,2069.0,2079.5,,2134.2,2129.2,2082.0,2112.0,2203.5,2189.0,2169.0,,2062.6,2159.0,-3.0,10.9,52.7,-28.2,-7.0,-25.0,15.0,-55.0,57.0,37.1,38.0,249.8,,-15.6,8.7,,151.2,70.0,64.6,54.0,97.3,19.7,1.0,18.6,60.0,,-3.7,82.5,-58.4,89.0,,,-25.0,,-2.0,266.2,-50.0,-39.5,,15.2,10.2,-37.0,-7.0,84.5,70.0,50.0,,-56.4,40.0,False,False,False,False,False,False,False,False,False,False,False,,False,False,,False,False,False,False,False,False,True,False,False,,False,False,False,False,,,False,,True,False,False,False,,False,False,False,False,False,False,False,,False,False
Wisconsin,6611,6717.4,6707.4,6651.4,6709.6,6831.0,6742.2,6670.0,6574.0,6762.0,6334.2,6534.0,6628.5,,6561.0,6615.9,,6416.5,6822.0,6652.9,6776.0,6685.7,6557.6,6631.5,6731.4,6751.0,6615.4,6672.6,6699.6,6618.0,6949.0,,6725.5,6659.6,,6692.0,5323.3,6703.0,6628.7,,6588.2,6681.4,6630.9,6581.0,6816.8,6726.0,6716.0,,6559.8,6702.0,106.4,96.4,40.4,98.6,220.0,131.2,59.0,-37.0,151.0,-276.8,-77.0,17.5,,-50.0,4.9,,-194.5,211.0,41.9,165.0,74.7,-53.4,20.5,120.4,140.0,4.4,61.6,88.6,7.0,338.0,,114.5,48.6,,81.0,-1287.7,92.0,17.7,,-22.8,70.4,19.9,-30.0,205.8,115.0,105.0,,-51.2,91.0,True,True,True,False,False,True,True,False,False,True,True,,True,True,,False,False,True,False,True,True,True,False,False,True,True,True,True,False,,False,True,,True,False,True,True,,True,True,True,True,False,False,True,,True,True
Wyoming,624,662.0,643.9,635.0,671.4,658.0,669.0,640.0,619.0,684.0,633.8,639.0,673.0,,632.3,606.3,,621.5,607.0,641.8,651.0,619.8,615.9,658.0,598.3,630.0,,647.7,652.5,646.6,643.0,,,606.0,,653.0,512.6,658.0,589.6,,625.3,665.4,634.2,627.0,649.1,651.0,619.0,,619.2,667.0,38.0,19.9,11.0,47.4,34.0,45.0,16.0,-5.0,60.0,9.8,15.0,49.0,,8.3,-17.7,,-2.5,-17.0,17.8,27.0,-4.2,-8.1,34.0,-25.7,6.0,,23.7,28.5,22.6,19.0,,,-18.0,,29.0,-111.4,34.0,-34.4,,1.3,41.4,10.2,3.0,25.1,27.0,-5.0,,-4.8,43.0,True,True,False,True,False,True,True,False,True,True,False,,True,True,,True,True,True,True,True,True,True,True,True,,True,True,True,True,,,True,,True,False,True,True,,True,False,True,True,True,True,True,,True,False
US,468282,459354.3,466314.8,456628.2,460632.6,,460614.2,458366.0,453016.0,460860.0,474232.0,458081.0,487758.1,455844.8,457195.7,,470347.0,459079.4,460268.0,457061.2,461967.0,453318.3,456461.6,459456.0,462826.2,465028.0,448371.2,459554.3,464537.6,456800.9,465941.0,457884.2,466235.0,457663.3,459301.0,455529.0,454602.7,455270.0,449427.6,461019.0,,460370.7,453133.1,454556.0,463265.6,461655.0,462741.5,452465.1,440179.7,459682.0,-1412.7,5547.8,-4138.8,-134.4,,-152.8,-2401.0,-7751.0,93.0,13465.0,-2686.0,26991.1,-4922.2,-3571.3,,9580.0,-1687.6,-499.0,-3705.8,1200.0,-7448.7,-4305.4,-1311.0,2059.2,4261.0,-12395.8,-1212.7,3770.6,-3966.1,5174.0,-2882.8,5468.0,-3103.7,-1466.0,-5238.0,-6164.3,-5497.0,-11339.4,252.0,,-396.3,-7633.9,-6211.0,2498.6,888.0,1974.5,-8301.9,-20587.3,-1085.0,False,False,True,,True,False,False,True,False,False,False,False,False,,False,False,True,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,,True,False,False,False,True,False,False,False,True
