,actual_deaths,Baseline,AIpert-pwllnod,BPagano-RtDriven,CEID-Walk,CMU-TimeSeries,COVIDhub-baseline,COVIDhub-ensemble,CU-select,Caltech-CS156,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,GT-DeepCOVID,Google_Harvard-CPF,IBF-TimeSeries,IowaStateLW-STEM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MITCovAlliance-SIR,MIT_CritData-GBCF,MOBS-GLEAM_COVID,Microsoft-DeepSTIA,OliverWyman-Navigator,PSI-DRAFT,QJHong-Encounter,RPI_UW-Mob_Collision,RobertWalraven-ESG,SigSci-TS,SteveMcConnell-CovidComplete,TTU-squider,UA-EpiCovDA,UCLA-SuEIR,UCM_MESALab-FoGSEIR,UCSB-ACTS,UCSD_NEU-DeepGLEAM,UMass-MechBayes,UMich-RidgeTfReg,USC-SI_kJalpha,UT-Mobility,UpstateSU-GRU,WalmartLabsML-LogForecasting,epiforecasts-ensemble1,error-Baseline,error-AIpert-pwllnod,error-BPagano-RtDriven,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-baseline,error-COVIDhub-ensemble,error-CU-select,error-Caltech-CS156,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-GT-DeepCOVID,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MITCovAlliance-SIR,error-MIT_CritData-GBCF,error-MOBS-GLEAM_COVID,error-Microsoft-DeepSTIA,error-OliverWyman-Navigator,error-PSI-DRAFT,error-QJHong-Encounter,error-RPI_UW-Mob_Collision,error-RobertWalraven-ESG,error-SigSci-TS,error-SteveMcConnell-CovidComplete,error-TTU-squider,error-UA-EpiCovDA,error-UCLA-SuEIR,error-UCM_MESALab-FoGSEIR,error-UCSB-ACTS,error-UCSD_NEU-DeepGLEAM,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,error-UT-Mobility,error-UpstateSU-GRU,error-WalmartLabsML-LogForecasting,error-epiforecasts-ensemble1,beat_baseline-AIpert-pwllnod,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-baseline,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Caltech-CS156,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-GT-DeepCOVID,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MITCovAlliance-SIR,beat_baseline-MIT_CritData-GBCF,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-Microsoft-DeepSTIA,beat_baseline-OliverWyman-Navigator,beat_baseline-PSI-DRAFT,beat_baseline-QJHong-Encounter,beat_baseline-RPI_UW-Mob_Collision,beat_baseline-RobertWalraven-ESG,beat_baseline-SigSci-TS,beat_baseline-SteveMcConnell-CovidComplete,beat_baseline-TTU-squider,beat_baseline-UA-EpiCovDA,beat_baseline-UCLA-SuEIR,beat_baseline-UCM_MESALab-FoGSEIR,beat_baseline-UCSB-ACTS,beat_baseline-UCSD_NEU-DeepGLEAM,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha,beat_baseline-UT-Mobility,beat_baseline-UpstateSU-GRU,beat_baseline-WalmartLabsML-LogForecasting,beat_baseline-epiforecasts-ensemble1
Maryland,7329,7344.3,7266.7,7405.0,7348.3,7376.0,7361.9,7452.0,6984.0,7281.6,,7304.5,9179.0,7757.8,7503.6,7681.3,,7185.0,7444.2,7439.0,7378.1,7528.2,7487.0,7561.5,7391.1,7539.0,7422.6,7434.7,7564.9,7096.0,,8363.7,7338.9,,7618.0,7341.6,7314.0,7167.0,,7887.9,7474.8,7438.0,7710.3,7530.0,7168.0,,6566.0,7653.0,15.3,-62.3,76.0,19.3,47.0,32.9,123.0,-345.0,-47.4,,-24.5,1850.0,428.8,174.6,352.3,,-144.0,115.2,110.0,49.1,199.2,158.0,232.5,62.1,210.0,93.6,105.7,235.9,-233.0,,1034.7,9.9,,289.0,12.6,-15.0,-162.0,,558.9,145.8,109.0,381.3,201.0,-161.0,,-763.0,324.0,False,False,False,False,False,False,False,False,,False,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,True,,False,True,True,False,,False,False,False,False,False,False,,False,False
Massachusetts,14921,15237.7,15718.2,15037.1,15277.1,15161.0,15360.7,15343.0,15137.0,14757.6,,14573.9,15264.0,14998.3,15441.9,15672.3,,15202.0,14511.9,15560.0,14983.2,15215.2,16275.0,15632.1,15651.9,15120.0,15266.3,15609.1,15933.6,14241.0,,15780.8,16136.8,,15168.0,17107.5,15290.0,14927.7,,16569.0,15325.0,15790.0,15498.0,15472.0,15609.0,,13644.9,15500.0,316.7,797.2,116.1,356.1,240.0,439.7,422.0,216.0,-163.4,,-347.1,343.0,77.3,520.9,751.3,,281.0,-409.1,639.0,62.2,294.2,1354.0,711.1,730.9,199.0,345.3,688.1,1012.6,-680.0,,859.8,1215.8,,247.0,2186.5,369.0,6.7,,1648.0,404.0,869.0,577.0,551.0,688.0,,-1276.1,579.0,False,True,False,True,False,False,True,True,,False,False,True,False,False,,True,False,False,True,True,False,False,False,True,False,False,False,False,,False,False,,True,False,False,True,,False,False,False,False,False,False,,False,False
Michigan,15854,17381.1,17133.3,17012.1,17711.8,17064.0,17500.8,16623.0,15626.0,15693.8,,15256.2,16015.0,17556.6,16563.7,16122.8,,17059.0,15866.4,16843.0,16215.0,16197.5,17005.0,16499.0,16513.1,16354.0,16581.5,16450.8,16795.3,16267.0,,17490.0,17104.6,,16355.0,14021.2,15518.0,16332.9,,16493.0,16691.6,16676.0,17434.3,17653.0,16056.5,,15057.8,16724.0,1527.1,1279.3,1158.1,1857.8,1210.0,1646.8,769.0,-228.0,-160.2,,-597.8,161.0,1702.6,709.7,268.8,,1205.0,12.4,989.0,361.0,343.5,1151.0,645.0,659.1,500.0,727.5,596.8,941.3,413.0,,1636.0,1250.6,,501.0,-1832.8,-336.0,478.9,,639.0,837.6,822.0,1580.3,1799.0,202.5,,-796.2,870.0,True,True,False,True,False,True,True,True,,True,True,False,True,True,,True,True,True,True,True,True,True,True,True,True,True,True,True,,False,True,,True,False,True,True,,True,True,True,False,False,True,,True,True
Minnesota,6357,6878.1,6884.7,7141.9,6878.0,6716.0,6910.6,6753.0,6255.0,6439.2,,6478.4,6254.0,7013.1,6642.0,6598.0,,7129.0,6649.0,6789.0,6586.5,6680.9,6905.5,6790.2,6521.6,6724.0,6723.4,6760.7,7013.8,7759.0,,7795.2,6744.7,,6487.0,5186.1,7246.0,7108.1,,6741.4,6765.1,6628.0,6926.8,6728.0,6544.5,,6395.4,6904.0,521.1,527.7,784.9,521.0,359.0,553.6,396.0,-102.0,82.2,,121.4,-103.0,656.1,285.0,241.0,,772.0,292.0,432.0,229.5,323.9,548.5,433.2,164.6,367.0,366.4,403.7,656.8,1402.0,,1438.2,387.7,,130.0,-1170.9,889.0,751.1,,384.4,408.1,271.0,569.8,371.0,187.5,,38.4,547.0,False,False,True,True,False,True,True,True,,True,True,False,True,True,,False,True,True,True,True,False,True,True,True,True,True,False,False,,False,True,,True,False,False,False,,True,True,True,False,True,True,,True,False
Mississippi,6266,6308.7,6766.0,6146.5,6372.3,6011.0,6371.0,6248.0,5810.0,5955.2,,5998.2,5976.0,6956.5,6436.0,6338.6,,5993.0,6057.9,6157.0,5878.5,6249.6,6637.0,6358.3,5910.8,6131.0,6427.2,6331.1,6696.5,6199.0,,6209.2,6579.1,,6247.0,6211.6,6276.0,6249.9,,6652.1,6483.4,6511.0,6199.6,6117.0,6357.5,,5584.8,6419.0,42.7,500.0,-119.5,106.3,-255.0,105.0,-18.0,-456.0,-310.8,,-267.8,-290.0,690.5,170.0,72.6,,-273.0,-208.1,-109.0,-387.5,-16.4,371.0,92.3,-355.2,-135.0,161.2,65.1,430.5,-67.0,,-56.8,313.1,,-19.0,-54.4,10.0,-16.1,,386.1,217.4,245.0,-66.4,-149.0,91.5,,-681.2,153.0,False,False,False,False,False,True,False,False,,False,False,False,False,False,,False,False,False,False,True,False,False,False,False,False,False,False,False,,False,False,,True,False,True,True,,False,False,False,False,False,False,,False,False
Missouri,7472,7664.3,7509.8,7686.6,7741.6,7577.0,7776.4,7480.0,7022.0,7066.2,,7383.1,6865.0,7813.3,7448.2,7608.7,,7788.0,7334.7,7551.0,7156.2,7611.9,7506.0,7623.3,6824.8,7529.0,7756.8,7372.0,8106.6,7192.0,,8161.7,7228.3,,7451.0,6921.0,7433.0,6657.6,,8198.5,7899.5,7414.0,7968.2,7058.0,7090.5,,6467.6,6390.0,239.3,84.8,261.6,316.6,152.0,351.4,55.0,-403.0,-358.8,,-41.9,-560.0,388.3,23.2,183.7,,363.0,-90.3,126.0,-268.8,186.9,81.0,198.3,-600.2,104.0,331.8,-53.0,681.6,-233.0,,736.7,-196.7,,26.0,-504.0,8.0,-767.4,,773.5,474.5,-11.0,543.2,-367.0,-334.5,,-957.4,-1035.0,True,False,False,True,False,True,False,False,,True,False,False,True,True,,False,True,True,False,True,True,True,False,True,False,True,False,True,,False,True,,True,False,True,False,,False,False,True,False,False,False,,False,False
Montana,1312,1380.0,1231.0,1343.1,1415.1,1372.0,1386.0,1290.0,1056.0,1256.6,,1112.3,1108.0,1323.0,1357.2,1275.5,,1406.0,1190.1,1309.0,1299.2,1179.5,1327.0,1330.8,1220.8,1358.0,1310.7,1320.9,1352.1,1212.0,,,1415.1,,1233.0,1059.0,1205.0,1438.9,,1251.3,1366.4,1262.0,1324.1,1259.0,1252.0,,1183.9,1286.0,68.0,-81.0,31.1,103.1,60.0,74.0,-22.0,-256.0,-55.4,,-199.7,-204.0,11.0,45.2,-36.5,,94.0,-121.9,-3.0,-12.8,-132.5,15.0,18.8,-91.2,46.0,-1.3,8.9,40.1,-100.0,,,103.1,,-79.0,-253.0,-107.0,126.9,,-60.7,54.4,-50.0,12.1,-53.0,-60.0,,-128.1,-26.0,False,True,False,True,False,True,False,True,,False,False,True,True,True,,False,False,True,True,False,True,True,False,True,True,True,True,False,,,False,,False,False,False,False,,True,True,True,True,True,True,,False,True
Nebraska,1968,2099.4,2128.5,2274.8,2012.0,2180.0,2009.3,2109.0,1993.0,2061.9,,1996.8,1909.0,2342.7,1995.5,2169.7,,2424.5,2150.1,2136.0,2180.2,1994.2,2038.0,2279.1,2020.5,2301.0,2079.4,2155.0,2006.4,2172.5,,,1991.5,,1984.0,1754.8,1995.0,1894.5,,2301.3,2137.7,2028.0,2355.7,2002.0,2230.5,,1991.6,2450.0,131.4,160.5,306.8,44.0,212.0,41.3,141.0,25.0,93.9,,28.8,-59.0,374.7,27.5,201.7,,456.5,182.1,168.0,212.2,26.2,70.0,311.1,52.5,333.0,111.4,187.0,38.4,204.5,,,23.5,,16.0,-213.2,27.0,-73.5,,333.3,169.7,60.0,387.7,34.0,262.5,,23.6,482.0,False,False,True,False,True,False,True,True,,True,True,False,True,False,,False,False,False,False,True,True,False,True,False,True,False,True,False,,,True,,True,False,True,True,,False,False,True,False,True,False,,True,False
Nevada,4496,4574.0,4300.4,4381.2,4623.2,4260.0,4657.6,4496.0,4639.0,4187.4,,4064.7,4111.0,5289.6,4593.8,4427.9,,4319.0,3793.0,4451.0,4066.2,4298.8,4695.5,4613.0,4242.5,4397.0,4509.3,4497.9,4935.0,4152.0,,4782.9,4637.0,,4261.0,4296.8,4549.0,4675.2,,4728.9,4565.4,4430.0,4511.0,4276.0,4496.0,,3840.6,4429.0,78.0,-195.6,-114.8,127.2,-236.0,161.6,0.0,143.0,-308.6,,-431.3,-385.0,793.6,97.8,-68.1,,-177.0,-703.0,-45.0,-429.8,-197.2,199.5,117.0,-253.5,-99.0,13.3,1.9,439.0,-344.0,,286.9,141.0,,-235.0,-199.2,53.0,179.2,,232.9,69.4,-66.0,15.0,-220.0,0.0,,-655.4,-67.0,False,False,False,False,False,True,False,False,,False,False,False,False,True,,False,False,True,False,False,False,False,False,False,True,True,False,False,,False,False,,False,False,True,False,,False,True,True,True,False,True,,False,True
New Hampshire,1098,1212.3,1622.4,1109.3,1240.7,1092.0,1233.9,1198.0,938.0,1176.5,,1090.6,1152.0,1104.6,1252.3,1214.1,,1198.0,1051.9,1211.0,1324.3,1137.2,1141.0,1148.6,1021.5,1169.0,1272.6,1253.8,1284.2,1382.0,,,1346.6,,1134.0,1317.1,1169.0,1145.2,,1337.0,1332.8,1136.0,1245.6,1218.0,1420.0,,935.5,1192.0,114.3,524.4,11.3,142.7,-6.0,135.9,100.0,-160.0,78.5,,-7.4,54.0,6.6,154.3,116.1,,100.0,-46.1,113.0,226.3,39.2,43.0,50.6,-76.5,71.0,174.6,155.8,186.2,284.0,,,248.6,,36.0,219.1,71.0,47.2,,239.0,234.8,38.0,147.6,120.0,322.0,,-162.5,94.0,False,True,False,True,False,True,False,True,,True,True,True,False,False,,True,True,True,False,True,True,True,True,True,False,False,False,False,,,False,,True,False,True,True,,False,False,True,False,False,False,,False,True
New Jersey,21964,22345.7,22904.0,21937.3,22539.8,22304.0,22521.8,22347.0,21461.0,22440.7,,21460.8,21893.0,22060.1,22582.2,22763.1,,21974.0,21008.8,22438.0,22004.0,22040.8,23561.0,22724.1,24004.6,21967.0,22635.6,22368.9,22971.3,20791.0,,22574.4,22938.4,,22063.0,20154.4,21980.0,22173.0,,23720.8,22679.5,21682.0,21229.4,22682.0,22466.0,,20362.2,22129.0,381.7,940.0,-26.7,575.8,340.0,557.8,383.0,-503.0,476.7,,-503.2,-71.0,96.1,618.2,799.1,,10.0,-955.2,474.0,40.0,76.8,1597.0,760.1,2040.6,3.0,671.6,404.9,1007.3,-1173.0,,610.4,974.4,,99.0,-1809.6,16.0,209.0,,1756.8,715.5,-282.0,-734.6,718.0,502.0,,-1601.8,165.0,False,True,False,True,False,False,False,False,,False,True,True,False,False,,True,False,False,True,True,False,False,False,True,False,False,False,False,,False,False,,True,False,True,True,,False,False,True,False,False,False,,False,True
New Mexico,3386,3512.7,3342.7,3558.2,3595.9,3327.0,3523.9,3453.0,3122.0,3315.4,,3201.0,3062.0,3682.2,3550.7,3548.2,,3426.0,3337.7,3480.0,3153.5,3402.7,3684.0,3523.2,3566.3,3429.0,3433.7,3472.6,3648.0,3383.0,,,3419.0,,3384.0,3206.1,3355.0,3220.6,,3429.6,3491.0,3454.0,3607.4,3506.0,3436.0,,3136.1,3487.0,126.7,-43.3,172.2,209.9,-59.0,137.9,67.0,-264.0,-70.6,,-185.0,-324.0,296.2,164.7,162.2,,40.0,-48.3,94.0,-232.5,16.7,298.0,137.2,180.3,43.0,47.7,86.6,262.0,-3.0,,,33.0,,-2.0,-179.9,-31.0,-165.4,,43.6,105.0,68.0,221.4,120.0,50.0,,-249.9,101.0,True,False,False,True,False,True,False,True,,False,False,False,False,False,,True,True,True,False,True,False,False,False,True,True,True,False,True,,,True,,True,False,True,False,,True,True,True,False,True,True,,False,True
New York,44664,44326.1,44696.4,43534.0,44206.1,44639.0,44266.7,44769.0,43102.0,43834.3,,44281.7,45213.0,43730.9,44585.6,46038.8,,43634.0,42887.0,44379.0,45928.7,45882.1,45874.5,45645.5,47274.4,44342.0,45071.5,44696.5,45817.2,40823.5,,44001.2,44486.8,,45628.0,42894.2,45052.0,45066.9,,44310.9,45139.1,45324.0,46429.4,45209.0,43662.0,,39959.2,45473.0,-337.9,32.4,-1130.0,-457.9,-25.0,-397.3,105.0,-1562.0,-829.7,,-382.3,549.0,-933.1,-78.4,1374.8,,-1030.0,-1777.0,-285.0,1264.7,1218.1,1210.5,981.5,2610.4,-322.0,407.5,32.5,1153.2,-3840.5,,-662.8,-177.2,,964.0,-1769.8,388.0,402.9,,-353.1,475.1,660.0,1765.4,545.0,-1002.0,,-4704.8,809.0,True,False,False,True,False,True,False,False,,False,False,False,True,False,,False,False,True,False,False,False,False,False,True,False,True,False,False,,False,True,,False,False,False,False,,False,False,False,False,False,False,,False,False
North Carolina,9926,10101.1,8943.6,9288.9,9559.9,9664.0,9556.3,9713.0,8088.0,9037.8,,8722.8,8847.0,9955.4,10071.3,9925.6,,9275.0,9164.1,9875.0,10127.7,10019.0,10414.5,10234.5,8872.2,9595.0,9806.0,9941.4,10346.5,9487.0,,8979.3,10500.0,,9387.0,9557.4,10168.0,9611.7,,10562.9,9876.4,10588.0,9165.6,9633.0,11277.5,,8324.2,10061.0,175.1,-982.4,-637.1,-366.1,-262.0,-369.7,-213.0,-1838.0,-888.2,,-1203.2,-1079.0,29.4,145.3,-0.4,,-651.0,-761.9,-51.0,201.7,93.0,488.5,308.5,-1053.8,-331.0,-120.0,15.4,420.5,-439.0,,-946.7,574.0,,-539.0,-368.6,242.0,-314.3,,636.9,-49.6,662.0,-760.4,-293.0,1351.5,,-1601.8,135.0,False,False,False,False,False,False,False,False,,False,False,True,True,True,,False,False,True,False,True,False,False,False,False,True,True,False,False,,False,False,,False,False,False,False,,False,True,False,False,False,False,,False,True
North Dakota,1453,1514.0,1473.1,1610.4,1512.2,1509.0,1520.2,1480.0,1352.0,1444.8,,1464.3,1443.0,1507.8,1438.7,1480.5,,1578.0,1477.9,1536.0,1504.8,1429.6,1432.0,1466.9,1461.3,1584.0,1438.3,1501.6,1493.0,1443.0,,,1492.7,,1472.0,1230.5,1433.0,1453.8,,1368.4,1496.9,1449.0,1659.8,1482.0,1418.0,,1484.4,1518.0,69.0,28.1,165.4,67.2,64.0,75.2,35.0,-93.0,-0.2,,19.3,-2.0,62.8,-6.3,35.5,,133.0,32.9,91.0,59.8,-15.4,-13.0,21.9,16.3,139.0,-6.7,56.6,48.0,-2.0,,,47.7,,27.0,-214.5,-12.0,8.8,,-76.6,51.9,4.0,214.8,37.0,-27.0,,39.4,73.0,True,False,True,True,False,True,False,True,,True,True,True,True,True,,False,True,False,True,True,True,True,True,False,True,True,True,True,,,True,,True,False,True,True,,False,True,True,False,True,True,,True,False
Ohio,17422,11752.3,12299.9,11826.7,11891.9,11854.0,11926.5,11892.0,10022.0,11248.2,,10858.0,11117.0,13315.2,11139.2,11895.2,,11927.0,11190.8,11863.0,12639.7,11427.6,11956.0,11962.6,11275.2,12022.0,11957.8,12000.3,12224.8,13203.0,,12720.3,11130.0,,11411.0,13285.4,10986.0,12106.9,,12849.7,11981.5,11890.0,12079.2,11576.0,11381.5,,10624.0,11556.0,-469.7,77.9,-395.3,-330.1,-368.0,-295.5,-330.0,-2200.0,-973.8,,-1364.0,-1105.0,1093.2,-1082.8,-326.8,,-295.0,-1031.2,-359.0,417.7,-794.4,-266.0,-259.4,-946.8,-200.0,-264.2,-221.7,2.8,981.0,,498.3,-1092.0,,-811.0,1063.4,-1236.0,-115.1,,627.7,-240.5,-332.0,-142.8,-646.0,-840.5,,-1598.0,-666.0,True,True,True,True,True,True,False,False,,False,False,False,False,True,,True,False,True,True,False,True,True,False,True,True,True,True,False,,False,False,,False,False,False,True,,False,True,True,True,False,False,,False,False
Oklahoma,3761,3586.4,3498.9,3522.3,3568.3,3451.0,3582.2,3597.0,2902.0,3525.4,,3353.4,3404.0,3609.1,3589.6,3697.5,,3614.0,3745.0,3868.0,3776.0,3626.5,3533.0,3839.0,3161.0,3691.0,3596.1,3692.3,3859.1,3777.0,,,3677.2,,3461.0,3018.5,3636.0,3691.5,,4247.5,3649.6,3812.0,3551.1,3479.0,3583.0,,3095.9,3597.0,-174.6,-262.1,-238.7,-192.7,-310.0,-178.8,-164.0,-859.0,-235.6,,-407.6,-357.0,-151.9,-171.4,-63.5,,-147.0,-16.0,107.0,15.0,-134.5,-228.0,78.0,-600.0,-70.0,-164.9,-68.7,98.1,16.0,,,-83.8,,-300.0,-742.5,-125.0,-69.5,,486.5,-111.4,51.0,-209.9,-282.0,-178.0,,-665.1,-164.0,False,False,False,False,False,True,False,False,,False,False,True,True,True,,True,True,True,True,True,False,True,False,True,True,True,True,True,,,True,,False,False,True,True,,False,True,True,False,False,False,,False,True
Oregon,2020,2005.1,1810.0,2072.9,2014.2,1932.0,2047.0,2016.0,1865.0,1953.5,,1994.8,1842.0,2142.2,1977.0,2017.7,,2034.0,2339.2,2088.0,2393.6,2015.3,1861.0,1922.8,2012.6,2138.0,1980.6,1966.8,2053.7,1973.0,,,1863.9,,1932.0,2246.3,1868.0,2056.2,,2211.2,2039.1,2054.0,1961.9,1939.0,1781.0,,1817.5,2037.0,-14.9,-210.0,52.9,-5.8,-88.0,27.0,-4.0,-155.0,-66.5,,-25.2,-178.0,122.2,-43.0,-2.3,,14.0,319.2,68.0,373.6,-4.7,-159.0,-97.2,-7.4,118.0,-39.4,-53.2,33.7,-47.0,,,-156.1,,-88.0,226.3,-152.0,36.2,,191.2,19.1,34.0,-58.1,-81.0,-239.0,,-202.5,17.0,False,False,True,False,False,True,False,False,,False,False,False,False,True,,True,False,False,False,True,False,False,True,False,False,False,False,False,,,False,,False,False,False,False,,False,False,False,False,False,False,,False,False
Pennsylvania,22353,23452.6,23561.0,22160.6,23551.4,22255.0,23414.4,22898.0,21422.0,21622.9,,21517.0,21324.0,24741.6,22979.4,22465.5,,23126.0,19372.2,22161.0,21582.2,22303.4,23945.0,23406.6,23286.1,22475.0,23920.1,22727.7,24108.0,26015.0,,26436.6,22945.2,,22192.0,23176.3,21793.0,22942.1,,23611.8,23997.3,22200.0,24935.6,22448.0,21469.0,,19278.3,23296.0,1099.6,1208.0,-192.4,1198.4,-98.0,1061.4,545.0,-931.0,-730.1,,-836.0,-1029.0,2388.6,626.4,112.5,,773.0,-2980.8,-192.0,-770.8,-49.6,1592.0,1053.6,933.1,122.0,1567.1,374.7,1755.0,3662.0,,4083.6,592.2,,-161.0,823.3,-560.0,589.1,,1258.8,1644.3,-153.0,2582.6,95.0,-884.0,,-3074.7,943.0,False,True,False,True,True,True,True,True,,True,True,False,True,True,,True,False,True,True,True,False,True,True,True,False,True,False,False,,False,True,,True,True,True,True,,False,False,True,False,True,True,,False,True
Rhode Island,2400,2452.1,2494.4,2320.0,2456.7,2286.0,2472.1,2371.0,2241.0,2081.9,,2180.8,2200.0,2595.5,2434.0,2547.9,,2486.0,2212.5,2537.0,2148.9,2281.6,2367.0,2260.0,2287.6,2350.0,2500.2,2380.6,2435.7,2081.0,,,2495.4,,2249.0,2172.4,2029.0,2041.4,,2375.1,2563.8,2483.0,2297.2,2120.0,2242.5,,1959.1,2391.0,210.1,252.4,78.0,214.7,44.0,230.1,129.0,-1.0,-160.1,,-61.2,-42.0,353.5,192.0,305.9,,244.0,-29.5,295.0,-93.1,39.6,125.0,18.0,45.6,108.0,258.2,138.6,193.7,-161.0,,,253.4,,7.0,-69.6,-213.0,-200.6,,133.1,321.8,241.0,55.2,-122.0,0.5,,-282.9,149.0,False,True,False,True,False,True,True,True,,True,True,False,True,False,,False,True,False,True,True,True,True,True,True,False,True,True,True,,,False,,True,True,False,True,,True,False,False,True,True,True,,False,True
South Carolina,7611,7130.1,7627.1,6945.3,7195.6,7384.0,7250.1,7329.0,6965.0,7100.4,,6800.9,7658.0,7452.7,7265.2,7425.7,,7095.0,6751.7,7340.0,7083.7,7896.2,7663.0,7364.6,6471.4,6953.0,7276.5,7323.4,7966.5,7082.0,,9589.6,7549.4,,7329.0,8587.0,7635.0,7228.0,,7568.1,7329.8,7788.0,6777.1,7421.0,7887.5,,6260.2,7727.0,-480.9,16.1,-665.7,-415.4,-227.0,-360.9,-282.0,-646.0,-510.6,,-810.1,47.0,-158.3,-345.8,-185.3,,-516.0,-859.3,-271.0,-527.3,285.2,52.0,-246.4,-1139.6,-658.0,-334.5,-287.6,355.5,-529.0,,1978.6,-61.6,,-282.0,976.0,24.0,-383.0,,-42.9,-281.2,177.0,-833.9,-190.0,276.5,,-1350.8,116.0,True,False,True,True,True,True,False,False,,False,True,True,True,True,,False,False,True,False,True,True,True,False,False,True,True,True,False,,False,True,,True,False,True,True,,True,True,True,False,True,True,,False,True
South Dakota,1804,1862.7,1741.9,1915.0,1861.0,1710.0,1846.0,1814.0,1609.0,1732.1,,1719.7,1795.0,1983.9,1750.9,1816.8,,1821.0,1813.8,1815.0,1744.5,1745.0,1755.0,1765.5,1826.1,1887.0,1824.9,1816.2,1822.1,1685.0,,,1831.5,,1770.0,1731.4,1859.0,1725.1,,1679.9,1883.7,1822.0,1934.5,1760.0,1795.0,,1759.2,1915.0,58.7,-62.1,111.0,57.0,-94.0,42.0,10.0,-195.0,-71.9,,-84.3,-9.0,179.9,-53.1,12.8,,17.0,9.8,11.0,-59.5,-59.0,-49.0,-38.5,22.1,83.0,20.9,12.2,18.1,-119.0,,,27.5,,-34.0,-72.6,55.0,-78.9,,-124.1,79.7,18.0,130.5,-44.0,-9.0,,-44.8,111.0,False,False,True,False,True,True,False,False,,False,True,False,True,True,,True,True,True,False,False,True,True,True,False,True,True,True,False,,,True,,True,False,True,False,,False,False,True,False,True,True,,True,False
Tennessee,10463,10716.4,10117.3,10115.4,10742.3,10215.0,10639.4,10233.0,8845.0,9719.8,,9520.6,9117.0,10875.6,10512.9,10365.8,,10226.0,8704.5,10032.0,9681.2,10395.5,9972.0,10444.0,9441.4,9853.0,10497.5,10340.6,10002.6,9634.0,,10751.7,10697.9,,9872.0,9917.0,9793.0,10883.4,,11573.9,10554.8,10248.0,10233.5,9614.0,10646.5,,8621.0,10364.0,253.4,-345.7,-347.6,279.3,-248.0,176.4,-230.0,-1618.0,-743.2,,-942.4,-1346.0,412.6,49.9,-97.2,,-237.0,-1758.5,-431.0,-781.8,-67.5,-491.0,-19.0,-1021.6,-610.0,34.5,-122.4,-460.4,-829.0,,288.7,234.9,,-591.0,-546.0,-670.0,420.4,,1110.9,91.8,-215.0,-229.5,-849.0,183.5,,-1842.0,-99.0,False,False,False,True,True,True,False,False,,False,False,False,True,True,,True,False,False,False,True,False,True,False,False,True,True,False,False,,False,True,,False,False,False,False,,False,True,True,True,False,True,,False,True
Texas,39182,38127.7,39860.9,36020.7,37447.6,36832.0,37797.6,37427.0,37166.0,35628.2,,34957.6,35202.0,43461.4,38740.2,38303.5,,36451.0,36115.3,36219.0,37351.7,37904.1,37406.0,38837.7,33991.0,36553.0,38913.6,37198.9,40555.2,34611.0,,38795.1,38552.7,,38345.0,35945.7,39457.0,37154.0,,36045.5,39088.7,38477.0,36428.1,37509.0,38280.5,,33258.6,37631.0,-1054.3,678.9,-3161.3,-1734.4,-2350.0,-1384.4,-1755.0,-2016.0,-3553.8,,-4224.4,-3980.0,4279.4,-441.8,-878.5,,-2731.0,-3066.7,-2963.0,-1830.3,-1277.9,-1776.0,-344.3,-5191.0,-2629.0,-268.4,-1983.1,1373.2,-4571.0,,-386.9,-629.3,,-837.0,-3236.3,275.0,-2028.0,,-3136.5,-93.3,-705.0,-2753.9,-1673.0,-901.5,,-5923.4,-1551.0,True,False,False,False,False,False,False,False,,False,False,False,True,True,,False,False,False,False,False,False,True,False,False,True,False,False,False,,True,True,,True,False,True,False,,False,True,True,False,False,True,,False,False
