,actual_deaths,Baseline,AIpert-pwllnod,BPagano-RtDriven,CEID-Walk,CMU-TimeSeries,COVIDhub-baseline,COVIDhub-ensemble,CU-select,Caltech-CS156,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,GT-DeepCOVID,Google_Harvard-CPF,IBF-TimeSeries,IowaStateLW-STEM,JHUAPL-Bucky,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MITCovAlliance-SIR,MIT_CritData-GBCF,MOBS-GLEAM_COVID,Microsoft-DeepSTIA,OliverWyman-Navigator,PSI-DRAFT,QJHong-Encounter,RPI_UW-Mob_Collision,RobertWalraven-ESG,SteveMcConnell-CovidComplete,TTU-squider,UA-EpiCovDA,UCLA-SuEIR,UCM_MESALab-FoGSEIR,UCSB-ACTS,UCSD_NEU-DeepGLEAM,UMass-MechBayes,UMich-RidgeTfReg,USC-SI_kJalpha,Wadhwani_AI-BayesOpt,WalmartLabsML-LogForecasting,epiforecasts-ensemble1,error-Baseline,error-AIpert-pwllnod,error-BPagano-RtDriven,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-baseline,error-COVIDhub-ensemble,error-CU-select,error-Caltech-CS156,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-GT-DeepCOVID,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JHUAPL-Bucky,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MITCovAlliance-SIR,error-MIT_CritData-GBCF,error-MOBS-GLEAM_COVID,error-Microsoft-DeepSTIA,error-OliverWyman-Navigator,error-PSI-DRAFT,error-QJHong-Encounter,error-RPI_UW-Mob_Collision,error-RobertWalraven-ESG,error-SteveMcConnell-CovidComplete,error-TTU-squider,error-UA-EpiCovDA,error-UCLA-SuEIR,error-UCM_MESALab-FoGSEIR,error-UCSB-ACTS,error-UCSD_NEU-DeepGLEAM,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,error-Wadhwani_AI-BayesOpt,error-WalmartLabsML-LogForecasting,error-epiforecasts-ensemble1,beat_baseline-AIpert-pwllnod,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-baseline,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Caltech-CS156,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-GT-DeepCOVID,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MITCovAlliance-SIR,beat_baseline-MIT_CritData-GBCF,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-Microsoft-DeepSTIA,beat_baseline-OliverWyman-Navigator,beat_baseline-PSI-DRAFT,beat_baseline-QJHong-Encounter,beat_baseline-RPI_UW-Mob_Collision,beat_baseline-RobertWalraven-ESG,beat_baseline-SteveMcConnell-CovidComplete,beat_baseline-TTU-squider,beat_baseline-UA-EpiCovDA,beat_baseline-UCLA-SuEIR,beat_baseline-UCM_MESALab-FoGSEIR,beat_baseline-UCSB-ACTS,beat_baseline-UCSD_NEU-DeepGLEAM,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha,beat_baseline-Wadhwani_AI-BayesOpt,beat_baseline-WalmartLabsML-LogForecasting,beat_baseline-epiforecasts-ensemble1
Maryland,6837,6799.7,6766.4,6869.8,6775.2,6761.0,6828.2,6775.0,6548.0,6772.2,6660.0,6863.7,6450.0,6758.6,6846.1,6921.5,,6779.0,6822.4,6778.0,6866.1,6774.0,6762.4,6653.3,6848.0,6824.6,6824.2,7005.6,6613.0,,6573.9,6754.1,6799.0,6696.2,6686.0,6701.3,,6598.1,6850.1,6724.0,7073.4,6753.0,7225.6,6262.6,6804.2,-37.3,-70.6,32.8,-61.8,-76.0,-8.8,-62.0,-289.0,-64.8,-177.0,26.7,-387.0,-78.4,9.1,84.5,,-58.0,-14.6,-59.0,29.1,-63.0,-74.6,-183.7,11.0,-12.4,-12.8,168.6,-224.0,,-263.1,-82.9,-38.0,-140.8,-151.0,-135.7,,-238.9,13.1,-113.0,236.4,-84.0,388.6,-574.4,-32.8,False,True,False,False,True,False,False,False,False,True,False,False,True,False,,False,True,False,True,False,False,False,True,True,True,False,False,,False,False,False,False,False,False,,False,True,False,False,False,False,False,True
Massachusetts,14064,14038.6,14165.7,13900.9,14009.3,13936.0,13978.0,13962.0,13581.0,13781.1,13410.0,13643.8,13829.0,13571.2,13858.0,14088.5,,13963.0,13803.5,14133.4,14442.7,14398.0,13795.8,13840.9,13730.0,14149.9,14139.0,14031.8,13995.0,,13311.9,13761.3,13950.0,15302.6,14036.0,13889.9,,13555.6,14166.1,13960.0,13865.0,13997.0,13924.3,12955.2,14129.0,-25.4,101.7,-163.1,-54.7,-128.0,-86.0,-102.0,-483.0,-282.9,-654.0,-420.2,-235.0,-492.8,-206.0,24.5,,-101.0,-260.5,69.4,378.7,334.0,-268.2,-223.1,-334.0,85.9,75.0,-32.2,-69.0,,-752.1,-302.7,-114.0,1238.6,-28.0,-174.1,,-508.4,102.1,-104.0,-199.0,-67.0,-139.7,-1108.8,65.0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,False,False,False,,False,False,False,False,False,False,False,False
Michigan,15181,15066.0,15291.3,15408.6,15112.0,14763.0,15154.0,14575.0,14191.0,14567.0,14245.0,14615.8,14575.0,14692.8,14527.0,14707.0,,15116.0,14223.3,14629.6,14706.9,15135.0,14497.4,14856.0,14634.0,15149.4,14574.3,15094.4,14632.5,,14312.5,14385.8,14555.0,13723.3,14213.0,13913.4,,14389.4,15268.0,14564.0,15639.0,14450.0,15336.6,13886.1,15112.3,-115.0,110.3,227.6,-69.0,-418.0,-27.0,-606.0,-990.0,-614.0,-936.0,-565.2,-606.0,-488.2,-654.0,-474.0,,-65.0,-957.7,-551.4,-474.1,-46.0,-683.6,-325.0,-547.0,-31.6,-606.7,-86.6,-548.5,,-868.5,-795.2,-626.0,-1457.7,-968.0,-1267.6,,-791.6,87.0,-617.0,458.0,-731.0,155.6,-1294.9,-68.7,True,False,True,False,True,False,False,False,False,False,False,False,False,False,,True,False,False,False,True,False,False,False,True,False,True,False,,False,False,False,False,False,False,,False,True,False,False,False,False,False,True
Minnesota,6131,6297.6,6411.4,6556.4,6238.1,6152.0,6245.9,6143.0,5767.0,6029.7,5884.0,6210.6,6368.0,6050.4,6143.1,6058.5,,6367.0,5801.6,6091.4,6100.0,6148.0,5949.6,6028.8,6181.0,6288.8,6230.0,6127.6,6153.5,,6168.6,5901.9,5925.0,5143.5,5971.0,6198.6,,5999.9,6301.4,5994.0,6359.2,5954.0,6337.6,5943.6,6367.0,166.6,280.4,425.4,107.1,21.0,114.9,12.0,-364.0,-101.3,-247.0,79.6,237.0,-80.6,12.1,-72.5,,236.0,-329.4,-39.6,-31.0,17.0,-181.4,-102.2,50.0,157.8,99.0,-3.4,22.5,,37.6,-229.1,-206.0,-987.5,-160.0,67.6,,-131.1,170.4,-137.0,228.2,-177.0,206.6,-187.4,236.0,False,False,True,True,True,True,False,True,False,True,False,True,True,True,,False,False,True,True,True,False,True,True,True,True,True,True,,True,False,False,False,True,True,,True,False,True,False,False,False,False,False
Mississippi,5752,5628.1,5842.0,5534.5,5624.6,5550.0,5665.1,5546.0,5442.0,5641.6,5286.0,5538.9,5617.0,5583.2,5608.3,5635.0,,5528.0,5527.8,5402.5,5593.2,5540.5,5502.4,5254.5,5390.0,5658.0,5584.9,5717.1,5341.0,,5321.1,5472.9,5639.0,6026.0,5510.0,5718.5,,5269.8,5703.0,5579.0,5452.3,5573.0,5537.8,5153.4,5657.5,-123.9,90.0,-217.5,-127.4,-202.0,-86.9,-206.0,-310.0,-110.4,-466.0,-213.1,-135.0,-168.8,-143.7,-117.0,,-224.0,-224.2,-349.5,-158.8,-211.5,-249.6,-497.5,-362.0,-94.0,-167.1,-34.9,-411.0,,-430.9,-279.1,-113.0,274.0,-242.0,-33.5,,-482.2,-49.0,-173.0,-299.7,-179.0,-214.2,-598.6,-94.5,True,False,False,False,True,False,False,True,False,False,False,False,False,True,,False,False,False,False,False,False,False,False,True,False,True,False,,False,False,True,False,False,True,,False,True,False,False,False,False,False,True
Missouri,6811,6493.1,6622.3,7049.6,6525.2,6393.0,6457.6,6575.0,6419.0,6478.3,6646.0,6939.7,6782.0,6482.1,6528.2,6986.9,,7014.0,6112.0,6479.8,6771.7,6443.5,6544.9,6209.2,6636.0,6781.6,6617.4,7047.5,7256.0,,6489.4,6071.5,6575.0,6599.0,6462.0,6123.7,,6575.1,6781.2,6510.0,6911.2,6349.0,,5900.2,5420.2,-313.9,-184.7,242.6,-281.8,-414.0,-349.4,-232.0,-388.0,-328.7,-161.0,132.7,-25.0,-324.9,-278.8,179.9,,207.0,-695.0,-327.2,-35.3,-363.5,-262.1,-597.8,-171.0,-25.4,-189.6,240.5,449.0,,-317.6,-735.5,-232.0,-208.0,-345.0,-683.3,,-231.9,-25.8,-297.0,104.2,-458.0,,-906.8,-1386.8,True,True,True,False,False,True,False,False,True,True,True,False,True,True,,True,False,False,True,False,True,False,True,True,True,True,False,,False,False,True,True,False,False,,True,True,True,True,False,,False,False
Montana,1141,1109.1,1094.4,1171.1,1140.2,1125.0,1127.0,1086.0,978.0,1080.9,1051.0,1042.2,1029.0,1070.7,1126.6,1072.9,,1162.0,1064.9,1173.2,1063.1,1044.0,1050.8,1130.2,1206.0,1117.6,1114.1,1067.0,1095.0,,,1085.1,1078.0,1028.9,1052.0,1152.1,,1047.7,1155.1,1070.0,1135.1,1061.0,1137.5,1065.6,1105.1,-31.9,-46.6,30.1,-0.8,-16.0,-14.0,-55.0,-163.0,-60.1,-90.0,-98.8,-112.0,-70.3,-14.4,-68.1,,21.0,-76.1,32.2,-77.9,-97.0,-90.2,-10.8,65.0,-23.4,-26.9,-74.0,-46.0,,,-55.9,-63.0,-112.1,-89.0,11.1,,-93.3,14.1,-71.0,-5.9,-80.0,-3.5,-75.4,-35.9,False,True,True,True,True,False,False,False,False,False,False,False,True,False,,True,False,False,False,False,False,True,False,True,True,False,False,,,False,False,False,False,True,,False,True,False,True,False,True,False,False
Nebraska,1879,1994.9,2071.5,2008.2,1995.6,1938.0,1999.0,1936.0,1846.0,1883.2,1809.0,1950.3,1976.0,1990.7,1949.8,1923.1,,1936.5,1828.0,2012.4,1852.0,1784.0,1900.3,1907.7,2086.0,1972.7,1913.6,1896.7,1903.0,,,1915.7,1883.0,1700.5,1898.0,1963.8,,1906.5,2003.8,1874.0,2059.9,1881.0,1983.4,1858.5,1989.2,115.9,192.5,129.2,116.6,59.0,120.0,57.0,-33.0,4.2,-70.0,71.3,97.0,111.7,70.8,44.1,,57.5,-51.0,133.4,-27.0,-95.0,21.3,28.7,207.0,93.7,34.6,17.7,24.0,,,36.7,4.0,-178.5,19.0,84.8,,27.5,124.8,-5.0,180.9,2.0,104.4,-20.5,110.2,False,False,False,True,False,True,True,True,True,True,True,True,True,True,,True,True,False,True,True,True,True,False,True,True,True,True,,,True,True,False,True,True,,True,False,True,False,True,True,True,True
Nevada,4011,3837.1,3672.8,3832.8,3759.3,3622.0,3766.0,3720.0,3568.0,3691.5,3571.0,3820.5,3621.0,3904.5,3708.6,3755.9,,3783.0,3471.1,3722.0,3757.1,3624.5,3663.0,3767.9,3675.0,3796.2,3778.5,3923.7,3696.0,,3635.2,3565.0,3709.0,3923.3,3659.0,3739.0,,3695.8,3817.9,3720.0,3720.2,3622.0,,3426.2,3831.7,-173.9,-338.2,-178.2,-251.7,-389.0,-245.0,-291.0,-443.0,-319.5,-440.0,-190.5,-390.0,-106.5,-302.4,-255.1,,-228.0,-539.9,-289.0,-253.9,-386.5,-348.0,-243.1,-336.0,-214.8,-232.5,-87.3,-315.0,,-375.8,-446.0,-302.0,-87.7,-352.0,-272.0,,-315.2,-193.1,-291.0,-290.8,-389.0,,-584.8,-179.3,False,False,False,False,False,False,False,False,False,False,False,True,False,False,,False,False,False,False,False,False,False,False,False,False,True,False,,False,False,False,True,False,False,,False,False,False,False,False,,False,False
New Hampshire,981,985.7,1185.9,954.6,973.1,939.0,973.0,953.0,814.0,983.2,930.0,972.4,906.0,922.1,953.7,1002.4,,1008.0,914.1,1081.7,939.0,930.0,928.0,879.0,954.0,987.8,1034.7,982.5,1117.0,,,951.5,965.0,1074.3,950.0,934.8,,952.0,1027.1,942.0,943.6,956.0,1008.0,819.1,1015.2,4.7,204.9,-26.4,-7.9,-42.0,-8.0,-28.0,-167.0,2.2,-51.0,-8.6,-75.0,-58.9,-27.3,21.4,,27.0,-66.9,100.7,-42.0,-51.0,-53.0,-102.0,-27.0,6.8,53.7,1.5,136.0,,,-29.5,-16.0,93.3,-31.0,-46.2,,-29.0,46.1,-39.0,-37.4,-25.0,27.0,-161.9,34.2,False,False,False,False,False,False,False,True,False,False,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,True,False,,,False,False,False,False,False,,False,False,False,False,False,False,False,False
New Jersey,20934,20859.4,20874.6,20701.9,20864.2,20793.0,20908.9,20649.0,20291.0,20516.3,20449.0,20405.1,19843.0,20545.3,20739.3,20792.0,,20596.0,19946.9,20648.7,20627.5,20689.0,20812.5,21438.2,20505.0,20840.8,20661.8,21152.8,20687.5,,19909.9,20912.6,20766.0,19714.4,20461.0,20995.3,,20413.2,20878.3,20448.0,19974.2,20608.0,20616.9,19549.0,20840.5,-74.6,-59.4,-232.1,-69.8,-141.0,-25.1,-285.0,-643.0,-417.7,-485.0,-528.9,-1091.0,-388.7,-194.7,-142.0,,-338.0,-987.1,-285.3,-306.5,-245.0,-121.5,504.2,-429.0,-93.2,-272.2,218.8,-246.5,,-1024.1,-21.4,-168.0,-1219.6,-473.0,61.3,,-520.8,-55.7,-486.0,-959.8,-326.0,-317.1,-1385.0,-93.5,True,False,True,False,True,False,False,False,False,False,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,,False,True,False,False,False,True,,False,True,False,False,False,False,False,False
New Mexico,3115,3136.7,2993.4,3110.4,3178.1,3012.0,3188.0,3016.0,2857.0,3000.2,2934.0,2925.6,2867.0,2981.3,2992.5,3040.9,,3027.0,2930.4,2845.8,3125.6,2944.0,2982.8,3138.7,2962.0,3106.3,3039.7,2987.1,3108.0,,,3082.1,3024.0,3042.5,2963.0,3088.9,,2747.8,3143.9,3007.0,3171.3,2961.0,3086.2,2827.0,3041.1,21.7,-121.6,-4.6,63.1,-103.0,73.0,-99.0,-258.0,-114.8,-181.0,-189.4,-248.0,-133.7,-122.5,-74.1,,-88.0,-184.6,-269.2,10.6,-171.0,-132.2,23.7,-153.0,-8.7,-75.3,-127.9,-7.0,,,-32.9,-91.0,-72.5,-152.0,-26.1,,-367.2,28.9,-108.0,56.3,-154.0,-28.8,-288.0,-73.9,False,True,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,True,False,False,False,False,True,False,False,True,,,False,False,False,False,False,,False,False,False,False,False,False,False,False
New York,42134,41283.6,41343.5,41508.5,41279.4,41353.0,41234.7,41464.0,40397.0,41329.2,41672.0,41464.0,40613.0,40877.6,41277.4,42720.9,,40971.0,40537.4,42686.7,42141.0,42210.0,41750.6,40920.6,41244.0,41517.6,41552.5,41936.5,39506.0,,40003.9,41247.3,42647.0,40976.8,41538.0,41273.9,,42710.4,41557.0,41388.0,41828.9,41565.0,41984.1,38604.5,41812.5,-850.4,-790.5,-625.5,-854.6,-781.0,-899.3,-670.0,-1737.0,-804.8,-462.0,-670.0,-1521.0,-1256.4,-856.6,586.9,,-1163.0,-1596.6,552.7,7.0,76.0,-383.4,-1213.4,-890.0,-616.4,-581.5,-197.5,-2628.0,,-2130.1,-886.7,513.0,-1157.2,-596.0,-860.1,,576.4,-577.0,-746.0,-305.1,-569.0,-149.9,-3529.5,-321.5,True,True,False,True,False,True,False,True,True,True,False,False,False,True,,False,False,True,True,True,True,False,False,True,True,True,False,,False,False,True,False,True,False,,True,True,True,True,True,True,False,True
North Carolina,8586,7941.4,7914.2,8075.8,8001.4,8094.0,7990.3,7997.0,7356.0,8149.8,7654.0,7928.5,8402.0,7626.4,7970.6,8311.0,,8142.0,8288.6,8804.0,8443.8,7838.5,8032.3,7920.3,8179.0,8037.7,7996.9,8325.7,8474.0,,7597.8,7624.4,8213.0,8703.2,7973.0,7812.5,,7951.8,8097.2,8282.0,7785.6,7885.0,8015.6,7417.0,8026.6,-644.6,-671.8,-510.2,-584.6,-492.0,-595.7,-589.0,-1230.0,-436.2,-932.0,-657.5,-184.0,-959.6,-615.4,-275.0,,-444.0,-297.4,218.0,-142.2,-747.5,-553.7,-665.7,-407.0,-548.3,-589.1,-260.3,-112.0,,-988.2,-961.6,-373.0,117.2,-613.0,-773.5,,-634.2,-488.8,-304.0,-800.4,-701.0,-570.4,-1169.0,-559.4,False,True,True,True,True,True,False,True,False,False,True,False,True,True,,True,True,True,True,False,True,False,True,True,True,True,True,,False,False,True,True,True,False,,True,True,True,False,False,True,False,True
North Dakota,1436,1435.7,1405.4,1489.7,1406.3,1430.0,1448.0,1404.0,1319.0,1390.1,1384.0,1445.6,1376.0,1396.4,1476.6,1374.6,,1443.0,1389.5,1438.8,1379.7,1364.0,1373.2,1424.6,1502.0,1403.4,1435.4,1418.5,1396.0,,,1345.1,1392.0,1221.6,1389.0,1414.0,,1318.1,1440.5,1388.0,1589.6,1371.0,1405.9,1427.0,1469.5,6.7,-23.6,60.7,-22.7,1.0,19.0,-25.0,-110.0,-38.9,-45.0,16.6,-53.0,-32.6,47.6,-54.4,,14.0,-39.5,9.8,-49.3,-65.0,-55.8,-4.4,73.0,-25.6,6.4,-10.5,-33.0,,,-83.9,-37.0,-207.4,-40.0,-15.0,,-110.9,11.5,-41.0,160.6,-58.0,-23.1,-2.0,40.5,False,False,False,True,False,False,False,False,False,False,False,False,False,False,,False,False,False,False,False,False,True,False,False,True,False,False,,,False,False,False,False,False,,False,False,False,False,False,False,True,False
Ohio,10680,10696.0,11095.8,10648.1,10594.4,10698.0,10640.2,10478.0,9378.0,10447.4,9944.0,10413.2,10811.0,10610.1,10371.3,10354.3,,11035.0,10058.2,11478.8,10307.2,10684.0,10577.2,10098.5,10649.0,10856.3,10705.2,10407.7,10370.0,,9970.0,9934.5,10312.0,11763.1,10000.0,10786.5,,10607.5,10846.5,10542.0,10613.5,10221.0,10463.7,9703.9,10568.8,16.0,415.8,-31.9,-85.6,18.0,-39.8,-202.0,-1302.0,-232.6,-736.0,-266.8,131.0,-69.9,-308.7,-325.7,,355.0,-621.8,798.8,-372.8,4.0,-102.8,-581.5,-31.0,176.3,25.2,-272.3,-310.0,,-710.0,-745.5,-368.0,1083.1,-680.0,106.5,,-72.5,166.5,-138.0,-66.5,-459.0,-216.3,-976.1,-111.2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,False,True,False,False,False,False,False,False,False,,False,False,False,False,False,False,,False,False,False,False,False,False,False,False
Oklahoma,3231,3052.7,3022.4,3079.6,3034.2,3005.0,3037.0,3071.0,2618.0,3116.1,2981.0,2994.7,3073.0,2909.0,3033.2,3102.1,,3140.0,3094.5,3322.4,3096.3,3071.0,3048.6,2849.2,3171.0,3081.1,3093.2,3022.7,3114.0,,,2978.2,3051.0,2880.7,3088.0,3070.2,,3137.4,3110.7,3092.0,2967.7,3021.0,3006.8,2783.7,3108.5,-178.3,-208.6,-151.4,-196.8,-226.0,-194.0,-160.0,-613.0,-114.9,-250.0,-236.3,-158.0,-322.0,-197.8,-128.9,,-91.0,-136.5,91.4,-134.7,-160.0,-182.4,-381.8,-60.0,-149.9,-137.8,-208.3,-117.0,,,-252.8,-180.0,-350.3,-143.0,-160.8,,-93.6,-120.3,-139.0,-263.3,-210.0,-224.2,-447.3,-122.5,False,True,False,False,False,True,False,True,False,False,True,False,False,True,,True,True,True,True,True,False,False,True,True,True,False,True,,,False,False,False,True,True,,True,True,True,False,False,False,False,True
Oregon,1877,1708.6,1583.1,1909.3,1645.8,1697.0,1702.0,1761.0,1700.0,1811.7,1697.0,1946.2,1883.0,1762.4,1773.6,1742.9,,1794.0,1908.3,2064.7,1755.7,1663.0,1658.6,1792.2,1852.0,1718.8,1768.0,1923.4,1754.0,,,1635.0,1810.0,1963.6,1728.0,1712.6,,1773.7,1751.1,1761.0,1764.1,1661.0,1917.6,1656.2,1847.0,-168.4,-293.9,32.3,-231.2,-180.0,-175.0,-116.0,-177.0,-65.3,-180.0,69.2,6.0,-114.6,-103.4,-134.1,,-83.0,31.3,187.7,-121.3,-214.0,-218.4,-84.8,-25.0,-158.2,-109.0,46.4,-123.0,,,-242.0,-67.0,86.6,-149.0,-164.4,,-103.3,-125.9,-116.0,-112.9,-216.0,40.6,-220.8,-30.0,False,True,False,False,False,True,False,True,False,True,True,True,True,True,,True,True,False,True,False,False,True,True,True,True,True,True,,,False,True,True,True,True,,True,True,True,True,False,True,False,True
Pennsylvania,20454,19832.9,20620.6,19836.3,20026.9,19665.0,20142.5,19613.0,19374.0,19386.8,18752.0,20469.0,20655.0,19370.7,19747.4,19667.4,,20475.0,17848.8,19200.0,19524.2,19578.0,19389.4,18971.7,19374.0,20603.0,19638.8,19931.5,18909.5,,18737.0,18576.0,19251.0,20391.2,18680.0,19998.8,,19858.3,20588.6,18990.0,20446.8,19187.0,19969.7,17246.9,19145.2,-621.1,166.6,-617.7,-427.1,-789.0,-311.5,-841.0,-1080.0,-1067.2,-1702.0,15.0,201.0,-1083.3,-706.6,-786.6,,21.0,-2605.2,-1254.0,-929.8,-876.0,-1064.6,-1482.3,-1080.0,149.0,-815.2,-522.5,-1544.5,,-1717.0,-1878.0,-1203.0,-62.8,-1774.0,-455.2,,-595.7,134.6,-1464.0,-7.2,-1267.0,-484.3,-3207.1,-1308.8,True,True,True,False,True,False,False,False,False,True,True,False,False,False,,True,False,False,False,False,False,False,False,True,False,True,False,,False,False,False,True,False,True,,True,True,False,True,False,True,False,False
Rhode Island,2083,1985.6,2129.3,2093.1,1994.7,1991.0,1996.1,2002.0,1886.0,1932.5,1883.0,2062.7,1984.0,2159.7,2031.6,2062.8,,2117.0,1936.2,1930.6,2004.5,1918.0,1938.0,2007.3,2063.0,2079.2,2026.5,1987.6,2172.5,,,1993.4,1890.0,2062.6,1813.0,1862.5,,2007.7,2106.9,1960.0,2002.1,1885.0,2066.5,1795.9,2038.2,-97.4,46.3,10.1,-88.3,-92.0,-86.9,-81.0,-197.0,-150.5,-200.0,-20.3,-99.0,76.7,-51.4,-20.2,,34.0,-146.8,-152.4,-78.5,-165.0,-145.0,-75.7,-20.0,-3.8,-56.5,-95.4,89.5,,,-89.6,-193.0,-20.4,-270.0,-220.5,,-75.3,23.9,-123.0,-80.9,-198.0,-16.5,-287.1,-44.8,True,True,True,True,True,True,False,False,False,True,False,True,True,True,,True,False,False,True,False,False,True,True,True,True,True,True,,,True,False,True,False,False,,True,True,False,True,False,True,False,True
South Carolina,6479,6366.1,6385.9,6125.8,6170.4,6189.0,6168.1,6169.0,5941.0,6260.4,6149.0,6131.1,6175.0,6132.7,,6362.2,,6100.0,6323.9,6418.9,6569.6,6784.0,6164.9,5897.2,6030.0,6224.5,6318.4,6346.9,6000.0,,6103.8,6540.6,6364.0,7371.5,6500.0,6138.8,,5979.2,6268.3,6630.0,5873.5,6132.0,6325.7,5771.5,6760.2,-112.9,-93.1,-353.2,-308.6,-290.0,-310.9,-310.0,-538.0,-218.6,-330.0,-347.9,-304.0,-346.3,,-116.8,,-379.0,-155.1,-60.1,90.6,305.0,-314.1,-581.8,-449.0,-254.5,-160.6,-132.1,-479.0,,-375.2,61.6,-115.0,892.5,21.0,-340.2,,-499.8,-210.7,151.0,-605.5,-347.0,-153.3,-707.5,281.2,True,False,False,False,False,False,False,False,False,False,False,False,,False,,False,False,True,True,False,False,False,False,False,False,False,False,,False,True,False,False,True,False,,False,False,False,False,False,False,False,False
South Dakota,1696,1704.4,1676.8,1803.1,1650.1,1634.0,1666.0,1673.0,1546.0,1638.6,1631.0,1700.4,1806.0,1661.6,1621.4,1675.2,,1734.0,1714.0,1653.1,1683.2,1588.0,1604.6,1748.8,1760.0,1634.6,1693.9,1654.5,1689.0,,,1597.4,1668.0,1377.9,1742.0,1565.3,,1662.5,1667.2,1716.0,1786.1,1631.0,1687.6,1669.9,1825.4,8.4,-19.2,107.1,-45.9,-62.0,-30.0,-23.0,-150.0,-57.4,-65.0,4.4,110.0,-34.4,-74.6,-20.8,,38.0,18.0,-42.9,-12.8,-108.0,-91.4,52.8,64.0,-61.4,-2.1,-41.5,-7.0,,,-98.6,-28.0,-318.1,46.0,-130.7,,-33.5,-28.8,20.0,90.1,-65.0,-8.4,-26.1,129.4,False,False,False,False,False,False,False,False,False,True,False,False,False,False,,False,False,False,False,False,False,False,False,False,True,False,True,,,False,False,False,False,False,,False,False,False,False,False,False,False,False
Tennessee,8819,8490.7,8513.5,8739.6,8582.9,8478.0,8551.0,8559.0,7888.0,8629.2,7701.0,9140.4,9671.0,8233.0,8597.3,8686.4,,8731.0,8236.5,8482.8,8582.8,8208.5,8247.9,8075.4,8401.0,8622.2,8548.1,8798.7,8736.0,,8199.8,7986.3,8897.0,9090.5,7928.0,8661.4,,8462.1,8627.4,8471.0,8374.9,8122.0,8580.7,7562.7,8841.7,-328.3,-305.5,-79.4,-236.1,-341.0,-268.0,-260.0,-931.0,-189.8,-1118.0,321.4,852.0,-586.0,-221.7,-132.6,,-88.0,-582.5,-336.2,-236.2,-610.5,-571.1,-743.6,-418.0,-196.8,-270.9,-20.3,-83.0,,-619.2,-832.7,78.0,271.5,-891.0,-157.6,,-356.9,-191.6,-348.0,-444.1,-697.0,-238.3,-1256.3,22.7,True,True,True,False,True,True,False,True,False,True,False,False,True,True,,True,False,False,True,False,False,False,False,True,True,True,True,,False,False,True,True,False,True,,False,True,False,False,False,True,False,True
Texas,34725,32612.9,34457.5,32694.6,32796.8,32402.0,32605.1,32480.0,33215.0,32150.9,32480.0,31895.2,31551.0,32145.9,33635.7,32938.1,,32832.0,33596.6,33473.8,33105.0,32828.0,32480.5,31474.0,31677.0,33427.9,32364.7,33450.7,32092.0,,31759.0,31845.5,33514.0,33089.5,32013.0,32306.9,,32409.7,33481.8,32599.0,31638.0,32225.0,32171.6,30341.6,31751.6,-2046.1,-201.5,-1964.4,-1862.2,-2257.0,-2053.9,-2179.0,-1444.0,-2508.1,-2179.0,-2763.8,-3108.0,-2513.1,-1023.3,-1720.9,,-1827.0,-1062.4,-1185.2,-1554.0,-1831.0,-2178.5,-3185.0,-2982.0,-1231.1,-2294.3,-1208.3,-2567.0,,-2900.0,-2813.5,-1145.0,-1569.5,-2646.0,-2352.1,,-2249.3,-1177.2,-2060.0,-3021.0,-2434.0,-2487.4,-4317.4,-2907.4,True,True,True,False,False,False,True,False,False,False,False,False,True,True,,True,True,True,True,True,False,False,False,True,False,True,False,,False,False,True,True,False,False,,False,True,False,False,False,False,False,False
