,actual_deaths,Baseline,AIpert-pwllnod,BPagano-RtDriven,CEID-Walk,CMU-TimeSeries,COVIDhub-baseline,COVIDhub-ensemble,CU-select,Caltech-CS156,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,GT-DeepCOVID,Google_Harvard-CPF,IBF-TimeSeries,IowaStateLW-STEM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MITCovAlliance-SIR,MIT_CritData-GBCF,MOBS-GLEAM_COVID,Microsoft-DeepSTIA,OliverWyman-Navigator,PSI-DRAFT,QJHong-Encounter,RPI_UW-Mob_Collision,RobertWalraven-ESG,SigSci-TS,SteveMcConnell-CovidComplete,TTU-squider,UA-EpiCovDA,UCLA-SuEIR,UCM_MESALab-FoGSEIR,UCSB-ACTS,UCSD_NEU-DeepGLEAM,UChicagoCHATTOPADHYAY-UnIT,UMass-MechBayes,UMich-RidgeTfReg,USC-SI_kJalpha,UT-Mobility,UpstateSU-GRU,WalmartLabsML-LogForecasting,epiforecasts-ensemble1,error-Baseline,error-AIpert-pwllnod,error-BPagano-RtDriven,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-baseline,error-COVIDhub-ensemble,error-CU-select,error-Caltech-CS156,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-GT-DeepCOVID,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MITCovAlliance-SIR,error-MIT_CritData-GBCF,error-MOBS-GLEAM_COVID,error-Microsoft-DeepSTIA,error-OliverWyman-Navigator,error-PSI-DRAFT,error-QJHong-Encounter,error-RPI_UW-Mob_Collision,error-RobertWalraven-ESG,error-SigSci-TS,error-SteveMcConnell-CovidComplete,error-TTU-squider,error-UA-EpiCovDA,error-UCLA-SuEIR,error-UCM_MESALab-FoGSEIR,error-UCSB-ACTS,error-UCSD_NEU-DeepGLEAM,error-UChicagoCHATTOPADHYAY-UnIT,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,error-UT-Mobility,error-UpstateSU-GRU,error-WalmartLabsML-LogForecasting,error-epiforecasts-ensemble1,beat_baseline-AIpert-pwllnod,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-baseline,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Caltech-CS156,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-GT-DeepCOVID,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MITCovAlliance-SIR,beat_baseline-MIT_CritData-GBCF,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-Microsoft-DeepSTIA,beat_baseline-OliverWyman-Navigator,beat_baseline-PSI-DRAFT,beat_baseline-QJHong-Encounter,beat_baseline-RPI_UW-Mob_Collision,beat_baseline-RobertWalraven-ESG,beat_baseline-SigSci-TS,beat_baseline-SteveMcConnell-CovidComplete,beat_baseline-TTU-squider,beat_baseline-UA-EpiCovDA,beat_baseline-UCLA-SuEIR,beat_baseline-UCM_MESALab-FoGSEIR,beat_baseline-UCSB-ACTS,beat_baseline-UCSD_NEU-DeepGLEAM,beat_baseline-UChicagoCHATTOPADHYAY-UnIT,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha,beat_baseline-UT-Mobility,beat_baseline-UpstateSU-GRU,beat_baseline-WalmartLabsML-LogForecasting,beat_baseline-epiforecasts-ensemble1
North Carolina,8586,8787.1,8153.2,8143.1,8473.7,8456.0,8490.7,8538.0,7874.0,8245.2,,7847.0,8250.0,8663.9,8607.8,8593.1,,8300.0,8347.5,8492.0,8759.2,8596.0,8816.0,8748.6,8220.3,8586.0,8537.6,8646.4,8822.1,8394.0,,8187.0,8902.9,,8364.0,8703.2,8724.0,8552.2,,8959.6,8571.7,8990.1,8772.0,8319.2,8288.0,9057.0,,7971.4,8576.0,201.1,-432.8,-442.9,-112.3,-130.0,-95.3,-48.0,-712.0,-340.8,,-739.0,-336.0,77.9,21.8,7.1,,-286.0,-238.5,-94.0,173.2,10.0,230.0,162.6,-365.7,0.0,-48.4,60.4,236.1,-192.0,,-399.0,316.9,,-222.0,117.2,138.0,-33.8,,373.6,-14.3,404.1,186.0,-266.8,-298.0,471.0,,-614.6,-10.0,False,False,True,True,True,True,False,False,,False,False,True,True,True,,False,False,True,True,True,False,True,False,True,True,True,False,True,,False,False,,False,True,True,True,,False,True,False,True,False,False,False,,False,True
North Dakota,1436,1430.0,1422.7,1486.5,1431.6,1439.0,1436.0,1418.0,1352.0,1399.0,,1411.4,1406.0,1429.6,1399.0,1405.6,,1462.0,1446.9,1447.0,1438.8,1401.5,1394.0,1413.6,1414.7,1448.0,1407.3,1434.8,1431.5,1408.0,,,1424.8,,1414.0,1221.6,1395.0,1420.8,,1368.4,1434.7,1437.8,1405.0,1489.0,1420.0,1393.0,,1428.9,1425.0,2.0,-5.3,58.5,3.6,11.0,8.0,-10.0,-76.0,-29.0,,-16.6,-22.0,1.6,-29.0,-22.4,,34.0,18.9,19.0,10.8,-26.5,-34.0,-14.4,-13.3,20.0,-20.7,6.8,3.5,-20.0,,,-3.2,,-14.0,-206.4,-33.0,-7.2,,-59.6,6.7,9.8,-23.0,61.0,-8.0,-35.0,,0.9,-3.0,False,False,False,False,False,False,False,False,,False,False,True,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,,,False,,False,False,False,False,,False,False,False,False,False,False,False,,True,False
Ohio,10680,10650.3,10862.1,10601.5,10764.7,10712.0,10762.8,10725.0,9909.0,10472.4,,10153.3,10439.0,11303.0,10384.3,10725.3,,10768.0,10633.9,10731.0,11198.7,10576.0,10738.0,10725.0,10469.3,10852.0,10811.1,10806.1,10899.0,11281.5,,10790.8,10400.1,,10478.0,11763.1,10281.0,10817.9,,11175.3,10820.6,11174.8,10686.0,10825.1,10565.0,10531.0,,10158.5,10515.0,-29.7,182.1,-78.5,84.7,32.0,82.8,45.0,-771.0,-207.6,,-526.7,-241.0,623.0,-295.7,45.3,,88.0,-46.1,51.0,518.7,-104.0,58.0,45.0,-210.7,172.0,131.1,126.1,219.0,601.5,,110.8,-279.9,,-202.0,1083.1,-399.0,137.9,,495.3,140.6,494.8,6.0,145.1,-115.0,-149.0,,-521.5,-165.0,False,False,False,False,False,False,False,False,,False,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,,False,False,False,False,,False,False,False,True,False,False,False,,False,False
Oklahoma,3231,3158.4,3096.4,3063.6,3158.9,3117.0,3160.0,3159.0,2852.0,3143.6,,2973.7,3086.0,3158.2,3127.9,3183.8,,3159.0,3432.1,3203.0,3248.3,3166.4,3123.5,3241.4,2971.1,3260.0,3160.0,3206.6,3277.1,3200.0,,,3210.3,,3110.0,2880.7,3106.0,3199.6,,3447.8,3185.4,3503.9,3199.0,3157.5,3095.0,3154.0,,2941.2,3131.0,-72.6,-134.6,-167.4,-72.1,-114.0,-71.0,-72.0,-379.0,-87.4,,-257.3,-145.0,-72.8,-103.1,-47.2,,-72.0,201.1,-28.0,17.3,-64.6,-107.5,10.4,-259.9,29.0,-71.0,-24.4,46.1,-31.0,,,-20.7,,-121.0,-350.3,-125.0,-31.4,,216.8,-45.6,272.9,-32.0,-73.5,-136.0,-77.0,,-289.8,-100.0,False,False,True,False,True,True,False,False,,False,False,False,False,True,,True,False,True,True,True,False,True,False,True,True,True,True,True,,,True,,False,False,False,True,,False,True,False,True,False,False,False,,False,False
Oregon,1877,1797.1,1729.2,1821.7,1809.4,1789.0,1825.0,1806.0,1785.0,1784.2,,1805.2,1739.0,1870.4,1777.4,1799.1,,1835.0,2153.8,1827.0,1993.0,1819.7,1745.0,1760.8,1800.1,1847.0,1800.7,1806.0,1827.4,1799.0,,,1739.7,,1771.0,1965.7,1739.0,1825.9,,1909.3,1827.9,1923.0,1799.0,1788.0,1769.0,1710.0,,1719.3,1803.0,-79.9,-147.8,-55.3,-67.6,-88.0,-52.0,-71.0,-92.0,-92.8,,-71.8,-138.0,-6.6,-99.6,-77.9,,-42.0,276.8,-50.0,116.0,-57.3,-132.0,-116.2,-76.9,-30.0,-76.3,-71.0,-49.6,-78.0,,,-137.3,,-106.0,88.7,-138.0,-51.1,,32.3,-49.1,46.0,-78.0,-89.0,-108.0,-167.0,,-157.7,-74.0,False,True,True,False,True,True,False,False,,True,False,True,False,True,,True,False,True,False,True,False,False,True,True,True,True,True,True,,,False,,False,False,False,True,,True,True,True,True,False,False,False,,False,True
Pennsylvania,20454,20478.6,20461.3,19745.5,20720.5,20113.0,20519.6,20192.0,19779.0,19732.0,,19431.3,19756.0,21043.0,20293.2,20088.5,,20387.0,18373.6,19962.0,19675.1,20137.1,20661.5,20480.2,20146.0,20311.0,20794.9,20127.8,20917.0,21687.0,,20925.6,20350.5,,19933.0,20336.3,19766.0,20404.2,,20431.5,20828.0,20455.1,19874.0,21047.8,19988.0,19761.5,,18547.7,19995.0,24.6,7.3,-708.5,266.5,-341.0,65.6,-262.0,-675.0,-722.0,,-1022.7,-698.0,589.0,-160.8,-365.5,,-67.0,-2080.4,-492.0,-778.9,-316.9,207.5,26.2,-308.0,-143.0,340.9,-326.2,463.0,1233.0,,471.6,-103.5,,-521.0,-117.7,-688.0,-49.8,,-22.5,374.0,1.1,-580.0,593.8,-466.0,-692.5,,-1906.3,-459.0,True,False,False,False,False,False,False,False,,False,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,,False,False,False,False,,True,False,True,False,False,False,False,,False,False
Rhode Island,2083,2174.1,2166.8,2117.3,2190.4,2139.0,2194.0,2124.0,2034.0,2019.8,,2039.3,2070.0,2287.1,2170.6,2176.3,,2238.0,2096.5,2184.0,1993.6,2111.5,2129.0,2085.2,2081.9,2146.0,2184.9,2147.2,2180.3,2021.0,,,2214.0,,2087.0,2062.6,1993.0,1983.4,,2137.1,2214.8,2175.8,2146.0,2119.4,2013.0,2079.0,,1909.1,2108.0,91.1,83.8,34.3,107.4,56.0,111.0,41.0,-49.0,-63.2,,-43.7,-13.0,204.1,87.6,93.3,,155.0,13.5,101.0,-89.4,28.5,46.0,2.2,-1.1,63.0,101.9,64.2,97.3,-62.0,,,131.0,,4.0,-20.4,-90.0,-99.6,,54.1,131.8,92.8,63.0,36.4,-70.0,-4.0,,-173.9,25.0,True,True,False,True,False,True,True,True,,True,True,False,True,False,,False,True,False,True,True,True,True,True,True,False,True,False,True,,,False,,True,True,True,False,,True,False,False,True,True,True,True,,False,True
South Carolina,6479,6446.1,6544.0,6241.4,6498.2,6524.0,6504.1,6504.0,6367.0,6421.7,,6105.3,6535.0,6542.7,6477.7,6579.4,,6444.0,6185.4,6469.0,6432.5,6677.4,6614.0,6518.9,6151.2,6454.0,6458.7,6514.6,6758.0,6385.5,,7036.3,6616.6,,6512.0,7372.1,6543.0,6525.9,,6634.7,6484.2,6753.0,6615.0,6370.0,6432.0,6679.0,,6046.0,6591.0,-32.9,65.0,-237.6,19.2,45.0,25.1,25.0,-112.0,-57.3,,-373.7,56.0,63.7,-1.3,100.4,,-35.0,-293.6,-10.0,-46.5,198.4,135.0,39.9,-327.8,-25.0,-20.3,35.6,279.0,-93.5,,557.3,137.6,,33.0,893.1,64.0,46.9,,155.7,5.2,274.0,136.0,-109.0,-47.0,200.0,,-433.0,112.0,False,False,True,False,True,True,False,False,,False,False,False,True,False,,False,False,True,False,False,False,False,False,True,True,False,False,False,,False,False,,False,False,False,False,,False,True,False,False,False,False,False,,False,False
South Dakota,1696,1718.7,1672.0,1754.0,1717.1,1670.0,1708.0,1697.0,1599.0,1651.4,,1640.6,1700.0,1755.8,1677.6,1691.3,,1691.0,1756.4,1692.0,1666.6,1674.4,1672.0,1679.7,1719.6,1710.0,1702.1,1700.8,1710.2,1643.0,,,1703.1,,1677.0,1640.6,1721.0,1676.2,,1660.0,1729.7,1717.5,1704.0,1740.2,1670.0,1704.0,,1689.1,1732.0,22.7,-24.0,58.0,21.1,-26.0,12.0,1.0,-97.0,-44.6,,-55.4,4.0,59.8,-18.4,-4.7,,-5.0,60.4,-4.0,-29.4,-21.6,-24.0,-16.3,23.6,14.0,6.1,4.8,14.2,-53.0,,,7.1,,-19.0,-55.4,25.0,-19.8,,-36.0,33.7,21.5,8.0,44.2,-26.0,8.0,,-6.9,36.0,False,False,True,False,True,True,False,False,,False,True,False,True,True,,True,False,True,False,True,False,True,False,True,True,True,True,False,,,True,,True,False,False,True,,False,False,True,True,False,False,True,,True,False
Tennessee,8819,9196.4,8829.9,8760.9,9190.6,8943.0,9171.9,8970.0,8392.0,8764.2,,8437.1,8550.0,9194.3,9069.9,9014.5,,8918.0,8266.9,8882.0,8658.1,9049.2,8919.0,9048.9,8623.6,8917.0,9096.0,8992.9,8912.8,8732.0,,8993.5,9181.6,,8827.0,9090.5,8752.0,9294.7,,9540.6,9123.6,9235.2,8970.0,9029.7,8700.0,9129.0,,8154.8,9048.0,377.4,10.9,-58.1,371.6,124.0,352.9,151.0,-427.0,-54.8,,-381.9,-269.0,375.3,250.9,195.5,,99.0,-552.1,63.0,-160.9,230.2,100.0,229.9,-195.4,98.0,277.0,173.9,93.8,-87.0,,174.5,362.6,,8.0,271.5,-67.0,475.7,,721.6,304.6,416.2,151.0,210.7,-119.0,310.0,,-664.2,229.0,True,True,True,True,True,True,False,True,,False,True,True,True,True,,True,False,True,True,True,True,True,True,True,True,True,True,True,,True,True,,True,True,True,False,,False,True,False,True,True,True,True,,False,True
Texas,34725,34161.7,34548.6,32695.6,33918.0,33462.0,34055.5,33666.0,33364.0,32987.4,,31761.4,32876.0,35847.0,34431.0,34115.8,,33200.0,33247.2,33050.0,33834.7,33935.6,33769.0,34379.5,32314.3,33816.0,34375.6,33617.5,35177.7,32796.0,,33515.9,34314.7,,34235.0,33089.5,34611.0,34034.3,,33060.8,34459.5,35119.1,34024.0,33549.1,33590.0,33963.5,,31956.4,33407.0,-563.3,-176.4,-2029.4,-807.0,-1263.0,-669.5,-1059.0,-1361.0,-1737.6,,-2963.6,-1849.0,1122.0,-294.0,-609.2,,-1525.0,-1477.8,-1675.0,-890.3,-789.4,-956.0,-345.5,-2410.7,-909.0,-349.4,-1107.5,452.7,-1929.0,,-1209.1,-410.3,,-490.0,-1635.5,-114.0,-690.7,,-1664.2,-265.5,394.1,-701.0,-1175.9,-1135.0,-761.5,,-2768.6,-1318.0,True,False,False,False,False,False,False,False,,False,False,False,True,False,,False,False,False,False,False,False,True,False,False,True,False,True,False,,False,True,,True,False,True,False,,False,True,True,False,False,False,False,,False,False
Utah,1582,1561.0,1561.3,1708.1,1597.0,1603.0,1582.0,1565.0,1523.0,1597.1,,1483.4,1552.0,1550.8,1534.4,1588.5,,1597.0,2121.4,1612.0,1215.3,1549.1,1542.0,1613.9,1508.5,1590.0,1589.8,1596.2,1616.3,1518.0,,,1572.0,,1565.0,1330.9,1526.0,1585.8,,1927.3,1616.8,1596.8,1560.0,1575.3,1557.0,1530.0,,1060.5,1563.0,-21.0,-20.7,126.1,15.0,21.0,0.0,-17.0,-59.0,15.1,,-98.6,-30.0,-31.2,-47.6,6.5,,15.0,539.4,30.0,-366.7,-32.9,-40.0,31.9,-73.5,8.0,7.8,14.2,34.3,-64.0,,,-10.0,,-17.0,-251.1,-56.0,3.8,,345.3,34.8,14.8,-22.0,-6.7,-25.0,-52.0,,-521.5,-19.0,True,False,True,False,True,True,False,True,,False,False,False,False,True,,True,False,False,False,False,False,False,False,True,True,True,False,False,,,True,,True,False,False,True,,False,False,True,False,True,False,False,,False,True
Vermont,170,185.7,187.5,187.5,190.7,190.0,190.0,191.0,171.0,200.3,,195.3,192.0,177.1,192.7,195.0,,194.0,199.7,194.0,216.2,218.0,199.0,178.2,161.1,219.0,203.5,199.6,197.9,181.0,,,183.1,,209.0,142.6,185.0,186.6,,187.6,231.9,202.2,181.0,183.7,192.0,178.0,,164.2,187.0,15.7,17.5,17.5,20.7,20.0,20.0,21.0,1.0,30.3,,25.3,22.0,7.1,22.7,25.0,,24.0,29.7,24.0,46.2,48.0,29.0,8.2,-8.9,49.0,33.5,29.6,27.9,11.0,,,13.1,,39.0,-27.4,15.0,16.6,,17.6,61.9,32.2,11.0,13.7,22.0,8.0,,-5.8,17.0,False,False,False,False,False,False,True,False,,False,False,True,False,False,,False,False,False,False,False,False,True,True,False,False,False,False,True,,,True,,False,False,True,False,,False,False,False,True,True,False,True,,True,False
Virginia,6079,5864.0,6017.4,5804.9,5904.4,5942.0,5909.0,5974.0,5802.0,6006.0,,5786.3,5766.0,6077.7,5965.4,6038.1,,5998.0,5782.9,6028.0,6365.8,6064.8,5974.0,5942.1,5752.3,6160.0,5966.6,6047.8,6030.4,6083.0,,5939.4,5935.0,,5980.0,6272.0,5861.0,5793.4,,6499.5,5988.9,6271.5,6023.0,5892.2,5976.0,5864.0,,5603.0,5928.0,-215.0,-61.6,-274.1,-174.6,-137.0,-170.0,-105.0,-277.0,-73.0,,-292.7,-313.0,-1.3,-113.6,-40.9,,-81.0,-296.1,-51.0,286.8,-14.2,-105.0,-136.9,-326.7,81.0,-112.4,-31.2,-48.6,4.0,,-139.6,-144.0,,-99.0,193.0,-218.0,-285.6,,420.5,-90.1,192.5,-56.0,-186.8,-103.0,-215.0,,-476.0,-151.0,True,False,True,True,True,True,False,True,,False,False,True,True,True,,True,False,True,False,True,True,True,False,True,True,True,True,True,,True,True,,True,True,False,False,,False,True,True,True,True,True,False,,False,True
Washington,4114,4141.9,4274.1,4102.8,4139.1,4094.0,4172.0,4118.0,3950.0,4089.8,,3769.6,3942.0,3988.2,4015.8,4312.1,,4070.0,4062.0,4188.0,4194.0,4055.4,4043.0,4130.8,3901.3,4284.0,4239.4,4210.6,4180.1,4146.0,,4206.1,4187.0,,4131.0,4363.6,3982.0,4102.9,,4276.5,4248.6,4383.5,4104.0,4158.5,4083.0,4130.0,,3855.3,3821.0,27.9,160.1,-11.2,25.1,-20.0,58.0,4.0,-164.0,-24.2,,-344.4,-172.0,-125.8,-98.2,198.1,,-44.0,-52.0,74.0,80.0,-58.6,-71.0,16.8,-212.7,170.0,125.4,96.6,66.1,32.0,,92.1,73.0,,17.0,249.6,-132.0,-11.1,,162.5,134.6,269.5,-10.0,44.5,-31.0,16.0,,-258.7,-293.0,False,True,True,True,False,True,False,True,,False,False,False,False,False,,False,False,False,False,False,False,True,False,False,False,False,False,False,,False,False,,True,False,False,True,,False,False,False,True,False,False,True,,False,False
West Virginia,1872,1964.6,1929.3,1821.0,1952.5,1896.0,1964.0,1911.0,1731.0,1880.8,,1779.4,1833.0,2013.9,1935.2,1946.5,,1852.0,1776.9,1923.0,1981.4,1930.4,1878.0,1935.7,1885.2,1911.0,1951.9,1898.3,1977.9,1855.0,,,1911.1,,1922.0,1966.0,1918.0,2024.0,,1943.7,1975.5,2012.5,1889.0,1933.7,1902.0,1878.0,,1739.8,1908.0,92.6,57.3,-51.0,80.5,24.0,92.0,39.0,-141.0,8.8,,-92.6,-39.0,141.9,63.2,74.5,,-20.0,-95.1,51.0,109.4,58.4,6.0,63.7,13.2,39.0,79.9,26.3,105.9,-17.0,,,39.1,,50.0,94.0,46.0,152.0,,71.7,103.5,140.5,17.0,61.7,30.0,6.0,,-132.2,36.0,True,True,True,True,True,True,False,True,,False,True,False,True,True,,True,False,True,False,True,True,True,True,True,True,True,False,True,,,True,,True,False,True,False,,True,False,False,True,True,True,True,,False,True
Wisconsin,6184,6143.9,6074.3,6186.2,6150.7,6084.0,6189.0,6066.0,5889.0,6040.2,,5988.2,5888.0,5970.4,6025.4,6104.4,,6066.0,7401.0,6130.0,6174.7,5988.2,6022.0,6138.0,5993.0,6132.0,6158.7,6095.3,6133.5,6253.0,,5868.1,5949.4,,6013.0,4935.8,5910.0,6244.7,,6448.2,6176.9,6391.8,5997.0,6289.2,5974.0,5819.0,,5940.9,5698.0,-40.1,-109.7,2.2,-33.3,-100.0,5.0,-118.0,-295.0,-143.8,,-195.8,-296.0,-213.6,-158.6,-79.6,,-118.0,1217.0,-54.0,-9.3,-195.8,-162.0,-46.0,-191.0,-52.0,-25.3,-88.7,-50.5,69.0,,-315.9,-234.6,,-171.0,-1248.2,-274.0,60.7,,264.2,-7.1,207.8,-187.0,105.2,-210.0,-365.0,,-243.1,-486.0,False,True,True,False,True,False,False,False,,False,False,False,False,False,,False,False,False,True,False,False,False,False,False,True,False,False,False,,False,False,,False,False,False,False,,False,True,False,False,False,False,False,,False,False
Wyoming,571,583.7,570.4,588.0,599.8,586.0,591.0,567.0,495.0,566.3,,495.9,543.0,585.7,555.9,562.3,,593.0,516.4,583.0,542.7,542.7,566.0,542.0,554.0,563.0,587.4,587.8,575.2,567.0,,,585.0,,548.0,459.3,523.0,523.6,,588.2,614.4,591.0,540.0,587.4,567.0,564.0,,538.5,578.0,12.7,-0.6,17.0,28.8,15.0,20.0,-4.0,-76.0,-4.7,,-75.1,-28.0,14.7,-15.1,-8.7,,22.0,-54.6,12.0,-28.3,-28.3,-5.0,-29.0,-17.0,-8.0,16.4,16.8,4.2,-4.0,,,14.0,,-23.0,-111.7,-48.0,-47.4,,17.2,43.4,20.0,-31.0,16.4,-4.0,-7.0,,-32.5,7.0,True,False,False,False,False,True,False,True,,False,False,False,False,True,,False,False,True,False,False,True,False,False,True,False,False,True,True,,,False,,False,False,False,False,,False,False,False,False,False,True,True,,False,True
US,417476,416454.6,417518.8,406729.8,416584.5,,416951.2,414211.0,399382.0,407437.7,415580.0,395591.5,409738.0,425122.9,413877.5,,426847.0,410715.0,406513.6,,411986.8,414668.1,419847.0,421421.2,,416001.0,417323.8,414223.9,424144.8,413500.5,412067.6,417351.1,422994.6,408790.0,413986.0,414803.1,411800.0,410980.5,417159.0,,418796.2,424850.6,415282.0,420577.9,411707.0,414892.0,406165.0,391727.9,404855.0,-996.4,67.8,-10721.2,-866.5,,-499.8,-3240.0,-18069.0,-10013.3,-1871.0,-21859.5,-7713.0,7671.9,-3573.5,,9396.0,-6736.0,-10937.4,,-5464.2,-2782.9,2396.0,3970.2,,-1450.0,-127.2,-3227.1,6693.8,-3950.5,-5383.4,-99.9,5543.6,-8661.0,-3465.0,-2647.9,-5651.0,-6470.5,-292.0,,1345.2,7399.6,-2169.0,3126.9,-5744.0,-2559.0,-11286.0,-25723.1,-12596.0,True,False,True,,True,False,False,False,False,False,False,False,False,,False,False,False,,False,False,False,False,,False,True,False,False,False,False,True,False,False,False,False,False,False,True,,False,False,False,False,False,False,False,False,False
