,actual_deaths,Baseline,AIpert-pwllnod,BPagano-RtDriven,CEID-Walk,CMU-TimeSeries,COVIDhub-baseline,COVIDhub-ensemble,COVIDhub-trained_ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,FDANIHASU-Sweight,GT-DeepCOVID,GT_CHHS-COVID19,Google_Harvard-CPF,IBF-TimeSeries,IHME-CurveFit,IowaStateLW-STEM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MIT_CritData-GBCF,MIT_ISOLAT-Mixtures,MOBS-GLEAM_COVID,Microsoft-DeepSTIA,OliverWyman-Navigator,PSI-DRAFT,QJHong-Encounter,RPI_UW-Mob_Collision,RobertWalraven-ESG,SigSci-TS,TTU-squider,UA-EpiCovDA,UCM_MESALab-FoGSEIR,UCSD_NEU-DeepGLEAM,UMass-MechBayes,UMich-RidgeTfReg,USC-SI_kJalpha,UpstateSU-GRU,WalmartLabsML-LogForecasting,epiforecasts-ensemble1,error-Baseline,error-AIpert-pwllnod,error-BPagano-RtDriven,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-baseline,error-COVIDhub-ensemble,error-COVIDhub-trained_ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-FDANIHASU-Sweight,error-GT-DeepCOVID,error-GT_CHHS-COVID19,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IHME-CurveFit,error-IowaStateLW-STEM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MIT_CritData-GBCF,error-MIT_ISOLAT-Mixtures,error-MOBS-GLEAM_COVID,error-Microsoft-DeepSTIA,error-OliverWyman-Navigator,error-PSI-DRAFT,error-QJHong-Encounter,error-RPI_UW-Mob_Collision,error-RobertWalraven-ESG,error-SigSci-TS,error-TTU-squider,error-UA-EpiCovDA,error-UCM_MESALab-FoGSEIR,error-UCSD_NEU-DeepGLEAM,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,error-UpstateSU-GRU,error-WalmartLabsML-LogForecasting,error-epiforecasts-ensemble1,beat_baseline-AIpert-pwllnod,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-baseline,beat_baseline-COVIDhub-ensemble,beat_baseline-COVIDhub-trained_ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-FDANIHASU-Sweight,beat_baseline-GT-DeepCOVID,beat_baseline-GT_CHHS-COVID19,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MIT_CritData-GBCF,beat_baseline-MIT_ISOLAT-Mixtures,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-Microsoft-DeepSTIA,beat_baseline-OliverWyman-Navigator,beat_baseline-PSI-DRAFT,beat_baseline-QJHong-Encounter,beat_baseline-RPI_UW-Mob_Collision,beat_baseline-RobertWalraven-ESG,beat_baseline-SigSci-TS,beat_baseline-TTU-squider,beat_baseline-UA-EpiCovDA,beat_baseline-UCM_MESALab-FoGSEIR,beat_baseline-UCSD_NEU-DeepGLEAM,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha,beat_baseline-UpstateSU-GRU,beat_baseline-WalmartLabsML-LogForecasting,beat_baseline-epiforecasts-ensemble1
Massachusetts,16067,16384.7,16274.8,16158.4,16401.2,16269.0,16429.9,16156.0,16676.0,16000.0,16133.0,15739.9,16071.0,,16285.7,,16025.0,,15817.6,16234.0,16175.9,16244.0,15975.1,15919.2,16156.0,16169.5,16151.0,16482.5,16164.3,16261.6,16304.8,15904.5,,16158.5,16143.8,16327.0,18170.0,16152.0,,16189.7,16126.0,16165.9,16021.0,,15854.8,16363.0,317.7,207.8,91.4,334.2,202.0,362.9,89.0,609.0,-67.0,66.0,-327.1,4.0,,218.7,,-42.0,,-249.4,167.0,108.9,177.0,-91.9,-147.8,89.0,102.5,84.0,415.5,97.3,194.6,237.8,-162.5,,91.5,76.8,260.0,2103.0,85.0,,122.7,59.0,98.9,-46.0,,-212.2,296.0,True,True,False,True,False,True,False,True,True,False,True,,True,,True,,True,True,True,True,True,True,True,True,True,False,True,True,True,True,,True,True,True,False,True,,True,True,True,True,,True,True
Michigan,16508,16611.1,16650.5,16517.4,16682.9,16597.0,16649.0,16566.0,17182.0,16566.0,16478.0,16444.5,16627.0,,16634.7,,16615.1,,16535.8,16804.5,17035.4,16619.0,16622.3,16559.5,16483.0,16496.0,16752.0,16417.4,16580.3,16572.4,16561.1,16628.0,,16556.0,16545.8,16785.0,16565.8,16414.0,,16591.9,16502.0,16611.3,16531.0,,16602.3,16519.0,103.1,142.5,9.4,174.9,89.0,141.0,58.0,674.0,58.0,-30.0,-63.5,119.0,,126.7,,107.1,,27.8,296.5,527.4,111.0,114.3,51.5,-25.0,-12.0,244.0,-90.6,72.3,64.4,53.1,120.0,,48.0,37.8,277.0,57.8,-94.0,,83.9,-6.0,103.3,23.0,,94.3,11.0,False,True,False,True,False,True,False,True,True,True,False,,False,,False,,True,False,False,False,False,True,True,True,False,True,True,True,True,False,,True,True,False,True,True,,True,True,False,True,,True,True
Minnesota,6543,6587.0,6575.7,6544.2,6595.9,6597.0,6597.0,6593.0,6818.0,6616.0,6567.0,6539.1,6583.0,,6619.6,,6616.3,,6587.8,6611.0,7490.3,6601.0,6681.2,6579.6,6544.0,6574.0,6662.0,6498.6,6594.5,6618.1,6558.7,6581.0,,6612.6,6554.2,6662.0,5901.6,6638.0,,6617.9,6572.0,6615.1,6568.0,,6616.7,6586.0,44.0,32.7,1.2,52.9,54.0,54.0,50.0,275.0,73.0,24.0,-3.9,40.0,,76.6,,73.3,,44.8,68.0,947.3,58.0,138.2,36.6,1.0,31.0,119.0,-44.4,51.5,75.1,15.7,38.0,,69.6,11.2,119.0,-641.4,95.0,,74.9,29.0,72.1,25.0,,73.7,43.0,True,True,False,False,False,False,False,False,True,True,True,,False,,False,,False,False,False,False,False,True,True,True,False,False,False,False,True,True,,False,True,False,False,False,,False,True,False,True,,False,True
Mississippi,6669,6820.4,6792.7,6780.4,6848.2,6804.0,6851.0,6772.0,7054.0,6748.0,6775.0,6684.5,6781.0,,6705.5,,6745.2,,6699.3,6841.0,6596.0,6842.0,6719.4,6756.2,6719.0,6710.7,6916.0,6864.4,6869.7,6830.7,6772.4,6689.0,,6872.0,6749.7,6832.0,6610.0,6758.0,,6887.0,6768.0,6811.3,6781.0,,6763.1,6781.0,151.4,123.7,111.4,179.2,135.0,182.0,103.0,385.0,79.0,106.0,15.5,112.0,,36.5,,76.2,,30.3,172.0,-73.0,173.0,50.4,87.2,50.0,41.7,247.0,195.4,200.7,161.7,103.4,20.0,,203.0,80.7,163.0,-59.0,89.0,,218.0,99.0,142.3,112.0,,94.1,112.0,True,True,False,True,False,True,False,True,True,True,True,,True,,True,,True,False,True,False,True,True,True,True,False,False,False,False,True,True,,False,True,False,True,True,,False,True,True,True,,True,True
Missouri,8282,8369.0,8383.9,8298.7,8406.6,8265.0,8409.8,8229.0,8685.0,8166.0,8311.0,8035.8,8126.0,,8109.2,,8286.7,,7814.5,8515.0,7199.5,8248.0,7731.7,8117.0,8036.0,8124.2,8350.0,8324.5,8262.1,8290.0,8269.9,8199.0,,8302.8,8228.9,8093.0,7730.4,8117.0,,8319.6,8118.0,8205.1,7966.0,,7677.5,8450.0,98.0,112.9,27.7,135.6,-6.0,138.8,-42.0,414.0,-105.0,40.0,-235.2,-145.0,,-161.8,,15.7,,-456.5,244.0,-1071.5,-23.0,-539.3,-154.0,-235.0,-146.8,79.0,53.5,-8.9,19.0,-1.1,-72.0,,31.8,-42.1,-178.0,-540.6,-154.0,,48.6,-153.0,-65.9,-305.0,,-593.5,179.0,False,True,False,True,False,True,False,False,True,False,False,,False,,True,,False,False,False,True,False,False,False,False,True,True,True,True,True,True,,True,True,False,False,False,,True,False,True,False,,False,False
Montana,1356,1351.1,1432.7,1412.6,1339.5,1362.0,1357.0,1398.0,1558.0,1399.0,1395.0,1468.6,1379.0,,1409.7,,1395.6,,1355.4,1409.0,1543.5,1414.0,1402.6,1399.3,1349.0,1360.5,1432.0,1361.8,1411.6,1428.4,1352.6,1423.0,,,1359.3,1388.0,1166.0,1423.0,,1435.8,1378.0,1409.4,1367.0,,1395.9,1405.0,-4.9,76.7,56.6,-16.5,6.0,1.0,42.0,202.0,43.0,39.0,112.6,23.0,,53.7,,39.6,,-0.6,53.0,187.5,58.0,46.6,43.3,-7.0,4.5,76.0,5.8,55.6,72.4,-3.4,67.0,,,3.3,32.0,-190.0,67.0,,79.8,22.0,53.4,11.0,,39.9,49.0,False,False,False,False,True,False,False,False,False,False,False,,False,,False,,True,False,False,False,False,False,False,True,False,False,False,False,True,False,,,True,False,False,False,,False,False,False,False,,False,False
Nebraska,2082,2065.1,2060.1,2058.6,2060.4,2079.0,2070.0,2070.0,2282.0,2076.0,2062.0,2044.0,2056.0,,2042.3,,2105.8,,2078.2,2138.0,2046.7,2084.0,2137.3,2052.4,2052.0,2064.8,2170.0,2021.6,2065.0,2082.7,2076.3,2047.0,,,2055.6,2074.0,1869.2,2132.0,,2089.6,2062.0,2084.8,2048.0,,2084.4,2060.0,-16.9,-21.9,-23.4,-21.6,-3.0,-12.0,-12.0,200.0,-6.0,-20.0,-38.0,-26.0,,-39.7,,23.8,,-3.8,56.0,-35.3,2.0,55.3,-29.6,-30.0,-17.2,88.0,-60.4,-17.0,0.7,-5.7,-35.0,,,-26.4,-8.0,-212.8,50.0,,7.6,-20.0,2.8,-34.0,,2.4,-22.0,False,False,False,True,True,True,False,True,False,False,False,,False,,False,,True,False,False,True,False,False,False,False,False,False,False,True,True,False,,,False,True,False,False,,True,False,True,False,,True,False
Nevada,4957,5060.0,5097.0,5033.7,5094.5,5034.0,5090.0,5015.0,5240.0,4943.0,5012.0,4960.3,5060.0,,4997.5,,4976.5,,5018.7,5089.0,4682.2,5065.0,4900.7,4924.8,4956.0,4986.3,5130.0,5052.9,5044.6,5042.5,5032.6,4885.0,,5086.7,4979.8,4924.0,4711.5,5015.0,,5064.2,4971.0,4996.7,5023.0,,4990.7,5054.0,103.0,140.0,76.7,137.5,77.0,133.0,58.0,283.0,-14.0,55.0,3.3,103.0,,40.5,,19.5,,61.7,132.0,-274.8,108.0,-56.3,-32.2,-1.0,29.3,173.0,95.9,87.6,85.5,75.6,-72.0,,129.7,22.8,-33.0,-245.5,58.0,,107.2,14.0,39.7,66.0,,33.7,97.0,False,True,False,True,False,True,False,True,True,True,False,,True,,True,,True,False,False,False,True,True,True,True,False,True,True,True,True,True,,False,True,True,False,True,,False,True,True,True,,True,True
New Hampshire,1170,1186.9,1205.8,1194.6,1195.1,1192.0,1194.0,1196.0,1320.0,1192.0,1195.0,1203.1,1212.0,,1174.5,,1188.5,,1185.2,1232.0,1227.0,1212.0,1271.7,1187.0,1183.0,1178.7,1228.0,,1235.5,1223.0,1187.7,1220.0,,,1177.2,1215.0,1271.1,1238.0,,1260.2,1196.0,1208.9,1189.0,,1181.8,1192.0,16.9,35.8,24.6,25.1,22.0,24.0,26.0,150.0,22.0,25.0,33.1,42.0,,4.5,,18.5,,15.2,62.0,57.0,42.0,101.7,17.0,13.0,8.7,58.0,,65.5,53.0,17.7,50.0,,,7.2,45.0,101.1,68.0,,90.2,26.0,38.9,19.0,,11.8,22.0,False,False,False,False,False,False,False,False,False,False,False,,True,,False,,True,False,False,False,False,False,True,True,False,,False,False,False,False,,,True,False,False,False,,False,False,False,False,,True,False
New Jersey,23238,23317.6,23364.8,23226.7,23388.0,23317.0,23391.8,23279.0,23796.0,23389.0,23137.0,23004.0,23435.0,,23825.0,,23295.2,,23165.9,23494.0,23213.1,23416.0,23236.0,23194.8,23217.0,23210.5,23382.0,23217.3,23290.0,23349.9,23278.9,22796.0,,23168.3,23271.7,23825.0,22281.0,23197.0,,23302.0,23093.0,23329.4,23317.0,,22992.6,23251.0,79.6,126.8,-11.3,150.0,79.0,153.8,41.0,558.0,151.0,-101.0,-234.0,197.0,,587.0,,57.2,,-72.1,256.0,-24.9,178.0,-2.0,-43.2,-21.0,-27.5,144.0,-20.7,52.0,111.9,40.9,-442.0,,-69.7,33.7,587.0,-957.0,-41.0,,64.0,-145.0,91.4,79.0,,-245.4,13.0,False,True,False,True,False,True,False,False,False,False,False,,False,,True,,True,False,True,False,True,True,True,True,False,True,True,False,True,False,,True,True,False,False,True,,True,False,False,True,,False,True
New Mexico,3700,3770.4,3738.3,3691.8,3763.0,3749.0,3776.0,3720.0,3996.0,3680.0,3691.0,3653.4,3734.0,,3763.6,,3706.4,,3651.7,3774.0,3942.6,3762.0,3679.0,3689.3,3674.0,3694.2,3742.0,3680.9,3699.2,3722.0,3819.6,3740.0,,,3695.6,3687.0,3662.0,3742.0,,3723.1,3700.0,3723.0,3680.0,,3718.4,3723.0,70.4,38.3,-8.2,63.0,49.0,76.0,20.0,296.0,-20.0,-9.0,-46.6,34.0,,63.6,,6.4,,-48.3,74.0,242.6,62.0,-21.0,-10.7,-26.0,-5.8,42.0,-19.1,-0.8,22.0,119.6,40.0,,,-4.4,-13.0,-38.0,42.0,,23.1,0.0,23.0,-20.0,,18.4,23.0,True,True,True,True,False,True,False,True,True,True,True,,True,,True,,True,False,False,True,True,True,True,True,True,True,True,True,False,True,,,True,True,True,True,,True,True,True,True,,True,True
New York,47498,47824.7,47872.1,47511.0,47907.9,47763.0,47925.4,47617.0,48439.0,47447.0,47219.0,46926.3,47696.0,,47792.6,,47611.5,,48415.5,47764.0,46776.0,48001.0,47804.8,47448.7,47412.0,47643.6,48000.0,47749.2,47736.7,47766.1,47763.9,47089.0,,47370.4,47698.7,48959.0,45919.7,47151.0,,47753.5,47456.0,47632.0,47601.0,,46211.4,47585.0,326.7,374.1,13.0,409.9,265.0,427.4,119.0,941.0,-51.0,-279.0,-571.7,198.0,,294.6,,113.5,,917.5,266.0,-722.0,503.0,306.8,-49.3,-86.0,145.6,502.0,251.2,238.7,268.1,265.9,-409.0,,-127.6,200.7,1461.0,-1578.3,-347.0,,255.5,-42.0,134.0,103.0,,-1286.6,87.0,False,True,False,True,False,True,False,True,True,False,True,,True,,True,,False,True,False,False,True,True,True,True,False,True,True,True,True,False,,True,True,False,False,False,,True,True,True,True,,False,True
North Carolina,11212,11434.4,11686.1,11516.2,11510.9,11451.0,11507.0,11378.0,11962.0,11330.0,11499.0,11210.2,11222.0,,11373.7,,11269.5,,11305.4,11585.0,11468.9,11603.0,11587.9,11331.4,11181.0,11328.6,11723.0,11488.7,11523.9,11631.2,11358.4,11940.5,,11584.3,11355.5,11419.0,11786.7,11227.0,,11528.0,11378.0,11539.6,11304.0,,11101.8,11454.0,222.4,474.1,304.2,298.9,239.0,295.0,166.0,750.0,118.0,287.0,-1.8,10.0,,161.7,,57.5,,93.4,373.0,256.9,391.0,375.9,119.4,-31.0,116.6,511.0,276.7,311.9,419.2,146.4,728.5,,372.3,143.5,207.0,574.7,15.0,,316.0,166.0,327.6,92.0,,-110.2,242.0,False,False,False,False,False,True,False,True,False,True,True,,True,,True,,True,False,False,False,False,True,True,True,False,False,False,False,True,False,,False,True,True,False,True,,False,True,False,True,,True,False
North Dakota,1475,1475.9,1480.2,1468.2,1474.8,1478.0,1477.1,1476.0,1601.0,1475.0,1466.0,1484.6,1480.0,,1476.7,,1483.2,,1474.5,1493.0,1580.0,1485.0,1464.4,1477.9,1470.0,1473.5,1511.0,1469.4,1473.5,1479.7,1473.2,1469.0,,,1470.8,1489.0,1476.8,1499.0,,1498.3,1476.0,,1476.0,,1473.1,1476.0,0.9,5.2,-6.8,-0.2,3.0,2.1,1.0,126.0,0.0,-9.0,9.6,5.0,,1.7,,8.2,,-0.5,18.0,105.0,10.0,-10.6,2.9,-5.0,-1.5,36.0,-5.6,-1.5,4.7,-1.8,-6.0,,,-4.2,14.0,1.8,24.0,,23.3,1.0,,1.0,,-1.9,1.0,False,False,True,False,False,False,False,True,False,False,False,,False,,False,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,,,False,False,False,False,,False,False,,False,,False,False
Ohio,18179,16470.1,17389.6,21546.9,25755.9,17798.0,25716.0,17655.0,42540.0,16901.0,20412.0,13372.1,17271.0,,,,17655.0,,12567.6,17273.0,12804.6,17162.0,17391.1,16862.5,18330.0,19717.2,18491.0,20224.9,17149.1,18925.8,16938.4,18050.0,,17127.7,17083.1,17257.0,14840.7,16910.0,,17254.3,17178.0,19765.9,19829.0,,17654.5,1031986.0,-318.9,600.6,4757.9,8966.9,1009.0,8927.0,866.0,25751.0,112.0,3623.0,-3416.9,482.0,,,,866.0,,-4221.4,484.0,-3984.4,373.0,602.1,73.5,1541.0,2928.2,1702.0,3435.9,360.1,2136.8,149.4,1261.0,,338.7,294.1,468.0,-1948.3,121.0,,465.3,389.0,2976.9,3040.0,,865.5,1015197.0,False,False,False,False,False,False,False,True,False,False,False,,,,False,,False,False,False,False,False,True,False,False,False,False,False,False,True,False,,False,True,False,False,True,,False,False,False,False,,False,False
Oklahoma,4379,4415.9,4478.1,4426.5,4467.6,4445.0,4460.0,4405.0,4738.0,4324.0,4305.0,4365.7,4398.0,,4296.5,,4318.8,,4375.4,4500.0,4761.1,4467.0,4461.7,4336.8,4325.0,4338.4,4537.0,4619.0,4418.6,4410.7,4379.7,4521.0,,,4377.6,4301.0,3697.1,4361.0,,4437.7,4314.0,4427.9,4418.0,,4285.6,4420.0,36.9,99.1,47.5,88.6,66.0,81.0,26.0,359.0,-55.0,-74.0,-13.3,19.0,,-82.5,,-60.2,,-3.6,121.0,382.1,88.0,82.7,-42.2,-54.0,-40.6,158.0,240.0,39.6,31.7,0.7,142.0,,,-1.4,-78.0,-681.9,-18.0,,58.7,-65.0,48.9,39.0,,-93.4,41.0,False,False,False,False,False,True,False,False,False,True,True,,False,,False,,True,False,False,False,False,False,False,False,False,False,False,True,True,False,,,True,False,False,True,,False,False,False,False,,False,False
Oregon,2208,2348.7,2207.2,2238.8,2381.1,2365.0,2371.0,2263.0,2543.0,2248.0,2222.0,2156.6,2249.0,,2261.4,,2258.1,,2167.7,2337.5,2365.6,2259.0,2358.6,2270.0,2227.0,2278.4,2358.0,2244.4,2290.5,2266.5,2407.4,2293.0,,,2269.6,2267.0,2315.7,2324.0,,2315.2,2260.0,2259.2,2260.0,,2259.3,2480.0,140.7,-0.8,30.8,173.1,157.0,163.0,55.0,335.0,40.0,14.0,-51.4,41.0,,53.4,,50.1,,-40.3,129.5,157.6,51.0,150.6,62.0,19.0,70.4,150.0,36.4,82.5,58.5,199.4,85.0,,,61.6,59.0,107.7,116.0,,107.2,52.0,51.2,52.0,,51.3,272.0,True,True,False,False,False,True,False,True,True,True,True,,True,,True,,True,True,False,True,False,True,True,True,False,True,True,True,False,True,,,True,True,True,True,,True,True,True,True,,True,False
Pennsylvania,23895,24270.3,24288.5,24055.7,24452.0,24289.0,24423.2,24330.0,25222.0,24278.0,24097.0,23749.7,24474.0,,24666.9,,24103.6,,24312.1,24525.0,25102.2,24369.0,24491.1,24402.5,23797.0,24004.6,24595.0,24107.4,24540.6,24355.3,24060.8,24096.5,,24323.4,24062.5,24632.0,25562.6,24080.0,,24537.1,24188.0,24364.3,24340.0,,24353.1,24223.0,375.3,393.5,160.7,557.0,394.0,528.2,435.0,1327.0,383.0,202.0,-145.3,579.0,,771.9,,208.6,,417.1,630.0,1207.2,474.0,596.1,507.5,-98.0,109.6,700.0,212.4,645.6,460.3,165.8,201.5,,428.4,167.5,737.0,1667.6,185.0,,642.1,293.0,469.3,445.0,,458.1,328.0,False,True,False,False,False,False,False,False,True,True,False,,False,,True,,False,False,False,False,False,False,True,True,False,True,False,False,True,True,,False,True,False,False,True,,False,True,False,False,,False,True
Rhode Island,2502,2434.9,2374.2,2392.0,2440.8,2433.0,2446.0,2397.0,2557.0,2386.0,2415.0,2331.1,2394.0,,2405.9,,2439.9,,2360.1,2444.0,2323.2,2389.0,2354.3,2384.2,2379.0,2379.6,2410.0,2378.5,2427.4,2416.9,2409.8,2356.0,,,2387.6,2417.0,2320.9,2359.0,,2451.1,2389.0,2405.9,2388.0,,2300.6,2443.0,104.9,44.2,62.0,110.8,103.0,116.0,67.0,227.0,56.0,85.0,1.1,64.0,,75.9,,109.9,,30.1,114.0,-6.8,59.0,24.3,54.2,49.0,49.6,80.0,48.5,97.4,86.9,79.8,26.0,,,57.6,87.0,-9.1,29.0,,121.1,59.0,75.9,58.0,,-29.4,113.0,True,True,False,True,False,True,False,True,True,True,True,,True,,False,,True,False,True,True,True,True,True,True,True,True,True,True,True,True,,,True,True,True,True,,False,True,True,True,,True,False
South Carolina,8498,8642.4,9525.3,8725.9,8582.9,8524.0,8511.1,8631.0,9410.0,8586.0,8581.0,8638.1,8539.0,,8526.8,,8816.0,,8504.8,8911.0,9423.7,8756.0,8638.1,8501.8,8809.0,8624.1,8786.0,8932.5,8587.3,8831.0,8600.9,8682.0,,8932.5,8582.4,8679.0,8951.1,8833.0,,8594.8,8692.0,8733.4,8464.0,,8413.8,8756.0,144.4,1027.3,227.9,84.9,26.0,13.1,133.0,912.0,88.0,83.0,140.1,41.0,,28.8,,318.0,,6.8,413.0,925.7,258.0,140.1,3.8,311.0,126.1,288.0,434.5,89.3,333.0,102.9,184.0,,434.5,84.4,181.0,453.1,335.0,,96.8,194.0,235.4,-34.0,,-84.2,258.0,False,False,True,True,True,True,False,True,True,True,True,,True,,False,,True,False,False,False,True,True,False,True,False,False,True,False,True,False,,False,True,False,False,False,,True,False,False,True,,True,False
South Dakota,1886,1909.0,1897.1,1886.6,1903.6,1894.0,1906.0,1898.0,2044.0,1877.0,1908.0,1907.1,1898.0,,1884.0,,1898.1,,1879.9,1919.0,1956.6,1909.0,1899.4,1891.0,1882.0,1882.9,1921.0,1856.6,1890.0,1897.1,1904.6,1880.0,,,1884.1,1875.0,1601.8,1927.0,,1914.8,1901.0,,1881.0,,1918.9,1889.0,23.0,11.1,0.6,17.6,8.0,20.0,12.0,158.0,-9.0,22.0,21.1,12.0,,-2.0,,12.1,,-6.1,33.0,70.6,23.0,13.4,5.0,-4.0,-3.1,35.0,-29.4,4.0,11.1,18.6,-6.0,,,-1.9,-11.0,-284.2,41.0,,28.8,15.0,,-5.0,,32.9,3.0,True,True,True,True,True,True,False,True,True,True,True,,True,,True,,True,False,False,False,True,True,True,True,False,False,True,True,True,True,,,True,True,False,False,,False,True,,True,,False,True
Tennessee,11393,11794.7,12699.1,12154.0,11712.1,11755.0,11780.3,11801.0,12466.0,11627.0,12080.0,11924.6,11628.0,,11492.0,,11801.1,,12004.4,12690.0,11067.7,12241.0,11262.5,11567.3,11826.0,11743.6,11884.0,12519.9,11883.8,12089.3,11646.5,11917.0,,12370.3,11790.3,11450.0,10165.0,11601.0,,11880.5,11667.0,12164.2,11544.0,,11401.6,11736.0,401.7,1306.1,761.0,319.1,362.0,387.3,408.0,1073.0,234.0,687.0,531.6,235.0,,99.0,,408.1,,611.4,1297.0,-325.3,848.0,-130.5,174.3,433.0,350.6,491.0,1126.9,490.8,696.3,253.5,524.0,,977.3,397.3,57.0,-1228.0,208.0,,487.5,274.0,771.2,151.0,,8.6,343.0,False,False,True,True,True,False,False,True,False,False,True,,True,,False,,False,False,True,False,True,True,False,True,False,False,False,False,True,False,,False,True,True,False,True,,False,True,False,True,,True,True
Texas,43519,44896.3,44866.5,44624.3,45191.0,44743.0,45082.7,44573.0,46466.0,44056.0,44720.0,43543.8,45081.0,,43968.0,,44155.3,,43760.1,45366.0,52320.2,44980.0,44323.6,44837.3,44037.0,44527.7,45428.0,46440.6,44654.7,45176.9,44015.6,45043.5,,45700.7,44479.3,44993.0,42759.5,44467.0,,44660.8,43986.0,44542.1,44711.0,,43509.3,44409.0,1377.3,1347.5,1105.3,1672.0,1224.0,1563.7,1054.0,2947.0,537.0,1201.0,24.8,1562.0,,449.0,,636.3,,241.1,1847.0,8801.2,1461.0,804.6,1318.3,518.0,1008.7,1909.0,2921.6,1135.7,1657.9,496.6,1524.5,,2181.7,960.3,1474.0,-759.5,948.0,,1141.8,467.0,1023.1,1192.0,,-9.7,890.0,True,True,False,True,False,True,False,True,True,True,False,,True,,True,,True,False,False,False,True,True,True,True,False,False,True,False,True,False,,False,True,False,True,True,,True,True,True,True,,True,True
Utah,1929,1901.7,1923.7,1867.3,1904.1,1937.0,1904.0,1887.0,2035.0,1849.0,1894.0,1871.4,1904.0,,1859.0,,1883.6,,1868.9,1939.0,2105.2,1934.0,1398.8,1879.6,1867.0,1885.3,1969.0,1912.6,1898.5,1918.8,1887.3,1934.0,,,1884.6,1884.0,1640.0,1931.0,,1922.1,1879.0,,1887.0,,1304.2,1886.0,-27.3,-5.3,-61.7,-24.9,8.0,-25.0,-42.0,106.0,-80.0,-35.0,-57.6,-25.0,,-70.0,,-45.4,,-60.1,10.0,176.2,5.0,-530.2,-49.4,-62.0,-43.7,40.0,-16.4,-30.5,-10.2,-41.7,5.0,,,-44.4,-45.0,-289.0,2.0,,-6.9,-50.0,,-42.0,,-624.8,-43.0,True,False,True,True,True,False,False,False,False,False,True,,False,,False,,False,True,False,True,False,False,False,False,False,True,False,True,False,True,,,False,False,False,True,,True,False,,False,,False,False
Vermont,204,200.1,200.6,201.9,203.2,205.0,203.0,205.0,282.0,204.0,202.0,213.3,212.0,,204.6,,207.4,,209.2,212.0,234.6,207.0,242.6,202.1,202.0,196.4,224.0,196.2,205.3,211.4,199.7,191.0,,,197.5,212.0,231.1,237.0,,230.4,200.0,208.7,201.0,,199.9,201.0,-3.9,-3.4,-2.1,-0.8,1.0,-1.0,1.0,78.0,0.0,-2.0,9.3,8.0,,0.6,,3.4,,5.2,8.0,30.6,3.0,38.6,-1.9,-2.0,-7.6,20.0,-7.8,1.3,7.4,-4.3,-13.0,,,-6.5,8.0,27.1,33.0,,26.4,-4.0,4.7,-3.0,,-4.1,-3.0,True,True,True,True,True,True,False,True,True,False,False,,True,,True,,False,False,False,True,False,True,True,False,False,False,True,False,False,False,,,False,False,False,False,,False,False,False,True,,False,True
Virginia,8382,7446.6,8040.1,7512.6,7457.0,7481.0,7442.3,7487.0,7890.0,7486.0,7465.0,7416.4,7441.0,,7534.4,,7528.9,,7620.4,7852.0,7430.3,7712.0,7840.4,7457.3,7349.0,7395.5,7745.0,7753.1,7487.5,7591.5,7379.6,7652.0,,7600.2,7405.1,7555.0,8416.2,7478.0,,7499.7,7444.0,7501.4,7435.0,,7351.2,7488.0,-935.4,-341.9,-869.4,-925.0,-901.0,-939.7,-895.0,-492.0,-896.0,-917.0,-965.6,-941.0,,-847.6,,-853.1,,-761.6,-530.0,-951.7,-670.0,-541.6,-924.7,-1033.0,-986.5,-637.0,-628.9,-894.5,-790.5,-1002.4,-730.0,,-781.8,-976.9,-827.0,34.2,-904.0,,-882.3,-938.0,-880.6,-947.0,,-1030.8,-894.0,True,True,True,True,False,True,True,True,True,False,False,,True,,True,,True,True,False,True,True,True,False,False,True,True,True,True,False,True,,True,False,True,True,True,,True,False,True,False,,False,True
