,actual_deaths,Baseline,AIpert-pwllnod,BPagano-RtDriven,CEID-Walk,CMU-TimeSeries,COVIDhub-baseline,COVIDhub-ensemble,COVIDhub-trained_ensemble,CU-select,Caltech-CS156,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,FDANIHASU-Sweight,GT-DeepCOVID,GT_CHHS-COVID19,Geneva-DetGrowth,Google_Harvard-CPF,IBF-TimeSeries,IHME-CurveFit,IUPUI-HkPrMobiDyR,IowaStateLW-STEM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MIT_CritData-GBCF,MIT_ISOLAT-Mixtures,MOBS-GLEAM_COVID,Microsoft-DeepSTIA,NotreDame-FRED,OliverWyman-Navigator,PSI-DRAFT,QJHong-Encounter,RPI_UW-Mob_Collision,RobertWalraven-ESG,SigSci-TS,SteveMcConnell-CovidComplete,TTU-squider,UA-EpiCovDA,UCLA-SuEIR,UCM_MESALab-FoGSEIR,UCSD_NEU-DeepGLEAM,UChicagoCHATTOPADHYAY-UnIT,UMass-MechBayes,UMich-RidgeTfReg,USC-SI_kJalpha,UpstateSU-GRU,WalmartLabsML-LogForecasting,epiforecasts-ensemble1,error-Baseline,error-AIpert-pwllnod,error-BPagano-RtDriven,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-baseline,error-COVIDhub-ensemble,error-COVIDhub-trained_ensemble,error-CU-select,error-Caltech-CS156,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-FDANIHASU-Sweight,error-GT-DeepCOVID,error-GT_CHHS-COVID19,error-Geneva-DetGrowth,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IHME-CurveFit,error-IUPUI-HkPrMobiDyR,error-IowaStateLW-STEM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MIT_CritData-GBCF,error-MIT_ISOLAT-Mixtures,error-MOBS-GLEAM_COVID,error-Microsoft-DeepSTIA,error-NotreDame-FRED,error-OliverWyman-Navigator,error-PSI-DRAFT,error-QJHong-Encounter,error-RPI_UW-Mob_Collision,error-RobertWalraven-ESG,error-SigSci-TS,error-SteveMcConnell-CovidComplete,error-TTU-squider,error-UA-EpiCovDA,error-UCLA-SuEIR,error-UCM_MESALab-FoGSEIR,error-UCSD_NEU-DeepGLEAM,error-UChicagoCHATTOPADHYAY-UnIT,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,error-UpstateSU-GRU,error-WalmartLabsML-LogForecasting,error-epiforecasts-ensemble1,beat_baseline-AIpert-pwllnod,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-baseline,beat_baseline-COVIDhub-ensemble,beat_baseline-COVIDhub-trained_ensemble,beat_baseline-CU-select,beat_baseline-Caltech-CS156,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-FDANIHASU-Sweight,beat_baseline-GT-DeepCOVID,beat_baseline-GT_CHHS-COVID19,beat_baseline-Geneva-DetGrowth,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IHME-CurveFit,beat_baseline-IUPUI-HkPrMobiDyR,beat_baseline-IowaStateLW-STEM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MIT_CritData-GBCF,beat_baseline-MIT_ISOLAT-Mixtures,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-Microsoft-DeepSTIA,beat_baseline-NotreDame-FRED,beat_baseline-OliverWyman-Navigator,beat_baseline-PSI-DRAFT,beat_baseline-QJHong-Encounter,beat_baseline-RPI_UW-Mob_Collision,beat_baseline-RobertWalraven-ESG,beat_baseline-SigSci-TS,beat_baseline-SteveMcConnell-CovidComplete,beat_baseline-TTU-squider,beat_baseline-UA-EpiCovDA,beat_baseline-UCLA-SuEIR,beat_baseline-UCM_MESALab-FoGSEIR,beat_baseline-UCSD_NEU-DeepGLEAM,beat_baseline-UChicagoCHATTOPADHYAY-UnIT,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha,beat_baseline-UpstateSU-GRU,beat_baseline-WalmartLabsML-LogForecasting,beat_baseline-epiforecasts-ensemble1
New Mexico,3700,3705.4,3714.5,3692.1,3708.0,3702.0,3704.0,3695.0,3694.0,3686.0,3684.6,3683.0,3652.6,3712.0,3700.9,,3700.5,,3684.2,3699.5,,3696.7,3702.1,3727.0,3682.7,3702.0,3685.6,3684.3,3706.0,3694.6,3681.0,3688.4,3690.9,3694.8,,3693.3,3710.0,,,3674.4,3686.0,3691.0,3633.5,3694.0,3684.8,,3692.6,3686.2,3695.0,3702.7,3697.0,,3711.9,3684.0,5.4,14.5,-7.9,8.0,2.0,4.0,-5.0,-6.0,-14.0,-15.4,-17.0,-47.4,12.0,0.9,,0.5,,-15.8,-0.5,,-3.3,2.1,27.0,-17.3,2.0,-14.4,-15.7,6.0,-5.4,-19.0,-11.6,-9.1,-5.2,,-6.7,10.0,,,-25.6,-14.0,-9.0,-66.5,-6.0,-15.2,,-7.4,-13.8,-5.0,2.7,-3.0,,11.9,-16.0,False,False,False,True,True,True,False,False,False,False,False,False,True,,True,,False,True,,True,True,False,False,True,False,False,False,True,False,False,False,True,,False,False,,,False,False,False,False,False,False,,False,False,True,True,True,,False,False
New York,47498,47607.4,47648.4,47523.3,47645.2,47699.0,47655.0,47503.0,47474.0,47558.0,47527.8,47485.0,46961.8,47547.0,47602.8,,47471.3,,47471.6,47548.3,,47811.9,47402.9,47469.0,47508.6,47606.0,47411.7,47496.0,47455.0,47568.1,47598.0,47557.4,47655.0,47496.9,,47626.4,46985.5,,47359.8,47468.5,48094.0,47493.0,45919.7,47325.0,47648.3,,47648.5,47565.5,47476.0,47519.4,47503.0,,46862.6,47483.0,109.4,150.4,25.3,147.2,201.0,157.0,5.0,-24.0,60.0,29.8,-13.0,-536.2,49.0,104.8,,-26.7,,-26.4,50.3,,313.9,-95.1,-29.0,10.6,108.0,-86.3,-2.0,-43.0,70.1,100.0,59.4,157.0,-1.1,,128.4,-512.5,,-138.2,-29.5,596.0,-5.0,-1578.3,-173.0,150.3,,150.5,67.5,-22.0,21.4,5.0,,-635.4,-15.0,False,True,False,False,False,True,True,True,True,True,False,True,True,,True,,True,True,,False,True,True,True,True,True,True,True,True,True,True,False,True,,False,False,,False,True,False,True,False,False,False,,False,True,True,True,True,,False,True
North Carolina,11212,11298.9,11481.2,11328.7,11372.8,11336.0,11339.0,11281.0,11285.0,11317.0,11301.9,11219.0,11006.7,11240.0,11407.7,,11245.7,,11245.7,11223.5,,11262.7,11291.5,11242.0,11080.5,11334.0,11376.4,11309.1,11237.0,11234.3,11394.0,11345.1,11380.7,11280.7,,11258.7,11351.0,,11318.4,11269.7,11370.0,11323.0,11692.8,11207.0,11299.9,,11375.1,11236.9,11281.0,11342.8,11287.0,,11232.0,11245.0,86.9,269.2,116.7,160.8,124.0,127.0,69.0,73.0,105.0,89.9,7.0,-205.3,28.0,195.7,,33.7,,33.7,11.5,,50.7,79.5,30.0,-131.5,122.0,164.4,97.1,25.0,22.3,182.0,133.1,168.7,68.7,,46.7,139.0,,106.4,57.7,158.0,111.0,480.8,-5.0,87.9,,163.1,24.9,69.0,130.8,75.0,,20.0,33.0,False,False,False,False,False,True,True,False,False,True,False,True,False,,True,,True,True,,True,True,True,False,False,False,False,True,True,False,False,False,True,,True,False,,False,True,False,False,False,True,False,,False,True,True,False,True,,True,True
North Dakota,1475,1474.0,1473.8,1469.8,1474.2,1471.0,1473.0,1473.0,1473.0,1469.0,1472.6,1468.0,1480.5,1475.0,1478.4,,1477.4,,1473.3,1477.0,,1466.2,1478.7,1470.0,1471.0,1474.0,1452.8,1473.4,1473.0,1471.2,1482.0,,1471.9,1472.8,,1475.5,1471.0,,,1474.2,1479.0,1472.0,1495.3,1487.0,1467.9,,1474.7,1477.2,1474.0,1488.9,1471.0,,1456.7,1473.0,-1.0,-1.2,-5.2,-0.8,-4.0,-2.0,-2.0,-2.0,-6.0,-2.4,-7.0,5.5,0.0,3.4,,2.4,,-1.7,2.0,,-8.8,3.7,-5.0,-4.0,-1.0,-22.2,-1.6,-2.0,-3.8,7.0,,-3.1,-2.2,,0.5,-4.0,,,-0.8,4.0,-3.0,20.3,12.0,-7.1,,-0.3,2.2,-1.0,13.9,-4.0,,-18.3,-2.0,False,False,True,False,False,False,False,False,False,False,False,True,False,,False,,False,False,,False,False,False,False,False,False,False,False,False,False,,False,False,,True,False,,,True,False,False,False,False,False,,True,False,False,False,False,,False,False
Ohio,18179,16895.7,16863.1,16839.0,16785.9,17046.0,16785.0,16888.0,16864.0,16868.0,17395.4,16820.0,16895.2,16939.0,16974.6,,16933.1,,17149.1,17033.8,,17180.4,17021.6,17031.0,16933.4,16860.0,,16881.5,16870.0,16979.6,16948.0,16917.9,16925.3,16857.5,17120.0,16842.4,16813.0,,16858.1,16834.6,,16787.0,14840.7,17104.0,17605.1,,16914.5,16874.2,16880.0,16802.8,16839.0,,17071.2,16930.0,-60.3,-92.9,-117.0,-170.1,90.0,-171.0,-68.0,-92.0,-88.0,439.4,-136.0,-60.8,-17.0,18.6,,-22.9,,193.1,77.8,,224.4,65.6,75.0,-22.6,-96.0,,-74.5,-86.0,23.6,-8.0,-38.1,-30.7,-98.5,164.0,-113.6,-143.0,,-97.9,-121.4,,-169.0,-2115.3,148.0,649.1,,-41.5,-81.8,-76.0,-153.2,-117.0,,115.2,-26.0,False,False,False,False,False,False,False,False,False,False,False,True,True,,True,,False,False,,False,False,False,True,False,,False,False,True,True,True,True,False,False,False,False,,False,False,,False,False,False,False,,True,False,False,False,False,,False,True
Oklahoma,4379,4315.6,4292.2,4318.6,4314.1,4321.0,4316.0,4310.0,4304.0,4309.0,4313.4,4313.0,4263.2,4361.0,4342.3,,4306.3,,4327.0,4279.3,,4313.8,4310.9,4282.0,4494.8,4318.0,4357.4,4303.2,4278.0,4288.3,4343.0,4359.8,4338.4,4289.0,,4283.2,4411.0,,,4279.4,4303.0,4298.0,3697.7,4333.0,4306.6,,4337.1,4292.1,4289.0,4326.2,4311.0,,4306.8,4296.0,-63.4,-86.8,-60.4,-64.9,-58.0,-63.0,-69.0,-75.0,-70.0,-65.6,-66.0,-115.8,-18.0,-36.7,,-72.7,,-52.0,-99.7,,-65.2,-68.1,-97.0,115.8,-61.0,-21.6,-75.8,-101.0,-90.7,-36.0,-19.2,-40.6,-90.0,,-95.8,32.0,,,-99.6,-76.0,-81.0,-681.3,-46.0,-72.4,,-41.9,-86.9,-90.0,-52.8,-68.0,,-72.2,-83.0,False,True,False,True,True,False,False,False,False,False,False,True,True,,False,,True,False,,False,False,False,False,True,True,False,False,False,True,True,True,False,,False,True,,,False,False,False,False,True,False,,True,False,False,True,False,,False,False
Oregon,2208,2170.4,2217.7,2187.6,2163.6,2207.0,2171.0,2204.0,2195.0,2200.0,2208.7,2207.0,2198.9,2203.0,2210.2,,2218.1,,2155.2,2215.1,,2280.7,2191.7,2252.0,2310.3,2233.0,2247.9,2207.1,2176.0,2182.4,2221.0,2189.6,2171.5,2195.5,,2172.7,2228.0,,,2196.1,2215.0,2195.0,2315.7,2229.0,2265.3,,2170.4,2189.1,2193.0,2199.2,2180.0,,2209.1,2198.0,-37.6,9.7,-20.4,-44.4,-1.0,-37.0,-4.0,-13.0,-8.0,0.7,-1.0,-9.1,-5.0,2.2,,10.1,,-52.8,7.1,,72.7,-16.3,44.0,102.3,25.0,39.9,-0.9,-32.0,-25.6,13.0,-18.4,-36.5,-12.5,,-35.3,20.0,,,-11.9,7.0,-13.0,107.7,21.0,57.3,,-37.6,-18.9,-15.0,-8.8,-28.0,,1.1,-10.0,True,True,False,True,True,True,True,True,True,True,True,True,True,,True,,False,True,,False,True,False,False,True,False,True,True,True,True,True,True,True,,True,True,,,True,True,True,False,True,False,,True,True,True,True,True,,True,True
Pennsylvania,23895,23993.6,24035.3,23938.6,24025.9,24052.0,24037.0,24002.0,24004.0,24082.0,24041.4,23872.0,23578.5,24017.0,24071.7,,23969.2,,23896.8,23948.0,,23858.1,23976.0,23956.0,24103.0,24022.0,24158.4,24052.7,23894.0,23920.4,23966.0,23977.3,24084.5,23998.0,,23939.3,24141.0,,24118.8,23879.7,24204.0,23964.0,25562.6,23918.0,24015.5,,24077.4,23913.7,23997.0,24058.8,24039.0,,24159.2,24019.0,98.6,140.3,43.6,130.9,157.0,142.0,107.0,109.0,187.0,146.4,-23.0,-316.5,122.0,176.7,,74.2,,1.8,53.0,,-36.9,81.0,61.0,208.0,127.0,263.4,157.7,-1.0,25.4,71.0,82.3,189.5,103.0,,44.3,246.0,,223.8,-15.3,309.0,69.0,1667.6,23.0,120.5,,182.4,18.7,102.0,163.8,144.0,,264.2,124.0,False,True,False,False,False,False,False,False,False,True,False,False,False,,True,,True,True,,True,True,True,False,False,False,False,True,True,True,True,False,False,,True,False,,False,True,False,True,False,True,False,,False,True,False,False,False,,False,False
Rhode Island,2502,2449.7,2431.7,2429.9,2463.1,2457.0,2462.0,2430.0,2426.0,2425.0,2428.6,2429.0,2382.8,2421.0,2521.2,,2438.1,,2464.2,2451.9,,2457.0,2446.3,2440.0,2382.6,2457.0,2369.6,2414.6,2430.0,2424.2,2423.0,2431.9,2455.3,2442.7,,2443.0,2416.0,,,2434.4,2435.0,2413.0,2320.9,2405.0,2411.7,,2459.3,2446.6,2422.0,,2422.0,,2359.1,2422.0,59.7,41.7,39.9,73.1,67.0,72.0,40.0,36.0,35.0,38.6,39.0,-7.2,31.0,131.2,,48.1,,74.2,61.9,,67.0,56.3,50.0,-7.4,67.0,-20.4,24.6,40.0,34.2,33.0,41.9,65.3,52.7,,53.0,26.0,,,44.4,45.0,23.0,-69.1,15.0,21.7,,69.3,56.6,32.0,,32.0,,-30.9,32.0,True,True,False,False,False,True,True,True,True,True,True,True,False,,True,,False,False,,False,True,True,True,False,True,True,True,True,True,True,False,True,,True,True,,,True,True,True,False,True,True,,False,True,True,,True,,True,True
South Carolina,8498,8603.4,8516.4,8547.1,8594.2,8573.0,8601.0,8580.0,8606.0,8591.0,8547.7,8588.0,8298.4,8599.0,8691.4,,8508.7,,8698.9,8558.9,,8552.4,8588.6,8611.0,9333.9,8623.0,8595.2,8586.0,8565.0,8558.2,8559.0,8635.0,8613.9,8542.8,,8573.2,8754.5,,8541.6,8490.3,8616.0,8556.0,8951.1,8624.0,8607.1,,8612.7,8561.1,8610.0,8636.4,8542.0,,8535.4,8632.0,105.4,18.4,49.1,96.2,75.0,103.0,82.0,108.0,93.0,49.7,90.0,-199.6,101.0,193.4,,10.7,,200.9,60.9,,54.4,90.6,113.0,835.9,125.0,97.2,88.0,67.0,60.2,61.0,137.0,115.9,44.8,,75.2,256.5,,43.6,-7.7,118.0,58.0,453.1,126.0,109.1,,114.7,63.1,112.0,138.4,44.0,,37.4,134.0,True,True,True,True,True,True,False,True,True,True,False,True,False,,True,,False,True,,True,True,False,False,False,True,True,True,True,True,False,False,True,,True,False,,True,True,False,True,False,False,False,,False,True,False,False,True,,True,False
South Dakota,1886,1879.3,1884.7,1874.0,1884.5,1880.0,1880.0,1883.0,1881.0,1877.0,1871.3,1885.0,1889.0,1885.0,1888.6,,1886.4,,1874.3,1881.2,,1883.9,1888.7,1876.0,1917.5,1883.0,1886.2,1882.9,1880.0,1875.8,1876.0,1884.9,1878.9,1876.1,,1878.5,1878.0,,,1875.1,1877.0,1877.0,1902.1,1911.0,1877.3,,1881.5,1876.6,1884.0,,1883.0,,1895.5,1883.0,-6.7,-1.3,-12.0,-1.5,-6.0,-6.0,-3.0,-5.0,-9.0,-14.7,-1.0,3.0,-1.0,2.6,,0.4,,-11.7,-4.8,,-2.1,2.7,-10.0,31.5,-3.0,0.2,-3.1,-6.0,-10.2,-10.0,-1.1,-7.1,-9.9,,-7.5,-8.0,,,-10.9,-9.0,-9.0,16.1,25.0,-8.7,,-4.5,-9.4,-2.0,,-3.0,,9.5,-3.0,True,False,True,True,True,True,True,False,False,True,True,True,True,,True,,False,True,,True,True,False,False,True,True,True,True,False,False,True,False,False,,False,False,,,False,False,False,False,False,False,,True,False,True,,True,,False,True
Tennessee,11393,11304.4,,11415.2,11418.2,11273.0,11328.0,11416.0,11339.0,11524.0,11444.5,11512.0,11374.2,11462.0,11486.2,,11238.8,,11166.3,11362.6,,11560.7,11251.0,11349.0,11607.8,11380.0,11152.1,11357.8,11235.0,11277.2,11463.0,11330.0,11343.4,11324.4,,11294.6,11428.0,,11516.1,11328.8,11378.0,11497.0,10165.0,11301.0,11328.4,,11330.5,11331.9,11349.0,11549.7,11349.0,,11230.8,11419.0,-88.6,,22.2,25.2,-120.0,-65.0,23.0,-54.0,131.0,51.5,119.0,-18.8,69.0,93.2,,-154.2,,-226.7,-30.4,,167.7,-142.0,-44.0,214.8,-13.0,-240.9,-35.2,-158.0,-115.8,70.0,-63.0,-49.6,-68.6,,-98.4,35.0,,123.1,-64.2,-15.0,104.0,-1228.0,-92.0,-64.6,,-62.5,-61.1,-44.0,156.7,-44.0,,-162.2,26.0,,True,True,False,True,True,True,False,True,False,True,True,False,,False,,False,True,,False,False,True,False,True,False,True,False,False,True,True,True,True,,False,True,,False,True,True,False,False,False,True,,True,True,True,False,True,,False,True
Texas,43519,42924.0,43664.4,43239.8,42821.4,42952.0,42933.0,43191.0,43301.0,43140.0,43173.9,42862.0,42617.6,43834.0,43964.2,,42868.1,,42144.4,43292.6,,43523.6,43048.9,42938.0,43630.9,43716.0,43336.3,43734.8,42954.0,42918.8,43480.0,42958.7,43454.7,43153.3,,43191.0,43783.0,,43846.2,43006.2,,43042.0,43040.9,42846.0,42828.9,,43433.8,42844.2,43032.0,43177.4,43062.0,,43224.6,42901.0,-595.0,145.4,-279.2,-697.6,-567.0,-586.0,-328.0,-218.0,-379.0,-345.1,-657.0,-901.4,315.0,445.2,,-650.9,,-1374.6,-226.4,,4.6,-470.1,-581.0,111.9,197.0,-182.7,215.8,-565.0,-600.2,-39.0,-560.3,-64.3,-365.7,,-328.0,264.0,,327.2,-512.8,,-477.0,-478.1,-673.0,-690.1,,-85.2,-674.8,-487.0,-341.6,-457.0,,-294.4,-618.0,True,True,False,True,True,True,True,True,True,False,False,True,True,,False,,False,True,,True,True,True,True,True,True,True,True,False,True,True,True,True,,True,True,,True,True,,True,True,False,False,,True,False,True,True,True,,True,False
Utah,1929,1901.7,1900.5,1876.3,1893.6,1892.0,1894.0,1886.0,1870.0,1875.0,1889.3,1878.0,1848.5,1899.0,1900.9,,1876.6,,1893.7,1889.2,,1868.8,1903.9,1873.0,1879.4,1893.0,1346.6,1882.9,1912.0,1895.6,1927.0,,1898.7,1876.4,,1893.9,1884.0,,,1880.8,1885.0,1883.0,1640.0,1895.0,1896.7,,1900.4,1879.6,1890.0,1888.0,1879.0,,1309.3,1888.0,-27.3,-28.5,-52.7,-35.4,-37.0,-35.0,-43.0,-59.0,-54.0,-39.7,-51.0,-80.5,-30.0,-28.1,,-52.4,,-35.3,-39.8,,-60.2,-25.1,-56.0,-49.6,-36.0,-582.4,-46.1,-17.0,-33.4,-2.0,,-30.3,-52.6,,-35.1,-45.0,,,-48.2,-44.0,-46.0,-289.0,-34.0,-32.3,,-28.6,-49.4,-39.0,-41.0,-50.0,,-619.7,-41.0,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,False,,False,True,False,False,False,False,False,True,False,True,,False,False,,False,False,,,False,False,False,False,False,False,,False,False,False,False,False,,False,False
Vermont,204,203.9,201.2,201.1,203.3,200.0,203.0,203.0,202.0,204.0,207.7,202.0,216.3,209.0,199.8,,203.1,,204.4,203.3,,201.9,203.7,201.0,250.9,203.0,,202.6,202.0,201.1,204.0,201.2,203.0,202.8,,202.6,197.0,,,202.9,207.0,204.0,231.2,220.0,202.3,,206.2,202.9,203.0,205.1,201.0,,202.5,203.0,-0.1,-2.8,-2.9,-0.7,-4.0,-1.0,-1.0,-2.0,0.0,3.7,-2.0,12.3,5.0,-4.2,,-0.9,,0.4,-0.7,,-2.1,-0.3,-3.0,46.9,-1.0,,-1.4,-2.0,-2.9,0.0,-2.8,-1.0,-1.2,,-1.4,-7.0,,,-1.1,3.0,0.0,27.2,16.0,-1.7,,2.2,-1.1,-1.0,1.1,-3.0,,-1.5,-1.0,False,False,False,False,False,False,False,True,False,False,False,False,False,,False,,False,False,,False,False,False,False,False,,False,False,False,True,False,False,False,,False,False,,,False,False,True,False,False,False,,False,False,False,False,False,,False,False
Virginia,8382,7604.4,7727.7,7396.2,7406.9,7326.0,7398.0,7407.0,7458.0,7414.0,7397.9,7357.0,7198.3,7484.0,7644.4,,7422.0,,7436.7,7494.5,,7233.8,7604.7,7394.0,7413.9,7383.0,,7393.8,7430.0,7531.9,7411.0,7403.5,7425.0,7447.5,,7486.7,7379.0,,7384.6,7381.0,7434.0,7402.0,8416.2,7534.0,7535.2,,7427.7,7397.7,7525.0,7401.7,7320.0,,7502.9,7355.0,-777.6,-654.3,-985.8,-975.1,-1056.0,-984.0,-975.0,-924.0,-968.0,-984.1,-1025.0,-1183.7,-898.0,-737.6,,-960.0,,-945.3,-887.5,,-1148.2,-777.3,-988.0,-968.1,-999.0,,-988.2,-952.0,-850.1,-971.0,-978.5,-957.0,-934.5,,-895.3,-1003.0,,-997.4,-1001.0,-948.0,-980.0,34.2,-848.0,-846.8,,-954.3,-984.3,-857.0,-980.3,-1062.0,,-879.1,-1027.0,True,False,False,False,False,False,False,False,False,False,False,False,True,,False,,False,False,,False,True,False,False,False,,False,False,False,False,False,False,False,,False,False,,False,False,False,False,True,False,False,,False,False,False,False,False,,False,False
Washington,4956,4948.0,4957.2,4940.7,4970.2,4974.0,4969.0,4959.0,4950.0,4954.0,4957.4,4929.0,4860.5,4942.0,4978.5,,4981.9,,5016.8,4986.6,,5011.8,4942.1,4984.0,4896.2,4968.0,4977.6,4934.9,4912.0,4926.9,4964.0,,4979.4,4962.2,,4945.6,4994.0,,4934.6,4940.0,4935.0,4959.0,4965.5,4969.0,4957.3,,4975.4,4938.6,4950.0,4973.0,4943.0,,4929.2,4933.0,-8.0,1.2,-15.3,14.2,18.0,13.0,3.0,-6.0,-2.0,1.4,-27.0,-95.5,-14.0,22.5,,25.9,,60.8,30.6,,55.8,-13.9,28.0,-59.8,12.0,21.6,-21.1,-44.0,-29.1,8.0,,23.4,6.2,,-10.4,38.0,,-21.4,-16.0,-21.0,3.0,9.5,13.0,1.3,,19.4,-17.4,-6.0,17.0,-13.0,,-26.8,-23.0,True,False,False,False,False,True,True,True,True,False,False,False,False,,False,,False,False,,False,False,False,False,False,False,False,False,False,False,,False,True,,False,False,,False,False,False,True,False,False,True,,False,False,True,False,False,,False,False
West Virginia,2297,2304.7,2317.8,2305.8,2303.7,2302.0,2307.0,2303.0,2301.0,2319.0,2306.3,2297.0,2286.6,2299.0,2325.9,,2299.3,,2289.7,2306.9,,2303.4,2305.2,2310.0,2285.9,2310.0,,2305.8,2296.0,2293.7,2294.0,2312.4,2308.1,2299.4,,2294.9,2308.0,,,2295.8,2322.0,2307.0,2804.9,2297.0,2315.6,,2309.5,2300.5,2302.0,2305.9,2297.0,,2325.5,2301.0,7.7,20.8,8.8,6.7,5.0,10.0,6.0,4.0,22.0,9.3,0.0,-10.4,2.0,28.9,,2.3,,-7.3,9.9,,6.4,8.2,13.0,-11.1,13.0,,8.8,-1.0,-3.3,-3.0,15.4,11.1,2.4,,-2.1,11.0,,,-1.2,25.0,10.0,507.9,0.0,18.6,,12.5,3.5,5.0,8.9,0.0,,28.5,4.0,False,False,True,True,False,True,True,False,False,True,False,True,False,,True,,True,False,,True,False,False,False,False,,False,True,True,True,False,False,True,,True,False,,,True,False,False,False,True,False,,False,True,True,False,True,,False,True
Wisconsin,7014,6979.0,7030.5,6958.5,6997.0,6986.0,6998.0,6972.0,6973.0,6981.0,6976.7,6960.0,6925.8,6998.0,6999.2,,7029.3,,6998.2,6970.6,,6932.2,6981.7,6991.0,7342.6,6990.0,7024.9,6966.7,6938.0,6955.2,6962.0,6984.2,7003.0,6958.6,6934.0,6977.3,7019.0,,6986.0,6954.7,6986.0,6966.0,7146.9,6972.0,6996.7,,7004.3,6966.3,6947.0,6980.7,6971.0,,7015.6,6963.0,-35.0,16.5,-55.5,-17.0,-28.0,-16.0,-42.0,-41.0,-33.0,-37.3,-54.0,-88.2,-16.0,-14.8,,15.3,,-15.8,-43.4,,-81.8,-32.3,-23.0,328.6,-24.0,10.9,-47.3,-76.0,-58.8,-52.0,-29.8,-11.0,-55.4,-80.0,-36.7,5.0,,-28.0,-59.3,-28.0,-48.0,132.9,-42.0,-17.3,,-9.7,-47.7,-67.0,-33.3,-43.0,,1.6,-51.0,True,False,True,True,True,False,False,True,False,False,False,True,True,,True,,True,False,,False,True,True,False,True,True,False,False,False,False,True,True,False,False,False,True,,True,False,True,False,False,False,True,,True,False,False,True,False,,True,False
Wyoming,671,674.9,681.4,666.0,678.2,677.0,677.0,676.0,676.0,675.0,674.1,672.0,671.4,684.0,675.6,,672.6,,667.6,669.9,,680.9,673.2,676.0,670.6,677.0,676.6,677.7,685.0,668.0,681.0,,677.6,676.2,,676.5,676.0,,,673.7,674.0,677.0,705.9,685.0,664.4,,679.8,674.5,674.0,,668.0,,679.7,668.0,3.9,10.4,-5.0,7.2,6.0,6.0,5.0,5.0,4.0,3.1,1.0,0.4,13.0,4.6,,1.6,,-3.4,-1.1,,9.9,2.2,5.0,-0.4,6.0,5.6,6.7,14.0,-3.0,10.0,,6.6,5.2,,5.5,5.0,,,2.7,3.0,6.0,34.9,14.0,-6.6,,8.8,3.5,3.0,,-3.0,,8.7,-3.0,False,False,False,False,False,False,False,False,True,True,True,False,False,,True,,True,True,,False,True,False,True,False,False,False,False,True,False,,False,False,,False,False,,,True,True,False,False,False,False,,False,True,True,,True,,False,True
US,512938,510130.7,500845.8,510005.7,510454.8,,510601.0,509651.0,509877.0,509357.0,509440.5,509661.0,500362.6,511056.0,514645.2,510490.1,507803.4,,507616.2,,511939.0,507013.1,507747.6,509372.0,506751.4,511319.0,505902.8,509578.2,509056.0,509275.4,510788.0,512066.2,511016.0,509153.6,,509991.7,510815.5,510828.5,511317.8,508411.8,511011.0,509115.0,506593.9,509195.0,507771.0,510752.0,510977.5,508151.0,508828.0,509729.4,509639.0,509945.5,510464.8,508930.0,-1472.3,-10757.2,-1597.3,-1148.2,,-1002.0,-1952.0,-1726.0,-2246.0,-2162.5,-1942.0,-11240.4,-547.0,3042.2,-1112.9,-3799.6,,-3986.8,,336.0,-4589.9,-3855.4,-2231.0,-4851.6,-284.0,-5700.2,-2024.8,-2547.0,-2327.6,-815.0,463.2,-587.0,-2449.4,,-1611.3,-787.5,-774.5,-285.2,-3191.2,-592.0,-2488.0,-5009.1,-2408.0,-3832.0,-851.0,-625.5,-3452.0,-2775.0,-1873.6,-1964.0,-1657.5,-1138.2,-2673.0,False,False,True,,True,False,False,False,False,False,False,True,False,True,False,,False,,True,False,False,False,False,True,False,False,False,False,True,True,True,False,,False,True,True,True,False,True,False,False,False,False,True,True,False,False,False,False,False,True,False
