,actual_deaths,Baseline,AIpert-pwllnod,BPagano-RtDriven,CEID-Walk,CMU-TimeSeries,COVIDhub-baseline,COVIDhub-ensemble,COVIDhub-trained_ensemble,CU-select,Caltech-CS156,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,FDANIHASU-Sweight,GT-DeepCOVID,GT_CHHS-COVID19,Google_Harvard-CPF,IBF-TimeSeries,IHME-CurveFit,IowaStateLW-STEM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MIT_CritData-GBCF,MIT_ISOLAT-Mixtures,MOBS-GLEAM_COVID,Microsoft-DeepSTIA,OliverWyman-Navigator,PSI-DRAFT,QJHong-Encounter,RPI_UW-Mob_Collision,RobertWalraven-ESG,SigSci-TS,SteveMcConnell-CovidComplete,TTU-squider,UA-EpiCovDA,UCLA-SuEIR,UCM_MESALab-FoGSEIR,UCSD_NEU-DeepGLEAM,UMass-MechBayes,UMich-RidgeTfReg,USC-SI_kJalpha,UpstateSU-GRU,WalmartLabsML-LogForecasting,epiforecasts-ensemble1,error-Baseline,error-AIpert-pwllnod,error-BPagano-RtDriven,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-baseline,error-COVIDhub-ensemble,error-COVIDhub-trained_ensemble,error-CU-select,error-Caltech-CS156,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-FDANIHASU-Sweight,error-GT-DeepCOVID,error-GT_CHHS-COVID19,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IHME-CurveFit,error-IowaStateLW-STEM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MIT_CritData-GBCF,error-MIT_ISOLAT-Mixtures,error-MOBS-GLEAM_COVID,error-Microsoft-DeepSTIA,error-OliverWyman-Navigator,error-PSI-DRAFT,error-QJHong-Encounter,error-RPI_UW-Mob_Collision,error-RobertWalraven-ESG,error-SigSci-TS,error-SteveMcConnell-CovidComplete,error-TTU-squider,error-UA-EpiCovDA,error-UCLA-SuEIR,error-UCM_MESALab-FoGSEIR,error-UCSD_NEU-DeepGLEAM,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,error-UpstateSU-GRU,error-WalmartLabsML-LogForecasting,error-epiforecasts-ensemble1,beat_baseline-AIpert-pwllnod,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-baseline,beat_baseline-COVIDhub-ensemble,beat_baseline-COVIDhub-trained_ensemble,beat_baseline-CU-select,beat_baseline-Caltech-CS156,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-FDANIHASU-Sweight,beat_baseline-GT-DeepCOVID,beat_baseline-GT_CHHS-COVID19,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MIT_CritData-GBCF,beat_baseline-MIT_ISOLAT-Mixtures,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-Microsoft-DeepSTIA,beat_baseline-OliverWyman-Navigator,beat_baseline-PSI-DRAFT,beat_baseline-QJHong-Encounter,beat_baseline-RPI_UW-Mob_Collision,beat_baseline-RobertWalraven-ESG,beat_baseline-SigSci-TS,beat_baseline-SteveMcConnell-CovidComplete,beat_baseline-TTU-squider,beat_baseline-UA-EpiCovDA,beat_baseline-UCLA-SuEIR,beat_baseline-UCM_MESALab-FoGSEIR,beat_baseline-UCSD_NEU-DeepGLEAM,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha,beat_baseline-UpstateSU-GRU,beat_baseline-WalmartLabsML-LogForecasting,beat_baseline-epiforecasts-ensemble1
North Carolina,11212,11834.4,11725.4,11758.2,11878.2,11562.0,11843.0,11648.0,11510.0,11313.0,11676.8,11954.0,11192.9,11182.0,11666.3,,11472.1,,11280.4,,11167.5,11896.0,11195.4,11788.0,11710.3,11448.5,11423.0,11689.8,11745.0,11969.4,11732.8,11921.7,11665.8,12238.5,,11765.8,11581.0,,11648.0,11909.2,11496.0,11493.0,,11744.1,11618.0,11888.6,11400.0,,10845.0,11836.0,622.4,513.4,546.2,666.2,350.0,631.0,436.0,298.0,101.0,464.8,742.0,-19.1,-30.0,454.3,,260.1,,68.4,,-44.5,684.0,-16.6,576.0,498.3,236.5,211.0,477.8,533.0,757.4,520.8,709.7,453.8,1026.5,,553.8,369.0,,436.0,697.2,284.0,281.0,,532.1,406.0,676.6,188.0,,-367.0,624.0,True,True,False,True,False,True,True,True,True,False,True,True,True,,True,,True,,True,False,True,True,True,True,True,True,True,False,True,False,True,False,,True,True,,True,False,True,True,,True,True,False,True,,True,False
North Dakota,1475,1470.1,1495.8,1463.3,1467.1,1496.0,1473.7,1482.0,1478.0,1458.0,1483.8,1489.0,1486.5,1488.0,1511.8,,1470.3,,1486.1,,1482.8,1517.0,1618.1,1494.0,1486.6,1482.4,1457.0,1478.7,1502.0,1469.6,1465.6,1498.8,1471.6,1481.0,,,1473.1,1500.0,1491.0,1557.6,1471.0,1460.0,,1504.9,1480.0,1507.5,1472.0,,1496.4,1498.0,-4.9,20.8,-11.7,-7.9,21.0,-1.3,7.0,3.0,-17.0,8.8,14.0,11.5,13.0,36.8,,-4.7,,11.1,,7.8,42.0,143.1,19.0,11.6,7.4,-18.0,3.7,27.0,-5.4,-9.4,23.8,-3.4,6.0,,,-1.9,25.0,16.0,82.6,-4.0,-15.0,,29.9,5.0,32.5,-3.0,,21.4,23.0,False,False,False,False,True,False,True,False,False,False,False,False,False,,True,,False,,False,False,False,False,False,False,False,True,False,False,False,False,True,False,,,True,False,False,False,True,False,,False,False,False,True,,False,False
Ohio,18179,13041.9,13241.3,12801.9,13297.1,12924.0,13245.1,12823.0,12664.0,12399.0,12843.6,12857.0,12265.9,12694.0,13430.2,,12835.6,,12489.4,,12443.4,12902.0,13179.3,12940.0,13323.5,12496.0,12522.5,12787.1,13040.0,13093.5,12921.2,13085.5,12924.4,13256.5,,12864.2,12672.2,12690.0,12899.0,15064.6,12457.0,13492.6,,12953.3,12644.0,12769.7,12622.0,,12551.1,13036.0,680.9,880.3,440.9,936.1,563.0,884.1,462.0,303.0,38.0,482.6,496.0,-95.1,333.0,1069.2,,474.6,,128.4,,82.4,541.0,818.3,579.0,962.5,135.0,161.5,426.1,679.0,732.5,560.2,724.5,563.4,895.5,,503.2,311.2,329.0,538.0,2703.6,96.0,1131.6,,592.3,283.0,408.7,261.0,,190.1,675.0,False,True,False,True,False,True,True,True,True,True,True,True,False,,True,,True,,True,True,False,True,False,True,True,True,True,False,True,False,True,False,,True,True,True,True,False,True,False,,True,True,True,True,,True,True
Oklahoma,4379,4573.0,4846.9,4473.1,4574.8,4372.0,4532.0,4468.0,4370.0,4096.0,4455.8,4457.0,4183.6,4402.0,4443.7,,4313.3,,4231.0,,4297.5,4469.0,4852.0,4517.0,4553.8,4333.7,4519.0,4482.9,4537.0,4725.8,4458.9,4481.6,4480.3,4555.0,,,4466.4,4235.0,4411.0,3534.1,4370.0,4465.8,,4497.8,4348.0,4500.9,4383.0,,4185.2,4552.0,194.0,467.9,94.1,195.8,-7.0,153.0,89.0,-9.0,-283.0,76.8,78.0,-195.4,23.0,64.7,,-65.7,,-148.0,,-81.5,90.0,473.0,138.0,174.8,-45.3,140.0,103.9,158.0,346.8,79.9,102.6,101.3,176.0,,,87.4,-144.0,32.0,-844.9,-9.0,86.8,,118.8,-31.0,121.9,4.0,,-193.8,173.0,False,True,False,True,True,True,True,False,True,True,False,True,True,,True,,True,,True,True,False,True,True,True,True,True,True,False,True,True,True,True,,,True,True,True,False,True,True,,True,True,True,True,,True,True
Oregon,2208,2211.6,2130.3,2182.6,2185.3,2196.0,2209.0,2205.0,2202.0,2183.0,2255.0,2223.0,2163.5,2223.0,2255.0,,2191.3,,2195.7,,2203.0,2395.0,2284.4,2200.0,2397.4,2209.0,2106.0,2163.7,2272.0,,2206.7,2240.6,2186.9,2153.0,,,2160.4,2218.0,2227.0,2459.3,2248.0,2236.8,,2243.2,2201.0,2234.4,2190.0,,2190.9,2254.0,3.6,-77.7,-25.4,-22.7,-12.0,1.0,-3.0,-6.0,-25.0,47.0,15.0,-44.5,15.0,47.0,,-16.7,,-12.3,,-5.0,187.0,76.4,-8.0,189.4,1.0,-102.0,-44.3,64.0,,-1.3,32.6,-21.1,-55.0,,,-47.6,10.0,19.0,251.3,40.0,28.8,,35.2,-7.0,26.4,-18.0,,-17.1,46.0,False,False,False,False,True,True,False,False,False,False,False,False,False,,False,,False,,False,False,False,False,False,True,False,False,False,,True,False,False,False,,,False,False,False,False,False,False,,False,False,False,False,,False,False
Pennsylvania,23895,24698.9,24501.4,24745.2,24630.7,24832.0,24726.4,24631.0,24430.0,24692.0,24527.1,24823.0,24561.2,25159.0,26131.6,,23844.0,,24263.7,,24777.9,24393.0,25243.3,24496.0,24568.2,24827.6,23895.0,24222.1,24796.0,24243.5,24747.1,25189.2,24290.0,24983.0,,24594.2,24098.0,,24407.0,25555.9,24311.0,24370.9,,24744.9,24394.0,24875.6,24357.0,,24410.3,24678.0,803.9,606.4,850.2,735.7,937.0,831.4,736.0,535.0,797.0,632.1,928.0,666.2,1264.0,2236.6,,-51.0,,368.7,,882.9,498.0,1348.3,601.0,673.2,932.6,0.0,327.1,901.0,348.5,852.1,1294.2,395.0,1088.0,,699.2,203.0,,512.0,1660.9,416.0,475.9,,849.9,499.0,980.6,462.0,,515.3,783.0,True,False,True,False,False,True,True,True,True,False,True,False,False,,True,,True,,False,True,False,True,True,False,True,True,False,True,False,False,True,False,,True,True,,True,False,True,True,,False,True,False,True,,True,True
Rhode Island,2502,2377.7,2335.8,2359.2,2373.8,2358.0,2386.0,2386.0,2365.0,2447.0,2385.8,2440.0,2336.8,2402.0,2702.0,,2409.5,,2440.9,,2364.9,2437.0,2317.0,2367.0,2347.3,2364.1,2327.0,2325.1,2395.0,2218.8,2400.6,2435.0,2332.7,2354.0,,,2328.3,2413.0,2387.0,2285.0,2255.0,2336.7,,2436.1,2370.0,2407.5,2340.0,,2265.7,2424.0,75.7,33.8,57.2,71.8,56.0,84.0,84.0,63.0,145.0,83.8,138.0,34.8,100.0,400.0,,107.5,,138.9,,62.9,135.0,15.0,65.0,45.3,62.1,25.0,23.1,93.0,-83.2,98.6,133.0,30.7,52.0,,,26.3,111.0,85.0,-17.0,-47.0,34.7,,134.1,68.0,105.5,38.0,,-36.3,122.0,True,True,True,True,False,False,True,False,False,False,True,False,False,,False,,False,,True,False,True,True,True,True,True,True,False,False,False,False,True,True,,,True,False,False,True,True,True,,False,True,False,True,,True,False
South Carolina,8498,9391.0,10003.1,9108.6,9401.5,9486.0,9401.9,9038.0,8857.0,8583.0,8885.6,9219.0,8512.2,8545.0,8781.4,,9055.1,,9018.5,,8391.4,9535.0,8151.7,9629.0,8694.5,8725.1,8702.0,9058.4,9091.0,9824.8,9256.9,9191.0,9024.3,9398.5,,9626.2,8829.4,8942.0,8798.0,9344.5,8991.0,9145.7,,9342.5,8811.0,9187.5,8626.0,,8241.2,9438.0,893.0,1505.1,610.6,903.5,988.0,903.9,540.0,359.0,85.0,387.6,721.0,14.2,47.0,283.4,,557.1,,520.5,,-106.6,1037.0,-346.3,1131.0,196.5,227.1,204.0,560.4,593.0,1326.8,758.9,693.0,526.3,900.5,,1128.2,331.4,444.0,300.0,846.5,493.0,647.7,,844.5,313.0,689.5,128.0,,-256.8,940.0,False,True,False,False,False,True,True,True,True,True,True,True,True,,True,,True,,True,False,True,False,True,True,True,True,True,False,True,True,True,False,,False,True,True,True,True,True,True,,True,True,True,True,,True,False
South Dakota,1886,1897.6,1921.6,1884.2,1917.4,1953.0,1891.0,1893.0,1878.0,1835.0,1881.7,1911.0,1823.5,1905.0,1992.4,,1856.9,,1908.1,,1968.2,1928.0,1849.7,1919.0,1894.7,1887.5,1860.0,1868.6,1913.0,1843.6,1897.5,1923.7,1878.4,1871.0,,,1889.1,1869.0,1893.0,1886.7,1886.0,1860.5,,1936.6,1899.0,1869.5,1877.0,,1924.4,1932.0,11.6,35.6,-1.8,31.4,67.0,5.0,7.0,-8.0,-51.0,-4.3,25.0,-62.5,19.0,106.4,,-29.1,,22.1,,82.2,42.0,-36.3,33.0,8.7,1.5,-26.0,-17.4,27.0,-42.4,11.5,37.7,-7.6,-15.0,,,3.1,-17.0,7.0,0.7,0.0,-25.5,,50.6,13.0,-16.5,-9.0,,38.4,46.0,False,True,False,False,True,True,True,False,True,False,False,False,False,,False,,False,,False,False,False,False,True,True,False,False,False,False,True,False,True,False,,,True,False,True,True,True,False,,False,False,False,True,,False,False
Tennessee,11393,12809.0,13368.0,12399.7,13280.4,12252.0,13130.8,12331.0,11898.0,11233.0,11803.0,12040.0,10973.7,11605.0,12209.2,,12338.1,,11754.7,,11632.3,12750.0,10030.2,12576.0,11113.8,11265.8,12998.0,12307.9,12015.0,,12277.1,12381.4,12630.3,12043.5,,12637.3,12217.0,,12214.0,10209.1,11642.0,13010.2,,12353.1,11822.0,12758.0,12197.0,,11191.3,12717.0,1416.0,1975.0,1006.7,1887.4,859.0,1737.8,938.0,505.0,-160.0,410.0,647.0,-419.3,212.0,816.2,,945.1,,361.7,,239.3,1357.0,-1362.8,1183.0,-279.2,-127.2,1605.0,914.9,622.0,,884.1,988.4,1237.3,650.5,,1244.3,824.0,,821.0,-1183.9,249.0,1617.2,,960.1,429.0,1365.0,804.0,,-201.7,1324.0,False,True,False,True,False,True,True,True,True,True,True,True,True,,True,,True,,True,True,True,True,True,True,False,True,True,,True,True,True,True,,True,True,,True,True,True,False,,True,True,True,True,,True,True
Texas,43519,45744.9,45142.1,45040.9,45958.2,44925.0,45955.5,45015.0,45096.0,44694.0,45308.1,45601.0,44554.2,45474.0,44966.4,,,,43850.2,,43340.1,45553.0,47493.8,46236.0,44064.8,45630.3,44526.0,45160.9,45924.0,47438.1,45056.6,46198.3,45137.4,45017.5,,46545.1,44341.5,,44943.0,41836.9,44250.0,44713.7,,45094.6,44037.0,45312.2,44935.0,,42458.4,45617.0,2225.9,1623.1,1521.9,2439.2,1406.0,2436.5,1496.0,1577.0,1175.0,1789.1,2082.0,1035.2,1955.0,1447.4,,,,331.2,,-178.9,2034.0,3974.8,2717.0,545.8,2111.3,1007.0,1641.9,2405.0,3919.1,1537.6,2679.3,1618.4,1498.5,,3026.1,822.5,,1424.0,-1682.1,731.0,1194.7,,1575.6,518.0,1793.2,1416.0,,-1060.6,2098.0,True,True,False,True,False,True,True,True,True,True,True,True,True,,,,True,,True,True,False,False,True,True,True,True,False,False,True,False,True,True,,False,True,,True,True,True,True,,True,True,True,True,,True,True
Utah,1929,1938.9,1956.3,1898.0,1937.4,1955.0,1943.0,1897.0,1879.0,1834.0,1991.3,1924.0,1846.0,1914.0,1931.9,,1851.7,,1881.9,,1879.6,2053.0,2355.4,1981.0,1472.1,1890.5,1836.0,1901.6,1984.0,1951.0,1934.4,1965.7,1886.3,1977.0,,,1878.9,1888.0,1875.0,1565.7,1849.0,1937.7,,1971.1,1881.0,1924.5,1876.0,,1306.6,1934.0,9.9,27.3,-31.0,8.4,26.0,14.0,-32.0,-50.0,-95.0,62.3,-5.0,-83.0,-15.0,2.9,,-77.3,,-47.1,,-49.4,124.0,426.4,52.0,-456.9,-38.5,-93.0,-27.4,55.0,22.0,5.4,36.7,-42.7,48.0,,,-50.1,-41.0,-54.0,-363.3,-80.0,8.7,,42.1,-48.0,-4.5,-53.0,,-622.4,5.0,False,False,True,False,False,False,False,False,False,True,False,False,True,,False,,False,,False,False,False,False,False,False,False,False,False,False,True,False,False,False,,,False,False,False,False,False,True,,False,False,True,False,,False,True
Vermont,204,208.7,194.8,193.1,212.0,196.0,209.0,207.0,207.0,183.0,231.5,190.0,196.3,223.0,200.8,,205.8,,217.3,,207.4,204.0,196.4,223.0,258.8,208.6,217.0,201.0,241.0,249.2,210.6,223.2,209.5,186.0,,,192.1,,202.0,244.9,213.0,206.5,,250.5,200.0,221.6,199.0,,198.5,206.0,4.7,-9.2,-10.9,8.0,-8.0,5.0,3.0,3.0,-21.0,27.5,-14.0,-7.7,19.0,-3.2,,1.8,,13.3,,3.4,0.0,-7.6,19.0,54.8,4.6,13.0,-3.0,37.0,45.2,6.6,19.2,5.5,-18.0,,,-11.9,,-2.0,40.9,9.0,2.5,,46.5,-4.0,17.6,-5.0,,-5.5,2.0,False,False,False,False,False,True,True,False,False,False,False,False,True,,True,,False,,True,True,False,False,False,True,False,True,False,False,False,False,False,False,,,False,,True,False,False,True,,False,True,False,False,,False,True
Virginia,8382,7675.1,8348.2,7727.3,7732.2,7927.0,7745.3,7733.0,7641.0,7356.0,7831.5,7760.0,7600.0,7490.0,7987.8,,7616.0,,7711.8,,7815.9,7816.0,7715.5,7884.0,8073.1,7593.7,7393.0,7733.6,7837.0,8154.5,7586.5,7888.5,7734.8,8161.0,,7751.0,7813.9,,8262.0,8416.2,7463.0,7216.0,,7608.9,7603.0,7833.9,7688.0,,7255.9,7841.0,-706.9,-33.8,-654.7,-649.8,-455.0,-636.7,-649.0,-741.0,-1026.0,-550.5,-622.0,-782.0,-892.0,-394.2,,-766.0,,-670.2,,-566.1,-566.0,-666.5,-498.0,-308.9,-788.3,-989.0,-648.4,-545.0,-227.5,-795.5,-493.5,-647.2,-221.0,,-631.0,-568.1,,-120.0,34.2,-919.0,-1166.0,,-773.1,-779.0,-548.1,-694.0,,-1126.1,-541.0,True,True,True,True,True,True,False,False,True,True,False,False,True,,False,,True,,True,True,True,True,True,False,False,True,True,True,False,True,True,True,,True,True,,True,True,False,False,,False,False,True,True,,False,True
Washington,4956,4917.6,4852.2,4936.6,4930.2,4805.0,4941.3,4899.0,4903.0,4816.0,4959.4,5060.0,4859.0,4875.0,4803.5,,5022.1,,4844.3,,4903.0,5050.0,5109.1,4994.0,5090.2,4904.8,4625.0,4791.7,4950.0,4949.7,4896.5,4956.2,4879.5,5281.0,,4840.1,4742.0,4833.0,4919.0,5009.5,4723.0,4965.3,,4893.6,4844.0,4943.7,4827.0,,4751.7,4973.0,-38.4,-103.8,-19.4,-25.8,-151.0,-14.7,-57.0,-53.0,-140.0,3.4,104.0,-97.0,-81.0,-152.5,,66.1,,-111.7,,-53.0,94.0,153.1,38.0,134.2,-51.2,-331.0,-164.3,-6.0,-6.3,-59.5,0.2,-76.5,325.0,,-115.9,-214.0,-123.0,-37.0,53.5,-233.0,9.3,,-62.4,-112.0,-12.3,-129.0,,-204.3,17.0,False,True,True,False,True,False,False,False,True,False,False,False,False,,False,,False,,False,False,False,True,False,False,False,False,True,True,False,True,False,False,,False,False,False,True,False,False,True,,False,False,True,False,,False,True
West Virginia,2297,2429.0,2362.5,2397.2,2419.2,2427.0,2431.0,2391.0,2367.0,2253.0,2403.1,2309.0,2390.8,2368.0,2471.5,,2315.6,,2347.3,,2398.8,2508.0,2323.2,2430.0,2490.8,2384.8,2292.0,2335.8,2384.0,2368.3,2393.3,2467.8,2356.2,2429.0,,,2344.2,2404.0,2360.0,2875.7,2325.0,2425.5,,2429.3,2341.0,2382.7,2355.0,,2349.0,2402.0,132.0,65.5,100.2,122.2,130.0,134.0,94.0,70.0,-44.0,106.1,12.0,93.8,71.0,174.5,,18.6,,50.3,,101.8,211.0,26.2,133.0,193.8,87.8,-5.0,38.8,87.0,71.3,96.3,170.8,59.2,132.0,,,47.2,107.0,63.0,578.7,28.0,128.5,,132.3,44.0,85.7,58.0,,52.0,105.0,True,True,True,True,False,True,True,True,True,True,True,True,False,,True,,True,,True,False,True,False,False,True,True,True,True,True,True,False,True,False,,,True,True,True,False,True,True,,False,True,True,True,,True,True
Wisconsin,7014,7124.4,7225.8,7074.9,7149.4,7217.0,7153.9,7095.0,7057.0,6998.0,7157.2,7164.0,6825.9,7090.0,7208.8,,7052.5,,7117.3,,7157.0,7437.0,7993.6,7153.0,7235.3,7089.1,6965.0,7013.3,7211.0,7053.1,7102.4,7157.3,7033.2,7139.0,,7217.5,7017.3,7015.0,7096.0,5725.4,6922.0,7040.4,,7130.1,6951.0,7055.4,6955.0,,7094.3,7217.0,110.4,211.8,60.9,135.4,203.0,139.9,81.0,43.0,-16.0,143.2,150.0,-188.1,76.0,194.8,,38.5,,103.3,,143.0,423.0,979.6,139.0,221.3,75.1,-49.0,-0.7,197.0,39.1,88.4,143.3,19.2,125.0,,203.5,3.3,1.0,82.0,-1288.6,-92.0,26.4,,116.1,-63.0,41.4,-59.0,,80.3,203.0,False,True,False,False,False,True,True,True,False,False,False,True,False,,True,,True,,False,False,False,False,False,True,True,True,False,True,True,False,True,False,,False,True,True,True,False,True,True,,False,True,True,True,,True,False
Wyoming,671,704.0,703.0,697.1,713.5,718.0,708.0,697.0,691.0,670.0,688.1,694.0,706.4,718.0,714.5,,702.8,,669.5,,729.2,716.0,745.1,707.0,681.2,685.1,715.0,661.5,708.0,,704.9,698.4,682.7,710.0,,,652.1,668.0,687.0,705.9,644.0,690.3,,743.2,675.0,689.5,669.0,,681.4,723.0,33.0,32.0,26.1,42.5,47.0,37.0,26.0,20.0,-1.0,17.1,23.0,35.4,47.0,43.5,,31.8,,-1.5,,58.2,45.0,74.1,36.0,10.2,14.1,44.0,-9.5,37.0,,33.9,27.4,11.7,39.0,,,-18.9,-3.0,16.0,34.9,-27.0,19.3,,72.2,4.0,18.5,-2.0,,10.4,52.0,True,True,False,False,False,True,True,True,True,True,False,False,False,,True,,True,,False,False,False,False,True,True,False,True,False,,False,True,True,False,,,True,True,True,False,True,True,,False,True,True,True,,True,False
US,512938,526767.4,525384.6,517960.4,530958.6,,530092.1,514517.0,513177.0,503878.0,513663.0,510911.0,494996.1,512028.0,530387.7,511777.7,514829.6,,,522411.0,503231.5,525598.0,508628.7,,504949.1,505508.1,507804.0,517715.7,522551.0,522504.0,515906.8,523750.1,514083.8,524248.5,514525.6,523558.2,514320.3,508198.0,507454.0,507935.3,502351.0,510155.5,546719.0,517819.7,508319.0,517732.8,508385.0,513667.0,497847.4,519881.0,19999.4,18616.6,11192.4,24190.6,,23324.1,7749.0,6409.0,-2890.0,6895.0,4143.0,-11771.9,5260.0,23619.7,5009.7,8061.6,,,15643.0,-3536.5,18830.0,1860.7,,-1818.9,-1259.9,1036.0,10947.7,15783.0,15736.0,9138.8,16982.1,7315.8,17480.5,7757.6,16790.2,7552.3,1430.0,686.0,1167.3,-4417.0,3387.5,39951.0,11051.7,1551.0,10964.8,1617.0,6899.0,-8920.6,13113.0,True,True,False,,False,True,True,True,True,True,True,True,False,True,True,,,True,True,True,True,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True
