,actual_deaths,Baseline,Auquan-SEIR,COVIDhub-baseline,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidActNow-SEIR_CAN,CovidAnalytics-DELPHI,GT-DeepCOVID,GT_CHHS-COVID19,IHME-CurveFit,IowaStateLW-STEM,JHU_IDD-CovidSP,LANL-GrowthRate,MITCovAlliance-SIR,MOBS-GLEAM_COVID,NotreDame-FRED,NotreDame-mobility,OliverWyman-Navigator,PSI-DRAFT,QJHong-Encounter,RobertWalraven-ESG,STH-3PU,UA-EpiCovDA,UCLA-SuEIR,UMass-MechBayes,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,UT-Mobility,YYG-ParamSearch,epiforecasts-ensemble1,error-Baseline,error-Auquan-SEIR,error-COVIDhub-baseline,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidActNow-SEIR_CAN,error-CovidAnalytics-DELPHI,error-GT-DeepCOVID,error-GT_CHHS-COVID19,error-IHME-CurveFit,error-IowaStateLW-STEM,error-JHU_IDD-CovidSP,error-LANL-GrowthRate,error-MITCovAlliance-SIR,error-MOBS-GLEAM_COVID,error-NotreDame-FRED,error-NotreDame-mobility,error-OliverWyman-Navigator,error-PSI-DRAFT,error-QJHong-Encounter,error-RobertWalraven-ESG,error-STH-3PU,error-UA-EpiCovDA,error-UCLA-SuEIR,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,error-UT-Mobility,error-YYG-ParamSearch,error-epiforecasts-ensemble1,beat_baseline-Auquan-SEIR,beat_baseline-COVIDhub-baseline,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidActNow-SEIR_CAN,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-GT-DeepCOVID,beat_baseline-GT_CHHS-COVID19,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-LANL-GrowthRate,beat_baseline-MITCovAlliance-SIR,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-NotreDame-FRED,beat_baseline-NotreDame-mobility,beat_baseline-OliverWyman-Navigator,beat_baseline-PSI-DRAFT,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-STH-3PU,beat_baseline-UA-EpiCovDA,beat_baseline-UCLA-SuEIR,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-UT-Mobility,beat_baseline-YYG-ParamSearch,beat_baseline-epiforecasts-ensemble1
North Dakota,99,82.9,96.0,86.1,94.3,87.0,,89.5,114.3,92.0,83.8,,87.1,102.0,114.6,93.2,105.6,88.2,,122.2,93.9,105.0,,90.5,,130.0,83.2,89.0,,90.4,89.2,90.0,90.6,,-16.1,-3.0,-12.9,-4.7,-12.0,,-9.5,15.3,-7.0,-15.2,,-11.9,3.0,15.6,-5.8,6.6,-10.8,,23.2,-5.1,6.0,,-8.5,,31.0,-15.8,-10.0,,-8.6,-9.8,-9.0,-8.4,,True,True,True,True,,True,True,True,True,,True,True,True,True,True,True,,False,True,True,,True,,False,True,True,,True,True,True,True,
Ohio,3297,3208.1,3228.0,3217.0,3427.5,3906.0,,3328.4,3262.9,4574.0,,,3448.4,3134.0,3918.6,3254.5,3935.9,3635.4,3387.0,3090.5,3438.5,3176.0,,3200.6,,3179.0,3290.0,3285.0,,3574.1,3597.9,3161.0,3223.1,3271.0,-88.9,-69.0,-80.0,130.5,609.0,,31.4,-34.1,1277.0,,,151.4,-163.0,621.6,-42.5,638.9,338.4,90.0,-206.5,141.5,-121.0,,-96.4,,-118.0,-7.0,-12.0,,277.1,300.9,-136.0,-73.9,-26.0,True,True,False,False,,True,True,False,,,False,False,False,True,False,False,False,False,False,False,,False,,False,True,True,,False,False,False,True,True
Oklahoma,496,435.1,469.0,440.0,455.2,501.0,,517.1,1149.5,560.0,488.0,,446.3,417.0,519.0,440.8,539.3,451.6,,450.8,455.5,413.0,,420.2,,437.0,433.5,458.0,,562.3,493.6,430.0,450.5,,-60.9,-27.0,-56.0,-40.8,5.0,,21.1,653.5,64.0,-8.0,,-49.7,-79.0,23.0,-55.2,43.3,-44.4,,-45.2,-40.5,-83.0,,-75.8,,-59.0,-62.5,-38.0,,66.3,-2.4,-66.0,-45.5,,True,True,True,True,,True,False,False,True,,True,False,True,True,True,True,,True,True,False,,False,,True,False,True,,False,True,False,True,
Oregon,285,252.1,260.0,246.0,270.3,287.0,,265.0,457.0,300.0,262.2,,254.0,275.0,365.1,267.8,250.7,265.6,,275.8,269.8,232.0,,238.4,,259.0,244.5,290.0,,318.2,285.2,270.0,254.9,,-32.9,-25.0,-39.0,-14.7,2.0,,-20.0,172.0,15.0,-22.8,,-31.0,-10.0,80.1,-17.2,-34.3,-19.4,,-9.2,-15.2,-53.0,,-46.6,,-26.0,-40.5,5.0,,33.2,0.2,-15.0,-30.1,,True,False,True,True,,True,False,True,True,,True,True,False,True,False,True,,True,True,False,,False,,True,False,True,,False,True,True,True,
Pennsylvania,7124,7173.0,7180.0,7193.2,7195.2,7323.0,,7181.7,7093.0,7404.0,6777.3,,7303.9,7145.0,7414.4,7169.9,7019.7,7130.1,,7049.3,7088.8,7127.5,,7252.8,,7030.0,7143.6,7153.0,,7263.5,7492.0,7247.0,7189.7,7208.0,49.0,56.0,69.2,71.2,199.0,,57.7,-31.0,280.0,-346.7,,179.9,21.0,290.4,45.9,-104.3,6.1,,-74.7,-35.2,3.5,,128.8,,-94.0,19.6,29.0,,139.5,368.0,123.0,65.7,84.0,False,False,False,False,,False,True,False,False,,False,True,False,True,False,True,,False,True,True,,False,,False,True,True,,False,False,False,False,False
Rhode Island,1002,1054.3,1034.0,1059.0,1027.3,1210.0,,1022.5,996.9,1023.0,980.6,,1063.6,1153.0,682.9,1019.5,992.1,1058.4,,1013.6,1038.2,1020.0,,1026.4,,972.0,1030.8,996.0,,994.0,1021.1,1029.0,1034.6,,52.3,32.0,57.0,25.3,208.0,,20.5,-5.1,21.0,-21.4,,61.6,151.0,-319.1,17.5,-9.9,56.4,,11.6,36.2,18.0,,24.4,,-30.0,28.8,-6.0,,-8.0,19.1,27.0,32.6,,True,False,True,False,,True,True,True,True,,False,False,False,True,True,False,,True,True,True,,True,,True,True,True,,True,True,True,True,
South Carolina,1465,1117.1,1096.0,1119.1,1168.9,1650.0,,1285.4,2388.5,1435.0,937.0,,1189.4,1166.0,1210.9,1068.9,943.8,1107.7,,1100.6,1322.9,939.0,,986.3,,1379.0,1081.7,1303.0,,1359.2,1386.4,1220.0,1123.5,1160.3,-347.9,-369.0,-345.9,-296.1,185.0,,-179.6,923.5,-30.0,-528.0,,-275.6,-299.0,-254.1,-396.1,-521.2,-357.3,,-364.4,-142.1,-526.0,,-478.7,,-86.0,-383.3,-162.0,,-105.8,-78.6,-245.0,-341.5,-304.7,False,True,True,True,,True,False,True,False,,True,True,True,False,False,False,,False,True,False,,False,,True,False,True,,True,True,True,True,True
South Dakota,122,114.1,127.0,115.0,119.4,100.0,,106.6,139.7,114.0,101.4,,129.8,112.0,142.0,112.9,171.5,111.3,,128.9,119.4,137.0,,113.9,,109.0,103.0,111.0,,108.8,118.1,124.0,122.9,,-7.9,5.0,-7.0,-2.6,-22.0,,-15.4,17.7,-8.0,-20.6,,7.8,-10.0,20.0,-9.1,49.5,-10.7,,6.9,-2.6,15.0,,-8.1,,-13.0,-19.0,-11.0,,-13.2,-3.9,2.0,0.9,,True,True,True,False,,False,False,False,False,,True,False,False,False,False,False,,True,True,False,,False,,False,False,False,,False,True,True,True,
Tennessee,964,819.3,876.0,796.0,873.2,1360.0,,887.3,1271.7,1052.0,731.0,,887.5,930.0,1031.8,806.4,853.2,821.4,,766.6,955.2,763.0,,734.3,,777.0,798.4,922.0,,917.9,1072.9,865.0,868.4,854.7,-144.7,-88.0,-168.0,-90.8,396.0,,-76.7,307.7,88.0,-233.0,,-76.5,-34.0,67.8,-157.6,-110.8,-142.6,,-197.4,-8.8,-201.0,,-229.7,,-187.0,-165.6,-42.0,,-46.1,108.9,-99.0,-95.6,-109.3,True,False,True,False,,True,False,True,False,,True,True,True,False,True,True,,False,True,False,,False,,False,False,True,,True,True,True,True,True
Texas,5705,3273.7,3519.0,3263.6,3545.5,4948.0,,4253.4,8273.4,4669.0,3300.4,,3799.3,3976.0,4377.6,2910.6,3210.7,3386.2,,3311.3,3598.5,3043.5,,3181.2,3142.0,3112.0,3260.5,3488.0,,4225.9,4537.1,3563.5,3466.7,3390.7,-2059.3,-1814.0,-2069.4,-1787.5,-385.0,,-1079.6,2940.4,-664.0,-2032.6,,-1533.7,-1357.0,-955.4,-2422.4,-2122.3,-1946.8,,-2021.7,-1734.5,-2289.5,,-2151.8,-2191.0,-2221.0,-2072.5,-1845.0,,-1107.1,-795.9,-1769.5,-1866.3,-1942.3,True,False,True,True,,True,False,True,True,,True,True,True,False,False,True,,True,True,False,,False,False,False,False,True,,True,True,True,True,True
Utah,274,232.6,296.0,223.0,246.3,317.0,,348.0,434.4,303.0,,,229.7,261.0,357.0,223.4,247.6,219.9,,247.2,239.1,248.0,,260.9,,239.0,238.8,242.0,,263.8,241.7,243.0,241.5,,-41.4,22.0,-51.0,-27.7,43.0,,74.0,160.4,29.0,,,-44.3,-13.0,83.0,-50.6,-26.4,-54.1,,-26.8,-34.9,-26.0,,-13.1,,-35.0,-35.2,-32.0,,-10.2,-32.3,-31.0,-32.5,,True,False,True,False,,False,False,True,,,False,True,False,False,True,False,,True,True,True,,True,,True,True,True,,True,True,True,True,
Vermont,56,56.0,61.0,58.0,57.2,56.0,,58.6,65.1,57.0,58.0,,58.0,56.0,62.1,58.1,59.0,56.0,,59.4,56.7,56.0,,61.2,,58.0,56.7,58.0,,56.1,57.0,57.0,57.7,,0.0,5.0,2.0,1.2,0.0,,2.6,9.1,1.0,2.0,,2.0,0.0,6.1,2.1,3.0,0.0,,3.4,0.7,0.0,,5.2,,2.0,0.7,2.0,,0.1,1.0,1.0,1.7,,False,False,False,True,,False,False,False,False,,False,True,False,False,False,False,,False,False,True,,False,,False,False,False,,False,False,False,False,
Virginia,2075,2198.7,2146.0,2224.1,2154.1,2078.0,,1969.3,2306.2,1990.0,2124.9,,2225.7,2169.0,2382.3,2137.8,2115.5,2050.1,,2114.0,2232.4,2055.0,,2062.4,,2191.0,1998.5,2140.0,,2068.3,2075.3,2347.5,2046.4,2362.0,123.7,71.0,149.1,79.1,3.0,,-105.7,231.2,-85.0,49.9,,150.7,94.0,307.3,62.8,40.5,-24.9,,39.0,157.4,-20.0,,-12.6,,116.0,-76.5,65.0,,-6.7,0.3,272.5,-28.6,287.0,True,False,True,True,,True,False,True,True,,False,True,False,True,True,True,,True,False,True,,True,,True,True,True,,True,True,False,True,False
Washington,1494,1499.0,1514.0,1485.9,1513.7,1543.0,,1482.9,1569.0,1590.0,,,1493.8,1400.0,1652.8,1503.5,1518.5,1559.8,,1462.0,1539.3,1453.0,,1440.5,,1457.0,1461.1,1533.0,,1605.8,1612.9,1487.0,1488.2,,5.0,20.0,-8.1,19.7,49.0,,-11.1,75.0,96.0,,,-0.2,-94.0,158.8,9.5,24.5,65.8,,-32.0,45.3,-41.0,,-53.5,,-37.0,-32.9,39.0,,111.8,118.9,-7.0,-5.8,,False,False,False,False,,False,False,False,,,True,False,False,False,False,False,,False,False,False,,False,,False,False,False,,False,False,False,False,
West Virginia,103,96.9,108.0,100.0,107.6,101.0,,105.9,195.0,120.0,98.3,,103.3,99.0,139.1,111.7,170.5,104.4,,101.2,119.9,94.0,,98.4,,100.0,103.6,105.0,,120.3,107.6,104.0,100.6,,-6.1,5.0,-3.0,4.6,-2.0,,2.9,92.0,17.0,-4.7,,0.3,-4.0,36.1,8.7,67.5,1.4,,-1.8,16.9,-9.0,,-4.6,,-3.0,0.6,2.0,,17.3,4.6,1.0,-2.4,,True,True,True,True,,True,False,False,True,,True,True,False,False,False,True,,True,False,False,,True,,True,True,True,,False,True,True,True,
Wisconsin,891,850.3,934.0,853.5,912.6,1079.0,,911.2,929.5,945.0,864.9,,937.2,927.0,1093.9,903.5,1030.5,881.6,975.0,873.6,893.0,890.0,,910.9,,864.0,899.5,900.0,,991.8,935.9,839.0,898.2,,-40.7,43.0,-37.5,21.6,188.0,,20.2,38.5,54.0,-26.1,,46.2,36.0,202.9,12.5,139.5,-9.4,84.0,-17.4,2.0,-1.0,,19.9,,-27.0,8.5,9.0,,100.8,44.9,-52.0,7.2,,False,True,True,False,,True,True,False,True,,False,True,False,True,False,True,False,True,True,True,,True,,True,True,True,,False,False,False,True,
Wyoming,25,20.0,27.0,21.1,24.7,20.0,,30.2,32.7,27.0,22.1,,18.4,21.0,32.8,25.0,29.4,25.5,,26.4,28.6,20.0,,20.0,,23.0,22.5,23.0,,27.3,22.8,22.0,22.9,,-5.0,2.0,-3.9,-0.3,-5.0,,5.2,7.7,2.0,-2.9,,-6.6,-4.0,7.8,-0.0,4.4,0.5,,1.4,3.6,-5.0,,-5.0,,-2.0,-2.5,-2.0,,2.3,-2.2,-3.0,-2.1,,True,True,True,False,,False,False,True,True,,False,True,False,True,True,True,,True,True,False,,True,,True,True,True,,True,True,True,True,
US,147180,140195.6,142891.0,140347.2,142472.7,154333.0,149125.0,143019.7,145603.0,152628.0,136645.6,,142168.0,148823.0,149910.1,138961.6,138275.7,142171.6,,137816.1,143555.8,139841.0,154001.4,127848.3,131335.0,138967.0,139349.2,144794.0,136871.8,147046.5,155442.7,142681.0,140859.4,137454.0,-6612.4,-3917.0,-6460.8,-4335.3,7525.0,2317.0,-3788.3,-1205.0,5820.0,-10162.4,,-4640.0,2015.0,3102.1,-7846.4,-8532.3,-4636.4,,-8991.9,-3252.2,-6967.0,7193.4,-18959.7,-15473.0,-7841.0,-7458.8,-2014.0,-9936.2,238.5,8634.7,-4127.0,-5948.6,-9354.0,True,True,True,False,True,True,True,True,False,,True,True,True,False,False,True,,False,True,False,False,False,False,False,False,True,False,True,False,True,True,False
