,actual_deaths,Baseline,Auquan-SEIR,COVIDhub-baseline,COVIDhub-ensemble,CU-select,Covid19Sim-Simulator,CovidAnalytics-DELPHI,GT-DeepCOVID,GT_CHHS-COVID19,IHME-CurveFit,IowaStateLW-STEM,JHU_IDD-CovidSP,LANL-GrowthRate,MITCovAlliance-SIR,MOBS-GLEAM_COVID,NotreDame-FRED,NotreDame-mobility,OliverWyman-Navigator,PSI-DRAFT,STH-3PU,SWC-TerminusCM,UA-EpiCovDA,UCLA-SuEIR,UMass-MechBayes,USACE-ERDC_SEIR,USC-SI_kJalpha,UT-Mobility,YYG-ParamSearch,epiforecasts-ensemble1,error-Baseline,error-Auquan-SEIR,error-COVIDhub-baseline,error-COVIDhub-ensemble,error-CU-select,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-GT-DeepCOVID,error-GT_CHHS-COVID19,error-IHME-CurveFit,error-IowaStateLW-STEM,error-JHU_IDD-CovidSP,error-LANL-GrowthRate,error-MITCovAlliance-SIR,error-MOBS-GLEAM_COVID,error-NotreDame-FRED,error-NotreDame-mobility,error-OliverWyman-Navigator,error-PSI-DRAFT,error-STH-3PU,error-SWC-TerminusCM,error-UA-EpiCovDA,error-UCLA-SuEIR,error-UMass-MechBayes,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,error-UT-Mobility,error-YYG-ParamSearch,error-epiforecasts-ensemble1,beat_baseline-Auquan-SEIR,beat_baseline-COVIDhub-baseline,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-GT-DeepCOVID,beat_baseline-GT_CHHS-COVID19,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-LANL-GrowthRate,beat_baseline-MITCovAlliance-SIR,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-NotreDame-FRED,beat_baseline-NotreDame-mobility,beat_baseline-OliverWyman-Navigator,beat_baseline-PSI-DRAFT,beat_baseline-STH-3PU,beat_baseline-SWC-TerminusCM,beat_baseline-UA-EpiCovDA,beat_baseline-UCLA-SuEIR,beat_baseline-UMass-MechBayes,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-UT-Mobility,beat_baseline-YYG-ParamSearch,beat_baseline-epiforecasts-ensemble1
Pennsylvania,7124,7311.9,7153.0,7346.0,7210.9,7342.0,7207.7,6987.0,7247.5,,7177.6,7206.0,7572.8,7265.7,7147.2,7195.0,,6911.2,7455.9,7098.5,,7219.0,7073.0,7087.9,7191.0,7125.3,7105.9,7327.0,7334.6,7167.7,187.9,29.0,222.0,86.9,218.0,83.7,-137.0,123.5,,53.6,82.0,448.8,141.7,23.2,71.0,,-212.8,331.9,-25.5,,95.0,-51.0,-36.1,67.0,1.3,-18.1,203.0,210.6,43.7,True,False,True,False,True,True,True,,True,True,False,True,True,True,,False,False,True,,True,True,True,True,True,True,False,False,True
Rhode Island,1002,1054.3,1032.0,1060.4,1028.8,977.0,1013.2,994.0,1005.4,,1085.0,1128.0,658.3,975.4,997.8,1077.9,,1008.3,991.7,1052.0,,1043.0,942.0,1035.1,972.0,830.1,977.2,1083.0,1067.5,,52.3,30.0,58.4,26.8,-25.0,11.2,-8.0,3.4,,83.0,126.0,-343.7,-26.6,-4.2,75.9,,6.3,-10.3,50.0,,41.0,-60.0,33.1,-30.0,-171.9,-24.8,81.0,65.5,,True,False,True,True,True,True,True,,False,False,False,True,True,False,,True,True,True,,True,False,True,True,False,True,False,False,
South Carolina,1465,959.0,919.0,979.1,1179.2,4091.0,1350.5,1260.0,1070.0,,953.5,786.0,1241.8,1021.7,947.7,862.2,,929.4,1144.8,914.0,,834.0,1169.0,817.6,1259.0,1079.0,1218.3,1010.0,1044.2,,-506.0,-546.0,-485.9,-285.8,2626.0,-114.5,-205.0,-395.0,,-511.5,-679.0,-223.2,-443.3,-517.3,-602.8,,-535.6,-320.2,-551.0,,-631.0,-296.0,-647.4,-206.0,-386.0,-246.7,-455.0,-420.8,,False,True,True,False,True,True,True,,False,False,True,True,False,False,,False,True,False,,False,True,False,True,True,True,True,True,
South Dakota,122,129.6,123.0,131.0,127.4,111.0,105.4,111.0,137.9,,131.4,103.0,166.4,113.9,171.8,111.7,,136.9,122.3,151.0,,124.0,129.0,100.8,117.0,105.5,112.7,187.5,127.8,,7.6,1.0,9.0,5.4,-11.0,-16.6,-11.0,15.9,,9.4,-19.0,44.4,-8.1,49.8,-10.3,,14.9,0.3,29.0,,2.0,7.0,-21.2,-5.0,-16.5,-9.3,65.5,5.8,,True,False,True,False,False,False,False,,False,False,False,False,False,False,,False,True,False,,True,True,False,True,False,False,False,True,
Tennessee,964,807.7,784.0,824.0,869.1,1324.0,823.1,874.0,918.1,,903.8,977.0,1094.9,700.1,849.9,824.4,,769.7,1045.1,769.5,,714.0,677.0,698.2,752.0,727.6,897.0,830.0,868.2,,-156.3,-180.0,-140.0,-94.9,360.0,-140.9,-90.0,-45.9,,-60.2,13.0,130.9,-263.9,-114.1,-139.6,,-194.3,81.1,-194.5,,-250.0,-287.0,-265.8,-212.0,-236.4,-67.0,-134.0,-95.8,,False,True,True,False,True,True,True,,True,True,True,False,True,True,,False,True,False,,False,False,False,False,False,True,True,True,
Texas,6006,3215.9,3325.0,3207.8,3884.9,10215.0,4021.3,4383.0,3438.7,,3985.1,2845.0,4603.0,3049.0,3227.3,2950.9,,3036.6,3637.6,2962.5,3739.0,3038.0,3199.0,3328.6,4382.0,3615.7,4774.8,3796.0,3562.1,3439.7,-2433.1,-2324.0,-2441.2,-1764.1,4566.0,-1627.7,-1266.0,-2210.3,,-1663.9,-2804.0,-1046.0,-2600.0,-2421.7,-2698.1,,-2612.4,-2011.4,-2686.5,-1910.0,-2611.0,-2450.0,-2320.4,-1267.0,-2033.3,-874.2,-1853.0,-2086.9,-2209.3,True,False,True,False,True,True,True,,True,False,True,False,True,False,,False,True,False,True,False,False,True,True,True,True,True,True,True
Utah,274,201.7,274.0,214.9,267.3,509.0,362.8,316.0,,,240.6,205.0,398.6,229.1,248.3,219.1,,270.9,220.5,274.0,,207.0,208.0,200.3,252.0,236.7,243.2,232.0,244.2,,-72.3,0.0,-59.1,-6.7,235.0,88.8,42.0,,,-33.4,-69.0,124.6,-44.9,-25.7,-54.9,,-3.1,-53.5,0.0,,-67.0,-66.0,-73.7,-22.0,-37.3,-30.8,-42.0,-29.8,,True,True,True,False,False,True,,,True,True,False,True,True,True,,True,True,True,,True,True,False,True,True,True,True,True,
Vermont,56,56.0,61.0,59.0,58.3,56.0,59.2,58.0,59.9,,60.1,56.0,68.6,62.2,59.3,56.6,,61.0,57.3,56.0,,,59.0,59.8,57.0,51.2,57.2,57.0,58.2,,0.0,5.0,3.0,2.3,0.0,3.2,2.0,3.9,,4.1,0.0,12.6,6.2,3.3,0.6,,5.0,1.3,0.0,,,3.0,3.8,1.0,-4.8,1.2,1.0,2.2,,False,False,False,True,False,False,False,,False,True,False,False,False,False,,False,False,True,,,False,False,False,False,False,False,False,
Virginia,2075,2198.7,2030.0,2191.9,2038.1,2162.0,1936.7,1917.0,1992.0,,1953.0,2080.0,2424.4,1961.9,2129.3,1981.8,,1989.8,2278.8,1904.0,,2024.0,2197.0,1850.2,2150.0,1839.3,1857.6,2137.5,1985.9,2114.3,123.7,-45.0,116.9,-36.9,87.0,-138.3,-158.0,-83.0,,-122.0,5.0,349.4,-113.1,54.3,-93.2,,-85.2,203.8,-171.0,,-51.0,122.0,-224.8,75.0,-235.7,-217.4,62.5,-89.1,39.3,True,True,True,True,False,False,True,,True,True,False,True,True,True,,True,False,False,,True,True,False,True,False,False,True,True,True
Washington,1522,1464.3,1462.0,1490.2,1507.2,1994.0,1456.8,1555.0,,,1491.3,1359.0,1690.0,1468.0,1511.0,1399.9,,1467.0,1701.3,1394.0,,1384.0,1540.0,1372.7,1506.0,1508.5,1590.2,1464.0,1497.5,,-75.7,-78.0,-49.8,-32.8,454.0,-83.2,15.0,,,-48.7,-181.0,150.0,-72.0,-29.0,-140.1,,-73.0,161.3,-146.0,,-156.0,0.0,-167.3,-34.0,-31.5,50.2,-76.0,-42.5,,False,True,True,False,False,True,,,True,False,False,True,True,False,,True,False,False,,False,True,False,True,True,True,False,True,
West Virginia,103,108.4,106.0,113.6,120.1,204.0,103.1,117.0,108.2,,111.1,96.0,165.2,114.0,169.3,99.9,,126.4,123.9,93.0,,103.0,115.0,108.2,112.0,119.0,124.4,156.0,107.6,,5.4,3.0,10.6,17.1,101.0,0.1,14.0,5.2,,8.1,-7.0,62.2,11.0,66.3,-3.1,,23.4,20.9,-10.0,,0.0,12.0,5.2,9.0,16.0,21.4,53.0,4.6,,True,False,False,False,True,False,True,,False,False,False,False,False,True,,False,False,False,,True,False,True,False,False,False,False,True,
Wisconsin,933,904.3,912.0,909.5,965.4,1031.0,898.2,935.0,1092.1,,955.9,890.0,1270.2,968.1,1062.3,913.4,1012.0,888.4,1056.3,932.0,,901.0,919.0,849.6,1024.0,855.5,1007.9,894.0,964.2,,7.3,15.0,12.5,68.4,134.0,1.2,38.0,195.1,,58.9,-7.0,373.2,71.1,165.3,16.4,115.0,-8.6,159.3,35.0,,4.0,22.0,-47.4,127.0,-41.5,110.9,-3.0,67.2,,False,False,False,False,True,False,False,,False,True,False,False,False,False,False,False,False,False,,True,False,False,False,False,False,True,False,
Wyoming,25,20.0,27.0,22.4,28.0,20.0,30.0,29.0,27.8,,20.5,21.0,38.9,30.6,29.4,23.8,,34.6,36.7,20.0,,36.0,24.0,21.0,28.0,28.9,23.9,35.0,25.3,,-5.0,2.0,-2.6,3.0,-5.0,5.0,4.0,2.8,,-4.5,-4.0,13.9,5.6,4.4,-1.2,,9.6,11.7,-5.0,,11.0,-1.0,-4.0,3.0,3.9,-1.1,10.0,0.3,,True,True,True,False,True,True,True,,True,True,False,False,True,True,,False,False,False,,False,True,True,True,True,True,False,True,
US,147555,148267.0,139811.0,148798.5,147865.5,180226.0,141340.5,145956.0,147799.9,,142064.7,132362.0,155032.2,143922.9,143678.8,138806.9,,145559.1,146990.0,140705.5,133947.0,136832.0,147284.0,138569.7,150931.0,140987.5,150671.7,143807.0,142327.1,141740.0,1779.0,-6677.0,2310.5,1377.5,33738.0,-5147.5,-532.0,1311.9,,-4423.3,-14126.0,8544.2,-2565.1,-2809.2,-7681.1,,-928.9,502.0,-5782.5,-12541.0,-9656.0,796.0,-7918.3,4443.0,-5500.5,4183.7,-2681.0,-4160.9,-4748.0,False,False,True,False,False,True,True,,False,False,False,False,False,False,,True,True,False,False,False,True,False,False,False,False,False,False,False
