,actual_deaths,Baseline,COVIDhub-baseline,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,GT-DeepCOVID,GT_CHHS-COVID19,IowaStateLW-STEM,JHU_IDD-CovidSP,LANL-GrowthRate,MITCovAlliance-SIR,MOBS-GLEAM_COVID,NotreDame-FRED,NotreDame-mobility,OliverWyman-Navigator,PSI-DRAFT,QJHong-Encounter,RobertWalraven-ESG,STH-3PU,UA-EpiCovDA,UCLA-SuEIR,UMass-MechBayes,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,UT-Mobility,YYG-ParamSearch,epiforecasts-ensemble1,error-Baseline,error-COVIDhub-baseline,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-GT-DeepCOVID,error-GT_CHHS-COVID19,error-IowaStateLW-STEM,error-JHU_IDD-CovidSP,error-LANL-GrowthRate,error-MITCovAlliance-SIR,error-MOBS-GLEAM_COVID,error-NotreDame-FRED,error-NotreDame-mobility,error-OliverWyman-Navigator,error-PSI-DRAFT,error-QJHong-Encounter,error-RobertWalraven-ESG,error-STH-3PU,error-UA-EpiCovDA,error-UCLA-SuEIR,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,error-UT-Mobility,error-YYG-ParamSearch,error-epiforecasts-ensemble1,beat_baseline-COVIDhub-baseline,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-GT-DeepCOVID,beat_baseline-GT_CHHS-COVID19,beat_baseline-IowaStateLW-STEM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-LANL-GrowthRate,beat_baseline-MITCovAlliance-SIR,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-NotreDame-FRED,beat_baseline-NotreDame-mobility,beat_baseline-OliverWyman-Navigator,beat_baseline-PSI-DRAFT,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-STH-3PU,beat_baseline-UA-EpiCovDA,beat_baseline-UCLA-SuEIR,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-UT-Mobility,beat_baseline-YYG-ParamSearch,beat_baseline-epiforecasts-ensemble1
Rhode Island,1002,1005.7,1008.0,1016.1,983.0,,1017.0,1008.0,1043.2,,1090.0,953.2,1011.4,991.8,1030.3,,1007.0,1010.4,1062.0,,1057.1,,996.0,1005.3,994.0,,995.9,1017.2,1005.0,1001.5,,14.7,17.0,25.1,-8.0,,26.0,17.0,52.2,,99.0,-37.8,20.4,0.8,39.3,,16.0,19.4,71.0,,66.1,,5.0,14.3,3.0,,4.9,26.2,14.0,10.5,,False,False,True,,False,False,False,,False,False,False,True,False,,False,False,False,,False,,True,True,True,,True,False,True,True,
South Carolina,1465,1222.9,1227.1,1251.6,1279.0,,1281.4,1331.0,1249.9,,1193.0,1306.8,1244.8,945.3,1254.9,,1265.3,1331.9,1099.0,,1018.9,,1231.0,1215.9,1269.0,,1293.0,1292.8,1386.0,1273.3,1168.0,-242.1,-237.9,-213.4,-186.0,,-183.6,-134.0,-215.1,,-272.0,-158.2,-220.2,-519.7,-210.1,,-199.7,-133.1,-366.0,,-446.1,,-234.0,-249.1,-196.0,,-172.0,-172.2,-79.0,-191.7,-297.0,True,True,True,,True,True,True,,False,True,True,False,True,,True,True,False,,False,,True,False,True,,True,True,True,True,False
South Dakota,122,131.3,133.0,125.8,109.0,,108.3,120.0,136.0,,116.0,138.6,122.5,171.8,122.0,,133.6,127.4,125.0,,126.2,,127.0,122.6,124.0,,118.5,131.7,144.0,128.0,,9.3,11.0,3.8,-13.0,,-13.7,-2.0,14.0,,-6.0,16.6,0.5,49.8,0.0,,11.6,5.4,3.0,,4.2,,5.0,0.6,2.0,,-3.5,9.7,22.0,6.0,,False,True,False,,False,True,False,,True,False,True,False,True,,False,True,True,,True,,True,True,True,,True,False,False,True,
Tennessee,964,919.3,940.0,937.3,971.0,,930.9,994.0,937.0,,972.0,1018.6,850.4,853.5,917.1,,904.8,1004.3,892.0,,715.6,,890.0,908.5,947.0,,946.7,1038.8,977.0,964.5,888.0,-44.7,-24.0,-26.7,7.0,,-33.1,30.0,-27.0,,8.0,54.6,-113.6,-110.5,-46.9,,-59.2,40.3,-72.0,,-248.4,,-74.0,-55.5,-17.0,,-17.3,74.8,13.0,0.5,-76.0,True,True,True,,True,True,True,,True,False,False,False,False,,False,True,False,,False,,False,False,True,,True,False,True,True,False
Texas,6006,4283.9,4174.4,4302.9,4417.0,,4355.1,4559.0,4373.9,,4197.0,4403.2,4158.3,3213.3,4170.6,,4230.8,4559.7,3518.0,,5049.9,4483.0,4078.0,4282.4,4582.0,,4559.6,4734.0,5009.0,4370.8,3923.0,-983.1,-1092.6,-964.1,-850.0,,-911.9,-708.0,-893.1,,-1070.0,-863.8,-1108.7,-2053.7,-1096.4,,-1036.2,-707.3,-1749.0,,-217.1,-784.0,-1189.0,-984.6,-685.0,,-707.4,-533.0,-258.0,-896.2,-1344.0,False,True,True,,True,True,True,,False,True,False,False,False,,False,True,False,,True,True,False,False,True,,True,True,True,True,False
Utah,274,272.6,274.0,277.6,319.0,,334.5,289.0,,,271.0,328.7,253.6,247.0,253.9,,273.3,271.5,246.0,,223.1,,263.0,271.9,268.0,,274.3,268.2,280.0,277.1,,-1.4,0.0,3.6,45.0,,60.5,15.0,,,-3.0,54.7,-20.4,-27.0,-20.1,,-0.7,-2.5,-28.0,,-50.9,,-11.0,-2.1,-6.0,,0.3,-5.8,6.0,3.1,,True,False,False,,False,False,,,False,False,False,False,False,,True,False,False,,False,,False,False,False,,True,False,False,False,
Vermont,56,56.0,56.8,56.6,56.0,,58.4,56.0,58.6,,56.0,58.7,57.0,59.0,56.0,,56.3,56.2,56.0,,58.0,,56.0,56.0,57.0,,56.0,56.7,57.0,56.8,,0.0,0.8,0.6,0.0,,2.4,0.0,2.6,,0.0,2.7,1.0,3.0,0.0,,0.3,0.2,0.0,,2.0,,0.0,0.0,1.0,,0.0,0.7,1.0,0.8,,False,False,True,,False,True,False,,True,False,False,False,False,,False,False,True,,False,,True,False,False,,False,False,False,False,
Virginia,2075,2175.9,2188.0,2167.4,2080.0,,2016.7,2074.0,2282.4,,2194.0,2241.2,2226.7,2117.1,2098.9,,2169.1,2207.6,2094.0,,2030.6,,2208.0,2143.3,2174.0,,2135.3,2221.7,2258.0,2098.5,2155.0,100.9,113.0,92.4,5.0,,-58.3,-1.0,207.4,,119.0,166.2,151.7,42.1,23.9,,94.1,132.6,19.0,,-44.4,,133.0,68.3,99.0,,60.3,146.7,183.0,23.5,80.0,False,True,True,,True,True,False,,False,False,False,True,True,,True,False,True,,True,,False,True,True,,True,False,False,True,True
Washington,1522,1584.7,1564.0,1560.1,1462.0,,1497.8,1583.0,1575.9,,1638.0,1632.5,1578.5,1517.8,1580.1,,1526.2,1570.0,1500.0,,1492.2,,1544.0,1565.4,1608.0,,1639.2,1569.7,1584.5,1531.3,1540.0,29.7,9.0,5.1,-93.0,,-57.2,28.0,20.9,,83.0,77.5,23.5,-37.2,25.1,,-28.8,15.0,-55.0,,-62.8,,-11.0,10.4,53.0,,84.2,14.7,29.5,-23.7,-15.0,True,True,False,,False,True,True,,False,False,True,False,True,,True,True,False,,False,,True,True,False,,False,True,True,True,True
West Virginia,103,99.7,100.9,107.7,113.0,,110.7,129.0,116.1,,103.0,123.0,112.2,170.6,102.2,,103.5,104.0,103.0,,99.1,,102.0,100.4,106.0,,124.0,109.4,105.0,101.4,,-3.3,-2.1,4.7,10.0,,7.7,26.0,13.1,,0.0,20.0,9.2,67.6,-0.8,,0.5,1.0,0.0,,-3.9,,-1.0,-2.6,3.0,,21.0,6.4,2.0,-1.6,,True,False,False,,False,False,False,,True,False,False,False,True,,True,True,True,,False,,True,True,True,,False,False,True,True,
Wisconsin,933,864.6,871.0,894.3,941.0,,915.6,918.0,911.3,,888.0,979.9,888.0,1030.3,873.1,909.5,868.4,886.9,933.0,,886.2,,858.0,869.2,890.0,,953.0,918.7,848.0,880.8,,-39.4,-33.0,-9.7,37.0,,11.6,14.0,7.3,,-16.0,75.9,-16.0,126.3,-30.9,5.5,-35.6,-17.1,29.0,,-17.8,,-46.0,-34.8,-14.0,,49.0,14.7,-56.0,-23.2,,True,True,True,,True,True,True,,True,False,True,False,True,True,True,True,True,,True,,False,True,True,,False,True,False,True,
Wyoming,25,22.9,23.0,24.2,21.0,,28.1,25.0,23.8,,23.0,32.4,23.2,29.4,24.2,,25.1,24.1,27.0,,22.7,,22.0,22.6,23.0,,25.6,22.6,22.0,23.4,,-2.1,-2.0,-0.8,-4.0,,3.1,0.0,-1.2,,-2.0,7.4,-1.8,4.4,-0.8,,0.1,-0.9,2.0,,-2.3,,-3.0,-2.4,-2.0,,0.6,-2.4,-3.0,-1.6,,True,True,False,,False,True,True,,True,False,True,False,True,,True,True,True,,False,,False,False,True,,True,False,False,True,
US,147555,144945.7,144953.7,145316.0,145753.0,148716.0,141640.4,149055.0,146841.0,,144942.0,146147.3,143600.6,138276.4,143871.7,,142331.7,146640.9,143377.0,149581.5,130159.8,138244.0,143446.0,144607.6,146536.0,142525.5,147507.6,152177.6,148077.0,144347.7,139490.0,-1818.3,-1810.3,-1448.0,-1011.0,1952.0,-5123.6,2291.0,77.0,,-1822.0,-616.7,-3163.4,-8487.6,-2892.3,,-4432.3,-123.1,-3387.0,2817.5,-16604.2,-8520.0,-3318.0,-2156.4,-228.0,-4238.5,743.6,5413.6,1313.0,-2416.3,-7274.0,True,True,True,False,False,False,True,,False,True,False,False,False,,False,True,False,False,False,False,False,False,True,False,True,False,True,False,False
