,actual_deaths,Baseline,BPagano-RtDriven,CEID-Walk,CMU-TimeSeries,COVIDhub-baseline,COVIDhub-ensemble,CU-select,Caltech-CS156,Columbia_UNC-SurvCon,CovidAnalytics-DELPHI,DDS-NBDS,GT-DeepCOVID,Google_Harvard-CPF,IBF-TimeSeries,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MIT_CritData-GBCF,MOBS-GLEAM_COVID,MSRA-DeepST,NotreDame-FRED,NotreDame-mobility,OliverWyman-Navigator,PSI-DRAFT,QJHong-Encounter,RPI_UW-Mob_Collision,RobertWalraven-ESG,SteveMcConnell-CovidComplete,TTU-squider,UA-EpiCovDA,UCLA-SuEIR,UCM_MESALab-FoGSEIR,UCSB-ACTS,UCSD_NEU-DeepGLEAM,UMass-MechBayes,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,UT-Mobility,WalmartLabsML-LogForecasting,epiforecasts-ensemble1,error-Baseline,error-BPagano-RtDriven,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-baseline,error-COVIDhub-ensemble,error-CU-select,error-Caltech-CS156,error-Columbia_UNC-SurvCon,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-GT-DeepCOVID,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MIT_CritData-GBCF,error-MOBS-GLEAM_COVID,error-MSRA-DeepST,error-NotreDame-FRED,error-NotreDame-mobility,error-OliverWyman-Navigator,error-PSI-DRAFT,error-QJHong-Encounter,error-RPI_UW-Mob_Collision,error-RobertWalraven-ESG,error-SteveMcConnell-CovidComplete,error-TTU-squider,error-UA-EpiCovDA,error-UCLA-SuEIR,error-UCM_MESALab-FoGSEIR,error-UCSB-ACTS,error-UCSD_NEU-DeepGLEAM,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,error-UT-Mobility,error-WalmartLabsML-LogForecasting,error-epiforecasts-ensemble1,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-baseline,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Caltech-CS156,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-GT-DeepCOVID,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MIT_CritData-GBCF,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-MSRA-DeepST,beat_baseline-NotreDame-FRED,beat_baseline-NotreDame-mobility,beat_baseline-OliverWyman-Navigator,beat_baseline-PSI-DRAFT,beat_baseline-QJHong-Encounter,beat_baseline-RPI_UW-Mob_Collision,beat_baseline-RobertWalraven-ESG,beat_baseline-SteveMcConnell-CovidComplete,beat_baseline-TTU-squider,beat_baseline-UA-EpiCovDA,beat_baseline-UCLA-SuEIR,beat_baseline-UCM_MESALab-FoGSEIR,beat_baseline-UCSB-ACTS,beat_baseline-UCSD_NEU-DeepGLEAM,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-UT-Mobility,beat_baseline-WalmartLabsML-LogForecasting,beat_baseline-epiforecasts-ensemble1
Maryland,5100,4649.1,5062.1,4645.2,4709.0,4661.4,4768.0,4942.0,4746.1,5243.0,4675.0,4645.1,5012.1,4907.4,,4572.0,4756.9,4899.0,4778.0,4840.5,5060.4,4801.0,4875.1,4635.0,4720.3,4699.1,,4613.0,4787.6,4382.0,,4572.6,4858.1,4798.0,4423.8,4907.0,4646.7,,4591.7,4744.5,4960.0,4624.8,5791.7,4908.0,4842.0,4433.6,4742.0,-450.9,-37.9,-454.8,-391.0,-438.6,-332.0,-158.0,-353.9,143.0,-425.0,-454.9,-87.9,-192.6,,-528.0,-343.1,-201.0,-322.0,-259.5,-39.6,-299.0,-224.9,-465.0,-379.7,-400.9,,-487.0,-312.4,-718.0,,-527.4,-241.9,-302.0,-676.2,-193.0,-453.3,,-508.3,-355.5,-140.0,-475.2,691.7,-192.0,-258.0,-666.4,-358.0,True,False,True,True,True,True,True,True,True,False,True,True,,False,True,True,True,True,True,True,True,False,True,True,,False,True,False,,False,True,True,False,True,False,,False,True,True,False,False,True,True,False,True
Massachusetts,11307,11023.3,11260.5,10966.2,10945.0,10952.0,11127.0,11408.0,11247.6,12499.0,11420.0,11041.0,11760.8,11265.5,,11140.0,11463.3,12263.8,11042.0,11068.8,12227.6,11106.0,11290.3,10788.0,11125.5,11147.4,,10683.0,11165.1,10738.0,,10874.3,10827.2,11041.0,12351.7,11579.0,10771.9,,10984.1,11149.1,11754.0,10662.0,14186.6,11452.0,11053.5,10603.4,10857.0,-283.7,-46.5,-340.8,-362.0,-355.0,-180.0,101.0,-59.4,1192.0,113.0,-266.0,453.8,-41.5,,-167.0,156.3,956.8,-265.0,-238.2,920.6,-201.0,-16.7,-519.0,-181.5,-159.6,,-624.0,-141.9,-569.0,,-432.7,-479.8,-266.0,1044.7,272.0,-535.1,,-322.9,-157.9,447.0,-645.0,2879.6,145.0,-253.5,-703.6,-450.0,True,False,False,False,True,True,True,False,True,True,False,True,,True,True,False,True,True,False,True,True,False,True,True,,False,True,False,,False,False,True,False,True,False,,False,True,False,False,False,True,True,False,False
Michigan,11195,10038.4,12020.9,10205.1,10212.0,10099.8,10759.0,10889.0,10457.9,13278.0,12358.0,9346.3,11178.3,11228.3,,9992.0,10775.6,11645.8,10464.0,10590.9,12149.8,11932.0,10625.6,9454.0,10893.8,10462.9,9860.5,9041.3,10254.8,9392.5,,9282.7,10742.6,11297.0,12496.2,9502.0,9850.8,,10075.6,10947.8,13250.0,12993.7,16235.4,12048.0,10158.0,8585.2,10668.0,-1156.6,825.9,-989.9,-983.0,-1095.2,-436.0,-306.0,-737.1,2083.0,1163.0,-1848.7,-16.7,33.3,,-1203.0,-419.4,450.8,-731.0,-604.1,954.8,737.0,-569.4,-1741.0,-301.2,-732.1,-1334.5,-2153.7,-940.2,-1802.5,,-1912.3,-452.4,102.0,1301.2,-1693.0,-1344.2,,-1119.4,-247.2,2055.0,1798.7,5040.4,853.0,-1037.0,-2609.8,-527.0,True,True,True,True,True,True,True,False,False,False,True,True,,False,True,True,True,True,True,True,True,False,True,True,False,False,True,False,,False,True,True,False,False,False,,True,True,False,False,False,True,True,False,True
Minnesota,4418,3929.1,5447.7,3955.2,4406.0,3933.8,4430.0,4748.0,4339.7,7703.0,4799.0,4122.0,,5859.6,,4159.0,4465.8,5520.4,4380.0,4266.3,5028.3,5098.0,4915.9,3808.0,4143.1,4292.5,3511.5,3468.7,4499.3,4110.0,,3863.9,4136.1,4957.0,3176.1,5709.0,3830.0,,4055.1,4168.1,5150.0,3979.2,6689.4,5065.0,4629.0,3130.3,4394.0,-488.9,1029.7,-462.8,-12.0,-484.2,12.0,330.0,-78.3,3285.0,381.0,-296.0,,1441.6,,-259.0,47.8,1102.4,-38.0,-151.7,610.3,680.0,497.9,-610.0,-274.9,-125.5,-906.5,-949.3,81.3,-308.0,,-554.1,-281.9,539.0,-1241.9,1291.0,-588.0,,-362.9,-249.9,732.0,-438.8,2271.4,647.0,211.0,-1287.7,-24.0,False,True,True,True,True,True,True,False,True,True,,False,,True,True,False,True,True,False,False,False,False,True,True,False,False,True,True,,False,True,False,False,False,False,,True,True,False,True,False,False,True,False,True
Mississippi,4180,3928.7,4051.0,3972.9,3924.0,3968.7,3983.0,3730.0,3938.6,4025.0,3751.0,3876.3,3889.0,3928.8,,4012.0,4062.2,3944.2,4133.0,3852.3,4046.3,4044.0,4033.5,3958.0,3972.2,3989.5,,4026.7,4063.9,3881.0,,3963.2,3919.0,4090.0,4034.5,4070.0,3967.2,,3919.9,3992.9,4188.0,3941.6,4380.9,4057.0,3879.0,3783.3,3986.0,-251.3,-129.0,-207.1,-256.0,-211.3,-197.0,-450.0,-241.4,-155.0,-429.0,-303.7,-291.0,-251.2,,-168.0,-117.8,-235.8,-47.0,-327.7,-133.7,-136.0,-146.5,-222.0,-207.8,-190.5,,-153.3,-116.1,-299.0,,-216.8,-261.0,-90.0,-145.5,-110.0,-212.8,,-260.1,-187.1,8.0,-238.4,200.9,-123.0,-301.0,-396.7,-194.0,True,True,False,True,True,False,True,True,False,False,False,True,,True,True,True,True,False,True,True,True,True,True,True,,True,True,False,,True,False,True,True,True,True,,False,True,True,True,True,True,False,False,True
Missouri,4602,4243.3,5024.3,4252.3,4588.0,4286.6,4420.0,5150.0,4373.9,6035.0,4150.0,4028.9,,4679.5,,4414.0,4657.8,4793.4,4549.0,4462.1,5181.9,4065.5,4413.0,4269.0,4352.3,4128.8,,5228.4,4757.4,4392.0,,3960.3,3541.0,4337.0,4369.2,4791.0,3699.5,,4642.8,4426.9,4783.0,4062.8,5190.9,4769.0,3849.5,3508.5,4323.0,-358.7,422.3,-349.7,-14.0,-315.4,-182.0,548.0,-228.1,1433.0,-452.0,-573.1,,77.5,,-188.0,55.8,191.4,-53.0,-139.9,579.9,-536.5,-189.0,-333.0,-249.7,-473.2,,626.4,155.4,-210.0,,-641.7,-1061.0,-265.0,-232.8,189.0,-902.5,,40.8,-175.1,181.0,-539.2,588.9,167.0,-752.5,-1093.5,-279.0,False,True,True,True,True,False,True,False,False,False,,True,,True,True,True,True,True,False,False,True,True,True,False,,False,True,True,,False,False,True,True,True,False,,True,True,True,False,False,True,False,False,True
Montana,816,766.9,760.4,770.7,790.0,790.0,844.0,824.0,791.7,868.0,835.0,704.2,1033.3,904.4,,876.0,970.8,743.6,970.0,789.3,970.6,846.0,839.6,888.0,952.2,838.8,,623.4,897.3,827.0,,,794.9,906.0,1094.1,959.0,631.7,,951.3,973.4,1026.0,756.8,934.3,871.0,697.0,643.6,842.0,-49.1,-55.6,-45.3,-26.0,-26.0,28.0,8.0,-24.3,52.0,19.0,-111.8,217.3,88.4,,60.0,154.8,-72.4,154.0,-26.7,154.6,30.0,23.6,72.0,136.2,22.8,,-192.6,81.3,11.0,,,-21.1,90.0,278.1,143.0,-184.3,,135.3,157.4,210.0,-59.2,118.3,55.0,-119.0,-172.4,26.0,False,True,True,True,True,True,True,False,True,False,False,False,,False,False,False,False,True,False,True,True,False,False,True,,False,False,True,,,True,False,False,False,False,,False,False,False,False,False,False,False,False,True
Nebraska,1365,1072.1,1541.0,1083.4,1189.0,1083.2,1211.0,1280.0,1201.4,1727.0,1187.0,1118.6,1323.6,1269.0,,1187.0,1314.9,1249.1,1365.0,1185.6,1419.2,966.0,1224.0,1291.0,1199.7,1129.1,,963.9,1210.9,1065.0,,,1265.9,1341.0,1162.9,1191.0,845.0,,1139.9,1220.4,1294.0,935.2,1311.1,1255.0,1011.0,865.3,1105.0,-292.9,176.0,-281.6,-176.0,-281.8,-154.0,-85.0,-163.6,362.0,-178.0,-246.4,-41.4,-96.0,,-178.0,-50.1,-115.9,0.0,-179.4,54.2,-399.0,-141.0,-74.0,-165.3,-235.9,,-401.1,-154.1,-300.0,,,-99.1,-24.0,-202.1,-174.0,-520.0,,-225.1,-144.6,-71.0,-429.8,-53.9,-110.0,-354.0,-499.7,-260.0,True,True,True,True,True,True,True,False,True,True,True,True,,True,True,True,True,True,True,False,True,True,True,True,,False,True,False,,,True,True,True,True,False,,True,True,True,False,True,True,False,False,True
Nevada,2520,2132.7,2241.0,2138.2,2199.0,2140.3,2244.0,2362.0,2285.8,2423.0,2049.0,2051.8,2225.8,2330.1,,2137.0,2223.6,2272.3,2253.0,2320.4,2345.5,2239.0,2328.4,2142.0,2242.8,2260.6,,2362.4,2257.1,2646.0,,2426.5,2177.7,2264.0,1973.9,2312.0,2138.9,,2222.2,2264.7,2359.0,2141.6,2592.0,2305.0,2142.0,2042.2,2137.0,-387.3,-279.0,-381.8,-321.0,-379.7,-276.0,-158.0,-234.2,-97.0,-471.0,-468.2,-294.2,-189.9,,-383.0,-296.4,-247.7,-267.0,-199.6,-174.5,-281.0,-191.6,-378.0,-277.2,-259.4,,-157.6,-262.9,126.0,,-93.5,-342.3,-256.0,-546.1,-208.0,-381.1,,-297.8,-255.3,-161.0,-378.4,72.0,-215.0,-378.0,-477.8,-383.0,True,True,True,True,True,True,True,True,False,False,True,True,,True,True,True,True,True,True,True,True,True,True,True,,True,True,True,,True,True,True,False,True,True,,True,True,True,True,True,True,True,False,True
New Hampshire,600,537.6,624.0,541.7,569.0,539.0,579.0,617.0,574.0,613.0,598.0,596.8,675.9,634.8,,578.0,570.9,665.7,584.0,616.9,640.5,585.0,565.9,569.0,554.5,553.0,,549.4,565.9,571.0,,,544.1,626.0,613.8,602.0,538.8,,544.7,578.7,674.0,521.7,924.9,589.0,531.0,512.4,532.0,-62.4,24.0,-58.3,-31.0,-61.0,-21.0,17.0,-26.0,13.0,-2.0,-3.2,75.9,34.8,,-22.0,-29.1,65.7,-16.0,16.9,40.5,-15.0,-34.1,-31.0,-45.5,-47.0,,-50.6,-34.1,-29.0,,,-55.9,26.0,13.8,2.0,-61.2,,-55.3,-21.3,74.0,-78.3,324.9,-11.0,-69.0,-87.6,-68.0,True,True,True,True,True,True,True,True,True,True,False,True,,True,True,False,True,True,True,True,True,True,True,True,,True,True,True,,,True,True,True,True,True,,True,True,False,False,False,True,False,False,False
New Jersey,17732,17094.4,17444.5,17035.9,17195.0,17074.3,17262.0,17600.0,17401.9,17802.0,17572.0,17102.5,18108.4,17263.4,,17035.0,17206.1,18222.0,17309.0,17686.3,17634.6,17504.0,17627.1,17053.0,17216.3,17216.8,,17082.9,17181.4,16614.0,,16818.1,17239.8,17328.0,17346.3,17083.0,17009.4,,17116.6,17238.9,18066.0,17277.3,23688.5,17453.0,17560.5,16663.6,17407.0,-637.6,-287.5,-696.1,-537.0,-657.7,-470.0,-132.0,-330.1,70.0,-160.0,-629.5,376.4,-468.6,,-697.0,-525.9,490.0,-423.0,-45.7,-97.4,-228.0,-104.9,-679.0,-515.7,-515.2,,-649.1,-550.6,-1118.0,,-913.9,-492.2,-404.0,-385.7,-649.0,-722.6,,-615.4,-493.1,334.0,-454.7,5956.5,-279.0,-171.5,-1068.4,-325.0,True,False,True,False,True,True,True,True,True,True,True,True,,False,True,True,True,True,True,True,True,False,True,True,,False,True,False,,False,True,True,True,False,False,,True,True,True,True,False,True,True,False,True
New Mexico,1913,1589.1,1710.7,1618.1,1702.0,1624.0,1773.0,1721.0,1725.5,2024.0,1361.0,1628.5,1829.9,1856.9,,1630.0,1912.9,1917.1,1724.0,1638.3,2068.1,1803.0,1709.9,1540.0,1729.6,1774.2,,1529.0,1781.1,1876.0,,,1661.3,1776.0,6644.5,1854.0,1514.2,,1533.3,1752.7,1744.0,1811.0,2112.5,1818.0,1821.5,1314.0,1921.0,-323.9,-202.3,-294.9,-211.0,-289.0,-140.0,-192.0,-187.5,111.0,-552.0,-284.5,-83.1,-56.1,,-283.0,-0.1,4.1,-189.0,-274.7,155.1,-110.0,-203.1,-373.0,-183.4,-138.8,,-384.0,-131.9,-37.0,,,-251.7,-137.0,4731.5,-59.0,-398.8,,-379.7,-160.3,-169.0,-102.0,199.5,-95.0,-91.5,-599.0,8.0,True,True,True,True,True,True,True,True,False,True,True,True,,True,True,True,True,True,True,True,True,False,True,True,,False,True,True,,,True,True,False,True,False,,False,True,True,True,True,True,True,False,True
New York,35504,34529.6,34623.8,34493.1,34794.0,34610.0,34892.0,35158.0,35081.7,36492.0,34979.0,34624.6,35617.5,35043.5,,34796.0,34765.8,38074.5,34803.0,35868.0,35534.3,35435.0,35183.1,34802.0,34654.8,34805.2,,34557.5,34853.4,33913.0,,34463.7,34189.6,35235.0,35843.5,35321.0,34290.4,,34931.0,34675.3,35582.0,34593.0,42107.8,35044.0,34559.0,33903.2,34196.0,-974.4,-880.2,-1010.9,-710.0,-894.0,-612.0,-346.0,-422.3,988.0,-525.0,-879.4,113.5,-460.5,,-708.0,-738.2,2570.5,-701.0,364.0,30.3,-69.0,-320.9,-702.0,-849.2,-698.8,,-946.5,-650.6,-1591.0,,-1040.3,-1314.4,-269.0,339.5,-183.0,-1213.6,,-573.0,-828.7,78.0,-911.0,6603.8,-460.0,-945.0,-1600.8,-1308.0,True,False,True,True,True,True,True,False,True,True,True,True,,True,True,False,True,True,True,True,True,True,True,True,,True,True,False,,False,False,True,True,True,False,,True,True,True,True,False,True,True,False,False
North Carolina,5796,5573.6,5303.6,5318.8,5453.0,5360.3,5556.0,5526.0,5586.4,5536.0,5441.0,5679.5,5487.4,5535.2,,5433.0,5810.0,5503.0,5872.0,5909.3,5786.2,5430.0,5643.7,5696.0,5571.3,5612.4,,5357.3,5576.2,6274.5,,5638.4,5453.4,5751.0,5152.2,5778.0,5361.6,,5778.9,5568.8,5851.0,5449.3,5967.3,5484.0,5617.5,5248.0,5205.0,-222.4,-492.4,-477.2,-343.0,-435.7,-240.0,-270.0,-209.6,-260.0,-355.0,-116.5,-308.6,-260.8,,-363.0,14.0,-293.0,76.0,113.3,-9.8,-366.0,-152.3,-100.0,-224.7,-183.6,,-438.7,-219.8,478.5,,-157.6,-342.6,-45.0,-643.8,-18.0,-434.4,,-17.1,-227.2,55.0,-346.7,171.3,-312.0,-178.5,-548.0,-591.0,False,False,False,False,False,False,True,False,False,True,False,False,,False,True,False,True,True,True,False,True,True,False,True,,False,True,False,,True,False,True,False,True,False,,True,False,True,False,True,False,True,False,False
North Dakota,1152,1110.1,1163.2,1101.6,1073.0,1118.0,1210.0,1111.0,1166.5,1430.0,1174.0,1212.5,1309.3,1442.5,,1236.0,1320.5,1003.9,1281.0,939.8,1472.2,1102.0,1199.0,1125.0,1220.5,1276.1,,1247.0,1309.7,1148.0,,,1150.7,1397.0,993.6,1210.0,976.9,,1251.0,1243.7,1269.0,1074.4,1159.8,1300.0,1072.0,901.7,1172.0,-41.9,11.2,-50.4,-79.0,-34.0,58.0,-41.0,14.5,278.0,22.0,60.5,157.3,290.5,,84.0,168.5,-148.1,129.0,-212.2,320.2,-50.0,47.0,-27.0,68.5,124.1,,95.0,157.7,-4.0,,,-1.3,245.0,-158.4,58.0,-175.1,,99.0,91.7,117.0,-77.6,7.8,148.0,-80.0,-250.3,20.0,True,False,False,True,False,True,True,False,True,False,False,False,,False,False,False,False,False,False,False,False,True,False,False,,False,False,True,,,True,False,False,False,False,,False,False,False,False,True,False,False,False,True
Ohio,7477,6512.7,7242.2,6538.1,7123.0,6545.8,7027.0,8314.0,7184.7,8325.0,6370.0,6404.9,6894.8,7441.0,,6946.0,7027.2,8196.8,7230.0,8200.8,7680.8,8102.0,7626.2,6748.0,7048.7,6941.8,7623.0,10788.3,7075.6,6590.0,,6387.6,6668.8,7217.0,9749.1,7573.0,6211.4,,6466.6,7070.4,8105.0,6448.1,11426.0,7216.0,6677.5,6090.3,6837.0,-964.3,-234.8,-938.9,-354.0,-931.2,-450.0,837.0,-292.3,848.0,-1107.0,-1072.1,-582.2,-36.0,,-531.0,-449.8,719.8,-247.0,723.8,203.8,625.0,149.2,-729.0,-428.3,-535.2,146.0,3311.3,-401.4,-887.0,,-1089.4,-808.2,-260.0,2272.1,96.0,-1265.6,,-1010.4,-406.6,628.0,-1028.9,3949.0,-261.0,-799.5,-1386.7,-640.0,True,True,True,True,True,True,True,True,False,False,True,True,,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,,False,True,True,False,True,False,,False,True,True,False,False,True,True,False,True
Oklahoma,2042,1875.1,2045.1,1858.5,2001.0,1863.9,2014.0,2242.0,2005.2,2556.0,1872.0,1820.4,1961.2,2151.0,,1948.0,2126.6,2291.3,2227.0,2069.9,2254.7,2205.0,2193.3,2031.0,1893.8,1959.6,,1705.7,2029.9,1802.0,,,1860.2,2038.0,1773.7,2268.0,1784.0,,2014.3,1917.8,2430.0,1873.1,2424.0,2020.0,1848.0,1692.1,1859.0,-166.9,3.1,-183.5,-41.0,-178.1,-28.0,200.0,-36.8,514.0,-170.0,-221.6,-80.8,109.0,,-94.0,84.6,249.3,185.0,27.9,212.7,163.0,151.3,-11.0,-148.2,-82.4,,-336.3,-12.1,-240.0,,,-181.8,-4.0,-268.3,226.0,-258.0,,-27.7,-124.2,388.0,-168.9,382.0,-22.0,-194.0,-349.9,-183.0,True,False,True,False,True,False,True,False,False,False,True,True,,True,True,False,False,True,False,True,True,True,True,True,,False,True,False,,,False,True,False,False,False,,True,True,False,False,False,True,False,False,False
Oregon,1150,880.6,940.1,872.6,980.0,879.0,974.0,1029.0,1002.6,1378.0,891.0,863.9,974.1,996.7,,947.0,1048.8,1168.6,1028.0,1275.3,1212.6,1026.0,958.1,1019.0,1013.7,928.8,,836.6,963.6,966.0,,,886.2,1042.0,1022.9,1058.0,845.1,,973.5,1036.1,1088.0,893.6,1146.4,1080.0,882.0,829.0,884.0,-269.4,-209.9,-277.4,-170.0,-271.0,-176.0,-121.0,-147.4,228.0,-259.0,-286.1,-175.9,-153.3,,-203.0,-101.2,18.6,-122.0,125.3,62.6,-124.0,-191.9,-131.0,-136.3,-221.2,,-313.4,-186.4,-184.0,,,-263.8,-108.0,-127.1,-92.0,-304.9,,-176.5,-113.9,-62.0,-256.4,-3.6,-70.0,-268.0,-321.0,-266.0,True,False,True,False,True,True,True,True,True,False,True,True,,True,True,True,True,True,True,True,True,True,True,True,,False,True,True,,,True,True,True,True,False,,True,True,True,True,True,True,True,False,True
Pennsylvania,12371,10389.3,11588.6,10294.5,10452.0,10256.3,10695.0,11220.0,10724.8,11929.0,11019.0,10403.9,,11205.9,,10270.0,10764.2,12332.9,10662.0,11475.5,11845.6,10739.0,10993.3,10160.0,10669.6,10625.1,,11017.7,10555.1,10916.0,,10166.4,10009.9,10422.0,10695.3,11388.0,10111.8,,9941.0,10676.6,11692.0,10137.8,15393.2,11217.0,10426.0,9661.2,10440.0,-1981.7,-782.4,-2076.5,-1919.0,-2114.7,-1676.0,-1151.0,-1646.2,-442.0,-1352.0,-1967.1,,-1165.1,,-2101.0,-1606.8,-38.1,-1709.0,-895.5,-525.4,-1632.0,-1377.7,-2211.0,-1701.4,-1745.9,,-1353.3,-1815.9,-1455.0,,-2204.6,-2361.1,-1949.0,-1675.7,-983.0,-2259.2,,-2430.0,-1694.4,-679.0,-2233.2,3022.2,-1154.0,-1945.0,-2709.8,-1931.0,True,False,True,False,True,True,True,True,True,True,,True,,False,True,True,True,True,True,True,True,False,True,True,,True,True,True,,False,False,True,True,True,False,,False,True,True,False,False,True,True,False,True
Rhode Island,1509,1369.7,1409.5,1375.5,1425.0,1376.2,1410.0,1460.0,1351.4,1458.0,1498.0,1471.8,1501.0,1473.9,,1380.0,1462.5,1565.1,1390.0,1421.3,1521.0,1384.0,1409.3,1350.0,1404.2,1410.1,,1504.2,1420.8,1384.0,,,1320.8,1360.0,1890.3,1444.0,1346.8,,1404.6,1427.0,1572.0,1371.5,1744.9,1401.0,1347.0,1267.5,1364.0,-139.3,-99.5,-133.5,-84.0,-132.8,-99.0,-49.0,-157.6,-51.0,-11.0,-37.2,-8.0,-35.1,,-129.0,-46.5,56.1,-119.0,-87.7,12.0,-125.0,-99.7,-159.0,-104.8,-98.9,,-4.8,-88.2,-125.0,,,-188.2,-149.0,381.3,-65.0,-162.2,,-104.4,-82.0,63.0,-137.5,235.9,-108.0,-162.0,-241.5,-145.0,True,True,True,True,True,True,False,True,True,True,True,True,,True,True,True,True,True,True,True,True,False,True,True,,True,True,True,,,False,False,False,True,False,,True,True,True,True,False,True,False,False,False
South Carolina,4685,4405.1,4410.8,4484.1,4537.0,4490.2,4512.0,4588.0,4554.8,4803.0,4391.0,4408.9,4367.5,4494.6,,4447.5,4546.7,4489.0,4704.0,4582.0,4546.0,4302.0,4498.8,4556.0,4562.5,4348.8,,4419.3,4508.0,4489.5,,4475.7,4327.5,4725.0,4850.6,4561.0,4515.7,,4563.9,4583.9,4687.0,4552.2,4970.6,4564.0,4310.0,4419.2,4541.0,-279.9,-274.2,-200.9,-148.0,-194.8,-173.0,-97.0,-130.2,118.0,-294.0,-276.1,-317.5,-190.4,,-237.5,-138.3,-196.0,19.0,-103.0,-139.0,-383.0,-186.2,-129.0,-122.5,-336.2,,-265.7,-177.0,-195.5,,-209.3,-357.5,40.0,165.6,-124.0,-169.3,,-121.1,-101.1,2.0,-132.8,285.6,-121.0,-375.0,-265.8,-144.0,True,True,True,True,True,True,True,True,False,True,False,True,,True,True,True,True,True,True,False,True,True,True,False,,True,True,True,,True,False,True,True,True,True,,True,True,True,True,False,True,False,True,True
South Dakota,1243,1060.6,1125.2,1018.3,900.0,1013.0,1124.0,1040.0,1004.6,1159.0,957.0,1195.2,,1127.9,,1089.0,1212.3,978.1,1271.0,806.8,1168.3,1108.0,1108.5,1035.0,1228.1,1184.8,,1406.5,1182.1,1033.0,,,1147.0,1147.0,752.7,1300.0,704.8,,1113.4,1257.3,1173.0,1071.1,1096.6,982.0,1482.0,778.7,1086.0,-182.4,-117.8,-224.7,-343.0,-230.0,-119.0,-203.0,-238.4,-84.0,-286.0,-47.8,,-115.1,,-154.0,-30.7,-264.9,28.0,-436.2,-74.7,-135.0,-134.5,-208.0,-14.9,-58.2,,163.5,-60.9,-210.0,,,-96.0,-96.0,-490.3,57.0,-538.2,,-129.6,14.3,-70.0,-171.9,-146.4,-261.0,239.0,-464.3,-157.0,True,False,False,False,True,False,False,True,False,True,,True,,True,True,False,True,False,True,True,True,False,True,True,,True,True,False,,,True,True,False,True,False,,True,True,True,True,True,False,False,False,True
Tennessee,5400,5042.4,5927.6,4987.2,5126.0,5024.7,5160.0,5118.0,4941.7,5561.0,4601.0,4770.8,4991.2,5351.7,,5146.0,5401.9,5184.1,5370.0,4912.0,6190.1,5541.5,5434.1,4783.0,5348.6,5164.4,,4583.6,5335.1,5222.0,,5068.5,5780.8,5313.0,4550.9,5375.0,4732.0,,4926.2,5364.3,5368.0,4862.8,4964.8,5386.0,4766.5,4303.1,5097.0,-357.6,527.6,-412.8,-274.0,-375.3,-240.0,-282.0,-458.3,161.0,-799.0,-629.2,-408.8,-48.3,,-254.0,1.9,-215.9,-30.0,-488.0,790.1,141.5,34.1,-617.0,-51.4,-235.6,,-816.4,-64.9,-178.0,,-331.5,380.8,-87.0,-849.1,-25.0,-668.0,,-473.8,-35.7,-32.0,-537.2,-435.2,-14.0,-633.5,-1096.9,-303.0,False,False,True,False,True,True,False,True,False,False,False,True,,True,True,True,True,False,False,True,True,False,True,True,,False,True,True,,True,False,True,False,True,False,,False,True,True,False,False,True,False,False,True
