,actual_deaths,Baseline,BPagano-RtDriven,CEID-Walk,CMU-TimeSeries,COVIDhub-baseline,COVIDhub-ensemble,CU-select,Caltech-CS156,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,GT-DeepCOVID,Google_Harvard-CPF,IBF-TimeSeries,IQVIA_ACOE-STAN,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MIT_CritData-GBCF,MOBS-GLEAM_COVID,MSRA-DeepST,NotreDame-mobility,OliverWyman-Navigator,PSI-DRAFT,QJHong-Encounter,RPI_UW-Mob_Collision,RobertWalraven-ESG,SteveMcConnell-CovidComplete,TTU-squider,UA-EpiCovDA,UCLA-SuEIR,UCM_MESALab-FoGSEIR,UCSB-ACTS,UCSD_NEU-DeepGLEAM,UChicagoCHATTOPADHYAY-UnIT,UMass-MechBayes,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,UT-Mobility,WalmartLabsML-LogForecasting,epiforecasts-ensemble1,error-Baseline,error-BPagano-RtDriven,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-baseline,error-COVIDhub-ensemble,error-CU-select,error-Caltech-CS156,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-GT-DeepCOVID,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IQVIA_ACOE-STAN,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MIT_CritData-GBCF,error-MOBS-GLEAM_COVID,error-MSRA-DeepST,error-NotreDame-mobility,error-OliverWyman-Navigator,error-PSI-DRAFT,error-QJHong-Encounter,error-RPI_UW-Mob_Collision,error-RobertWalraven-ESG,error-SteveMcConnell-CovidComplete,error-TTU-squider,error-UA-EpiCovDA,error-UCLA-SuEIR,error-UCM_MESALab-FoGSEIR,error-UCSB-ACTS,error-UCSD_NEU-DeepGLEAM,error-UChicagoCHATTOPADHYAY-UnIT,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,error-UT-Mobility,error-WalmartLabsML-LogForecasting,error-epiforecasts-ensemble1,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-baseline,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Caltech-CS156,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-GT-DeepCOVID,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IQVIA_ACOE-STAN,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MIT_CritData-GBCF,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-MSRA-DeepST,beat_baseline-NotreDame-mobility,beat_baseline-OliverWyman-Navigator,beat_baseline-PSI-DRAFT,beat_baseline-QJHong-Encounter,beat_baseline-RPI_UW-Mob_Collision,beat_baseline-RobertWalraven-ESG,beat_baseline-SteveMcConnell-CovidComplete,beat_baseline-TTU-squider,beat_baseline-UA-EpiCovDA,beat_baseline-UCLA-SuEIR,beat_baseline-UCM_MESALab-FoGSEIR,beat_baseline-UCSB-ACTS,beat_baseline-UCSD_NEU-DeepGLEAM,beat_baseline-UChicagoCHATTOPADHYAY-UnIT,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-UT-Mobility,beat_baseline-WalmartLabsML-LogForecasting,beat_baseline-epiforecasts-ensemble1
New York,35504,35010.4,35318.1,34968.1,35072.0,34952.1,35226.0,35162.0,35287.4,35215.0,35408.8,35516.0,35028.6,35354.0,35350.4,,34748.0,35332.0,35089.9,35332.5,35142.0,35350.7,35348.4,35130.0,35189.3,35314.0,35101.6,35319.0,35043.2,35260.8,34393.0,,34998.7,34619.4,35922.0,36306.3,35359.0,35046.9,,35423.2,35113.3,35032.2,35304.0,,39683.8,35226.0,35128.0,34493.0,35087.0,-481.6,-173.9,-523.9,-420.0,-539.9,-266.0,-330.0,-204.6,-277.0,-83.2,24.0,-463.4,-138.0,-141.6,,-744.0,-160.0,-402.1,-159.5,-350.0,-141.3,-143.6,-362.0,-302.7,-178.0,-390.4,-173.0,-448.8,-231.2,-1099.0,,-493.3,-872.6,430.0,814.3,-133.0,-445.1,,-68.8,-378.7,-459.8,-188.0,,4191.8,-266.0,-364.0,-999.0,-405.0,True,False,True,False,True,True,True,True,True,True,True,True,True,,False,True,True,True,True,True,True,True,True,True,True,True,True,True,False,,False,False,True,False,True,True,,True,True,True,True,,False,True,True,False,True
North Carolina,5796,5622.6,5850.3,5620.8,5711.0,5647.0,5736.0,5700.0,5710.6,5590.0,5859.8,5779.0,5705.7,5847.5,5812.6,,5618.0,5761.0,5753.2,5728.3,5792.0,5836.8,5794.3,5665.0,5655.8,5786.0,5686.9,5764.4,5420.0,5922.6,5817.0,,5645.1,6539.2,5691.0,5945.6,5759.0,5608.9,,5914.4,5690.1,5668.3,5761.0,,5909.2,5744.0,5591.5,5494.2,5690.0,-173.4,54.3,-175.2,-85.0,-149.0,-60.0,-96.0,-85.4,-206.0,63.8,-17.0,-90.3,51.5,16.6,,-178.0,-35.0,-42.8,-67.7,-4.0,40.8,-1.7,-131.0,-140.2,-10.0,-109.1,-31.6,-376.0,126.6,21.0,,-150.9,743.2,-105.0,149.6,-37.0,-187.1,,118.4,-105.9,-127.7,-35.0,,113.2,-52.0,-204.5,-301.8,-106.0,True,False,True,True,True,True,True,False,True,True,True,True,True,,False,True,True,True,True,True,True,True,True,True,True,True,False,True,True,,True,False,True,True,True,False,,True,True,True,True,,True,True,False,False,True
North Dakota,1152,1074.6,1076.7,1079.3,1110.0,1083.0,1090.0,1061.0,1082.7,996.0,1284.3,1092.0,1081.4,1095.9,1079.5,,1118.0,1103.0,1153.2,1093.8,1143.0,1005.2,1121.5,997.0,1056.8,1133.0,1107.6,1116.9,995.5,1222.6,1137.0,,,1227.2,1052.0,1092.5,996.0,1090.9,,1237.8,1117.9,1042.6,1069.0,,1157.6,1092.0,1047.5,1021.0,1076.0,-77.4,-75.3,-72.7,-42.0,-69.0,-62.0,-91.0,-69.3,-156.0,132.3,-60.0,-70.6,-56.1,-72.5,,-34.0,-49.0,1.2,-58.2,-9.0,-146.8,-30.5,-155.0,-95.2,-19.0,-44.4,-35.1,-156.5,70.6,-15.0,,,75.2,-100.0,-59.5,-156.0,-61.1,,85.8,-34.1,-109.4,-83.0,,5.6,-60.0,-104.5,-131.0,-76.0,True,True,True,True,True,False,True,False,False,True,True,True,True,,True,True,True,True,True,False,True,False,False,True,True,True,False,True,True,,,True,False,True,False,True,,False,True,False,False,,True,True,False,False,True
Ohio,10094,7147.4,7711.6,7167.2,7309.0,7166.1,7336.0,7711.0,7367.7,7081.0,7779.0,7270.0,7015.2,7149.8,7387.0,,7047.0,7460.0,7288.7,7198.2,7338.0,7720.9,7550.8,7257.0,7212.7,7496.0,7326.3,7517.6,6724.0,7377.7,6800.0,,7063.0,7291.1,7629.0,9603.9,7102.0,7071.5,,7414.4,7382.5,7192.9,7360.0,6824.7,9926.0,7512.0,7399.0,6642.6,7648.0,-1502.6,-938.4,-1482.8,-1341.0,-1483.9,-1314.0,-939.0,-1282.3,-1569.0,-871.0,-1380.0,-1634.8,-1500.2,-1263.0,,-1603.0,-1190.0,-1361.3,-1451.8,-1312.0,-929.1,-1099.2,-1393.0,-1437.3,-1154.0,-1323.7,-1132.4,-1926.0,-1272.3,-1850.0,,-1587.0,-1358.9,-1021.0,953.9,-1548.0,-1578.5,,-1235.6,-1267.5,-1457.1,-1290.0,-1825.3,1276.0,-1138.0,-1251.0,-2007.4,-1002.0,True,True,True,True,True,True,True,False,True,True,False,True,True,,False,True,True,True,True,True,True,True,True,True,True,True,False,True,False,,False,True,True,True,False,False,,True,True,True,True,False,True,True,True,False,True
Oklahoma,2042,1925.4,2079.5,1891.9,1948.0,1903.0,1996.0,2033.0,2041.7,1964.0,2187.3,2097.0,1944.2,1967.6,2002.6,,1898.0,1999.0,2002.9,1993.8,2053.0,2048.5,1993.1,1900.0,1986.4,2133.0,1943.1,2024.0,1844.0,2064.4,1895.0,,,2203.3,2085.0,1903.6,1934.0,1912.4,,2172.9,1955.3,2003.6,2013.0,,2255.5,2075.0,1922.0,1836.1,1926.0,-116.6,37.5,-150.1,-94.0,-139.0,-46.0,-9.0,-0.3,-78.0,145.3,55.0,-97.8,-74.4,-39.4,,-144.0,-43.0,-39.1,-48.2,11.0,6.5,-48.9,-142.0,-55.6,91.0,-98.9,-18.0,-198.0,22.4,-147.0,,,161.3,43.0,-138.4,-108.0,-129.6,,130.9,-86.7,-38.4,-29.0,,213.5,33.0,-120.0,-205.9,-116.0,True,False,True,False,True,True,True,True,False,True,True,True,True,,False,True,True,True,True,True,True,False,True,True,True,True,False,True,False,,,False,True,False,True,False,,False,True,True,True,,False,True,False,False,True
Oregon,1150,1062.9,1164.7,1056.4,1045.0,1050.0,1083.0,1018.0,1087.4,1021.0,1093.1,1087.0,999.6,1067.4,1093.3,,1019.0,1060.0,1063.6,1100.0,1078.0,1165.3,1107.0,1086.0,1071.8,1101.0,1095.2,1085.8,987.5,1092.0,1010.0,,,1251.1,1143.0,1051.0,1083.0,1061.1,,1077.8,1107.0,1053.1,1092.0,,1139.7,1080.0,1036.0,953.8,1088.0,-87.1,14.7,-93.6,-105.0,-100.0,-67.0,-132.0,-62.6,-129.0,-56.9,-63.0,-150.4,-82.6,-56.7,,-131.0,-90.0,-86.4,-50.0,-72.0,15.3,-43.0,-64.0,-78.2,-49.0,-54.8,-64.2,-162.5,-58.0,-140.0,,,101.1,-7.0,-99.0,-67.0,-88.9,,-72.2,-43.0,-96.9,-58.0,,-10.3,-70.0,-114.0,-196.2,-62.0,True,False,False,False,True,False,True,False,True,True,False,True,True,,False,False,True,True,True,True,True,True,True,True,True,True,False,True,False,,,False,True,False,True,False,,True,True,False,True,,True,True,False,False,True
Pennsylvania,12371,11190.3,11863.1,11179.8,11366.0,11152.1,11549.0,11344.0,11444.8,11830.0,12218.6,11792.0,11210.5,11458.2,11896.3,,11095.0,11675.0,11595.1,12183.8,11310.0,11558.1,11943.2,11549.5,11385.2,11476.0,11517.8,11546.4,11597.8,11658.8,10872.0,,11824.1,12804.7,12188.0,11591.3,11304.0,10985.1,,11363.7,11547.2,11019.4,11542.0,11078.8,14586.2,11916.0,11918.0,10540.8,11337.0,-1180.7,-507.9,-1191.2,-1005.0,-1218.9,-822.0,-1027.0,-926.2,-541.0,-152.4,-579.0,-1160.5,-912.8,-474.7,,-1276.0,-696.0,-775.9,-187.2,-1061.0,-812.9,-427.8,-821.5,-985.8,-895.0,-853.2,-824.6,-773.2,-712.2,-1499.0,,-546.9,433.7,-183.0,-779.7,-1067.0,-1385.9,,-1007.3,-823.8,-1351.6,-829.0,-1292.2,2215.2,-455.0,-453.0,-1830.2,-1034.0,True,False,True,False,True,True,True,True,True,True,True,True,True,,False,True,True,True,True,True,True,True,True,True,True,True,True,True,False,,True,True,True,True,True,False,,True,True,False,True,False,False,True,True,False,True
Rhode Island,1622,1442.6,1484.5,1450.5,1446.0,1450.0,1466.0,1456.0,1402.5,1388.0,1494.2,1462.0,1492.7,1490.3,1486.0,,1438.0,1439.5,1470.5,1527.2,1474.0,1389.0,1492.9,1498.0,1426.0,1442.0,1464.2,1486.5,1509.3,1463.3,1400.0,,,1380.8,1449.0,1890.3,1455.0,1447.5,,1489.3,1476.6,1412.6,1479.0,,1790.4,1457.0,1418.0,1323.8,1404.0,-117.4,-75.5,-109.5,-114.0,-110.0,-94.0,-104.0,-157.5,-172.0,-65.8,-98.0,-67.3,-69.7,-74.0,,-122.0,-120.5,-89.5,-32.8,-86.0,-171.0,-67.1,-62.0,-134.0,-118.0,-95.8,-73.5,-50.7,-96.7,-160.0,,,-179.2,-111.0,330.3,-105.0,-112.5,,-70.7,-83.4,-147.4,-81.0,,230.4,-103.0,-142.0,-236.2,-156.0,True,True,True,True,True,True,False,False,True,True,True,True,True,,False,False,True,True,True,False,True,True,False,False,True,True,True,True,False,,,False,True,False,True,True,,True,True,False,True,,False,True,False,False,False
South Carolina,4685,4483.0,4553.2,4491.5,4575.0,4490.0,4589.0,4567.0,4575.2,4545.0,4662.1,4642.0,4566.4,4557.1,4650.4,,4518.0,4656.0,4552.2,4708.5,4593.0,4612.3,4646.6,4523.5,4541.6,4642.0,4630.4,4599.4,4514.8,4747.0,4626.0,,4829.9,5549.1,4644.0,4939.3,4548.0,4585.7,,4702.9,4636.0,4524.4,4592.0,,4815.8,4600.0,4479.0,4505.3,4515.0,-202.0,-131.8,-193.5,-110.0,-195.0,-96.0,-118.0,-109.8,-140.0,-22.9,-43.0,-118.6,-127.9,-34.6,,-167.0,-29.0,-132.8,23.5,-92.0,-72.7,-38.4,-161.5,-143.4,-43.0,-54.6,-85.6,-170.2,62.0,-59.0,,144.9,864.1,-41.0,254.3,-137.0,-99.3,,17.9,-49.0,-160.6,-93.0,,130.8,-85.0,-206.0,-179.7,-170.0,True,True,True,True,True,True,True,True,True,True,True,True,True,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,True,False,True,False,True,True,,True,True,True,True,,True,True,False,True,True
South Dakota,1243,1173.3,1316.1,1272.3,1251.0,1272.0,1251.0,1069.0,1168.3,1070.0,1288.1,1191.0,1162.6,,1215.7,,1423.0,1289.0,1322.0,1160.2,1287.0,1023.1,1229.7,1069.0,1117.8,1193.0,1338.4,1225.9,1169.7,1351.7,1261.0,,,1831.2,1284.0,852.4,1171.0,1180.0,,1342.7,1346.3,1135.1,1159.0,,1177.7,1289.0,1366.5,1067.3,1284.0,-69.7,73.1,29.3,8.0,29.0,8.0,-174.0,-74.7,-173.0,45.1,-52.0,-80.4,,-27.3,,180.0,46.0,79.0,-82.8,44.0,-219.9,-13.3,-174.0,-125.2,-50.0,95.4,-17.1,-73.3,108.7,18.0,,,588.2,41.0,-390.6,-72.0,-63.0,,99.7,103.3,-107.9,-84.0,,-65.3,46.0,123.5,-175.7,41.0,False,True,True,True,True,False,False,False,True,True,False,,True,,False,True,False,False,True,False,True,False,False,True,False,True,False,False,True,,,False,True,False,False,True,,False,False,False,False,,True,True,False,False,True
Tennessee,5400,5088.9,5372.2,5200.8,5197.0,5200.7,5231.0,4986.0,5178.9,5145.0,5779.8,5341.0,5011.0,5235.1,5294.5,,5155.0,5307.0,5469.5,5596.5,5275.0,5010.6,5429.4,5197.0,5129.3,5233.0,5345.3,5226.9,4678.9,5442.1,5611.0,,5456.9,5342.3,5426.0,4821.7,5139.0,5198.2,,5442.1,5341.5,5068.3,5157.0,,5140.3,5500.0,5046.0,4774.3,5148.0,-311.1,-27.8,-199.2,-203.0,-199.3,-169.0,-414.0,-221.1,-255.0,379.8,-59.0,-389.0,-164.9,-105.5,,-245.0,-93.0,69.5,196.5,-125.0,-389.4,29.4,-203.0,-270.7,-167.0,-54.7,-173.1,-721.1,42.1,211.0,,56.9,-57.7,26.0,-578.3,-261.0,-201.8,,42.1,-58.5,-331.7,-243.0,,-259.7,100.0,-354.0,-625.7,-252.0,True,True,True,True,True,False,True,True,False,True,False,True,True,,True,True,True,True,True,False,True,True,True,True,True,True,False,True,True,,True,True,True,False,True,True,,True,True,False,True,,True,True,False,False,True
Texas,24542,23384.4,24178.8,23608.1,23755.0,23558.0,23643.0,22967.0,23579.2,23515.0,25062.6,23135.0,23059.5,24181.3,24005.1,,23487.0,24440.0,24056.0,24247.3,23950.0,23163.5,24233.2,23555.0,23553.7,23749.0,23525.3,23733.0,23133.1,24765.0,22814.5,,24252.8,26391.6,24309.0,23400.2,22994.0,23315.2,,23993.0,23533.4,23265.7,23623.0,,24821.0,23994.0,23479.0,22717.4,23229.0,-801.6,-7.2,-577.9,-431.0,-628.0,-543.0,-1219.0,-606.8,-671.0,876.6,-1051.0,-1126.5,-4.7,-180.9,,-699.0,254.0,-130.0,61.3,-236.0,-1022.5,47.2,-631.0,-632.3,-437.0,-660.7,-453.0,-1052.9,579.0,-1371.5,,66.8,2205.6,123.0,-785.8,-1192.0,-870.8,,-193.0,-652.6,-920.3,-563.0,,635.0,-192.0,-707.0,-1468.6,-957.0,True,True,True,True,True,False,True,True,False,False,False,True,True,,True,True,True,True,True,False,True,True,True,True,True,True,False,True,False,,True,False,True,True,False,False,,True,True,False,True,,True,True,True,False,False
Utah,1038,1007.3,1177.3,1014.2,1015.0,1015.0,1023.0,978.0,1089.6,987.0,1190.4,1021.0,983.3,1018.6,787.3,,985.0,1095.0,1065.4,1004.6,1049.0,879.5,1038.3,985.0,1042.3,1053.0,1043.2,1088.9,1025.0,1078.7,1055.0,,,1225.7,1072.0,938.4,987.0,1000.3,,1251.4,1055.5,973.9,1011.0,,1126.7,1070.0,958.0,694.2,977.0,-30.7,139.3,-23.8,-23.0,-23.0,-15.0,-60.0,51.6,-51.0,152.4,-17.0,-54.7,-19.4,-250.7,,-53.0,57.0,27.4,-33.4,11.0,-158.5,0.3,-53.0,4.3,15.0,5.2,50.9,-13.0,40.7,17.0,,,187.7,34.0,-99.6,-51.0,-37.7,,213.4,17.5,-64.1,-27.0,,88.7,32.0,-80.0,-343.8,-61.0,False,True,True,True,True,False,False,False,False,True,False,True,False,,False,False,True,False,True,False,True,False,True,True,True,False,True,False,True,,,False,False,False,False,False,,False,True,False,True,,False,False,False,False,False
Vermont,95,74.4,85.4,74.9,77.0,75.0,78.0,69.0,81.0,81.0,57.9,79.0,71.3,75.6,78.8,,70.0,75.0,73.0,78.1,83.0,91.8,75.9,71.0,68.7,90.0,71.7,83.5,76.0,74.1,67.0,,,84.3,81.0,67.5,75.0,69.1,,77.9,85.4,77.5,73.0,,111.2,81.0,93.0,67.8,,-20.6,-9.6,-20.1,-18.0,-20.0,-17.0,-26.0,-14.0,-14.0,-37.1,-16.0,-23.7,-19.4,-16.2,,-25.0,-20.0,-22.0,-16.9,-12.0,-3.2,-19.1,-24.0,-26.3,-5.0,-23.3,-11.5,-19.0,-20.9,-28.0,,,-10.7,-14.0,-27.5,-20.0,-25.9,,-17.1,-9.6,-17.5,-22.0,,16.2,-14.0,-2.0,-27.2,,True,True,True,True,True,False,True,True,False,True,False,True,True,,False,True,False,True,True,True,True,False,False,True,False,True,True,False,False,,,True,True,False,True,False,,True,True,True,False,,True,True,True,False,
Virginia,4409,4280.9,4476.4,4298.0,4346.0,4286.1,4352.0,4288.0,4363.1,4374.0,4341.2,4258.0,4284.7,4327.5,4393.7,,4271.0,4397.0,4363.3,4437.4,4404.0,4438.0,4413.7,4419.0,4361.9,4398.0,4296.7,4405.6,4264.3,4469.5,4283.0,,4412.5,4484.3,4278.0,4023.8,4310.0,4258.6,,4430.6,4306.3,4316.1,4385.0,,4626.9,4384.0,4239.0,4200.6,4282.0,-128.1,67.4,-111.0,-63.0,-122.9,-57.0,-121.0,-45.9,-35.0,-67.8,-151.0,-124.3,-81.5,-15.3,,-138.0,-12.0,-45.7,28.4,-5.0,29.0,4.7,10.0,-47.1,-11.0,-112.3,-3.4,-144.7,60.5,-126.0,,3.5,75.3,-131.0,-385.2,-99.0,-150.4,,21.6,-102.7,-92.9,-24.0,,217.9,-25.0,-170.0,-208.4,-127.0,True,True,True,True,True,True,True,True,True,False,True,True,True,,False,True,True,True,True,True,True,True,True,True,True,True,False,True,True,,True,True,False,False,True,False,,True,True,True,True,,False,True,False,False,True
Washington,2941,2859.0,2989.4,2868.7,2873.0,2871.0,2981.0,3098.0,2978.2,2981.0,3221.0,3128.0,2847.0,2991.9,3005.6,,2805.0,3021.0,2980.9,3125.4,2959.0,3137.2,3139.8,2960.0,2903.3,3012.0,2954.1,2996.4,2998.0,2947.6,2817.0,,2957.3,2809.9,3230.0,3323.5,2935.0,2925.0,,3030.1,2952.1,2945.3,2998.0,,3417.2,2904.0,2852.0,2786.4,2938.0,-54.0,76.4,-44.3,-40.0,-42.0,68.0,185.0,65.2,68.0,308.0,215.0,-66.0,78.9,92.6,,-108.0,108.0,67.9,212.4,46.0,224.2,226.8,47.0,-9.7,99.0,41.1,83.4,85.0,34.6,-96.0,,44.3,-103.1,317.0,410.5,22.0,12.0,,117.1,39.1,32.3,85.0,,504.2,-9.0,-61.0,-126.6,25.0,False,True,True,True,False,False,False,False,False,False,False,False,False,,False,False,False,False,True,False,False,True,True,False,True,False,False,True,False,,True,False,False,False,True,True,,False,True,True,False,,False,True,False,False,True
West Virginia,966,853.4,885.7,840.3,884.0,838.0,912.0,834.0,897.6,902.0,1169.0,945.0,871.7,879.1,953.9,,822.0,943.0,949.9,999.3,903.0,921.5,979.0,913.0,865.5,961.0,906.6,912.6,823.2,969.6,880.0,,,1137.9,1028.0,1119.1,884.0,838.7,,960.3,917.9,852.4,870.0,,969.7,912.0,894.0,788.4,892.0,-112.6,-80.3,-125.7,-82.0,-128.0,-54.0,-132.0,-68.4,-64.0,203.0,-21.0,-94.3,-86.9,-12.1,,-144.0,-23.0,-16.1,33.3,-63.0,-44.5,13.0,-53.0,-100.5,-5.0,-59.4,-53.4,-142.8,3.6,-86.0,,,171.9,62.0,153.1,-82.0,-127.3,,-5.7,-48.1,-113.6,-96.0,,3.7,-54.0,-72.0,-177.6,-74.0,True,False,True,False,True,False,True,True,False,True,True,True,True,,False,True,True,True,True,True,True,True,True,True,True,True,False,True,True,,,False,True,False,True,False,,True,True,False,True,,True,True,True,False,True
Wisconsin,4324,4112.9,4498.3,4153.2,4162.0,4106.0,4142.0,4016.0,4203.7,3806.0,4034.5,3953.0,3943.9,4135.9,4139.3,,4212.0,4297.0,4330.2,3972.8,4267.0,4115.4,4089.7,4286.0,4128.4,4268.0,4158.2,4354.3,4253.6,4535.7,4062.0,,4101.4,6263.2,4499.0,4109.6,3979.0,4001.8,,4692.2,4156.0,4005.3,3958.0,3971.7,4893.4,4277.0,4198.0,3772.5,3864.0,-211.1,174.3,-170.8,-162.0,-218.0,-182.0,-308.0,-120.3,-518.0,-289.5,-371.0,-380.1,-188.1,-184.7,,-112.0,-27.0,6.2,-351.2,-57.0,-208.6,-234.3,-38.0,-195.6,-56.0,-165.8,30.3,-70.4,211.7,-262.0,,-222.6,1939.2,175.0,-214.4,-345.0,-322.2,,368.2,-168.0,-318.7,-366.0,-352.3,569.4,-47.0,-126.0,-551.5,-460.0,True,True,True,False,True,False,True,False,False,False,False,True,True,,True,True,True,False,True,True,False,True,True,True,True,True,True,False,False,,False,False,True,False,False,False,,False,True,False,False,False,False,True,True,False,False
Wyoming,321,287.4,305.0,292.1,301.0,293.0,304.0,296.0,297.3,284.0,408.6,300.0,273.6,309.3,309.5,,251.0,318.0,259.8,335.6,327.0,284.7,303.7,275.0,255.8,330.0,317.7,326.5,295.9,325.0,304.0,,,292.1,386.0,293.4,278.0,259.1,,351.4,329.2,289.6,280.0,,324.8,330.0,332.0,248.5,299.0,-33.6,-16.0,-28.9,-20.0,-28.0,-17.0,-25.0,-23.7,-37.0,87.6,-21.0,-47.4,-11.7,-11.5,,-70.0,-3.0,-61.2,14.6,6.0,-36.3,-17.3,-46.0,-65.2,9.0,-3.3,5.5,-25.1,4.0,-17.0,,,-28.9,65.0,-27.6,-43.0,-61.9,,30.4,8.2,-31.4,-41.0,,3.8,9.0,11.0,-72.5,-22.0,True,True,True,True,True,True,True,False,False,True,False,True,True,,False,True,False,True,True,False,True,False,False,True,True,True,True,True,True,,,True,False,True,False,False,,True,True,True,False,,True,True,True,False,True
US,301831,285457.4,295102.4,286722.6,,286248.2,290392.0,286528.0,290079.6,295781.0,302661.8,290735.0,284753.6,292450.5,,293417.0,284200.0,290790.0,292833.8,292010.0,290853.0,286721.7,294245.7,286124.5,288822.8,292419.0,290592.9,292135.4,284399.5,294787.1,284139.0,295745.4,292621.9,278436.2,303055.0,300230.9,285546.0,284840.6,283910.0,,291221.1,284195.0,290659.0,288700.5,331270.9,293274.0,287228.5,275687.5,286351.0,-13728.6,-4083.6,-12463.4,,-12937.8,-8794.0,-12658.0,-9106.4,-3405.0,3475.8,-8451.0,-14432.4,-6735.5,,-5769.0,-14986.0,-8396.0,-6352.2,-7176.0,-8333.0,-12464.3,-4940.3,-13061.5,-10363.2,-6767.0,-8593.1,-7050.6,-14786.5,-4398.9,-15047.0,-3440.6,-6564.1,-20749.8,3869.0,1044.9,-13640.0,-14345.4,-15276.0,,-7964.9,-14991.0,-8527.0,-10485.5,32084.9,-5912.0,-11957.5,-23498.5,-12835.0,True,True,,True,True,True,True,True,True,True,False,True,,True,False,True,True,True,True,True,True,True,True,True,True,True,False,True,False,True,True,False,True,True,True,False,False,,True,False,True,True,False,True,True,False,True
