,actual_deaths,Baseline,Columbia_UNC-SurvCon,Covid19Sim-Simulator,IBF-TimeSeries,IHME-CurveFit,IowaStateLW-STEM,JCB-PRM,MITCovAlliance-SIR,RobertWalraven-ESG,STH-3PU,UCLA-SuEIR,USACE-ERDC_SEIR,USC-SI_kJalpha,WalmartLabsML-LogForecasting,error-Baseline,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-IBF-TimeSeries,error-IHME-CurveFit,error-IowaStateLW-STEM,error-JCB-PRM,error-MITCovAlliance-SIR,error-RobertWalraven-ESG,error-STH-3PU,error-UCLA-SuEIR,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,error-WalmartLabsML-LogForecasting,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-IBF-TimeSeries,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-MITCovAlliance-SIR,beat_baseline-RobertWalraven-ESG,beat_baseline-STH-3PU,beat_baseline-UCLA-SuEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-WalmartLabsML-LogForecasting
Rhode Island,1254,1221.6,1484.0,1199.4,,1304.5,1146.0,1233.9,1967.1,1108.4,,1155.9,1248.7,1190.0,0.0,-32.4,230.0,-54.6,,50.5,-108.0,-20.1,713.1,-145.6,,-98.1,-5.3,-64.0,-1254.0,False,False,,False,False,True,False,False,,False,True,False,False
South Carolina,4110,4259.7,8170.0,4545.0,,4451.5,4347.0,4456.4,4188.0,3592.6,,4169.9,4087.6,4028.0,3712.8,149.7,4060.0,435.0,,341.5,237.0,346.4,78.0,-517.4,,59.9,-22.4,-82.0,-397.2,False,False,,False,False,False,True,False,,True,True,True,False
South Dakota,621,343.4,253.0,320.0,,261.3,324.0,340.1,474.6,252.6,,233.1,463.8,292.0,238.2,-277.6,-368.0,-301.0,,-359.7,-297.0,-280.9,-146.4,-368.4,,-387.9,-157.2,-329.0,-382.8,False,False,,False,False,False,True,False,,False,True,False,False
Tennessee,3877,3318.0,5130.0,3421.7,,4555.5,3818.0,3048.5,5473.5,2644.3,,3389.5,3089.5,3225.0,2657.8,-559.0,1253.0,-455.3,,678.5,-59.0,-828.5,1596.5,-1232.7,,-487.5,-787.5,-652.0,-1219.2,False,True,,False,True,False,False,False,,True,False,False,False
Texas,19911,20454.4,18573.0,18109.9,,19142.3,21292.0,18553.7,21424.4,16308.2,20348.0,19453.2,19764.9,20115.0,17452.0,556.4,-1325.0,-1788.1,,-755.7,1394.0,-1344.3,1526.4,-3589.8,450.0,-444.8,-133.1,217.0,-2446.0,False,False,,False,False,False,False,False,True,True,True,True,False
Utah,710,495.0,979.0,697.2,,553.9,603.0,627.6,592.2,452.7,,558.7,1072.6,537.0,413.7,-215.0,269.0,-12.8,,-156.1,-107.0,-82.4,-117.8,-257.3,,-151.3,362.6,-173.0,-296.3,False,True,,True,True,True,True,False,,True,False,True,False
Vermont,59,58.0,58.0,61.1,,58.7,59.0,58.0,72.1,58.0,,59.2,66.0,58.0,57.9,-1.0,-1.0,2.1,,-0.3,0.0,-1.0,13.1,-1.0,,0.2,7.0,-1.0,-1.1,False,False,,True,True,False,False,False,,True,False,False,False
Virginia,3799,5283.7,5832.0,3869.0,,3672.3,3986.0,3921.4,3623.0,3963.2,,3862.3,4026.5,3650.0,3460.1,1486.7,2035.0,72.0,,-124.7,189.0,124.4,-174.0,166.2,,65.3,229.5,-147.0,-336.9,False,True,,True,True,True,True,True,,True,True,True,True
Washington,2519,2398.4,2312.0,2259.6,,2438.0,2399.0,2284.1,2854.1,2123.9,,2458.0,2664.4,2309.0,2274.0,-120.6,-207.0,-259.4,,-81.0,-120.0,-234.9,335.1,-395.1,,-61.0,145.4,-210.0,-245.0,False,False,,True,True,False,False,False,,True,False,False,False
West Virginia,574,683.3,1513.0,720.0,,534.6,586.0,765.8,901.7,416.0,,494.1,561.7,644.0,413.0,109.3,939.0,146.0,,-39.4,12.0,191.8,327.7,-158.0,,-79.9,-12.3,70.0,-161.0,False,False,,True,True,False,False,False,,True,True,True,False
Wisconsin,2739,1493.4,6790.0,1890.8,,1913.9,1733.0,1821.2,1603.0,1350.1,,1496.2,4558.3,2026.0,1406.9,-1180.6,4116.0,-783.2,,-760.1,-941.0,-852.8,-1071.0,-1323.9,,-1177.8,1884.3,-648.0,-1267.1,False,True,,True,True,True,True,False,,True,False,True,False
Wyoming,144,104.0,218.0,74.0,,45.8,62.0,83.0,342.5,49.0,,72.5,125.1,73.0,91.3,-40.0,74.0,-70.0,,-98.2,-82.0,-61.0,198.5,-95.0,,-71.5,-18.9,-71.0,-52.7,False,False,,False,False,False,False,False,,False,True,False,False
US,245663,242236.1,232526.0,224243.5,251869.0,246338.5,240682.0,232613.0,,215379.6,234924.0,229401.2,257259.0,236643.0,224102.8,-3345.9,-13056.0,-21338.5,6287.0,756.5,-4900.0,-12969.0,,-30202.4,-10658.0,-16180.8,11677.0,-8939.0,-21479.2,False,False,False,True,False,False,,False,False,False,False,False,False
