,actual_deaths,Baseline,BPagano-RtDriven,CEID-Walk,CMU-TimeSeries,COVIDhub-baseline,COVIDhub-ensemble,CU-select,Caltech-CS156,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,GT-DeepCOVID,Geneva-DetGrowth,Google_Harvard-CPF,IBF-TimeSeries,IQVIA_ACOE-STAN,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,JHU_UNC_GAS-StatMechPool,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MIT_CritData-GBCF,MOBS-GLEAM_COVID,MSRA-DeepST,NotreDame-FRED,NotreDame-mobility,OliverWyman-Navigator,PSI-DRAFT,QJHong-Encounter,RPI_UW-Mob_Collision,RobertWalraven-ESG,SteveMcConnell-CovidComplete,TTU-squider,UA-EpiCovDA,UCLA-SuEIR,UCM_MESALab-FoGSEIR,UCSB-ACTS,UCSD_NEU-DeepGLEAM,UChicagoCHATTOPADHYAY-UnIT,UMass-MechBayes,UMich-RidgeTfReg,USC-SI_kJalpha,USC-SI_kJalpha_RF,UT-Mobility,WalmartLabsML-LogForecasting,epiforecasts-ensemble1,error-Baseline,error-BPagano-RtDriven,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-baseline,error-COVIDhub-ensemble,error-CU-select,error-Caltech-CS156,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-GT-DeepCOVID,error-Geneva-DetGrowth,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IQVIA_ACOE-STAN,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-JHU_UNC_GAS-StatMechPool,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MIT_CritData-GBCF,error-MOBS-GLEAM_COVID,error-MSRA-DeepST,error-NotreDame-FRED,error-NotreDame-mobility,error-OliverWyman-Navigator,error-PSI-DRAFT,error-QJHong-Encounter,error-RPI_UW-Mob_Collision,error-RobertWalraven-ESG,error-SteveMcConnell-CovidComplete,error-TTU-squider,error-UA-EpiCovDA,error-UCLA-SuEIR,error-UCM_MESALab-FoGSEIR,error-UCSB-ACTS,error-UCSD_NEU-DeepGLEAM,error-UChicagoCHATTOPADHYAY-UnIT,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,error-USC-SI_kJalpha_RF,error-UT-Mobility,error-WalmartLabsML-LogForecasting,error-epiforecasts-ensemble1,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-baseline,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Caltech-CS156,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-GT-DeepCOVID,beat_baseline-Geneva-DetGrowth,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IQVIA_ACOE-STAN,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-JHU_UNC_GAS-StatMechPool,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MIT_CritData-GBCF,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-MSRA-DeepST,beat_baseline-NotreDame-FRED,beat_baseline-NotreDame-mobility,beat_baseline-OliverWyman-Navigator,beat_baseline-PSI-DRAFT,beat_baseline-QJHong-Encounter,beat_baseline-RPI_UW-Mob_Collision,beat_baseline-RobertWalraven-ESG,beat_baseline-SteveMcConnell-CovidComplete,beat_baseline-TTU-squider,beat_baseline-UA-EpiCovDA,beat_baseline-UCLA-SuEIR,beat_baseline-UCM_MESALab-FoGSEIR,beat_baseline-UCSB-ACTS,beat_baseline-UCSD_NEU-DeepGLEAM,beat_baseline-UChicagoCHATTOPADHYAY-UnIT,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha,beat_baseline-USC-SI_kJalpha_RF,beat_baseline-UT-Mobility,beat_baseline-WalmartLabsML-LogForecasting,beat_baseline-epiforecasts-ensemble1
New Mexico,1208,1196.9,1229.2,1190.3,1186.0,1190.0,1190.0,1208.0,1192.0,1193.0,1179.5,1145.0,1187.1,1193.6,1173.7,1202.0,,1182.0,1181.0,1182.4,1158.0,1182.0,1135.3,1172.0,1204.8,1227.0,1198.6,1167.0,1180.5,1194.3,,1164.9,1195.0,1137.0,,,1212.7,1190.0,1745.7,1216.0,1192.6,,1164.4,1185.2,1197.7,1203.0,1180.1,1203.0,1191.8,1215.0,1140.1,1235.0,-11.1,21.2,-17.7,-22.0,-18.0,-18.0,0.0,-16.0,-15.0,-28.5,-63.0,-20.9,-14.4,-34.3,-6.0,,-26.0,-27.0,-25.6,-50.0,-26.0,-72.7,-36.0,-3.2,19.0,-9.4,-41.0,-27.5,-13.7,,-43.1,-13.0,-71.0,,,4.7,-18.0,537.7,8.0,-15.4,,-43.6,-22.8,-10.3,-5.0,-27.9,-5.0,-16.2,7.0,-67.9,27.0,False,False,False,False,False,True,False,False,False,False,False,False,False,True,,False,False,False,False,False,False,False,True,False,True,False,False,False,,False,False,False,,,True,False,False,True,False,,False,False,True,True,False,True,False,True,False,False
New York,34010,34032.4,33967.1,33847.6,34045.0,33849.0,33829.0,33885.0,34040.0,33825.0,33729.3,33874.0,33811.6,33819.6,33888.9,33846.3,,33989.0,33904.0,33780.3,33821.5,33819.0,33786.7,33780.0,33834.2,33776.0,33853.8,33833.0,33873.9,33816.9,,33772.9,33876.1,33682.0,,33761.2,33713.2,33807.0,34432.0,33830.0,33712.6,,33771.9,33888.6,34071.7,33836.0,33833.9,33868.0,33859.7,33856.5,33603.3,33771.0,22.4,-42.9,-162.4,35.0,-161.0,-181.0,-125.0,30.0,-185.0,-280.7,-136.0,-198.4,-190.4,-121.1,-163.7,,-21.0,-106.0,-229.7,-188.5,-191.0,-223.3,-230.0,-175.8,-234.0,-156.2,-177.0,-136.1,-193.1,,-237.1,-133.9,-328.0,,-248.8,-296.8,-203.0,422.0,-180.0,-297.4,,-238.1,-121.4,61.7,-174.0,-176.1,-142.0,-150.3,-153.5,-406.7,-239.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,True,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,,False,False,False,False,False,False,,False,False,False,False,False,False,False,False,False,False
North Carolina,4756,4799.0,4879.1,4829.5,4856.0,4832.0,4824.0,4865.0,4822.1,4868.0,4868.9,4754.0,4823.6,4825.8,4859.2,4878.7,,4831.0,4805.0,4851.1,4792.7,4838.0,4734.3,4828.0,4882.3,4848.0,4831.9,4825.0,4824.3,4836.4,,4728.6,4846.6,4878.0,,4804.4,4842.3,4861.0,4515.9,4815.0,4819.6,,4822.8,4824.0,4823.2,4809.0,4806.2,4869.0,4831.3,4798.5,4732.6,4813.0,43.0,123.1,73.5,100.0,76.0,68.0,109.0,66.1,112.0,112.9,-2.0,67.6,69.8,103.2,122.7,,75.0,49.0,95.1,36.7,82.0,-21.7,72.0,126.3,92.0,75.9,69.0,68.3,80.4,,-27.4,90.6,122.0,,48.4,86.3,105.0,-240.1,59.0,63.6,,66.8,68.0,67.2,53.0,50.2,113.0,75.3,42.5,-23.4,57.0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,,False,False,False,True,False,True,False,False,False,False,False,False,False,,True,False,False,,False,False,False,False,False,False,,False,False,False,False,False,False,False,True,True,False
North Dakota,726,731.6,783.0,736.1,731.0,732.0,733.0,683.0,726.3,740.0,707.7,728.0,740.2,736.3,747.8,730.5,,734.0,712.0,740.7,691.5,729.0,641.1,717.0,744.9,745.0,737.1,710.0,733.0,734.4,,740.8,765.7,712.0,,,741.2,722.0,686.9,717.0,724.6,,711.9,737.5,741.3,736.0,749.4,750.0,720.5,725.0,679.7,734.0,5.6,57.0,10.1,5.0,6.0,7.0,-43.0,0.3,14.0,-18.3,2.0,14.2,10.3,21.8,4.5,,8.0,-14.0,14.7,-34.5,3.0,-84.9,-9.0,18.9,19.0,11.1,-16.0,7.0,8.4,,14.8,39.7,-14.0,,,15.2,-4.0,-39.1,-9.0,-1.4,,-14.1,11.5,15.3,10.0,23.4,24.0,-5.5,-1.0,-46.3,8.0,False,False,True,False,False,False,True,False,False,True,False,False,False,True,,False,False,False,False,True,False,False,False,False,False,False,False,False,,False,False,False,,,False,True,False,False,True,,False,False,False,False,False,False,True,True,False,False
Ohio,5714,5700.4,5797.8,5718.8,5721.0,5711.0,5711.0,6063.0,5727.8,5710.0,5607.8,5655.0,5677.0,5630.1,5761.3,5729.1,,5696.0,5748.0,5689.2,5706.0,5717.0,5651.1,5656.0,5759.0,5818.0,5755.5,5702.0,5728.4,5709.1,5822.0,5613.3,5756.0,5678.0,,5625.5,5765.5,5724.0,5770.9,5712.0,5738.4,,5592.8,5731.2,5792.2,5732.0,5672.4,5759.0,5682.5,5791.0,5617.1,5798.0,-13.6,83.8,4.8,7.0,-3.0,-3.0,349.0,13.8,-4.0,-106.2,-59.0,-37.0,-83.9,47.3,15.1,,-18.0,34.0,-24.8,-8.0,3.0,-62.9,-58.0,45.0,104.0,41.5,-12.0,14.4,-4.9,108.0,-100.7,42.0,-36.0,,-88.5,51.5,10.0,56.9,-2.0,24.4,,-121.2,17.2,78.2,18.0,-41.6,45.0,-31.5,77.0,-96.9,84.0,False,True,True,True,True,False,False,True,False,False,False,False,False,False,,False,False,False,True,True,False,False,False,False,False,True,False,True,False,False,False,False,,False,False,True,False,True,False,,False,False,False,False,False,False,False,False,False,False
Oklahoma,1516,1517.7,1551.8,1519.4,1534.0,1521.0,1523.0,1467.0,1530.1,1542.0,1552.8,1512.0,1547.1,1511.9,1543.3,1525.2,,1510.0,1562.0,1534.6,1515.3,1527.0,1488.5,1530.0,1527.0,1532.0,1521.5,1540.0,1520.2,1536.5,,1504.4,1531.4,1505.0,,,1523.2,1526.0,1489.3,1533.0,1515.7,,1528.5,1523.9,1556.7,1519.0,1521.4,1526.0,1517.3,1521.0,1481.5,1535.0,1.7,35.8,3.4,18.0,5.0,7.0,-49.0,14.1,26.0,36.8,-4.0,31.1,-4.1,27.3,9.2,,-6.0,46.0,18.6,-0.7,11.0,-27.5,14.0,11.0,16.0,5.5,24.0,4.2,20.5,,-11.6,15.4,-11.0,,,7.2,10.0,-26.7,17.0,-0.3,,12.5,7.9,40.7,3.0,5.4,10.0,1.3,5.0,-34.5,19.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,True,False,False,False,False,False,False,False,False,False,,False,False,False,,,False,False,False,False,True,,False,False,False,False,False,False,True,False,False,False
Oregon,759,763.4,777.9,768.0,771.0,769.0,769.0,778.0,771.4,778.0,769.3,753.0,769.3,766.1,807.1,769.6,,769.0,771.0,771.8,763.5,774.0,774.2,763.0,775.7,779.0,768.1,784.0,776.2,776.8,,746.2,778.1,776.0,,,777.3,775.0,784.3,764.0,768.3,,766.3,780.6,779.5,772.0,761.7,781.0,776.0,765.0,748.4,768.0,4.4,18.9,9.0,12.0,10.0,10.0,19.0,12.4,19.0,10.3,-6.0,10.3,7.1,48.1,10.6,,10.0,12.0,12.8,4.5,15.0,15.2,4.0,16.7,20.0,9.1,25.0,17.2,17.8,,-12.8,19.1,17.0,,,18.3,16.0,25.3,5.0,9.3,,7.3,21.6,20.5,13.0,2.7,22.0,17.0,6.0,-10.6,9.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,False,False,False,True,False,False,False,False,False,False,,False,False,False,,,False,False,False,False,False,,False,False,False,False,True,False,False,False,False,False
Pennsylvania,9252,9178.1,9244.4,9197.2,9193.0,9202.0,9202.0,9339.0,9235.9,9237.0,9271.7,9184.0,9204.4,,9243.2,9245.4,,9194.0,9194.0,9243.8,9203.5,9209.0,9136.8,9184.0,9274.4,9202.0,9210.8,9180.0,9237.4,9210.8,,9234.5,9243.7,9131.0,,9160.6,9248.1,9245.0,9290.3,9196.0,9200.9,,9183.3,9239.6,9223.4,9213.0,9203.8,9230.0,9200.1,9153.0,9105.1,9195.0,-73.9,-7.6,-54.8,-59.0,-50.0,-50.0,87.0,-16.1,-15.0,19.7,-68.0,-47.6,,-8.8,-6.6,,-58.0,-58.0,-8.2,-48.5,-43.0,-115.2,-68.0,22.4,-50.0,-41.2,-72.0,-14.6,-41.2,,-17.5,-8.3,-121.0,,-91.4,-3.9,-7.0,38.3,-56.0,-51.1,,-68.7,-12.4,-28.6,-39.0,-48.2,-22.0,-51.9,-99.0,-146.9,-57.0,True,True,True,True,True,False,True,True,True,True,True,,True,True,,True,True,True,True,True,False,True,True,True,True,True,True,True,,True,True,False,,False,True,True,True,True,True,,True,True,True,True,True,True,True,False,False,True
Rhode Island,1254,1243.7,1248.8,1247.6,1248.0,1247.0,1253.0,1258.0,1242.4,1260.0,1296.8,1258.0,1272.7,1250.8,1243.6,1257.8,,1246.0,1260.0,1256.8,1273.8,1227.0,1240.7,1245.0,1257.7,1258.5,1247.3,1246.0,1248.3,1263.1,,1265.7,1247.2,1241.0,,,1248.3,1261.0,1352.6,1236.0,1230.4,,1250.1,1252.7,1249.5,1255.0,1248.7,1250.0,1248.9,1242.0,1213.2,1248.0,-10.3,-5.2,-6.4,-6.0,-7.0,-1.0,4.0,-11.6,6.0,42.8,4.0,18.7,-3.2,-10.4,3.8,,-8.0,6.0,2.8,19.8,-27.0,-13.3,-9.0,3.7,4.5,-6.7,-8.0,-5.7,9.1,,11.7,-6.8,-13.0,,,-5.7,7.0,98.6,-18.0,-23.6,,-3.9,-1.3,-4.5,1.0,-5.3,-4.0,-5.1,-12.0,-40.8,-6.0,True,True,True,True,True,True,False,True,False,True,False,True,False,True,,True,True,True,False,False,False,True,True,True,True,True,True,True,,False,True,False,,,True,True,False,False,False,,True,True,True,True,True,True,True,False,False,True
South Carolina,4110,4121.7,4109.6,4094.5,4124.0,4095.0,4130.0,4141.0,4123.1,4168.0,4258.0,4107.0,4144.5,4110.2,4121.7,4149.0,,4110.0,4156.0,4114.2,4133.7,4114.0,4062.8,4113.5,4142.8,4138.0,4139.4,4125.0,4108.2,4129.1,,4115.2,4141.3,4121.5,,4134.5,4069.3,4127.0,4317.6,4139.0,4086.7,,4165.6,4111.5,4126.1,4140.0,4124.6,4144.0,4132.8,4134.0,4117.3,4150.0,11.7,-0.4,-15.5,14.0,-15.0,20.0,31.0,13.1,58.0,148.0,-3.0,34.5,0.2,11.7,39.0,,0.0,46.0,4.2,23.7,4.0,-47.2,3.5,32.8,28.0,29.4,15.0,-1.8,19.1,,5.2,31.3,11.5,,24.5,-40.7,17.0,207.6,29.0,-23.3,,55.6,1.5,16.1,30.0,14.6,34.0,22.8,24.0,7.3,40.0,True,False,False,False,False,False,False,False,False,True,False,True,False,False,,True,False,True,False,True,False,True,False,False,False,False,True,False,,True,False,True,,False,False,False,False,False,False,,False,True,False,False,False,False,False,False,True,False
South Dakota,621,620.9,667.3,621.1,616.0,621.0,621.0,569.0,607.1,620.0,591.6,599.0,650.7,628.7,639.9,614.9,,633.0,591.0,623.5,573.4,624.0,533.4,598.0,628.2,608.0,622.6,616.0,634.0,622.8,,589.7,634.6,592.0,,,660.6,625.0,530.6,633.0,622.4,,591.1,638.7,632.0,612.0,639.2,633.0,611.2,667.0,564.8,628.0,-0.1,46.3,0.1,-5.0,0.0,0.0,-52.0,-13.9,-1.0,-29.4,-22.0,29.7,7.7,18.9,-6.1,,12.0,-30.0,2.5,-47.6,3.0,-87.6,-23.0,7.2,-13.0,1.6,-5.0,13.0,1.8,,-31.3,13.6,-29.0,,,39.6,4.0,-90.4,12.0,1.4,,-29.9,17.7,11.0,-9.0,18.2,12.0,-9.8,46.0,-56.2,7.0,False,True,False,True,True,False,False,False,False,False,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,,,False,False,False,False,False,,False,False,False,False,False,False,False,False,False,False
Tennessee,3877,3802.4,3815.7,3825.6,3788.0,3827.0,3824.0,3824.0,3823.4,3832.0,3874.4,3744.0,3815.3,3767.3,3940.4,3839.0,,3840.0,3759.0,3861.5,3752.1,3775.0,3700.4,3799.0,3881.8,3842.0,3816.5,3803.0,3869.7,3821.7,,3723.2,3854.3,3851.0,,3859.7,3801.9,3857.0,2973.5,3806.0,3816.2,,3833.2,3872.9,3816.2,3797.0,3809.5,3869.0,3831.3,3783.0,3666.9,3828.0,-74.6,-61.3,-51.4,-89.0,-50.0,-53.0,-53.0,-53.6,-45.0,-2.6,-133.0,-61.7,-109.7,63.4,-38.0,,-37.0,-118.0,-15.5,-124.9,-102.0,-176.6,-78.0,4.8,-35.0,-60.5,-74.0,-7.3,-55.3,,-153.8,-22.7,-26.0,,-17.3,-75.1,-20.0,-903.5,-71.0,-60.8,,-43.8,-4.1,-60.8,-80.0,-67.5,-8.0,-45.7,-94.0,-210.1,-49.0,True,True,False,True,True,True,True,True,True,False,True,False,True,True,,True,False,True,False,False,False,False,True,True,True,True,True,True,,False,True,True,,True,False,True,False,True,True,,True,True,True,False,True,True,True,False,False,True
Texas,19911,19768.6,20019.1,19819.2,19812.0,19827.0,19809.0,19991.0,19731.5,19835.0,19625.8,19525.0,19706.0,19962.2,19922.2,19926.8,,19869.0,19707.0,19806.3,19794.9,19798.0,19440.2,19265.5,19872.8,19851.0,19938.4,19645.0,19957.3,19803.1,,19645.3,19902.5,19602.0,,19856.8,19973.6,19842.0,19756.9,19798.0,19860.5,,19626.9,19955.1,19806.7,19798.0,19821.4,19889.0,19608.5,19713.0,19577.7,19404.0,-146.4,104.1,-95.8,-103.0,-88.0,-106.0,76.0,-183.5,-80.0,-289.2,-390.0,-209.0,47.2,7.2,11.8,,-46.0,-208.0,-108.7,-120.1,-117.0,-474.8,-649.5,-42.2,-64.0,23.4,-270.0,42.3,-111.9,,-269.7,-12.5,-313.0,,-58.2,58.6,-73.0,-158.1,-117.0,-54.5,,-288.1,40.1,-108.3,-117.0,-93.6,-26.0,-306.5,-202.0,-337.3,-511.0,True,True,True,True,True,True,False,True,False,False,False,True,True,True,,True,False,True,True,True,False,False,True,True,True,False,True,True,,False,True,False,,True,True,True,False,True,True,,False,True,True,True,True,True,False,False,False,False
Utah,710,697.6,722.9,713.4,710.0,712.0,710.0,712.0,718.3,704.0,723.0,679.0,715.0,699.2,725.3,555.7,,710.0,706.0,699.8,538.3,587.0,686.2,700.0,710.9,702.0,722.7,727.0,714.3,718.2,,673.8,713.5,707.0,,,732.8,709.0,692.7,707.0,717.2,,698.3,719.0,740.5,706.0,695.8,711.0,711.9,704.0,532.9,718.0,-12.4,12.9,3.4,0.0,2.0,0.0,2.0,8.3,-6.0,13.0,-31.0,5.0,-10.8,15.3,-154.3,,0.0,-4.0,-10.2,-171.7,-123.0,-23.8,-10.0,0.9,-8.0,12.7,17.0,4.3,8.2,,-36.2,3.5,-3.0,,,22.8,-1.0,-17.3,-3.0,7.2,,-11.7,9.0,30.5,-4.0,-14.2,1.0,1.9,-6.0,-177.1,8.0,False,True,True,True,True,True,True,True,False,False,True,True,False,False,,True,True,True,False,False,False,True,True,True,False,False,True,True,,False,True,True,,,False,True,False,True,True,,True,True,False,True,False,True,True,True,False,True
Vermont,59,59.9,60.0,60.0,59.0,60.0,60.0,60.0,59.7,59.0,58.1,60.0,59.8,60.3,59.6,59.7,,59.0,60.0,59.0,58.2,61.0,61.1,59.0,59.5,59.0,59.1,69.0,59.9,64.7,,59.8,59.3,59.0,,,58.5,60.0,60.0,67.0,59.2,,59.0,64.5,61.2,59.0,59.7,59.0,60.3,60.0,59.0,,0.9,1.0,1.0,0.0,1.0,1.0,1.0,0.7,0.0,-0.9,1.0,0.8,1.3,0.6,0.7,,0.0,1.0,0.0,-0.8,2.0,2.1,0.0,0.5,0.0,0.1,10.0,0.9,5.7,,0.8,0.3,0.0,,,-0.5,1.0,1.0,8.0,0.2,,0.0,5.5,2.2,0.0,0.7,0.0,1.3,1.0,0.0,,False,False,True,False,False,False,True,True,False,False,True,False,True,True,,True,False,True,True,False,False,True,True,True,True,False,False,False,,True,True,True,,,True,False,False,False,True,,True,False,False,True,True,True,False,False,True,
Virginia,3799,3751.6,3736.1,3744.9,3747.0,3754.0,3783.0,3940.0,3795.3,3792.0,3865.5,3777.0,3760.8,3800.1,3763.2,3781.3,,3760.0,3832.0,3769.9,3799.0,3799.0,3789.4,3779.5,3803.7,3777.0,3779.6,3849.0,3821.8,3798.3,,3772.0,3771.9,3822.0,,3807.9,3736.0,3786.0,3743.4,3760.0,3745.9,,3805.7,3824.1,3803.5,3795.0,3804.8,3763.0,3772.3,3764.0,3775.7,3798.0,-47.4,-62.9,-54.1,-52.0,-45.0,-16.0,141.0,-3.7,-7.0,66.5,-22.0,-38.2,1.1,-35.8,-17.7,,-39.0,33.0,-29.1,0.0,0.0,-9.6,-19.5,4.7,-22.0,-19.4,50.0,22.8,-0.7,,-27.0,-27.1,23.0,,8.9,-63.0,-13.0,-55.6,-39.0,-53.1,,6.7,25.1,4.5,-4.0,5.8,-36.0,-26.7,-35.0,-23.3,-1.0,False,False,False,True,True,False,True,True,False,True,True,True,True,True,,True,True,True,True,True,True,True,True,True,True,False,True,True,,True,True,True,,True,False,True,False,True,False,,True,True,True,True,True,True,True,True,True,True
Washington,2519,2501.6,2529.7,2511.8,2511.0,2512.0,2520.0,2581.0,2516.2,2527.0,2527.6,2475.0,2499.4,2511.1,2492.0,2526.4,,2488.0,2545.0,2523.0,2528.3,2509.0,2498.6,2502.0,2523.7,2534.0,2523.7,2512.0,2535.2,2521.3,,2483.8,2524.0,2511.0,,2501.3,2507.9,2520.0,2555.4,2500.0,2512.0,,2505.1,2534.2,2524.4,2516.0,2500.4,2510.0,2522.6,2532.0,2474.2,2559.0,-17.4,10.7,-7.2,-8.0,-7.0,1.0,62.0,-2.8,8.0,8.6,-44.0,-19.6,-7.9,-27.0,7.4,,-31.0,26.0,4.0,9.3,-10.0,-20.4,-17.0,4.7,15.0,4.7,-7.0,16.2,2.3,,-35.2,5.0,-8.0,,-17.7,-11.1,1.0,36.4,-19.0,-7.0,,-13.9,15.2,5.4,-3.0,-18.6,-9.0,3.6,13.0,-44.8,40.0,True,True,True,True,True,False,True,True,True,False,False,True,False,True,,False,False,True,True,True,False,True,True,True,True,True,True,True,,False,True,True,,False,True,True,False,False,True,,True,True,True,True,False,True,True,True,False,False
West Virginia,574,541.7,558.9,545.9,540.0,547.0,545.0,541.0,549.3,562.0,519.0,535.0,535.1,534.6,548.7,543.6,,551.0,563.0,547.1,527.5,553.0,531.1,537.5,551.4,549.0,543.4,559.0,553.6,,,528.1,555.8,531.0,,,585.2,549.0,575.8,544.0,547.1,,539.7,558.5,550.2,543.0,540.1,559.0,555.7,545.0,522.1,550.0,-32.3,-15.1,-28.1,-34.0,-27.0,-29.0,-33.0,-24.7,-12.0,-55.0,-39.0,-38.9,-39.4,-25.3,-30.4,,-23.0,-11.0,-26.9,-46.5,-21.0,-42.9,-36.5,-22.6,-25.0,-30.6,-15.0,-20.4,,,-45.9,-18.2,-43.0,,,11.2,-25.0,1.8,-30.0,-26.9,,-34.3,-15.5,-23.8,-31.0,-33.9,-15.0,-18.3,-29.0,-51.9,-24.0,True,True,False,True,True,False,True,True,False,False,False,False,True,True,,True,True,True,False,True,False,False,True,True,True,True,True,,,False,True,False,,,True,True,True,True,True,,False,True,True,True,False,True,True,True,False,True
Wisconsin,2739,2539.1,2631.0,2568.7,2593.0,2571.0,2595.0,2582.0,2623.1,2686.0,2731.4,2457.0,2691.9,,2634.8,2618.5,,2521.0,2523.0,2658.3,2601.7,2595.0,2449.9,2586.0,2626.6,2588.0,2618.2,2579.0,2649.2,,2442.5,2474.7,2619.1,2563.0,,2510.7,2618.8,2637.0,2474.7,2605.0,2550.6,,2582.8,2651.1,2661.3,2562.0,2667.0,2630.0,2573.5,2559.5,2394.5,2622.0,58.1,150.0,87.7,112.0,90.0,114.0,101.0,142.1,205.0,250.4,-24.0,210.9,,153.8,137.5,,40.0,42.0,177.3,120.7,114.0,-31.1,105.0,145.6,107.0,137.2,98.0,168.2,,-38.5,-6.3,138.1,82.0,,29.7,137.8,156.0,-6.3,124.0,69.6,,101.8,170.1,180.3,81.0,186.0,149.0,92.5,78.5,-86.5,141.0,False,False,False,False,False,False,False,False,False,True,False,,False,False,,True,True,False,False,False,True,False,False,False,False,False,False,,True,True,False,False,,True,False,False,True,False,False,,False,False,False,False,False,False,False,False,False,False
Wyoming,144,137.1,139.4,141.2,133.0,141.0,139.0,143.0,143.9,150.0,157.9,127.0,138.2,143.1,144.4,147.9,,119.0,136.0,135.9,138.3,130.0,123.7,128.0,145.5,126.0,137.0,137.0,148.5,,,126.0,147.4,130.0,,,146.3,140.0,132.1,137.0,119.8,,139.2,153.1,150.8,133.0,121.8,142.0,139.8,138.0,121.6,157.0,-6.9,-4.6,-2.8,-11.0,-3.0,-5.0,-1.0,-0.1,6.0,13.9,-17.0,-5.8,-0.9,0.4,3.9,,-25.0,-8.0,-8.1,-5.7,-14.0,-20.3,-16.0,1.5,-18.0,-7.0,-7.0,4.5,,,-18.0,3.4,-14.0,,,2.3,-4.0,-11.9,-7.0,-24.2,,-4.8,9.1,6.8,-11.0,-22.2,-2.0,-4.2,-6.0,-22.4,13.0,True,True,False,True,True,True,True,True,False,False,True,True,True,True,,False,False,False,True,False,False,False,True,False,False,False,True,,,False,True,False,,,True,True,False,False,False,,True,False,True,False,False,True,True,True,False,False
US,245663,243404.4,245232.2,243602.6,,243628.0,243872.0,245860.0,244469.2,244699.0,244301.2,242736.0,243955.0,243818.6,244406.9,,249854.0,243672.0,242393.0,244535.6,242813.7,241746.0,240875.1,,245139.5,244685.0,244963.3,243755.0,244187.0,243833.3,,242229.3,244849.0,242650.0,244284.9,243028.5,243823.2,245326.0,245495.0,244435.0,243760.3,243532.0,,244383.8,245329.6,244462.0,243731.5,244602.0,243817.7,243106.5,241320.6,243970.0,-1483.6,344.2,-1285.4,,-1260.0,-1016.0,972.0,-418.8,-189.0,-586.8,-2152.0,-933.0,-1069.4,-481.1,,4966.0,-1216.0,-2495.0,-352.4,-2074.3,-3142.0,-4012.9,,251.5,-203.0,75.3,-1133.0,-701.0,-1054.7,,-2658.7,-39.0,-2238.0,-603.1,-1859.5,-1064.8,438.0,607.0,-453.0,-1127.7,-1356.0,,-504.2,441.6,-426.0,-1156.5,-286.0,-1070.3,-1781.5,-3567.4,-918.0,True,True,,True,True,True,True,True,True,False,True,True,True,,False,True,False,True,False,False,False,,True,True,True,True,True,True,,False,True,False,True,False,True,True,True,True,True,True,,True,True,True,True,True,True,False,False,True
