,actual_cases,COVIDhub-baseline,BPagano-RtDriven,CEID-Walk,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,Google_Harvard-CPF,IBF-TimeSeries,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MSRA-DeepST,OneQuietNight-ML,QJHong-Encounter,RobertWalraven-ESG,TTU-squider,UCF-AEM,UCLA-SuEIR,UCSB-ACTS,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,UVA-Ensemble,error-COVIDhub-baseline,error-BPagano-RtDriven,error-CEID-Walk,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MSRA-DeepST,error-OneQuietNight-ML,error-QJHong-Encounter,error-RobertWalraven-ESG,error-TTU-squider,error-UCF-AEM,error-UCLA-SuEIR,error-UCSB-ACTS,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,error-UVA-Ensemble,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MSRA-DeepST,beat_baseline-OneQuietNight-ML,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-TTU-squider,beat_baseline-UCF-AEM,beat_baseline-UCLA-SuEIR,beat_baseline-UCSB-ACTS,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-UVA-Ensemble
North Carolina,155972,102788.0,145257.2,104452.9,115999.0,128551.0,,93719.7,113036.0,127463.9,130790.8,,106186.0,136168.9,119307.0,136496.0,96126.0,154028.5,113658.0,110086.2,132534.3,139701.0,,152785.1,88321.9,,85018.6,154896.3,,99143.8,124444.0,124868.4,-53184.0,-10714.8,-51519.1,-39973.0,-27421.0,,-62252.3,-42936.0,-28508.1,-25181.2,,-49786.0,-19803.1,-36665.0,-19476.0,-59846.0,-1943.5,-42314.0,-45885.8,-23437.7,-16271.0,,-3186.9,-67650.1,,-70953.4,-1075.7,,-56828.2,-31528.0,-31103.6,True,True,True,True,,False,True,True,True,,True,True,True,True,False,True,True,True,True,True,,True,False,,False,True,,False,True,True
North Dakota,13419,25580.0,17471.4,24953.5,21114.0,14781.0,,25433.4,20320.0,21543.0,28203.8,,28996.0,41581.0,14369.9,32427.0,10554.3,15800.9,9818.5,18501.3,26065.8,29857.0,,28757.1,21572.7,,11539.3,72121.8,,6986.3,27354.0,28262.8,12161.0,4052.4,11534.5,7695.0,1362.0,,12014.4,6901.0,8124.0,14784.8,,15577.0,28162.0,950.9,19008.0,-2864.7,2381.9,-3600.5,5082.3,12646.8,16438.0,,15338.1,8153.7,,-1879.7,58702.8,,-6432.7,13935.0,14843.8,True,True,True,True,,True,True,True,False,,False,False,True,False,True,True,True,True,False,False,,False,True,,True,False,,True,False,False
Ohio,257965,253668.0,391022.6,252888.2,277472.0,290743.0,,237712.9,479655.0,224210.0,392477.2,,290691.0,369492.5,288327.5,338612.0,213128.2,567112.5,247076.5,221276.8,270061.3,339933.0,,215557.2,504004.3,,352904.8,468350.8,214145.9,183254.0,271228.0,385391.0,-4297.0,133057.6,-5076.8,19507.0,32778.0,,-20252.1,221690.0,-33755.0,134512.2,,32726.0,111527.5,30362.5,80647.0,-44836.8,309147.5,-10888.5,-36688.2,12096.3,81968.0,,-42407.8,246039.3,,94939.8,210385.8,-43819.1,-74711.0,13263.0,127426.0,False,False,False,False,,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,,False,False,,False,False,False,False,False,False
Oklahoma,82684,91600.0,137071.7,91745.0,96913.0,97722.0,,75228.0,168428.0,57987.5,126988.6,,91476.0,131115.3,97806.5,117533.0,53537.5,184823.2,88701.5,75431.7,98006.8,119181.0,,85764.8,35494.3,,102237.0,137977.5,,54511.3,110967.0,120431.6,8916.0,54387.7,9061.0,14229.0,15038.0,,-7456.0,85744.0,-24696.5,44304.6,,8792.0,48431.3,15122.5,34849.0,-29146.5,102139.2,6017.5,-7252.3,15322.8,36497.0,,3080.8,-47189.7,,19553.0,55293.5,,-28172.7,28283.0,37747.6,False,False,False,False,,True,False,False,False,,True,False,False,False,False,False,True,True,False,False,,True,False,,False,False,,False,False,False
Oregon,35820,35352.0,64636.9,35603.0,44418.0,42626.0,,48200.6,65690.0,30468.3,51925.4,,41129.0,55098.4,44725.7,43607.0,40331.0,78964.9,46748.0,42395.5,49505.7,51765.0,,48563.6,22867.9,,44024.2,59514.3,,47102.1,47380.0,48158.7,-468.0,28816.9,-217.0,8598.0,6806.0,,12380.6,29870.0,-5351.7,16105.4,,5309.0,19278.4,8905.7,7787.0,4511.0,43144.9,10928.0,6575.5,13685.7,15945.0,,12743.6,-12952.1,,8204.2,23694.3,,11282.1,11560.0,12338.7,False,True,False,False,,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,,False,False,,False,False,,False,False,False
Pennsylvania,252822,195828.0,270609.7,196111.1,212749.0,203798.0,,174188.9,405180.0,221261.3,324178.0,,211477.0,281115.4,287613.0,248926.0,212819.8,461235.6,199232.5,190927.1,228395.1,273470.0,,277892.0,200007.7,,116066.2,351360.2,307603.0,127728.1,197995.0,282330.6,-56994.0,17787.7,-56710.9,-40073.0,-49024.0,,-78633.1,152358.0,-31560.7,71356.0,,-41345.0,28293.4,34791.0,-3896.0,-40002.2,208413.6,-53589.5,-61894.9,-24426.9,20648.0,,25070.0,-52814.3,,-136755.8,98538.2,54781.0,-125093.9,-54827.0,29508.6,True,True,True,True,,False,False,True,False,,True,True,True,True,True,False,True,False,True,True,,True,True,,False,False,True,False,True,True
Rhode Island,28112,23812.0,26851.8,23641.2,25235.0,25247.0,,22804.5,29959.0,129685.0,32023.8,,22345.0,41250.9,27275.0,30086.0,19097.0,52933.1,27593.0,19431.8,33994.1,28771.0,,20420.4,42100.8,,28388.9,52505.5,,9595.2,14066.0,37749.4,-4300.0,-1260.2,-4470.8,-2877.0,-2865.0,,-5307.5,1847.0,101573.0,3911.8,,-5767.0,13138.9,-837.0,1974.0,-9015.0,24821.1,-519.0,-8680.2,5882.1,659.0,,-7691.6,13988.8,,276.9,24393.5,,-18516.8,-14046.0,9637.4,True,False,True,True,,False,True,False,True,,False,False,True,True,False,False,True,False,False,True,,False,False,,True,False,,False,False,False
South Carolina,73981,39572.0,37091.4,38608.5,42021.0,35429.0,,38100.3,83708.0,46986.3,51505.9,,45739.0,58521.4,40990.5,49120.0,42686.0,67723.7,52957.0,41920.1,51555.3,60009.0,,76103.1,24242.2,,28964.0,81459.2,,26300.3,41001.0,50565.2,-34409.0,-36889.6,-35372.5,-31960.0,-38552.0,,-35880.7,9727.0,-26994.7,-22475.1,,-28242.0,-15459.6,-32990.5,-24861.0,-31295.0,-6257.3,-21024.0,-32060.9,-22425.7,-13972.0,,2122.1,-49738.8,,-45017.0,7478.2,,-47680.7,-32980.0,-23415.8,False,False,True,False,,False,True,True,True,,True,True,True,True,True,True,True,True,True,True,,True,False,,False,True,,False,True,True
South Dakota,17864,27540.0,23074.3,28577.0,23983.0,17286.0,,24082.2,24170.0,25948.6,31587.2,,30278.0,33485.0,12567.5,35991.0,11032.5,21591.1,23648.0,22303.0,28803.0,32769.0,,4990.7,23160.0,,18982.7,67415.8,,12137.8,27959.0,30259.9,9676.0,5210.3,10713.0,6119.0,-578.0,,6218.2,6306.0,8084.6,13723.2,,12414.0,15621.0,-5296.5,18127.0,-6831.5,3727.1,5784.0,4439.0,10939.0,14905.0,,-12873.3,5296.0,,1118.7,49551.8,,-5726.2,10095.0,12395.9,True,False,True,True,,True,True,True,False,,False,False,True,False,True,True,True,True,False,False,,False,True,,True,False,,True,False,False
Tennessee,197426,110316.0,112783.4,109275.2,110209.0,86414.0,,93727.7,138541.0,125703.1,148378.0,,118134.0,156247.2,61898.1,143667.0,73507.2,171226.5,101587.0,104894.2,118596.7,144232.0,,43482.6,89402.0,,123486.4,249199.1,,67764.1,100894.0,118524.6,-87110.0,-84642.6,-88150.8,-87217.0,-111012.0,,-103698.3,-58885.0,-71722.9,-49048.0,,-79292.0,-41178.8,-135527.9,-53759.0,-123918.8,-26199.5,-95839.0,-92531.8,-78829.3,-53194.0,,-153943.4,-108024.0,,-73939.6,51773.1,,-129661.9,-96532.0,-78901.4,True,False,False,False,,False,True,True,True,,True,True,False,True,False,True,False,False,True,True,,False,False,,True,True,,False,False,True
Texas,402427,276612.0,307908.6,258184.8,301709.0,242938.0,,279636.1,268686.0,448374.3,360133.5,,363931.0,360792.1,624851.7,361896.0,294387.8,280215.3,370046.0,267703.3,249572.3,403770.0,,492556.2,273456.3,,313357.3,617681.0,,147833.9,240055.0,365546.9,-125815.0,-94518.4,-144242.2,-100718.0,-159489.0,,-122790.9,-133741.0,45947.3,-42293.5,,-38496.0,-41634.9,222424.7,-40531.0,-108039.2,-122211.7,-32381.0,-134723.7,-152854.7,1343.0,,90129.2,-128970.7,,-89069.7,215254.0,,-254593.1,-162372.0,-36880.1,True,False,True,False,,True,False,True,True,,True,True,False,True,True,True,True,False,False,True,,True,False,,True,False,,False,False,True
Utah,71991,72432.0,76210.6,77406.0,66540.0,36796.0,,72017.8,123792.0,62926.5,77109.8,,100944.0,139521.3,63288.1,82547.0,55696.0,54123.7,44403.5,60365.3,79325.0,81258.0,,136256.9,69520.2,,51599.2,184684.2,,24174.8,56741.0,56646.2,441.0,4219.6,5415.0,-5451.0,-35195.0,,26.8,51801.0,-9064.5,5118.8,,28953.0,67530.3,-8702.9,10556.0,-16295.0,-17867.3,-27587.5,-11625.7,7334.0,9267.0,,64265.9,-2470.8,,-20391.8,112693.2,,-47816.2,-15250.0,-15344.8,False,False,False,False,,True,False,False,False,,False,False,False,False,False,False,False,False,False,False,,False,False,,False,False,,False,False,False
Vermont,2933,1948.0,4555.2,2075.6,2118.0,2236.0,,0.0,17306.0,2613.4,2800.4,,2648.0,3674.5,3995.1,2943.0,2278.9,1106.9,1893.0,2083.5,4095.1,6295.0,,5657.6,4811.6,,1890.8,4914.4,,1252.7,1468.0,2145.9,-985.0,1622.2,-857.4,-815.0,-697.0,,-2933.0,14373.0,-319.6,-132.6,,-285.0,741.5,1062.1,10.0,-654.1,-1826.1,-1040.0,-849.5,1162.1,3362.0,,2724.6,1878.6,,-1042.2,1981.4,,-1680.3,-1465.0,-787.1,False,True,True,True,,False,False,True,True,,True,True,False,True,True,False,False,True,False,False,,False,False,,False,False,,False,False,True
Virginia,95960,71752.0,122223.0,72959.6,85132.0,92410.0,,67388.0,50541.0,98868.5,93234.5,,71390.0,102832.2,123564.9,93963.0,75966.8,105878.7,93178.0,83501.2,96991.8,94063.0,,87898.4,14547.8,,101521.7,86479.3,,57797.2,82591.0,86035.8,-24208.0,26263.0,-23000.4,-10828.0,-3550.0,,-28572.0,-45419.0,2908.5,-2725.5,,-24570.0,6872.2,27604.9,-1997.0,-19993.2,9918.7,-2782.0,-12458.8,1031.8,-1897.0,,-8061.6,-81412.2,,5561.7,-9480.7,,-38162.8,-13369.0,-9924.2,False,True,True,True,,False,False,True,True,,False,True,False,True,True,True,True,True,True,True,,True,False,,True,True,,False,True,True
Washington,69488,77496.0,114477.3,78421.3,93757.0,104017.0,,126283.2,160218.0,58623.6,105979.1,,72091.0,94925.4,92366.1,104400.0,88056.4,151707.6,96504.5,77728.1,108575.6,107667.0,,50253.2,71501.3,,96567.9,117710.9,,66086.1,93642.0,104499.7,8008.0,44989.3,8933.3,24269.0,34529.0,,56795.2,90730.0,-10864.4,36491.1,,2603.0,25437.4,22878.1,34912.0,18568.4,82219.6,27016.5,8240.1,39087.6,38179.0,,-19234.8,2013.3,,27079.9,48222.9,,-3401.9,24154.0,35011.7,False,False,False,False,,False,False,False,False,,True,False,False,False,False,False,False,False,False,False,,False,True,,False,False,,True,False,False
West Virginia,34332,24988.0,27455.9,25125.6,28215.0,26085.0,,21549.1,50573.0,22966.1,42192.1,,27861.0,43901.0,47475.2,32423.0,17156.6,55496.8,34563.0,27913.8,35877.4,36403.0,,50765.1,84248.1,,36553.4,48630.8,,20554.5,22965.0,31343.5,-9344.0,-6876.1,-9206.4,-6117.0,-8247.0,,-12782.9,16241.0,-11365.9,7860.1,,-6471.0,9569.0,13143.2,-1909.0,-17175.4,21164.8,231.0,-6418.2,1545.4,2071.0,,16433.1,49916.1,,2221.4,14298.8,,-13777.5,-11367.0,-2988.5,True,True,True,True,,False,False,False,True,,True,False,False,True,False,False,True,True,True,True,,False,False,,True,False,,False,False,True
Wisconsin,101023,131120.0,171544.8,130015.8,125979.0,84640.0,,138590.7,120660.0,125661.1,186542.4,,139951.0,223245.5,96089.5,159580.0,77623.1,61272.0,116251.0,109201.8,129944.4,152078.0,,159390.8,153934.5,,132136.3,366668.4,119549.9,47179.5,88160.0,166487.1,30097.0,70521.8,28992.8,24956.0,-16383.0,,37567.7,19637.0,24638.1,85519.4,,38928.0,122222.5,-4933.5,58557.0,-23399.9,-39751.0,15228.0,8178.8,28921.4,51055.0,,58367.8,52911.5,,31113.3,265645.4,18526.9,-53843.5,-12863.0,65464.1,False,True,True,True,,False,True,True,False,,False,False,True,False,True,False,True,True,True,False,,False,False,,False,False,True,False,True,False
Wyoming,11218,18072.0,16701.5,18501.0,17728.0,14438.0,,18040.4,25402.0,10859.9,24231.0,,21441.0,34912.7,23239.4,22375.0,7970.4,9967.7,12325.5,13851.4,22744.5,21108.0,,8680.1,30848.8,,19598.2,45811.2,,4250.0,11024.0,22204.1,6854.0,5483.5,7283.0,6510.0,3220.0,,6822.4,14184.0,-358.1,13013.0,,10223.0,23694.7,12021.4,11157.0,-3247.6,-1250.3,1107.5,2633.4,11526.5,9890.0,,-2537.9,19630.8,,8380.2,34593.2,,-6968.0,-194.0,10986.1,True,False,True,True,,True,False,True,False,,False,False,False,False,True,True,True,True,False,False,,True,False,,False,False,,False,True,False
US,5679969,4561540.0,5516859.9,4610579.7,4639292.0,4215602.0,3176097.0,4695751.0,7712964.0,5882913.9,,4592612.0,4822133.0,6834577.6,5807953.5,5814094.0,4137599.9,6306069.9,4620780.0,4056752.8,5042291.1,6983425.0,5726666.0,2345887.6,6112651.2,4672505.0,4197121.0,,4284541.2,2888370.2,4238807.0,6010936.0,-1118429.0,-163109.1,-1069389.3,-1040677.0,-1464367.0,-2503872.0,-984218.0,2032995.0,202944.9,,-1087357.0,-857836.0,1154608.6,127984.5,134125.0,-1542369.1,626100.9,-1059189.0,-1623216.2,-637677.9,1303456.0,46697.0,-3334081.4,432682.2,-1007464.0,-1482848.0,,-1395427.8,-2791598.8,-1441162.0,330967.0,True,True,True,False,False,True,False,True,,True,True,False,True,True,False,True,True,False,True,False,True,False,True,True,False,,False,False,False,True
