,actual_cases,COVIDhub-baseline,BPagano-RtDriven,CEID-Walk,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,Google_Harvard-CPF,IBF-TimeSeries,IEM_MED-CovidProject,IQVIA_ACOE-STAN,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,JHU_UNC_GAS-StatMechPool,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,Microsoft-DeepSTIA,OliverWyman-Navigator,OneQuietNight-ML,QJHong-Encounter,RobertWalraven-ESG,TTU-squider,UCF-AEM,UCLA-SuEIR,UCSB-ACTS,UChicagoCHATTOPADHYAY-UnIT,UMich-RidgeTfReg,USC-SI_kJalpha,UVA-Ensemble,Wadhwani_AI-BayesOpt,error-COVIDhub-baseline,error-BPagano-RtDriven,error-CEID-Walk,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IEM_MED-CovidProject,error-IQVIA_ACOE-STAN,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-JHU_UNC_GAS-StatMechPool,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-Microsoft-DeepSTIA,error-OliverWyman-Navigator,error-OneQuietNight-ML,error-QJHong-Encounter,error-RobertWalraven-ESG,error-TTU-squider,error-UCF-AEM,error-UCLA-SuEIR,error-UCSB-ACTS,error-UChicagoCHATTOPADHYAY-UnIT,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,error-UVA-Ensemble,error-Wadhwani_AI-BayesOpt,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IEM_MED-CovidProject,beat_baseline-IQVIA_ACOE-STAN,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-JHU_UNC_GAS-StatMechPool,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-Microsoft-DeepSTIA,beat_baseline-OliverWyman-Navigator,beat_baseline-OneQuietNight-ML,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-TTU-squider,beat_baseline-UCF-AEM,beat_baseline-UCLA-SuEIR,beat_baseline-UCSB-ACTS,beat_baseline-UChicagoCHATTOPADHYAY-UnIT,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha,beat_baseline-UVA-Ensemble,beat_baseline-Wadhwani_AI-BayesOpt
Nebraska,13649,18240.0,25297.4,19038.4,16868.0,12614.0,,20333.7,25025.0,14466.2,15834.2,,16250.6,22969.0,23369.0,19827.0,16791.2,17244.0,11952.7,15946.0,15958.4,13338.5,16621.5,21713.1,16952.0,14603.0,,16386.8,30946.1,,17547.0,39650.3,20495.2,,16710.0,20022.4,18909.5,4591.0,11648.4,5389.4,3219.0,-1035.0,,6684.7,11376.0,817.2,2185.2,,2601.6,9320.0,9720.0,6178.0,3142.2,3595.0,-1696.3,2297.0,2309.4,-310.5,2972.5,8064.1,3303.0,954.0,,2737.8,17297.1,,3898.0,26001.3,6846.2,,3061.0,6373.4,5260.5,False,False,True,True,,False,False,True,True,,True,False,False,False,True,True,True,True,True,True,True,False,True,True,,True,False,,True,False,False,,True,False,False
Nevada,31704,36642.0,44734.9,35575.4,40629.0,32631.0,,40745.6,42069.0,42721.5,47683.6,,43148.2,37227.0,39504.0,46862.9,37323.4,41210.0,22415.0,38762.5,53040.8,40313.0,37142.3,37347.6,41846.0,36113.0,,43185.7,44107.3,,40238.6,52195.8,34136.9,,40125.0,37917.4,44258.0,4938.0,13030.9,3871.4,8925.0,927.0,,9041.6,10365.0,11017.5,15979.6,,11444.2,5523.0,7800.0,15158.9,5619.4,9506.0,-9289.0,7058.5,21336.8,8609.0,5438.3,5643.6,10142.0,4409.0,,11481.7,12403.3,,8534.6,20491.8,2432.9,,8421.0,6213.4,12554.0,False,True,False,True,,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,True,,False,False,,False,False,True,,False,False,False
New Hampshire,9689,12212.0,17759.7,12101.6,14325.0,14343.0,,12416.3,15362.0,6986.2,13633.1,,17471.7,10340.0,14772.0,14629.0,17392.0,13176.0,9651.7,13160.5,20127.6,16572.0,13166.3,15328.4,13345.0,12622.0,,13454.2,18010.6,,14551.0,10835.6,10324.4,,12291.0,16281.9,15595.9,2523.0,8070.7,2412.6,4636.0,4654.0,,2727.3,5673.0,-2702.8,3944.1,,7782.7,651.0,5083.0,4940.0,7703.0,3487.0,-37.3,3471.5,10438.6,6883.0,3477.3,5639.4,3656.0,2933.0,,3765.2,8321.6,,4862.0,1146.6,635.4,,2602.0,6592.9,5906.9,False,True,False,False,,False,False,False,False,,False,True,False,False,False,False,True,False,False,False,False,False,False,False,,False,False,,False,True,True,,False,False,False
New Jersey,62405,69020.0,76624.7,68136.8,73804.0,71996.0,,72002.4,102651.0,63759.6,81732.4,,75556.0,53364.0,77203.0,73734.8,74880.1,77943.0,54653.4,76710.0,79338.1,64266.5,66132.8,72615.0,74014.0,67819.0,,69917.8,123507.5,,76833.5,93739.9,70416.7,,77350.0,94056.5,76377.0,6615.0,14219.7,5731.8,11399.0,9591.0,,9597.4,40246.0,1354.6,19327.4,,13151.0,-9041.0,14798.0,11329.8,12475.1,15538.0,-7751.6,14305.0,16933.1,1861.5,3727.8,10210.0,11609.0,5414.0,,7512.8,61102.5,,14428.5,31334.9,8011.7,,14945.0,31651.5,13972.0,False,True,False,False,,False,False,True,False,,False,False,False,False,False,False,False,False,False,True,True,False,False,True,,False,False,,False,False,False,,False,False,False
New Mexico,18868,23004.0,21988.4,24031.9,21269.0,19505.0,,23895.3,25266.0,20030.6,25270.5,,21349.5,25845.0,27294.0,30468.1,14553.4,20534.0,14110.6,29109.5,20235.7,21910.0,21817.1,25020.2,20437.0,18560.0,,20052.1,10852.7,,17351.9,40048.5,23519.0,,21201.0,32258.8,19879.0,4136.0,3120.4,5163.9,2401.0,637.0,,5027.3,6398.0,1162.6,6402.5,,2481.5,6977.0,8426.0,11600.1,-4314.6,1666.0,-4757.4,10241.5,1367.7,3042.0,2949.1,6152.2,1569.0,-308.0,,1184.1,-8015.3,,-1516.1,21180.5,4651.0,,2333.0,13390.8,1011.0,True,False,True,True,,False,False,True,False,,True,False,False,False,False,True,False,False,True,True,True,False,True,True,,True,False,,True,False,False,,True,False,True
New York,149786,137682.0,180757.4,140033.1,155021.0,141061.0,,160005.7,225737.0,133359.8,156807.6,,194850.1,133708.0,151596.0,172104.0,264134.8,150853.0,138995.0,151043.5,215480.6,138442.0,157533.0,169077.9,173849.0,146839.0,,177164.8,177211.5,,127767.5,181530.8,127976.3,,154970.0,150617.4,182790.9,-12104.0,30971.4,-9752.9,5235.0,-8725.0,,10219.7,75951.0,-16426.2,7021.6,,45064.1,-16078.0,1810.0,22318.0,114348.8,1067.0,-10791.0,1257.5,65694.6,-11344.0,7747.0,19291.9,24063.0,-2947.0,,27378.8,27425.5,,-22018.5,31744.8,-21809.7,,5184.0,831.4,33004.9,False,True,True,True,,True,False,False,True,,False,False,True,False,False,True,True,True,False,True,True,False,False,True,,False,False,,False,False,False,,True,True,False
North Carolina,84154,82448.0,90734.5,81871.0,92397.0,95248.0,,87284.8,86095.0,72554.9,83037.1,,122431.3,80755.0,96238.0,87523.9,101932.3,91103.0,58868.3,84049.0,104660.4,95122.0,99566.5,94423.2,107129.0,84827.0,,104974.2,61764.2,,73359.0,84243.4,80035.2,,99802.0,115741.3,90759.2,-1706.0,6580.5,-2283.0,8243.0,11094.0,,3130.8,1941.0,-11599.1,-1116.9,,38277.3,-3399.0,12084.0,3369.9,17778.3,6949.0,-25285.7,-105.0,20506.4,10968.0,15412.5,10269.2,22975.0,673.0,,20820.2,-22389.8,,-10795.0,89.4,-4118.8,,15648.0,31587.3,6605.2,False,False,False,False,,False,False,False,True,,False,False,False,False,False,False,False,True,False,False,False,False,False,True,,False,False,,False,True,False,,False,False,False
North Dakota,3764,10172.0,11847.6,10560.6,6636.0,3600.0,,8650.5,4971.0,4816.9,6895.0,,5606.7,9659.0,11707.0,8328.9,6017.7,11511.0,5019.8,5430.5,6376.9,3025.5,6344.7,8063.8,8187.0,10881.0,,1600.5,8097.0,,8786.0,16983.4,9031.0,,9528.0,9943.5,5933.5,6408.0,8083.6,6796.6,2872.0,-164.0,,4886.5,1207.0,1052.9,3131.0,,1842.7,5895.0,7943.0,4564.9,2253.7,7747.0,1255.8,1666.5,2612.9,-738.5,2580.7,4299.8,4423.0,7117.0,,-2163.5,4333.0,,5022.0,13219.4,5267.0,,5764.0,6179.5,2169.5,False,False,True,True,,True,True,True,True,,True,True,False,True,True,False,True,True,True,True,True,True,True,False,,True,True,,True,False,True,,True,True,True
Ohio,111207,172058.0,158054.2,171070.9,168324.0,141840.0,,173314.3,228143.0,114545.7,209176.2,,191582.5,172779.0,186530.0,170506.0,208324.6,165488.0,98537.7,171942.5,170156.5,137877.5,168324.0,176967.0,169800.0,159167.0,,151407.4,92239.0,,213232.5,180276.9,173418.6,163391.4,165441.0,226180.5,153883.0,60851.0,46847.2,59863.9,57117.0,30633.0,,62107.3,116936.0,3338.7,97969.2,,80375.5,61572.0,75323.0,59299.0,97117.6,54281.0,-12669.3,60735.5,58949.5,26670.5,57117.0,65760.0,58593.0,47960.0,,40200.4,-18968.0,,102025.5,69069.9,62211.6,52184.4,54234.0,114973.5,42676.0,True,True,True,True,,False,False,True,False,,False,False,False,True,False,True,True,True,True,True,True,False,True,True,,True,True,,False,False,False,True,True,False,True
Oklahoma,43172,40182.0,52445.9,38739.9,42035.0,36076.0,,43656.4,87997.0,38744.9,50093.6,,48475.2,46076.0,52247.0,46721.3,30090.6,41115.0,23038.0,43540.0,42807.0,34418.0,44718.0,49393.2,46689.0,36271.0,,,33582.6,,40781.0,63105.3,44441.6,,46873.0,51054.6,39075.0,-2990.0,9273.9,-4432.1,-1137.0,-7096.0,,484.4,44825.0,-4427.1,6921.6,,5303.2,2904.0,9075.0,3549.3,-13081.4,-2057.0,-20134.0,368.0,-365.0,-8754.0,1546.0,6221.2,3517.0,-6901.0,,,-9589.4,,-2391.0,19933.3,1269.6,,3701.0,7882.6,-4097.0,False,False,True,False,,True,False,False,False,,False,True,False,False,False,True,False,True,True,False,True,False,False,False,,,False,,True,False,True,,False,False,False
Oregon,15487,19192.0,27670.1,19115.8,21065.0,17397.0,,21666.9,29531.0,16587.3,25342.0,,20833.5,20517.0,22856.0,25706.4,22499.7,20001.0,15721.5,22951.0,21855.9,14922.5,18954.9,22847.2,23697.0,15854.0,,21661.3,35053.1,,23379.2,31061.2,22358.3,,20064.0,23215.8,27847.1,3705.0,12183.1,3628.8,5578.0,1910.0,,6179.9,14044.0,1100.3,9855.0,,5346.5,5030.0,7369.0,10219.4,7012.7,4514.0,234.5,7464.0,6368.9,-564.5,3467.9,7360.2,8210.0,367.0,,6174.3,19566.1,,7892.2,15574.2,6871.3,,4577.0,7728.8,12360.1,False,True,False,True,,False,False,True,False,,False,False,False,False,False,False,True,False,False,True,True,False,False,True,,False,False,,False,False,False,,False,False,False
Pennsylvania,123437,139390.0,176535.1,139449.7,164942.0,148417.0,,153887.1,216151.0,132377.3,173827.0,,188196.6,144233.0,158824.0,173021.6,191240.8,149842.0,111074.8,157852.0,213774.0,164941.5,150459.8,146900.6,161449.0,132753.0,,188509.2,167558.8,,117149.8,177308.4,120426.1,180949.4,169580.0,197566.3,164350.4,15953.0,53098.1,16012.7,41505.0,24980.0,,30450.1,92714.0,8940.3,50390.0,,64759.6,20796.0,35387.0,49584.6,67803.8,26405.0,-12362.2,34415.0,90337.0,41504.5,27022.8,23463.6,38012.0,9316.0,,65072.2,44121.8,,-6287.2,53871.4,-3010.9,57512.4,46143.0,74129.3,40913.4,False,False,False,False,,False,False,True,False,,False,False,False,False,False,False,True,False,False,False,False,False,False,True,,False,False,,True,False,True,False,False,False,False
Rhode Island,11248,17362.0,20624.3,17468.5,17631.0,13696.0,,18760.7,14374.0,56425.6,18989.2,,23341.0,13900.0,20329.0,19439.5,21334.3,19625.0,8502.3,16694.0,25885.8,15602.5,14675.6,20746.3,13087.0,16124.0,,17919.5,16939.8,,13460.6,22998.5,15785.1,,15731.0,21121.2,22279.9,6114.0,9376.3,6220.5,6383.0,2448.0,,7512.7,3126.0,45177.6,7741.2,,12093.0,2652.0,9081.0,8191.5,10086.3,8377.0,-2745.7,5446.0,14637.8,4354.5,3427.6,9498.3,1839.0,4876.0,,6671.5,5691.8,,2212.6,11750.5,4537.1,,4483.0,9873.2,11031.9,False,False,False,True,,False,True,False,False,,False,True,False,False,False,False,True,True,False,True,True,False,True,True,,False,True,,True,False,True,,True,False,False
South Carolina,40094,39126.0,46283.7,39567.9,45254.0,48425.0,,40675.2,40807.0,36722.5,38139.3,,58859.8,34293.0,44965.0,40797.7,48816.3,49825.0,24645.8,33271.0,56700.3,47717.5,47977.4,45833.1,52391.0,42086.0,,51597.2,31496.9,,39329.8,37737.9,44450.0,,49837.0,51254.7,39317.1,-968.0,6189.7,-526.1,5160.0,8331.0,,581.2,713.0,-3371.5,-1954.7,,18765.8,-5801.0,4871.0,703.7,8722.3,9731.0,-15448.2,-6823.0,16606.3,7623.5,7883.4,5739.1,12297.0,1992.0,,11503.2,-8597.1,,-764.2,-2356.1,4356.0,,9743.0,11160.7,-776.9,False,True,False,False,,True,True,False,False,,False,False,False,True,False,False,False,False,False,False,False,False,False,False,,False,False,,True,False,False,,False,False,True
South Dakota,6556,10206.0,9748.1,10197.4,8977.0,7113.0,,9919.3,9358.0,7139.4,9382.0,,8592.1,11587.0,11391.0,10861.6,6747.2,9839.0,4817.0,7810.0,8520.0,6321.5,9096.5,9970.6,9178.0,9828.0,,8666.7,5654.4,,12945.2,17564.6,11184.5,,9225.0,11573.2,8636.0,3650.0,3192.1,3641.4,2421.0,557.0,,3363.3,2802.0,583.4,2826.0,,2036.1,5031.0,4835.0,4305.6,191.2,3283.0,-1739.0,1254.0,1964.0,-234.5,2540.5,3414.6,2622.0,3272.0,,2110.7,-901.6,,6389.2,11008.6,4628.5,,2669.0,5017.2,2080.0,True,True,True,True,,True,True,True,True,,True,False,False,False,True,True,True,True,True,True,True,True,True,True,,True,True,,False,False,False,,True,False,True
Tennessee,117939,90862.0,105827.8,92691.2,94451.0,80970.0,,87547.1,70553.0,88478.9,101811.0,,144828.2,92088.0,98113.0,89173.5,100485.1,89248.0,45431.0,91595.5,94522.8,117183.5,122469.4,106149.6,108412.0,89562.0,,108042.3,71830.3,,86183.1,92415.3,81285.1,,107338.0,115260.3,94936.3,-27077.0,-12111.2,-25247.8,-23488.0,-36969.0,,-30391.9,-47386.0,-29460.1,-16128.0,,26889.2,-25851.0,-19826.0,-28765.5,-17453.9,-28691.0,-72508.0,-26343.5,-23416.2,-755.5,4530.4,-11789.4,-9527.0,-28377.0,,-9896.7,-46108.7,,-31755.9,-25523.7,-36653.9,,-10601.0,-2678.7,-23002.7,True,True,True,False,,False,False,False,True,,True,True,True,False,True,False,False,True,True,True,True,True,True,False,,True,False,,False,True,False,,True,True,True
Texas,195285,178170.0,205989.0,179506.9,186590.0,191961.0,,186868.9,230070.0,185833.8,192496.5,,180104.7,179676.0,215881.0,218994.2,232109.7,162232.0,169568.4,303669.5,201283.4,171619.5,175155.6,189461.5,219177.0,160147.0,,199314.3,245241.8,,175438.3,264391.8,215400.9,,186891.0,271415.3,199564.2,-17115.0,10704.0,-15778.1,-8695.0,-3324.0,,-8416.1,34785.0,-9451.2,-2788.5,,-15180.3,-15609.0,20596.0,23709.2,36824.7,-33053.0,-25716.6,108384.5,5998.4,-23665.5,-20129.4,-5823.5,23892.0,-35138.0,,4029.3,49956.8,,-19846.7,69106.8,20115.9,,-8394.0,76130.3,4279.2,True,True,True,True,,True,False,True,True,,True,True,False,False,False,False,False,False,True,False,False,True,False,False,,True,False,,False,False,False,,True,False,True
Utah,32257,37954.0,35414.0,39295.2,35624.0,25913.0,,44025.3,62315.0,26357.0,32405.1,,39809.1,46613.0,47589.0,44068.5,28929.1,36571.0,18062.1,35323.5,39120.7,29318.0,35234.8,40770.2,42200.0,33375.0,,39821.1,34299.8,,32703.3,56900.7,26322.7,,40295.0,32352.5,33029.0,5697.0,3157.0,7038.2,3367.0,-6344.0,,11768.3,30058.0,-5900.0,148.1,,7552.1,14356.0,15332.0,11811.5,-3327.9,4314.0,-14194.9,3066.5,6863.7,-2939.0,2977.8,8513.2,9943.0,1118.0,,7564.1,2042.8,,446.3,24643.7,-5934.3,,8038.0,95.5,772.0,True,False,True,False,,False,False,False,True,,False,False,False,False,True,True,False,True,False,True,True,False,False,True,,False,True,,True,False,False,,False,True,True
Vermont,1340,1464.0,2365.9,1437.0,1772.0,1809.0,,1697.5,4043.0,2141.7,1890.6,,2061.7,358.0,2146.0,1804.9,1986.6,1458.0,1100.5,1815.0,3488.6,1635.5,1678.2,2019.1,1958.0,1204.0,,1962.6,3578.4,,1686.9,2351.7,1686.0,,1843.0,1889.5,1714.3,124.0,1025.9,97.0,432.0,469.0,,357.5,2703.0,801.7,550.6,,721.7,-982.0,806.0,464.9,646.6,118.0,-239.5,475.0,2148.6,295.5,338.2,679.1,618.0,-136.0,,622.6,2238.4,,346.9,1011.7,346.0,,503.0,549.5,374.3,False,True,False,False,,False,False,False,False,,False,False,False,False,False,True,False,False,False,False,False,False,False,False,,False,False,,False,False,False,,False,False,False
Virginia,50962,54884.0,61115.8,53403.3,59412.0,70709.0,,56335.7,46548.0,48011.7,54162.0,,72195.0,50882.0,56387.0,57066.8,75507.1,74191.0,38778.2,54949.5,65570.8,59965.0,56943.3,60834.4,66115.0,58774.0,,61282.9,31348.5,,56804.4,50188.8,60062.6,,66727.0,70687.1,51296.2,3922.0,10153.8,2441.3,8450.0,19747.0,,5373.7,-4414.0,-2950.3,3200.0,,21233.0,-80.0,5425.0,6104.8,24545.1,23229.0,-12183.8,3987.5,14608.8,9003.0,5981.3,9872.4,15153.0,7812.0,,10320.9,-19613.5,,5842.4,-773.2,9100.6,,15765.0,19725.1,334.2,False,True,False,False,,False,False,True,True,,False,True,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,,False,True,False,,False,False,True
Washington,28002,47884.0,39626.4,47473.2,46979.0,60085.0,,46222.1,66039.0,39530.7,55315.7,,46900.3,44611.0,40720.0,57841.7,46036.1,47689.0,36171.9,47920.5,43408.9,34879.5,49463.8,53011.6,45082.0,46166.0,,49570.4,67879.9,,59986.1,52080.7,47510.5,,48885.0,60618.7,,19882.0,11624.4,19471.2,18977.0,32083.0,,18220.1,38037.0,11528.7,27313.7,,18898.3,16609.0,12718.0,29839.7,18034.1,19687.0,8169.9,19918.5,15406.9,6877.5,21461.8,25009.6,17080.0,18164.0,,21568.4,39877.9,,31984.1,24078.7,19508.5,,20883.0,32616.7,,True,True,True,False,,True,False,True,False,,True,True,True,False,True,True,True,False,True,True,False,False,True,True,,False,False,,False,False,True,,False,False,
West Virginia,18026,17158.0,21976.3,17192.8,18178.0,18189.0,,17947.9,26942.0,14617.3,21295.6,,18970.8,18544.0,18103.0,19943.0,19202.2,17922.0,8259.4,18866.5,25650.2,16770.5,16529.1,19045.3,19573.0,15653.0,,19138.2,12207.8,,20105.8,22360.9,17610.1,,19675.0,20896.5,18029.2,-868.0,3950.3,-833.2,152.0,163.0,,-78.1,8916.0,-3408.7,3269.6,,944.8,518.0,77.0,1917.0,1176.2,-104.0,-9766.6,840.5,7624.2,-1255.5,-1496.9,1019.3,1547.0,-2373.0,,1112.2,-5818.2,,2079.8,4334.9,-415.9,,1649.0,2870.5,3.2,False,True,True,True,,True,False,False,False,,False,True,True,False,False,True,False,True,False,False,False,False,False,False,,False,False,,False,False,True,,False,False,True
Wisconsin,40031,56146.0,62598.3,57900.2,50696.0,46420.0,,54921.4,38211.0,36400.2,57425.1,,48737.1,61336.0,59136.0,60795.5,33331.3,59636.0,32082.4,48104.0,45815.5,40998.0,53381.3,55326.0,51845.0,52881.0,,47879.5,29492.1,,50787.5,98734.9,52086.0,53842.7,56335.0,71800.5,38616.0,16115.0,22567.3,17869.2,10665.0,6389.0,,14890.4,-1820.0,-3630.8,17394.1,,8706.1,21305.0,19105.0,20764.5,-6699.7,19605.0,-7948.6,8073.0,5784.5,967.0,13350.3,15295.0,11814.0,12850.0,,7848.5,-10538.9,,10756.5,58703.9,12055.0,13811.7,16304.0,31769.5,-1415.0,False,False,True,True,,True,True,True,False,,True,False,False,False,True,False,True,True,True,True,True,True,True,True,,True,True,,True,False,True,True,False,False,True
Wyoming,4239,5932.0,7699.6,5940.5,5184.0,4928.0,,6007.6,9025.0,3750.2,4472.9,,4487.8,6767.0,6824.0,6592.7,3748.1,5488.0,2471.6,4802.0,3828.7,3398.0,5485.6,6383.4,4531.0,4739.0,,2971.0,8632.6,,5330.0,12996.4,6728.5,,6719.0,6087.5,4573.9,1693.0,3460.6,1701.5,945.0,689.0,,1768.6,4786.0,-488.8,233.9,,248.8,2528.0,2585.0,2353.7,-490.9,1249.0,-1767.4,563.0,-410.3,-841.0,1246.6,2144.4,292.0,500.0,,-1268.0,4393.6,,1091.0,8757.4,2489.5,,2480.0,1848.5,334.9,False,False,True,True,,False,False,True,True,,True,False,False,False,True,True,False,True,True,True,True,False,True,True,,True,False,,True,False,False,,False,False,True
US,2839458,2961962.0,3539735.9,2973827.8,3170605.0,3060296.0,3123882.0,3135055.5,3647112.0,3222929.5,,3310880.0,3367200.6,2926379.0,3159606.0,3412612.5,3566198.0,,2098661.3,,3643820.5,3045023.5,3062890.6,3227670.5,3294981.0,3237476.0,3104951.0,3533724.3,2768332.9,3159884.0,2933295.4,,2900216.8,3455499.5,3257615.0,4043806.0,,122504.0,700277.9,134369.8,331147.0,220838.0,284424.0,295597.5,807654.0,383471.5,,471422.0,527742.6,86921.0,320148.0,573154.5,726740.0,,-740796.7,,804362.5,205565.5,223432.6,388212.5,455523.0,398018.0,265493.0,694266.3,-71125.1,320426.0,93837.4,,60758.8,616041.5,418157.0,1204348.0,,False,False,False,False,False,False,False,False,,False,False,True,False,False,False,,False,,False,False,False,False,False,False,False,False,True,False,True,,True,False,False,False,
