,actual_cases,COVIDhub-baseline,BPagano-RtDriven,CEID-Walk,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,Google_Harvard-CPF,IBF-TimeSeries,IEM_MED-CovidProject,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,JHU_UNC_GAS-StatMechPool,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MSRA-DeepST,Microsoft-DeepSTIA,OliverWyman-Navigator,OneQuietNight-ML,QJHong-Encounter,RobertWalraven-ESG,TTU-squider,UCF-AEM,UCLA-SuEIR,UCSB-ACTS,UMich-RidgeTfReg,USC-SI_kJalpha,UVA-Ensemble,Wadhwani_AI-BayesOpt,error-COVIDhub-baseline,error-BPagano-RtDriven,error-CEID-Walk,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IEM_MED-CovidProject,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-JHU_UNC_GAS-StatMechPool,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MSRA-DeepST,error-Microsoft-DeepSTIA,error-OliverWyman-Navigator,error-OneQuietNight-ML,error-QJHong-Encounter,error-RobertWalraven-ESG,error-TTU-squider,error-UCF-AEM,error-UCLA-SuEIR,error-UCSB-ACTS,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,error-UVA-Ensemble,error-Wadhwani_AI-BayesOpt,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IEM_MED-CovidProject,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-JHU_UNC_GAS-StatMechPool,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MSRA-DeepST,beat_baseline-Microsoft-DeepSTIA,beat_baseline-OliverWyman-Navigator,beat_baseline-OneQuietNight-ML,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-TTU-squider,beat_baseline-UCF-AEM,beat_baseline-UCLA-SuEIR,beat_baseline-UCSB-ACTS,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha,beat_baseline-UVA-Ensemble,beat_baseline-Wadhwani_AI-BayesOpt
Nevada,50025,49197.0,71076.4,51523.4,56736.0,40521.0,,55453.9,70385.0,66362.6,65464.0,,69767.0,48887.0,68031.4,60756.0,50436.0,37096.8,58512.5,84073.4,57396.0,57888.5,51933.0,55931.2,58189.0,50491.0,,61491.8,64820.7,,49215.9,92128.5,,47699.0,96194.2,12859.2,-828.0,21051.4,1498.4,6711.0,-9504.0,,5428.9,20360.0,16337.6,15439.0,,19742.0,-1138.0,18006.4,10731.0,411.0,-12928.2,8487.5,34048.4,7371.0,7863.5,1908.0,5906.2,8164.0,466.0,,11466.8,14795.7,,-809.1,42103.5,,-2326.0,46169.2,-37165.8,False,False,False,False,,False,False,False,False,,False,False,False,False,True,False,False,False,False,False,False,False,False,True,,False,False,,True,False,,False,False,False
New Hampshire,15795,12621.0,30944.1,12371.5,14842.0,14572.0,,12348.9,26936.0,8980.4,18446.3,,17152.4,14610.0,16028.9,19028.3,18470.0,13927.2,15102.0,23041.2,14767.0,14621.5,15958.8,16234.0,14191.0,16548.0,,15839.0,24031.4,,14808.8,14715.4,,14950.0,15470.2,2778.5,-3174.0,15149.1,-3423.5,-953.0,-1223.0,,-3446.1,11141.0,-6814.6,2651.3,,1357.4,-1185.0,233.9,3233.3,2675.0,-1867.8,-693.0,7246.2,-1028.0,-1173.5,163.8,439.0,-1604.0,753.0,,44.0,8236.4,,-986.2,-1079.6,,-845.0,-324.8,-13016.5,False,False,True,True,,False,False,False,True,,True,True,True,False,True,True,True,False,True,True,True,True,True,True,,True,False,,True,True,,True,True,False
New Jersey,110205,97299.0,109185.3,98495.1,111675.0,109642.0,,98663.0,170754.0,121333.4,90712.8,,133240.2,93810.0,119656.3,98859.7,86950.0,91420.3,116235.5,124809.0,100565.5,120322.4,115915.9,117547.6,105171.0,112995.0,,150357.7,171651.6,,154240.7,150401.0,,103225.0,146992.8,18224.7,-12906.0,-1019.7,-11709.9,1470.0,-563.0,,-11542.0,60549.0,11128.4,-19492.2,,23035.2,-16395.0,9451.3,-11345.3,-23255.0,-18784.7,6030.5,14604.0,-9639.5,10117.4,5710.9,7342.6,-5034.0,2790.0,,40152.7,61446.6,,44035.7,40196.0,,-6980.0,36787.8,-91980.3,True,True,True,True,,True,False,True,False,,False,False,True,True,False,False,True,False,True,True,True,True,True,True,,False,False,,False,False,,True,False,False
New Mexico,30370,38622.0,44309.6,39879.9,38839.0,29506.0,,43590.4,47322.0,49547.9,46822.4,,39527.9,37110.0,59769.6,36181.2,41519.0,27148.4,54398.5,31642.9,31296.0,35546.7,35755.4,37618.0,35296.0,34272.0,,25116.7,19826.3,,39359.0,87524.5,,30087.0,44526.0,14992.9,8252.0,13939.6,9509.9,8469.0,-864.0,,13220.4,16952.0,19177.9,16452.4,,9157.9,6740.0,29399.6,5811.2,11149.0,-3221.6,24028.5,1272.9,926.0,5176.7,5385.4,7248.0,4926.0,3902.0,,-5253.3,-10543.7,,8989.0,57154.5,,-283.0,14156.0,-15377.1,False,False,False,True,,False,False,False,False,,False,True,False,True,False,True,False,True,True,True,True,True,True,True,,True,False,,False,False,,True,False,False
New York,219331,185061.0,195806.0,184436.6,229315.0,247813.0,,236395.9,325977.0,186665.7,302032.1,,341493.7,169421.0,203539.6,375171.5,222820.0,212905.0,222110.0,310908.1,277455.5,268247.3,206689.7,221359.4,245464.0,238869.0,,260419.2,166964.4,,189118.2,230256.4,,234417.0,241732.4,40843.3,-34270.0,-23525.0,-34894.4,9984.0,28482.0,,17064.9,106646.0,-32665.3,82701.1,,122162.7,-49910.0,-15791.4,155840.5,3489.0,-6426.0,2779.0,91577.1,58124.5,48916.3,-12641.3,2028.4,26133.0,19538.0,,41088.2,-52366.6,,-30212.8,10925.4,,15086.0,22401.4,-178487.7,True,False,True,True,,True,False,True,False,,False,False,True,False,True,True,True,False,False,False,True,True,True,True,,False,False,,True,True,,True,True,False
North Carolina,125378,91782.0,119960.8,92886.2,104873.0,105152.0,,88674.5,89894.0,99585.5,63173.6,,138370.2,105106.0,120069.6,98889.7,90502.0,73255.5,93965.5,119003.5,118806.0,133078.9,120732.8,123240.2,125892.0,115680.0,,121831.1,90371.6,,80869.8,122881.4,,126735.0,107950.2,18180.2,-33596.0,-5417.2,-32491.8,-20505.0,-20226.0,,-36703.5,-35484.0,-25792.5,-62204.4,,12992.2,-20272.0,-5308.4,-26488.3,-34876.0,-52122.5,-31412.5,-6374.5,-6572.0,7700.9,-4645.2,-2137.8,514.0,-9698.0,,-3546.9,-35006.4,,-44508.2,-2496.6,,1357.0,-17427.8,-107197.8,True,True,True,True,,False,False,True,False,,True,True,True,True,False,False,True,True,True,True,True,True,True,True,,True,False,,False,True,,True,True,False
North Dakota,8850,13707.0,11442.8,13373.7,10197.0,6306.0,,15584.5,9971.0,13386.1,5813.2,,8241.7,14936.0,17326.4,6096.7,14714.0,6488.3,9032.5,8711.8,7009.5,10591.7,13780.4,12224.7,8321.0,15788.0,,4351.9,14129.2,,7948.8,38438.3,,9167.0,15699.9,2132.9,4857.0,2592.8,4523.7,1347.0,-2544.0,,6734.5,1121.0,4536.1,-3036.8,,-608.3,6086.0,8476.4,-2753.3,5864.0,-2361.7,182.5,-138.2,-1840.5,1741.7,4930.4,3374.7,-529.0,6938.0,,-4498.1,5279.2,,-901.2,29588.3,,317.0,6849.9,-6717.1,True,True,True,True,,False,True,True,True,,True,False,False,True,False,True,True,True,True,True,False,True,True,False,,True,False,,True,False,,True,False,False
Ohio,197236,182187.0,266679.3,172912.5,192410.0,174047.0,,208334.2,352705.0,190426.9,248904.1,,213063.4,194140.0,249608.4,190003.7,177032.0,137165.5,222945.0,202950.0,161621.0,188364.2,194245.5,197278.4,205695.0,198266.0,,196163.9,146926.7,,206564.8,342656.6,113242.3,172037.0,237360.6,42050.5,-15049.0,69443.3,-24323.5,-4826.0,-23189.0,,11098.2,155469.0,-6809.1,51668.1,,15827.4,-3096.0,52372.4,-7232.3,-20204.0,-60070.5,25709.0,5714.0,-35615.0,-8871.8,-2990.5,42.4,8459.0,1030.0,,-1072.1,-50309.3,,9328.8,145420.6,-83993.7,-25199.0,40124.6,-155185.5,False,False,True,False,,True,False,True,False,,False,True,False,True,False,False,False,True,False,True,True,True,True,True,,True,False,,True,False,False,False,False,False
Oklahoma,63263,58263.0,96509.4,56765.6,63389.0,55036.0,,68990.3,133643.0,53864.6,102847.3,,67664.2,71278.0,71111.4,51606.7,57047.0,33661.5,73075.5,53808.4,53122.5,62667.1,64440.0,66290.3,72103.0,60695.0,,80420.2,31596.5,,64481.4,114515.8,,64293.0,80566.1,13316.2,-5000.0,33246.4,-6497.4,126.0,-8227.0,,5727.3,70380.0,-9398.4,39584.3,,4401.2,8015.0,7848.4,-11656.3,-6216.0,-29601.5,9812.5,-9454.6,-10140.5,-595.9,1177.0,3027.3,8840.0,-2568.0,,17157.2,-31666.5,,1218.4,51252.8,,1030.0,17303.1,-49946.8,False,False,True,False,,False,False,False,False,,True,False,False,False,False,False,False,False,False,True,True,True,False,True,,False,False,,True,False,,True,False,False
Oregon,25083,32211.0,58600.7,32145.9,36636.0,36476.0,,32659.1,47057.0,24704.6,36660.0,,42904.2,32352.0,43219.6,43899.3,40383.0,32167.7,37759.5,57169.6,34749.0,34468.5,38873.8,38867.1,42806.0,36046.0,,31561.2,18859.7,,40861.8,46579.3,,36245.0,40357.4,7293.5,7128.0,33517.7,7062.9,11553.0,11393.0,,7576.1,21974.0,-378.4,11577.0,,17821.2,7269.0,18136.6,18816.3,15300.0,7084.7,12676.5,32086.6,9666.0,9385.5,13790.8,13784.1,17723.0,10963.0,,6478.2,-6223.3,,15778.8,21496.3,,11162.0,15274.4,-17789.5,False,True,False,False,,False,False,True,False,,False,False,False,False,False,True,False,False,False,False,False,False,False,False,,True,True,,False,False,,False,False,False
Pennsylvania,193132,179070.0,234963.4,177377.0,216895.0,223834.0,,180734.1,320486.0,198479.5,248669.1,,259418.8,174898.0,219143.5,228652.3,163460.0,161169.6,219504.0,338176.5,215177.5,216360.5,185918.8,194152.0,216665.0,203682.0,,289229.0,238398.9,,166609.0,269953.3,219164.4,223051.0,269058.9,37261.3,-14062.0,41831.4,-15755.0,23763.0,30702.0,,-12397.9,127354.0,5347.5,55537.1,,66286.8,-18234.0,26011.5,35520.3,-29672.0,-31962.4,26372.0,145044.5,22045.5,23228.5,-7213.2,1020.0,23533.0,10550.0,,96097.0,45266.9,,-26523.0,76821.3,26032.4,29919.0,75926.9,-155870.7,False,False,False,False,,True,False,True,False,,False,False,False,False,False,False,False,False,False,False,True,True,False,True,,False,False,,False,False,False,False,False,False
Rhode Island,19929,24549.0,26784.0,24111.1,23310.0,15147.0,,22246.7,20479.0,370133.8,16290.0,,16957.9,24872.0,29221.0,28063.7,27776.0,13196.6,23819.5,39771.2,22310.0,21829.2,24695.4,25591.8,21300.0,26564.0,,22963.5,25401.1,,20800.8,32966.0,,20806.0,21731.1,3672.7,4620.0,6855.0,4182.1,3381.0,-4782.0,,2317.7,550.0,350204.8,-3639.0,,-2971.1,4943.0,9292.0,8134.7,7847.0,-6732.4,3890.5,19842.2,2381.0,1900.2,4766.4,5662.8,1371.0,6635.0,,3034.5,5472.1,,871.8,13037.0,,877.0,1802.1,-16256.3,False,True,True,False,,True,True,False,True,,True,False,False,False,False,False,True,False,True,True,False,False,True,False,,True,False,,True,False,,True,True,False
South Carolina,59657,42972.0,52026.3,43440.9,48911.0,53963.0,,35862.6,58173.0,44913.0,53717.1,,63830.5,47101.0,46765.2,36945.3,48102.0,31109.2,39278.5,53061.2,55207.5,62220.7,56072.2,55589.1,61147.0,58983.0,,73566.8,45172.4,,49115.4,50045.2,,61078.0,47087.1,5827.4,-16685.0,-7630.7,-16216.1,-10746.0,-5694.0,,-23794.4,-1484.0,-14744.0,-5939.9,,4173.5,-12556.0,-12891.8,-22711.7,-11555.0,-28547.8,-20378.5,-6595.8,-4449.5,2563.7,-3584.8,-4067.9,1490.0,-674.0,,13909.8,-14484.6,,-10541.6,-9611.8,,1421.0,-12569.9,-53829.6,True,True,True,True,,False,True,True,True,,True,True,True,False,True,False,False,True,True,True,True,True,True,True,,True,True,,True,True,,True,True,False
South Dakota,11659,18615.0,16579.2,17887.8,16447.0,10628.0,,18119.6,16107.0,14274.6,13235.4,,13524.7,18363.0,20431.0,11612.0,20493.0,7439.1,13719.5,14796.2,12974.0,15541.7,18211.6,16871.0,15159.0,20640.0,,20799.2,13026.5,,25029.6,36132.6,,14526.0,20230.3,2097.0,6956.0,4920.2,6228.8,4788.0,-1031.0,,6460.6,4448.0,2615.6,1576.4,,1865.7,6704.0,8772.0,-47.0,8834.0,-4219.9,2060.5,3137.2,1315.0,3882.7,6552.6,5212.0,3500.0,8981.0,,9140.2,1367.5,,13370.6,24473.6,,2867.0,8571.3,-9562.0,True,True,True,True,,True,True,True,True,,True,True,False,True,False,True,True,True,True,True,True,True,True,False,,False,True,,False,False,,True,False,False
Tennessee,163370,102168.0,80610.4,103414.7,104781.0,106340.0,,100067.7,100102.0,115928.3,96991.6,,102873.7,108421.0,113085.6,96193.2,126365.0,57701.6,116849.5,132805.0,94275.5,88531.7,85811.2,89645.7,122503.0,120562.0,,102881.6,89467.2,,99851.9,144466.4,,104224.0,118195.2,12646.4,-61202.0,-82759.6,-59955.3,-58589.0,-57030.0,,-63302.3,-63268.0,-47441.7,-66378.4,,-60496.3,-54949.0,-50284.4,-67176.8,-37005.0,-105668.4,-46520.5,-30565.0,-69094.5,-74838.3,-77558.8,-73724.3,-40867.0,-42808.0,,-60488.4,-73902.8,,-63518.1,-18903.6,,-59146.0,-45174.8,-150723.6,False,True,True,True,,False,False,True,False,,True,True,True,False,True,False,True,True,False,False,False,False,True,True,,True,False,,False,True,,True,True,False
Texas,295466,294198.0,287439.6,307504.5,307767.0,466273.0,,252482.0,358449.0,398105.3,257003.8,,280937.7,256301.0,350948.3,401643.8,206623.0,236423.2,259129.0,334180.1,307085.5,299940.8,239500.5,249745.7,294649.0,364275.0,,307820.6,352074.3,,324278.3,329722.8,,326884.0,352296.0,40103.1,-1268.0,-8026.4,12038.5,12301.0,170807.0,,-42984.0,62983.0,102639.3,-38462.2,,-14528.3,-39165.0,55482.3,106177.8,-88843.0,-59042.8,-36337.0,38714.1,11619.5,4474.8,-55965.5,-45720.3,-817.0,68809.0,,12354.6,56608.3,,28812.3,34256.8,,31418.0,56830.0,-255362.9,False,False,False,False,,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,True,False,,False,False,,False,False,,False,False,False
Utah,51234,62271.0,47813.0,59986.4,60688.0,64960.0,,63385.6,93979.0,49430.3,50604.9,,59587.5,62098.0,91486.2,42420.8,54507.0,37328.9,54425.5,61589.9,48875.5,61840.6,66627.7,65229.0,58411.0,64803.0,,95192.3,53608.6,,59816.3,100335.4,,60482.0,49935.3,8224.4,11037.0,-3421.0,8752.4,9454.0,13726.0,,12151.6,42745.0,-1803.7,-629.1,,8353.5,10864.0,40252.2,-8813.2,3273.0,-13905.1,3191.5,10355.9,-2358.5,10606.6,15393.7,13995.0,7177.0,13569.0,,43958.3,2374.6,,8582.3,49101.4,,9248.0,-1298.7,-43009.6,True,True,True,False,,False,False,True,True,,True,True,False,True,True,False,True,True,True,True,False,False,True,False,,False,True,,True,False,,True,True,False
Vermont,2072,2583.0,4614.7,2676.7,3108.0,4976.0,,2136.4,8604.0,1960.3,5123.0,,3019.3,2565.0,3292.4,3413.7,3523.0,1930.3,2403.5,5517.8,2338.5,2887.9,3418.6,3423.4,3044.0,4264.0,,3814.8,4779.0,,4525.7,3196.9,,3102.0,2627.9,527.4,511.0,2542.7,604.7,1036.0,2904.0,,64.4,6532.0,-111.7,3051.0,,947.3,493.0,1220.4,1341.7,1451.0,-141.7,331.5,3445.8,266.5,815.9,1346.6,1351.4,972.0,2192.0,,1742.8,2707.0,,2453.7,1124.9,,1030.0,555.9,-1544.6,False,False,False,False,,True,False,True,False,,False,True,False,False,False,True,True,False,True,False,False,False,False,False,,False,False,,False,False,,False,False,False
Virginia,78404,52668.0,52647.3,53583.8,61086.0,52834.0,,60750.0,59558.0,76651.0,73663.8,,82356.4,53886.0,76939.0,67571.8,55216.0,52211.2,58323.0,81657.0,78997.0,83900.3,70828.3,72139.3,70326.0,70149.0,,56529.7,46568.2,,54616.5,78755.0,,62797.0,62933.2,16743.2,-25736.0,-25756.7,-24820.2,-17318.0,-25570.0,,-17654.0,-18846.0,-1753.0,-4740.2,,3952.4,-24518.0,-1465.0,-10832.2,-23188.0,-26192.8,-20081.0,3253.0,593.0,5496.3,-7575.7,-6264.7,-8078.0,-8255.0,,-21874.3,-31835.8,,-23787.5,351.0,,-15607.0,-15470.8,-61660.8,False,True,True,True,,True,True,True,True,,True,True,True,True,True,False,True,True,True,True,True,True,True,True,,True,False,,True,True,,True,True,False
Washington,53638,45477.0,116863.0,44928.4,49317.0,38604.0,,56404.5,132940.0,50069.5,25497.5,,41728.1,39947.0,69332.2,65467.0,57548.0,53562.4,74377.5,54319.0,22972.5,46697.7,60405.3,60899.8,56621.0,50785.0,,18317.8,94485.2,,70514.3,104585.8,,35513.0,56460.8,,-8161.0,63225.0,-8709.6,-4321.0,-15034.0,,2766.5,79302.0,-3568.5,-28140.5,,-11909.9,-13691.0,15694.2,11829.0,3910.0,-75.6,20739.5,681.0,-30665.5,-6940.3,6767.3,7261.8,2983.0,-2853.0,,-35320.2,40847.2,,16876.3,50947.8,,-18125.0,2822.8,,False,False,True,False,,True,False,True,False,,False,False,False,False,True,True,False,True,False,True,True,True,True,True,,False,False,,False,False,,False,True,
West Virginia,26605,23181.0,22986.6,23780.5,25615.0,21895.0,,22327.2,39385.0,20097.9,21455.3,,32905.4,22183.0,29095.0,26699.3,25194.0,13002.2,24851.5,40612.6,24778.0,28196.9,25887.6,26318.8,26762.0,26906.0,,25459.7,18817.7,,30072.6,35251.6,,28368.0,27038.0,4905.3,-3424.0,-3618.4,-2824.5,-990.0,-4710.0,,-4277.8,12780.0,-6507.1,-5149.7,,6300.4,-4422.0,2490.0,94.3,-1411.0,-13602.8,-1753.5,14007.6,-1827.0,1591.9,-717.4,-286.2,157.0,301.0,,-1145.3,-7787.3,,3467.6,8646.6,,1763.0,433.0,-21699.7,False,True,True,False,,False,False,False,False,,False,False,True,True,True,False,True,False,True,True,True,True,True,True,,True,False,,False,False,,True,True,False
Wisconsin,68104,98757.0,115637.8,100651.9,85873.0,74157.0,,96490.0,68709.0,94466.5,55706.0,,68126.7,80808.0,100338.2,51734.9,80695.0,52021.3,81196.5,71628.1,63190.5,90445.5,85822.7,79735.0,73339.0,111955.0,,99167.0,52589.3,,91548.5,198085.1,97148.0,69789.0,111045.4,11998.8,30653.0,47533.8,32547.9,17769.0,6053.0,,28386.0,605.0,26362.5,-12398.0,,22.7,12704.0,32234.2,-16369.1,12591.0,-16082.7,13092.5,3524.1,-4913.5,22341.5,17718.7,11631.0,5235.0,43851.0,,31063.0,-15514.7,,23444.5,129981.1,29044.0,1685.0,42941.4,-56105.2,False,False,True,True,,True,True,True,True,,True,True,False,True,True,True,True,True,True,True,True,True,True,False,,False,True,,True,False,True,True,False,False
Wyoming,7205,11814.0,14537.3,12043.4,10974.0,9725.0,,12218.3,16825.0,7726.1,5496.3,,7857.3,11842.0,12785.1,8282.1,14524.0,4326.1,10925.5,5940.7,6773.5,9297.4,13783.9,12910.4,8865.0,11914.0,,3522.5,19892.3,,11211.5,27113.3,,8149.0,13839.7,1980.5,4609.0,7332.3,4838.4,3769.0,2520.0,,5013.3,9620.0,521.1,-1708.7,,652.3,4637.0,5580.1,1077.1,7319.0,-2878.9,3720.5,-1264.3,-431.5,2092.4,6578.9,5705.4,1660.0,4709.0,,-3682.5,12687.3,,4006.5,19908.3,,944.0,6634.7,-5224.5,False,False,True,True,,False,False,True,True,,True,False,False,True,False,True,True,True,True,True,False,False,True,False,,True,False,,True,False,,True,False,False
US,4352752,4009908.0,4952980.2,4037993.6,4519893.0,4531649.0,5490975.0,4435003.0,5540781.0,5725826.6,,4450198.0,4787869.7,4015511.0,4830472.5,4489916.5,3856622.0,3062331.4,,5104052.0,4384938.0,4209000.6,4038006.8,4134796.5,4413560.0,5969938.0,4077204.0,5623310.2,3352292.4,4362717.0,4414145.5,,4672553.8,4312887.0,4842613.6,,-342844.0,600228.2,-314758.4,167141.0,178897.0,1138223.0,82251.0,1188029.0,1373074.6,,97446.0,435117.7,-337241.0,477720.5,137164.5,-496130.0,-1290420.6,,751300.0,32186.0,-143751.4,-314745.2,-217955.5,60808.0,1617186.0,-275548.0,1270558.2,-1000459.6,9965.0,61393.5,,319801.8,-39865.0,489861.6,,False,True,True,True,False,True,False,False,,True,False,True,False,True,False,False,,False,True,True,True,True,True,False,True,False,False,True,True,,True,True,False,
