,actual_cases,COVIDhub-baseline,BPagano-RtDriven,CEID-Walk,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,Geneva-DetGrowth,Google_Harvard-CPF,IBF-TimeSeries,IEM_MED-CovidProject,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,JHU_UNC_GAS-StatMechPool,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,Microsoft-DeepSTIA,OliverWyman-Navigator,OneQuietNight-ML,QJHong-Encounter,RobertWalraven-ESG,TTU-squider,UCF-AEM,UCLA-SuEIR,UCSB-ACTS,UChicagoCHATTOPADHYAY-UnIT,UMich-RidgeTfReg,USC-SI_kJalpha,UVA-Ensemble,Wadhwani_AI-BayesOpt,error-COVIDhub-baseline,error-BPagano-RtDriven,error-CEID-Walk,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-Geneva-DetGrowth,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IEM_MED-CovidProject,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-JHU_UNC_GAS-StatMechPool,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-Microsoft-DeepSTIA,error-OliverWyman-Navigator,error-OneQuietNight-ML,error-QJHong-Encounter,error-RobertWalraven-ESG,error-TTU-squider,error-UCF-AEM,error-UCLA-SuEIR,error-UCSB-ACTS,error-UChicagoCHATTOPADHYAY-UnIT,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,error-UVA-Ensemble,error-Wadhwani_AI-BayesOpt,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-Geneva-DetGrowth,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IEM_MED-CovidProject,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-JHU_UNC_GAS-StatMechPool,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-Microsoft-DeepSTIA,beat_baseline-OliverWyman-Navigator,beat_baseline-OneQuietNight-ML,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-TTU-squider,beat_baseline-UCF-AEM,beat_baseline-UCLA-SuEIR,beat_baseline-UCSB-ACTS,beat_baseline-UChicagoCHATTOPADHYAY-UnIT,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha,beat_baseline-UVA-Ensemble,beat_baseline-Wadhwani_AI-BayesOpt
Nebraska,5922,7727.0,5505.3,7271.4,6630.0,5919.0,,7359.6,4378.0,6954.4,7096.1,6070.1,,5237.9,8182.0,8371.8,4457.8,6790.0,6947.9,6913.5,6936.5,5427.5,6840.0,7269.7,8329.0,7063.0,,6436.8,11238.4,,6235.9,12704.3,8096.6,8468.1,6630.0,9205.3,7540.4,1805.0,-416.7,1349.4,708.0,-3.0,,1437.6,-1544.0,1032.4,1174.1,148.1,,-684.1,2260.0,2449.8,-1464.2,868.0,1025.9,991.5,1014.5,-494.5,918.0,1347.7,2407.0,1141.0,,514.8,5316.4,,313.9,6782.3,2174.6,2546.1,708.0,3283.3,1618.4,True,True,True,True,,True,True,True,True,True,,True,False,False,True,True,True,True,True,True,True,True,False,True,,True,False,,True,False,False,False,True,False,True
Nevada,13795,17909.0,19702.0,18249.7,17548.0,15025.0,,18384.6,16343.0,17652.7,17689.4,21366.0,,17290.0,18562.0,20183.6,16604.2,19045.0,10956.4,18237.0,18787.7,14373.0,15437.2,16992.2,20140.0,17214.0,,17891.7,19311.3,,18254.1,20305.1,16388.7,17578.1,17539.0,19110.1,,4114.0,5907.0,4454.7,3753.0,1230.0,,4589.6,2548.0,3857.7,3894.4,7571.0,,3495.0,4767.0,6388.6,2809.2,5250.0,-2838.6,4442.0,4992.7,578.0,1642.2,3197.2,6345.0,3419.0,,4096.7,5516.3,,4459.1,6510.1,2593.7,3783.1,3744.0,5315.1,,False,False,True,True,,False,True,True,True,False,,True,False,False,True,False,True,False,False,True,True,True,False,True,,True,False,,False,False,True,True,True,False,
New Hampshire,4769,5365.0,6689.9,5433.9,6171.0,4965.0,,6171.0,6271.0,4118.0,5456.7,7248.3,,6312.3,6370.0,6991.8,7150.1,5971.0,5318.7,6179.0,9097.1,5254.0,5681.3,6637.1,6714.0,5761.0,,6194.8,9496.7,,5766.5,5779.0,4118.2,6028.1,5371.0,7181.6,10520.4,596.0,1920.9,664.9,1402.0,196.0,,1402.0,1502.0,-651.0,687.7,2479.3,,1543.3,1601.0,2222.8,2381.1,1202.0,549.7,1410.0,4328.1,485.0,912.3,1868.1,1945.0,992.0,,1425.8,4727.7,,997.5,1010.0,-650.8,1259.1,602.0,2412.6,5751.4,False,False,False,True,,False,False,False,False,False,,False,False,False,False,False,True,False,False,True,False,False,False,False,,False,False,,False,False,False,False,False,False,False
New Jersey,35640,30921.0,33076.7,31264.8,31908.0,29556.0,,32678.1,29953.0,25606.0,36981.8,38164.2,,31908.1,31539.0,34292.0,29223.8,32012.0,33148.6,34834.0,33351.8,29146.5,31343.8,33145.8,33767.0,32503.0,,32660.2,56180.8,,31119.1,37837.6,27887.4,34687.3,31899.0,42605.9,39532.3,-4719.0,-2563.3,-4375.2,-3732.0,-6084.0,,-2961.9,-5687.0,-10034.0,1341.8,2524.2,,-3731.9,-4101.0,-1348.0,-6416.2,-3628.0,-2491.4,-806.0,-2288.2,-6493.5,-4296.2,-2494.2,-1873.0,-3137.0,,-2979.8,20540.8,,-4520.9,2197.6,-7752.6,-952.7,-3741.0,6965.9,3892.3,True,True,True,False,,True,False,False,True,True,,True,True,True,False,True,True,True,True,False,True,True,True,True,,True,False,,True,True,False,True,True,False,True
New Mexico,8296,10572.0,11551.8,10607.4,9415.0,8699.0,,10676.8,7863.0,8312.8,8948.2,11018.1,,9414.6,11217.0,10709.3,8810.3,9702.0,5042.2,11534.5,9610.1,7134.5,8333.8,9780.5,11536.0,8551.0,,9268.8,7620.2,,8850.2,12396.1,10484.5,10753.8,10454.0,14934.8,9284.9,2276.0,3255.8,2311.4,1119.0,403.0,,2380.8,-433.0,16.8,652.2,2722.1,,1118.6,2921.0,2413.3,514.3,1406.0,-3253.8,3238.5,1314.1,-1161.5,37.8,1484.5,3240.0,255.0,,972.8,-675.8,,554.2,4100.1,2188.5,2457.8,2158.0,6638.8,988.9,False,False,True,True,,False,True,True,True,False,,True,False,False,True,True,False,False,True,True,True,True,False,True,,True,True,,True,False,True,False,True,False,True
New York,76236,73306.0,88286.5,73075.1,80022.0,72284.0,,77319.4,84995.0,51297.2,73759.2,76176.1,,80022.2,74082.0,85206.2,91943.2,76288.0,81938.0,75223.0,103341.6,71195.0,71374.0,76031.7,86168.0,84664.0,,80765.5,96233.4,,85576.5,77772.2,63070.6,86727.1,75196.0,70803.9,95103.7,-2930.0,12050.5,-3160.9,3786.0,-3952.0,,1083.4,8759.0,-24938.8,-2476.8,-59.9,,3786.2,-2154.0,8970.2,15707.2,52.0,5702.0,-1013.0,27105.6,-5041.0,-4862.0,-204.3,9932.0,8428.0,,4529.5,19997.4,,9340.5,1536.2,-13165.4,10491.1,-1040.0,-5432.1,18867.7,False,False,False,False,,True,False,False,True,True,,False,True,False,False,True,False,True,False,False,False,True,False,False,,False,False,,False,True,False,False,True,False,False
North Carolina,41662,42492.0,48729.3,42961.2,46364.0,42548.0,,45055.1,47138.0,35924.8,46708.7,47343.7,,51602.3,45866.0,49492.2,47053.2,48710.0,28205.1,42980.0,51871.6,46213.5,45258.2,48676.3,49162.0,45400.0,,50767.7,31478.0,,43215.8,41791.7,36998.7,49402.6,45804.0,59299.2,61765.9,830.0,7067.3,1299.2,4702.0,886.0,,3393.1,5476.0,-5737.2,5046.7,5681.7,,9940.3,4204.0,7830.2,5391.2,7048.0,-13456.9,1318.0,10209.6,4551.5,3596.2,7014.3,7500.0,3738.0,,9105.7,-10184.0,,1553.8,129.7,-4663.3,7740.6,4142.0,17637.2,20103.9,False,False,False,False,,False,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,,False,True,False,False,False,False,False
North Dakota,1570,2194.0,3669.1,2245.4,1935.0,1513.0,,2769.1,2508.0,1861.3,2700.0,2389.7,,1864.5,3678.0,2323.5,1455.3,1789.0,2626.9,1743.0,2336.2,1019.0,1867.8,2384.3,3047.0,1852.0,,1507.9,2492.7,,1759.6,5763.6,2403.2,1960.8,2042.0,3437.5,2811.2,624.0,2099.1,675.4,365.0,-57.0,,1199.1,938.0,291.3,1130.0,819.7,,294.5,2108.0,753.5,-114.7,219.0,1056.9,173.0,766.2,-551.0,297.8,814.3,1477.0,282.0,,-62.1,922.7,,189.6,4193.6,833.2,390.8,472.0,1867.5,1241.2,False,False,True,True,,False,False,True,False,False,,True,False,False,True,True,False,True,False,True,True,False,False,True,,True,False,,True,False,False,True,True,False,False
Ohio,50239,60968.0,65911.3,63474.6,62545.0,53832.0,,68788.5,74457.0,54087.0,57886.2,82190.8,,68696.8,67329.0,71991.0,54545.8,61154.0,44423.0,71825.5,73824.1,58556.0,61888.9,69043.2,76208.0,54501.0,,63704.6,75000.6,,59304.8,88264.7,52324.5,62573.1,61458.0,69568.7,92269.5,10729.0,15672.3,13235.6,12306.0,3593.0,,18549.5,24218.0,3848.0,7647.2,31951.8,,18457.8,17090.0,21752.0,4306.8,10915.0,-5816.0,21586.5,23585.1,8317.0,11649.9,18804.2,25969.0,4262.0,,13465.6,24761.6,,9065.8,38025.7,2085.5,12334.1,11219.0,19329.7,42030.5,False,False,False,True,,False,False,True,True,False,,False,False,False,True,False,True,False,False,True,False,False,False,True,,False,False,,True,False,True,False,False,False,False
Oklahoma,20640,22532.0,21788.2,23105.3,22377.0,19549.0,,20955.8,18521.0,22922.2,23658.5,25494.9,,26478.1,23946.0,23387.4,19243.3,22503.0,13103.3,22236.5,21495.8,21744.0,24809.3,24626.9,24776.0,22514.0,,24453.0,17884.5,,22376.7,23404.7,21517.6,24267.5,23421.0,24750.6,20989.6,1892.0,1148.2,2465.3,1737.0,-1091.0,,315.8,-2119.0,2282.2,3018.5,4854.9,,5838.1,3306.0,2747.4,-1396.7,1863.0,-7536.7,1596.5,855.8,1104.0,4169.3,3986.9,4136.0,1874.0,,3813.0,-2755.5,,1736.7,2764.7,877.6,3627.5,2781.0,4110.6,349.6,True,False,True,True,,True,False,False,False,False,,False,False,False,True,True,False,True,True,True,False,False,False,True,,False,False,,True,False,True,False,False,False,True
Oregon,6512,8975.0,10276.5,8660.4,8975.0,8477.0,,9249.7,11007.0,8279.7,7737.9,11443.7,,8460.1,9302.0,10684.9,6819.6,9134.0,9500.6,10193.0,9217.3,8231.0,8441.9,9264.6,10925.0,8570.0,,8753.8,13077.7,,8543.3,11629.3,9246.2,9505.7,8880.0,10942.4,9890.1,2463.0,3764.5,2148.4,2463.0,1965.0,,2737.7,4495.0,1767.7,1225.9,4931.7,,1948.1,2790.0,4172.9,307.6,2622.0,2988.6,3681.0,2705.3,1719.0,1929.9,2752.6,4413.0,2058.0,,2241.8,6565.7,,2031.3,5117.3,2734.2,2993.7,2368.0,4430.4,3378.1,False,True,False,True,,False,False,True,True,False,,True,False,False,True,False,False,False,False,True,True,False,False,True,,True,False,,True,False,False,False,True,False,False
Pennsylvania,55872,67565.0,77178.6,68610.3,69899.0,64129.0,,73147.9,74606.0,58227.0,72840.0,76459.6,,63374.8,72038.0,84714.7,83176.6,71124.0,53780.0,73604.0,82420.1,54537.0,57286.2,67247.2,77918.0,69844.0,,66251.1,86943.6,,59643.6,77119.7,52613.4,79643.4,66652.0,107106.6,103367.3,11693.0,21306.6,12738.3,14027.0,8257.0,,17275.9,18734.0,2355.0,16968.0,20587.6,,7502.8,16166.0,28842.7,27304.6,15252.0,-2092.0,17732.0,26548.1,-1335.0,1414.2,11375.2,22046.0,13972.0,,10379.1,31071.6,,3771.6,21247.7,-3258.6,23771.4,10780.0,51234.6,47495.3,False,False,False,True,,False,False,True,False,False,,True,False,False,False,False,True,False,False,True,True,True,False,False,,True,False,,True,False,True,False,True,False,False
Rhode Island,4254,6994.0,8107.4,7024.1,6994.0,6570.0,,7796.8,6896.0,121466.7,6786.6,6795.4,,6736.8,8291.0,9128.2,6506.8,7011.0,5363.6,7175.0,7416.2,6114.5,5708.0,7812.9,7690.0,6677.0,,10367.1,8319.0,,6861.4,9729.5,6582.8,8818.3,5289.0,8779.6,11941.9,2740.0,3853.4,2770.1,2740.0,2316.0,,3542.8,2642.0,117212.7,2532.6,2541.4,,2482.8,4037.0,4874.2,2252.8,2757.0,1109.6,2921.0,3162.2,1860.5,1454.0,3558.9,3436.0,2423.0,,6113.1,4065.0,,2607.4,5475.5,2328.8,4564.3,1035.0,4525.6,7687.9,False,False,False,True,,False,True,False,True,True,,True,False,False,True,False,True,False,False,True,True,False,False,True,,False,False,,True,False,True,False,True,False,False
South Carolina,18355,21739.0,22609.7,22190.6,22970.0,22495.0,,22516.3,14738.0,19373.9,24589.9,26844.8,,26001.8,23014.0,24559.1,25009.1,23678.0,12935.7,20449.5,27034.7,23466.5,22069.4,23884.4,24692.0,23241.0,,25488.0,21143.2,,21213.0,20022.9,21020.2,23366.9,21197.0,29278.1,30628.6,3384.0,4254.7,3835.6,4615.0,4140.0,,4161.3,-3617.0,1018.9,6234.9,8489.8,,7646.8,4659.0,6204.1,6654.1,5323.0,-5419.3,2094.5,8679.7,5111.5,3714.4,5529.4,6337.0,4886.0,,7133.0,2788.2,,2858.0,1667.9,2665.2,5011.9,2842.0,10923.1,12273.6,False,False,False,False,,False,False,True,False,False,,False,False,False,False,False,False,True,False,False,False,False,False,False,,False,True,,True,True,True,False,True,False,False
South Dakota,2627,3929.0,3345.8,3905.7,3630.0,2903.0,,4011.1,1802.0,2722.0,2949.9,3770.9,,2911.5,4560.0,4648.4,2673.2,3971.0,2546.4,3738.0,3561.5,2428.5,3136.3,3506.9,4234.0,3752.0,,3154.0,1056.5,,4969.9,5486.9,4080.6,3813.6,3854.0,4339.1,3921.6,1302.0,718.8,1278.7,1003.0,276.0,,1384.1,-825.0,95.0,322.9,1143.9,,284.5,1933.0,2021.4,46.2,1344.0,-80.6,1111.0,934.5,-198.5,509.3,879.9,1607.0,1125.0,,527.0,-1570.5,,2342.9,2859.9,1453.6,1186.6,1227.0,1712.1,1294.6,True,True,True,True,,False,True,True,True,True,,True,False,False,True,False,True,True,True,True,True,True,False,True,,True,False,,False,False,False,True,True,False,True
Tennessee,57241,60698.0,68707.8,60717.2,65519.0,52151.0,,65518.6,53671.0,58942.5,82205.8,45315.0,,80995.7,64837.0,58163.6,106272.5,70887.0,26023.9,56279.5,56832.6,84259.0,74700.9,70342.7,64696.0,58624.0,,73998.2,45800.5,,61624.1,46497.4,44518.8,61436.3,68419.0,76553.3,84485.9,3457.0,11466.8,3476.2,8278.0,-5090.0,,8277.6,-3570.0,1701.5,24964.8,-11926.0,,23754.7,7596.0,922.6,49031.5,13646.0,-31217.1,-961.5,-408.4,27018.0,17459.9,13101.7,7455.0,1383.0,,16757.2,-11440.5,,4383.1,-10743.6,-12722.2,4195.3,11178.0,19312.3,27244.9,False,False,False,False,,False,False,True,False,False,,False,False,True,False,False,False,True,True,False,False,False,False,True,,False,False,,False,False,False,False,False,False,False
Texas,85188,111354.0,111669.5,115390.3,111354.0,118761.0,,108640.1,105019.0,99116.5,112673.9,136478.6,,174909.6,118782.0,127325.0,111494.0,105916.0,90622.1,159170.5,117098.0,100772.5,109008.2,110195.2,124601.0,118609.0,,113150.7,117771.5,,112669.6,109246.7,119738.4,105121.3,109380.0,157272.4,93013.6,26166.0,26481.5,30202.3,26166.0,33573.0,,23452.1,19831.0,13928.5,27485.9,51290.6,,89721.6,33594.0,42137.0,26306.0,20728.0,5434.1,73982.5,31910.0,15584.5,23820.2,25007.2,39413.0,33421.0,,27962.7,32583.5,,27481.6,24058.7,34550.4,19933.3,24192.0,72084.4,7825.6,False,False,False,False,,True,True,True,False,False,,False,False,False,False,True,True,False,False,True,True,True,False,False,,False,False,,False,True,False,True,True,False,True
Utah,15108,17149.0,15226.8,16723.2,16569.0,10709.0,,18758.4,11362.0,12613.2,16882.5,20500.7,,16568.7,18983.0,20391.3,11908.3,18573.0,9641.7,17251.5,16983.7,13484.0,15478.0,17309.8,18484.0,16068.0,,17692.8,18063.1,,16415.8,21123.0,11166.7,17686.4,17710.0,13391.6,19114.0,2041.0,118.8,1615.2,1461.0,-4399.0,,3650.4,-3746.0,-2494.8,1774.5,5392.7,,1460.7,3875.0,5283.3,-3199.7,3465.0,-5466.3,2143.5,1875.7,-1624.0,370.0,2201.8,3376.0,960.0,,2584.8,2955.1,,1307.8,6015.0,-3941.3,2578.4,2602.0,-1716.4,4006.0,True,True,True,False,,False,False,False,True,False,,True,False,False,False,False,False,False,True,True,True,False,False,True,,False,False,,True,False,False,False,False,True,False
Vermont,623,717.0,675.4,646.0,726.0,711.0,,704.9,883.0,544.8,700.0,1141.8,,712.7,791.0,828.9,708.2,736.0,1263.4,766.0,1568.5,728.5,685.0,776.1,950.0,783.0,,,1683.1,,954.1,912.1,838.5,670.6,690.0,840.8,1061.0,94.0,52.4,23.0,103.0,88.0,,81.9,260.0,-78.2,77.0,518.8,,89.7,168.0,205.9,85.2,113.0,640.4,143.0,945.5,105.5,62.0,153.1,327.0,160.0,,,1060.1,,331.1,289.1,215.5,47.6,67.0,217.8,438.0,True,True,False,True,,True,False,True,True,False,,True,False,False,True,False,False,False,False,False,True,False,False,False,,,False,,False,False,False,True,True,False,False
Virginia,26605,24357.0,31491.8,24347.0,27418.0,24494.0,,26709.8,28339.0,24910.4,21773.3,28897.8,,26472.9,24746.0,30226.0,31981.3,24552.0,23045.7,26437.5,31394.4,27418.5,25392.6,28315.1,30021.0,28654.0,,28855.8,15762.8,,23328.8,26151.3,23475.8,29107.9,26005.0,31927.5,34065.6,-2248.0,4886.8,-2258.0,813.0,-2111.0,,104.8,1734.0,-1694.6,-4831.7,2292.8,,-132.1,-1859.0,3621.0,5376.3,-2053.0,-3559.3,-167.5,4789.4,813.5,-1212.4,1710.1,3416.0,2049.0,,2250.8,-10842.2,,-3276.2,-453.7,-3129.2,2502.9,-600.0,5322.5,7460.6,False,False,True,True,,True,True,True,False,False,,True,True,False,False,True,False,True,False,True,True,True,False,True,,False,False,,False,True,False,False,True,False,False
Washington,14119,13883.0,17130.1,12883.9,13838.0,11496.0,,15213.0,15586.0,11851.3,11068.2,19810.7,,21994.4,18099.0,19758.8,11615.8,17067.0,13420.2,13949.5,17044.5,13635.5,10767.2,16526.5,18617.0,12469.0,,11807.0,27172.6,,13905.1,25360.7,14144.0,17735.3,12734.0,19555.5,,-236.0,3011.1,-1235.1,-281.0,-2623.0,,1094.0,1467.0,-2267.7,-3050.8,5691.7,,7875.4,3980.0,5639.8,-2503.2,2948.0,-698.8,-169.5,2925.5,-483.5,-3351.8,2407.5,4498.0,-1650.0,,-2312.0,13053.6,,-213.9,11241.7,25.0,3616.3,-1385.0,5436.5,,False,False,False,False,,False,False,False,False,False,,False,False,False,False,False,False,True,False,False,False,False,False,False,,False,False,,True,False,True,False,False,False,
West Virginia,8962,9064.0,10441.7,9104.4,9105.0,9105.0,,8998.9,7499.0,8249.7,10012.0,10952.8,,9603.0,8895.0,10108.8,8703.1,9165.0,6082.9,9570.0,9175.0,9010.0,8456.5,9625.4,10735.0,9429.0,,9876.1,8933.5,,9619.3,9412.9,7870.2,10132.4,9337.0,10945.7,10753.6,102.0,1479.7,142.4,143.0,143.0,,36.9,-1463.0,-712.3,1050.0,1990.8,,641.0,-67.0,1146.8,-258.9,203.0,-2879.1,608.0,213.0,48.0,-505.5,663.4,1773.0,467.0,,914.1,-28.5,,657.3,450.9,-1091.8,1170.4,375.0,1983.7,1791.6,False,False,False,False,,True,False,False,False,False,,False,True,False,False,False,False,False,False,True,False,False,False,False,,False,True,,False,False,False,False,False,False,False
Wisconsin,15343,24688.0,22270.7,25368.7,22312.0,22269.0,,23751.9,8021.0,17109.9,21231.9,29680.8,,21876.9,23626.0,29273.7,16928.5,25437.0,16688.1,22081.0,21162.8,17339.0,22488.0,22179.7,26555.0,24703.0,,21720.1,16042.1,,23427.3,32260.4,20988.3,24949.9,23834.0,30667.8,23519.3,9345.0,6927.7,10025.7,6969.0,6926.0,,8408.9,-7322.0,1766.9,5888.9,14337.8,,6533.9,8283.0,13930.7,1585.5,10094.0,1345.1,6738.0,5819.8,1996.0,7145.0,6836.7,11212.0,9360.0,,6377.1,699.1,,8084.3,16917.4,5645.3,9606.9,8491.0,15324.8,8176.3,True,False,True,True,,True,True,True,True,False,,True,True,False,True,False,True,True,True,True,True,True,False,False,,True,True,,True,False,True,False,True,False,True
Wyoming,1658,2581.0,1797.7,2570.8,2103.0,1941.0,,2317.9,2235.0,1804.8,2036.9,1561.0,,1686.5,2558.0,2698.2,1332.8,2161.0,1396.9,2269.5,1741.4,1186.0,1917.8,2120.9,2900.0,2332.0,,1117.8,2942.0,,2401.9,3883.0,2409.6,2975.0,2103.0,2411.0,2052.8,923.0,139.7,912.8,445.0,283.0,,659.9,577.0,146.8,378.9,-97.0,,28.5,900.0,1040.2,-325.2,503.0,-261.1,611.5,83.4,-472.0,259.8,462.9,1242.0,674.0,,-540.2,1284.0,,743.9,2225.0,751.6,1317.0,445.0,753.0,394.8,True,True,True,True,,True,True,True,True,True,,True,True,False,True,True,True,True,True,True,True,True,False,True,,True,False,,True,False,True,False,True,True,True
US,1332557,1512372.0,1628172.4,1504379.2,1536602.0,1442809.0,1875594.0,1534474.2,1581346.0,1669952.0,1580067.1,,1491885.0,1575943.5,1574544.0,1745132.8,1637032.6,,1106565.0,,1752166.9,1371337.0,1521657.4,1582860.5,1686317.0,1489210.0,1524541.0,1642069.2,1506005.7,1470888.0,1479331.2,,1351637.4,1596708.7,1536602.0,2353034.9,,179815.0,295615.4,171822.2,204045.0,110252.0,543037.0,201917.2,248789.0,337395.0,247510.1,,159328.0,243386.5,241987.0,412575.8,304475.6,,-225992.0,,419609.9,38780.0,189100.4,250303.5,353760.0,156653.0,191984.0,309512.2,173448.7,138331.0,146774.2,,19080.4,264151.7,204045.0,1020477.9,,False,True,False,True,False,False,False,False,False,,True,False,False,False,False,,False,,False,True,False,False,False,True,False,False,True,True,True,,True,False,False,False,
