,actual_deaths,Baseline,Auquan-SEIR,CEID-Walk,CMU-TimeSeries,COVIDhub-baseline,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,CovidAnalytics-DELPHI,DDS-NBDS,GT-DeepCOVID,GT_CHHS-COVID19,IHME-CurveFit,JCB-PRM,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MOBS-GLEAM_COVID,NotreDame-FRED,NotreDame-mobility,OliverWyman-Navigator,PSI-DRAFT,QJHong-Encounter,RPI_UW-Mob_Collision,RobertWalraven-ESG,STH-3PU,UA-EpiCovDA,UCLA-SuEIR,UCM_MESALab-FoGSEIR,UMass-MechBayes,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,YYG-ParamSearch,epiforecasts-ensemble1,error-Baseline,error-Auquan-SEIR,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-baseline,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-GT-DeepCOVID,error-GT_CHHS-COVID19,error-IHME-CurveFit,error-JCB-PRM,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MOBS-GLEAM_COVID,error-NotreDame-FRED,error-NotreDame-mobility,error-OliverWyman-Navigator,error-PSI-DRAFT,error-QJHong-Encounter,error-RPI_UW-Mob_Collision,error-RobertWalraven-ESG,error-STH-3PU,error-UA-EpiCovDA,error-UCLA-SuEIR,error-UCM_MESALab-FoGSEIR,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,error-YYG-ParamSearch,error-epiforecasts-ensemble1,beat_baseline-Auquan-SEIR,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-baseline,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-GT-DeepCOVID,beat_baseline-GT_CHHS-COVID19,beat_baseline-IHME-CurveFit,beat_baseline-JCB-PRM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-NotreDame-FRED,beat_baseline-NotreDame-mobility,beat_baseline-OliverWyman-Navigator,beat_baseline-PSI-DRAFT,beat_baseline-QJHong-Encounter,beat_baseline-RPI_UW-Mob_Collision,beat_baseline-RobertWalraven-ESG,beat_baseline-STH-3PU,beat_baseline-UA-EpiCovDA,beat_baseline-UCLA-SuEIR,beat_baseline-UCM_MESALab-FoGSEIR,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-YYG-ParamSearch,beat_baseline-epiforecasts-ensemble1
New Mexico,769,773.6,780.0,779.4,781.0,771.0,779.0,738.0,,775.0,848.6,749.7,,814.5,805.0,869.6,815.4,739.6,759.1,747.4,,793.7,743.9,837.0,,,805.3,,777.0,745.2,,755.0,781.2,829.2,772.0,788.4,,4.6,11.0,10.4,12.0,2.0,10.0,-31.0,,6.0,79.6,-19.3,,45.5,36.0,100.6,46.4,-29.4,-9.9,-21.6,,24.7,-25.1,68.0,,,36.3,,8.0,-23.8,,-14.0,12.2,60.2,3.0,19.4,,False,False,False,True,False,False,,False,False,False,,False,False,False,False,False,False,False,,False,False,False,,,False,,False,False,,False,False,False,True,False,
New York,32891,32956.9,34462.0,32993.0,33029.0,33122.7,32962.0,33131.0,,32791.0,32921.1,33034.3,,32960.5,33072.3,32883.7,33096.3,33030.1,32903.5,32991.3,,32507.6,32968.1,32808.0,,32950.8,33577.1,,32910.0,32928.5,,32956.0,33362.7,33780.2,32917.0,32961.4,32928.0,46.9,1552.0,83.0,119.0,212.7,52.0,221.0,,-119.0,11.1,124.3,,50.5,162.3,-26.3,186.3,120.1,-6.5,81.3,,-402.4,58.1,-102.0,,40.8,667.1,,0.0,18.5,,46.0,452.7,870.2,7.0,51.4,18.0,False,False,False,False,False,False,,False,True,False,,False,False,True,False,False,True,False,,False,False,False,,True,False,,True,True,,True,False,False,True,False,True
North Carolina,2683,2789.1,2789.0,2805.8,2824.0,2798.9,2774.0,2809.0,,2617.0,3194.7,,,2680.7,2712.6,3247.5,2945.3,2582.9,2677.9,2531.3,,2483.5,2737.0,3148.0,,3007.3,2856.1,,2816.0,2749.5,,2567.0,2656.1,2739.9,2670.0,2707.0,2615.0,106.1,106.0,122.8,141.0,115.9,91.0,126.0,,-66.0,511.7,,,-2.3,29.6,564.5,262.3,-100.1,-5.1,-151.7,,-199.5,54.0,465.0,,324.3,173.1,,133.0,66.5,,-116.0,-26.9,56.9,-13.0,24.0,-68.0,True,False,False,False,True,False,,True,False,,,True,True,False,False,True,True,False,,False,True,False,,False,False,,False,True,,False,True,True,True,True,True
North Dakota,141,132.0,145.0,139.1,137.0,139.0,139.0,128.0,,122.0,148.6,139.9,,125.5,141.5,174.5,153.9,128.0,128.2,124.6,,129.9,145.2,139.0,,,135.4,,127.0,138.3,,136.0,127.9,148.3,142.0,134.3,,-9.0,4.0,-1.9,-4.0,-2.0,-2.0,-13.0,,-19.0,7.6,-1.1,,-15.5,0.5,33.5,12.9,-13.0,-12.8,-16.4,,-11.1,4.2,-2.0,,,-5.6,,-14.0,-2.7,,-5.0,-13.1,7.3,1.0,-6.7,,True,True,True,True,True,False,,False,True,True,,False,True,False,False,False,False,False,,False,True,True,,,True,,False,True,,True,False,True,True,True,
Ohio,4126,4069.0,4115.0,4163.1,4245.0,4127.5,4163.0,4092.0,,4163.0,4366.6,4233.3,,4369.3,4318.9,4553.2,4399.0,3995.1,4116.2,3943.1,4004.0,4001.4,4066.4,4455.0,,4419.9,4718.4,,4174.0,3970.6,,4066.0,4056.4,4566.3,4122.0,4136.3,4017.0,-57.0,-11.0,37.1,119.0,1.5,37.0,-34.0,,37.0,240.6,107.3,,243.3,192.9,427.2,273.0,-130.9,-9.8,-182.9,-122.0,-124.6,-59.6,329.0,,293.9,592.4,,48.0,-155.4,,-60.0,-69.6,440.3,-4.0,10.3,-109.0,True,True,False,True,True,True,,True,False,False,,False,False,False,False,False,True,False,False,False,False,False,,False,False,,True,False,,False,False,False,True,True,False
Oklahoma,797,754.4,797.0,762.3,802.0,764.9,762.0,810.0,,742.0,932.0,738.7,,861.1,818.9,1025.8,846.3,692.1,731.1,792.6,,748.3,755.6,956.0,,786.8,1020.4,,732.0,729.2,,718.0,669.3,849.2,763.0,757.1,708.0,-42.6,0.0,-34.7,5.0,-32.1,-35.0,13.0,,-55.0,135.0,-58.3,,64.1,21.9,228.8,49.3,-104.9,-65.9,-4.4,,-48.7,-41.4,159.0,,-10.2,223.4,,-65.0,-67.8,,-79.0,-127.7,52.2,-34.0,-39.9,-89.0,True,True,True,True,True,True,,False,False,False,,False,True,False,False,False,False,True,,False,True,False,,True,False,,False,False,,False,False,False,True,True,False
Oregon,454,441.7,452.0,440.9,443.0,445.0,452.0,423.0,,435.0,506.2,463.1,,511.3,471.7,619.3,461.7,427.8,429.2,437.3,,481.6,441.7,509.5,,,416.1,,469.0,407.7,,436.0,437.4,462.7,440.0,460.8,,-12.3,-2.0,-13.1,-11.0,-9.0,-2.0,-31.0,,-19.0,52.2,9.1,,57.3,17.7,165.3,7.7,-26.2,-24.8,-16.7,,27.6,-12.3,55.5,,,-37.9,,15.0,-46.3,,-18.0,-16.6,8.7,-14.0,6.8,,True,False,True,True,True,False,,False,False,True,,False,False,False,True,False,False,False,,False,True,False,,,False,,False,False,,False,False,True,False,True,
Pennsylvania,7656,7562.4,7821.0,7589.4,7620.0,7594.1,7589.0,7602.0,,7426.0,7601.5,7671.6,,7577.7,7661.5,7882.8,7606.3,7473.0,7524.5,7476.9,,7463.2,7492.0,7902.0,,7670.1,8676.7,,7585.0,7568.8,,7544.0,7779.4,8316.9,7576.0,7606.2,7367.0,-93.6,165.0,-66.6,-36.0,-61.9,-67.0,-54.0,,-230.0,-54.5,15.6,,-78.3,5.5,226.8,-49.7,-183.0,-131.5,-179.1,,-192.8,-164.0,246.0,,14.1,1020.7,,-71.0,-87.2,,-112.0,123.4,660.9,-80.0,-49.8,-289.0,False,True,True,True,True,True,,False,True,True,,True,True,False,True,False,False,False,,False,False,False,,True,False,,True,True,,False,False,False,True,True,False
Rhode Island,1046,1034.0,1096.0,1033.6,1038.0,1038.6,1039.0,1057.0,,1025.0,1033.3,1040.0,,1030.4,1051.3,1007.6,1057.4,1036.2,1023.0,1047.8,,1024.2,1040.1,1022.0,,1020.4,1020.6,,1033.0,1044.2,,1029.0,1060.5,1090.5,1026.0,1043.1,,-1.0,61.0,-1.4,3.0,3.6,4.0,22.0,,-10.0,-1.7,5.0,,-4.6,16.3,-27.4,22.4,1.2,-12.0,12.8,,-10.8,5.1,-13.0,,-14.6,-14.4,,-2.0,9.2,,-6.0,25.5,55.5,-9.0,8.1,,False,False,False,False,False,False,,False,False,False,,False,False,False,False,False,False,False,,False,False,False,,False,False,,False,False,,False,False,False,False,False,
South Carolina,2698,2756.7,2808.0,2736.2,2882.0,2774.7,2736.0,2577.0,,2648.0,3878.6,,,2940.4,2916.7,2795.3,2932.4,2512.6,2614.4,2612.8,,3229.0,2629.7,2416.0,,3684.8,2391.5,,2873.0,2562.1,,2522.0,3146.1,2615.4,2651.0,2771.3,2554.0,58.7,110.0,38.2,184.0,76.7,38.0,-121.0,,-50.0,1180.6,,,242.4,218.7,97.3,234.4,-185.4,-83.6,-85.2,,531.0,-68.3,-282.0,,986.8,-306.5,,175.0,-135.9,,-176.0,448.1,-82.6,-47.0,73.3,-144.0,False,True,False,False,True,False,,True,False,,,False,False,False,False,False,False,False,,False,False,False,,False,False,,False,False,,False,False,False,True,False,False
South Dakota,167,177.4,187.0,180.1,176.0,182.0,177.0,146.0,,160.0,227.7,177.3,,160.0,180.0,184.8,182.2,176.6,169.0,170.8,,174.4,190.0,172.0,,,697.4,,190.0,174.7,,179.0,177.2,171.0,193.0,171.5,,10.4,20.0,13.1,9.0,15.0,10.0,-21.0,,-7.0,60.7,10.3,,-7.0,13.0,17.8,15.2,9.6,2.0,3.8,,7.4,23.0,5.0,,,530.4,,23.0,7.7,,12.0,10.2,4.0,26.0,4.5,,False,False,True,False,True,False,,True,False,True,,True,False,False,False,True,True,True,,True,False,True,,,False,,False,True,,False,True,True,False,True,
Tennessee,1725,1651.6,1769.0,1665.1,1723.0,1659.0,1634.0,1857.0,,1589.0,1970.1,1541.9,,1499.4,1667.3,1963.4,1752.5,1560.7,1596.6,1687.5,,1545.5,1570.5,1731.0,,1639.4,1627.9,,1663.0,1657.4,,1549.0,1620.2,1624.3,1557.0,1597.8,1469.0,-73.4,44.0,-59.9,-2.0,-66.0,-91.0,132.0,,-136.0,245.1,-183.1,,-225.6,-57.7,238.4,27.5,-164.3,-128.4,-37.5,,-179.5,-154.5,6.0,,-85.6,-97.1,,-62.0,-67.6,,-176.0,-104.8,-100.7,-168.0,-127.2,-256.0,True,True,True,True,False,False,,False,False,False,,False,True,False,True,False,False,True,,False,False,True,,False,False,,True,True,,False,False,False,False,False,False
Texas,12611,13659.9,12690.0,13414.8,13365.0,13503.2,13053.0,12185.0,,11967.0,20590.5,,,11436.1,12651.0,11882.5,12925.0,13331.3,13435.5,12902.4,,15134.0,12862.7,12900.5,,16255.5,15043.4,12664.0,14003.0,11914.5,,12174.0,18514.7,12130.4,12720.0,13072.1,12093.0,1053.9,84.0,808.8,759.0,897.2,447.0,-421.0,,-639.0,7984.5,,,-1169.9,45.0,-723.5,319.0,725.3,829.5,296.4,,2528.0,256.7,294.5,,3649.5,2437.4,58.0,1397.0,-691.5,,-432.0,5908.7,-475.6,114.0,466.1,-513.0,True,True,True,True,True,True,,True,False,,,False,True,True,True,True,True,True,,False,True,True,,False,False,True,False,True,,True,False,True,True,True,True
Utah,407,407.4,530.0,405.9,427.0,410.0,413.0,417.0,,405.0,520.3,402.6,,419.6,418.9,568.1,444.3,398.4,393.8,411.9,,490.0,393.7,421.0,,,623.5,,411.0,390.5,,396.0,441.8,394.2,401.0,428.9,,0.4,123.0,-1.1,20.0,3.0,6.0,10.0,,-2.0,113.3,-4.4,,12.6,11.9,161.1,37.3,-8.6,-13.2,4.9,,83.0,-13.3,14.0,,,216.5,,4.0,-16.5,,-11.0,34.8,-12.8,-6.0,21.9,,False,False,False,False,False,False,,False,False,False,,False,False,False,False,False,False,False,,False,False,False,,,False,,False,False,,False,False,False,False,False,
Vermont,58,60.9,64.0,60.7,59.0,61.1,60.0,58.0,,59.0,59.8,60.3,,58.1,59.6,65.4,59.7,59.4,58.1,59.9,,61.3,62.7,60.0,,,61.4,,60.0,60.2,,59.0,,62.4,58.0,60.6,,2.9,6.0,2.7,1.0,3.1,2.0,0.0,,1.0,1.8,2.3,,0.1,1.6,7.4,1.7,1.4,0.1,1.9,,3.3,4.7,2.0,,,3.4,,2.0,2.2,,1.0,,4.4,0.0,2.6,,False,True,True,False,True,True,,True,True,True,,True,True,False,True,True,True,True,,False,False,True,,,False,,True,True,,True,,False,True,True,
Virginia,2568,2634.6,2760.0,2645.5,2729.0,2642.9,2644.0,2762.0,,2476.0,2650.0,2603.7,,2824.8,2759.6,2919.1,2716.1,2573.9,2695.1,2726.4,,2502.9,2691.4,2529.0,,2819.2,2756.9,,2817.0,2530.8,,2642.0,2568.1,2833.4,2550.0,2756.8,2564.0,66.6,192.0,77.5,161.0,74.9,76.0,194.0,,-92.0,82.0,35.7,,256.8,191.6,351.1,148.1,5.9,127.1,158.4,,-65.1,123.4,-39.0,,251.2,188.9,,249.0,-37.2,,74.0,0.1,265.4,-18.0,188.8,-4.0,False,False,False,False,False,False,,False,False,True,,False,False,False,False,True,False,False,,True,False,True,,False,False,,False,True,,False,True,False,True,False,True
Washington,1905,1950.9,1961.0,1988.0,1978.0,1976.0,1930.0,1856.0,,1942.0,1951.9,1925.2,,1890.1,1962.5,2083.3,2013.5,1864.1,1930.1,1929.9,,1983.7,1893.3,2216.0,,1936.9,2390.2,,1971.0,1903.1,,1891.0,1807.5,2089.9,1957.0,1974.5,1861.0,45.9,56.0,83.0,73.0,71.0,25.0,-49.0,,37.0,46.9,20.2,,-14.9,57.5,178.3,108.5,-40.9,25.1,24.9,,78.7,-11.7,311.0,,31.9,485.2,,66.0,-1.9,,-14.0,-97.5,184.9,52.0,69.5,-44.0,False,False,False,False,True,False,,True,False,True,,True,False,False,False,True,True,True,,False,True,False,,True,False,,False,True,,True,False,False,False,False,True
West Virginia,215,201.9,180.0,170.9,165.0,176.0,175.0,144.0,,163.0,249.4,168.4,,153.2,170.1,216.1,173.1,157.4,178.3,168.9,,146.9,184.4,183.0,,,144.6,,197.0,166.1,,216.0,173.9,185.7,167.0,193.6,,-13.1,-35.0,-44.1,-50.0,-39.0,-40.0,-71.0,,-52.0,34.4,-46.6,,-61.8,-44.9,1.1,-41.9,-57.6,-36.7,-46.1,,-68.1,-30.6,-32.0,,,-70.4,,-18.0,-48.9,,1.0,-41.1,-29.3,-48.0,-21.4,,False,False,False,False,False,False,,False,False,False,,False,False,True,False,False,False,False,,False,False,False,,,False,,False,False,,True,False,False,False,False,
Wisconsin,1178,1140.9,1264.0,1138.1,1180.0,1143.0,1169.0,1259.0,,1131.0,1196.2,1184.4,,1179.6,1205.9,1427.7,1237.3,1109.6,1137.5,1084.4,1199.5,1141.2,1137.1,1578.0,,1226.7,1140.0,,1174.0,1106.9,,1130.0,1099.3,1281.7,1145.0,1178.3,,13.9,137.0,11.1,53.0,16.0,42.0,132.0,,4.0,69.2,57.4,,52.6,78.9,300.7,110.3,-17.4,10.5,-42.6,72.5,14.2,10.1,451.0,,99.7,13.0,,47.0,-20.1,,3.0,-27.7,154.7,18.0,51.3,,False,True,False,False,False,False,,True,False,False,,False,False,False,False,False,True,False,False,False,True,False,,False,True,,False,False,,True,False,False,False,False,
Wyoming,37,33.7,41.0,35.3,34.0,34.0,34.0,28.0,,36.0,38.0,33.0,,26.8,31.9,56.8,42.1,30.7,28.2,30.8,,39.5,32.2,30.0,,,28.8,,34.0,34.2,,32.0,,36.0,28.0,31.9,,-3.3,4.0,-1.7,-3.0,-3.0,-3.0,-9.0,,-1.0,1.0,-4.0,,-10.2,-5.1,19.8,5.1,-6.3,-8.8,-6.2,,2.5,-4.8,-7.0,,,-8.2,,-3.0,-2.8,,-5.0,,-1.0,-9.0,-5.1,,False,True,True,True,True,False,,True,True,False,,False,False,False,False,False,False,False,,True,False,False,,,False,,True,True,,False,,True,False,False,
US,182651,184003.7,180527.0,183532.4,,184214.1,182466.0,181578.0,179774.0,178960.0,203725.8,183451.0,,182784.6,185332.3,187675.8,188874.1,177248.3,184842.8,181240.4,,181870.9,181870.5,184825.5,183889.5,192368.4,199683.4,183071.0,184949.0,180545.5,177054.0,180656.0,177710.4,189736.2,182398.0,183860.6,177053.0,1400.7,-2076.0,929.4,,1611.1,-137.0,-1025.0,-2829.0,-3643.0,21122.8,848.0,,181.6,2729.3,5072.8,6271.1,-5354.7,2239.8,-1362.6,,-732.1,-732.5,2222.5,1286.5,9765.4,17080.4,468.0,2346.0,-2057.5,-5549.0,-1947.0,-4892.6,7133.2,-205.0,1257.6,-5550.0,False,True,,False,True,True,False,False,False,True,,True,False,False,False,False,False,True,,True,True,False,True,False,False,True,False,False,False,False,False,False,True,True,False
