,actual_deaths,Baseline,Auquan-SEIR,CMU-TimeSeries,COVIDhub-baseline,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,GT-DeepCOVID,GT_CHHS-COVID19,IHME-CurveFit,IowaStateLW-STEM,JCB-PRM,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MITCovAlliance-SIR,MOBS-GLEAM_COVID,NotreDame-FRED,NotreDame-mobility,OliverWyman-Navigator,PSI-DRAFT,QJHong-Encounter,RPI_UW-Mob_Collision,RobertWalraven-ESG,STH-3PU,UA-EpiCovDA,UCLA-SuEIR,UCM_MESALab-FoGSEIR,UMass-MechBayes,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,UT-Mobility,YYG-ParamSearch,epiforecasts-ensemble1,error-Baseline,error-Auquan-SEIR,error-CMU-TimeSeries,error-COVIDhub-baseline,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-GT-DeepCOVID,error-GT_CHHS-COVID19,error-IHME-CurveFit,error-IowaStateLW-STEM,error-JCB-PRM,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MITCovAlliance-SIR,error-MOBS-GLEAM_COVID,error-NotreDame-FRED,error-NotreDame-mobility,error-OliverWyman-Navigator,error-PSI-DRAFT,error-QJHong-Encounter,error-RPI_UW-Mob_Collision,error-RobertWalraven-ESG,error-STH-3PU,error-UA-EpiCovDA,error-UCLA-SuEIR,error-UCM_MESALab-FoGSEIR,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,error-UT-Mobility,error-YYG-ParamSearch,error-epiforecasts-ensemble1,beat_baseline-Auquan-SEIR,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-baseline,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-GT-DeepCOVID,beat_baseline-GT_CHHS-COVID19,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MITCovAlliance-SIR,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-NotreDame-FRED,beat_baseline-NotreDame-mobility,beat_baseline-OliverWyman-Navigator,beat_baseline-PSI-DRAFT,beat_baseline-QJHong-Encounter,beat_baseline-RPI_UW-Mob_Collision,beat_baseline-RobertWalraven-ESG,beat_baseline-STH-3PU,beat_baseline-UA-EpiCovDA,beat_baseline-UCLA-SuEIR,beat_baseline-UCM_MESALab-FoGSEIR,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-UT-Mobility,beat_baseline-YYG-ParamSearch,beat_baseline-epiforecasts-ensemble1
Nevada,1302,1210.0,1180.0,1180.0,1232.0,1213.0,1196.0,,1227.2,1160.0,1410.0,1236.5,,1243.7,1263.0,1322.4,1377.4,1230.9,1129.8,1161.1,1042.9,1404.3,,1203.0,1380.6,1758.5,,,1045.4,,1135.0,1148.0,,1143.0,1031.0,1317.9,1219.0,2337.0,1194.2,1153.0,-92.0,-122.0,-122.0,-70.0,-89.0,-106.0,,-74.8,-142.0,108.0,-65.5,,-58.3,-39.0,20.4,75.4,-71.1,-172.2,-140.9,-259.1,102.3,,-99.0,78.6,456.5,,,-256.6,,-167.0,-154.0,,-159.0,-271.0,15.9,-83.0,1035.0,-107.8,-149.0,False,False,True,True,False,,True,False,False,True,,True,True,True,True,True,False,False,False,False,,False,True,False,,,False,,False,False,,False,False,True,True,False,False,False
New Hampshire,432,447.9,447.0,450.0,446.0,444.0,444.0,,425.7,432.0,448.3,454.5,,440.0,423.0,461.0,461.2,435.1,452.0,426.7,450.5,456.9,,483.3,452.0,428.0,,,465.2,,446.0,443.6,,444.0,477.2,473.5,457.0,434.0,470.2,,15.9,15.0,18.0,14.0,12.0,12.0,,-6.3,0.0,16.3,22.5,,8.0,-9.0,29.0,29.2,3.1,20.0,-5.3,18.5,24.9,,51.3,20.0,-4.0,,,33.2,,14.0,11.6,,12.0,45.2,41.5,25.0,2.0,38.2,,True,False,True,True,True,,True,True,False,False,,True,True,False,False,True,False,True,False,False,,False,False,True,,,False,,True,True,,True,False,False,False,True,False,
New Jersey,15933,16025.0,16651.0,16204.0,16244.3,16182.0,16793.0,,15887.9,16019.0,16127.7,,,16390.6,16112.0,16002.1,16144.6,16246.2,16659.8,16087.7,16011.1,15972.4,,16220.6,15978.5,15833.0,,,16571.3,,16264.0,16030.1,,16058.0,,16770.8,16473.0,16204.0,16194.3,16382.0,92.0,718.0,271.0,311.3,249.0,860.0,,-45.1,86.0,194.7,,,457.6,179.0,69.1,211.6,313.2,726.8,154.7,78.1,39.4,,287.6,45.5,-100.0,,,638.3,,331.0,97.1,,125.0,,837.8,540.0,271.0,261.3,449.0,False,False,False,False,False,,True,True,False,,,False,False,True,False,False,False,False,True,True,,False,True,False,,,False,,False,False,,False,,False,False,False,False,False
New Mexico,769,808.3,766.0,800.0,827.1,801.0,774.0,,759.7,775.0,817.4,834.7,,754.4,856.0,840.6,924.7,784.9,733.8,785.5,780.8,816.1,,685.4,833.5,927.0,,,752.9,,767.0,806.5,,776.0,788.3,863.4,838.0,899.5,822.1,,39.3,-3.0,31.0,58.1,32.0,5.0,,-9.3,6.0,48.4,65.7,,-14.6,87.0,71.6,155.7,15.9,-35.2,16.5,11.8,47.1,,-83.6,64.5,158.0,,,-16.1,,-2.0,37.5,,7.0,19.3,94.4,69.0,130.5,53.1,,True,True,False,True,True,,True,True,False,False,,True,False,False,False,True,True,True,True,False,,False,False,False,,,True,,True,True,,True,True,False,False,False,False,
New York,32891,33018.6,34585.0,33079.0,33378.0,33029.0,33265.0,,32824.8,32741.0,32964.6,33246.2,,33447.6,33053.0,33119.8,33166.9,25375.0,33037.7,32927.0,28455.5,33040.7,,32413.8,32970.7,32862.0,,,33197.3,,32870.0,32882.1,,33021.0,,34200.3,33010.0,33016.5,33010.7,32994.0,114.6,1681.0,175.0,474.0,125.0,361.0,,-79.2,-163.0,60.6,342.2,,543.6,149.0,215.8,262.9,-7529.0,133.7,23.0,-4448.5,136.7,,-490.2,66.7,-42.0,,,293.3,,-34.0,-21.9,,117.0,,1296.3,106.0,112.5,106.7,90.0,False,False,False,False,False,,True,False,True,False,,False,False,False,False,False,False,True,False,False,,False,True,True,,,False,,True,True,,False,,False,True,True,True,True
North Carolina,2683,2623.3,2604.0,2719.0,2651.4,2651.0,3040.0,,2666.2,2947.0,2851.7,,3626.3,2519.0,2401.0,2641.1,3537.4,3283.9,2366.4,2584.0,2374.1,2685.5,,2147.3,2685.6,2355.0,,,2372.2,,2523.0,2542.7,,2425.0,2516.9,2719.6,2650.0,2840.0,2566.3,2399.0,-59.7,-79.0,36.0,-31.6,-32.0,357.0,,-16.8,264.0,168.7,,943.3,-164.0,-282.0,-41.9,854.4,600.9,-316.6,-99.0,-308.9,2.5,,-535.7,2.6,-328.0,,,-310.8,,-160.0,-140.3,,-258.0,-166.1,36.6,-33.0,157.0,-116.7,-284.0,False,True,True,True,False,,True,False,False,,False,False,False,True,False,False,False,False,False,True,,False,True,False,,,False,,False,False,,False,False,True,True,False,False,False
North Dakota,141,128.1,138.0,137.0,119.1,131.0,131.0,,153.6,122.0,139.1,130.9,,133.5,113.0,157.2,187.3,143.6,119.7,125.6,147.4,113.8,,114.8,125.7,187.0,,,128.9,,118.0,118.0,,132.0,,151.3,140.0,144.5,133.0,,-12.9,-3.0,-4.0,-21.9,-10.0,-10.0,,12.6,-19.0,-1.9,-10.1,,-7.5,-28.0,16.2,46.3,2.6,-21.3,-15.4,6.4,-27.2,,-26.2,-15.3,46.0,,,-12.1,,-23.0,-23.0,,-9.0,,10.3,-1.0,3.5,-8.0,,True,True,False,True,True,,True,False,True,True,,True,False,False,False,True,False,False,True,False,,False,False,False,,,True,,False,False,,True,,True,True,True,True,
Ohio,4126,4385.3,4048.0,4190.0,4387.9,4215.0,4232.0,,3978.7,4230.0,4184.4,4536.9,,4181.3,3873.0,4545.7,4965.9,4262.3,3951.7,4222.1,4270.9,3849.9,3625.0,3634.8,4494.5,4661.0,,,3987.9,,4215.0,4318.6,,4132.0,4077.7,4837.1,4335.0,4449.0,4184.0,4218.0,259.3,-78.0,64.0,261.9,89.0,106.0,,-147.3,104.0,58.4,410.9,,55.3,-253.0,419.7,839.9,136.3,-174.3,96.1,144.9,-276.1,-501.0,-491.2,368.5,535.0,,,-138.1,,89.0,192.6,,6.0,-48.3,711.1,209.0,323.0,58.0,92.0,True,True,False,True,True,,True,True,True,False,,True,True,False,False,True,True,True,True,False,False,False,False,False,,,True,,True,True,,True,True,False,True,False,True,True
Oklahoma,797,758.3,748.0,767.0,760.8,812.0,1272.0,,868.4,814.0,953.3,806.0,,735.0,735.0,844.5,1129.2,881.6,659.8,753.1,704.1,794.3,,564.8,870.4,1177.0,,,658.0,,698.0,715.2,,758.0,,877.1,881.0,969.0,756.4,748.0,-38.7,-49.0,-30.0,-36.2,15.0,475.0,,71.4,17.0,156.3,9.0,,-62.0,-62.0,47.5,332.2,84.6,-137.2,-43.9,-92.9,-2.7,,-232.2,73.4,380.0,,,-139.0,,-99.0,-81.8,,-39.0,,80.1,84.0,172.0,-40.6,-49.0,False,True,True,True,False,,False,True,False,True,,False,False,False,False,False,False,False,False,True,,False,False,False,,,False,,False,False,,False,,False,False,False,False,False
Oregon,454,468.7,432.0,455.0,485.0,471.0,438.0,,443.6,451.0,556.7,468.7,,416.4,418.0,476.5,725.0,480.1,423.9,433.1,558.4,598.3,,458.8,496.6,541.0,,,409.6,,425.0,459.4,,433.0,,478.0,491.0,670.0,504.8,,14.7,-22.0,1.0,31.0,17.0,-16.0,,-10.4,-3.0,102.7,14.7,,-37.6,-36.0,22.5,271.0,26.1,-30.1,-20.9,104.4,144.3,,4.8,42.6,87.0,,,-44.4,,-29.0,5.4,,-21.0,,24.0,37.0,216.0,50.8,,False,True,False,False,False,,True,True,False,False,,False,False,False,False,False,False,False,False,False,,True,False,False,,,False,,False,True,,False,,False,False,False,False,
Pennsylvania,7656,7593.3,7772.0,7628.0,7624.6,7571.0,7819.0,,7560.1,7423.0,7526.5,7716.1,,7657.7,7453.0,7660.7,8013.6,7597.9,7449.9,7564.5,7771.6,7465.5,,7468.2,7546.8,7471.0,,,7644.7,,7495.0,7568.2,,7573.0,7783.6,8605.5,7647.0,7668.0,7605.2,7441.0,-62.7,116.0,-28.0,-31.4,-85.0,163.0,,-95.9,-233.0,-129.5,60.1,,1.7,-203.0,4.7,357.6,-58.1,-206.1,-91.5,115.6,-190.5,,-187.8,-109.2,-185.0,,,-11.3,,-161.0,-87.8,,-83.0,127.6,949.5,-9.0,12.0,-50.8,-215.0,False,True,True,False,False,,False,False,False,True,,True,False,True,False,True,False,False,False,False,,False,False,False,,,True,,False,False,,False,False,False,True,True,True,False
Rhode Island,1046,1026.3,1095.0,1046.0,1038.9,1039.0,1106.0,,1039.0,1026.0,1028.4,1056.9,,1027.5,1079.0,1042.6,1003.6,1079.8,1044.6,1021.7,1029.7,1192.6,,1037.1,1037.7,1022.0,,,1033.2,,1043.0,1031.2,,1028.0,1103.8,1107.1,1032.0,1019.0,1044.6,,-6.7,62.0,13.0,5.9,6.0,73.0,,6.0,-7.0,-4.6,23.9,,-5.5,46.0,9.6,-29.4,46.8,11.6,-11.3,-3.3,159.6,,4.1,4.7,-11.0,,,0.2,,10.0,-1.8,,-5.0,70.8,74.1,-1.0,-14.0,11.6,,False,False,True,True,False,,True,False,True,False,,True,False,False,False,False,False,False,True,False,,True,True,False,,,True,,False,True,,True,False,False,True,False,False,
South Carolina,2698,2880.1,2801.0,2914.0,2895.7,2709.0,2748.0,,2271.8,2539.0,4070.6,,,2742.4,2402.0,2881.5,2839.9,3082.1,2584.7,2814.7,2333.6,3839.7,,2862.2,2709.4,4919.0,,,2295.3,,2651.0,2468.9,,2549.0,3284.6,2586.0,2766.0,4869.5,2833.7,2574.0,182.1,103.0,216.0,197.7,11.0,50.0,,-426.2,-159.0,1372.6,,,44.4,-296.0,183.5,141.9,384.1,-113.3,116.7,-364.4,1141.7,,164.2,11.4,2221.0,,,-402.7,,-47.0,-229.1,,-149.0,586.6,-112.0,68.0,2171.5,135.7,-124.0,True,False,False,True,True,,False,True,False,,,True,False,False,True,False,True,True,False,False,,True,True,False,,,False,,True,False,,True,False,True,True,False,True,True
South Dakota,167,181.3,178.0,169.0,182.0,167.0,150.0,,157.7,155.0,231.6,163.9,,156.1,165.0,182.0,190.5,178.6,166.0,160.2,167.1,162.2,,177.3,198.7,160.0,,,157.4,,231.0,189.5,,179.0,169.7,164.1,155.0,193.0,168.4,,14.3,11.0,2.0,15.0,0.0,-17.0,,-9.3,-12.0,64.6,-3.1,,-10.9,-2.0,15.0,23.5,11.6,-1.0,-6.8,0.1,-4.8,,10.3,31.7,-7.0,,,-9.6,,64.0,22.5,,12.0,2.7,-2.9,-12.0,26.0,1.4,,True,True,False,True,False,,True,True,False,True,,True,True,False,False,True,True,True,True,True,,True,False,True,,,True,,False,False,,True,True,True,True,False,True,
Tennessee,1725,1481.9,1626.0,1658.0,1478.9,1579.0,3028.0,,1896.4,1649.0,1993.0,1578.5,,1558.1,1476.0,1646.2,2104.7,1966.7,1320.5,1564.3,1606.9,1739.8,,1493.7,1587.5,1859.0,,,1357.7,,1415.0,1389.4,,1426.0,1534.4,1616.1,1609.0,1739.0,1528.5,1413.0,-243.1,-99.0,-67.0,-246.1,-146.0,1303.0,,171.4,-76.0,268.0,-146.5,,-166.9,-249.0,-78.8,379.7,241.7,-404.5,-160.7,-118.1,14.8,,-231.3,-137.5,134.0,,,-367.3,,-310.0,-335.6,,-299.0,-190.6,-108.9,-116.0,14.0,-196.5,-312.0,True,True,False,True,False,,True,True,False,True,,True,False,True,False,True,False,True,True,True,,True,True,True,,,False,,False,False,,False,True,True,True,True,True,False
Texas,12987,13828.6,9655.0,11661.0,14364.4,11567.0,11383.0,,9825.5,10386.0,18177.8,,,10911.4,13194.0,11596.5,11282.2,12081.0,8905.8,11962.9,8453.3,20566.8,,10581.6,12885.2,27737.0,,,11669.5,10679.0,10240.0,13688.2,,9786.0,,10177.4,11631.0,21813.5,11519.4,13029.0,1895.6,-2278.0,-272.0,2431.4,-366.0,-550.0,,-2107.5,-1547.0,6244.8,,,-1021.6,1261.0,-336.5,-650.8,148.0,-3027.2,29.9,-3479.7,8633.8,,-1351.4,952.2,15804.0,,,-263.5,-1254.0,-1693.0,1755.2,,-2147.0,,-1755.6,-302.0,9880.5,-413.6,1096.0,False,True,False,True,True,,False,True,False,,,True,True,True,True,True,False,True,False,False,,True,True,False,,,True,True,True,True,,False,,True,True,False,True,True
Utah,407,453.7,515.0,436.0,454.0,441.0,390.0,,474.7,432.0,596.3,408.6,,385.6,408.0,459.3,660.5,451.8,381.9,416.0,389.7,508.2,,504.1,393.0,546.0,,,,,431.0,441.1,,399.0,447.2,396.8,428.0,539.0,471.2,,46.7,108.0,29.0,47.0,34.0,-17.0,,67.7,25.0,189.3,1.6,,-21.4,1.0,52.3,253.5,44.8,-25.1,9.0,-17.3,101.2,,97.1,-14.0,139.0,,,,,24.0,34.1,,-8.0,40.2,-10.2,21.0,132.0,64.2,,False,True,False,True,True,,False,True,False,True,,True,True,False,False,True,True,True,True,False,,False,True,False,,,,,True,True,,True,True,True,True,False,False,
Vermont,58,60.9,63.0,57.0,62.0,59.0,57.0,,59.1,57.0,59.0,58.8,,56.5,57.0,60.5,67.2,59.5,57.7,57.0,59.1,58.4,,62.9,58.8,57.0,,,59.8,,59.0,61.5,,58.0,,63.0,57.0,76.0,60.7,,2.9,5.0,-1.0,4.0,1.0,-1.0,,1.1,-1.0,1.0,0.8,,-1.5,-1.0,2.5,9.2,1.5,-0.3,-1.0,1.1,0.4,,4.9,0.8,-1.0,,,1.8,,1.0,3.5,,0.0,,5.0,-1.0,18.0,2.7,,False,True,False,True,True,,True,True,True,True,,True,True,True,False,True,True,True,True,True,,False,True,True,,,True,,True,False,,True,,False,True,False,True,
Virginia,2568,2758.0,2666.0,2553.0,2775.0,2655.0,2671.0,,2621.0,2394.0,2535.9,2622.5,,2192.4,2360.0,2906.6,3051.1,2974.4,2418.5,2658.6,2474.1,2757.6,,2363.3,2981.9,2392.0,,,2556.3,,2712.0,2822.6,,2706.0,2561.2,2845.1,2439.0,2710.0,2732.2,3549.0,190.0,98.0,-15.0,207.0,87.0,103.0,,53.0,-174.0,-32.1,54.5,,-375.6,-208.0,338.6,483.1,406.4,-149.5,90.6,-93.9,189.6,,-204.7,413.9,-176.0,,,-11.7,,144.0,254.6,,138.0,-6.8,277.1,-129.0,142.0,164.2,981.0,True,True,False,True,True,,True,True,True,True,,False,False,False,False,False,True,True,True,True,,False,False,True,,,True,,True,False,,True,True,False,True,True,True,False
Washington,1899,1962.4,1880.0,1912.0,1984.4,1905.0,1881.0,,1909.2,1948.0,1914.5,1836.0,,1723.8,1853.0,2105.0,2163.4,1905.1,1773.4,1875.2,1997.1,1991.8,,1735.2,2005.9,1976.0,,,1794.2,,2019.0,1975.0,,1906.0,,2217.6,1923.0,2056.5,1947.2,1903.0,95.4,13.0,45.0,117.4,38.0,14.0,,42.2,81.0,47.5,-31.0,,-143.2,-14.0,238.0,296.4,38.1,-93.6,8.2,130.1,124.8,,-131.8,138.9,109.0,,,-72.8,,152.0,108.0,,39.0,,350.6,56.0,189.5,80.2,36.0,True,True,False,True,True,,True,True,True,True,,False,True,False,False,True,True,True,False,False,,False,False,False,,,True,,False,False,,True,,False,True,False,True,True
West Virginia,215,171.0,151.0,149.0,168.0,158.0,175.0,,164.1,153.0,165.4,155.2,,115.2,132.0,156.0,222.1,152.0,134.4,152.1,142.1,159.4,,126.9,161.6,466.0,,,144.2,,159.0,171.4,,157.0,,178.9,166.0,225.0,157.6,,-44.0,-64.0,-66.0,-47.0,-57.0,-40.0,,-50.9,-62.0,-49.6,-59.8,,-99.8,-83.0,-59.0,7.1,-63.0,-80.6,-62.9,-72.9,-55.6,,-88.1,-53.4,251.0,,,-70.8,,-56.0,-43.6,,-58.0,,-36.1,-49.0,10.0,-57.4,,False,False,False,False,True,,False,False,False,False,,False,False,False,True,False,False,False,False,False,,False,False,False,,,False,,False,True,,False,,True,False,True,False,
Wisconsin,1178,1164.0,1220.0,1159.0,1171.1,1170.0,1317.0,,1281.7,1155.0,1121.5,1215.6,,1236.9,1063.0,1233.2,1633.9,1186.1,1080.8,1142.1,1116.9,1037.5,1142.0,957.4,1179.5,1008.0,,,1106.0,,1135.0,1134.7,,1138.0,1078.4,1372.1,1204.0,1172.0,1195.1,1161.0,26.0,82.0,21.0,33.1,32.0,179.0,,143.7,17.0,-16.5,77.6,,98.9,-75.0,95.2,495.9,48.1,-57.2,4.1,-21.1,-100.5,4.0,-180.6,41.5,-130.0,,,-32.0,,-3.0,-3.3,,0.0,-59.6,234.1,66.0,34.0,57.1,23.0,False,True,False,False,False,,False,True,True,False,,False,False,False,False,False,False,True,True,False,True,False,False,False,,,False,,True,True,,True,False,False,False,False,False,True
Wyoming,37,29.9,40.0,35.0,30.9,33.0,26.0,,42.4,36.0,38.2,32.7,,33.1,30.0,37.5,67.8,45.1,30.2,26.8,36.4,30.3,,72.2,30.6,33.0,,,27.7,,33.0,29.5,,31.0,,37.0,27.0,34.0,30.5,,-7.1,3.0,-2.0,-6.1,-4.0,-11.0,,5.4,-1.0,1.2,-4.3,,-3.9,-7.0,0.5,30.8,8.1,-6.8,-10.2,-0.6,-6.7,,35.2,-6.4,-4.0,,,-9.3,,-4.0,-7.5,,-6.0,,0.0,-10.0,-3.0,-6.5,,True,True,True,True,False,,True,True,True,True,,True,True,True,False,False,True,False,True,True,,False,True,True,,,False,,True,False,,True,,True,False,True,True,
US,183021,185427.9,174793.0,,186365.8,181031.0,188848.0,179213.0,178204.2,178417.0,197483.1,181083.8,,180144.7,179184.0,185953.5,191712.2,180510.8,172363.3,187808.6,168515.2,199233.4,,171710.7,184939.8,214960.5,186656.2,199487.8,174163.8,216576.0,170726.0,184796.8,173331.0,179231.0,174292.0,191642.0,187396.0,213600.0,182970.0,179905.0,3534.9,-7100.0,,4472.8,-862.0,6955.0,-2680.0,-3688.8,-3476.0,15590.1,-809.2,,-1748.3,-2709.0,4060.5,9819.2,-1382.2,-9529.7,5915.6,-13377.8,17340.4,,-10182.3,3046.8,33067.5,4763.2,17594.8,-7729.2,34683.0,-11167.0,2903.8,-8562.0,-2662.0,-7601.0,9749.0,5503.0,31707.0,1077.0,-1988.0,False,,False,True,False,True,False,True,False,True,,True,True,False,False,True,False,False,False,False,,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False,True,True
