,actual_deaths,Baseline,Auquan-SEIR,CEID-Walk,CMU-TimeSeries,COVIDhub-baseline,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,GT-DeepCOVID,GT_CHHS-COVID19,Google_Harvard-CPF,IowaStateLW-STEM,JCB-PRM,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MITCovAlliance-SIR,MOBS-GLEAM_COVID,NotreDame-FRED,NotreDame-mobility,OliverWyman-Navigator,PSI-DRAFT,QJHong-Encounter,RPI_UW-Mob_Collision,RobertWalraven-ESG,STH-3PU,TTU-squider,UA-EpiCovDA,UCLA-SuEIR,UCM_MESALab-FoGSEIR,UMass-MechBayes,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,UT-Mobility,YYG-ParamSearch,epiforecasts-ensemble1,error-Baseline,error-Auquan-SEIR,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-baseline,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-GT-DeepCOVID,error-GT_CHHS-COVID19,error-Google_Harvard-CPF,error-IowaStateLW-STEM,error-JCB-PRM,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MITCovAlliance-SIR,error-MOBS-GLEAM_COVID,error-NotreDame-FRED,error-NotreDame-mobility,error-OliverWyman-Navigator,error-PSI-DRAFT,error-QJHong-Encounter,error-RPI_UW-Mob_Collision,error-RobertWalraven-ESG,error-STH-3PU,error-TTU-squider,error-UA-EpiCovDA,error-UCLA-SuEIR,error-UCM_MESALab-FoGSEIR,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,error-UT-Mobility,error-YYG-ParamSearch,error-epiforecasts-ensemble1,beat_baseline-Auquan-SEIR,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-baseline,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-GT-DeepCOVID,beat_baseline-GT_CHHS-COVID19,beat_baseline-Google_Harvard-CPF,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MITCovAlliance-SIR,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-NotreDame-FRED,beat_baseline-NotreDame-mobility,beat_baseline-OliverWyman-Navigator,beat_baseline-PSI-DRAFT,beat_baseline-QJHong-Encounter,beat_baseline-RPI_UW-Mob_Collision,beat_baseline-RobertWalraven-ESG,beat_baseline-STH-3PU,beat_baseline-TTU-squider,beat_baseline-UA-EpiCovDA,beat_baseline-UCLA-SuEIR,beat_baseline-UCM_MESALab-FoGSEIR,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-UT-Mobility,beat_baseline-YYG-ParamSearch,beat_baseline-epiforecasts-ensemble1
Missouri,1528,1474.0,1622.0,1481.3,1464.0,1480.0,1499.0,1636.0,,,1535.0,1499.1,1549.1,,1450.0,1479.0,1543.7,1599.8,1523.0,1482.1,1478.2,1553.0,1488.2,,1555.3,1508.9,1475.0,,1419.4,1435.5,,4992.5,1504.0,1508.4,,1493.0,1461.0,1670.7,1477.0,1533.0,1498.0,1443.0,-54.0,94.0,-46.7,-64.0,-48.0,-29.0,108.0,,,7.0,-28.9,21.1,,-78.0,-49.0,15.7,71.8,-5.0,-45.9,-49.8,25.0,-39.8,,27.3,-19.1,-53.0,,-108.6,-92.5,,3464.5,-24.0,-19.6,,-35.0,-67.0,142.7,-51.0,5.0,-30.0,-85.0,False,True,False,True,True,False,,,True,True,True,,False,True,True,False,True,True,True,True,True,,True,True,True,,False,False,,False,True,True,,True,False,False,True,True,True,False
Montana,104,95.0,103.0,97.3,92.0,96.0,103.0,88.0,,,102.0,96.0,106.0,,125.8,103.0,105.9,129.6,116.9,102.4,94.4,133.2,102.0,,111.6,101.9,110.0,,,91.9,,152.1,99.0,92.1,,102.0,113.0,103.6,107.0,109.0,104.0,92.0,-9.0,-1.0,-6.7,-12.0,-8.0,-1.0,-16.0,,,-2.0,-8.0,2.0,,21.8,-1.0,1.9,25.6,12.9,-1.6,-9.6,29.2,-2.0,,7.6,-2.1,6.0,,,-12.1,,48.1,-5.0,-11.9,,-2.0,9.0,-0.4,3.0,5.0,-0.0,-12.0,True,True,False,True,True,False,,,True,True,True,,False,True,True,False,False,True,False,False,True,,True,True,True,,,False,,False,True,False,,True,False,True,True,True,True,False
Nebraska,392,390.7,466.0,393.9,377.0,393.0,391.0,407.0,,,379.0,389.6,395.5,,402.7,395.0,400.3,430.4,399.5,380.0,386.7,391.5,384.6,,390.7,391.0,373.0,,,379.6,,503.6,397.0,391.4,,388.0,386.4,404.1,392.0,404.0,391.9,385.0,-1.3,74.0,1.9,-15.0,1.0,-1.0,15.0,,,-13.0,-2.4,3.5,,10.7,3.0,8.3,38.4,7.5,-12.0,-5.3,-0.5,-7.4,,-1.3,-1.0,-19.0,,,-12.4,,111.6,5.0,-0.6,,-4.0,-5.6,12.1,0.0,12.0,-0.1,-7.0,False,False,False,True,True,False,,,False,False,False,,False,False,False,False,False,False,False,True,False,,True,True,False,,,False,,False,False,True,,False,False,False,True,False,True,False
Nevada,1302,1285.6,1316.0,1311.2,1224.0,1309.0,1276.0,1214.0,,,1193.0,1297.8,1228.6,,1281.7,1311.0,1286.5,1304.7,1325.9,1261.0,1251.0,1043.7,1273.0,,1288.2,1313.4,1485.0,,1409.1,1162.3,,3748.8,1259.0,1268.3,,1237.0,1327.5,1279.9,1298.0,1480.5,1274.7,1201.0,-16.4,14.0,9.2,-78.0,7.0,-26.0,-88.0,,,-109.0,-4.2,-73.4,,-20.3,9.0,-15.5,2.7,23.9,-41.0,-51.0,-258.3,-29.0,,-13.8,11.4,183.0,,107.1,-139.7,,2446.8,-43.0,-33.7,,-65.0,25.5,-22.1,-4.0,178.5,-27.3,-101.0,True,True,False,True,False,False,,,False,True,False,,False,True,True,True,False,False,False,False,False,,True,True,False,,False,False,,False,False,False,,False,False,False,True,False,False,False
New Hampshire,432,430.4,445.0,430.4,428.0,432.0,431.0,423.0,,,428.0,434.6,438.1,,435.8,422.0,434.3,438.1,430.5,433.1,423.4,450.6,439.7,,442.6,432.3,427.0,,,430.1,,1043.3,428.0,435.1,,430.0,429.1,443.2,424.0,430.0,435.9,,-1.6,13.0,-1.6,-4.0,0.0,-1.0,-9.0,,,-4.0,2.6,6.1,,3.8,-10.0,2.3,6.1,-1.5,1.1,-8.6,18.6,7.7,,10.6,0.3,-5.0,,,-1.9,,611.3,-4.0,3.1,,-2.0,-2.9,11.2,-8.0,-2.0,3.9,,False,True,False,True,True,False,,,False,False,False,,False,False,False,False,True,True,False,False,False,,False,True,False,,,False,,False,False,False,,False,False,False,False,False,False,
New Jersey,15933,15982.6,16506.0,15992.7,15952.0,16030.7,16001.0,16132.0,,,15968.0,16052.7,16208.9,,16100.0,16042.0,15994.3,16020.5,16023.5,16053.8,15980.4,16016.6,15964.9,,16035.6,15987.5,15897.0,,15998.0,15988.2,,16150.5,15985.0,16007.5,,15967.0,,16358.6,16013.0,15991.0,15966.5,16090.0,49.6,573.0,59.7,19.0,97.7,68.0,199.0,,,35.0,119.7,275.9,,167.0,109.0,61.3,87.5,90.5,120.8,47.4,83.6,31.9,,102.6,54.5,-36.0,,65.0,55.2,,217.5,52.0,74.5,,34.0,,425.6,80.0,58.0,33.5,157.0,False,False,True,False,False,False,,,True,False,False,,False,False,False,False,False,False,True,False,True,,False,False,True,,False,False,,False,False,False,,True,,False,False,False,True,False
New Mexico,769,767.9,793.0,770.0,744.0,771.0,767.0,741.0,,,766.0,774.1,750.3,,790.7,786.0,772.3,800.0,768.6,746.9,751.5,779.2,752.3,,778.0,757.1,776.0,,,740.6,,1122.2,763.0,767.1,,757.0,760.8,794.8,755.0,785.0,774.0,737.0,-1.1,24.0,1.0,-25.0,2.0,-2.0,-28.0,,,-3.0,5.1,-18.7,,21.7,17.0,3.3,31.0,-0.4,-22.1,-17.5,10.2,-16.7,,9.0,-11.9,7.0,,,-28.4,,353.2,-6.0,-1.9,,-12.0,-8.2,25.8,-14.0,16.0,5.0,-32.0,False,True,False,False,False,False,,,False,False,False,,False,False,False,False,True,False,False,False,False,,False,False,False,,,False,,False,False,False,,False,False,False,False,False,False,False
New York,32938,32962.6,34199.0,32964.1,32904.0,32984.9,32964.0,33071.0,,,32850.0,33073.4,33102.8,,32902.9,32997.0,33048.4,32729.5,33012.2,32964.7,32950.3,28466.9,32945.8,,33016.1,32958.3,32807.0,,32935.9,32913.9,,49251.3,32956.0,32938.5,,32963.0,,33523.3,32934.0,33034.0,32956.1,33006.0,24.6,1261.0,26.1,-34.0,46.9,26.0,133.0,,,-88.0,135.4,164.8,,-35.1,59.0,110.4,-208.5,74.2,26.7,12.3,-4471.1,7.8,,78.1,20.3,-131.0,,-2.1,-24.1,,16313.3,18.0,0.5,,25.0,,585.3,-4.0,96.0,18.1,68.0,False,False,False,False,False,False,,,False,False,False,,False,False,False,False,False,False,True,False,True,,False,True,False,,True,True,,False,True,True,,False,,False,True,False,True,False
North Carolina,2683,2634.9,2849.0,2672.9,2509.0,2661.0,2646.0,2667.0,,,2589.0,2659.7,2585.1,,2575.6,2633.0,2658.4,3005.2,2691.0,2597.5,2625.4,2364.1,2605.8,,2679.5,2638.7,2832.0,,2816.5,2516.7,,5865.7,2666.0,2586.3,,2570.0,2639.1,2686.1,2622.0,2762.0,2653.1,2492.0,-48.1,166.0,-10.1,-174.0,-22.0,-37.0,-16.0,,,-94.0,-23.3,-97.9,,-107.4,-50.0,-24.6,322.2,8.0,-85.5,-57.6,-318.9,-77.2,,-3.5,-44.3,149.0,,133.5,-166.3,,3182.7,-17.0,-96.7,,-113.0,-43.9,3.1,-61.0,79.0,-29.9,-191.0,False,True,False,True,True,True,,,False,True,False,,False,False,True,False,True,False,False,False,False,,True,True,False,,False,False,,False,True,False,,False,True,True,False,False,True,False
North Dakota,141,149.1,155.0,138.7,133.0,139.0,141.0,135.0,,,130.0,147.9,135.5,,161.8,141.0,141.0,163.9,141.9,137.7,138.9,147.3,133.6,,145.8,145.5,149.0,,,139.9,,255.6,135.0,139.3,,145.0,141.0,148.5,141.0,157.0,143.0,128.0,8.1,14.0,-2.3,-8.0,-2.0,0.0,-6.0,,,-11.0,6.9,-5.5,,20.8,0.0,-0.0,22.9,0.9,-3.3,-2.1,6.3,-7.4,,4.8,4.5,8.0,,,-1.1,,114.6,-6.0,-1.7,,4.0,-0.0,7.5,0.0,16.0,2.0,-13.0,False,True,True,True,True,True,,,False,True,True,,False,True,True,False,True,True,True,True,True,,True,True,True,,,True,,False,True,True,,True,True,True,True,False,True,False
Ohio,4252,4117.6,4194.0,4136.3,3958.0,4136.2,4109.0,4092.0,,,4113.0,4206.3,4089.8,,4054.7,4007.0,4161.3,4359.1,4224.2,4030.7,4074.0,4266.7,4033.6,3976.0,4230.8,4107.3,4177.0,,4199.1,4008.9,,5875.7,4051.0,4112.2,,4085.0,4021.7,4370.5,4109.0,4170.0,4119.0,3972.0,-134.4,-58.0,-115.7,-294.0,-115.8,-143.0,-160.0,,,-139.0,-45.7,-162.2,,-197.3,-245.0,-90.7,107.1,-27.8,-221.3,-178.0,14.7,-218.4,-276.0,-21.2,-144.7,-75.0,,-52.9,-243.1,,1623.7,-201.0,-139.8,,-167.0,-230.3,118.5,-143.0,-82.0,-133.0,-280.0,True,True,False,True,False,False,,,False,True,False,,False,False,True,True,True,False,False,True,False,False,True,False,True,,True,False,,False,False,False,,False,False,True,False,True,True,False
Oklahoma,797,768.7,831.0,763.9,694.0,765.0,763.0,762.0,,,752.0,777.6,762.0,,755.4,706.0,774.5,940.8,770.8,732.7,756.2,702.3,749.5,,791.8,763.0,842.0,,765.3,734.6,,2688.9,792.0,747.6,,747.0,762.9,811.5,752.0,818.0,758.7,723.0,-28.3,34.0,-33.1,-103.0,-32.0,-34.0,-35.0,,,-45.0,-19.4,-35.0,,-41.6,-91.0,-22.5,143.8,-26.2,-64.3,-40.8,-94.7,-47.5,,-5.2,-34.0,45.0,,-31.7,-62.4,,1891.9,-5.0,-49.4,,-50.0,-34.1,14.5,-45.0,21.0,-38.3,-74.0,False,False,False,False,False,False,,,False,True,False,,False,False,True,False,True,False,False,False,False,,True,False,False,,False,False,,False,True,False,,False,False,True,False,True,False,False
Oregon,454,447.4,469.0,449.8,430.0,448.0,450.0,420.0,,,436.0,438.9,451.6,,476.7,458.0,452.8,548.2,454.7,437.0,436.2,557.8,437.9,,463.2,442.4,484.0,,,436.9,,575.0,443.0,438.5,,438.0,454.9,456.0,447.0,457.0,450.4,418.0,-6.6,15.0,-4.2,-24.0,-6.0,-4.0,-34.0,,,-18.0,-15.1,-2.4,,22.7,4.0,-1.2,94.2,0.7,-17.0,-17.8,103.8,-16.1,,9.2,-11.6,30.0,,,-17.1,,121.0,-11.0,-15.5,,-16.0,0.9,2.0,-7.0,3.0,-3.6,-36.0,False,True,False,True,True,False,,,False,False,True,,False,True,True,False,True,False,False,False,False,,False,False,False,,,False,,False,False,False,,False,True,True,False,True,True,False
Pennsylvania,7656,7716.7,7878.0,7726.1,7565.0,7733.2,7693.0,7715.0,,,7706.0,7748.3,7673.6,,7675.2,7505.0,7693.5,7837.9,7706.2,7588.5,7694.5,7774.3,7597.6,,7582.8,7693.2,7467.0,,7643.8,7607.0,,16538.0,7660.0,7752.3,,7647.0,7520.6,8079.7,7674.0,7692.5,7679.4,7583.0,60.7,222.0,70.1,-91.0,77.2,37.0,59.0,,,50.0,92.3,17.6,,19.2,-151.0,37.5,181.9,50.2,-67.5,38.5,118.3,-58.4,,-73.2,37.2,-189.0,,-12.2,-49.0,,8882.0,4.0,96.3,,-9.0,-135.4,423.7,18.0,36.5,23.4,-73.0,False,False,False,False,True,True,,,True,False,True,,True,False,True,False,True,False,True,False,True,,False,True,False,,True,True,,False,True,False,,True,False,False,True,True,True,False
Rhode Island,1046,1034.0,1088.0,1034.7,1026.0,1035.0,1035.0,1049.0,,,1027.0,1037.8,1035.4,,34.2,1041.0,1036.3,1010.8,1042.4,1029.9,1028.9,1030.0,1041.2,,1025.7,1036.5,1026.0,,1025.8,1021.6,,4057.8,1030.0,1037.3,,1030.0,,1076.1,1031.0,1028.0,1038.3,1021.0,-12.0,42.0,-11.3,-20.0,-11.0,-11.0,3.0,,,-19.0,-8.2,-10.6,,-1011.8,-5.0,-9.7,-35.2,-3.6,-16.1,-17.1,-16.0,-4.8,,-20.3,-9.5,-20.0,,-20.2,-24.4,,3011.8,-16.0,-8.7,,-16.0,,30.1,-15.0,-18.0,-7.7,-25.0,False,True,False,True,True,True,,,False,True,True,,False,True,True,False,True,False,False,False,True,,False,True,False,,False,False,,False,False,True,,False,,False,False,False,True,False
South Carolina,2698,2711.0,2736.0,2759.2,2450.0,2766.2,2677.0,2537.0,,,2670.0,2665.4,,,2725.8,2544.0,2723.8,2780.0,2793.1,2549.8,2580.0,2341.6,2642.6,,2846.0,2721.7,2432.0,,3046.4,2501.5,,3336.9,2602.0,2686.8,,2572.0,2883.2,2639.4,2669.0,2923.0,2704.7,2422.0,13.0,38.0,61.2,-248.0,68.2,-21.0,-161.0,,,-28.0,-32.6,,,27.8,-154.0,25.8,82.0,95.1,-148.2,-118.0,-356.4,-55.4,,148.0,23.7,-266.0,,348.4,-196.5,,638.9,-96.0,-11.2,,-126.0,185.2,-58.6,-29.0,225.0,6.7,-276.0,False,False,False,False,False,False,,,False,False,,,False,False,False,False,False,False,False,False,False,,False,False,False,,False,False,,False,False,True,,False,False,False,False,False,True,False
South Dakota,167,166.0,188.0,162.4,159.0,164.0,169.0,152.0,,,162.0,170.4,171.6,,178.6,170.0,171.0,176.9,175.5,172.8,163.7,167.1,167.0,,176.7,166.0,166.0,,,162.5,,182.6,177.0,159.9,,172.0,169.9,169.2,166.0,190.0,168.8,161.0,-1.0,21.0,-4.6,-8.0,-3.0,2.0,-15.0,,,-5.0,3.4,4.6,,11.6,3.0,4.0,9.9,8.5,5.8,-3.3,0.1,-0.0,,9.7,-1.0,-1.0,,,-4.5,,15.6,10.0,-7.1,,5.0,2.9,2.2,-1.0,23.0,1.8,-6.0,False,False,False,False,False,False,,,False,False,False,,False,False,False,False,False,False,False,True,True,,False,True,False,,,False,,False,False,False,,False,False,False,False,False,False,False
Tennessee,1725,1631.6,1836.0,1587.2,1513.0,1605.1,1619.0,1724.0,,,1593.0,1569.6,,,1559.4,1607.0,1607.4,1820.8,1668.0,1608.3,1607.4,1604.4,1572.1,,1662.3,1622.4,1639.5,,1669.1,1614.9,,5502.6,1750.0,1558.7,,1583.0,1697.1,1622.8,1562.0,1711.0,1604.3,1486.0,-93.4,111.0,-137.8,-212.0,-119.9,-106.0,-1.0,,,-132.0,-155.4,,,-165.6,-118.0,-117.6,95.8,-57.0,-116.7,-117.6,-120.6,-152.9,,-62.7,-102.6,-85.5,,-55.9,-110.1,,3777.6,25.0,-166.3,,-142.0,-27.9,-102.2,-163.0,-14.0,-120.7,-239.0,False,False,False,False,False,True,,,False,False,,,False,False,False,False,True,False,False,False,False,,True,False,True,,True,False,,False,True,False,,False,True,False,False,True,False,False
Texas,12607,12697.0,13361.0,12667.7,11302.0,12688.0,12503.0,12313.0,,,12342.0,12271.9,12089.9,,12615.5,12875.0,12655.5,12307.5,12948.2,13038.7,12845.1,9486.8,12203.0,,13081.8,12520.7,11323.0,,14001.0,11834.6,12488.0,13298.6,13444.0,12187.7,,12485.0,14077.5,12272.3,12707.0,13496.0,12583.0,11652.0,90.0,754.0,60.7,-1305.0,81.0,-104.0,-294.0,,,-265.0,-335.1,-517.1,,8.5,268.0,48.5,-299.5,341.2,431.7,238.1,-3120.2,-404.0,,474.8,-86.3,-1284.0,,1394.0,-772.4,-119.0,691.6,837.0,-419.3,,-122.0,1470.5,-334.7,100.0,889.0,-24.0,-955.0,False,True,False,True,False,False,,,False,False,False,,True,False,True,False,False,False,False,False,False,,False,True,False,,False,False,False,False,False,False,,False,False,False,False,False,True,False
Utah,407,413.1,525.0,420.3,382.0,419.0,405.0,405.0,,,400.0,403.2,407.4,,326.7,404.0,413.5,489.6,415.7,401.6,402.5,389.5,421.5,,430.6,405.3,390.0,,,392.3,,591.0,396.0,418.3,,401.0,432.2,396.9,408.0,427.0,417.0,390.0,6.1,118.0,13.3,-25.0,12.0,-2.0,-2.0,,,-7.0,-3.8,0.4,,-80.3,-3.0,6.5,82.6,8.7,-5.4,-4.5,-17.5,14.5,,23.6,-1.7,-17.0,,,-14.7,,184.0,-11.0,11.3,,-6.0,25.2,-10.1,1.0,20.0,10.0,-17.0,False,False,False,False,True,True,,,False,True,True,,False,True,False,False,False,True,True,False,False,,False,True,False,,,False,,False,False,False,,True,False,False,True,False,False,False
Vermont,58,58.0,63.0,58.3,58.0,58.0,59.0,58.0,,,58.0,59.7,59.3,,65.5,58.0,58.7,63.4,59.0,59.5,58.0,59.1,58.7,,58.5,58.8,58.0,,,58.0,,240.9,59.0,58.0,,59.0,,60.5,58.0,81.5,59.8,,0.0,5.0,0.3,0.0,0.0,1.0,0.0,,,0.0,1.7,1.3,,7.5,0.0,0.7,5.4,1.0,1.5,0.0,1.1,0.7,,0.5,0.8,0.0,,,0.0,,182.9,1.0,0.0,,1.0,,2.5,0.0,23.5,1.8,,False,False,True,True,False,True,,,True,False,False,,False,True,False,False,False,False,False,False,False,,False,False,True,,,True,,False,False,True,,False,,False,True,False,False,
Virginia,2568,2483.1,2748.0,2490.3,2470.0,2499.0,2525.0,2539.0,,,2484.0,2547.7,2561.0,,2586.6,2539.0,2556.1,2693.0,2597.6,2516.5,2514.2,2472.3,2507.4,,2544.7,2595.9,2506.5,,2722.2,2487.1,,14711.5,2531.0,2464.6,,2519.0,2490.2,2697.5,2509.0,2575.5,2575.2,2492.0,-84.9,180.0,-77.7,-98.0,-69.0,-43.0,-29.0,,,-84.0,-20.3,-7.0,,18.6,-29.0,-11.9,125.0,29.6,-51.5,-53.8,-95.7,-60.6,,-23.3,27.9,-61.5,,154.2,-80.9,,12143.5,-37.0,-103.4,,-49.0,-77.8,129.5,-59.0,7.5,7.2,-76.0,False,True,False,True,True,True,,,True,True,True,,True,True,True,False,True,True,True,False,True,,True,True,True,,False,True,,False,True,False,,True,True,False,True,True,True,True
Washington,1905,1953.7,2012.0,1927.2,1851.0,1922.0,1935.0,1866.0,,,1938.0,1969.8,1874.2,,1904.4,1921.0,1927.8,2020.9,1960.6,1907.7,1948.4,1996.8,1914.4,,1904.4,1901.5,2074.0,,2001.4,2012.4,,4161.3,1932.0,1880.2,,1921.0,,2029.2,1909.0,2025.0,1965.0,1877.0,48.7,107.0,22.2,-54.0,17.0,30.0,-39.0,,,33.0,64.8,-30.8,,-0.6,16.0,22.8,115.9,55.6,2.7,43.4,91.8,9.4,,-0.6,-3.5,169.0,,96.4,107.4,,2256.3,27.0,-24.8,,16.0,,124.2,4.0,120.0,60.0,-28.0,False,True,False,True,True,True,,,True,False,True,,True,True,True,False,False,True,True,False,True,,True,True,False,,False,False,,False,True,True,,True,,False,True,False,False,True
West Virginia,215,199.0,195.0,217.9,193.0,218.0,200.0,177.0,,,176.0,201.7,211.7,,221.4,180.0,206.6,207.9,199.8,190.3,190.7,141.9,204.7,,203.9,228.8,247.0,,,175.7,,296.2,201.0,218.3,,194.0,,190.5,217.0,220.0,202.7,198.0,-16.0,-20.0,2.9,-22.0,3.0,-15.0,-38.0,,,-39.0,-13.3,-3.3,,6.4,-35.0,-8.4,-7.1,-15.2,-24.7,-24.3,-73.1,-10.3,,-11.1,13.8,32.0,,,-39.3,,81.2,-14.0,3.3,,-21.0,,-24.5,2.0,5.0,-12.3,-17.0,False,True,False,True,True,False,,,False,True,True,,True,False,True,True,True,False,False,False,True,,True,True,False,,,False,,False,True,True,,False,,False,True,True,True,False
Wisconsin,1119,1115.1,1268.0,1125.9,1056.0,1122.0,1126.0,1144.0,,,1137.0,1155.5,1114.7,,1123.0,1083.0,1140.7,1307.0,1165.2,1106.6,1114.7,1116.5,1124.3,1112.0,1144.2,1117.8,1182.0,,1189.8,1101.8,,3722.7,1137.0,1105.4,,1116.0,1098.5,1210.7,1128.0,1164.0,1135.4,1082.0,-3.9,149.0,6.9,-63.0,3.0,7.0,25.0,,,18.0,36.5,-4.3,,4.0,-36.0,21.7,188.0,46.2,-12.4,-4.3,-2.5,5.3,-7.0,25.2,-1.2,63.0,,70.8,-17.2,,2603.7,18.0,-13.6,,-3.0,-20.5,91.7,9.0,45.0,16.4,-37.0,False,False,False,True,False,False,,,False,False,False,,False,False,False,False,False,False,False,True,False,False,False,True,False,,False,False,,False,False,False,,True,False,False,False,False,False,False
Wyoming,37,33.7,41.0,34.0,32.0,34.0,33.0,30.0,,,34.0,34.1,33.7,,22.0,30.0,33.2,44.2,35.3,32.9,30.2,36.3,32.2,,41.0,32.7,35.0,,,30.0,,54.4,33.0,33.3,,33.0,,34.4,30.0,35.0,33.0,,-3.3,4.0,-3.0,-5.0,-3.0,-4.0,-7.0,,,-3.0,-2.9,-3.3,,-15.0,-7.0,-3.8,7.2,-1.7,-4.1,-6.8,-0.7,-4.8,,4.0,-4.3,-2.0,,,-7.0,,17.4,-4.0,-3.7,,-4.0,,-2.6,-7.0,-2.0,-4.0,,False,True,False,True,False,False,,,True,True,False,,False,False,False,False,True,False,False,True,False,,False,False,True,,,False,,False,False,False,,False,,True,False,True,False,
US,182761,183263.7,183923.0,183791.0,,183598.0,182703.0,182200.0,183387.0,171304.5,180674.0,183424.5,183145.2,,,181272.0,183434.8,184776.9,185470.0,179635.9,183405.3,169578.2,180301.4,,183189.0,182766.8,177138.5,182854.9,186566.2,175448.7,183071.0,308179.7,182639.0,183102.2,179351.0,182078.0,178394.5,186529.0,182329.0,187692.5,182805.8,177216.0,502.7,1162.0,1030.0,,837.0,-58.0,-561.0,626.0,-11456.5,-2087.0,663.5,384.2,,,-1489.0,673.8,2015.9,2709.0,-3125.1,644.3,-13182.8,-2459.6,,428.0,5.8,-5622.5,93.9,3805.2,-7312.3,310.0,125418.7,-122.0,341.2,-3410.0,-683.0,-4366.5,3768.0,-432.0,4931.5,44.8,-5545.0,False,False,,False,True,False,False,False,False,False,True,,,False,False,False,False,False,False,False,False,,True,True,False,True,False,False,True,False,True,True,False,False,False,False,True,False,True,False
