,actual_cases,COVIDhub-baseline,BPagano-RtDriven,CEID-Walk,CMU-TimeSeries,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,Google_Harvard-CPF,IBF-TimeSeries,IQVIA_ACOE-STAN,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,JHU_UNC_GAS-StatMechPool,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MITCovAlliance-SIR,OliverWyman-Navigator,PandemicCentral-USCounty,QJHong-Encounter,RobertWalraven-ESG,TTU-squider,UCLA-SuEIR,UMass-MechBayes,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,UVA-Ensemble,error-COVIDhub-baseline,error-BPagano-RtDriven,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IQVIA_ACOE-STAN,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-JHU_UNC_GAS-StatMechPool,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MITCovAlliance-SIR,error-OliverWyman-Navigator,error-PandemicCentral-USCounty,error-QJHong-Encounter,error-RobertWalraven-ESG,error-TTU-squider,error-UCLA-SuEIR,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,error-UVA-Ensemble,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IQVIA_ACOE-STAN,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-JHU_UNC_GAS-StatMechPool,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MITCovAlliance-SIR,beat_baseline-OliverWyman-Navigator,beat_baseline-PandemicCentral-USCounty,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-TTU-squider,beat_baseline-UCLA-SuEIR,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-UVA-Ensemble
20105,4,10.0,,8.4,,9.0,0.0,,,,,2.3,,,12.0,,28.3,,1.1,,,,2.3,,,,,,,,,,,17.0,8.8,6.0,,4.4,,5.0,-4.0,,,,,-1.7,,,8.0,,24.3,,-2.9,,,,-1.7,,,,,,,,,,,13.0,4.8,,True,,True,True,,,,,True,,,False,,False,,True,,,,True,,,,,,,,,,,False,True
20107,43,2.0,,1.3,,2.0,11.0,,,,,5.9,,,34.0,,13.8,,6.5,,,0.0,4.3,1.6,,18.0,,,,,,,,1.0,33.4,-41.0,,-41.7,,-41.0,-32.0,,,,,-37.1,,,-9.0,,-29.2,,-36.5,,,-43.0,-38.7,-41.4,,-25.0,,,,,,,,-42.0,-9.6,,False,,False,True,,,,,True,,,True,,True,,True,,,False,True,False,,True,,,,,,,,False,True
20109,74,0.0,,0.3,,2.0,0.0,,,,,1.8,,,18.0,,4.2,,6.5,,,,2.4,,20.0,,,,,,,,,0.0,33.2,-74.0,,-73.7,,-72.0,-74.0,,,,,-72.2,,,-56.0,,-69.8,,-67.5,,,,-71.6,,-54.0,,,,,,,,,-74.0,-40.8,,True,,True,False,,,,,True,,,True,,True,,True,,,,True,,True,,,,,,,,,False,True
20111,254,90.0,,95.6,,89.0,92.0,,,,,63.0,,,154.0,,105.0,,62.5,84.0,,26.7,86.0,0.0,109.0,93.0,,,,82.6,,,,88.0,85.2,-164.0,,-158.4,,-165.0,-162.0,,,,,-191.0,,,-100.0,,-149.0,,-191.5,-170.0,,-227.3,-168.0,-254.0,-145.0,-161.0,,,,-171.4,,,,-166.0,-168.8,,True,,False,True,,,,,False,,,True,,True,,False,False,,False,False,False,True,True,,,,False,,,,False,False
20113,284,104.0,,96.5,,87.0,91.0,,,,,62.3,,,104.0,,87.0,,18.6,,,37.9,57.5,92.5,141.0,292.0,,,,,,,,134.0,35.9,-180.0,,-187.5,,-197.0,-193.0,,,,,-221.7,,,-180.0,,-197.0,,-265.4,,,-246.1,-226.5,-191.5,-143.0,8.0,,,,,,,,-150.0,-248.1,,False,,False,False,,,,,False,,,False,,False,,False,,,False,False,False,True,True,,,,,,,,True,False
20115,90,26.0,,25.3,,25.0,17.0,,,,,6.7,,,37.0,,62.7,,8.6,,,0.3,11.9,33.4,26.0,,,,,,,,,37.0,36.7,-64.0,,-64.7,,-65.0,-73.0,,,,,-83.3,,,-53.0,,-27.3,,-81.4,,,-89.7,-78.1,-56.6,-64.0,,,,,,,,,-53.0,-53.3,,False,,False,False,,,,,False,,,True,,True,,False,,,False,False,True,False,,,,,,,,,True,True
20117,90,12.0,,10.5,,12.0,14.0,,,,,3.6,,,35.0,,36.3,,8.1,,,,8.8,,20.0,,,,,,,,,11.0,59.2,-78.0,,-79.5,,-78.0,-76.0,,,,,-86.4,,,-55.0,,-53.7,,-81.9,,,,-81.2,,-70.0,,,,,,,,,-79.0,-30.8,,False,,False,True,,,,,False,,,True,,True,,False,,,,False,,True,,,,,,,,,False,True
20119,30,2.0,,1.6,,2.0,0.0,,,,,3.7,,,26.0,,13.4,,6.1,,,0.0,3.7,0.0,,,,,,,,,,4.0,11.1,-28.0,,-28.4,,-28.0,-30.0,,,,,-26.3,,,-4.0,,-16.6,,-23.9,,,-30.0,-26.3,-30.0,,,,,,,,,,-26.0,-18.9,,False,,False,False,,,,,True,,,True,,True,,True,,,False,True,False,,,,,,,,,,True,True
20121,128,70.0,,69.4,,58.0,58.0,,,,,19.4,,,109.0,,143.0,,39.7,69.0,,19.2,32.0,39.5,79.0,63.0,,,,,,,,40.0,63.3,-58.0,,-58.6,,-70.0,-70.0,,,,,-108.6,,,-19.0,,15.0,,-88.3,-59.0,,-108.8,-96.0,-88.5,-49.0,-65.0,,,,,,,,-88.0,-64.7,,False,,False,False,,,,,False,,,True,,True,,False,False,,False,False,False,True,False,,,,,,,,False,False
20123,9,10.0,,12.7,,5.0,0.0,,,,,4.7,,,31.0,,7.8,,3.8,,,2.3,3.1,,7.0,,,,,,,,,9.0,10.3,1.0,,3.7,,-4.0,-9.0,,,,,-4.3,,,22.0,,-1.2,,-5.2,,,-6.7,-5.9,,-2.0,,,,,,,,,0.0,1.3,,False,,False,False,,,,,False,,,False,,False,,False,,,False,False,,False,,,,,,,,,True,False
20125,101,88.0,,106.4,,88.0,119.0,,,,,25.5,,,168.0,,333.9,,50.0,110.0,,4.1,39.0,13.7,189.0,31.0,,,,,,,,253.0,121.3,-13.0,,5.4,,-13.0,18.0,,,,,-75.5,,,67.0,,232.9,,-51.0,9.0,,-96.9,-62.0,-87.3,88.0,-70.0,,,,,,,,152.0,20.3,,True,,False,False,,,,,False,,,False,,False,,False,True,,False,False,False,False,False,,,,,,,,False,False
20127,35,14.0,,14.2,,10.0,0.0,,,,,2.6,,,19.0,,32.5,,4.1,,,1.8,5.0,,13.0,,,,,,,,,16.0,,-21.0,,-20.8,,-25.0,-35.0,,,,,-32.4,,,-16.0,,-2.5,,-30.9,,,-33.2,-30.0,,-22.0,,,,,,,,,-19.0,,,True,,False,False,,,,,False,,,True,,True,,False,,,False,False,,False,,,,,,,,,True,
20129,28,18.0,,17.2,,12.0,0.0,,,,,2.6,,,19.0,,48.0,,1.2,,,1.2,5.6,,13.0,,,,,,,,,16.0,18.0,-10.0,,-10.8,,-16.0,-28.0,,,,,-25.4,,,-9.0,,20.0,,-26.8,,,-26.8,-22.4,,-15.0,,,,,,,,,-12.0,-10.0,,False,,False,False,,,,,False,,,True,,False,,False,,,False,False,,False,,,,,,,,,False,False
20131,215,86.0,,84.4,,46.0,97.0,,,,,8.0,,,46.0,,184.1,,18.4,,,0.1,32.7,18.4,115.0,,,,,,,,,46.0,95.8,-129.0,,-130.6,,-169.0,-118.0,,,,,-207.0,,,-169.0,,-30.9,,-196.6,,,-214.9,-182.3,-196.6,-100.0,,,,,,,,,-169.0,-119.2,,False,,False,True,,,,,False,,,False,,True,,False,,,False,False,False,True,,,,,,,,,False,True
20133,101,98.0,,103.3,,69.0,69.0,,,,,23.1,,,89.0,,165.4,,19.6,,,35.5,36.5,34.0,132.0,4.0,,,,,,,,123.0,25.9,-3.0,,2.3,,-32.0,-32.0,,,,,-77.9,,,-12.0,,64.4,,-81.4,,,-65.5,-64.5,-67.0,31.0,-97.0,,,,,,,,22.0,-75.1,,True,,False,False,,,,,False,,,False,,False,,False,,,False,False,False,False,False,,,,,,,,False,False
20135,19,82.0,,80.8,,21.0,0.0,,,,,36.5,,,21.0,,51.0,,5.0,,,5.6,24.0,0.3,,,,,,,,,,0.0,45.6,63.0,,61.8,,2.0,-19.0,,,,,17.5,,,2.0,,32.0,,-14.0,,,-13.4,5.0,-18.7,,,,,,,,,,-19.0,26.6,,True,,True,True,,,,,True,,,True,,True,,True,,,True,True,True,,,,,,,,,,True,True
20137,457,450.0,,457.4,,155.0,232.0,,,,,42.3,,,55.0,,1634.2,,1.4,,,93.2,155.3,72.0,433.0,,,,,,,,,0.0,,-7.0,,0.4,,-302.0,-225.0,,,,,-414.7,,,-402.0,,1177.2,,-455.6,,,-363.8,-301.7,-385.0,-24.0,,,,,,,,,-457.0,,,True,,False,False,,,,,False,,,False,,False,,False,,,False,False,False,False,,,,,,,,,False,
20139,43,28.0,,27.8,,28.0,29.0,,,,,17.6,,,44.0,,95.5,,14.1,,,2.8,21.0,34.5,46.0,15.0,,,,,,,,47.0,19.8,-15.0,,-15.2,,-15.0,-14.0,,,,,-25.4,,,1.0,,52.5,,-28.9,,,-40.2,-22.0,-8.5,3.0,-28.0,,,,,,,,4.0,-23.2,,False,,False,True,,,,,False,,,True,,False,,False,,,False,False,True,True,False,,,,,,,,True,False
20141,21,0.0,,0.0,,0.0,0.0,,,,,0.6,,,20.0,,11.7,,2.0,,,0.4,1.0,,7.0,,,,,,,,,3.0,28.6,-21.0,,-21.0,,-21.0,-21.0,,,,,-20.4,,,-1.0,,-9.3,,-19.0,,,-20.6,-20.0,,-14.0,,,,,,,,,-18.0,7.6,,False,,False,False,,,,,True,,,True,,True,,True,,,True,True,,True,,,,,,,,,True,True
20143,24,14.0,,19.7,,14.0,19.0,,,,,3.2,,,26.0,,43.6,,5.7,,,0.9,9.4,0.0,24.0,,,,,,,,,17.0,62.8,-10.0,,-4.3,,-10.0,-5.0,,,,,-20.8,,,2.0,,19.6,,-18.3,,,-23.1,-14.6,-24.0,0.0,,,,,,,,,-7.0,38.8,,True,,False,True,,,,,False,,,True,,False,,False,,,False,False,False,True,,,,,,,,,True,False
20145,40,14.0,,6.1,,9.0,0.0,,,,,9.4,,,63.0,,22.4,,10.2,,,,10.5,0.0,19.0,,,,,,,,,7.0,58.0,-26.0,,-33.9,,-31.0,-40.0,,,,,-30.6,,,23.0,,-17.6,,-29.8,,,,-29.5,-40.0,-21.0,,,,,,,,,-33.0,18.0,,False,,False,False,,,,,False,,,True,,True,,False,,,,False,False,True,,,,,,,,,False,True
20147,81,64.0,,60.7,,35.0,0.0,,,,,43.2,,,35.0,,79.6,,0.6,,,15.8,36.9,28.4,75.0,,,,,,,,,0.0,29.1,-17.0,,-20.3,,-46.0,-81.0,,,,,-37.8,,,-46.0,,-1.4,,-80.4,,,-65.2,-44.1,-52.6,-6.0,,,,,,,,,-81.0,-51.9,,False,,False,False,,,,,False,,,False,,True,,False,,,False,False,False,True,,,,,,,,,False,False
20149,79,52.0,,62.5,,62.0,62.0,,,,,19.8,,,102.0,,142.4,,37.4,,,3.8,29.5,91.8,111.0,7.0,,,,,,,,79.0,86.8,-27.0,,-16.5,,-17.0,-17.0,,,,,-59.2,,,23.0,,63.4,,-41.6,,,-75.2,-49.5,12.8,32.0,-72.0,,,,,,,,0.0,7.8,,True,,True,True,,,,,False,,,True,,False,,False,,,False,False,True,False,False,,,,,,,,True,True
20151,171,26.0,,24.4,,25.0,14.0,,,,,8.9,,,47.0,,32.3,,7.7,,,9.9,16.6,24.0,32.0,,,,,,,,,37.0,12.2,-145.0,,-146.6,,-146.0,-157.0,,,,,-162.1,,,-124.0,,-138.7,,-163.3,,,-161.1,-154.4,-147.0,-139.0,,,,,,,,,-134.0,-158.8,,False,,False,False,,,,,False,,,True,,True,,False,,,False,False,False,True,,,,,,,,,True,False
20153,33,30.0,,29.3,,19.0,0.0,,,,,8.8,,,16.0,,30.6,,22.6,,,,13.1,,33.0,,,,,,,,,17.0,,-3.0,,-3.7,,-14.0,-33.0,,,,,-24.2,,,-17.0,,-2.4,,-10.4,,,,-19.9,,0.0,,,,,,,,,-16.0,,,False,,False,False,,,,,False,,,False,,True,,False,,,,False,,True,,,,,,,,,False,
20155,805,696.0,,697.5,,497.0,917.0,,,,,347.5,,,387.0,,1377.3,,145.9,589.0,,346.9,444.8,0.0,1070.0,1066.0,,,,549.2,,,,629.0,387.3,-109.0,,-107.5,,-308.0,112.0,,,,,-457.5,,,-418.0,,572.3,,-659.1,-216.0,,-458.1,-360.2,-805.0,265.0,261.0,,,,-255.8,,,,-176.0,-417.7,,True,,False,False,,,,,False,,,False,,False,,False,False,,False,False,False,False,False,,,,False,,,,False,False
20157,38,10.0,,7.6,,8.0,0.0,,,,,5.2,,,23.0,,41.8,,4.2,,,4.2,8.9,,25.0,,,,,,,,,25.0,35.7,-28.0,,-30.4,,-30.0,-38.0,,,,,-32.8,,,-15.0,,3.8,,-33.9,,,-33.8,-29.1,,-13.0,,,,,,,,,-13.0,-2.3,,False,,False,False,,,,,False,,,True,,True,,False,,,False,False,,True,,,,,,,,,True,True
20159,52,38.0,,36.6,,36.0,40.0,,,,,26.1,,,43.0,,67.1,,9.3,,,4.8,23.8,0.0,66.0,,,,,,,,,63.0,22.7,-14.0,,-15.4,,-16.0,-12.0,,,,,-25.9,,,-9.0,,15.1,,-42.7,,,-47.2,-28.2,-52.0,14.0,,,,,,,,,11.0,-29.3,,False,,False,True,,,,,False,,,True,,False,,False,,,False,False,False,False,,,,,,,,,True,False
20161,286,152.0,,135.0,,134.0,165.0,,,,,74.8,,,298.0,,183.2,,49.9,102.0,,65.2,109.2,0.0,225.0,36.0,,,,132.2,,,,87.0,192.8,-134.0,,-151.0,,-152.0,-121.0,,,,,-211.2,,,12.0,,-102.8,,-236.1,-184.0,,-220.8,-176.8,-286.0,-61.0,-250.0,,,,-153.8,,,,-199.0,-93.2,,False,,False,True,,,,,False,,,True,,True,,False,False,,False,False,False,True,False,,,,False,,,,False,True
20163,48,28.0,,24.9,,13.0,13.0,,,,,11.1,,,27.0,,32.1,,3.7,,,0.4,10.0,0.0,20.0,,,,,,,,,31.0,52.8,-20.0,,-23.1,,-35.0,-35.0,,,,,-36.9,,,-21.0,,-15.9,,-44.3,,,-47.6,-38.0,-48.0,-28.0,,,,,,,,,-17.0,4.8,,False,,False,False,,,,,False,,,False,,True,,False,,,False,False,False,False,,,,,,,,,True,True
20165,20,10.0,,9.2,,8.0,0.0,,,,,3.6,,,20.0,,15.7,,5.3,,,,5.2,,,,,,,,,,,2.0,11.7,-10.0,,-10.8,,-12.0,-20.0,,,,,-16.4,,,0.0,,-4.3,,-14.7,,,,-14.8,,,,,,,,,,,-18.0,-8.3,,False,,False,False,,,,,False,,,True,,True,,False,,,,False,,,,,,,,,,,False,True
20167,94,32.0,,35.9,,25.0,13.0,,,,,19.0,,,42.0,,35.2,,14.1,,,,17.1,0.0,50.0,,,,,,,,,22.0,48.1,-62.0,,-58.1,,-69.0,-81.0,,,,,-75.0,,,-52.0,,-58.8,,-79.9,,,,-76.9,-94.0,-44.0,,,,,,,,,-72.0,-45.9,,True,,False,False,,,,,False,,,True,,True,,False,,,,False,False,True,,,,,,,,,False,True
20169,284,230.0,,229.5,,229.0,265.0,,,,,79.2,,,234.0,,271.6,,111.3,104.0,,106.5,125.7,172.8,279.0,467.0,,,,,,,,270.0,171.0,-54.0,,-54.5,,-55.0,-19.0,,,,,-204.8,,,-50.0,,-12.4,,-172.7,-180.0,,-177.5,-158.3,-111.2,-5.0,183.0,,,,,,,,-14.0,-113.0,,False,,False,True,,,,,False,,,True,,True,,False,False,,False,False,False,True,False,,,,,,,,True,False
20171,55,24.0,,23.7,,24.0,19.0,,,,,14.0,,,45.0,,52.0,,8.8,,,3.6,27.0,0.0,59.0,,,,,,,,,19.0,22.5,-31.0,,-31.3,,-31.0,-36.0,,,,,-41.0,,,-10.0,,-3.0,,-46.2,,,-51.4,-28.0,-55.0,4.0,,,,,,,,,-36.0,-32.5,,False,,False,False,,,,,False,,,True,,True,,False,,,False,True,False,True,,,,,,,,,False,False
20173,4288,1648.0,,1640.4,1776.2,1644.0,1827.0,,,,,1834.2,,,1424.0,,1558.1,,1149.1,1379.0,,1692.5,1876.9,1333.7,2002.0,1924.0,,,,1213.7,1578.0,,,1728.0,943.0,-2640.0,,-2647.6,-2511.8,-2644.0,-2461.0,,,,,-2453.8,,,-2864.0,,-2729.9,,-3138.9,-2909.0,,-2595.5,-2411.1,-2954.3,-2286.0,-2364.0,,,,-3074.3,-2710.0,,,-2560.0,-3345.0,,False,True,False,True,,,,,True,,,False,,False,,False,False,,True,True,False,True,True,,,,False,False,,,True,False
20175,249,228.0,,224.8,,152.0,144.0,,,,,185.6,,,360.0,,227.7,,103.2,,,77.3,124.5,21.3,280.0,179.0,,,,157.5,,,,0.0,178.4,-21.0,,-24.2,,-97.0,-105.0,,,,,-63.4,,,111.0,,-21.3,,-145.8,,,-171.7,-124.5,-227.7,31.0,-70.0,,,,-91.5,,,,-249.0,-70.6,,False,,False,False,,,,,False,,,False,,False,,False,,,False,False,False,False,False,,,,False,,,,False,False
20177,982,358.0,,388.3,,320.0,315.0,,,,,231.4,,,595.0,,392.0,,243.7,336.5,,94.6,293.0,357.7,400.0,41.0,,,,258.3,136.0,,,360.0,315.5,-624.0,,-593.7,,-662.0,-667.0,,,,,-750.6,,,-387.0,,-590.0,,-738.3,-645.5,,-887.4,-689.0,-624.3,-582.0,-941.0,,,,-723.7,-846.0,,,-622.0,-666.5,,True,,False,False,,,,,False,,,True,,True,,False,False,,False,False,False,True,False,,,,False,False,,,True,False
20179,79,84.0,,78.4,,19.0,0.0,,,,,13.5,,,19.0,,452.0,,1.8,,,9.8,37.2,0.0,117.0,,,,,,,,,10.0,31.0,5.0,,-0.6,,-60.0,-79.0,,,,,-65.5,,,-60.0,,373.0,,-77.2,,,-69.2,-41.8,-79.0,38.0,,,,,,,,,-69.0,-48.0,,True,,False,False,,,,,False,,,False,,False,,False,,,False,False,False,False,,,,,,,,,False,False
20181,106,82.0,,94.7,,41.0,48.0,,,,,15.1,,,41.0,,175.5,,5.5,,,7.0,34.4,0.0,111.0,,,,,,,,,42.0,119.2,-24.0,,-11.3,,-65.0,-58.0,,,,,-90.9,,,-65.0,,69.5,,-100.5,,,-99.0,-71.6,-106.0,5.0,,,,,,,,,-64.0,13.2,,True,,False,False,,,,,False,,,False,,False,,False,,,False,False,False,True,,,,,,,,,False,True
20183,31,6.0,,4.2,,2.0,0.0,,,,,4.2,,,23.0,,4.1,,2.9,,,0.5,2.3,,11.0,,,,,,,,,3.0,10.7,-25.0,,-26.8,,-29.0,-31.0,,,,,-26.8,,,-8.0,,-26.9,,-28.1,,,-30.5,-28.7,,-20.0,,,,,,,,,-28.0,-20.3,,False,,False,False,,,,,False,,,True,,False,,False,,,False,False,,True,,,,,,,,,False,True
20185,37,24.0,,23.9,,13.0,0.0,,,,,9.1,,,16.0,,23.8,,7.1,,,4.9,9.8,,17.0,,,,,,,,,34.0,,-13.0,,-13.1,,-24.0,-37.0,,,,,-27.9,,,-21.0,,-13.2,,-29.9,,,-32.1,-27.2,,-20.0,,,,,,,,,-3.0,,,False,,False,False,,,,,False,,,False,,False,,False,,,False,False,,False,,,,,,,,,True,
20187,18,0.0,,0.0,,0.0,0.0,,,,,1.5,,,15.0,,4.6,,1.3,,,1.5,0.3,,0.0,,,,,,,,,0.0,4.4,-18.0,,-18.0,,-18.0,-18.0,,,,,-16.5,,,-3.0,,-13.4,,-16.7,,,-16.5,-17.7,,-18.0,,,,,,,,,-18.0,-13.6,,False,,False,False,,,,,True,,,True,,True,,True,,,True,True,,False,,,,,,,,,False,True
20189,62,38.0,,37.7,,24.0,14.0,,,,,14.2,,,68.0,,45.3,,8.2,,,7.5,24.1,0.0,47.0,,,,,,,,,42.0,35.4,-24.0,,-24.3,,-38.0,-48.0,,,,,-47.8,,,6.0,,-16.7,,-53.8,,,-54.5,-37.9,-62.0,-15.0,,,,,,,,,-20.0,-26.6,,False,,False,False,,,,,False,,,True,,True,,False,,,False,False,False,True,,,,,,,,,True,False
20191,146,60.0,,63.1,,51.0,51.0,,,,,22.1,,,82.0,,91.1,,24.1,,,15.3,30.7,29.7,85.0,172.0,,,,,,,,115.0,29.2,-86.0,,-82.9,,-95.0,-95.0,,,,,-123.9,,,-64.0,,-54.9,,-121.9,,,-130.7,-115.3,-116.3,-61.0,26.0,,,,,,,,-31.0,-116.8,,True,,False,False,,,,,False,,,True,,True,,False,,,False,False,False,True,True,,,,,,,,True,False
20193,140,106.0,,105.7,,90.0,82.0,,,,,71.7,,,67.0,,204.6,,7.5,,,,99.1,25.7,163.0,,,,,,,,,0.0,53.4,-34.0,,-34.3,,-50.0,-58.0,,,,,-68.3,,,-73.0,,64.6,,-132.5,,,,-40.9,-114.3,23.0,,,,,,,,,-140.0,-86.6,,False,,False,False,,,,,False,,,False,,False,,False,,,,False,False,True,,,,,,,,,False,False
20195,37,34.0,,33.9,,13.0,0.0,,,,,42.1,,,19.0,,13.6,,3.7,,,4.2,13.8,,28.0,,,,,,,,,38.0,10.9,-3.0,,-3.1,,-24.0,-37.0,,,,,5.1,,,-18.0,,-23.4,,-33.3,,,-32.8,-23.2,,-9.0,,,,,,,,,1.0,-26.1,,False,,False,False,,,,,False,,,False,,False,,False,,,False,False,,False,,,,,,,,,True,False
20197,41,10.0,,10.1,,6.0,0.0,,,,,2.4,,,33.0,,23.2,,4.6,,,3.6,2.9,,11.0,,,,,,,,,11.0,11.4,-31.0,,-30.9,,-35.0,-41.0,,,,,-38.6,,,-8.0,,-17.8,,-36.4,,,-37.4,-38.1,,-30.0,,,,,,,,,-30.0,-29.6,,True,,False,False,,,,,False,,,True,,True,,False,,,False,False,,True,,,,,,,,,True,True
20199,61,18.0,,19.7,,10.0,0.0,,,,,4.4,,,10.0,,42.7,,1.9,,,,9.7,,20.0,,,,,,,,,13.0,,-43.0,,-41.3,,-51.0,-61.0,,,,,-56.6,,,-51.0,,-18.3,,-59.1,,,,-51.3,,-41.0,,,,,,,,,-48.0,,,True,,False,False,,,,,False,,,False,,True,,False,,,,False,,True,,,,,,,,,False,
20201,57,8.0,,9.1,,8.0,0.0,,,,,1.5,,,19.0,,22.7,,5.2,,,,2.6,,7.0,,,,,,,,,13.0,,-49.0,,-47.9,,-49.0,-57.0,,,,,-55.5,,,-38.0,,-34.3,,-51.8,,,,-54.4,,-50.0,,,,,,,,,-44.0,,,True,,False,False,,,,,False,,,True,,True,,False,,,,False,,False,,,,,,,,,True,
20203,41,24.0,,26.2,,15.0,2.0,,,,,2.7,,,15.0,,486.4,,0.9,,,,10.5,,25.0,,,,,,,,,35.0,40.3,-17.0,,-14.8,,-26.0,-39.0,,,,,-38.3,,,-26.0,,445.4,,-40.1,,,,-30.5,,-16.0,,,,,,,,,-6.0,-0.7,,True,,False,False,,,,,False,,,False,,False,,False,,,,False,,True,,,,,,,,,True,True
20205,36,18.0,,16.3,,11.0,2.0,,,,,11.2,,,38.0,,111.9,,10.9,,,0.2,10.7,7.1,61.0,8.0,,,,,,,,99.0,,-18.0,,-19.7,,-25.0,-34.0,,,,,-24.8,,,2.0,,75.9,,-25.1,,,-35.8,-25.3,-28.9,25.0,-28.0,,,,,,,,63.0,,,False,,False,False,,,,,False,,,True,,False,,False,,,False,False,False,False,False,,,,,,,,False,
20207,12,2.0,,2.8,,2.0,0.0,,,,,0.6,,,14.0,,17.8,,0.7,,,0.8,0.9,,4.0,,,,,,,,,1.0,8.9,-10.0,,-9.2,,-10.0,-12.0,,,,,-11.4,,,2.0,,5.8,,-11.3,,,-11.2,-11.1,,-8.0,,,,,,,,,-11.0,-3.1,,True,,False,False,,,,,False,,,True,,True,,False,,,False,False,,True,,,,,,,,,False,True
20209,910,464.0,,499.3,,464.0,340.0,,,,,400.0,,,703.0,,593.3,,305.2,575.5,,275.4,490.7,5.3,578.0,21.0,,,,309.6,743.0,,,618.0,634.2,-446.0,,-410.7,,-446.0,-570.0,,,,,-510.0,,,-207.0,,-316.7,,-604.8,-334.5,,-634.6,-419.3,-904.7,-332.0,-889.0,,,,-600.4,-167.0,,,-292.0,-275.8,,True,,False,False,,,,,False,,,True,,True,,False,True,,False,True,False,True,False,,,,False,True,,,True,True
21001,55,94.0,,94.0,,89.0,90.0,,,,,93.0,,,114.0,,84.8,,27.9,,,71.0,101.7,0.0,140.0,146.0,,,,,,,,60.0,89.7,39.0,,39.0,,34.0,35.0,,,,,38.0,,,59.0,,29.8,,-27.1,,,16.0,46.7,-55.0,85.0,91.0,,,,,,,,5.0,34.7,,False,,True,True,,,,,True,,,False,,True,,True,,,True,False,False,False,False,,,,,,,,True,True
21003,69,118.0,,114.3,,114.0,105.0,,,,,82.9,,,125.0,,122.3,,72.3,,,76.4,143.9,48.1,161.0,85.0,,,,,,,,138.0,114.0,49.0,,45.3,,45.0,36.0,,,,,13.9,,,56.0,,53.3,,3.3,,,7.4,74.9,-20.9,92.0,16.0,,,,,,,,69.0,45.0,,True,,True,True,,,,,True,,,False,,False,,True,,,True,False,True,False,True,,,,,,,,False,True
21005,70,40.0,,42.1,,49.0,50.0,,,,,29.5,,,58.0,,82.4,,43.3,,,18.6,50.1,55.1,69.0,6.0,,,,,,,,57.0,31.5,-30.0,,-27.9,,-21.0,-20.0,,,,,-40.5,,,-12.0,,12.4,,-26.7,,,-51.4,-19.9,-14.9,-1.0,-64.0,,,,,,,,-13.0,-38.5,,True,,True,True,,,,,False,,,True,,True,,True,,,False,True,True,True,False,,,,,,,,True,False
21007,34,6.0,,6.9,,9.0,4.0,,,,,2.7,,,22.0,,24.8,,6.0,,,8.6,10.3,,12.0,,,,,,,,,17.0,10.5,-28.0,,-27.1,,-25.0,-30.0,,,,,-31.3,,,-12.0,,-9.2,,-28.0,,,-25.4,-23.7,,-22.0,,,,,,,,,-17.0,-23.5,,True,,True,False,,,,,False,,,True,,True,,True,,,True,True,,True,,,,,,,,,True,True
21009,400,306.0,,283.0,,284.0,430.0,,,,,197.0,,,235.0,,303.9,,125.6,225.5,,288.0,324.0,111.8,459.0,233.0,,,,,,,,502.0,137.8,-94.0,,-117.0,,-116.0,30.0,,,,,-203.0,,,-165.0,,-96.1,,-274.4,-174.5,,-112.0,-76.0,-288.2,59.0,-167.0,,,,,,,,102.0,-262.2,,False,,False,True,,,,,False,,,False,,False,,False,False,,False,True,False,True,False,,,,,,,,False,False
