,actual_cases,COVIDhub-baseline,CEID-Walk,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,Google_Harvard-CPF,IBF-TimeSeries,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,QJHong-Encounter,RobertWalraven-ESG,TTU-squider,UCLA-SuEIR,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-CEID-Walk,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-QJHong-Encounter,error-RobertWalraven-ESG,error-TTU-squider,error-UCLA-SuEIR,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,beat_baseline-CEID-Walk,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-TTU-squider,beat_baseline-UCLA-SuEIR,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha
Tennessee,65566,52216.0,53790.2,40687.0,76513.0,,40914.2,23826.0,53211.8,21984.3,,35938.0,41216.8,48250.9,20987.7,23013.2,37683.2,55669.2,,31142.9,10161.8,34528.4,46524.1,54941.1,47547.0,-13350.0,-11775.8,-24879.0,10947.0,,-24651.8,-41740.0,-12354.2,-43581.7,,-29628.0,-24349.2,-17315.1,-44578.3,-42552.8,-27882.8,-9896.8,,-34423.1,-55404.2,-31037.6,-19041.9,-10624.9,-18019.0,True,False,True,,False,False,True,False,,False,False,False,False,False,False,True,,False,False,False,False,True,False
Texas,207672,113960.0,96493.5,98094.0,133394.0,,137737.7,49400.0,140067.5,75090.8,,132708.0,145665.8,106400.7,94528.5,151325.5,60789.1,97463.6,,82082.3,75990.4,74683.4,125572.9,80091.2,100248.0,-93712.0,-111178.5,-109578.0,-74278.0,,-69934.3,-158272.0,-67604.5,-132581.2,,-74964.0,-62006.2,-101271.3,-113143.5,-56346.5,-146882.9,-110208.4,,-125589.7,-131681.6,-132988.6,-82099.1,-127580.8,-107424.0,False,False,True,,True,False,True,False,,True,True,False,False,True,False,False,,False,False,False,True,False,False
Utah,45591,33676.0,32456.5,28548.0,36192.0,,35428.4,10564.0,57842.3,19631.2,,24340.0,40909.3,22148.0,20443.2,42615.4,26949.0,32707.4,,19204.8,13352.0,18395.8,30456.6,30352.7,29691.0,-11915.0,-13134.5,-17043.0,-9399.0,,-10162.6,-35027.0,12251.3,-25959.8,,-21251.0,-4681.7,-23443.0,-25147.8,-2975.6,-18642.0,-12883.6,,-26386.2,-32239.0,-27195.2,-15134.4,-15238.3,-15900.0,False,False,True,,True,False,False,False,,False,True,False,False,True,False,False,,False,False,False,False,False,False
Vermont,490,316.0,318.3,244.0,362.0,,329.6,66.0,255.5,182.3,,156.0,310.1,593.3,446.4,118.4,172.3,330.5,,58.3,150.3,257.3,172.8,492.5,655.0,-174.0,-171.7,-246.0,-128.0,,-160.4,-424.0,-234.5,-307.7,,-334.0,-179.9,103.3,-43.6,-371.6,-317.7,-159.5,,-431.7,-339.7,-232.7,-317.2,2.5,165.0,True,False,True,,True,False,False,False,,False,False,True,True,False,False,True,,False,False,False,False,True,True
Virginia,32968,28104.0,27520.8,23953.0,44701.0,,21559.8,9837.0,25667.1,18158.4,,18755.0,22718.4,26946.1,20550.4,22560.9,19739.3,28847.2,,24113.4,23342.7,24564.4,26060.6,43151.7,37953.0,-4864.0,-5447.2,-9015.0,11733.0,,-11408.2,-23131.0,-7300.9,-14809.6,,-14213.0,-10249.6,-6021.9,-12417.6,-10407.1,-13228.7,-4120.8,,-8854.6,-9625.3,-8403.6,-6907.4,10183.7,4985.0,False,False,False,,False,False,False,False,,False,False,False,False,False,False,True,,False,False,False,False,False,False
Washington,24682,14464.0,14580.4,12487.0,14737.0,,12275.1,18438.0,13248.7,10352.5,,9008.0,22109.7,13633.5,14580.3,10895.6,6737.9,13508.2,,19740.5,7122.2,9045.9,14868.1,7669.8,14355.0,-10218.0,-10101.6,-12195.0,-9945.0,,-12406.9,-6244.0,-11433.3,-14329.5,,-15674.0,-2572.3,-11048.5,-10101.7,-13786.4,-17944.1,-11173.8,,-4941.5,-17559.8,-15636.1,-9813.9,-17012.2,-10327.0,True,False,True,,False,True,False,False,,False,True,False,True,False,False,False,,True,False,False,True,False,False
West Virginia,9682,5784.0,5824.9,5902.0,6844.0,,4813.5,5951.0,8142.3,8918.0,,3652.0,4989.4,7634.3,5094.2,6357.8,4975.6,6451.7,,3032.1,8265.8,3267.2,6475.8,8682.4,5961.0,-3898.0,-3857.1,-3780.0,-2838.0,,-4868.5,-3731.0,-1539.7,-764.0,,-6030.0,-4692.6,-2047.7,-4587.8,-3324.2,-4706.4,-3230.3,,-6649.9,-1416.2,-6414.8,-3206.2,-999.6,-3721.0,True,True,True,,False,True,True,True,,False,False,True,False,True,False,True,,False,True,False,True,True,True
Wisconsin,129943,67048.0,69175.9,66487.0,71492.0,,70052.2,34934.0,114332.3,66244.1,,60537.0,90122.0,65125.0,34165.3,84985.6,59875.7,73273.1,,60564.4,37857.9,42074.4,64004.9,64523.1,57477.0,-62895.0,-60767.1,-63456.0,-58451.0,,-59890.8,-95009.0,-15610.7,-63698.9,,-69406.0,-39821.0,-64818.0,-95777.6,-44957.4,-70067.3,-56669.9,,-69378.6,-92085.1,-87868.6,-65938.1,-65419.9,-72466.0,True,False,True,,True,False,True,False,,False,True,False,False,True,False,True,,False,False,False,False,False,False
Wyoming,9142,4360.0,4354.9,4407.0,4524.0,,4491.5,2642.0,7840.8,4530.2,,3889.0,5054.1,5639.2,1552.3,3927.3,3749.7,4741.4,,3148.4,3196.4,2477.5,7446.3,5600.3,5305.0,-4782.0,-4787.1,-4735.0,-4618.0,,-4650.5,-6500.0,-1301.2,-4611.8,,-5253.0,-4087.9,-3502.8,-7589.7,-5214.7,-5392.3,-4400.6,,-5993.6,-5945.6,-6664.5,-1695.7,-3541.7,-3837.0,False,True,True,,True,False,True,True,,False,True,True,False,False,False,True,,False,False,False,True,True,True
US,2230997,1342364.0,1338825.7,1333178.0,1615834.0,1435403.6,1375884.4,683409.0,1672972.4,,1206355.0,1048659.0,1620739.4,1214776.6,1050077.3,1500037.1,912526.0,1607990.5,1697637.1,1033175.7,629032.0,1036747.4,1403816.3,1500451.0,1333562.0,-888633.0,-892171.3,-897819.0,-615163.0,-795593.4,-855112.6,-1547588.0,-558024.6,,-1024642.0,-1182338.0,-610257.6,-1016220.4,-1180919.7,-730959.9,-1318471.0,-623006.5,-533359.9,-1197821.3,-1601965.0,-1194249.6,-827180.7,-730546.0,-897435.0,False,False,True,True,True,False,True,,False,False,True,False,False,True,False,True,True,False,False,False,True,True,False
