,actual_cases,COVIDhub-baseline,BPagano-RtDriven,CEID-Walk,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,Google_Harvard-CPF,IBF-TimeSeries,IQVIA_ACOE-STAN,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,JHU_UNC_GAS-StatMechPool,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,OliverWyman-Navigator,QJHong-Encounter,RobertWalraven-ESG,TTU-squider,UCLA-SuEIR,UCSB-ACTS,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-BPagano-RtDriven,error-CEID-Walk,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IQVIA_ACOE-STAN,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-JHU_UNC_GAS-StatMechPool,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-OliverWyman-Navigator,error-QJHong-Encounter,error-RobertWalraven-ESG,error-TTU-squider,error-UCLA-SuEIR,error-UCSB-ACTS,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IQVIA_ACOE-STAN,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-JHU_UNC_GAS-StatMechPool,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-OliverWyman-Navigator,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-TTU-squider,beat_baseline-UCLA-SuEIR,beat_baseline-UCSB-ACTS,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha
New York,32486,21882.0,15533.9,21331.9,21696.0,25444.0,,21818.0,16203.0,34725.0,27894.9,,12523.0,19925.0,22406.4,18234.0,22660.0,32154.7,23143.0,34350.4,20059.8,24785.7,23851.0,,18574.6,17307.6,16368.4,21462.2,16469.9,27619.3,23629.0,-10604.0,-16952.1,-11154.1,-10790.0,-7042.0,,-10668.0,-16283.0,2239.0,-4591.1,,-19963.0,-12561.0,-10079.6,-14252.0,-9826.0,-331.3,-9343.0,1864.4,-12426.2,-7700.3,-8635.0,,-13911.4,-15178.4,-16117.6,-11023.8,-16016.1,-4866.7,-8857.0,False,False,False,True,,False,False,True,True,,False,False,True,False,True,True,True,True,False,True,True,,False,False,False,False,False,True,True
North Carolina,32953,29134.0,41204.9,29214.1,28824.0,28695.0,,27806.1,17492.0,35165.2,26601.1,,30758.0,28730.0,33245.7,28316.2,28491.0,15345.4,29268.0,35440.2,24584.7,30939.2,35219.0,,28027.5,7345.0,22924.1,34571.6,26715.1,32560.5,29416.0,-3819.0,8251.9,-3738.9,-4129.0,-4258.0,,-5146.9,-15461.0,2212.2,-6351.9,,-2195.0,-4223.0,292.7,-4636.8,-4462.0,-17607.6,-3685.0,2487.2,-8368.3,-2013.8,2266.0,,-4925.5,-25608.0,-10028.9,1618.6,-6237.9,-392.5,-3537.0,False,True,False,False,,False,False,True,False,,True,False,True,False,False,False,True,True,False,True,True,,False,False,False,True,False,True,True
North Dakota,16330,11226.0,7762.5,11154.1,11252.0,8948.0,,10510.2,8993.0,14278.7,11313.6,,11422.0,11594.0,12741.7,17471.9,12247.0,2009.2,12455.5,15528.6,10568.4,12988.8,14485.0,,14153.3,4869.1,11278.1,11834.3,13931.6,10142.2,12459.0,-5104.0,-8567.5,-5175.9,-5078.0,-7382.0,,-5819.8,-7337.0,-2051.3,-5016.4,,-4908.0,-4736.0,-3588.3,1141.9,-4083.0,-14320.8,-3874.5,-801.4,-5761.6,-3341.2,-1845.0,,-2176.7,-11460.9,-5051.9,-4495.7,-2398.4,-6187.8,-3871.0,False,False,True,False,,False,False,True,True,,True,True,True,True,True,False,True,True,False,True,True,,True,False,True,True,True,False,True
Ohio,49921,31162.0,86385.3,31368.2,31143.0,36147.0,,29953.6,16607.0,37305.2,34903.4,,31904.0,30836.0,33958.6,27186.7,32021.0,28364.6,31682.0,43579.0,29190.8,40138.6,39270.0,,33053.4,4518.5,22770.4,24669.7,37362.5,41658.3,36251.0,-18759.0,36464.3,-18552.8,-18778.0,-13774.0,,-19967.4,-33314.0,-12615.8,-15017.6,,-18017.0,-19085.0,-15962.4,-22734.3,-17900.0,-21556.4,-18239.0,-6342.0,-20730.2,-9782.4,-10651.0,,-16867.6,-45402.5,-27150.6,-25251.3,-12558.5,-8262.7,-13670.0,False,True,False,True,,False,False,True,True,,True,False,True,False,True,False,True,True,False,True,True,,True,False,False,False,True,True,True
Oklahoma,16066,18434.0,23344.3,18470.9,18269.0,17911.0,,17067.6,15095.0,25326.4,18951.2,,20590.0,18682.0,20882.6,18928.4,17659.0,9134.9,18196.0,19691.8,15371.0,20648.5,22440.0,,12782.0,17184.9,13248.0,20369.0,18999.9,20003.2,17942.0,2368.0,7278.3,2404.9,2203.0,1845.0,,1001.6,-971.0,9260.4,2885.2,,4524.0,2616.0,4816.6,2862.4,1593.0,-6931.1,2130.0,3625.8,-695.0,4582.5,6374.0,,-3284.0,1118.9,-2818.0,4303.0,2933.9,3937.2,1876.0,False,False,True,True,,True,True,False,False,,False,False,False,False,True,False,True,False,True,False,False,,False,True,False,False,False,False,True
Oregon,7848,4848.0,5976.0,4824.5,4962.0,5014.0,,4528.7,3296.0,6328.7,5427.3,,5011.0,5480.0,5395.2,5273.5,6281.0,5860.1,5192.5,3885.8,4767.2,5381.8,5983.0,,4131.0,6145.2,3270.6,6653.1,4793.7,6937.1,5058.0,-3000.0,-1872.0,-3023.5,-2886.0,-2834.0,,-3319.3,-4552.0,-1519.3,-2420.7,,-2837.0,-2368.0,-2452.8,-2574.5,-1567.0,-1987.9,-2655.5,-3962.2,-3080.8,-2466.2,-1865.0,,-3717.0,-1702.8,-4577.4,-1194.9,-3054.3,-910.9,-2790.0,True,False,True,True,,False,False,True,True,,True,True,True,True,True,True,True,False,False,True,True,,False,True,False,True,False,True,True
Pennsylvania,35123,23404.0,26328.5,23442.2,23423.0,25904.0,,22947.1,19251.0,33799.6,26371.6,,22232.0,23434.0,23792.8,21089.8,25286.0,27441.3,23284.5,32165.2,18461.2,26461.5,29166.0,,21668.3,12866.6,17336.8,20115.2,23787.6,26814.8,24178.0,-11719.0,-8794.5,-11680.8,-11700.0,-9219.0,,-12175.9,-15872.0,-1323.4,-8751.4,,-12891.0,-11689.0,-11330.2,-14033.2,-9837.0,-7681.7,-11838.5,-2957.8,-16661.8,-8661.5,-5957.0,,-13454.7,-22256.4,-17786.2,-15007.8,-11335.4,-8308.2,-10945.0,True,True,True,True,,False,False,True,True,,False,True,True,False,True,True,False,True,False,True,True,,False,False,False,False,True,True,True
Rhode Island,6262,4854.0,5506.3,4585.2,4119.0,3365.0,,4462.1,3746.0,10811.3,4225.8,,3516.0,4692.0,3749.6,3833.9,2995.0,2521.9,3875.0,5715.7,2534.7,4914.8,5461.0,,5117.3,4186.7,3683.0,3748.4,3524.7,2408.7,4117.0,-1408.0,-755.7,-1676.8,-2143.0,-2897.0,,-1799.9,-2516.0,4549.3,-2036.2,,-2746.0,-1570.0,-2512.4,-2428.1,-3267.0,-3740.1,-2387.0,-546.3,-3727.3,-1347.2,-801.0,,-1144.7,-2075.3,-2579.0,-2513.6,-2737.3,-3853.3,-2145.0,True,False,False,False,,False,False,False,False,,False,False,False,False,False,False,False,True,False,True,True,,True,False,False,False,False,False,False
South Carolina,15401,12254.0,22849.6,11888.0,13110.0,13163.0,,13518.9,6711.0,18485.9,9248.9,,12591.0,14240.0,14275.6,11828.3,14305.0,4751.1,12060.0,12284.0,12746.9,15973.5,14097.0,,9698.1,10504.8,7997.6,14861.7,13505.1,14172.5,12237.0,-3147.0,7448.6,-3513.0,-2291.0,-2238.0,,-1882.1,-8690.0,3084.9,-6152.1,,-2810.0,-1161.0,-1125.4,-3572.7,-1096.0,-10649.9,-3341.0,-3117.0,-2654.1,572.5,-1304.0,,-5702.9,-4896.2,-7403.4,-539.3,-1895.9,-1228.5,-3164.0,False,False,True,True,,True,False,True,False,,True,True,True,False,True,False,False,True,True,True,True,,False,False,False,True,True,True,False
South Dakota,15835,11060.0,13073.0,11196.8,11963.0,9713.0,,10380.4,11732.0,16692.2,13155.5,,12975.0,11097.0,14057.5,17201.1,11608.0,1624.2,12427.0,13898.9,13481.7,14071.7,14905.0,,12423.8,9838.0,10041.6,12355.4,15046.3,14196.9,9332.0,-4775.0,-2762.0,-4638.2,-3872.0,-6122.0,,-5454.6,-4103.0,857.2,-2679.5,,-2860.0,-4738.0,-1777.5,1366.1,-4227.0,-14210.8,-3408.0,-1936.1,-2353.3,-1763.3,-930.0,,-3411.2,-5997.0,-5793.4,-3479.6,-788.7,-1638.1,-6503.0,True,True,True,False,,False,True,True,True,,True,True,True,True,True,False,True,True,True,True,True,,True,False,False,True,True,True,False
Tennessee,34128,35896.0,42168.3,34482.2,36180.0,43883.0,,32203.1,16199.0,41356.9,34238.9,,34953.0,29138.0,35362.8,35382.0,40342.0,11914.3,32802.0,40169.5,40386.2,43799.9,41234.0,,35533.8,3284.4,26735.8,27968.7,34239.3,57395.1,34497.0,1768.0,8040.3,354.2,2052.0,9755.0,,-1924.9,-17929.0,7228.9,110.9,,825.0,-4990.0,1234.8,1254.0,6214.0,-22213.7,-1326.0,6041.5,6258.2,9671.9,7106.0,,1405.8,-30843.6,-7392.2,-6159.3,111.3,23267.1,369.0,False,True,False,False,,False,False,False,True,,True,False,True,True,False,False,True,False,False,False,False,,True,False,False,False,True,False,True
Texas,133823,79840.0,69165.9,79486.0,74343.0,91075.0,,73159.0,33079.0,92332.4,83442.4,,85585.0,83475.0,72906.0,75526.5,78702.0,39219.7,62685.5,88154.6,54485.9,85427.2,92432.0,,60314.3,55584.9,61555.8,66436.5,81690.1,94228.1,78611.0,-53983.0,-64657.1,-54337.0,-59480.0,-42748.0,,-60664.0,-100744.0,-41490.6,-50380.6,,-48238.0,-50348.0,-60917.0,-58296.5,-55121.0,-94603.3,-71137.5,-45668.4,-79337.1,-48395.8,-41391.0,,-73508.7,-78238.1,-72267.2,-67386.5,-52132.9,-39594.9,-55212.0,False,False,False,True,,False,False,True,True,,True,True,False,False,False,False,False,True,False,True,True,,False,False,False,False,True,True,False
Utah,27118,19640.0,12253.8,19174.8,18721.0,16768.0,,18398.7,7649.0,33192.5,17511.0,,22442.0,19333.0,22419.8,12243.6,16861.0,6972.9,20845.5,21625.8,21336.6,24470.0,22425.0,,17907.8,18099.4,15032.4,20037.2,21976.3,20879.9,19343.0,-7478.0,-14864.2,-7943.2,-8397.0,-10350.0,,-8719.3,-19469.0,6074.5,-9607.0,,-4676.0,-7785.0,-4698.2,-14874.4,-10257.0,-20145.1,-6272.5,-5492.2,-5781.4,-2648.0,-4693.0,,-9210.2,-9018.6,-12085.6,-7080.8,-5141.7,-6238.1,-7775.0,False,False,False,False,,False,False,True,False,,True,False,True,False,False,False,True,True,True,True,True,,False,False,False,True,True,True,False
Vermont,304,234.0,46.1,231.9,226.0,354.0,,58.1,139.0,251.5,315.0,,123.0,181.0,174.5,540.8,294.0,328.2,196.5,268.8,291.7,312.6,328.0,,160.5,74.3,292.4,205.9,128.2,780.3,299.0,-70.0,-257.9,-72.1,-78.0,50.0,,-245.9,-165.0,-52.5,11.0,,-181.0,-123.0,-129.5,236.8,-10.0,24.2,-107.5,-35.2,-12.3,8.6,24.0,,-143.5,-229.7,-11.6,-98.1,-175.8,476.3,-5.0,False,False,False,True,,False,False,True,True,,False,False,False,False,True,True,False,True,True,True,True,,False,False,True,False,False,False,True
Virginia,18501,13992.0,26619.3,14173.5,14267.0,14237.0,,14295.7,5728.0,17322.9,13682.0,,14370.0,14094.0,15473.6,14802.6,15341.0,12212.4,14739.5,16546.4,12254.6,15215.2,16672.0,,11896.0,10692.2,11717.3,16498.5,13351.6,14326.2,13680.0,-4509.0,8118.3,-4327.5,-4234.0,-4264.0,,-4205.3,-12773.0,-1178.1,-4819.0,,-4131.0,-4407.0,-3027.4,-3698.4,-3160.0,-6288.6,-3761.5,-1954.6,-6246.4,-3285.8,-1829.0,,-6605.0,-7808.8,-6783.7,-2002.5,-5149.4,-4174.8,-4821.0,False,True,True,True,,True,False,True,False,,True,True,True,True,True,False,True,True,False,True,True,,False,False,False,True,False,True,False
Washington,15152,9186.0,12844.8,9087.1,9286.0,9308.0,,9787.7,5192.0,10800.6,9370.8,,9708.0,8495.0,10187.9,8258.1,9037.0,8618.7,9827.5,10649.8,8612.8,11732.2,11540.0,,11321.9,8977.9,6433.6,11224.3,9091.6,11540.7,10128.0,-5966.0,-2307.2,-6064.9,-5866.0,-5844.0,,-5364.3,-9960.0,-4351.4,-5781.2,,-5444.0,-6657.0,-4964.1,-6893.9,-6115.0,-6533.3,-5324.5,-4502.2,-6539.2,-3419.8,-3612.0,,-3830.1,-6174.1,-8718.4,-3927.7,-6060.4,-3611.3,-5024.0,True,False,True,True,,True,False,True,True,,True,False,True,False,False,False,True,True,False,True,True,,True,False,False,True,False,True,True
West Virginia,5893,3822.0,7086.0,3873.9,3874.0,4722.0,,4025.5,2857.0,5336.9,3805.3,,4090.0,3410.0,4290.4,7356.1,4234.0,2672.6,4110.0,5148.5,3160.7,3876.3,5477.0,,3555.1,3878.4,2647.1,4484.6,4108.1,3549.8,3479.0,-2071.0,1193.0,-2019.1,-2019.0,-1171.0,,-1867.5,-3036.0,-556.1,-2087.7,,-1803.0,-2483.0,-1602.6,1463.1,-1659.0,-3220.4,-1783.0,-744.5,-2732.3,-2016.7,-416.0,,-2337.9,-2014.6,-3245.9,-1408.4,-1784.9,-2343.2,-2414.0,True,True,True,True,,True,False,True,False,,True,False,True,True,True,False,True,True,False,True,True,,False,True,False,True,True,False,False
Wisconsin,72364,56708.0,83127.4,54993.0,55195.0,64856.0,,47599.7,23249.0,77305.7,52682.0,,68172.0,54388.0,58435.1,64435.2,53989.0,19185.2,54740.0,84070.1,46679.9,66204.8,67267.0,,42894.5,39072.9,55398.3,50988.8,66911.8,51817.3,40534.0,-15656.0,10763.4,-17371.0,-17169.0,-7508.0,,-24764.3,-49115.0,4941.7,-19682.0,,-4192.0,-17976.0,-13928.9,-7928.8,-18375.0,-53178.8,-17624.0,11706.1,-25684.1,-6159.2,-5097.0,,-29469.5,-33291.1,-16965.7,-21375.2,-5452.2,-20546.7,-31830.0,True,False,False,True,,False,False,True,False,,True,False,True,True,False,False,False,True,False,True,True,,False,False,False,False,True,False,False
Wyoming,5792,3978.0,11052.4,4063.0,4044.0,3405.0,,3443.6,1686.0,5444.1,5225.2,,4535.0,3650.0,4358.1,6554.8,4967.0,1123.4,4169.5,5080.5,3694.4,4309.7,5826.0,,4190.2,1691.1,3596.9,3833.9,6231.2,4486.2,3711.0,-1814.0,5260.4,-1729.0,-1748.0,-2387.0,,-2348.4,-4106.0,-347.9,-566.8,,-1257.0,-2142.0,-1433.9,762.8,-825.0,-4668.6,-1622.5,-711.5,-2097.6,-1482.3,34.0,,-1601.8,-4100.9,-2195.1,-1958.1,439.2,-1305.8,-2081.0,False,True,True,False,,False,False,True,True,,True,False,True,True,True,False,True,True,False,True,True,,True,False,False,False,True,True,False
US,1372360,937586.0,1053519.0,930287.5,980921.0,1016478.0,1024486.0,1025480.9,560450.0,1197306.4,,1158649.0,946451.0,925493.0,967755.3,908920.5,921635.0,557826.5,,1170923.5,749318.5,1163134.0,1100851.0,1042771.6,1229052.0,492440.0,931293.4,,1122179.8,1071934.8,978389.0,-434774.0,-318841.0,-442072.5,-391439.0,-355882.0,-347874.0,-346879.1,-811910.0,-175053.6,,-213711.0,-425909.0,-446867.0,-404604.7,-463439.5,-450725.0,-814533.5,,-201436.5,-623041.5,-209226.0,-271509.0,-329588.4,-143308.0,-879920.0,-441066.6,,-250180.2,-300425.2,-393971.0,True,False,True,True,True,True,False,True,,True,True,False,True,False,False,False,,True,False,True,True,True,True,False,False,,True,True,True
