,actual_cases,COVIDhub-baseline,BPagano-RtDriven,CEID-Walk,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,IBF-TimeSeries,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MSRA-DeepST,OliverWyman-Navigator,QJHong-Encounter,RobertWalraven-ESG,TTU-squider,UCLA-SuEIR,UMich-RidgeTfReg,USC-SI_kJalpha,error-COVIDhub-baseline,error-BPagano-RtDriven,error-CEID-Walk,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MSRA-DeepST,error-OliverWyman-Navigator,error-QJHong-Encounter,error-RobertWalraven-ESG,error-TTU-squider,error-UCLA-SuEIR,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MSRA-DeepST,beat_baseline-OliverWyman-Navigator,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-TTU-squider,beat_baseline-UCLA-SuEIR,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha
Pennsylvania,46825,29613.0,28344.1,29392.7,29613.0,35746.0,,27629.2,11771.0,40137.0,,27139.0,28802.8,30554.6,32924.8,42096.2,47233.9,20701.1,32944.0,28127.2,43183.0,,33181.0,19918.1,18044.5,26482.7,34637.0,-17212.0,-18480.9,-17432.3,-17212.0,-11079.0,,-19195.8,-35054.0,-6688.0,,-19686.0,-18022.2,-16270.4,-13900.2,-4728.8,408.9,-26123.9,-13881.0,-18697.8,-3642.0,,-13644.0,-26906.9,-28780.5,-20342.3,-12188.0,False,False,False,True,,False,False,True,,False,False,True,True,True,True,False,True,False,True,,True,False,False,False,True
Rhode Island,8689,4191.0,11716.8,4298.0,3779.0,4468.0,,3346.0,908.0,29291.7,,3972.0,3308.3,3510.4,4010.6,3926.6,5537.8,1962.8,3770.9,5247.9,5774.0,,6361.5,2796.9,2738.5,3008.5,4669.0,-4498.0,3027.8,-4391.0,-4910.0,-4221.0,,-5343.0,-7781.0,20602.7,,-4717.0,-5380.7,-5178.6,-4678.4,-4762.4,-3151.2,-6726.2,-4918.1,-3441.1,-2915.0,,-2327.5,-5892.1,-5950.5,-5680.5,-4020.0,True,True,False,True,,False,False,False,,False,False,False,False,False,True,False,False,True,True,,True,False,False,False,True
South Carolina,21528,19779.0,18416.5,19382.6,18368.0,24807.0,,17446.8,7966.0,21954.6,,15758.0,21114.4,16953.1,21865.1,6589.2,18276.5,14986.1,20103.0,23076.9,24967.0,,20217.8,14947.7,12604.6,19873.9,18511.0,-1749.0,-3111.5,-2145.4,-3160.0,3279.0,,-4081.2,-13562.0,426.6,,-5770.0,-413.6,-4574.9,337.1,-14938.8,-3251.5,-6541.9,-1425.0,1548.9,3439.0,,-1310.2,-6580.3,-8923.4,-1654.1,-3017.0,False,False,False,False,,False,False,True,,False,True,False,True,False,False,False,True,True,False,,True,False,False,True,False
South Dakota,21365,13992.0,12189.5,14049.3,13756.0,13579.0,,13138.1,8056.0,19494.1,,13708.0,14526.2,23250.5,14200.6,2438.8,18757.8,13204.3,15646.1,13451.1,20322.0,,15970.3,10353.9,8008.8,20565.3,11251.0,-7373.0,-9175.5,-7315.7,-7609.0,-7786.0,,-8226.9,-13309.0,-1870.9,,-7657.0,-6838.8,1885.5,-7164.4,-18926.2,-2607.2,-8160.7,-5718.9,-7913.9,-1043.0,,-5394.7,-11011.1,-13356.2,-799.7,-10114.0,False,True,False,False,,False,False,True,,False,True,True,True,False,True,False,True,False,True,,True,False,False,True,False
Tennessee,52076,40470.0,34050.1,40179.4,38238.0,40085.0,,40892.4,19863.0,48112.4,,30072.0,41256.7,45095.4,36567.2,17485.6,25146.9,39155.2,48561.8,36018.6,56134.0,,43750.3,5846.9,25966.2,38752.9,37569.0,-11606.0,-18025.9,-11896.6,-13838.0,-11991.0,,-11183.6,-32213.0,-3963.6,,-22004.0,-10819.3,-6980.6,-15508.8,-34590.4,-26929.1,-12920.8,-3514.2,-16057.4,4058.0,,-8325.7,-46229.1,-26109.8,-13323.1,-14507.0,False,False,False,False,,True,False,True,,False,True,True,False,False,False,False,True,False,True,,True,False,False,False,False
Texas,174769,97581.0,89348.2,88909.0,90276.0,132231.0,,79258.9,39158.0,125938.3,,97402.0,103502.8,87417.1,105429.6,78954.8,129829.5,87178.9,120666.5,88511.7,123194.0,,104663.4,53291.5,67567.9,99828.5,84692.0,-77188.0,-85420.8,-85860.0,-84493.0,-42538.0,,-95510.1,-135611.0,-48830.7,,-77367.0,-71266.2,-87351.9,-69339.4,-95814.2,-44939.5,-87590.1,-54102.5,-86257.3,-51575.0,,-70105.6,-121477.5,-107201.1,-74940.5,-90077.0,False,False,False,True,,False,False,True,,False,True,False,True,False,True,False,True,False,True,,True,False,False,True,False
Utah,36938,25959.0,9559.4,25948.2,20976.0,20634.0,,25094.5,10526.0,35512.3,,21270.0,29866.2,20651.9,25518.8,9994.6,31876.7,20455.2,25805.8,25879.9,33726.0,,20160.9,9701.6,13456.1,25181.6,21391.0,-10979.0,-27378.6,-10989.8,-15962.0,-16304.0,,-11843.5,-26412.0,-1425.7,,-15668.0,-7071.8,-16286.1,-11419.2,-26943.4,-5061.3,-16482.8,-11132.2,-11058.1,-3212.0,,-16777.1,-27236.4,-23481.9,-11756.4,-15547.0,False,False,False,False,,False,False,True,,False,True,False,False,False,True,False,False,False,True,,False,False,False,False,False
Vermont,421,207.0,65.5,204.8,211.0,319.0,,153.8,24.0,214.0,,217.0,177.8,606.4,356.4,381.0,352.9,159.3,238.9,552.7,335.0,,238.0,112.1,158.3,133.5,256.0,-214.0,-355.5,-216.2,-210.0,-102.0,,-267.2,-397.0,-207.0,,-204.0,-243.2,185.4,-64.6,-40.0,-68.1,-261.7,-182.1,131.7,-86.0,,-183.0,-308.9,-262.7,-287.5,-165.0,False,False,True,True,,False,False,True,,True,False,True,True,True,True,False,True,True,True,,True,False,False,False,True
Virginia,25635,21558.0,26280.4,21923.4,21938.0,23910.0,,21738.6,6419.0,25818.0,,17135.0,22519.4,26019.6,24557.5,19609.5,25280.2,15652.0,22808.5,23080.8,31857.0,,25125.7,17016.0,14172.1,20076.1,22663.0,-4077.0,645.4,-3711.6,-3697.0,-1725.0,,-3896.4,-19216.0,183.0,,-8500.0,-3115.6,384.6,-1077.5,-6025.5,-354.8,-9983.0,-2826.5,-2554.2,6222.0,,-509.3,-8619.0,-11462.9,-5558.9,-2972.0,True,True,True,True,,True,False,True,,False,True,True,True,False,True,False,True,True,False,,True,False,False,False,True
Washington,20116,13908.0,20949.4,14230.8,13872.0,18560.0,,9025.8,3988.0,12380.5,,9205.0,12841.6,12369.5,15276.2,12976.4,15776.3,9969.7,16243.5,14583.6,19321.0,,14256.8,5113.4,10087.3,12885.1,14748.0,-6208.0,833.4,-5885.2,-6244.0,-1556.0,,-11090.2,-16128.0,-7735.5,,-10911.0,-7274.4,-7746.5,-4839.8,-7139.6,-4339.7,-10146.3,-3872.5,-5532.4,-795.0,,-5859.2,-15002.6,-10028.7,-7230.9,-5368.0,True,True,False,True,,False,False,False,,False,False,False,True,False,True,False,True,True,True,,True,False,False,False,True
West Virginia,7804,5634.0,6567.8,5791.2,5634.0,7845.0,,4783.9,3120.0,6880.0,,3553.0,5502.1,9355.5,7128.3,4260.5,4384.8,5148.4,6633.5,,8470.0,,6013.1,6464.1,3836.5,6005.8,5638.0,-2170.0,-1236.2,-2012.8,-2170.0,41.0,,-3020.1,-4684.0,-924.0,,-4251.0,-2301.9,1551.5,-675.7,-3543.5,-3419.2,-2655.6,-1170.5,,666.0,,-1790.9,-1339.9,-3967.5,-1798.2,-2166.0,True,True,False,True,,False,False,True,,False,False,True,True,False,False,False,True,,True,,True,True,False,True,True
Wisconsin,111317,55878.0,63137.2,56143.5,55086.0,61218.0,,55570.8,39367.0,68805.8,,48508.0,70569.6,82777.4,71087.2,27953.8,68238.5,13503.9,41519.7,,67037.0,,53450.8,26681.5,51075.8,57180.8,42913.0,-55439.0,-48179.8,-55173.5,-56231.0,-50099.0,,-55746.2,-71950.0,-42511.2,,-62809.0,-40747.4,-28539.6,-40229.8,-83363.2,-43078.5,-97813.1,-69797.3,,-44280.0,,-57866.2,-84635.5,-60241.2,-54136.2,-68404.0,True,True,False,True,,False,False,True,,False,True,True,True,False,True,False,False,,True,,False,False,False,True,False
Wyoming,7781,4083.0,4577.1,4081.1,4080.0,4007.0,,3468.8,2317.0,5489.4,,3700.0,4514.3,7845.9,5290.0,1534.1,5903.2,3786.9,4386.9,,6047.0,,4346.8,2496.1,2775.4,6269.4,3609.0,-3698.0,-3203.9,-3699.9,-3701.0,-3774.0,,-4312.2,-5464.0,-2291.6,,-4081.0,-3266.7,64.9,-2491.0,-6246.9,-1877.8,-3994.1,-3394.1,,-1734.0,,-3434.2,-5284.9,-5005.6,-1511.6,-4172.0,True,False,False,False,,False,False,True,,False,True,True,True,False,True,False,True,,True,,True,False,False,True,False
US,1852471,1165356.0,1409007.0,1170746.5,1169300.0,1376152.0,1303559.5,939249.0,534616.0,1433038.4,1183083.0,946423.0,1163696.7,1175723.9,,872819.6,1414681.9,796079.0,1351979.8,980634.6,1574133.0,1394904.3,1277064.3,506467.4,898121.2,1291576.6,1169977.0,-687115.0,-443464.0,-681724.5,-683171.0,-476319.0,-548911.5,-913222.0,-1317855.0,-419432.6,-669388.0,-906048.0,-688774.3,-676747.1,,-979651.4,-437789.1,-1056392.0,-500491.2,-871836.4,-278338.0,-457566.7,-575406.7,-1346003.6,-954349.8,-560894.4,-682494.0,True,True,True,True,True,False,False,True,True,False,False,True,,False,True,False,True,False,True,True,True,False,False,True,True
