,actual_cases,COVIDhub-baseline,BPagano-RtDriven,CEID-Walk,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,Geneva-DetGrowth,Google_Harvard-CPF,IBF-TimeSeries,IQVIA_ACOE-STAN,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,JHU_UNC_GAS-StatMechPool,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MSRA-DeepST,OliverWyman-Navigator,QJHong-Encounter,RobertWalraven-ESG,TTU-squider,UCLA-SuEIR,UCSB-ACTS,UMich-RidgeTfReg,USC-SI_kJalpha,USC-SI_kJalpha_RF,error-COVIDhub-baseline,error-BPagano-RtDriven,error-CEID-Walk,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-Geneva-DetGrowth,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IQVIA_ACOE-STAN,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-JHU_UNC_GAS-StatMechPool,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MSRA-DeepST,error-OliverWyman-Navigator,error-QJHong-Encounter,error-RobertWalraven-ESG,error-TTU-squider,error-UCLA-SuEIR,error-UCSB-ACTS,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,error-USC-SI_kJalpha_RF,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-Geneva-DetGrowth,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IQVIA_ACOE-STAN,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-JHU_UNC_GAS-StatMechPool,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MSRA-DeepST,beat_baseline-OliverWyman-Navigator,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-TTU-squider,beat_baseline-UCLA-SuEIR,beat_baseline-UCSB-ACTS,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha,beat_baseline-USC-SI_kJalpha_RF
New Jersey,14696,10547.0,11203.7,10718.4,10633.0,12276.0,,10280.4,10001.0,15362.4,13734.1,11074.8,,7676.0,10999.0,9213.4,8536.9,11409.0,11933.2,10134.0,13418.4,12874.0,13661.1,12516.9,8955.0,,10422.0,7104.5,9479.3,10272.0,6400.2,12196.0,10564.9,-4149.0,-3492.3,-3977.6,-4063.0,-2420.0,,-4415.6,-4695.0,666.4,-961.9,-3621.2,,-7020.0,-3697.0,-5482.6,-6159.1,-3287.0,-2762.8,-4562.0,-1277.6,-1822.0,-1034.9,-2179.1,-5741.0,,-4274.0,-7591.5,-5216.7,-4424.0,-8295.8,-2500.0,-4131.1,True,True,True,True,,False,False,True,True,True,,False,True,False,False,True,True,False,True,True,True,True,False,,False,False,False,False,False,True,True
New Mexico,7181,5450.0,6236.0,5439.1,5705.0,5458.0,,5484.8,1723.0,8051.1,6411.3,5730.1,,5351.0,6848.0,5773.4,6194.5,5612.0,2072.8,5950.0,8090.3,7341.5,5552.2,6444.3,6207.0,,8687.9,14860.9,4933.1,5875.1,5504.8,5593.0,6284.3,-1731.0,-945.0,-1741.9,-1476.0,-1723.0,,-1696.2,-5458.0,870.1,-769.7,-1450.9,,-1830.0,-333.0,-1407.6,-986.5,-1569.0,-5108.2,-1231.0,909.3,160.5,-1628.8,-736.7,-974.0,,1506.9,7679.9,-2247.9,-1305.9,-1676.2,-1588.0,-896.7,True,False,True,True,,True,False,True,True,True,,False,True,True,True,True,False,True,True,True,True,True,True,,True,False,False,True,True,True,True
New York,18065,13711.0,8423.6,13935.2,13823.0,15327.0,,13685.7,8752.0,19476.9,16578.7,14398.5,,8284.0,10455.0,12049.6,11978.4,14612.0,16824.5,13568.0,17211.7,14799.0,16541.8,15701.8,12978.0,,10792.7,15152.4,13113.4,14121.1,8926.0,14595.0,15362.9,-4354.0,-9641.4,-4129.8,-4242.0,-2738.0,,-4379.3,-9313.0,1411.9,-1486.3,-3666.5,,-9781.0,-7610.0,-6015.4,-6086.6,-3453.0,-1240.5,-4497.0,-853.3,-3266.0,-1523.2,-2363.2,-5087.0,,-7272.3,-2912.6,-4951.6,-3943.9,-9139.0,-3470.0,-2702.1,False,True,True,True,,False,False,True,True,True,,False,False,False,False,True,True,False,True,True,True,True,False,,False,True,False,True,False,True,True
North Carolina,16610,16343.0,19304.2,16374.9,16536.0,17434.0,,15555.8,9831.0,20574.1,18812.3,16786.4,,17663.0,15923.0,16798.3,16209.7,16821.0,8044.5,16035.5,18430.1,15886.5,17861.5,17470.6,18760.0,,12344.0,12041.4,16826.8,18132.3,14963.3,17090.0,18173.7,-267.0,2694.2,-235.1,-74.0,824.0,,-1054.2,-6779.0,3964.1,2202.3,176.4,,1053.0,-687.0,188.3,-400.3,211.0,-8565.5,-574.5,1820.1,-723.5,1251.5,860.6,2150.0,,-4266.0,-4568.6,216.8,1522.3,-1646.7,480.0,1563.7,False,True,True,False,,False,False,False,False,True,,False,False,True,False,True,False,False,False,False,False,False,False,,False,False,True,False,False,False,False
North Dakota,9288,7042.0,4153.8,7014.3,6894.0,5971.0,,6210.1,3589.0,8825.9,9568.4,8238.0,,6498.0,6872.0,8074.1,8115.7,6504.0,990.6,7279.5,8722.6,7953.5,8759.8,7680.1,7159.0,,6198.2,6578.1,6655.5,6916.7,8586.6,7601.0,7514.0,-2246.0,-5134.2,-2273.7,-2394.0,-3317.0,,-3077.9,-5699.0,-462.1,280.4,-1050.0,,-2790.0,-2416.0,-1213.9,-1172.3,-2784.0,-8297.4,-2008.5,-565.4,-1334.5,-528.2,-1607.9,-2129.0,,-3089.8,-2709.9,-2632.5,-2371.3,-701.4,-1687.0,-1774.0,False,False,False,False,,False,False,True,True,True,,False,False,True,True,False,False,True,True,True,True,True,True,,False,False,False,False,True,True,True
Ohio,30030,19891.0,35157.8,19895.6,19975.0,22454.0,,18617.2,8801.0,23515.8,21819.1,21603.3,,20431.0,20404.0,20054.2,17990.1,20955.0,14981.8,19174.0,25867.8,26403.5,26038.4,23569.5,22754.0,,17673.6,6726.8,17240.1,18248.0,23806.8,20829.0,21665.2,-10139.0,5127.8,-10134.4,-10055.0,-7576.0,,-11412.8,-21229.0,-6514.2,-8210.9,-8426.7,,-9599.0,-9626.0,-9975.8,-12039.9,-9075.0,-15048.2,-10856.0,-4162.2,-3626.5,-3991.6,-6460.5,-7276.0,,-12356.4,-23303.2,-12789.9,-11782.0,-6223.2,-9201.0,-8364.8,True,True,True,True,,False,False,True,True,True,,True,True,True,False,True,False,False,True,True,True,True,True,,False,False,False,False,True,True,True
Oklahoma,8989,7077.0,10987.8,6989.4,7982.0,6848.0,,8295.8,5736.0,9942.1,6124.9,7843.2,,7649.0,9502.0,8849.7,9472.6,7275.0,4374.0,8501.5,9494.8,7511.5,8638.4,8872.5,8264.0,,7668.6,8599.6,5735.3,11143.2,7919.6,7267.0,8743.3,-1912.0,1998.8,-1999.6,-1007.0,-2141.0,,-693.2,-3253.0,953.1,-2864.1,-1145.8,,-1340.0,513.0,-139.3,483.6,-1714.0,-4615.0,-487.5,505.8,-1477.5,-350.6,-116.5,-725.0,,-1320.4,-389.4,-3253.7,2154.2,-1069.4,-1722.0,-245.7,False,False,True,False,,True,False,True,False,True,,True,True,True,True,True,False,True,True,True,True,True,True,,True,True,False,False,True,True,True
Oregon,4666,3182.0,2875.7,3141.6,3204.0,3417.0,,2948.0,1877.0,3401.1,3759.4,3475.4,,3421.0,3474.0,3226.4,3284.5,3637.0,2829.2,3015.0,3435.2,3371.0,4007.5,3767.1,3724.0,,3088.1,3307.6,2797.9,3180.8,2949.2,3506.0,3784.7,-1484.0,-1790.3,-1524.4,-1462.0,-1249.0,,-1718.0,-2789.0,-1264.9,-906.6,-1190.6,,-1245.0,-1192.0,-1439.6,-1381.5,-1029.0,-1836.8,-1651.0,-1230.8,-1295.0,-658.5,-898.9,-942.0,,-1577.9,-1358.4,-1868.1,-1485.2,-1716.8,-1160.0,-881.3,False,False,True,True,,False,False,True,True,True,,True,True,True,True,True,False,False,True,True,True,True,True,,False,True,False,False,False,True,True
Pennsylvania,19702,15421.0,12774.0,15424.2,15423.0,17877.0,,14688.1,10075.0,18996.7,18143.0,14851.1,,14756.0,15506.0,14884.9,15189.3,15903.0,12363.0,14616.0,18291.4,16997.0,16751.0,16892.1,16539.0,,17960.7,6865.8,14713.4,14447.4,17790.4,15871.0,16920.6,-4281.0,-6928.0,-4277.8,-4279.0,-1825.0,,-5013.9,-9627.0,-705.3,-1559.0,-4850.9,,-4946.0,-4196.0,-4817.1,-4512.7,-3799.0,-7339.0,-5086.0,-1410.6,-2705.0,-2951.0,-2809.9,-3163.0,,-1741.3,-12836.2,-4988.6,-5254.6,-1911.6,-3831.0,-2781.4,False,True,True,True,,False,False,True,True,False,,False,True,False,False,True,False,False,True,True,True,True,True,,True,False,False,False,True,True,True
Rhode Island,3506,2756.0,2469.3,2772.9,2786.0,2798.0,,2813.4,2412.0,5797.4,4096.4,1722.3,,2196.0,8933.0,3149.2,2732.9,2408.0,987.6,2341.0,3668.3,2803.5,2774.7,3471.6,2568.0,,4140.1,3934.9,2366.3,2898.7,2370.8,2349.0,3252.4,-750.0,-1036.7,-733.1,-720.0,-708.0,,-692.6,-1094.0,2291.4,590.4,-1783.7,,-1310.0,5427.0,-356.8,-773.1,-1098.0,-2518.4,-1165.0,162.3,-702.5,-731.3,-34.4,-938.0,,634.1,428.9,-1139.7,-607.3,-1135.2,-1157.0,-253.6,False,True,True,True,,True,False,False,True,False,,False,False,True,False,False,False,False,True,True,True,True,False,,True,True,False,True,False,False,True
South Carolina,8130,7271.0,10370.0,7311.9,7322.0,7650.0,,7151.6,3781.0,7886.0,7624.1,6244.4,,7071.0,7333.0,6995.7,7222.6,7410.0,2595.8,6864.0,6374.9,7561.0,8518.1,8394.9,7620.0,,8015.9,5595.2,6283.7,7397.0,7224.4,7065.0,8083.4,-859.0,2240.0,-818.1,-808.0,-480.0,,-978.4,-4349.0,-244.0,-505.9,-1885.6,,-1059.0,-797.0,-1134.3,-907.4,-720.0,-5534.2,-1266.0,-1755.1,-569.0,388.1,264.9,-510.0,,-114.1,-2534.8,-1846.3,-733.0,-905.6,-1065.0,-46.6,False,True,True,True,,False,False,True,True,False,,False,True,False,False,True,False,False,False,True,True,True,True,,True,False,False,True,False,False,True
South Dakota,7984,7851.0,6691.1,7921.3,7490.0,7385.0,,6969.6,6224.0,10536.3,9413.9,8210.7,,9078.0,7594.0,8379.7,10809.9,7596.0,824.9,7918.0,9150.2,9192.0,9749.8,8609.0,7795.0,,7027.3,6762.4,7120.5,7091.6,9165.9,5683.0,7607.6,-133.0,-1292.9,-62.7,-494.0,-599.0,,-1014.4,-1760.0,2552.3,1429.9,226.7,,1094.0,-390.0,395.7,2825.9,-388.0,-7159.1,-66.0,1166.2,1208.0,1765.8,625.0,-189.0,,-956.7,-1221.6,-863.5,-892.4,1181.9,-2301.0,-376.4,False,True,False,False,,False,False,False,False,False,,False,False,False,False,False,False,True,False,False,False,False,False,,False,False,False,False,False,False,False
Tennessee,17543,16585.0,21272.4,16091.4,16914.0,16609.0,,18247.8,9353.0,17589.5,14280.8,12730.6,,15752.0,16794.0,20342.0,20401.3,19068.0,5870.2,18326.5,21731.3,14325.5,12042.4,15895.7,19194.0,,17429.8,5773.1,15214.9,20496.0,16799.8,16300.0,18810.6,-958.0,3729.4,-1451.6,-629.0,-934.0,,704.8,-8190.0,46.5,-3262.2,-4812.4,,-1791.0,-749.0,2799.0,2858.3,1525.0,-11672.8,783.5,4188.3,-3217.5,-5500.6,-1647.3,1651.0,,-113.2,-11769.9,-2328.1,2953.0,-743.2,-1243.0,1267.6,False,False,True,True,,True,False,True,False,False,,False,True,False,False,False,False,True,False,False,False,False,False,,True,False,False,False,True,False,False
Texas,56113,43899.0,36216.4,43942.5,44366.0,46214.0,,43966.6,17730.0,49320.3,46641.0,40835.9,,46755.0,49334.0,45488.7,51348.7,44858.0,18796.8,38499.0,50740.7,47093.0,44765.4,44463.3,46680.0,,36283.2,31847.6,37208.0,45295.4,43734.7,48557.0,33860.5,-12214.0,-19896.6,-12170.5,-11747.0,-9899.0,,-12146.4,-38383.0,-6792.7,-9472.0,-15277.1,,-9358.0,-6779.0,-10624.3,-4764.3,-11255.0,-37316.2,-17614.0,-5372.3,-9020.0,-11347.6,-11649.7,-9433.0,,-19829.8,-24265.4,-18905.0,-10817.6,-12378.3,-7556.0,-22252.5,False,True,True,True,,True,False,True,True,False,,True,True,True,True,True,False,False,True,True,True,True,True,,False,False,False,True,False,True,False
Utah,15579,11539.0,6116.9,11557.9,11434.0,9663.0,,11183.3,3658.0,15488.1,12698.5,10016.0,,12623.0,11330.0,12204.2,7513.7,9144.0,4308.1,11786.0,11874.0,12374.0,13197.9,12567.0,12320.0,,11724.5,13972.9,9960.7,12680.8,12421.3,11354.0,12104.6,-4040.0,-9462.1,-4021.1,-4145.0,-5916.0,,-4395.7,-11921.0,-90.9,-2880.5,-5563.0,,-2956.0,-4249.0,-3374.8,-8065.3,-6435.0,-11270.9,-3793.0,-3705.0,-3205.0,-2381.1,-3012.0,-3259.0,,-3854.5,-1606.1,-5618.3,-2898.2,-3157.7,-4225.0,-3474.4,False,True,False,False,,False,False,True,True,False,,True,False,True,False,False,False,True,True,True,True,True,True,,True,True,False,True,True,False,True
Vermont,168,136.0,25.1,134.0,133.0,191.0,,23.8,56.0,133.1,177.6,157.7,,73.0,178.0,107.8,318.8,147.0,155.2,151.5,176.2,130.0,137.7,245.4,175.0,,240.2,57.9,127.6,137.8,81.9,160.0,104.8,-32.0,-142.9,-34.0,-35.0,23.0,,-144.2,-112.0,-34.9,9.6,-10.3,,-95.0,10.0,-60.2,150.8,-21.0,-12.8,-16.5,8.2,-38.0,-30.3,77.4,7.0,,72.2,-110.1,-40.4,-30.2,-86.1,-8.0,-63.2,False,False,False,True,,False,False,False,True,True,,False,True,False,False,True,True,True,True,False,True,False,True,,False,False,False,True,False,True,False
Virginia,9683,8818.0,11712.0,8836.3,8794.0,9106.0,,8095.7,3175.0,10952.3,10196.9,9411.8,,9102.0,8770.0,8381.7,9315.4,9182.0,6422.0,8482.5,8847.5,9199.0,10507.3,9781.3,9737.0,,7017.9,5078.4,8753.3,8410.9,8177.9,9122.0,9291.1,-865.0,2029.0,-846.7,-889.0,-577.0,,-1587.3,-6508.0,1269.3,513.9,-271.2,,-581.0,-913.0,-1301.3,-367.6,-501.0,-3261.0,-1200.5,-835.5,-484.0,824.3,98.3,54.0,,-2665.1,-4604.6,-929.7,-1272.1,-1505.1,-561.0,-391.9,False,True,False,True,,False,False,False,True,True,,True,False,False,True,True,False,False,True,True,True,True,True,,False,False,False,False,False,True,True
Washington,8510,5237.0,5633.0,5389.5,5387.0,5579.0,,5323.6,2982.0,6118.0,5899.7,5381.6,,5446.0,5543.0,5385.1,4885.1,5392.0,4242.7,5568.0,5629.0,5731.0,6478.5,6195.4,6006.0,,4414.9,5546.6,4982.3,5897.2,4972.8,5630.0,5792.6,-3273.0,-2877.0,-3120.5,-3123.0,-2931.0,,-3186.4,-5528.0,-2392.0,-2610.3,-3128.4,,-3064.0,-2967.0,-3124.9,-3624.9,-3118.0,-4267.3,-2942.0,-2881.0,-2779.0,-2031.5,-2314.6,-2504.0,,-4095.1,-2963.4,-3527.7,-2612.8,-3537.2,-2880.0,-2717.4,True,True,True,True,,True,False,True,True,True,,True,True,True,False,True,False,True,True,True,True,True,True,,False,True,False,True,False,True,True
West Virginia,3149,2744.0,3072.0,2777.7,2731.0,3081.0,,2358.6,1865.0,2718.7,3259.1,2919.7,,2847.0,2247.0,2888.6,3847.5,2876.0,1359.6,2555.0,3093.7,3370.0,3409.4,,2976.0,,2272.1,2153.7,2413.6,2350.8,2794.4,2796.0,3045.8,-405.0,-77.0,-371.3,-418.0,-68.0,,-790.4,-1284.0,-430.3,110.1,-229.3,,-302.0,-902.0,-260.4,698.5,-273.0,-1789.4,-594.0,-55.3,221.0,260.4,,-173.0,,-876.9,-995.3,-735.4,-798.2,-354.6,-353.0,-103.2,True,True,False,True,,False,False,False,True,True,,True,False,True,False,True,False,False,True,True,True,,True,,False,False,False,False,True,True,True
Wisconsin,39634,30829.0,38282.2,30573.4,32474.0,32729.0,,29531.3,13982.0,40373.0,33402.5,31100.9,,34807.0,27486.0,38029.5,38076.9,31273.0,10725.7,31929.0,45459.6,31422.0,35531.1,,34450.0,,32451.3,42034.1,32496.4,34786.3,36998.1,28572.0,30776.4,-8805.0,-1351.8,-9060.6,-7160.0,-6905.0,,-10102.7,-25652.0,739.0,-6231.5,-8533.1,,-4827.0,-12148.0,-1604.5,-1557.1,-8361.0,-28908.3,-7705.0,5825.6,-8212.0,-4102.9,,-5184.0,,-7182.7,2400.1,-7137.6,-4847.7,-2635.9,-11062.0,-8857.6,True,False,True,True,,False,False,True,True,True,,True,False,True,True,True,False,True,True,True,True,,True,,True,True,True,True,True,False,False
Wyoming,3299,2493.0,4596.6,2490.8,2613.0,2175.0,,2436.3,1331.0,3079.3,2998.7,2700.2,,2765.0,2738.0,3171.3,4291.6,2568.0,444.7,2608.5,3152.4,3273.5,3042.7,,2895.0,,2642.8,3445.9,2582.9,2427.8,3280.0,2513.0,2976.3,-806.0,1297.6,-808.2,-686.0,-1124.0,,-862.7,-1968.0,-219.7,-300.3,-598.8,,-534.0,-561.0,-127.7,992.6,-731.0,-2854.3,-690.5,-146.6,-25.5,-256.3,,-404.0,,-656.2,146.9,-716.1,-871.2,-19.0,-786.0,-322.7,False,False,True,False,,False,False,True,True,True,,True,True,True,False,True,False,True,True,True,True,,True,,True,True,True,False,True,True,True
US,766418,548664.0,510643.4,550602.0,568680.0,576734.0,787980.0,562019.0,331130.0,686961.3,630219.1,,570354.0,547221.0,566567.0,565599.5,570072.6,,286757.8,,655931.4,643586.0,650137.2,587212.2,591788.0,594298.7,686502.3,403586.1,568680.2,,601294.8,577174.0,577180.7,-217754.0,-255774.6,-215816.0,-197738.0,-189684.0,21562.0,-204399.0,-435288.0,-79456.7,-136198.9,,-196064.0,-219197.0,-199851.0,-200818.5,-196345.4,,-479660.2,,-110486.6,-122832.0,-116280.8,-179205.8,-174630.0,-172119.3,-79915.7,-362831.9,-197737.8,,-165123.2,-189244.0,-189237.3,False,True,True,True,True,True,False,True,True,,True,False,True,True,True,,False,,True,True,True,True,True,True,True,False,True,,True,True,True
