,actual_cases,COVIDhub-baseline,BPagano-RtDriven,CEID-Walk,CMU-TimeSeries,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,Google_Harvard-CPF,IBF-TimeSeries,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MITCovAlliance-SIR,MSRA-DeepST,OliverWyman-Navigator,QJHong-Encounter,RobertWalraven-ESG,TTU-squider,UCLA-SuEIR,UMass-MechBayes,UMich-RidgeTfReg,USC-SI_kJalpha,UVA-Ensemble,error-COVIDhub-baseline,error-BPagano-RtDriven,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MITCovAlliance-SIR,error-MSRA-DeepST,error-OliverWyman-Navigator,error-QJHong-Encounter,error-RobertWalraven-ESG,error-TTU-squider,error-UCLA-SuEIR,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,error-UVA-Ensemble,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MITCovAlliance-SIR,beat_baseline-MSRA-DeepST,beat_baseline-OliverWyman-Navigator,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-TTU-squider,beat_baseline-UCLA-SuEIR,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha,beat_baseline-UVA-Ensemble
05129,52,33.0,,38.7,,33.0,0.0,,,,,39.8,,65.0,,33.7,5.7,,9.2,43.8,0.0,,36.0,,,,,,,30.0,21.1,-19.0,,-13.3,,-19.0,-52.0,,,,,-12.2,,13.0,,-18.3,-46.3,,-42.8,-8.2,-52.0,,-16.0,,,,,,,-22.0,-30.9,,True,,False,False,,,,,True,,True,,True,False,,False,True,False,,True,,,,,,,False,False
05131,966,723.0,,682.4,,718.0,702.0,,,,,1419.3,,1180.0,,886.4,249.6,,568.3,874.1,668.0,,973.0,,,,430.1,,,959.0,517.0,-243.0,,-283.6,,-248.0,-264.0,,,,,453.3,,214.0,,-79.6,-716.4,,-397.7,-91.9,-298.0,,7.0,,,,-535.9,,,-7.0,-449.0,,False,,False,False,,,,,False,,True,,True,False,,False,True,False,,True,,,,False,,,True,False
05133,233,114.0,,116.4,,70.0,0.0,,,,,141.7,,101.0,,50.9,18.9,,52.1,131.5,2.5,,141.0,,,,79.3,,,0.0,55.6,-119.0,,-116.6,,-163.0,-233.0,,,,,-91.3,,-132.0,,-182.1,-214.1,,-180.9,-101.5,-230.5,,-92.0,,,,-153.7,,,-233.0,-177.4,,True,,False,False,,,,,True,,False,,False,False,,False,True,False,,True,,,,False,,,False,False
05135,138,72.0,,73.7,,74.0,79.0,,,,,53.4,,114.0,,87.7,51.5,,24.0,77.2,0.0,,57.0,,,,,,,75.0,62.3,-66.0,,-64.3,,-64.0,-59.0,,,,,-84.6,,-24.0,,-50.3,-86.5,,-114.0,-60.8,-138.0,,-81.0,,,,,,,-63.0,-75.7,,True,,True,True,,,,,False,,True,,True,False,,False,True,False,,False,,,,,,,True,False
05137,26,33.0,,28.4,,25.0,21.0,,,,,302.1,,103.0,,39.6,18.4,,1.1,25.7,0.0,,31.0,,,,,,,62.0,0.2,7.0,,2.4,,-1.0,-5.0,,,,,276.1,,77.0,,13.6,-7.6,,-24.9,-0.3,-26.0,,5.0,,,,,,,36.0,-25.8,,True,,True,True,,,,,False,,False,,False,False,,False,True,False,,True,,,,,,,False,False
05139,183,186.0,,187.0,,173.0,256.0,,,,,357.1,,171.0,,165.3,98.9,,72.5,176.9,146.3,,302.0,,,,117.8,,,178.0,119.2,3.0,,4.0,,-10.0,73.0,,,,,174.1,,-12.0,,-17.7,-84.1,,-110.5,-6.1,-36.7,,119.0,,,,-65.2,,,-5.0,-63.8,,False,,False,False,,,,,False,,False,,False,False,,False,False,False,,False,,,,False,,,False,False
05141,46,45.0,,42.1,,35.0,10.0,,,,,39.5,,145.0,,35.1,14.8,,6.7,41.4,0.0,,36.0,,,,,,,112.0,18.8,-1.0,,-3.9,,-11.0,-36.0,,,,,-6.5,,99.0,,-10.9,-31.2,,-39.3,-4.6,-46.0,,-10.0,,,,,,,66.0,-27.2,,False,,False,False,,,,,False,,False,,False,False,,False,False,False,,False,,,,,,,False,False
05143,1640,1356.0,,1368.3,1088.2,1255.0,1499.0,,,,,2080.5,,1668.0,,1139.2,771.8,,697.2,1408.8,102.2,,1010.0,,,,1037.9,1999.0,,1063.0,976.5,-284.0,,-271.7,-551.8,-385.0,-141.0,,,,,440.5,,28.0,,-500.8,-868.2,,-942.8,-231.2,-1537.8,,-630.0,,,,-602.1,359.0,,-577.0,-663.5,,True,False,False,True,,,,,False,,True,,False,False,,False,True,False,,False,,,,False,False,,False,False
05145,636,519.0,,513.7,,488.0,536.0,,,,,609.6,,784.0,,715.5,257.4,,392.9,433.8,321.8,,718.0,,,,348.6,,,515.0,220.9,-117.0,,-122.3,,-148.0,-100.0,,,,,-26.4,,148.0,,79.5,-378.6,,-243.1,-202.2,-314.2,,82.0,,,,-287.4,,,-121.0,-415.1,,False,,False,True,,,,,True,,False,,True,False,,False,False,False,,True,,,,False,,,False,False
05147,67,42.0,,42.4,,41.0,33.0,,,,,31.0,,49.0,,45.1,14.9,,19.1,46.7,,,43.0,,,,,,,58.0,29.1,-25.0,,-24.6,,-26.0,-34.0,,,,,-36.0,,-18.0,,-21.9,-52.1,,-47.9,-20.3,,,-24.0,,,,,,,-9.0,-37.9,,True,,False,False,,,,,False,,True,,True,False,,False,True,,,True,,,,,,,True,False
05149,89,69.0,,72.2,,42.0,1.0,,,,,127.1,,158.0,,34.6,37.5,,31.8,97.4,0.5,,94.0,,,,46.4,,,0.0,49.3,-20.0,,-16.8,,-47.0,-88.0,,,,,38.1,,69.0,,-54.4,-51.5,,-57.2,8.4,-88.5,,5.0,,,,-42.6,,,-89.0,-39.7,,True,,False,False,,,,,False,,False,,False,False,,False,True,False,,True,,,,False,,,False,False
06001,2205,1161.0,,1126.9,1645.7,1098.0,1024.0,,,,,1616.3,,1491.0,,1173.4,2105.0,,1082.7,1664.4,119.2,,896.0,,,,1054.7,541.0,,1048.0,763.1,-1044.0,,-1078.1,-559.3,-1107.0,-1181.0,,,,,-588.7,,-714.0,,-1031.6,-100.0,,-1122.3,-540.6,-2085.8,,-1309.0,,,,-1150.3,-1664.0,,-1157.0,-1441.9,,False,True,False,False,,,,,True,,True,,True,True,,False,True,False,,False,,,,False,False,,False,False
06003,20,0.0,,0.2,,0.0,0.0,,,,,6.6,,0.0,,0.6,2.8,,0.0,0.2,,,1.0,,,,,,,0.0,3.0,-20.0,,-19.8,,-20.0,-20.0,,,,,-13.4,,-20.0,,-19.4,-17.2,,-20.0,-19.8,,,-19.0,,,,,,,-20.0,-17.0,,True,,False,False,,,,,True,,False,,True,True,,True,True,,,True,,,,,,,False,True
06005,60,18.0,,18.0,,19.0,21.0,,,,,33.5,,37.0,,21.0,20.0,,2.5,13.7,30.4,,18.0,,,,,,,30.0,13.4,-42.0,,-42.0,,-41.0,-39.0,,,,,-26.5,,-23.0,,-39.0,-40.0,,-57.5,-46.3,-29.6,,-42.0,,,,,,,-30.0,-46.6,,False,,True,True,,,,,True,,True,,True,True,,False,False,True,,False,,,,,,,True,False
06007,250,144.0,,169.3,,146.0,127.0,,,,,386.6,,275.0,,182.3,322.7,,54.1,154.2,286.8,,94.0,,,,132.2,69.0,,165.0,107.2,-106.0,,-80.7,,-104.0,-123.0,,,,,136.6,,25.0,,-67.7,72.7,,-195.9,-95.8,36.8,,-156.0,,,,-117.8,-181.0,,-85.0,-142.8,,True,,True,False,,,,,False,,True,,True,True,,False,True,True,,False,,,,False,False,,True,False
06009,33,9.0,,10.7,,10.0,0.0,,,,,47.9,,43.0,,12.0,29.4,,0.4,9.2,38.8,,13.0,,,,,,,2.0,8.3,-24.0,,-22.3,,-23.0,-33.0,,,,,14.9,,10.0,,-21.0,-3.6,,-32.6,-23.8,5.8,,-20.0,,,,,,,-31.0,-24.7,,True,,True,False,,,,,True,,True,,True,True,,False,True,True,,True,,,,,,,False,False
06011,36,6.0,,3.2,,5.0,0.0,,,,,40.8,,31.0,,7.6,18.0,,0.3,8.6,0.2,,,,,,,,,5.0,0.2,-30.0,,-32.8,,-31.0,-36.0,,,,,4.8,,-5.0,,-28.4,-18.0,,-35.7,-27.4,-35.8,,,,,,,,,-31.0,-35.8,,False,,False,False,,,,,True,,True,,True,True,,False,True,False,,,,,,,,,False,False
06013,1788,1353.0,,1393.9,1332.1,1144.0,1232.0,,,,,2276.7,,1089.0,,1224.7,1787.1,,879.8,1151.4,100.4,,931.0,,,,1162.0,665.0,,1021.0,794.1,-435.0,,-394.1,-455.9,-644.0,-556.0,,,,,488.7,,-699.0,,-563.3,-0.9,,-908.2,-636.6,-1687.6,,-857.0,,,,-626.0,-1123.0,,-767.0,-993.9,,True,False,False,False,,,,,False,,False,,False,True,,False,False,False,,False,,,,False,False,,False,False
06015,30,12.0,,14.7,,25.0,37.0,,,,,27.2,,584.0,,50.8,42.7,,2.1,25.3,24.8,,,,,,,,,43.0,26.7,-18.0,,-15.3,,-5.0,7.0,,,,,-2.8,,554.0,,20.8,12.7,,-27.9,-4.7,-5.2,,,,,,,,,13.0,-3.3,,True,,True,True,,,,,True,,False,,False,True,,False,True,True,,,,,,,,,True,True
06017,212,108.0,,113.9,,104.0,57.0,,,,,145.5,,164.0,,130.7,210.3,,19.2,106.3,326.5,,85.0,,,,87.1,65.0,,82.0,95.8,-104.0,,-98.1,,-108.0,-155.0,,,,,-66.5,,-48.0,,-81.3,-1.7,,-192.8,-105.7,114.5,,-127.0,,,,-124.9,-147.0,,-130.0,-116.2,,True,,False,False,,,,,True,,True,,True,True,,False,False,False,,False,,,,False,False,,False,False
06019,2482,1764.0,,1735.9,2257.7,1413.0,2545.0,,,,,1631.8,,1425.0,,1311.7,1054.5,,1353.1,1769.6,19.2,,1531.0,,,,1336.4,1044.0,,1284.0,1135.5,-718.0,,-746.1,-224.3,-1069.0,63.0,,,,,-850.2,,-1057.0,,-1170.3,-1427.5,,-1128.9,-712.4,-2462.8,,-951.0,,,,-1145.6,-1438.0,,-1198.0,-1346.5,,False,True,False,True,,,,,False,,False,,False,False,,False,True,False,,False,,,,False,False,,False,False
06021,77,39.0,,38.1,,38.0,47.0,,,,,43.6,,73.0,,49.8,33.2,,7.0,41.0,0.0,,30.0,,,,,,,36.0,26.5,-38.0,,-38.9,,-39.0,-30.0,,,,,-33.4,,-4.0,,-27.2,-43.8,,-70.0,-36.0,-77.0,,-47.0,,,,,,,-41.0,-50.5,,False,,False,True,,,,,True,,True,,True,False,,False,True,False,,False,,,,,,,False,False
06023,61,45.0,,45.1,,41.0,21.0,,,,,65.8,,61.0,,45.4,117.8,,7.9,36.1,100.4,,36.0,,,,,12.0,,40.0,23.1,-16.0,,-15.9,,-20.0,-40.0,,,,,4.8,,0.0,,-15.6,56.8,,-53.1,-24.9,39.4,,-25.0,,,,,-49.0,,-21.0,-37.9,,True,,False,False,,,,,True,,True,,True,False,,False,False,False,,False,,,,,False,,False,False
06025,988,795.0,,883.1,797.5,500.0,601.0,,,,,613.2,,189.0,,504.1,296.7,,287.2,496.3,0.9,,659.0,,,,658.3,305.0,,0.0,245.5,-193.0,,-104.9,-190.5,-488.0,-387.0,,,,,-374.8,,-799.0,,-483.9,-691.3,,-700.8,-491.7,-987.1,,-329.0,,,,-329.7,-683.0,,-988.0,-742.5,,True,True,False,False,,,,,False,,False,,False,False,,False,False,False,,False,,,,False,False,,False,False
06027,38,30.0,,29.9,,21.0,,,,,,34.7,,13.0,,66.4,11.2,,5.8,30.3,11.7,,29.0,,,,,,,35.0,10.7,-8.0,,-8.1,,-17.0,,,,,,-3.3,,-25.0,,28.4,-26.8,,-32.2,-7.7,-26.3,,-9.0,,,,,,,-3.0,-27.3,,False,,False,,,,,,True,,False,,False,False,,False,True,False,,False,,,,,,,True,False
06029,1777,1365.0,,1371.3,2105.5,1364.0,1418.0,,,,,2010.0,,1787.0,,1153.7,1316.0,,1074.6,1454.7,24.8,,1363.0,,,,2164.3,1230.0,,1317.0,979.0,-412.0,,-405.7,328.5,-413.0,-359.0,,,,,233.0,,10.0,,-623.3,-461.0,,-702.4,-322.3,-1752.2,,-414.0,,,,387.3,-547.0,,-460.0,-798.0,,True,True,False,True,,,,,True,,True,,False,False,,False,True,False,,False,,,,True,False,,False,False
06031,737,459.0,,541.7,,269.0,329.0,,,,,1047.5,,417.0,,423.7,182.0,,46.0,203.3,0.9,,264.0,,,,218.5,172.0,,258.0,290.5,-278.0,,-195.3,,-468.0,-408.0,,,,,310.5,,-320.0,,-313.3,-555.0,,-691.0,-533.7,-736.1,,-473.0,,,,-518.5,-565.0,,-479.0,-446.5,,True,,False,False,,,,,False,,False,,False,False,,False,False,False,,False,,,,False,False,,False,False
06033,89,90.0,,102.3,,92.0,63.0,,,,,83.1,,96.0,,134.5,58.2,,54.4,94.9,166.3,,113.0,,,,,,,78.0,110.2,1.0,,13.3,,3.0,-26.0,,,,,-5.9,,7.0,,45.5,-30.8,,-34.6,5.9,77.3,,24.0,,,,,,,-11.0,21.2,,False,,False,False,,,,,False,,False,,False,False,,False,False,False,,False,,,,,,,False,False
06035,38,18.0,,19.1,,13.0,0.0,,,,,88.7,,34.0,,15.0,41.7,,1.0,14.6,0.0,,21.0,,,,,,,2.0,14.3,-20.0,,-18.9,,-25.0,-38.0,,,,,50.7,,-4.0,,-23.0,3.7,,-37.0,-23.4,-38.0,,-17.0,,,,,,,-36.0,-23.7,,True,,False,False,,,,,False,,True,,False,True,,False,False,False,,True,,,,,,,False,False
06037,31841,20913.0,,20576.5,21250.7,16602.0,17761.0,,,,,14819.3,,14087.0,,18248.1,12002.2,,15555.3,16770.6,1154.8,,24731.0,,,,13757.2,13540.0,,24369.0,,-10928.0,,-11264.5,-10590.3,-15239.0,-14080.0,,,,,-17021.7,,-17754.0,,-13592.9,-19838.8,,-16285.7,-15070.4,-30686.2,,-7110.0,,,,-18083.8,-18301.0,,-7472.0,,,False,True,False,False,,,,,False,,False,,False,False,,False,False,False,,True,,,,False,False,,True,
06039,413,264.0,,256.0,,175.0,146.0,,,,,714.1,,289.0,,210.5,323.4,,46.1,193.2,1.0,,131.0,,,,188.3,82.0,,174.0,95.2,-149.0,,-157.0,,-238.0,-267.0,,,,,301.1,,-124.0,,-202.5,-89.6,,-366.9,-219.8,-412.0,,-282.0,,,,-224.7,-331.0,,-239.0,-317.8,,False,,False,False,,,,,False,,True,,False,True,,False,False,False,,False,,,,False,False,,False,False
06041,250,333.0,,351.7,,232.0,470.0,,,,,399.3,,177.0,,283.4,236.3,,223.2,374.2,13.0,,471.0,,,,196.5,194.0,,439.0,220.6,83.0,,101.7,,-18.0,220.0,,,,,149.3,,-73.0,,33.4,-13.7,,-26.8,124.2,-237.0,,221.0,,,,-53.5,-56.0,,189.0,-29.4,,False,,True,False,,,,,False,,True,,True,True,,True,False,False,,False,,,,True,True,,False,True
06043,11,3.0,,2.8,,3.0,0.0,,,,,9.1,,22.0,,3.1,4.0,,4.0,1.7,,,3.0,,,,,,,3.0,3.0,-8.0,,-8.2,,-8.0,-11.0,,,,,-1.9,,11.0,,-7.9,-7.0,,-7.0,-9.3,,,-8.0,,,,,,,-8.0,-8.0,,False,,False,False,,,,,True,,False,,True,True,,True,False,,,False,,,,,,,False,False
06045,136,135.0,,142.4,,107.0,103.0,,,,,123.0,,76.0,,105.6,122.9,,94.9,151.7,265.4,,100.0,,,,94.0,,,95.0,192.0,-1.0,,6.4,,-29.0,-33.0,,,,,-13.0,,-60.0,,-30.4,-13.1,,-41.1,15.7,129.4,,-36.0,,,,-42.0,,,-41.0,56.0,,False,,False,False,,,,,False,,False,,False,False,,False,False,False,,False,,,,False,,,False,False
06047,668,495.0,,503.9,290.9,347.0,635.0,,,,,613.2,,577.0,,422.7,393.2,,103.7,275.5,0.5,,703.0,,,,395.6,211.0,,608.0,269.7,-173.0,,-164.1,-377.1,-321.0,-33.0,,,,,-54.8,,-91.0,,-245.3,-274.8,,-564.3,-392.5,-667.5,,35.0,,,,-272.4,-457.0,,-60.0,-398.3,,True,False,False,True,,,,,True,,True,,False,False,,False,False,False,,True,,,,False,False,,True,False
06049,46,0.0,,0.7,,0.0,0.0,,,,,10.8,,5.0,,8.0,6.8,,0.6,0.3,,,0.0,,,,,,,0.0,3.0,-46.0,,-45.3,,-46.0,-46.0,,,,,-35.2,,-41.0,,-38.0,-39.2,,-45.4,-45.7,,,-46.0,,,,,,,-46.0,-43.0,,True,,False,False,,,,,True,,True,,True,True,,True,True,,,False,,,,,,,False,True
06051,161,9.0,,7.4,,5.0,0.0,,,,,30.5,,15.0,,16.0,6.7,,0.4,6.2,0.0,,8.0,,,,,,,17.0,5.3,-152.0,,-153.6,,-156.0,-161.0,,,,,-130.5,,-146.0,,-145.0,-154.3,,-160.6,-154.8,-161.0,,-153.0,,,,,,,-144.0,-155.7,,False,,False,False,,,,,True,,True,,True,False,,False,False,False,,False,,,,,,,True,False
06053,1193,1068.0,,1110.7,1146.1,919.0,1240.0,,,,,1950.2,,617.0,,763.3,876.9,,870.8,1239.4,8.6,,914.0,,,,802.4,966.0,,878.0,508.7,-125.0,,-82.3,-46.9,-274.0,47.0,,,,,757.2,,-576.0,,-429.7,-316.1,,-322.2,46.4,-1184.4,,-279.0,,,,-390.6,-227.0,,-315.0,-684.3,,True,True,False,True,,,,,False,,False,,False,False,,False,True,False,,False,,,,False,False,,False,False
06055,334,180.0,,181.8,,154.0,160.0,,,,,308.9,,166.0,,154.6,289.6,,67.0,204.4,0.0,,192.0,,,,143.6,147.0,,152.0,124.0,-154.0,,-152.2,,-180.0,-174.0,,,,,-25.1,,-168.0,,-179.4,-44.4,,-267.0,-129.6,-334.0,,-142.0,,,,-190.4,-187.0,,-182.0,-210.0,,True,,False,False,,,,,True,,False,,False,True,,False,True,False,,True,,,,False,False,,False,False
06057,118,57.0,,58.2,,57.0,44.0,,,,,64.5,,68.0,,62.5,95.7,,16.7,52.7,163.7,,109.0,,,,,,,94.0,33.5,-61.0,,-59.8,,-61.0,-74.0,,,,,-53.5,,-50.0,,-55.5,-22.3,,-101.3,-65.3,45.7,,-9.0,,,,,,,-24.0,-84.5,,True,,False,False,,,,,True,,True,,True,True,,False,False,True,,True,,,,,,,True,False
06059,5071,3423.0,,3485.4,4059.0,3056.0,3574.0,,,,,2287.7,,2649.0,,3216.6,2581.2,,2839.2,3311.8,216.1,,3103.0,,,,2712.3,2805.0,,3445.0,2389.0,-1648.0,,-1585.6,-1012.0,-2015.0,-1497.0,,,,,-2783.3,,-2422.0,,-1854.4,-2489.8,,-2231.8,-1759.2,-4854.9,,-1968.0,,,,-2358.7,-2266.0,,-1626.0,-2682.0,,True,True,False,True,,,,,False,,False,,False,False,,False,False,False,,False,,,,False,False,,True,False
06061,812,390.0,,425.5,,370.0,563.0,,,,,571.4,,367.0,,372.3,503.6,,141.7,374.2,826.7,,489.0,,,,324.5,230.0,,531.0,242.9,-422.0,,-386.5,,-442.0,-249.0,,,,,-240.6,,-445.0,,-439.7,-308.4,,-670.3,-437.8,14.7,,-323.0,,,,-487.5,-582.0,,-281.0,-569.1,,True,,False,True,,,,,True,,False,,False,True,,False,False,True,,True,,,,False,False,,True,False
06063,45,6.0,,5.7,,3.0,0.0,,,,,19.4,,10.0,,8.2,11.8,,2.1,2.5,,,,,,,,,,1.0,3.8,-39.0,,-39.3,,-42.0,-45.0,,,,,-25.6,,-35.0,,-36.8,-33.2,,-42.9,-42.5,,,,,,,,,,-44.0,-41.2,,False,,False,False,,,,,True,,True,,True,True,,False,False,,,,,,,,,,False,False
06065,7412,4380.0,,4220.8,6218.3,3731.0,3705.0,,,,,2614.5,,4340.0,,4376.9,3313.1,,2256.3,3978.6,302.9,,4844.0,,,,2759.5,1328.0,,4703.0,3889.0,-3032.0,,-3191.2,-1193.7,-3681.0,-3707.0,,,,,-4797.5,,-3072.0,,-3035.1,-4098.9,,-5155.7,-3433.4,-7109.1,,-2568.0,,,,-4652.5,-6084.0,,-2709.0,-3523.0,,False,True,False,False,,,,,False,,False,,False,False,,False,False,False,,True,,,,False,False,,True,False
06067,3338,1629.0,,1693.6,2751.0,1552.0,1214.0,,,,,2591.7,,1572.0,,1590.1,2985.9,,1627.9,1791.9,458.4,,1227.0,,,,1075.3,1007.0,,1332.0,748.8,-1709.0,,-1644.4,-587.0,-1786.0,-2124.0,,,,,-746.3,,-1766.0,,-1747.9,-352.1,,-1710.1,-1546.1,-2879.6,,-2111.0,,,,-2262.7,-2331.0,,-2006.0,-2589.2,,True,True,False,False,,,,,True,,False,,False,True,,False,True,False,,False,,,,False,False,,False,False
06069,108,60.0,,60.8,,52.0,25.0,,,,,89.3,,97.0,,53.1,32.4,,17.9,52.5,0.2,,51.0,,,,68.1,,,37.0,28.5,-48.0,,-47.2,,-56.0,-83.0,,,,,-18.7,,-11.0,,-54.9,-75.6,,-90.1,-55.5,-107.8,,-57.0,,,,-39.9,,,-71.0,-79.5,,True,,False,False,,,,,True,,True,,False,False,,False,False,False,,False,,,,True,,,False,False
06071,8640,5304.0,,5230.9,5463.7,4838.0,6101.0,,,,,6873.9,,4210.0,,5237.6,3320.4,,3532.2,4228.7,267.9,,5846.0,,,,4288.9,6159.0,,6239.0,2993.3,-3336.0,,-3409.1,-3176.3,-3802.0,-2539.0,,,,,-1766.1,,-4430.0,,-3402.4,-5319.6,,-5107.8,-4411.3,-8372.1,,-2794.0,,,,-4351.1,-2481.0,,-2401.0,-5646.7,,False,True,False,True,,,,,True,,False,,False,False,,False,False,False,,True,,,,False,True,,True,False
06073,7674,5517.0,,5592.0,6166.3,4429.0,4323.0,,,,,3693.2,,2694.0,,5760.5,3951.9,,4251.2,5542.5,545.7,,5650.0,,,,3639.0,4325.0,,6161.0,3972.1,-2157.0,,-2082.0,-1507.7,-3245.0,-3351.0,,,,,-3980.8,,-4980.0,,-1913.5,-3722.1,,-3422.8,-2131.5,-7128.3,,-2024.0,,,,-4035.0,-3349.0,,-1513.0,-3701.9,,True,True,False,False,,,,,False,,False,,True,False,,False,True,False,,True,,,,False,False,,True,False
06075,1020,660.0,,652.5,939.0,588.0,1083.0,,,,,1198.8,,527.0,,490.9,1626.7,,369.3,614.3,0.0,,446.0,,,,599.3,571.0,,466.0,183.5,-360.0,,-367.5,-81.0,-432.0,63.0,,,,,178.8,,-493.0,,-529.1,606.7,,-650.7,-405.7,-1020.0,,-574.0,,,,-420.7,-449.0,,-554.0,-836.5,,False,True,False,True,,,,,True,,False,,False,False,,False,False,False,,False,,,,False,False,,False,False
06077,1448,1077.0,,1097.0,1445.8,829.0,1448.0,,,,,1149.3,,1058.0,,731.6,962.4,,331.8,690.8,19.6,,1088.0,,,,885.5,403.0,,758.0,587.8,-371.0,,-351.0,-2.2,-619.0,0.0,,,,,-298.7,,-390.0,,-716.4,-485.6,,-1116.2,-757.2,-1428.4,,-360.0,,,,-562.5,-1045.0,,-690.0,-860.2,,True,True,False,True,,,,,True,,False,,False,False,,False,False,False,,True,,,,False,False,,False,False
06079,583,429.0,,427.4,,407.0,407.0,,,,,688.5,,553.0,,453.0,661.3,,219.9,355.1,468.4,,555.0,,,,374.9,230.0,,562.0,254.8,-154.0,,-155.6,,-176.0,-176.0,,,,,105.5,,-30.0,,-130.0,78.3,,-363.1,-227.9,-114.6,,-28.0,,,,-208.1,-353.0,,-21.0,-328.2,,False,,False,False,,,,,True,,True,,True,True,,False,False,True,,True,,,,False,False,,True,False
06081,1067,699.0,,746.2,978.4,590.0,497.0,,,,,1316.3,,564.0,,666.7,1751.7,,399.2,634.9,42.5,,581.0,,,,645.6,346.0,,580.0,321.4,-368.0,,-320.8,-88.6,-477.0,-570.0,,,,,249.3,,-503.0,,-400.3,684.7,,-667.8,-432.1,-1024.5,,-486.0,,,,-421.4,-721.0,,-487.0,-745.6,,True,True,False,False,,,,,True,,False,,False,False,,False,False,False,,False,,,,False,False,,False,False
06083,568,456.0,,469.7,878.1,413.0,418.0,,,,,666.9,,530.0,,402.3,500.1,,335.8,526.2,2.8,,367.0,,,,404.3,370.0,,378.0,209.3,-112.0,,-98.3,310.1,-155.0,-150.0,,,,,98.9,,-38.0,,-165.7,-67.9,,-232.2,-41.8,-565.2,,-201.0,,,,-163.7,-198.0,,-190.0,-358.7,,True,False,False,False,,,,,True,,True,,False,True,,False,True,False,,False,,,,False,False,,False,False
06085,3085,1899.0,,1893.3,2293.9,1725.0,1316.0,,,,,2549.2,,1654.0,,1857.7,2807.3,,1858.4,2220.6,424.4,,1741.0,,,,1492.7,1101.0,,2076.0,1223.6,-1186.0,,-1191.7,-791.1,-1360.0,-1769.0,,,,,-535.8,,-1431.0,,-1227.3,-277.7,,-1226.6,-864.4,-2660.6,,-1344.0,,,,-1592.3,-1984.0,,-1009.0,-1861.4,,False,True,False,False,,,,,True,,False,,False,True,,False,True,False,,False,,,,False,False,,True,False
06087,392,357.0,,362.1,,311.0,664.0,,,,,749.4,,170.0,,257.2,476.8,,266.2,299.2,499.3,,263.0,,,,382.3,273.0,,253.0,263.0,-35.0,,-29.9,,-81.0,272.0,,,,,357.4,,-222.0,,-134.8,84.8,,-125.8,-92.8,107.3,,-129.0,,,,-9.7,-119.0,,-139.0,-129.0,,True,,False,False,,,,,False,,False,,False,False,,False,False,False,,False,,,,True,False,,False,False
06089,809,939.0,,919.8,,579.0,777.0,,,,,1274.2,,252.0,,3439.9,373.1,,243.0,471.8,765.6,,1343.0,,,,446.8,545.0,,889.0,414.4,130.0,,110.8,,-230.0,-32.0,,,,,465.2,,-557.0,,2630.9,-435.9,,-566.0,-337.2,-43.4,,534.0,,,,-362.2,-264.0,,80.0,-394.6,,True,,False,True,,,,,False,,False,,False,False,,False,False,True,,False,,,,False,False,,True,False
06091,1,0.0,,0.0,,0.0,0.0,,,,,8.2,,0.0,,3.7,0.2,,0.1,0.0,,,0.0,,,,,,,0.0,3.0,-1.0,,-1.0,,-1.0,-1.0,,,,,7.2,,-1.0,,2.7,-0.8,,-0.9,-1.0,,,-1.0,,,,,,,-1.0,2.0,,False,,False,False,,,,,False,,False,,False,True,,True,True,,,False,,,,,,,False,False
06093,108,15.0,,15.8,,15.0,0.0,,,,,24.4,,85.0,,41.6,31.7,,0.9,20.3,39.6,,24.0,,,,,,,48.0,12.2,-93.0,,-92.2,,-93.0,-108.0,,,,,-83.6,,-23.0,,-66.4,-76.3,,-107.1,-87.7,-68.4,,-84.0,,,,,,,-60.0,-95.8,,True,,False,False,,,,,True,,True,,True,True,,False,True,True,,True,,,,,,,True,False
