,actual_deaths,Baseline,CEID-Walk,CMU-TimeSeries,COVIDhub-baseline,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,GT-DeepCOVID,GT_CHHS-COVID19,Geneva-DetGrowth,Google_Harvard-CPF,IHME-CurveFit,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MOBS-GLEAM_COVID,NotreDame-FRED,NotreDame-mobility,OliverWyman-Navigator,PSI-DRAFT,QJHong-Encounter,RPI_UW-Mob_Collision,RobertWalraven-ESG,STH-3PU,SteveMcConnell-CovidComplete,UA-EpiCovDA,UCLA-SuEIR,UCM_MESALab-FoGSEIR,UMass-MechBayes,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,WalmartLabsML-LogForecasting,YYG-ParamSearch,epiforecasts-ensemble1,error-Baseline,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-baseline,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-GT-DeepCOVID,error-GT_CHHS-COVID19,error-Geneva-DetGrowth,error-Google_Harvard-CPF,error-IHME-CurveFit,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MOBS-GLEAM_COVID,error-NotreDame-FRED,error-NotreDame-mobility,error-OliverWyman-Navigator,error-PSI-DRAFT,error-QJHong-Encounter,error-RPI_UW-Mob_Collision,error-RobertWalraven-ESG,error-STH-3PU,error-SteveMcConnell-CovidComplete,error-UA-EpiCovDA,error-UCLA-SuEIR,error-UCM_MESALab-FoGSEIR,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,error-WalmartLabsML-LogForecasting,error-YYG-ParamSearch,error-epiforecasts-ensemble1,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-baseline,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-GT-DeepCOVID,beat_baseline-GT_CHHS-COVID19,beat_baseline-Geneva-DetGrowth,beat_baseline-Google_Harvard-CPF,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-NotreDame-FRED,beat_baseline-NotreDame-mobility,beat_baseline-OliverWyman-Navigator,beat_baseline-PSI-DRAFT,beat_baseline-QJHong-Encounter,beat_baseline-RPI_UW-Mob_Collision,beat_baseline-RobertWalraven-ESG,beat_baseline-STH-3PU,beat_baseline-SteveMcConnell-CovidComplete,beat_baseline-UA-EpiCovDA,beat_baseline-UCLA-SuEIR,beat_baseline-UCM_MESALab-FoGSEIR,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-WalmartLabsML-LogForecasting,beat_baseline-YYG-ParamSearch,beat_baseline-epiforecasts-ensemble1
Missouri,1668,1601.6,1604.6,1604.0,1605.0,1596.0,1650.0,,1591.5,1615.0,1594.1,1607.3,,1603.6,1521.1,1655.5,1577.0,1585.8,1536.2,1598.4,1594.2,1592.7,1601.3,1599.0,,1624.6,1597.9,1596.0,,1525.1,1568.5,,1597.0,1590.0,1602.3,,1598.0,1572.4,1649.1,1599.0,,1592.5,1543.0,-66.4,-63.4,-64.0,-63.0,-72.0,-18.0,,-76.5,-53.0,-73.9,-60.7,,-64.4,-146.9,-12.5,-91.0,-82.2,-131.8,-69.6,-73.8,-75.3,-66.7,-69.0,,-43.4,-70.1,-72.0,,-142.9,-99.5,,-71.0,-78.0,-65.7,,-70.0,-95.6,-18.9,-69.0,,-75.5,-125.0,True,True,True,False,True,,False,True,False,True,,True,False,True,False,False,False,False,False,False,False,False,,True,False,False,,False,False,,False,False,True,,False,False,True,False,,False,False
Montana,116,116.0,118.8,118.0,118.0,114.0,104.0,,115.9,113.0,114.3,120.5,,123.2,120.2,97.7,112.0,114.4,106.6,121.9,114.5,113.9,110.7,117.8,,112.8,117.9,111.0,,,114.7,,115.0,113.0,117.1,,114.0,109.0,113.0,116.0,,113.1,103.0,0.0,2.8,2.0,2.0,-2.0,-12.0,,-0.1,-3.0,-1.7,4.5,,7.2,4.2,-18.3,-4.0,-1.6,-9.4,5.9,-1.5,-2.1,-5.3,1.8,,-3.2,1.9,-5.0,,,-1.3,,-1.0,-3.0,1.1,,-2.0,-7.0,-3.0,0.0,,-2.9,-13.0,False,False,False,False,False,,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,,,False,,False,False,False,,False,False,False,True,,False,False
Nebraska,404,404.0,407.9,405.0,408.0,407.0,416.0,,408.3,404.0,410.6,406.0,,408.6,419.4,407.0,410.0,407.5,404.6,417.7,411.0,407.0,403.8,405.3,,407.3,405.7,410.0,,,397.4,,407.0,405.0,406.9,,405.0,403.7,409.5,407.0,,406.1,414.0,0.0,3.9,1.0,4.0,3.0,12.0,,4.3,0.0,6.6,2.0,,4.6,15.4,3.0,6.0,3.5,0.6,13.7,7.0,3.0,-0.2,1.3,,3.3,1.7,6.0,,,-6.6,,3.0,1.0,2.9,,1.0,-0.3,5.5,3.0,,2.1,10.0,False,False,False,False,False,,False,True,False,False,,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,,,False,,False,False,False,,False,False,False,False,,False,False
Nevada,1388,1392.0,1406.9,1404.0,1407.0,1387.0,1374.0,,1386.2,1372.0,1403.4,1377.2,,1402.7,1405.8,1450.1,1423.0,1400.5,1322.0,1375.2,1398.4,1382.0,1374.6,1362.9,,1386.0,1396.0,1390.0,,1449.3,1407.5,,1411.0,1380.0,1405.3,,1372.0,1379.9,1383.6,1400.0,,1386.6,1318.0,4.0,18.9,16.0,19.0,-1.0,-14.0,,-1.8,-16.0,15.4,-10.8,,14.7,17.8,62.1,35.0,12.5,-66.0,-12.8,10.4,-6.0,-13.4,-25.1,,-2.0,8.0,2.0,,61.3,19.5,,23.0,-8.0,17.3,,-16.0,-8.1,-4.4,12.0,,-1.4,-70.0,False,False,False,True,False,,True,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,,True,False,True,,False,False,,False,False,False,,False,False,False,False,,True,False
New Hampshire,432,434.6,435.1,435.0,435.0,435.0,432.0,,436.2,433.0,436.5,437.0,,435.0,433.3,430.3,441.0,435.4,435.6,437.8,435.1,435.1,432.0,437.1,,437.6,435.5,434.0,,,433.0,,436.0,434.0,435.5,,435.0,445.5,439.5,436.0,,436.0,,2.6,3.1,3.0,3.0,3.0,0.0,,4.2,1.0,4.5,5.0,,3.0,1.3,-1.7,9.0,3.4,3.6,5.8,3.1,3.1,0.0,5.1,,5.6,3.5,2.0,,,1.0,,4.0,2.0,3.5,,3.0,13.5,7.5,4.0,,4.0,,False,False,False,False,True,,False,True,False,False,,False,True,True,False,False,False,False,False,False,True,False,,False,False,True,,,True,,False,True,False,,False,False,False,False,,False,
New Jersey,15985,15929.3,15933.0,15967.0,15933.0,15965.0,15986.0,,15989.0,15950.0,15961.2,15996.8,,15960.9,15987.9,16002.6,16006.0,15941.9,16008.1,15969.7,15970.5,15965.0,15959.1,15952.2,,15983.6,15964.6,15945.0,,15966.9,15945.7,,15972.0,15971.0,15933.3,,15945.0,,16130.4,15933.0,,15966.9,16149.0,-55.7,-52.0,-18.0,-52.0,-20.0,1.0,,4.0,-35.0,-23.8,11.8,,-24.1,2.9,17.6,21.0,-43.1,23.1,-15.3,-14.5,-20.0,-25.9,-32.8,,-1.4,-20.4,-40.0,,-18.1,-39.3,,-13.0,-14.0,-51.7,,-40.0,,145.4,-52.0,,-18.1,164.0,True,True,True,True,True,,True,True,True,True,,True,True,True,True,True,True,True,True,True,True,True,,True,True,True,,True,True,,True,True,True,,True,,False,True,,True,False
New Mexico,800,791.4,794.2,795.0,795.0,793.0,778.0,,796.5,791.0,797.9,792.5,,794.8,793.3,800.6,814.0,792.6,781.3,798.4,789.6,790.5,789.2,802.0,,793.8,792.8,805.0,,,787.9,,799.0,793.0,793.4,,788.0,791.5,796.8,794.0,,792.1,767.0,-8.6,-5.8,-5.0,-5.0,-7.0,-22.0,,-3.5,-9.0,-2.1,-7.5,,-5.2,-6.7,0.6,14.0,-7.4,-18.7,-1.6,-10.4,-9.5,-10.8,2.0,,-6.2,-7.2,5.0,,,-12.1,,-1.0,-7.0,-6.6,,-12.0,-8.5,-3.2,-6.0,,-7.9,-33.0,True,True,True,True,False,,True,False,True,True,,True,True,True,False,True,False,True,False,False,False,True,,True,True,True,,,False,,True,True,True,,False,True,True,True,,True,False
New York,32987,33009.3,33008.7,33003.0,33005.0,33001.0,33012.0,,32963.2,32955.0,32992.3,33020.1,,33006.8,32930.9,32938.5,33048.0,32970.9,33079.7,32636.6,32995.6,32994.5,32995.1,33035.0,,33003.6,33003.1,32965.0,,32983.3,32987.3,,32975.0,33001.0,33000.2,,33001.0,,33208.0,32995.0,,33004.4,33129.0,-19.7,-20.3,-26.0,-24.0,-28.0,-17.0,,-65.8,-74.0,-36.7,-8.9,,-22.2,-98.1,-90.5,19.0,-58.1,50.7,-392.4,-33.4,-34.5,-33.9,6.0,,-25.4,-25.9,-64.0,,-45.7,-41.7,,-54.0,-28.0,-28.8,,-28.0,,179.0,-34.0,,-24.6,100.0,False,False,False,False,True,,False,False,False,True,,False,False,False,True,False,False,False,False,False,False,True,,False,False,False,,False,False,,False,False,False,,False,,False,False,,False,False
North Carolina,2889,2830.0,2840.7,2846.0,2845.0,2832.0,2888.0,,2852.6,2848.0,2846.6,2829.8,,2823.5,2814.9,2833.8,2831.0,2843.3,2744.7,2886.6,2834.4,2818.6,2849.1,2880.0,,2795.2,2850.1,2831.0,,2846.2,2805.4,,2854.0,2821.0,2839.7,,2824.0,2789.3,2817.0,2848.0,,2825.3,2682.0,-59.0,-48.3,-43.0,-44.0,-57.0,-1.0,,-36.4,-41.0,-42.4,-59.2,,-65.5,-74.1,-55.2,-58.0,-45.7,-144.3,-2.4,-54.6,-70.4,-39.9,-9.0,,-93.8,-38.9,-58.0,,-42.8,-83.6,,-35.0,-68.0,-49.3,,-65.0,-99.7,-72.0,-41.0,,-63.7,-207.0,True,True,True,True,True,,True,True,True,False,,False,False,True,True,True,False,True,True,False,True,True,,False,True,True,,True,False,,True,False,True,,False,False,False,True,,False,False
North Dakota,155,147.1,146.5,148.0,147.0,151.0,153.0,,151.2,143.0,151.8,,,141.6,154.6,156.3,149.0,154.0,153.1,156.4,154.5,153.7,151.9,148.7,,156.5,148.8,153.0,,,146.3,,148.0,147.0,142.1,,154.0,146.9,152.7,150.0,,151.8,142.0,-7.9,-8.5,-7.0,-8.0,-4.0,-2.0,,-3.8,-12.0,-3.2,,,-13.4,-0.4,1.3,-6.0,-1.0,-1.9,1.4,-0.5,-1.3,-3.1,-6.3,,1.5,-6.2,-2.0,,,-8.7,,-7.0,-8.0,-12.9,,-1.0,-8.1,-2.3,-5.0,,-3.2,-13.0,False,True,False,True,True,,True,False,True,,,False,True,True,True,True,True,True,True,True,True,True,,True,True,True,,,False,,True,False,False,,True,False,True,True,,True,False
Ohio,4256,4258.4,4529.2,4404.0,4529.0,4402.0,4387.0,,4334.9,4270.0,4292.2,4502.6,,4461.1,4401.7,4286.6,4252.0,4396.6,4237.9,4346.1,4394.3,4270.2,4356.0,4374.7,4404.5,4339.9,4266.5,4469.0,,4426.0,4435.3,,4398.0,4236.0,4508.8,,4251.0,4385.3,4339.3,4412.0,,4234.8,4355.0,2.4,273.2,148.0,273.0,146.0,131.0,,78.9,14.0,36.2,246.6,,205.1,145.7,30.6,-4.0,140.6,-18.1,90.1,138.3,14.2,100.0,118.7,148.5,83.9,10.5,213.0,,170.0,179.3,,142.0,-20.0,252.8,,-5.0,129.3,83.3,156.0,,-21.2,99.0,False,False,False,False,False,,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,,False,False,False,,False,False,False,False,,False,False
Oklahoma,850,861.6,869.6,868.0,869.0,862.0,862.0,,871.5,850.0,861.8,861.1,,862.0,863.5,866.2,856.0,857.9,820.1,888.3,856.3,863.8,861.2,880.8,,834.4,880.6,900.0,,,834.3,,866.0,847.0,864.8,,849.0,850.9,855.6,864.0,,850.8,796.0,11.6,19.6,18.0,19.0,12.0,12.0,,21.5,0.0,11.8,11.1,,12.0,13.5,16.2,6.0,7.9,-29.9,38.3,6.3,13.8,11.2,30.8,,-15.6,30.6,50.0,,,-15.7,,16.0,-3.0,14.8,,-1.0,0.9,5.6,14.0,,0.8,-54.0,False,False,False,False,False,,False,True,False,True,,False,False,False,True,True,False,False,True,False,True,False,,False,False,False,,,False,,False,True,False,,True,True,True,False,,True,False
Oregon,480,493.1,490.1,491.0,491.0,485.0,470.0,,484.8,481.0,487.1,486.3,,502.8,485.7,474.3,477.0,482.3,461.9,505.5,484.4,479.1,485.3,490.2,,480.8,491.8,482.0,,,484.2,,486.0,503.0,489.3,,483.0,474.0,486.0,483.0,,485.3,449.0,13.1,10.1,11.0,11.0,5.0,-10.0,,4.8,1.0,7.1,6.3,,22.8,5.7,-5.7,-3.0,2.3,-18.1,25.5,4.4,-0.9,5.3,10.2,,0.8,11.8,2.0,,,4.2,,6.0,23.0,9.3,,3.0,-6.0,6.0,3.0,,5.3,-31.0,True,True,True,True,True,,True,True,True,True,,False,True,True,True,True,False,False,True,True,True,True,,True,True,True,,,True,,True,False,True,,True,True,True,True,,True,False
Pennsylvania,7750,7744.6,7757.5,7754.0,7757.0,7752.0,7742.0,,7784.6,7744.0,7745.7,7789.2,,7758.7,7749.2,7818.4,7707.0,7757.0,7760.3,7812.3,7765.9,7739.0,7729.1,7723.4,,7781.3,7749.7,7677.0,,7780.0,7720.1,,7754.0,7728.0,7750.0,,7737.0,7812.6,7906.2,7754.0,,7741.6,7693.0,-5.4,7.5,4.0,7.0,2.0,-8.0,,34.6,-6.0,-4.3,39.2,,8.7,-0.8,68.4,-43.0,7.0,10.3,62.3,15.9,-11.0,-20.9,-26.6,,31.3,-0.3,-73.0,,30.0,-29.9,,4.0,-22.0,0.0,,-13.0,62.6,156.2,4.0,,-8.4,-57.0,False,True,False,True,False,,False,False,True,False,,False,True,False,False,False,False,False,False,False,False,False,,False,True,False,,False,False,,True,False,True,,False,False,False,True,,False,False
Rhode Island,1069,1059.7,1062.9,,1062.0,1060.0,1053.0,,1055.4,1048.0,1056.8,1054.7,,1058.8,1067.7,1044.7,1070.0,1059.3,1063.1,1035.0,1060.0,1050.3,1052.4,1065.8,,1060.9,1062.5,1048.0,,1052.7,1083.5,,1058.0,1056.0,1060.8,,1054.0,1075.0,1069.5,1060.0,,1055.5,1048.0,-9.3,-6.1,,-7.0,-9.0,-16.0,,-13.6,-21.0,-12.2,-14.3,,-10.2,-1.3,-24.3,1.0,-9.7,-5.9,-34.0,-9.0,-18.7,-16.6,-3.2,,-8.1,-6.5,-21.0,,-16.3,14.5,,-11.0,-13.0,-8.2,,-15.0,6.0,0.5,-9.0,,-13.5,-21.0,True,,True,True,False,,False,False,False,False,,False,True,False,True,False,True,False,True,False,False,True,,True,True,False,,False,False,,False,False,True,,False,True,True,True,,False,False
South Carolina,2877,2884.7,2901.6,2896.0,2903.0,2873.0,2840.0,,2896.8,2884.0,2893.4,2754.6,,2917.5,2905.0,2872.8,2853.0,2875.1,2715.1,2844.1,2869.9,2917.2,2869.5,2845.5,,2839.3,2886.9,2865.0,,2892.8,2892.5,,2905.0,2832.0,2894.4,,2869.0,2847.3,2825.8,2894.0,,2868.5,2881.0,7.7,24.6,19.0,26.0,-4.0,-37.0,,19.8,7.0,16.4,-122.4,,40.5,28.0,-4.2,-24.0,-1.9,-161.9,-32.9,-7.1,40.2,-7.5,-31.5,,-37.7,9.9,-12.0,,15.8,15.5,,28.0,-45.0,17.4,,-8.0,-29.7,-51.2,17.0,,-8.5,4.0,False,False,False,True,False,,False,True,False,False,,False,False,True,False,True,False,False,True,False,True,False,,False,False,False,,False,False,,False,False,False,,False,False,False,False,,False,True
South Dakota,173,172.1,173.9,174.0,174.0,175.0,171.0,,174.0,170.0,175.9,175.0,,174.6,178.4,172.3,177.0,177.8,177.9,176.2,179.6,184.2,174.7,173.6,,176.1,175.4,170.0,,,176.4,,176.0,175.0,168.3,,180.0,174.0,174.8,176.0,,175.3,169.0,-0.9,0.9,1.0,1.0,2.0,-2.0,,1.0,-3.0,2.9,2.0,,1.6,5.4,-0.7,4.0,4.8,4.9,3.2,6.6,11.2,1.7,0.6,,3.1,2.4,-3.0,,,3.4,,3.0,2.0,-4.7,,7.0,1.0,1.8,3.0,,2.3,-4.0,False,False,False,False,False,,False,False,False,False,,False,False,True,False,False,False,False,False,False,False,True,,False,False,False,,,False,,False,False,False,,False,False,False,False,,False,False
Tennessee,1862,1901.3,1863.2,1885.0,1887.0,1873.0,1888.0,,1906.7,1865.0,1898.1,,,1890.7,1838.5,1955.6,1870.0,1881.4,1762.4,1890.1,1866.6,1870.1,1905.2,1843.5,,1842.0,1890.5,1912.5,,1933.5,1822.5,,1907.0,1877.0,1884.1,,1869.0,1842.2,1852.6,1891.0,,1877.8,1764.0,39.3,1.2,23.0,25.0,11.0,26.0,,44.7,3.0,36.1,,,28.7,-23.5,93.6,8.0,19.4,-99.6,28.1,4.6,8.1,43.2,-18.5,,-20.0,28.5,50.5,,71.5,-39.5,,45.0,15.0,22.1,,7.0,-19.8,-9.4,29.0,,15.8,-98.0,True,True,True,True,True,,False,True,True,,,True,True,False,True,True,False,True,True,True,False,True,,True,True,False,,False,False,,False,True,True,,True,True,True,True,,True,False
Texas,13582,13529.0,13662.7,13622.0,13636.0,13530.0,13469.0,,13741.5,13716.0,13536.8,13238.8,,13636.8,13494.1,14129.4,13774.0,13714.3,13008.5,13359.3,13664.9,13309.4,13474.7,13422.4,,13426.6,13472.9,13619.0,,14434.8,13320.7,13228.0,13823.0,14162.0,13593.2,,13434.0,13321.4,13538.1,13508.0,,13529.9,12829.0,-48.0,85.7,45.0,59.0,-47.0,-108.0,,164.5,139.0,-40.2,-338.2,,59.8,-82.9,552.4,197.0,137.3,-568.5,-217.7,87.9,-267.6,-102.3,-154.6,,-150.4,-104.1,42.0,,857.8,-256.3,-349.0,246.0,585.0,16.2,,-143.0,-255.6,-38.9,-69.0,,-47.1,-748.0,False,True,False,True,False,,False,False,True,False,,False,False,False,False,False,False,False,False,False,False,False,,False,False,True,,False,False,False,False,False,True,,False,False,True,False,,True,False
Utah,420,425.9,428.9,429.0,429.0,427.0,427.0,,431.7,420.0,427.8,425.8,,431.8,347.4,424.5,432.0,427.5,347.6,441.2,428.0,426.2,424.6,427.8,,430.7,427.9,426.0,,,416.2,,429.0,421.0,429.2,,424.0,423.2,421.6,429.0,,427.8,425.0,5.9,8.9,9.0,9.0,7.0,7.0,,11.7,0.0,7.8,5.8,,11.8,-72.6,4.5,12.0,7.5,-72.4,21.2,8.0,6.2,4.6,7.8,,10.7,7.9,6.0,,,-3.8,,9.0,1.0,9.2,,4.0,3.2,1.6,9.0,,7.8,5.0,False,False,False,False,False,,False,True,False,True,,False,False,True,False,False,False,False,False,False,True,False,,False,False,False,,,True,,False,True,False,,True,True,True,False,,False,True
Vermont,58,58.0,58.0,58.0,58.0,58.0,58.0,,58.4,58.0,58.4,58.4,,58.0,60.0,58.2,58.0,58.2,58.8,59.8,58.4,58.7,58.0,58.5,,58.5,58.1,58.0,,,58.0,,58.0,58.0,58.0,,58.0,,59.3,58.0,,58.7,,0.0,0.0,0.0,0.0,0.0,0.0,,0.4,0.0,0.4,0.4,,0.0,2.0,0.2,0.0,0.2,0.8,1.8,0.4,0.7,0.0,0.5,,0.5,0.1,0.0,,,0.0,,0.0,0.0,0.0,,0.0,,1.3,0.0,,0.7,,True,True,True,True,True,,False,True,False,False,,True,False,False,True,False,False,False,False,False,True,False,,False,False,True,,,True,,True,True,True,,True,,False,True,,False,
Virginia,2677,2656.4,2688.7,2689.0,2693.0,2647.0,2647.0,,2668.3,2612.0,2650.2,2656.7,,2683.3,2662.5,2502.7,2649.0,2664.3,2639.5,2686.5,2645.7,2637.1,2653.9,2636.3,,2626.6,2667.0,2647.0,,2646.2,2622.3,,2660.0,2641.0,2680.5,,2645.0,2643.4,2693.2,2672.0,,2634.0,2548.0,-20.6,11.7,12.0,16.0,-30.0,-30.0,,-8.7,-65.0,-26.8,-20.3,,6.3,-14.5,-174.3,-28.0,-12.7,-37.5,9.5,-31.3,-39.9,-23.1,-40.7,,-50.4,-10.0,-30.0,,-30.8,-54.7,,-17.0,-36.0,3.5,,-32.0,-33.6,16.2,-5.0,,-43.0,-129.0,True,True,True,False,False,,True,False,False,True,,True,True,False,False,True,False,True,False,False,False,False,,False,True,False,,False,False,,True,False,True,,False,False,True,True,,False,False
Washington,1953,1941.0,1957.6,1956.0,1953.0,1960.0,1945.0,,1953.0,1982.0,1966.6,1942.6,,1951.1,1969.6,1990.3,1980.0,1967.1,1962.2,1975.2,1971.7,1957.4,1943.4,1961.7,,1954.4,1949.0,2017.0,,2005.2,1942.1,,1972.0,1984.0,1954.8,,1945.0,1947.6,1997.9,1963.0,,1965.0,1956.0,-12.0,4.6,3.0,0.0,7.0,-8.0,,-0.0,29.0,13.6,-10.4,,-1.9,16.6,37.3,27.0,14.1,9.2,22.2,18.7,4.4,-9.6,8.7,,1.4,-4.0,64.0,,52.2,-10.9,,19.0,31.0,1.8,,-8.0,-5.4,44.9,10.0,,12.0,3.0,True,True,True,True,True,,True,False,False,True,,True,False,False,False,False,True,False,False,True,True,True,,True,True,False,,False,True,,False,False,True,,True,True,False,True,,False,True
West Virginia,246,244.0,253.7,252.0,253.0,240.0,222.0,,238.9,224.0,243.4,242.2,,253.7,240.8,199.9,215.0,238.4,208.1,237.5,236.2,239.7,233.5,256.5,,226.2,254.3,233.0,,,248.2,,240.0,235.0,248.8,,242.0,227.0,228.3,250.0,,234.2,216.0,-2.0,7.7,6.0,7.0,-6.0,-24.0,,-7.1,-22.0,-2.6,-3.8,,7.7,-5.2,-46.1,-31.0,-7.6,-37.9,-8.5,-9.8,-6.3,-12.5,10.5,,-19.8,8.3,-13.0,,,2.2,,-6.0,-11.0,2.8,,-4.0,-19.0,-17.7,4.0,,-11.8,-30.0,False,False,False,False,False,,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,,,False,,False,False,False,,False,False,False,False,,False,False
Wisconsin,1218,1157.1,1156.3,1157.0,1157.0,1158.0,1178.0,,1165.0,1179.0,1164.3,1149.0,,1159.1,1160.6,1155.5,1158.0,1160.2,1156.6,1207.9,1158.0,1154.9,1153.5,1158.8,1174.0,1167.4,1160.5,1182.0,,1157.6,1141.2,,1159.0,1152.0,1155.6,,1154.0,1148.1,1188.8,1161.0,,1162.8,1122.0,-0.9,-1.7,-1.0,-1.0,0.0,20.0,,7.0,21.0,6.3,-9.0,,1.1,2.6,-2.5,0.0,2.2,-1.4,49.9,0.0,-3.1,-4.5,0.8,16.0,9.4,2.5,24.0,,-0.4,-16.8,,1.0,-6.0,-2.4,,-4.0,-9.9,30.8,3.0,,4.8,-36.0,False,False,False,True,False,,False,False,False,False,,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,,True,False,,False,False,False,,False,False,False,False,,False,False
Wyoming,42,37.0,37.5,37.0,37.0,39.0,37.0,,40.8,39.0,40.3,40.4,,37.0,40.5,33.3,38.0,40.6,38.6,42.3,40.2,38.7,37.0,39.7,,39.4,38.5,43.0,,,39.1,,41.0,38.0,37.1,,39.0,38.5,39.2,39.0,,39.0,,-5.0,-4.5,-5.0,-5.0,-3.0,-5.0,,-1.2,-3.0,-1.7,-1.6,,-5.0,-1.5,-8.7,-4.0,-1.4,-3.4,0.3,-1.8,-3.3,-5.0,-2.3,,-2.6,-3.5,1.0,,,-2.9,,-1.0,-4.0,-4.9,,-3.0,-3.5,-2.8,-3.0,,-3.0,,True,False,False,True,False,,True,True,True,True,,True,True,False,True,True,True,True,True,True,False,True,,True,True,True,,,True,,True,True,True,,True,True,True,True,,True,
US,188609,188436.9,189194.7,,189172.0,188528.0,187877.0,188818.0,190457.4,188525.0,188853.6,188020.7,,189133.7,,188464.6,188640.0,188752.9,185164.0,187535.7,188807.0,187241.1,188349.0,187949.8,,187159.2,188441.1,188950.5,188653.4,189015.5,187188.8,188471.0,188589.0,189103.0,188910.1,187094.0,187954.0,188194.3,189253.4,188989.0,187020.0,188045.3,189192.0,-149.1,608.7,,586.0,-58.0,-709.0,232.0,1871.4,-61.0,267.6,-565.3,,547.7,,-121.4,54.0,166.9,-3422.0,-1050.3,221.0,-1344.9,-237.0,-636.2,,-1426.8,-144.9,364.5,67.4,429.5,-1397.2,-115.0,3.0,517.0,324.1,-1492.0,-632.0,-391.7,667.4,403.0,-1566.0,-540.7,606.0,False,,False,True,False,False,False,True,False,False,,False,,True,True,False,False,False,False,False,False,False,,False,True,False,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False
