,actual_deaths,Baseline,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,IHME-CurveFit,IowaStateLW-STEM,LANL-GrowthRate,MITCovAlliance-SIR,NotreDame-FRED,NotreDame-mobility,PSI-DRAFT,QJHong-Encounter,STH-3PU,UCLA-SuEIR,USACE-ERDC_SEIR,USC-SI_kJalpha,YYG-ParamSearch,error-Baseline,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-IHME-CurveFit,error-IowaStateLW-STEM,error-LANL-GrowthRate,error-MITCovAlliance-SIR,error-NotreDame-FRED,error-NotreDame-mobility,error-PSI-DRAFT,error-QJHong-Encounter,error-STH-3PU,error-UCLA-SuEIR,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,error-YYG-ParamSearch,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-LANL-GrowthRate,beat_baseline-MITCovAlliance-SIR,beat_baseline-NotreDame-FRED,beat_baseline-NotreDame-mobility,beat_baseline-PSI-DRAFT,beat_baseline-QJHong-Encounter,beat_baseline-STH-3PU,beat_baseline-UCLA-SuEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-YYG-ParamSearch
New Mexico,800,865.9,,789.6,767.0,784.0,741.0,734.5,781.5,,696.6,1011.0,,,847.7,993.9,814.0,848.1,65.9,,-10.4,-33.0,-16.0,-59.0,-65.5,-18.5,,-103.4,211.0,,,47.7,193.9,14.0,48.1,,True,True,True,True,True,True,,False,False,,,True,False,True,True
New York,32987,33420.7,,32818.2,32675.0,33998.6,33129.0,33136.4,28469.9,,32439.1,32919.0,,,33091.6,34743.2,33411.0,33262.6,432.7,,-169.8,-313.0,1010.6,141.0,148.4,-4518.1,,-548.9,-69.0,,,103.6,1755.2,423.0,274.6,,True,True,False,True,True,False,,False,True,,,True,False,True,True
North Carolina,2889,2783.4,,2892.4,3378.0,2471.0,2407.0,2303.3,2191.0,,2208.3,2894.5,,,2729.2,2974.1,2457.0,2772.5,-105.6,,3.4,489.0,-418.0,-482.0,-585.7,-698.0,,-680.7,5.5,,,-159.8,85.1,-432.0,-116.5,,True,False,False,False,False,False,,False,True,,,False,True,False,False
North Dakota,155,140.0,,166.0,118.0,131.2,113.0,132.2,163.9,,118.0,157.0,,,196.8,192.5,177.0,152.0,-15.0,,11.0,-37.0,-23.8,-42.0,-22.8,8.9,,-37.0,2.0,,,41.8,37.5,22.0,-3.0,,True,False,False,False,False,True,,False,True,,,False,False,False,True
Ohio,4256,4086.0,,4289.8,4210.0,3678.0,3705.0,3702.6,4421.1,4541.0,3683.3,3583.0,,,4421.9,5312.3,4100.0,4214.8,-170.0,,33.8,-46.0,-578.0,-551.0,-553.4,165.1,285.0,-572.7,-673.0,,,165.9,1056.3,-156.0,-41.2,,True,True,False,False,False,True,False,False,False,,,True,False,True,True
Oklahoma,850,759.6,,905.6,864.0,799.3,781.0,766.4,673.9,,582.0,1526.0,,,730.3,1230.1,906.0,726.2,-90.4,,55.6,14.0,-50.7,-69.0,-83.6,-176.1,,-268.0,676.0,,,-119.7,380.1,56.0,-123.8,,True,True,True,True,True,False,,False,False,,,False,False,True,False
Oregon,480,458.9,,463.5,481.0,450.7,371.0,410.0,640.2,,498.3,727.5,,,404.5,513.8,452.0,532.3,-21.1,,-16.5,1.0,-29.3,-109.0,-70.0,160.2,,18.3,247.5,,,-75.5,33.8,-28.0,52.3,,True,True,False,False,False,False,,True,False,,,False,False,False,False
Pennsylvania,7750,7742.0,,7770.0,7466.0,7660.9,7673.0,7503.1,8013.4,,7510.7,7360.0,,,7705.7,9513.0,7755.0,7954.2,-8.0,,20.0,-284.0,-89.1,-77.0,-246.9,263.4,,-239.3,-390.0,,,-44.3,1763.0,5.0,204.2,,False,False,False,False,False,False,,False,False,,,False,False,True,False
Rhode Island,1069,1072.3,,1135.0,1033.0,1060.1,1103.0,1085.2,1050.4,,1040.8,1015.0,,,1072.5,1136.4,1056.0,1092.9,3.3,,66.0,-36.0,-8.9,34.0,16.2,-18.6,,-28.2,-54.0,,,3.5,67.4,-13.0,23.9,,False,False,False,False,False,False,,False,False,,,False,False,False,False
South Carolina,2877,3459.0,,2474.1,2939.0,2048.0,2323.0,2499.7,1605.6,,3190.5,7153.0,,,3336.9,2531.7,2970.0,3248.1,582.0,,-402.9,62.0,-829.0,-554.0,-377.3,-1271.4,,313.5,4276.0,,,459.9,-345.3,93.0,371.1,,True,True,False,True,True,False,,True,False,,,True,True,True,True
South Dakota,173,152.3,,140.8,153.0,179.9,175.0,160.6,176.8,,189.4,177.0,,,180.6,172.9,172.0,167.2,-20.7,,-32.2,-20.0,6.9,2.0,-12.4,3.8,,16.4,4.0,,,7.6,-0.1,-1.0,-5.8,,False,True,True,True,True,True,,True,True,,,True,True,True,True
Tennessee,1862,1693.3,,2443.7,1955.0,1576.3,1546.0,1715.7,1586.1,,1625.8,1555.5,,,1652.8,1811.3,1552.0,1701.9,-168.7,,581.7,93.0,-285.7,-316.0,-146.3,-275.9,,-236.2,-306.5,,,-209.2,-50.7,-310.0,-160.1,,False,True,False,False,True,False,,False,False,,,False,True,False,True
Texas,13582,11308.0,,11221.0,10696.0,13244.7,12656.0,6965.3,5863.8,,11938.6,31897.5,,10848.0,10340.7,8699.0,8727.0,11112.7,-1541.0,,-1628.0,-2153.0,395.7,-193.0,-5883.7,-6985.2,,-910.4,19048.5,,-2001.0,-2508.3,-4150.0,-4122.0,-1736.3,,False,False,True,True,False,False,,True,False,,False,False,False,False,False
Utah,420,455.6,,644.2,526.0,524.0,431.0,358.4,328.6,,568.7,808.0,,,434.2,396.7,380.0,521.0,35.6,,224.2,106.0,104.0,11.0,-61.6,-91.4,,148.7,388.0,,,14.2,-23.3,-40.0,101.0,,False,False,False,True,False,False,,False,False,,,True,True,False,False
Vermont,58,56.0,,61.5,56.0,56.7,56.0,58.3,59.5,,64.7,56.0,,,56.9,70.1,56.0,61.3,-2.0,,3.5,-2.0,-1.3,-2.0,0.3,1.5,,6.7,-2.0,,,-1.1,12.1,-2.0,3.3,,False,False,True,False,True,True,,False,False,,,True,False,False,False
Virginia,2677,2376.7,,2601.4,2282.0,2378.6,2309.0,2360.2,2535.5,,2402.2,2283.0,,,2366.2,3114.2,2142.0,2522.7,-300.3,,-75.6,-395.0,-298.4,-368.0,-316.8,-141.5,,-274.8,-394.0,,,-310.8,437.2,-535.0,-154.3,,True,False,True,False,False,True,,True,False,,,False,False,False,True
Washington,1953,1817.3,,1972.0,2061.0,2036.2,1762.0,1671.6,2290.2,,1762.1,1779.5,,,1892.4,2394.8,1787.0,1739.2,-135.7,,19.0,108.0,83.2,-191.0,-281.4,337.2,,-190.9,-173.5,,,-60.6,441.8,-166.0,-213.8,,True,True,True,False,False,False,,False,False,,,True,False,False,False
West Virginia,246,120.6,,194.3,164.0,114.8,114.0,125.0,133.3,,132.5,105.0,,,115.8,209.9,125.0,128.9,-125.4,,-51.7,-82.0,-131.2,-132.0,-121.0,-112.7,,-113.5,-141.0,,,-130.2,-36.1,-121.0,-117.1,,True,True,False,False,True,True,,True,False,,,False,True,True,True
Wisconsin,1218,1173.1,,1435.5,1114.0,968.0,1022.0,1037.7,1126.3,1221.5,971.8,947.0,,,1228.1,1615.6,1176.0,1297.6,4.1,,266.5,-55.0,-201.0,-147.0,-131.3,-42.7,52.5,-197.2,-222.0,,,59.1,446.6,7.0,128.6,,False,False,False,False,False,False,False,False,False,,,False,False,False,False
Wyoming,42,25.0,,52.7,39.0,21.5,26.0,33.1,43.7,,90.2,27.0,,,25.9,44.8,37.0,32.0,-17.0,,10.7,-3.0,-20.5,-16.0,-8.9,1.7,,48.2,-15.0,,,-16.1,2.8,-5.0,-10.0,,True,True,False,True,True,True,,False,True,,,True,True,True,True
US,188609,184426.6,179570.0,185434.0,185836.0,184125.8,176915.0,167883.2,163620.9,,177260.6,229479.0,195622.9,206923.0,183258.6,204298.7,171816.0,185601.1,-3401.4,-8258.0,-2394.0,-1992.0,-3702.2,-10913.0,-19944.8,-24207.1,,-10567.4,41651.0,7794.9,19095.0,-4569.4,16470.7,-16012.0,-2226.9,False,True,True,False,False,False,False,,False,False,False,False,False,False,False,True
