,actual_deaths,Baseline,Auquan-SEIR,CEID-Walk,CMU-TimeSeries,COVIDhub-baseline,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,GT-DeepCOVID,GT_CHHS-COVID19,Google_Harvard-CPF,IHME-CurveFit,IowaStateLW-STEM,JCB-PRM,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MOBS-GLEAM_COVID,NotreDame-FRED,NotreDame-mobility,OliverWyman-Navigator,PSI-DRAFT,QJHong-Encounter,RPI_UW-Mob_Collision,RobertWalraven-ESG,STH-3PU,SteveMcConnell-CovidComplete,TTU-squider,UA-EpiCovDA,UCLA-SuEIR,UCM_MESALab-FoGSEIR,UMass-MechBayes,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,UT-Mobility,WalmartLabsML-LogForecasting,YYG-ParamSearch,epiforecasts-ensemble1,error-Baseline,error-Auquan-SEIR,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-baseline,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-GT-DeepCOVID,error-GT_CHHS-COVID19,error-Google_Harvard-CPF,error-IHME-CurveFit,error-IowaStateLW-STEM,error-JCB-PRM,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MOBS-GLEAM_COVID,error-NotreDame-FRED,error-NotreDame-mobility,error-OliverWyman-Navigator,error-PSI-DRAFT,error-QJHong-Encounter,error-RPI_UW-Mob_Collision,error-RobertWalraven-ESG,error-STH-3PU,error-SteveMcConnell-CovidComplete,error-TTU-squider,error-UA-EpiCovDA,error-UCLA-SuEIR,error-UCM_MESALab-FoGSEIR,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,error-UT-Mobility,error-WalmartLabsML-LogForecasting,error-YYG-ParamSearch,error-epiforecasts-ensemble1,beat_baseline-Auquan-SEIR,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-baseline,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-GT-DeepCOVID,beat_baseline-GT_CHHS-COVID19,beat_baseline-Google_Harvard-CPF,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-NotreDame-FRED,beat_baseline-NotreDame-mobility,beat_baseline-OliverWyman-Navigator,beat_baseline-PSI-DRAFT,beat_baseline-QJHong-Encounter,beat_baseline-RPI_UW-Mob_Collision,beat_baseline-RobertWalraven-ESG,beat_baseline-STH-3PU,beat_baseline-SteveMcConnell-CovidComplete,beat_baseline-TTU-squider,beat_baseline-UA-EpiCovDA,beat_baseline-UCLA-SuEIR,beat_baseline-UCM_MESALab-FoGSEIR,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-UT-Mobility,beat_baseline-WalmartLabsML-LogForecasting,beat_baseline-YYG-ParamSearch,beat_baseline-epiforecasts-ensemble1
Mississippi,2569,2529.7,2592.0,2543.2,2549.0,2551.0,2532.0,2406.0,,2036.2,2506.0,2579.3,2469.6,,2502.6,2529.2,2554.0,2567.6,2463.7,2538.3,2527.7,2471.6,2529.6,,2566.8,2538.2,2537.0,,2708.5,2414.6,,2585.0,1986.6,2528.0,2535.3,,2481.0,2496.1,2557.2,2487.0,2592.0,,2500.6,2460.0,-39.3,23.0,-25.8,-20.0,-18.0,-37.0,-163.0,,-532.8,-63.0,10.3,-99.4,,-66.4,-39.8,-15.0,-1.4,-105.3,-30.7,-41.3,-97.4,-39.4,,-2.2,-30.8,-32.0,,139.5,-154.4,,16.0,-582.4,-41.0,-33.7,,-88.0,-72.9,-11.8,-82.0,23.0,,-68.4,-109.0,True,True,True,True,True,False,,False,False,True,False,,False,False,True,True,False,True,False,False,False,,True,True,True,,False,False,,True,False,False,True,,False,False,True,False,True,,False,False
Missouri,1668,1583.0,1718.0,1599.5,1625.0,1597.0,1578.0,1728.0,,1696.6,1652.0,1578.5,1596.0,,1647.4,1536.2,1575.0,1604.0,1612.1,1577.5,1537.0,1567.2,1549.6,,1594.4,1584.0,1588.0,,1522.4,1531.1,,1575.0,1998.9,1556.0,1586.9,,1549.0,1564.4,1706.5,1585.0,1594.0,,1568.0,1513.0,-85.0,50.0,-68.5,-43.0,-71.0,-90.0,60.0,,28.6,-16.0,-89.5,-72.0,,-20.6,-131.8,-93.0,-64.0,-55.9,-90.5,-131.0,-100.8,-118.4,,-73.6,-84.0,-80.0,,-145.6,-136.9,,-93.0,330.9,-112.0,-81.1,,-119.0,-103.6,38.5,-83.0,-74.0,,-100.0,-155.0,True,True,True,True,False,True,,True,True,False,True,,True,False,False,True,True,False,False,False,False,,True,True,True,,False,False,,False,False,False,True,,False,False,True,True,True,,False,False
Montana,116,104.9,112.0,104.7,104.0,106.0,108.0,90.0,,99.1,108.0,111.1,110.0,,121.1,110.2,112.0,110.3,128.3,111.7,105.2,96.7,110.9,,125.0,108.3,94.0,,,96.4,,105.0,168.0,107.0,105.1,,107.0,98.4,110.2,97.0,108.0,,108.2,101.0,-11.1,-4.0,-11.3,-12.0,-10.0,-8.0,-26.0,,-16.9,-8.0,-4.9,-6.0,,5.1,-5.8,-4.0,-5.7,12.3,-4.3,-10.8,-19.3,-5.1,,9.0,-7.7,-22.0,,,-19.6,,-11.0,52.0,-9.0,-10.9,,-9.0,-17.6,-5.8,-19.0,-8.0,,-7.8,-15.0,True,False,False,True,True,False,,False,True,True,True,,True,True,True,True,False,True,True,False,True,,True,True,False,,,False,,True,False,True,True,,True,False,True,False,True,,True,False
Nebraska,404,409.6,488.0,406.0,408.0,406.0,406.0,416.0,,428.8,398.0,412.4,401.8,,416.4,412.0,409.0,408.9,438.5,414.2,393.0,400.4,406.9,,407.8,405.9,396.0,,,393.0,,403.0,410.9,419.0,402.5,,402.0,406.6,417.9,409.0,430.0,,407.9,404.0,5.6,84.0,2.0,4.0,2.0,2.0,12.0,,24.8,-6.0,8.4,-2.2,,12.4,8.0,5.0,4.9,34.5,10.2,-11.0,-3.6,2.9,,3.8,1.9,-8.0,,,-11.0,,-1.0,6.9,15.0,-1.5,,-2.0,2.6,13.9,5.0,26.0,,3.9,0.0,False,True,True,True,True,False,,False,False,False,True,,False,False,True,True,False,False,False,True,True,,True,True,False,,,False,,True,False,False,True,,True,True,False,True,False,,True,True
Nevada,1388,1429.1,1441.0,1456.3,1506.0,1453.0,1386.0,1399.0,,1213.7,1361.0,1429.9,1382.9,,1430.1,1393.3,1458.0,1414.9,1392.7,1402.3,1366.6,1378.2,1344.7,,1384.1,1446.9,1527.0,,1564.7,1239.3,,1435.0,1390.2,1357.0,1434.5,,1352.0,1358.5,1377.7,1426.0,1619.0,,1388.6,1349.0,41.1,53.0,68.3,118.0,65.0,-2.0,11.0,,-174.3,-27.0,41.9,-5.1,,42.1,5.3,70.0,26.9,4.7,14.3,-21.4,-9.8,-43.3,,-3.9,58.9,139.0,,176.7,-148.7,,47.0,2.2,-31.0,46.5,,-36.0,-29.5,-10.3,38.0,231.0,,0.6,-39.0,False,False,False,False,True,True,,False,True,False,True,,False,True,False,True,True,True,True,True,False,,True,False,False,,False,False,,False,True,True,False,,True,True,True,True,False,,True,True
New Hampshire,432,440.1,452.0,440.5,440.0,441.5,438.0,429.0,,416.6,432.0,439.0,440.9,,435.0,423.9,440.0,438.0,442.1,434.1,435.2,430.9,443.6,,434.8,440.4,433.0,,,434.1,,439.0,591.5,436.0,441.6,,435.0,461.3,448.2,435.0,436.0,,441.6,429.0,8.1,20.0,8.5,8.0,9.5,6.0,-3.0,,-15.4,0.0,7.0,8.9,,3.0,-8.1,8.0,6.0,10.1,2.1,3.2,-1.1,11.6,,2.8,8.4,1.0,,,2.1,,7.0,159.5,4.0,9.6,,3.0,29.3,16.2,3.0,4.0,,9.6,-3.0,False,False,True,False,True,True,,False,True,True,False,,True,True,True,True,False,True,True,True,False,,True,False,True,,,True,,True,False,True,False,,True,False,False,True,True,,False,True
New Jersey,15985,16009.1,16547.0,16007.0,16018.0,16047.1,16022.0,16096.0,,15789.5,15986.0,16027.1,16153.1,,16005.1,15975.0,16086.0,15986.7,16039.9,16026.3,16015.3,15992.5,15987.3,,16046.8,15998.7,15962.0,,16044.7,16111.5,,16041.0,16787.3,16029.0,16003.9,,15990.0,,16367.4,16011.0,15993.0,,16011.7,16120.0,24.1,562.0,22.0,33.0,62.1,37.0,111.0,,-195.5,1.0,42.1,168.1,,20.1,-10.0,101.0,1.7,54.9,41.3,30.3,7.5,2.3,,61.8,13.7,-23.0,,59.7,126.5,,56.0,802.3,44.0,18.9,,5.0,,382.4,26.0,8.0,,26.7,135.0,False,True,False,False,False,False,,False,True,False,False,,True,True,False,True,False,False,False,True,True,,False,True,True,,False,False,,False,False,False,True,,True,,False,False,True,,False,False
New Mexico,800,802.6,827.0,805.9,821.0,807.0,797.0,771.0,,731.0,796.0,805.7,792.6,,797.7,781.4,835.0,794.3,806.4,786.6,790.6,780.8,815.2,,786.7,801.3,782.0,,,775.3,,807.0,994.6,833.0,798.5,,787.0,803.1,811.1,789.0,810.0,,802.7,767.0,2.6,27.0,5.9,21.0,7.0,-3.0,-29.0,,-69.0,-4.0,5.7,-7.4,,-2.3,-18.6,35.0,-5.7,6.4,-13.4,-9.4,-19.2,15.2,,-13.3,1.3,-18.0,,,-24.7,,7.0,194.6,33.0,-1.5,,-13.0,3.1,11.1,-11.0,10.0,,2.7,-33.0,False,False,False,False,False,False,,False,False,False,False,,True,False,False,False,False,False,False,False,False,,False,True,False,,,False,,False,False,False,True,,False,False,False,False,False,,False,False
New York,32987,32962.9,34256.0,32955.4,32951.0,32970.8,32981.0,33072.0,,32829.0,32891.0,33011.7,33013.6,,32850.5,32635.8,33063.0,32991.4,32739.6,32986.6,32987.4,32968.3,32960.9,,33086.8,32930.8,32947.0,,32983.7,33020.7,,32958.0,33704.5,32988.0,32940.9,,32978.0,,33472.8,32970.0,33090.5,,32974.3,33043.0,-56.1,1237.0,-63.6,-68.0,-48.2,-38.0,53.0,,-190.0,-128.0,-7.3,-5.4,,-168.5,-383.2,44.0,-27.6,-279.4,-32.4,-31.6,-50.7,-58.1,,67.8,-88.2,-72.0,,-35.3,1.7,,-61.0,685.5,-31.0,-78.1,,-41.0,,453.8,-49.0,71.5,,-44.7,24.0,False,False,False,True,True,True,,False,False,True,True,,False,False,True,True,False,True,True,True,False,,False,False,False,,True,True,,False,False,True,False,,True,,False,True,False,,True,True
North Carolina,2889,2872.7,3067.0,2881.0,2865.0,2877.0,2850.0,2951.0,,2721.9,2873.0,2861.3,2855.9,,2784.1,2831.0,2757.0,2825.3,2984.7,2841.8,2855.5,2846.7,2927.6,,2797.9,2872.4,2991.0,,2945.3,2680.2,,2882.0,2916.3,2782.0,2848.6,,2814.0,2754.1,2809.5,2826.0,2944.0,,2815.4,2667.0,-16.3,178.0,-8.0,-24.0,-12.0,-39.0,62.0,,-167.1,-16.0,-27.7,-33.1,,-104.9,-58.0,-132.0,-63.7,95.7,-47.2,-33.5,-42.3,38.6,,-91.1,-16.6,102.0,,56.3,-208.8,,-7.0,27.3,-107.0,-40.4,,-75.0,-134.9,-79.5,-63.0,55.0,,-73.6,-222.0,False,True,False,True,False,False,,False,True,False,False,,False,False,False,False,False,False,False,False,False,,False,False,False,,False,False,,True,False,False,False,,False,False,False,False,False,,False,False
North Dakota,155,156.4,170.0,162.7,158.0,163.0,158.0,156.0,,158.3,139.0,160.1,,,166.5,157.6,150.0,158.9,169.0,159.2,157.5,154.4,152.4,,159.5,171.4,165.0,,,145.3,,151.0,158.6,146.0,152.7,,162.0,147.8,159.5,161.0,169.0,,156.7,144.0,1.4,15.0,7.7,3.0,8.0,3.0,1.0,,3.3,-16.0,5.1,,,11.5,2.6,-5.0,3.9,14.0,4.2,2.5,-0.6,-2.6,,4.5,16.4,10.0,,,-9.7,,-4.0,3.6,-9.0,-2.3,,7.0,-7.2,4.5,6.0,14.0,,1.7,-11.0,False,False,False,False,False,True,,False,False,False,,,False,False,False,False,False,False,False,True,False,,False,False,False,,,False,,False,False,False,False,,False,False,False,False,False,,False,False
Ohio,4256,4260.3,4367.0,4288.2,4294.0,4276.8,4275.0,4183.0,,3950.5,4295.0,4292.6,4240.7,,4260.0,4143.0,4240.0,4280.1,4418.9,4250.0,4182.9,4217.0,4175.7,4329.0,4536.1,4228.5,4322.0,,4317.7,4154.3,,4282.0,3667.6,4275.0,4267.0,,4216.0,4282.2,4466.4,4284.0,4283.0,,4256.2,4100.0,4.3,111.0,32.2,38.0,20.8,19.0,-73.0,,-305.5,39.0,36.6,-15.3,,4.0,-113.0,-16.0,24.1,162.9,-6.0,-73.1,-39.0,-80.3,73.0,280.1,-27.5,66.0,,61.7,-101.7,,26.0,-588.4,19.0,11.0,,-40.0,26.2,210.4,28.0,27.0,,0.2,-156.0,False,False,False,False,False,False,,False,False,False,False,,True,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,,False,False,False,False,,False,False,False,False,False,,True,False
Oklahoma,850,846.7,912.0,859.8,873.0,861.0,847.0,883.0,,850.1,835.0,852.0,845.7,,886.7,784.2,788.0,848.4,928.8,834.8,827.9,830.0,883.4,,852.4,884.6,862.0,,848.2,801.3,,847.0,785.8,807.0,846.1,,827.0,808.9,849.6,833.0,882.0,,830.9,797.0,-3.3,62.0,9.8,23.0,11.0,-3.0,33.0,,0.1,-15.0,2.0,-4.3,,36.7,-65.8,-62.0,-1.6,78.8,-15.2,-22.1,-20.0,33.4,,2.4,34.6,12.0,,-1.8,-48.7,,-3.0,-64.2,-43.0,-3.9,,-23.0,-41.1,-0.4,-17.0,32.0,,-19.1,-53.0,False,False,False,False,True,False,,True,False,True,False,,False,False,False,True,False,False,False,False,False,,True,False,False,,True,False,,True,False,False,False,,False,False,True,False,False,,False,False
Oregon,480,470.9,503.0,478.6,481.0,479.0,473.0,458.0,,452.6,479.0,471.2,472.6,,483.9,491.4,483.0,477.8,552.3,476.1,462.4,454.9,469.2,,488.8,467.1,517.0,,,435.5,,477.0,518.4,480.0,475.4,,460.0,458.0,479.8,472.0,473.0,,474.1,441.0,-9.1,23.0,-1.4,1.0,-1.0,-7.0,-22.0,,-27.4,-1.0,-8.8,-7.4,,3.9,11.4,3.0,-2.2,72.3,-3.9,-17.6,-25.1,-10.8,,8.8,-12.9,37.0,,,-44.5,,-3.0,38.4,0.0,-4.6,,-20.0,-22.0,-0.2,-8.0,-7.0,,-5.9,-39.0,False,True,True,True,True,False,,False,True,True,True,,True,False,True,True,False,True,False,False,False,,True,False,False,,,False,,True,False,True,True,,False,False,True,True,True,,True,False
Pennsylvania,7750,7750.1,7997.0,7767.6,7762.0,7763.9,7761.0,7725.0,,7499.0,7764.0,7774.7,7812.0,,7699.9,7939.6,7683.0,7767.9,7916.8,7765.5,7701.3,7759.7,7728.5,,7682.5,7733.8,7723.0,,7856.8,7659.8,,7807.0,9699.2,7744.0,7737.2,,7729.0,7959.7,8126.6,7783.0,7782.0,,7748.1,7636.0,0.1,247.0,17.6,12.0,13.9,11.0,-25.0,,-251.0,14.0,24.7,62.0,,-50.1,189.6,-67.0,17.9,166.8,15.5,-48.7,9.7,-21.5,,-67.5,-16.2,-27.0,,106.8,-90.2,,57.0,1949.2,-6.0,-12.8,,-21.0,209.7,376.6,33.0,32.0,,-1.9,-114.0,False,False,False,False,False,False,,False,False,False,False,,False,False,False,False,False,False,False,False,False,,False,False,False,,False,False,,False,False,False,False,,False,False,False,False,False,,False,False
Rhode Island,1069,1046.7,1099.0,1047.4,1048.0,1048.0,1046.0,1044.0,,1029.9,1034.0,1045.9,1054.6,,1065.1,1037.1,1079.0,1047.7,1033.4,1050.4,1038.8,1041.1,1049.1,,1036.5,1044.8,1033.0,,1036.7,1037.1,,1051.0,1280.4,1048.0,1047.3,,1040.0,,1087.8,1043.0,1040.0,,1047.6,1034.0,-14.3,38.0,-13.6,-13.0,-13.0,-15.0,-17.0,,-31.1,-27.0,-15.1,-6.4,,4.1,-23.9,18.0,-13.3,-27.6,-10.6,-22.2,-19.9,-11.9,,-24.5,-16.2,-28.0,,-24.3,-23.9,,-10.0,219.4,-13.0,-13.7,,-21.0,,26.8,-18.0,-21.0,,-13.4,-27.0,False,True,True,True,False,False,,False,False,False,True,,True,False,False,True,False,True,False,False,True,,False,False,False,,False,False,,True,False,True,True,,False,,False,False,False,,True,False
South Carolina,2877,2940.4,2960.0,2957.6,2940.0,2958.9,2872.0,2741.0,,2174.1,2904.0,2940.3,2809.9,,2847.0,2789.9,2756.0,2870.0,2851.3,2855.6,2873.9,2826.0,2832.7,,3048.3,2884.1,2801.0,,2876.5,2739.6,,2960.0,3435.5,2781.0,2906.5,,2808.0,2855.7,2797.1,2829.0,2952.0,,2875.5,2650.0,63.4,83.0,80.6,63.0,81.9,-5.0,-136.0,,-702.9,27.0,63.3,-67.1,,-30.0,-87.1,-121.0,-7.0,-25.7,-21.4,-3.1,-51.0,-44.3,,171.3,7.1,-76.0,,-0.5,-137.4,,83.0,558.5,-96.0,29.5,,-69.0,-21.3,-79.9,-48.0,75.0,,-1.5,-227.0,False,False,True,False,True,False,,False,True,True,False,,True,False,False,True,True,True,True,True,True,,False,True,False,,True,False,,False,False,False,True,,False,True,False,True,False,,True,False
South Dakota,173,175.9,200.0,178.0,178.0,176.0,178.0,160.0,,170.4,168.0,178.4,178.7,,183.9,173.3,180.0,182.2,182.5,182.4,185.0,172.7,176.4,,173.9,182.0,167.0,,,167.2,,177.0,165.5,179.0,168.9,,185.0,175.6,177.5,182.0,196.0,,176.7,168.0,2.9,27.0,5.0,5.0,3.0,5.0,-13.0,,-2.6,-5.0,5.4,5.7,,10.9,0.3,7.0,9.2,9.5,9.4,12.0,-0.3,3.4,,0.9,9.0,-6.0,,,-5.8,,4.0,-7.5,6.0,-4.1,,12.0,2.6,4.5,9.0,23.0,,3.7,-5.0,False,False,False,False,False,False,,True,False,False,False,,False,True,False,False,False,False,False,True,False,,True,False,False,,,False,,False,False,False,False,,False,True,False,False,False,,False,False
Tennessee,1862,1940.3,2069.0,1972.1,1968.0,1999.1,1836.0,1915.0,,1805.9,1828.0,1843.8,,,1897.5,1775.9,1808.0,1847.9,1928.1,1839.2,1896.6,1896.7,1811.0,,1972.4,1948.7,1916.0,,1917.8,1789.9,,1911.0,2013.9,1818.0,1958.5,,1822.0,1818.1,1798.8,1819.0,2003.0,,1831.0,1755.0,78.3,207.0,110.1,106.0,137.1,-26.0,53.0,,-56.1,-34.0,-18.2,,,35.5,-86.1,-54.0,-14.1,66.1,-22.8,34.6,34.7,-51.0,,110.4,86.7,54.0,,55.8,-72.1,,49.0,151.9,-44.0,96.5,,-40.0,-43.9,-63.2,-43.0,141.0,,-31.0,-107.0,False,False,False,False,True,True,,True,True,True,,,True,False,True,True,True,True,True,True,True,,False,False,True,,True,True,,True,False,True,False,,True,True,True,True,False,,True,False
Texas,13582,14118.9,14180.0,14052.6,14061.0,14207.3,13651.0,13397.0,,10083.3,14147.0,13888.7,13172.7,,12843.9,14518.9,14294.0,14018.1,13399.7,13983.3,13307.7,13580.2,13387.7,,13732.5,13627.3,13611.0,,14786.7,13232.7,13156.0,14387.0,14892.4,14038.0,13920.2,,13483.0,12908.5,13474.1,14159.0,14048.0,,13685.7,12490.0,538.9,600.0,472.6,481.0,627.3,71.0,-183.0,,-3496.7,567.0,308.7,-407.3,,-736.1,938.9,714.0,438.1,-180.3,403.3,-272.3,0.2,-192.3,,152.5,47.3,31.0,,1206.7,-347.3,-424.0,807.0,1312.4,458.0,340.2,,-97.0,-671.5,-105.9,579.0,468.0,,105.7,-1090.0,False,True,True,False,True,True,,False,False,True,True,,False,False,False,True,True,True,True,True,True,,True,True,True,,False,True,True,False,False,True,True,,True,False,True,False,True,,True,False
Utah,420,425.9,555.0,427.8,421.0,429.0,425.0,417.0,,464.8,415.0,430.8,421.9,,354.7,421.2,437.0,426.5,472.5,425.1,423.3,416.5,420.6,,447.1,426.1,427.0,,,405.3,,423.0,532.5,423.0,430.5,,420.0,420.6,416.4,420.0,443.0,,432.8,414.0,5.9,135.0,7.8,1.0,9.0,5.0,-3.0,,44.8,-5.0,10.8,1.9,,-65.3,1.2,17.0,6.5,52.5,5.1,3.3,-3.5,0.6,,27.1,6.1,7.0,,,-14.7,,3.0,112.5,3.0,10.5,,0.0,0.6,-3.6,0.0,23.0,,12.8,-6.0,False,False,True,False,True,True,,False,True,False,True,,False,True,False,False,False,True,True,True,True,,False,False,False,,,False,,True,False,True,False,,True,True,True,True,False,,False,False
Vermont,58,58.0,63.0,58.2,58.0,58.0,59.0,58.0,,60.1,58.0,59.3,59.0,,64.4,59.7,58.0,58.8,61.8,58.8,58.5,58.0,59.2,,58.5,58.5,58.0,,,58.0,,62.0,56.9,59.0,58.0,,58.0,,61.1,58.0,60.0,,59.9,,0.0,5.0,0.2,0.0,0.0,1.0,0.0,,2.1,0.0,1.3,1.0,,6.4,1.7,0.0,0.8,3.8,0.8,0.5,0.0,1.2,,0.5,0.5,0.0,,,0.0,,4.0,-1.1,1.0,0.0,,0.0,,3.1,0.0,2.0,,1.9,,False,False,True,True,False,True,,False,True,False,False,,False,False,True,False,False,False,False,False,False,,False,False,True,,,True,,False,False,False,True,,True,,False,True,False,,False,
Virginia,2677,2626.7,2855.0,2559.1,2593.0,2566.4,2593.0,2579.0,,2596.5,2553.0,2628.5,2631.3,,2633.6,2449.2,2560.0,2622.9,2714.7,2597.4,2578.9,2585.7,2547.1,,2625.3,2589.6,2611.0,,2608.9,2583.7,,2564.0,2906.7,2592.0,2551.5,,2617.0,2619.5,2752.4,2565.0,2663.0,,2599.8,2527.0,-50.3,178.0,-117.9,-84.0,-110.6,-84.0,-98.0,,-80.5,-124.0,-48.5,-45.7,,-43.4,-227.8,-117.0,-54.1,37.7,-79.6,-98.1,-91.3,-129.9,,-51.7,-87.4,-66.0,,-68.1,-93.3,,-113.0,229.7,-85.0,-125.5,,-60.0,-57.5,75.4,-112.0,-14.0,,-77.2,-150.0,False,False,False,False,False,False,,False,False,True,True,,True,False,False,False,True,False,False,False,False,,False,False,False,,False,False,,False,False,False,False,,False,False,False,False,True,,False,False
Washington,1953,2015.3,2105.0,2033.9,2036.0,2039.0,2023.0,1955.0,,1897.0,2031.0,2039.7,1990.4,,2021.4,2007.5,2008.0,2027.2,2063.2,2014.1,1990.1,1991.3,2088.4,,2080.4,2008.7,2085.0,,2088.8,1966.7,,2035.0,2125.6,2001.0,2024.4,,1981.0,1965.7,2088.2,2021.0,2068.0,,2018.3,1958.0,62.3,152.0,80.9,83.0,86.0,70.0,2.0,,-56.0,78.0,86.7,37.4,,68.4,54.5,55.0,74.2,110.2,61.1,37.1,38.3,135.4,,127.4,55.7,132.0,,135.8,13.7,,82.0,172.6,48.0,71.4,,28.0,12.7,135.2,68.0,115.0,,65.3,5.0,False,False,False,False,False,True,,True,False,False,True,,False,True,True,False,False,True,True,True,False,,False,True,False,,False,True,,False,False,True,False,,True,True,False,False,False,,False,True
West Virginia,246,214.3,215.0,213.9,210.0,211.0,213.0,191.0,,177.9,201.0,232.4,231.8,,231.3,247.5,194.0,215.4,224.7,218.7,204.3,203.7,208.0,,226.1,213.1,265.0,,,201.4,,214.0,171.6,211.0,204.9,,208.0,193.4,209.0,214.0,240.0,,215.8,200.0,-31.7,-31.0,-32.1,-36.0,-35.0,-33.0,-55.0,,-68.1,-45.0,-13.6,-14.2,,-14.7,1.5,-52.0,-30.6,-21.3,-27.3,-41.7,-42.3,-38.0,,-19.9,-32.9,19.0,,,-44.6,,-32.0,-74.4,-35.0,-41.1,,-38.0,-52.6,-37.0,-32.0,-6.0,,-30.2,-46.0,True,False,False,False,False,False,,False,False,True,True,,True,True,False,True,True,True,False,False,False,,True,False,True,,,False,,False,False,False,False,,False,False,False,False,True,,True,False
Wisconsin,1218,1159.0,1325.0,1164.8,1169.0,1167.0,1167.0,1199.0,,1254.8,1209.0,1184.2,1156.8,,1198.6,1126.5,1141.0,1173.0,1271.1,1167.9,1151.6,1147.2,1173.3,1190.0,1156.0,1167.6,1167.0,,1173.5,1123.1,,1167.0,1324.8,1180.0,1159.5,,1151.0,1156.9,1235.6,1171.0,1181.0,,1169.5,1126.0,-5.0,161.0,0.8,5.0,3.0,3.0,35.0,,90.8,45.0,20.2,-7.2,,34.6,-37.5,-23.0,9.0,107.1,3.9,-12.4,-16.8,9.3,26.0,-8.0,3.6,3.0,,9.5,-40.9,,3.0,160.8,16.0,-4.5,,-13.0,-7.1,71.6,7.0,17.0,,5.5,-38.0,False,True,False,True,True,False,,False,False,False,False,,False,False,False,False,False,True,False,False,False,False,False,True,True,,False,False,,True,False,False,True,,False,False,False,False,False,,False,False
Wyoming,42,50.0,49.0,50.7,48.0,51.0,43.0,37.0,,42.2,41.0,45.7,46.8,,49.6,33.3,36.0,42.8,48.7,44.5,40.8,39.0,41.5,,53.2,53.8,43.0,,,37.0,,50.0,39.0,40.0,47.6,,43.0,40.5,41.7,37.0,44.0,,42.8,40.0,8.0,7.0,8.7,6.0,9.0,1.0,-5.0,,0.2,-1.0,3.7,4.8,,7.6,-8.7,-6.0,0.8,6.7,2.5,-1.2,-3.0,-0.5,,11.2,11.8,1.0,,,-5.0,,8.0,-3.0,-2.0,5.6,,1.0,-1.5,-0.3,-5.0,2.0,,0.8,-2.0,True,False,True,False,True,True,,True,True,True,True,,True,False,True,True,True,True,True,True,True,,False,False,True,,,True,,False,True,True,True,,True,True,True,True,True,,True,True
US,188610,189337.7,191108.0,190292.6,,190096.4,188713.0,187143.0,188463.0,176513.7,189001.0,190317.0,188584.5,,,189731.7,188713.0,189177.4,188829.8,189290.2,185616.0,188614.3,186907.7,,188441.4,188381.9,189787.0,188802.9,191752.7,181787.3,188471.0,188791.0,201810.6,188984.0,188716.8,186510.0,187434.0,189974.4,191554.9,188674.0,191161.0,186222.0,187848.0,181767.0,761.7,2532.0,1716.6,,1520.4,137.0,-1433.0,-113.0,-12062.3,425.0,1741.0,8.5,,,1155.7,137.0,601.4,253.8,714.2,-2960.0,38.3,-1668.3,,-134.6,-194.1,1211.0,226.9,3176.7,-6788.7,-105.0,215.0,13234.6,408.0,140.8,-2066.0,-1142.0,1398.4,2978.9,98.0,2585.0,-2354.0,-728.0,-6809.0,False,False,,False,True,False,True,False,True,False,True,,,False,True,True,True,True,False,True,False,,True,True,False,True,False,False,True,True,False,True,True,False,False,False,False,True,False,False,True,False
