,actual_cases,COVIDhub-baseline,BPagano-RtDriven,CEID-Walk,COVIDhub-ensemble,COVIDhub-trained_ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,FDANIHASU-Sweight,Geneva-DetGrowth,Google_Harvard-CPF,IBF-TimeSeries,IEM_MED-CovidProject,IUPUI-HkPrMobiDyR,IowaStateLW-STEM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,JHU_UNC_GAS-StatMechPool,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MIT_ISOLAT-Mixtures,MOBS-GLEAM_COVID,Microsoft-DeepSTIA,OliverWyman-Navigator,OneQuietNight-ML,QJHong-Encounter,RobertWalraven-ESG,SigSci-TS,TTU-squider,UCF-AEM,UCLA-SuEIR,UChicagoCHATTOPADHYAY-UnIT,UMich-RidgeTfReg,USC-SI_kJalpha,UVA-Ensemble,UpstateSU-GRU,error-COVIDhub-baseline,error-BPagano-RtDriven,error-CEID-Walk,error-COVIDhub-ensemble,error-COVIDhub-trained_ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-FDANIHASU-Sweight,error-Geneva-DetGrowth,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IEM_MED-CovidProject,error-IUPUI-HkPrMobiDyR,error-IowaStateLW-STEM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-JHU_UNC_GAS-StatMechPool,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MIT_ISOLAT-Mixtures,error-MOBS-GLEAM_COVID,error-Microsoft-DeepSTIA,error-OliverWyman-Navigator,error-OneQuietNight-ML,error-QJHong-Encounter,error-RobertWalraven-ESG,error-SigSci-TS,error-TTU-squider,error-UCF-AEM,error-UCLA-SuEIR,error-UChicagoCHATTOPADHYAY-UnIT,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,error-UVA-Ensemble,error-UpstateSU-GRU,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-COVIDhub-ensemble,beat_baseline-COVIDhub-trained_ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-FDANIHASU-Sweight,beat_baseline-Geneva-DetGrowth,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IEM_MED-CovidProject,beat_baseline-IUPUI-HkPrMobiDyR,beat_baseline-IowaStateLW-STEM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-JHU_UNC_GAS-StatMechPool,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MIT_ISOLAT-Mixtures,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-Microsoft-DeepSTIA,beat_baseline-OliverWyman-Navigator,beat_baseline-OneQuietNight-ML,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-SigSci-TS,beat_baseline-TTU-squider,beat_baseline-UCF-AEM,beat_baseline-UCLA-SuEIR,beat_baseline-UChicagoCHATTOPADHYAY-UnIT,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha,beat_baseline-UVA-Ensemble,beat_baseline-UpstateSU-GRU
Mississippi,3849,3899.0,3048.5,3917.5,3498.0,4251.0,3310.0,,4358.1,3563.0,3432.5,,2455.6,4022.2,,2858.1,3251.7,4386.0,2659.5,3640.0,4321.3,1745.0,2741.0,2260.5,2640.5,5213.9,4482.1,3161.8,2867.0,6391.0,,3276.2,3686.0,4320.6,,3956.1,3794.8,8001.7,4209.0,3451.7,,50.0,-800.5,68.5,-351.0,402.0,-539.0,,509.1,-286.0,-416.5,,-1393.4,173.2,,-990.9,-597.3,537.0,-1189.5,-209.0,472.3,-2104.0,-1108.0,-1588.5,-1208.5,1364.9,633.1,-687.2,-982.0,2542.0,,-572.8,-163.0,471.6,,107.1,-54.2,4152.7,360.0,-397.3,,False,False,False,False,False,,False,False,False,,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,,False,False,False,False,False,
Missouri,5924,4222.0,4018.7,4272.8,3944.0,5047.0,3208.0,,4499.5,5533.0,3774.0,,2976.6,3400.8,,3010.1,3801.2,4544.0,2889.6,3708.0,5827.2,6820.5,3329.8,2646.0,3429.9,1798.5,4294.7,3693.4,3239.0,6673.0,,4613.4,3978.0,5533.1,,5753.2,4417.1,8107.7,3910.0,3451.9,,-1702.0,-1905.3,-1651.2,-1980.0,-877.0,-2716.0,,-1424.5,-391.0,-2150.0,,-2947.4,-2523.2,,-2913.9,-2122.8,-1380.0,-3034.4,-2216.0,-96.8,896.5,-2594.2,-3278.0,-2494.1,-4125.5,-1629.3,-2230.6,-2685.0,749.0,,-1310.6,-1946.0,-390.9,,-170.8,-1506.9,2183.7,-2014.0,-2472.1,,False,True,False,True,False,,True,True,False,,False,False,,False,False,True,False,False,True,True,False,False,False,False,True,False,False,True,,True,False,True,,True,True,False,False,False,
Montana,1196,1344.0,1097.2,1347.7,1234.0,1120.0,766.0,,1279.2,1226.0,1685.3,,1227.7,1172.6,,1186.3,1081.0,951.0,1257.6,1134.0,1166.9,1397.5,1086.5,1003.0,1208.8,1175.8,1174.6,1261.9,1264.0,1414.0,,1241.2,1315.0,295.0,,1132.6,1469.8,1682.2,1267.0,1253.7,,148.0,-98.8,151.7,38.0,-76.0,-430.0,,83.2,30.0,489.3,,31.7,-23.4,,-9.7,-115.0,-245.0,61.6,-62.0,-29.1,201.5,-109.5,-193.0,12.8,-20.2,-21.4,65.9,68.0,218.0,,45.2,119.0,-901.0,,-63.4,273.8,486.2,71.0,57.7,,True,False,True,True,False,,True,True,False,,True,True,,True,True,False,True,True,True,False,True,False,True,True,True,True,True,False,,True,True,False,,True,False,False,True,True,
Nebraska,1969,1724.0,1570.8,1615.4,1917.0,2338.0,1292.0,,2622.2,1621.0,2255.8,,1359.9,1878.6,,2155.1,1534.6,2965.0,4008.1,2465.0,2819.5,2094.5,1840.5,1015.5,1585.9,3361.6,2360.1,1922.3,2458.0,1859.0,,2009.0,1734.0,632.7,,2745.2,1843.4,,1804.0,1342.9,,-245.0,-398.2,-353.6,-52.0,369.0,-677.0,,653.2,-348.0,286.8,,-609.1,-90.4,,186.1,-434.4,996.0,2039.1,496.0,850.5,125.5,-128.5,-953.5,-383.1,1392.6,391.1,-46.7,489.0,-110.0,,40.0,-235.0,-1336.3,,776.2,-125.6,,-165.0,-626.1,,False,False,True,False,False,,False,False,False,,False,True,,True,False,False,False,False,False,True,True,False,False,False,False,True,False,True,,True,True,False,,False,True,,True,False,
Nevada,2817,2835.0,3066.6,2806.5,2384.0,2155.0,2528.0,,3209.4,2697.0,2448.5,,1846.9,2191.6,,2183.4,2014.1,3238.0,1939.7,2729.0,3649.2,1213.5,2271.2,1594.0,2162.3,3123.5,2671.7,2322.3,2109.0,1907.0,,2004.5,2349.0,3150.6,,3588.2,2335.7,3254.4,2861.0,1966.9,,18.0,249.6,-10.5,-433.0,-662.0,-289.0,,392.4,-120.0,-368.5,,-970.1,-625.4,,-633.6,-802.9,421.0,-877.3,-88.0,832.2,-1603.5,-545.8,-1223.0,-654.7,306.5,-145.3,-494.7,-708.0,-910.0,,-812.5,-468.0,333.6,,771.2,-481.3,437.4,44.0,-850.1,,False,True,False,False,False,,False,False,False,,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,,False,False,False,False,False,
New Hampshire,2005,2405.0,1182.4,2383.5,2117.0,1758.0,2148.0,,2270.7,1064.0,2256.4,,2226.8,2164.5,,2262.0,1855.4,2072.0,2063.4,2483.0,1762.3,2471.0,1251.0,1986.0,2086.7,1430.2,2185.7,2013.3,2312.0,2097.0,,2059.7,2369.0,2060.9,,2768.1,1920.5,2953.0,2387.0,2562.6,,400.0,-822.6,378.5,112.0,-247.0,143.0,,265.7,-941.0,251.4,,221.8,159.5,,257.0,-149.6,67.0,58.4,478.0,-242.7,466.0,-754.0,-19.0,81.7,-574.8,180.7,8.3,307.0,92.0,,54.7,364.0,55.9,,763.1,-84.5,948.0,382.0,557.6,,False,True,True,True,True,,True,False,True,,True,True,,True,True,True,True,False,True,False,False,True,True,False,True,True,True,True,,True,True,True,,False,True,False,True,False,
New Jersey,22592,20556.0,15328.8,25845.1,19103.0,17233.0,19720.0,,20356.1,19878.0,20957.5,,16366.4,13495.2,,18365.0,14001.3,22194.0,16853.1,20463.0,18107.8,9382.0,17702.4,14588.5,17614.5,19080.1,19125.1,16660.7,18002.0,15290.0,,18610.0,19138.0,14309.1,,18426.2,15133.1,22505.1,21649.0,19808.8,,-2036.0,-7263.2,3253.1,-3489.0,-5359.0,-2872.0,,-2235.9,-2714.0,-1634.5,,-6225.6,-9096.8,,-4227.0,-8590.7,-398.0,-5738.9,-2129.0,-4484.2,-13210.0,-4889.6,-8003.5,-4977.5,-3511.9,-3466.9,-5931.3,-4590.0,-7302.0,,-3982.0,-3454.0,-8282.9,,-4165.8,-7458.9,-86.9,-943.0,-2783.2,,False,False,False,False,False,,False,False,True,,False,False,,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,,False,False,True,True,False,
New Mexico,2413,2186.0,1945.4,2139.2,1977.0,2051.0,1760.0,,2317.8,2590.0,2447.5,,1546.2,3370.9,,1836.1,1727.3,2639.0,1650.1,2217.0,2612.0,1899.0,1693.3,1654.0,2073.4,1101.3,1835.8,1911.8,1853.0,1655.0,,2474.6,1909.0,3695.2,,2895.5,2057.3,4137.5,2268.0,1867.5,,-227.0,-467.6,-273.8,-436.0,-362.0,-653.0,,-95.2,177.0,34.5,,-866.8,957.9,,-576.9,-685.7,226.0,-762.9,-196.0,199.0,-514.0,-719.7,-759.0,-339.6,-1311.7,-577.2,-501.2,-560.0,-758.0,,61.6,-504.0,1282.2,,482.5,-355.7,1724.5,-145.0,-545.5,,False,False,False,False,False,,True,True,True,,False,False,,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,,True,False,False,,False,False,False,True,False,
New York,50605,53895.0,36441.4,54263.2,45839.0,44288.0,47698.0,,50709.3,36548.0,51138.8,,45976.9,41997.5,,47695.4,37832.1,49741.0,54336.0,52323.0,46657.5,24213.0,39648.5,37274.5,45828.9,44245.6,43733.1,41637.4,47073.0,41575.0,,45849.4,48689.0,60175.4,,56014.7,41960.5,34211.7,52919.0,52469.2,,3290.0,-14163.6,3658.2,-4766.0,-6317.0,-2907.0,,104.3,-14057.0,533.8,,-4628.1,-8607.5,,-2909.6,-12772.9,-864.0,3731.0,1718.0,-3947.5,-26392.0,-10956.5,-13330.5,-4776.1,-6359.4,-6871.9,-8967.6,-3532.0,-9030.0,,-4755.6,-1916.0,9570.4,,5409.7,-8644.5,-16393.3,2314.0,1864.2,,False,False,False,False,True,,True,False,True,,False,False,,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,,False,True,False,,False,False,False,True,True,
North Carolina,18452,21372.0,19443.6,20947.5,19769.0,18594.0,16620.0,,21996.2,15388.0,32351.5,,17764.7,18221.9,,17126.1,15510.5,21898.0,15299.8,20935.0,19325.0,10169.5,19381.9,13901.0,17293.6,20724.1,20280.3,17313.4,16837.0,18661.0,,20336.5,18841.0,28584.3,,20879.9,17970.7,26216.2,20706.0,20788.7,,2920.0,991.6,2495.5,1317.0,142.0,-1832.0,,3544.2,-3064.0,13899.5,,-687.3,-230.1,,-1325.9,-2941.5,3446.0,-3152.2,2483.0,873.0,-8282.5,929.9,-4551.0,-1158.4,2272.1,1828.3,-1138.6,-1615.0,209.0,,1884.5,389.0,10132.3,,2427.9,-481.3,7764.2,2254.0,2336.7,,True,True,True,True,True,,False,False,False,,True,True,,True,False,False,False,True,True,False,True,False,True,True,True,True,True,True,,True,True,False,,True,True,False,True,True,
North Dakota,552,677.0,166.2,732.4,558.0,603.0,229.0,,546.4,119.0,512.2,,571.4,527.9,,556.4,525.5,616.0,307.6,824.0,783.7,564.5,550.8,362.0,565.4,134.8,339.9,607.8,725.0,942.0,,416.4,778.0,513.0,,703.3,826.9,1362.6,777.0,638.0,,125.0,-385.8,180.4,6.0,51.0,-323.0,,-5.6,-433.0,-39.8,,19.4,-24.1,,4.4,-26.5,64.0,-244.4,272.0,231.7,12.5,-1.2,-190.0,13.4,-417.2,-212.1,55.8,173.0,390.0,,-135.6,226.0,-39.0,,151.3,274.9,810.6,225.0,86.0,,False,False,True,True,False,,True,False,True,,True,True,,True,True,True,False,False,False,True,True,False,True,False,False,True,False,False,,False,False,True,,False,False,False,False,True,
Ohio,13848,14765.0,8437.1,14674.9,12930.0,14342.0,12151.0,,14847.0,12269.0,20647.0,,9906.7,10206.6,,11803.0,10385.6,15355.0,12930.0,12256.0,15956.1,6248.5,13775.7,9986.5,12024.5,13141.2,12255.9,12791.5,12013.0,17472.0,,10754.9,,7504.9,,20176.1,11994.6,25842.2,14438.0,11419.5,,917.0,-5410.9,826.9,-918.0,494.0,-1697.0,,999.0,-1579.0,6799.0,,-3941.3,-3641.4,,-2045.0,-3462.4,1507.0,-918.0,-1592.0,2108.1,-7599.5,-72.3,-3861.5,-1823.5,-706.8,-1592.1,-1056.5,-1835.0,3624.0,,-3093.1,,-6343.1,,6328.1,-1853.4,11994.2,590.0,-2428.5,,False,True,False,True,False,,False,False,False,,False,False,,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,,False,,False,,False,False,False,True,False,
Oklahoma,5484,6042.0,7338.9,11050.6,6481.0,6671.0,5441.0,,7036.7,8593.0,9592.0,,3326.3,6582.8,,4928.8,4474.3,7168.0,6075.8,4774.0,7130.7,2881.0,6575.7,3541.0,5003.1,8104.1,6875.1,5341.7,4623.0,7953.0,,5680.5,6260.0,7023.3,,6854.6,4991.2,17033.5,5348.0,5245.1,,558.0,1854.9,5566.6,997.0,1187.0,-43.0,,1552.7,3109.0,4108.0,,-2157.7,1098.8,,-555.2,-1009.7,1684.0,591.8,-710.0,1646.7,-2603.0,1091.7,-1943.0,-480.9,2620.1,1391.1,-142.3,-861.0,2469.0,,196.5,776.0,1539.3,,1370.6,-492.8,11549.5,-136.0,-238.9,,False,False,False,False,True,,False,False,False,,False,False,,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,,True,False,False,,False,True,False,True,True,
Oregon,2604,2677.0,1913.1,2708.4,2425.0,2451.0,2070.0,,2642.5,2807.0,3187.6,,2177.3,1069.0,,2109.9,1916.0,2676.0,2927.1,2392.0,2848.0,2550.5,2899.1,1859.5,2200.1,1581.4,2299.1,2265.1,2413.0,2319.0,,2394.9,2505.0,4906.1,,2527.5,2722.8,2374.8,2430.0,2475.4,,73.0,-690.9,104.4,-179.0,-153.0,-534.0,,38.5,203.0,583.6,,-426.7,-1535.0,,-494.1,-688.0,72.0,323.1,-212.0,244.0,-53.5,295.1,-744.5,-403.9,-1022.6,-304.9,-338.9,-191.0,-285.0,,-209.1,-99.0,2302.1,,-76.5,118.8,-229.2,-174.0,-128.6,,False,False,False,False,False,,True,False,False,,False,False,,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,,False,False,False,,False,False,False,False,False,
Pennsylvania,17619,19252.0,13374.9,18751.5,16363.0,18287.0,17642.0,,18716.9,10392.0,16599.2,,13417.2,13950.8,,15677.1,12852.7,17602.0,15770.5,18487.0,20288.4,9443.5,16171.0,14169.5,15583.5,16147.5,17791.5,15821.6,16617.0,15617.0,,18894.3,16233.0,22216.9,,19551.4,14001.7,17983.1,19571.0,17395.9,,1633.0,-4244.1,1132.5,-1256.0,668.0,23.0,,1097.9,-7227.0,-1019.8,,-4201.8,-3668.2,,-1941.9,-4766.3,-17.0,-1848.5,868.0,2669.4,-8175.5,-1448.0,-3449.5,-2035.5,-1471.5,172.5,-1797.4,-1002.0,-2002.0,,1275.3,-1386.0,4597.9,,1932.4,-3617.3,364.1,1952.0,-223.1,,False,True,True,True,True,,True,False,True,,False,False,,False,False,True,False,True,False,False,True,False,False,True,True,False,True,False,,True,True,False,,False,False,True,False,True,
Rhode Island,2477,2324.0,1695.4,2359.6,1904.0,1729.0,2065.0,,2357.6,1778.0,126910.6,,1675.4,0.0,,1904.1,1747.4,1678.0,1364.7,2223.0,2293.3,2346.5,1664.0,1341.5,1562.5,1943.6,2509.6,1809.5,1667.0,1834.0,,1938.2,2408.0,1128.8,,2435.1,1868.4,,1779.0,2232.0,,-153.0,-781.6,-117.4,-573.0,-748.0,-412.0,,-119.4,-699.0,124433.6,,-801.6,-2477.0,,-572.9,-729.6,-799.0,-1112.3,-254.0,-183.7,-130.5,-813.0,-1135.5,-914.5,-533.4,32.6,-667.5,-810.0,-643.0,,-538.8,-69.0,-1348.2,,-41.9,-608.6,,-698.0,-245.0,,False,True,False,False,False,,True,False,False,,False,False,,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,,False,True,False,,True,False,,False,False,
South Carolina,13795,18137.0,13380.7,18333.3,15982.0,13629.0,16168.0,,18087.2,12645.0,22370.8,,16107.4,18607.2,,16640.0,13358.3,14989.0,14161.2,16915.0,12412.3,7874.5,14769.5,12617.0,15450.1,16959.2,15796.4,14638.4,16012.0,15530.0,,16319.4,17791.0,21339.8,,17685.1,13651.1,20949.9,17651.0,18193.0,,4342.0,-414.3,4538.3,2187.0,-166.0,2373.0,,4292.2,-1150.0,8575.8,,2312.4,4812.2,,2845.0,-436.7,1194.0,366.2,3120.0,-1382.7,-5920.5,974.5,-1178.0,1655.1,3164.2,2001.4,843.4,2217.0,1735.0,,2524.4,3996.0,7544.8,,3890.1,-143.9,7154.9,3856.0,4398.0,,True,False,True,True,True,,True,True,False,,True,False,,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,,True,True,False,,True,True,False,True,False,
South Dakota,1128,960.0,608.4,974.0,908.0,920.0,339.0,,971.7,691.0,1438.0,,887.8,1174.9,,967.5,789.2,936.0,807.6,935.0,1016.7,904.5,522.7,810.0,920.8,462.1,795.7,916.2,996.0,1287.0,,734.6,943.0,1074.8,,951.3,1102.0,,987.0,925.9,,-168.0,-519.6,-154.0,-220.0,-208.0,-789.0,,-156.3,-437.0,310.0,,-240.2,46.9,,-160.5,-338.8,-192.0,-320.4,-193.0,-111.3,-223.5,-605.3,-318.0,-207.2,-665.9,-332.3,-211.8,-132.0,159.0,,-393.4,-185.0,-53.2,,-176.7,-26.0,,-141.0,-202.1,,False,True,False,False,False,,True,False,False,,False,True,,True,False,False,False,False,True,False,False,False,False,False,False,False,True,True,,False,False,True,,False,True,,True,False,
Tennessee,9879,7937.0,8928.5,8177.5,8369.0,10012.0,11540.0,,9238.7,3434.0,9191.1,,4376.8,6729.0,,7041.8,7091.0,12140.0,10992.2,5938.0,10287.6,3462.5,7313.6,4182.5,6837.7,11500.0,8618.0,7062.2,7149.0,13962.0,,7650.8,5596.0,11308.6,,7949.8,10333.9,19814.4,7285.0,10442.0,,-1942.0,-950.5,-1701.5,-1510.0,133.0,1661.0,,-640.3,-6445.0,-687.9,,-5502.2,-3150.0,,-2837.2,-2788.0,2261.0,1113.2,-3941.0,408.6,-6416.5,-2565.4,-5696.5,-3041.3,1621.0,-1261.0,-2816.8,-2730.0,4083.0,,-2228.2,-4283.0,1429.6,,-1929.2,454.9,9935.4,-2594.0,563.0,,True,True,True,True,True,,True,False,True,,False,False,,False,False,False,True,False,True,False,False,False,False,True,True,False,False,False,,False,False,True,,True,True,False,False,True,
Texas,55547,29761.0,49479.5,78138.6,41074.0,48184.0,25354.0,,41074.4,95284.0,48128.3,,10573.9,45081.0,,27827.0,28130.4,38371.0,39444.4,58297.0,59094.9,20325.0,49019.4,25045.5,31743.6,41140.2,43420.5,34568.4,27584.0,45856.0,,33026.5,,71455.2,,37707.5,27995.9,95167.1,27719.0,34527.5,,-25786.0,-6067.5,22591.6,-14473.0,-7363.0,-30193.0,,-14472.6,39737.0,-7418.7,,-44973.1,-10466.0,,-27720.0,-27416.6,-17176.0,-16102.6,2750.0,3547.9,-35222.0,-6527.6,-30501.5,-23803.4,-14406.8,-12126.5,-20978.6,-27963.0,-9691.0,,-22520.5,,15908.2,,-17839.5,-27551.1,39620.1,-27828.0,-21019.5,,True,True,True,True,False,,True,False,True,,False,True,,False,False,True,True,True,True,False,True,False,True,True,True,True,False,True,,True,,True,,True,False,False,False,True,
Utah,4736,5450.0,3242.5,5472.5,4741.0,4333.0,3790.0,,5508.3,4403.0,8711.3,,4113.8,6638.6,,4386.0,4226.0,4696.0,4843.6,4823.0,4991.3,2174.5,4162.0,3525.0,4623.9,5376.4,5488.7,4542.4,4304.0,5240.0,,5067.7,5018.0,2775.9,,4932.9,3007.8,9700.4,4990.0,3513.4,,714.0,-1493.5,736.5,5.0,-403.0,-946.0,,772.3,-333.0,3975.3,,-622.2,1902.6,,-350.0,-510.0,-40.0,107.6,87.0,255.3,-2561.5,-574.0,-1211.0,-112.1,640.4,752.7,-193.6,-432.0,504.0,,331.7,282.0,-1960.1,,196.9,-1728.2,4964.4,254.0,-1222.6,,False,False,True,True,False,,False,True,False,,True,False,,True,True,True,True,True,True,False,True,False,True,True,False,True,True,True,,True,True,False,,True,False,False,True,False,
Vermont,739,798.0,538.4,812.9,812.0,645.0,765.0,,817.6,1049.0,1153.8,,764.7,1130.8,,739.6,566.5,891.0,823.7,827.0,630.3,841.5,888.4,706.0,708.0,745.8,763.2,760.8,756.0,594.0,,838.5,798.0,1032.6,,722.1,543.5,839.8,823.0,810.8,,59.0,-200.6,73.9,73.0,-94.0,26.0,,78.6,310.0,414.8,,25.7,391.8,,0.6,-172.5,152.0,84.7,88.0,-108.7,102.5,149.4,-33.0,-31.0,6.8,24.2,21.8,17.0,-145.0,,99.5,59.0,293.6,,-16.9,-195.5,100.8,84.0,71.8,,False,False,False,False,True,,False,False,False,,True,False,,True,False,False,False,False,False,False,False,True,True,True,True,True,True,False,,False,False,False,,True,False,False,False,False,
Virginia,12502,14388.0,12147.9,14599.8,13163.0,13039.0,13174.0,,16113.0,11259.0,14166.7,,9159.8,15167.3,,12920.6,10730.5,12784.0,20839.9,13725.0,13679.1,6691.5,12838.1,11900.5,12677.6,13500.9,14936.3,12687.1,12432.0,8275.0,,12257.2,12372.0,25180.0,,24049.1,11455.2,23572.7,13346.0,15414.2,,1886.0,-354.1,2097.8,661.0,537.0,672.0,,3611.0,-1243.0,1664.7,,-3342.2,2665.3,,418.6,-1771.5,282.0,8337.9,1223.0,1177.1,-5810.5,336.1,-601.5,175.6,998.9,2434.3,185.1,-70.0,-4227.0,,-244.8,-130.0,12678.0,,11547.1,-1046.8,11070.7,844.0,2912.2,,True,False,True,True,True,,False,True,True,,False,False,,True,True,True,False,True,True,False,True,True,True,True,False,True,True,False,,True,True,False,,False,True,False,True,False,
Washington,5979,5747.0,4895.0,5882.0,5157.0,5515.0,5137.0,,5473.1,8579.0,5766.4,,5033.7,1466.2,,4736.6,4063.9,5177.0,5544.1,4998.0,6214.7,2886.5,4965.3,3538.0,4396.4,2837.5,6625.3,4981.2,4935.0,5179.0,,6378.2,6805.0,11669.0,,5684.7,4949.5,11253.8,5910.0,5535.8,,-232.0,-1084.0,-97.0,-822.0,-464.0,-842.0,,-505.9,2600.0,-212.6,,-945.3,-4512.8,,-1242.4,-1915.1,-802.0,-434.9,-981.0,235.7,-3092.5,-1013.7,-2441.0,-1582.6,-3141.5,646.3,-997.8,-1044.0,-800.0,,399.2,826.0,5690.0,,-294.3,-1029.5,5274.8,-69.0,-443.2,,False,True,False,False,False,,False,False,True,,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,,False,False,False,True,False,
West Virginia,2216,2082.0,1712.9,2035.4,1830.0,2093.0,1841.0,,2143.0,1388.0,2137.5,,1430.7,2002.7,,1637.7,1470.6,2160.0,1739.9,1803.0,2305.6,1749.0,1654.0,1356.5,1725.2,1821.0,1882.2,1740.0,1638.0,2261.0,,1838.2,1582.0,2616.4,,2293.3,1850.5,1926.4,1924.0,1323.7,,-134.0,-503.1,-180.6,-386.0,-123.0,-375.0,,-73.0,-828.0,-78.5,,-785.3,-213.3,,-578.3,-745.4,-56.0,-476.1,-413.0,89.6,-467.0,-562.0,-859.5,-490.8,-395.0,-333.8,-476.0,-578.0,45.0,,-377.8,-634.0,400.4,,77.3,-365.5,-289.6,-292.0,-892.3,,False,False,False,True,False,,True,False,True,,False,False,,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,,False,False,False,,True,False,False,False,False,
Wisconsin,5097,5138.0,3856.1,5131.5,4590.0,5399.0,4445.0,,5193.8,4718.0,5434.9,,4105.1,3167.8,,3980.0,3729.7,5661.0,2901.6,4614.0,7682.3,2036.5,3792.3,3163.5,4183.1,5158.0,4580.3,4527.6,4155.0,4565.0,,3935.6,5181.0,1945.2,,5964.1,4360.9,6888.8,4599.0,4741.2,,41.0,-1240.9,34.5,-507.0,302.0,-652.0,,96.8,-379.0,337.9,,-991.9,-1929.2,,-1117.0,-1367.3,564.0,-2195.4,-483.0,2585.3,-3060.5,-1304.7,-1933.5,-913.9,61.0,-516.7,-569.4,-942.0,-532.0,,-1161.4,84.0,-3151.8,,867.1,-736.1,1791.8,-498.0,-355.8,,False,True,False,False,False,,False,False,False,,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,,False,False,False,False,False,
Wyoming,667,597.0,333.2,590.1,508.0,497.0,233.0,,499.5,1094.0,902.8,,657.7,665.4,,421.6,487.0,508.0,220.3,696.0,603.1,543.5,493.7,291.0,529.2,144.3,374.0,563.9,492.0,721.0,,366.3,658.0,703.2,,922.7,723.2,,501.0,623.6,,-70.0,-333.8,-76.9,-159.0,-170.0,-434.0,,-167.5,427.0,235.8,,-9.3,-1.6,,-245.4,-180.0,-159.0,-446.7,29.0,-63.9,-123.5,-173.3,-376.0,-137.8,-522.7,-293.0,-103.1,-175.0,54.0,,-300.7,-9.0,36.2,,255.7,56.2,,-166.0,-43.4,,False,False,False,False,False,,False,False,False,,True,True,,False,False,False,False,True,True,False,False,False,False,False,False,False,False,True,,False,True,True,,False,True,,False,True,
US,479046,498363.0,432228.5,665125.1,440786.0,456047.0,399125.0,477613.0,492055.5,426379.0,1072852.4,438412.1,355089.5,,284387.0,405263.8,433604.4,498615.0,409038.2,451336.0,538626.3,,403218.2,345764.0,429982.1,466419.7,456413.1,406177.6,396871.0,483780.0,455736.1,375708.4,409810.0,579476.6,435776.0,562715.4,403239.8,737150.7,451532.0,440888.6,417575.9,19317.0,-46817.5,186079.1,-38260.0,-22999.0,-79921.0,-1433.0,13009.5,-52667.0,593806.4,-40633.9,-123956.5,,-194659.0,-73782.2,-45441.6,19569.0,-70007.8,-27710.0,59580.3,,-75827.8,-133282.0,-49063.9,-12626.3,-22632.9,-72868.4,-82175.0,4734.0,-23309.9,-103337.6,-69236.0,100430.6,-43270.0,83669.4,-75806.2,258104.7,-27514.0,-38157.4,-61470.1,False,False,False,False,False,True,True,False,False,False,False,,False,False,False,False,False,False,False,,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
