,actual_cases,COVIDhub-baseline,BPagano-RtDriven,CEID-Walk,COVIDhub-ensemble,COVIDhub-trained_ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,FDANIHASU-Sweight,Google_Harvard-CPF,IBF-TimeSeries,IEM_MED-CovidProject,IowaStateLW-STEM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,JHU_UNC_GAS-StatMechPool,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MIT_ISOLAT-Mixtures,MOBS-GLEAM_COVID,Microsoft-DeepSTIA,OliverWyman-Navigator,OneQuietNight-ML,QJHong-Encounter,RobertWalraven-ESG,SigSci-TS,TTU-squider,UCF-AEM,UCLA-SuEIR,UMich-RidgeTfReg,USC-SI_kJalpha,UpstateSU-GRU,error-COVIDhub-baseline,error-BPagano-RtDriven,error-CEID-Walk,error-COVIDhub-ensemble,error-COVIDhub-trained_ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-FDANIHASU-Sweight,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IEM_MED-CovidProject,error-IowaStateLW-STEM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-JHU_UNC_GAS-StatMechPool,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MIT_ISOLAT-Mixtures,error-MOBS-GLEAM_COVID,error-Microsoft-DeepSTIA,error-OliverWyman-Navigator,error-OneQuietNight-ML,error-QJHong-Encounter,error-RobertWalraven-ESG,error-SigSci-TS,error-TTU-squider,error-UCF-AEM,error-UCLA-SuEIR,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,error-UpstateSU-GRU,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-COVIDhub-ensemble,beat_baseline-COVIDhub-trained_ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-FDANIHASU-Sweight,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IEM_MED-CovidProject,beat_baseline-IowaStateLW-STEM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-JHU_UNC_GAS-StatMechPool,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MIT_ISOLAT-Mixtures,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-Microsoft-DeepSTIA,beat_baseline-OliverWyman-Navigator,beat_baseline-OneQuietNight-ML,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-SigSci-TS,beat_baseline-TTU-squider,beat_baseline-UCF-AEM,beat_baseline-UCLA-SuEIR,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha,beat_baseline-UpstateSU-GRU
Nevada,10097,18126.0,13411.2,18519.2,13236.0,11108.0,18801.0,,16247.3,12340.0,15986.7,,15984.7,,12202.1,9353.0,12878.8,17935.0,14550.9,11929.5,10229.7,10556.0,13293.8,12080.1,16463.0,9997.3,14373.0,11577.0,,8854.3,14893.0,12234.8,,20298.4,5120.1,13933.0,,8029.0,3314.2,8422.2,3139.0,1011.0,8704.0,,6150.3,2243.0,5889.7,,5887.7,,2105.1,-744.0,2781.8,7838.0,4453.9,1832.5,132.7,459.0,3196.8,1983.1,6366.0,-99.7,4276.0,1480.0,,-1242.7,4796.0,2137.8,,10201.4,-4976.9,3836.0,,True,False,True,True,False,,True,True,True,,True,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,True,True,True,,False,True,True,
New Hampshire,6906,8097.0,6364.6,8198.3,6757.0,8599.0,4967.0,,7759.8,5119.0,10009.8,,8424.4,,5129.7,8971.0,5624.7,7812.0,7022.7,9640.0,5727.1,6103.0,5864.2,6374.9,9250.0,5888.7,8784.0,10757.0,,7073.1,5911.0,9847.3,,11248.8,9778.7,7951.0,,1191.0,-541.4,1292.3,-149.0,1693.0,-1939.0,,853.8,-1787.0,3103.8,,1518.4,,-1776.3,2065.0,-1281.3,906.0,116.7,2734.0,-1178.9,-803.0,-1041.8,-531.1,2344.0,-1017.3,1878.0,3851.0,,167.1,-995.0,2941.3,,4342.8,2872.7,1045.0,,True,False,True,False,False,,True,False,False,,False,,False,False,False,True,True,False,True,True,True,True,False,True,False,False,,True,True,False,,False,False,True,
New Jersey,69132,75876.0,53035.9,77619.8,68231.0,67959.0,70340.0,,71596.3,70774.0,85437.3,,79790.0,,62500.8,67784.0,61097.8,62290.0,58166.6,78413.0,60512.0,62526.0,61860.5,78394.4,66135.9,64649.4,72578.0,77669.0,,70743.8,66818.0,48516.6,,56189.8,105669.7,67857.0,,6744.0,-16096.1,8487.8,-901.0,-1173.0,1208.0,,2464.3,1642.0,16305.3,,10658.0,,-6631.2,-1348.0,-8034.2,-6842.0,-10965.4,9281.0,-8620.0,-6606.0,-7271.5,9262.4,-2996.1,-4482.6,3446.0,8537.0,,1611.8,-2314.0,-20615.4,,-12942.2,36537.7,-1275.0,,False,False,True,True,True,,True,True,False,,False,,True,True,False,False,False,False,False,True,False,False,True,True,True,False,,True,True,False,,False,False,True,
New Mexico,7674,11025.0,7846.2,10803.2,8671.0,8147.0,9517.0,,10847.8,10571.0,8553.3,,9920.8,,7686.6,12990.0,5559.4,10766.0,8658.6,8758.5,9493.5,5877.5,7981.4,5658.1,5940.1,7043.8,9187.0,8969.0,,7356.9,,13442.7,,14269.4,13167.3,8779.0,,3351.0,172.2,3129.2,997.0,473.0,1843.0,,3173.8,2897.0,879.3,,2246.8,,12.6,5316.0,-2114.6,3092.0,984.6,1084.5,1819.5,-1796.5,307.4,-2015.9,-1733.9,-630.2,1513.0,1295.0,,-317.1,,5768.7,,6595.4,5493.3,1105.0,,True,True,True,True,True,,True,True,True,,True,,True,False,True,True,True,True,True,True,True,True,True,True,True,True,,True,,False,,False,False,True,
New York,165739,184809.0,133447.4,178866.7,158294.0,169951.0,189954.0,,138753.1,155518.0,242059.7,,161285.8,,138109.8,166595.0,227372.5,130386.0,174915.3,148957.0,133713.3,117466.5,145137.8,176372.5,147866.2,151329.2,186081.0,173440.0,,187242.9,147747.0,209372.9,,207761.4,149344.9,150188.0,,19070.0,-32291.6,13127.7,-7445.0,4212.0,24215.0,,-26985.9,-10221.0,76320.7,,-4453.2,,-27629.2,856.0,61633.5,-35353.0,9176.3,-16782.0,-32025.7,-48272.5,-20601.2,10633.5,-17872.8,-14409.8,20342.0,7701.0,,21503.9,-17992.0,43633.9,,42022.4,-16394.1,-15551.0,,False,True,True,True,False,,False,True,False,,True,,False,True,False,False,True,True,False,False,False,True,True,True,False,True,,False,True,False,,False,True,True,
North Carolina,67027,116682.0,75235.6,115398.9,96837.0,88860.0,139060.0,,109570.9,65130.0,134193.7,,86926.4,,103671.9,124071.0,84674.9,124972.0,74426.5,98393.5,87952.6,61700.0,87072.9,62889.5,76913.8,95777.5,119288.0,97463.0,,90076.6,,103238.8,,111111.3,128613.4,95028.0,,49655.0,8208.6,48371.9,29810.0,21833.0,72033.0,,42543.9,-1897.0,67166.7,,19899.4,,36644.9,57044.0,17647.9,57945.0,7399.5,31366.5,20925.6,-5327.0,20045.9,-4137.5,9886.8,28750.5,52261.0,30436.0,,23049.6,,36211.8,,44084.3,61586.4,28001.0,,True,True,True,True,False,,True,True,False,,True,,True,False,True,False,True,True,True,True,True,True,True,True,False,True,,True,,True,,True,False,True,
North Dakota,1683,1635.0,673.3,1589.8,1353.0,3488.0,996.0,,1703.2,471.0,1725.4,,1495.9,,1112.6,2394.0,588.0,2117.0,2641.8,1431.0,871.9,826.0,1370.5,1223.8,352.9,1263.9,1320.0,5504.0,,1232.9,1263.0,2116.9,,2398.6,2816.2,1409.0,,-48.0,-1009.7,-93.2,-330.0,1805.0,-687.0,,20.2,-1212.0,42.4,,-187.1,,-570.4,711.0,-1095.0,434.0,958.8,-252.0,-811.1,-857.0,-312.5,-459.2,-1330.1,-419.1,-363.0,3821.0,,-450.1,-420.0,433.9,,715.6,1133.2,-274.0,,False,False,False,False,False,,True,False,True,,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,,False,False,False,
Ohio,48075,75894.0,52766.0,73165.4,58734.0,74443.0,61446.0,,70677.6,50388.0,77682.9,,59634.8,,49041.1,76869.0,54904.6,69949.0,56964.8,59520.5,55435.8,42556.5,53267.3,39203.8,115023.2,47026.7,70063.0,88509.0,,40514.3,52727.0,31046.4,,79640.3,72109.9,59711.0,,27819.0,4691.0,25090.4,10659.0,26368.0,13371.0,,22602.6,2313.0,29607.9,,11559.8,,966.1,28794.0,6829.6,21874.0,8889.8,11445.5,7360.8,-5518.5,5192.3,-8871.2,66948.2,-1048.3,21988.0,40434.0,,-7560.7,4652.0,-17028.6,,31565.3,24034.9,11636.0,,True,True,True,True,True,,True,True,False,,True,,True,False,True,True,True,True,True,True,True,True,False,True,True,False,,True,True,True,,False,True,True,
Oklahoma,22022,45570.0,30608.7,47715.2,37166.0,35125.0,42197.0,,40953.3,35049.0,56533.4,,31178.5,,36971.6,44390.0,31196.2,45212.0,30149.6,34609.5,31557.9,26005.0,33039.4,37480.4,47288.1,32210.6,42082.0,38827.0,,31090.7,57649.0,24448.6,,35406.2,50234.0,39416.0,,23548.0,8586.7,25693.2,15144.0,13103.0,20175.0,,18931.3,13027.0,34511.4,,9156.5,,14949.6,22368.0,9174.2,23190.0,8127.6,12587.5,9535.9,3983.0,11017.4,15458.4,25266.1,10188.6,20060.0,16805.0,,9068.7,35627.0,2426.6,,13384.2,28212.0,17394.0,,True,False,True,True,True,,True,True,False,,True,,True,True,True,True,True,True,True,True,True,True,False,True,True,True,,True,False,True,,True,False,True,
Oregon,8574,12975.0,7692.3,13080.6,11600.0,13666.0,13603.0,,12460.7,11446.0,11586.4,,11158.1,,10031.9,12334.0,8997.8,12784.0,11172.9,13775.5,11031.5,10786.5,10918.7,4100.2,11756.9,9768.9,13227.0,17465.0,,8760.7,13578.0,18802.7,,11032.0,12163.4,14561.0,,4401.0,-881.7,4506.6,3026.0,5092.0,5029.0,,3886.7,2872.0,3012.4,,2584.1,,1457.9,3760.0,423.8,4210.0,2598.9,5201.5,2457.5,2212.5,2344.7,-4473.8,3182.9,1194.9,4653.0,8891.0,,186.7,5004.0,10228.7,,2458.0,3589.4,5987.0,,True,False,True,False,False,,True,True,True,,True,,True,True,True,True,True,False,True,True,True,False,True,True,False,False,,True,False,False,,True,True,False,
Pennsylvania,62309,80241.0,62519.2,77986.8,70543.0,82331.0,75363.0,,80677.1,33300.0,88694.9,,84671.0,,71519.7,81840.0,86978.2,62224.0,73616.6,68932.5,70565.9,67535.5,66387.0,53013.0,65527.4,65502.2,72248.0,93204.0,,65847.3,,82921.5,,76733.9,94876.3,65925.0,,17932.0,210.2,15677.8,8234.0,20022.0,13054.0,,18368.1,-29009.0,26385.9,,22362.0,,9210.7,19531.0,24669.2,-85.0,11307.6,6623.5,8256.9,5226.5,4078.0,-9296.0,3218.4,3193.2,9939.0,30895.0,,3538.3,,20612.5,,14424.9,32567.3,3616.0,,True,True,True,False,True,,False,False,False,,False,,True,False,False,True,True,True,True,True,True,True,True,True,True,False,,True,,False,,True,False,True,
Rhode Island,7731,10359.0,6885.6,11118.5,8485.0,8559.0,15805.0,,9488.9,6945.0,1977416.0,,10478.5,,6799.5,12170.0,6876.8,8885.0,7777.7,9210.0,9430.5,5938.0,7523.6,7868.9,13321.9,7959.4,9786.0,10037.0,,3541.3,8340.0,4338.3,,9277.4,14012.7,6983.0,,2628.0,-845.4,3387.5,754.0,828.0,8074.0,,1757.9,-786.0,1969685.0,,2747.5,,-931.5,4439.0,-854.2,1154.0,46.7,1479.0,1699.5,-1793.0,-207.4,137.9,5590.9,228.4,2055.0,2306.0,,-4189.7,609.0,-3392.7,,1546.4,6281.7,-748.0,,True,False,True,True,False,,True,True,False,,False,,True,False,True,True,True,True,True,True,True,True,False,True,True,True,,False,True,False,,True,False,True,
South Carolina,52091,69588.0,48403.1,70369.1,59659.0,52133.0,62416.0,,64995.8,47516.0,93511.2,,62243.5,,57599.1,64213.0,44895.1,72680.0,44381.4,48833.0,53641.3,39649.5,52106.4,52620.1,75740.2,55571.8,67610.0,55143.0,,52495.4,74508.0,87788.7,,62216.6,69905.9,50411.0,,17497.0,-3687.9,18278.1,7568.0,42.0,10325.0,,12904.8,-4575.0,41420.2,,10152.5,,5508.1,12122.0,-7195.9,20589.0,-7709.6,-3258.0,1550.3,-12441.5,15.4,529.1,23649.2,3480.8,15519.0,3052.0,,404.4,22417.0,35697.7,,10125.6,17814.9,-1680.0,,True,False,True,True,True,,True,True,False,,True,,True,True,True,False,True,True,True,True,True,True,False,True,True,True,,True,False,False,,True,False,True,
South Dakota,3161,3186.0,1569.4,3320.1,2275.0,4707.0,1858.0,,2712.0,3006.0,4026.9,,3492.6,,2044.8,2743.0,2496.7,3110.0,3429.7,2240.0,2051.5,1317.5,2147.5,775.8,1382.2,1684.6,2148.0,6738.0,,1371.6,2269.0,3711.0,,3481.2,1906.7,2346.0,,25.0,-1591.6,159.1,-886.0,1546.0,-1303.0,,-449.0,-155.0,865.9,,331.6,,-1116.2,-418.0,-664.3,-51.0,268.7,-921.0,-1109.5,-1843.5,-1013.5,-2385.2,-1778.8,-1476.4,-1013.0,3577.0,,-1789.4,-892.0,550.0,,320.2,-1254.3,-815.0,,False,False,False,False,False,,False,False,False,,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,,False,False,False,
Tennessee,31674,52413.0,36265.5,51847.3,41954.0,44080.0,52333.0,,45660.7,19037.0,55572.1,,40684.3,,39689.1,53278.0,28515.1,49564.0,37272.6,29388.5,32090.8,33040.0,40897.6,21514.1,66998.6,29773.7,40688.0,51632.0,,26991.5,,47258.1,,47325.4,49850.4,44229.0,,20739.0,4591.5,20173.3,10280.0,12406.0,20659.0,,13986.7,-12637.0,23898.1,,9010.3,,8015.1,21604.0,-3158.9,17890.0,5598.6,-2285.5,416.8,1366.0,9223.6,-10159.9,35324.6,-1900.3,9014.0,19958.0,,-4682.5,,15584.1,,15651.4,18176.4,12555.0,,True,True,True,True,True,,True,True,False,,True,,True,False,True,True,True,True,True,True,True,True,False,True,True,True,,True,,True,,True,True,True,
Texas,162858,369717.0,240177.2,356084.2,310941.0,275933.0,372256.0,,374370.6,353862.0,271496.4,,330161.8,,284803.5,362323.0,297285.6,384568.0,257795.0,349905.5,273767.6,236717.5,223179.1,433018.9,221372.8,298956.0,322393.0,289869.0,,253997.6,,233638.3,,332843.9,415304.4,284786.0,,206859.0,77319.2,193226.2,148083.0,113075.0,209398.0,,211512.6,191004.0,108638.4,,167303.8,,121945.5,199465.0,134427.6,221710.0,94937.0,187047.5,110909.6,73859.5,60321.1,270160.9,58514.8,136098.0,159535.0,127011.0,,91139.6,,70780.3,,169985.9,252446.4,121928.0,,True,True,True,True,False,,False,True,True,,True,,True,True,True,False,True,True,True,True,True,False,True,True,True,True,,True,,True,,True,False,True,
Utah,17070,24810.0,12520.0,24212.2,19952.0,18950.0,19384.0,,22773.7,18161.0,32179.8,,19671.4,,17009.6,25101.0,8199.6,20646.0,17007.4,15163.5,15418.2,11875.0,18251.7,21952.3,25825.8,15526.2,21063.0,22933.0,,21479.5,20906.0,10298.4,,17709.6,28678.1,22676.0,,7740.0,-4550.0,7142.2,2882.0,1880.0,2314.0,,5703.7,1091.0,15109.8,,2601.4,,-60.4,8031.0,-8870.4,3576.0,-62.6,-1906.5,-1651.8,-5195.0,1181.7,4882.3,8755.8,-1543.8,3993.0,5863.0,,4409.5,3836.0,-6771.6,,639.6,11608.1,5606.0,,True,True,True,True,True,,True,True,False,,True,,True,False,False,True,True,True,True,True,True,True,False,True,True,True,,True,True,True,,True,False,True,
Vermont,2332,2805.0,933.7,2826.4,2799.0,3618.0,3415.0,,2982.2,5283.0,1970.7,,2259.8,,2806.3,3081.0,3203.6,2842.0,2240.9,2937.5,3048.5,2688.0,2367.5,2525.2,2458.4,2642.4,3866.0,4922.0,,2558.2,,3363.9,,2065.5,3063.9,2983.0,,473.0,-1398.3,494.4,467.0,1286.0,1083.0,,650.2,2951.0,-361.3,,-72.2,,474.3,749.0,871.6,510.0,-91.1,605.5,716.5,356.0,35.5,193.2,126.4,310.4,1534.0,2590.0,,226.2,,1031.9,,-266.5,731.9,651.0,,False,False,True,False,False,,False,False,True,,True,,False,False,False,False,True,False,False,True,True,True,True,True,False,False,,True,,False,,True,False,False,
Virginia,48138,71865.0,50444.5,70844.4,60681.0,59400.0,52555.0,,70812.8,54648.0,83101.9,,79160.0,,52314.1,69160.0,76165.8,58812.0,54841.0,71404.0,51922.0,37221.0,63677.6,61620.4,45540.1,64600.7,81681.0,62699.0,,61688.0,,83785.7,,38941.3,82225.2,55872.0,,23727.0,2306.5,22706.4,12543.0,11262.0,4417.0,,22674.8,6510.0,34963.9,,31022.0,,4176.1,21022.0,28027.8,10674.0,6703.0,23266.0,3784.0,-10917.0,15539.6,13482.4,-2597.9,16462.7,33543.0,14561.0,,13550.0,,35647.7,,-9196.7,34087.2,7734.0,,True,True,True,True,True,,True,True,False,,False,,True,True,False,True,True,True,True,True,True,True,True,True,False,True,,True,,False,,True,False,True,
Washington,19627,25647.0,21127.5,22598.6,23143.0,27483.0,21313.0,,22364.4,28478.0,10798.4,,17972.0,,22674.9,30861.0,22444.3,25038.0,29387.9,26657.5,26664.8,21706.0,19417.1,9468.3,39600.8,17812.6,28673.0,28265.0,,22934.8,24328.0,41119.2,,22456.1,34874.3,23405.0,,6020.0,1500.5,2971.6,3516.0,7856.0,1686.0,,2737.4,8851.0,-8828.6,,-1655.0,,3047.9,11234.0,2817.3,5411.0,9760.9,7030.5,7037.8,2079.0,-209.9,-10158.7,19973.8,-1814.4,9046.0,8638.0,,3307.8,4701.0,21492.2,,2829.1,15247.3,3778.0,,True,True,True,False,True,,True,False,False,,True,,True,False,True,True,False,False,False,True,True,False,False,True,False,False,,True,True,False,,True,False,True,
West Virginia,7390,11550.0,8998.5,11608.1,9576.0,10918.0,9370.0,,11322.1,10378.0,14942.2,,8871.1,,7884.4,12361.0,11401.8,10040.0,8836.1,10843.5,7661.6,6611.0,8641.3,9926.4,7895.3,8666.9,11487.0,12605.0,,8671.2,13540.0,10525.3,,9511.6,9654.8,9309.0,,4160.0,1608.5,4218.1,2186.0,3528.0,1980.0,,3932.1,2988.0,7552.2,,1481.1,,494.4,4971.0,4011.8,2650.0,1446.1,3453.5,271.6,-779.0,1251.3,2536.4,505.3,1276.9,4097.0,5215.0,,1281.2,6150.0,3135.3,,2121.6,2264.8,1919.0,,True,False,True,True,True,,True,True,False,,True,,True,False,True,True,True,True,True,True,True,True,True,True,True,False,,True,False,True,,True,True,True,
Wisconsin,16870,27057.0,17391.4,27856.7,21460.0,35634.0,28245.0,,25066.5,17547.0,27690.0,,21866.1,,18383.3,25445.0,14525.9,26089.0,30367.4,20245.5,20548.3,15561.5,20481.0,4458.9,21688.9,16761.8,23471.0,47032.0,,16826.1,26865.0,8980.4,,23113.8,16771.8,21933.0,,10187.0,521.4,10986.7,4590.0,18764.0,11375.0,,8196.5,677.0,10820.0,,4996.1,,1513.3,8575.0,-2344.1,9219.0,13497.4,3375.5,3678.3,-1308.5,3611.0,-12411.1,4818.9,-108.2,6601.0,30162.0,,-43.9,9995.0,-7889.6,,6243.8,-98.2,5063.0,,True,False,True,False,False,,True,True,False,,True,,True,True,True,True,False,True,True,True,True,False,True,True,True,False,,True,True,True,,True,True,True,
Wyoming,1732,2742.0,1638.4,2448.5,2119.0,3034.0,2161.0,,2272.0,6845.0,2310.9,,2672.8,,1172.9,3822.0,869.8,2739.0,2075.9,2383.0,1976.9,989.0,1509.9,510.0,2801.2,1418.6,2294.0,4122.0,,1895.8,3460.0,2328.1,,1722.9,2389.2,2108.0,,1010.0,-93.6,716.5,387.0,1302.0,429.0,,540.0,5113.0,578.9,,940.8,,-559.1,2090.0,-862.2,1007.0,343.9,651.0,244.9,-743.0,-222.1,-1222.0,1069.2,-313.4,562.0,2390.0,,163.8,1728.0,596.1,,-9.1,657.2,376.0,,True,True,True,False,True,,True,False,True,,True,,True,False,True,True,True,True,True,True,True,False,False,True,True,False,,True,False,True,,True,True,True,
US,1614939,2528706.0,1851328.5,2581262.5,2016813.0,2087260.0,2532897.0,1790275.0,2530218.5,1833737.0,9917913.5,2228810.6,,2491447.0,1734063.2,2486409.0,2010426.0,2245685.0,2115272.4,,1782972.9,1534828.5,1803237.6,2024457.2,2242917.6,1855141.1,2342449.0,2014621.0,2288195.4,1824872.0,1999169.0,2327025.5,2080828.0,1969123.3,2226518.5,2014146.0,1922880.0,913767.0,236389.5,966323.5,401874.0,472321.0,917958.0,175336.0,915279.5,218798.0,8302974.5,613871.6,,876508.0,119124.2,871470.0,395487.0,630746.0,500333.4,,168033.9,-80110.5,188298.6,409518.2,627978.6,240202.1,727510.0,399682.0,673256.4,209933.0,384230.0,712086.5,465889.0,354184.3,611579.5,399207.0,307941.0,True,False,True,True,False,True,False,True,False,True,,True,True,True,True,True,True,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
