,actual_cases,COVIDhub-baseline,BPagano-RtDriven,CEID-Walk,CMU-TimeSeries,COVIDhub-ensemble,COVIDhub-trained_ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,FAIR-NRAR,FDANIHASU-Sweight,Google_Harvard-CPF,IBF-TimeSeries,IEM_MED-CovidProject,IowaStateLW-STEM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,JHU_UNC_GAS-StatMechPool,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MIT_ISOLAT-Mixtures,MOBS-GLEAM_COVID,Microsoft-DeepSTIA,OliverWyman-Navigator,OneQuietNight-ML,PandemicCentral-USCounty,QJHong-Encounter,RobertWalraven-ESG,SigSci-TS,TTU-squider,UCF-AEM,UCLA-SuEIR,UMass-MechBayes,UMich-RidgeTfReg,USC-SI_kJalpha,UpstateSU-GRU,error-COVIDhub-baseline,error-BPagano-RtDriven,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-ensemble,error-COVIDhub-trained_ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-FAIR-NRAR,error-FDANIHASU-Sweight,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IEM_MED-CovidProject,error-IowaStateLW-STEM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-JHU_UNC_GAS-StatMechPool,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MIT_ISOLAT-Mixtures,error-MOBS-GLEAM_COVID,error-Microsoft-DeepSTIA,error-OliverWyman-Navigator,error-OneQuietNight-ML,error-PandemicCentral-USCounty,error-QJHong-Encounter,error-RobertWalraven-ESG,error-SigSci-TS,error-TTU-squider,error-UCF-AEM,error-UCLA-SuEIR,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,error-UpstateSU-GRU,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-ensemble,beat_baseline-COVIDhub-trained_ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-FAIR-NRAR,beat_baseline-FDANIHASU-Sweight,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IEM_MED-CovidProject,beat_baseline-IowaStateLW-STEM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-JHU_UNC_GAS-StatMechPool,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MIT_ISOLAT-Mixtures,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-Microsoft-DeepSTIA,beat_baseline-OliverWyman-Navigator,beat_baseline-OneQuietNight-ML,beat_baseline-PandemicCentral-USCounty,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-SigSci-TS,beat_baseline-TTU-squider,beat_baseline-UCF-AEM,beat_baseline-UCLA-SuEIR,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha,beat_baseline-UpstateSU-GRU
19093,15,45.0,,43.4,,35.0,39.0,0.0,,,,,25.9,,11.3,,,26.0,62.0,,35.5,,,18.0,28.0,,,,32.0,59.0,92.6,,,,,,,,,,45.9,30.0,,28.4,,20.0,24.0,-15.0,,,,,10.9,,-3.7,,,11.0,47.0,,20.5,,,3.0,13.0,,,,17.0,44.0,77.6,,,,,,,,,,30.9,,True,,True,True,True,,,,,True,,True,,,True,False,,True,,,True,True,,,,True,False,False,,,,,,,,,,False
19095,48,81.0,,86.0,,78.0,87.0,84.0,,,,,52.0,,77.3,,,73.0,42.9,,73.6,,,59.0,64.5,,,,83.0,139.0,101.0,,,,,,,,,,93.7,33.0,,38.0,,30.0,39.0,36.0,,,,,4.0,,29.3,,,25.0,-5.1,,25.6,,,11.0,16.5,,,,35.0,91.0,53.0,,,,,,,,,,45.7,,False,,True,False,False,,,,,True,,True,,,True,True,,True,,,True,True,,,,False,False,False,,,,,,,,,,False
19097,66,102.0,,102.4,,82.0,94.0,85.0,,,,,81.7,,62.3,,,74.0,67.0,,101.3,,,56.0,69.8,,,,96.0,150.0,156.5,,,,,,,,,,137.4,36.0,,36.4,,16.0,28.0,19.0,,,,,15.7,,-3.7,,,8.0,1.0,,35.3,,,-10.0,3.8,,,,30.0,84.0,90.5,,,,,,,,,,71.4,,False,,True,True,True,,,,,True,,True,,,True,True,,True,,,True,True,,,,True,False,False,,,,,,,,,,False
19099,388,174.0,,183.6,,142.0,164.0,133.0,,,,,142.7,,119.0,,,153.0,121.2,,204.5,138.0,,105.0,138.3,,,,150.0,277.0,82.9,,,,,,218.5,,,,212.0,-214.0,,-204.4,,-246.0,-224.0,-255.0,,,,,-245.3,,-269.0,,,-235.0,-266.8,,-183.5,-250.0,,-283.0,-249.7,,,,-238.0,-111.0,-305.1,,,,,,-169.5,,,,-176.0,,True,,False,False,False,,,,,False,,False,,,False,False,,True,False,,False,False,,,,False,True,False,,,,,,True,,,,True
19101,29,45.0,,39.7,,46.0,57.0,11.0,,,,,46.1,,59.8,,,85.0,9.7,,49.8,,,63.0,32.5,,,,26.0,63.0,99.4,,,,,,,,,,67.7,16.0,,10.7,,17.0,28.0,-18.0,,,,,17.1,,30.8,,,56.0,-19.3,,20.8,,,34.0,3.5,,,,-3.0,34.0,70.4,,,,,,,,,,38.7,,True,,False,False,False,,,,,False,,False,,,False,False,,False,,,False,True,,,,True,False,False,,,,,,,,,,False
19103,410,588.0,,582.7,,512.0,564.0,892.0,,,,,481.1,,513.5,,361.7,595.0,177.7,,540.2,433.0,,438.0,435.4,,,,498.0,1048.0,872.2,,,,,,628.7,331.0,,,669.2,178.0,,172.7,,102.0,154.0,482.0,,,,,71.1,,103.5,,-48.3,185.0,-232.3,,130.2,23.0,,28.0,25.4,,,,88.0,638.0,462.2,,,,,,218.7,-79.0,,,259.2,,True,,True,True,False,,,,,True,,True,,True,False,False,,True,True,,True,True,,,,True,False,False,,,,,,False,True,,,False
19105,39,84.0,,73.3,,80.0,116.0,0.0,,,,,82.1,,45.5,,,99.0,50.8,,102.2,,,57.0,76.8,,,,73.0,169.0,273.1,,,,,,206.6,,,,213.7,45.0,,34.3,,41.0,77.0,-39.0,,,,,43.1,,6.5,,,60.0,11.8,,63.2,,,18.0,37.8,,,,34.0,130.0,234.1,,,,,,167.6,,,,174.7,,True,,True,False,True,,,,,True,,True,,,False,True,,False,,,True,True,,,,True,False,False,,,,,,False,,,,False
19107,35,39.0,,33.8,,25.0,33.0,13.0,,,,,25.8,,23.7,,,52.0,3.6,,26.5,,,10.0,24.0,,,,16.0,71.0,19.0,,,,,,,,,,61.1,4.0,,-1.2,,-10.0,-2.0,-22.0,,,,,-9.2,,-11.3,,,17.0,-31.4,,-8.5,,,-25.0,-11.0,,,,-19.0,36.0,-16.0,,,,,,,,,,26.1,,True,,False,True,False,,,,,False,,False,,,False,False,,False,,,False,False,,,,False,False,False,,,,,,,,,,False
19109,78,129.0,,126.3,,95.0,96.0,95.0,,,,,79.5,,48.7,,,50.0,86.3,,90.9,,,64.0,74.9,,,,98.0,161.0,164.8,,,,,,,,,,128.9,51.0,,48.3,,17.0,18.0,17.0,,,,,1.5,,-29.3,,,-28.0,8.3,,12.9,,,-14.0,-3.1,,,,20.0,83.0,86.8,,,,,,,,,,50.9,,True,,True,True,True,,,,,True,,True,,,True,True,,True,,,True,True,,,,True,False,False,,,,,,,,,,True
19111,112,183.0,,190.8,,182.0,190.0,217.0,,,,,137.1,,171.3,,,174.0,346.2,,196.7,137.0,,136.0,147.6,,,,202.0,295.0,304.1,,,,,,192.8,,,,186.8,71.0,,78.8,,70.0,78.0,105.0,,,,,25.1,,59.3,,,62.0,234.2,,84.7,25.0,,24.0,35.6,,,,90.0,183.0,192.1,,,,,,80.8,,,,74.8,,False,,True,False,False,,,,,True,,True,,,True,False,,False,True,,True,True,,,,False,False,False,,,,,,False,,,,False
19113,555,1041.0,,1088.2,,1022.0,1092.0,1423.0,,,,,683.0,,671.3,,943.7,981.0,1364.9,,1004.8,747.5,,1004.0,894.9,,,,1042.0,1758.0,1575.0,,,,,,1040.3,703.0,,,1088.9,486.0,,533.2,,467.0,537.0,868.0,,,,,128.0,,116.3,,388.7,426.0,809.9,,449.8,192.5,,449.0,339.9,,,,487.0,1203.0,1020.0,,,,,,485.3,148.0,,,533.9,,False,,True,False,False,,,,,True,,True,,True,True,False,,True,True,,True,True,,,,False,False,False,,,,,,True,True,,,False
19115,33,27.0,,31.4,,29.0,31.0,20.0,,,,,43.0,,16.5,,,56.0,31.8,,40.8,,,3.0,22.4,,,,23.0,69.0,27.8,,,,,,,,,,52.5,-6.0,,-1.6,,-4.0,-2.0,-13.0,,,,,10.0,,-16.5,,,23.0,-1.2,,7.8,,,-30.0,-10.6,,,,-10.0,36.0,-5.2,,,,,,,,,,19.5,,True,,True,True,False,,,,,False,,False,,,False,True,,False,,,False,False,,,,False,False,True,,,,,,,,,,False
19117,20,21.0,,14.5,,22.0,30.0,3.0,,,,,33.2,,26.4,,,49.0,18.0,,24.8,,,3.0,18.4,,,,16.0,55.0,84.6,,,,,,,,,,49.9,1.0,,-5.5,,2.0,10.0,-17.0,,,,,13.2,,6.4,,,29.0,-2.0,,4.8,,,-17.0,-1.6,,,,-4.0,35.0,64.6,,,,,,,,,,29.9,,False,,False,False,False,,,,,False,,False,,,False,False,,False,,,False,False,,,,False,False,False,,,,,,,,,,False
19119,42,45.0,,37.9,,38.0,50.0,28.0,,,,,50.1,,17.8,,,28.0,20.7,,44.9,,,19.0,36.3,,,,29.0,83.0,142.7,,,,,,,,,,77.1,3.0,,-4.1,,-4.0,8.0,-14.0,,,,,8.1,,-24.2,,,-14.0,-21.3,,2.9,,,-23.0,-5.7,,,,-13.0,41.0,100.7,,,,,,,,,,35.1,,False,,False,False,False,,,,,False,,False,,,False,False,,True,,,False,False,,,,False,False,False,,,,,,,,,,False
19121,76,123.0,,130.1,,93.0,93.0,101.0,,,,,71.9,,84.9,,,67.0,78.2,,98.9,,,49.0,76.8,,,,131.0,133.0,157.9,,,,,,,,,,118.0,47.0,,54.1,,17.0,17.0,25.0,,,,,-4.1,,8.9,,,-9.0,2.2,,22.9,,,-27.0,0.8,,,,55.0,57.0,81.9,,,,,,,,,,42.0,,False,,True,True,True,,,,,True,,True,,,True,True,,True,,,True,True,,,,False,False,False,,,,,,,,,,True
19123,66,147.0,,139.0,,106.0,122.0,111.0,,,,,92.3,,79.2,,,111.0,75.9,,120.3,,,80.0,92.3,,,,109.0,190.0,204.3,,,,,,77.1,,,,132.4,81.0,,73.0,,40.0,56.0,45.0,,,,,26.3,,13.2,,,45.0,9.9,,54.3,,,14.0,26.3,,,,43.0,124.0,138.3,,,,,,11.1,,,,66.4,,True,,True,True,True,,,,,True,,True,,,True,True,,True,,,True,True,,,,True,False,False,,,,,,True,,,,True
19125,141,237.0,,222.3,,168.0,204.0,173.0,,,,,141.2,,132.4,,,161.0,112.1,,181.0,133.5,,132.0,152.3,,,,178.0,292.0,317.5,,,,,,279.3,,,,223.7,96.0,,81.3,,27.0,63.0,32.0,,,,,0.2,,-8.6,,,20.0,-28.9,,40.0,-7.5,,-9.0,11.3,,,,37.0,151.0,176.5,,,,,,138.3,,,,82.7,,True,,True,True,True,,,,,True,,True,,,True,True,,True,True,,True,True,,,,True,False,False,,,,,,False,,,,True
19127,137,267.0,,272.4,,213.0,255.0,190.0,,,,,149.2,,121.7,,,196.0,169.7,,204.1,109.5,,253.0,204.0,,,,254.0,351.0,429.2,,,,,,267.0,,,,265.9,130.0,,135.4,,76.0,118.0,53.0,,,,,12.2,,-15.3,,,59.0,32.7,,67.1,-27.5,,116.0,67.0,,,,117.0,214.0,292.2,,,,,,130.0,,,,128.9,,False,,True,True,True,,,,,True,,True,,,True,True,,True,True,,True,True,,,,True,False,False,,,,,,True,,,,True
19129,49,81.0,,74.2,,60.0,69.0,42.0,,,,,41.9,,65.5,,,62.0,23.6,,65.7,,,49.0,58.8,,,,65.0,102.0,151.9,,,,,,,,,,83.3,32.0,,25.2,,11.0,20.0,-7.0,,,,,-7.1,,16.5,,,13.0,-25.4,,16.7,,,0.0,9.8,,,,16.0,53.0,102.9,,,,,,,,,,34.3,,True,,True,True,True,,,,,True,,True,,,True,True,,True,,,True,True,,,,True,False,False,,,,,,,,,,False
19131,17,9.0,,7.4,,14.0,33.0,5.0,,,,,36.7,,15.1,,,45.0,3.9,,34.0,,,0.0,13.4,,,,13.0,63.0,143.4,,,,,,,,,,44.1,-8.0,,-9.6,,-3.0,16.0,-12.0,,,,,19.7,,-1.9,,,28.0,-13.1,,17.0,,,-17.0,-3.6,,,,-4.0,46.0,126.4,,,,,,,,,,27.1,,False,,True,False,False,,,,,False,,True,,,False,False,,False,,,False,True,,,,True,False,False,,,,,,,,,,False
19133,26,48.0,,40.0,,44.0,53.0,105.0,,,,,32.2,,30.4,,,27.0,224.1,,52.7,,,19.0,30.3,,,,60.0,76.0,84.6,,,,,,,,,,54.7,22.0,,14.0,,18.0,27.0,79.0,,,,,6.2,,4.4,,,1.0,198.1,,26.7,,,-7.0,4.3,,,,34.0,50.0,58.6,,,,,,,,,,28.7,,True,,True,False,False,,,,,True,,True,,,True,False,,False,,,True,True,,,,False,False,False,,,,,,,,,,False
19135,35,60.0,,64.8,,42.0,42.0,0.0,,,,,42.9,,30.9,,,44.0,9.1,,35.1,,,32.0,33.1,,,,47.0,61.0,60.3,,,,,,,,,,61.9,25.0,,29.8,,7.0,7.0,-35.0,,,,,7.9,,-4.1,,,9.0,-25.9,,0.1,,,-3.0,-1.9,,,,12.0,26.0,25.3,,,,,,,,,,26.9,,False,,True,True,False,,,,,True,,True,,,True,False,,True,,,True,True,,,,True,False,False,,,,,,,,,,False
19137,29,45.0,,51.5,,44.0,61.0,45.0,,,,,41.3,,55.4,,,41.0,73.9,,53.5,,,22.0,32.9,,,,36.0,78.0,132.5,,,,,,,,,,63.3,16.0,,22.5,,15.0,32.0,16.0,,,,,12.3,,26.4,,,12.0,44.9,,24.5,,,-7.0,3.9,,,,7.0,49.0,103.5,,,,,,,,,,34.3,,False,,True,False,False,,,,,True,,False,,,True,False,,False,,,True,True,,,,True,False,False,,,,,,,,,,False
19139,165,114.0,,101.9,,111.0,173.0,129.0,,,,,139.7,,93.5,,,200.0,35.1,,164.6,107.0,,30.0,79.9,,,,85.0,233.0,74.1,,,,,,273.4,,,,180.1,-51.0,,-63.1,,-54.0,8.0,-36.0,,,,,-25.3,,-71.5,,,35.0,-129.9,,-0.4,-58.0,,-135.0,-85.1,,,,-80.0,68.0,-90.9,,,,,,108.4,,,,15.1,,False,,False,True,True,,,,,True,,False,,,True,False,,True,False,,False,False,,,,False,False,False,,,,,,False,,,,True
19141,48,72.0,,71.7,,52.0,64.0,21.0,,,,,53.3,,37.8,,,35.0,17.8,,63.8,,,25.5,60.5,,,,43.0,109.0,77.3,,,,,,,,,,107.0,24.0,,23.7,,4.0,16.0,-27.0,,,,,5.3,,-10.2,,,-13.0,-30.2,,15.8,,,-22.5,12.5,,,,-5.0,61.0,29.3,,,,,,,,,,59.0,,True,,True,True,False,,,,,True,,True,,,True,False,,True,,,True,True,,,,True,False,False,,,,,,,,,,False
19143,23,6.0,,5.4,,8.0,21.0,0.0,,,,,15.1,,7.1,,,18.0,10.1,,17.4,,,0.0,3.8,,,,7.0,39.0,31.2,,,,,,,,,,20.8,-17.0,,-17.6,,-15.0,-2.0,-23.0,,,,,-7.9,,-15.9,,,-5.0,-12.9,,-5.6,,,-23.0,-19.2,,,,-16.0,16.0,8.2,,,,,,,,,,-2.2,,False,,True,True,False,,,,,True,,True,,,True,True,,True,,,False,False,,,,True,True,True,,,,,,,,,,True
19145,226,84.0,,86.5,,81.0,83.0,48.0,,,,,51.3,,48.1,,,63.0,248.3,,80.7,,,85.0,69.0,,,,113.0,132.0,97.9,,,,,,,,,,106.7,-142.0,,-139.5,,-145.0,-143.0,-178.0,,,,,-174.7,,-177.9,,,-163.0,22.3,,-145.3,,,-141.0,-157.0,,,,-113.0,-94.0,-128.1,,,,,,,,,,-119.3,,True,,False,False,False,,,,,False,,False,,,False,True,,False,,,True,False,,,,True,True,True,,,,,,,,,,True
19147,48,63.0,,61.5,,34.0,50.0,21.0,,,,,35.7,,19.8,,,29.0,13.8,,45.0,,,16.0,34.4,,,,54.0,82.0,104.3,,,,,,,,,,64.9,15.0,,13.5,,-14.0,2.0,-27.0,,,,,-12.3,,-28.2,,,-19.0,-34.2,,-3.0,,,-32.0,-13.6,,,,6.0,34.0,56.3,,,,,,,,,,16.9,,True,,True,True,False,,,,,True,,False,,,False,False,,True,,,False,True,,,,True,False,False,,,,,,,,,,False
19149,72,81.0,,76.4,,68.0,111.0,24.0,,,,,99.4,,39.3,,,55.0,34.3,,102.0,,,25.0,61.0,,,,56.0,199.0,125.2,,,,,,88.0,,,,114.2,9.0,,4.4,,-4.0,39.0,-48.0,,,,,27.4,,-32.7,,,-17.0,-37.7,,30.0,,,-47.0,-11.0,,,,-16.0,127.0,53.2,,,,,,16.0,,,,42.2,,True,,True,False,False,,,,,False,,False,,,False,False,,False,,,False,False,,,,False,False,False,,,,,,False,,,,False
19151,8,24.0,,32.0,,22.0,21.0,5.0,,,,,23.6,,22.9,,,18.0,21.4,,21.9,,,6.0,13.0,,,,16.0,45.0,28.7,,,,,,,,,,27.7,16.0,,24.0,,14.0,13.0,-3.0,,,,,15.6,,14.9,,,10.0,13.4,,13.9,,,-2.0,5.0,,,,8.0,37.0,20.7,,,,,,,,,,19.7,,False,,True,True,True,,,,,True,,True,,,True,True,,True,,,True,True,,,,True,False,False,,,,,,,,,,False
19153,2446,3306.0,,3373.8,3349.5,2606.0,2837.0,3749.0,,,,,1859.8,,2281.9,,2494.9,1967.0,1941.4,,2739.1,2149.0,,2329.5,2269.9,,,,2916.0,3587.0,4245.1,,,,,,2453.6,1777.0,,,3730.6,860.0,,927.8,903.5,160.0,391.0,1303.0,,,,,-586.2,,-164.1,,48.9,-479.0,-504.6,,293.1,-297.0,,-116.5,-176.1,,,,470.0,1141.0,1799.1,,,,,,7.6,-669.0,,,1284.6,,False,False,True,True,False,,,,,True,,True,,True,True,True,,True,True,,True,True,,,,True,False,False,,,,,,True,True,,,False
19155,334,396.0,,378.4,,340.0,371.0,317.0,,,,,311.9,,207.6,,,331.0,276.9,,390.4,318.0,,206.0,288.9,,,,331.0,639.0,588.4,,,,,,392.9,,,,361.8,62.0,,44.4,,6.0,37.0,-17.0,,,,,-22.1,,-126.4,,,-3.0,-57.1,,56.4,-16.0,,-128.0,-45.1,,,,-3.0,305.0,254.4,,,,,,58.9,,,,27.8,,True,,True,True,True,,,,,True,,False,,,True,True,,True,True,,False,True,,,,True,False,False,,,,,,True,,,,True
19157,35,141.0,,128.3,,105.0,112.0,133.0,,,,,57.1,,55.6,,,84.0,68.8,,66.5,,,80.0,81.1,,,,136.0,153.0,141.5,,,,,,,,,,151.1,106.0,,93.3,,70.0,77.0,98.0,,,,,22.1,,20.6,,,49.0,33.8,,31.5,,,45.0,46.1,,,,101.0,118.0,106.5,,,,,,,,,,116.1,,True,,True,True,True,,,,,True,,True,,,True,True,,True,,,True,True,,,,True,False,False,,,,,,,,,,False
19159,18,48.0,,49.6,,26.0,33.0,25.0,,,,,22.8,,16.8,,,30.0,28.0,,30.9,,,19.0,23.4,,,,30.0,49.0,13.4,,,,,,,,,,45.1,30.0,,31.6,,8.0,15.0,7.0,,,,,4.8,,-1.2,,,12.0,10.0,,12.9,,,1.0,5.4,,,,12.0,31.0,-4.6,,,,,,,,,,27.1,,False,,True,True,True,,,,,True,,True,,,True,True,,True,,,True,True,,,,True,False,True,,,,,,,,,,True
19161,25,24.0,,29.0,,30.0,38.0,22.0,,,,,33.4,,26.4,,,35.0,49.6,,36.5,,,3.0,18.6,,,,22.0,70.0,117.3,,,,,,,,,,48.7,-1.0,,4.0,,5.0,13.0,-3.0,,,,,8.4,,1.4,,,10.0,24.6,,11.5,,,-22.0,-6.4,,,,-3.0,45.0,92.3,,,,,,,,,,23.7,,False,,False,False,False,,,,,False,,False,,,False,False,,False,,,False,False,,,,False,False,False,,,,,,,,,,False
19163,535,834.0,,718.5,,704.0,741.0,591.0,,,,,630.6,,647.4,,,717.0,772.8,,784.7,595.5,,474.0,596.0,,,,763.0,1133.0,1133.3,,,,,,877.8,394.0,,,919.9,299.0,,183.5,,169.0,206.0,56.0,,,,,95.6,,112.4,,,182.0,237.8,,249.7,60.5,,-61.0,61.0,,,,228.0,598.0,598.3,,,,,,342.8,-141.0,,,384.9,,True,,True,True,True,,,,,True,,True,,,True,True,,True,True,,True,True,,,,True,False,False,,,,,,False,True,,,False
19165,43,33.0,,30.9,,37.0,51.0,0.0,,,,,39.2,,34.6,,,46.0,292.3,,49.8,,,1.0,35.7,,,,43.0,84.0,123.7,,,,,,,,,,63.4,-10.0,,-12.1,,-6.0,8.0,-43.0,,,,,-3.8,,-8.4,,,3.0,249.3,,6.8,,,-42.0,-7.3,,,,0.0,41.0,80.7,,,,,,,,,,20.4,,False,,True,True,False,,,,,True,,True,,,True,False,,True,,,False,True,,,,True,False,False,,,,,,,,,,False
19167,105,108.0,,102.2,,80.0,124.0,64.0,,,,,128.4,,46.1,,,78.0,31.8,,142.5,60.0,,37.0,69.6,,,,65.0,264.0,177.9,,,,,,101.6,,,,130.8,3.0,,-2.8,,-25.0,19.0,-41.0,,,,,23.4,,-58.9,,,-27.0,-73.2,,37.5,-45.0,,-68.0,-35.4,,,,-40.0,159.0,72.9,,,,,,-3.4,,,,25.8,,True,,False,False,False,,,,,False,,False,,,False,False,,False,False,,False,False,,,,False,False,False,,,,,,False,,,,False
19169,360,456.0,,431.1,,407.0,395.0,435.0,,,,,334.6,,297.1,,,330.0,367.1,,474.8,356.5,,302.0,352.8,,,,491.0,577.0,762.1,,,,,,444.1,,,,486.1,96.0,,71.1,,47.0,35.0,75.0,,,,,-25.4,,-62.9,,,-30.0,7.1,,114.8,-3.5,,-58.0,-7.2,,,,131.0,217.0,402.1,,,,,,84.1,,,,126.1,,True,,True,True,True,,,,,True,,True,,,True,True,,False,True,,True,True,,,,False,False,False,,,,,,True,,,,False
19171,48,75.0,,80.2,,69.0,82.0,34.0,,,,,67.3,,31.1,,,71.0,55.0,,75.0,,,38.0,58.7,,,,59.0,131.0,136.7,,,,,,,,,,100.2,27.0,,32.2,,21.0,34.0,-14.0,,,,,19.3,,-16.9,,,23.0,7.0,,27.0,,,-10.0,10.7,,,,11.0,83.0,88.7,,,,,,,,,,52.2,,False,,True,False,True,,,,,True,,True,,,True,True,,True,,,True,True,,,,True,False,False,,,,,,,,,,False
19173,17,36.0,,35.6,,29.0,33.0,20.0,,,,,18.9,,11.2,,,30.0,28.1,,20.9,,,20.0,19.2,,,,21.0,46.0,73.4,,,,,,,,,,33.7,19.0,,18.6,,12.0,16.0,3.0,,,,,1.9,,-5.8,,,13.0,11.1,,3.9,,,3.0,2.2,,,,4.0,29.0,56.4,,,,,,,,,,16.7,,True,,True,True,True,,,,,True,,True,,,True,True,,True,,,True,True,,,,True,False,False,,,,,,,,,,True
19175,29,36.0,,39.0,,42.0,57.0,39.0,,,,,37.2,,26.8,,,63.0,142.5,,45.2,,,39.0,34.6,,,,39.0,82.0,127.9,,,,,,,,,,60.3,7.0,,10.0,,13.0,28.0,10.0,,,,,8.2,,-2.2,,,34.0,113.5,,16.2,,,10.0,5.6,,,,10.0,53.0,98.9,,,,,,,,,,31.3,,False,,False,False,False,,,,,False,,True,,,False,False,,False,,,False,True,,,,False,False,False,,,,,,,,,,False
19177,13,42.0,,46.3,,30.0,31.0,19.0,,,,,21.6,,21.0,,,51.0,23.9,,20.8,,,13.0,23.5,,,,21.0,50.0,52.5,,,,,,,,,,33.3,29.0,,33.3,,17.0,18.0,6.0,,,,,8.6,,8.0,,,38.0,10.9,,7.8,,,0.0,10.5,,,,8.0,37.0,39.5,,,,,,,,,,20.3,,False,,True,True,True,,,,,True,,True,,,False,True,,True,,,True,True,,,,True,False,False,,,,,,,,,,True
19179,341,189.0,,183.9,,160.0,171.0,130.0,,,,,139.4,,121.6,,,197.0,125.1,,203.9,147.0,,150.0,161.2,,,,152.0,260.0,146.4,,,,,,194.5,,,,177.0,-152.0,,-157.1,,-181.0,-170.0,-211.0,,,,,-201.6,,-219.4,,,-144.0,-215.9,,-137.1,-194.0,,-191.0,-179.8,,,,-189.0,-81.0,-194.6,,,,,,-146.5,,,,-164.0,,False,,False,False,False,,,,,False,,False,,,True,False,,True,False,,False,False,,,,False,True,False,,,,,,True,,,,False
19181,222,327.0,,324.4,,247.0,300.0,221.0,,,,,214.7,,205.4,,,231.0,222.8,,334.9,255.0,,195.0,215.6,,,,271.0,447.0,544.4,,,,,,165.6,,,,360.7,105.0,,102.4,,25.0,78.0,-1.0,,,,,-7.3,,-16.6,,,9.0,0.8,,112.9,33.0,,-27.0,-6.4,,,,49.0,225.0,322.4,,,,,,-56.4,,,,138.7,,True,,True,True,True,,,,,True,,True,,,True,True,,False,True,,True,True,,,,True,False,False,,,,,,True,,,,False
19183,79,96.0,,126.6,,99.0,120.0,112.0,,,,,93.2,,56.1,,,106.0,42.2,,110.0,,,40.0,74.4,,,,75.0,183.0,178.7,,,,,,157.1,,,,138.2,17.0,,47.6,,20.0,41.0,33.0,,,,,14.2,,-22.9,,,27.0,-36.8,,31.0,,,-39.0,-4.6,,,,-4.0,104.0,99.7,,,,,,78.1,,,,59.2,,False,,False,False,False,,,,,True,,False,,,False,False,,False,,,False,True,,,,True,False,False,,,,,,False,,,,False
19185,18,18.0,,16.2,,18.0,21.0,0.0,,,,,16.1,,18.6,,,36.0,12.9,,15.7,,,23.0,10.5,,,,11.0,39.0,24.6,,,,,,,,,,31.6,0.0,,-1.8,,0.0,3.0,-18.0,,,,,-1.9,,0.6,,,18.0,-5.1,,-2.3,,,5.0,-7.5,,,,-7.0,21.0,6.6,,,,,,,,,,13.6,,False,,True,False,False,,,,,False,,False,,,False,False,,False,,,False,False,,,,False,False,False,,,,,,,,,,False
19187,120,93.0,,98.5,,75.0,106.0,43.0,,,,,146.8,,71.6,,,127.0,56.4,,138.7,43.5,,34.0,75.6,,,,61.0,228.0,252.4,,,,,,,,,,0.0,-27.0,,-21.5,,-45.0,-14.0,-77.0,,,,,26.8,,-48.4,,,7.0,-63.6,,18.7,-76.5,,-86.0,-44.4,,,,-59.0,108.0,132.4,,,,,,,,,,-120.0,,True,,False,True,False,,,,,True,,False,,,True,False,,True,False,,False,False,,,,False,False,False,,,,,,,,,,False
19189,31,42.0,,41.3,,41.0,55.0,18.0,,,,,47.3,,37.2,,,39.0,44.9,,50.1,,,20.0,34.6,,,,42.0,80.0,124.4,,,,,,,,,,65.6,11.0,,10.3,,10.0,24.0,-13.0,,,,,16.3,,6.2,,,8.0,13.9,,19.1,,,-11.0,3.6,,,,11.0,49.0,93.4,,,,,,,,,,34.6,,True,,True,False,False,,,,,False,,True,,,True,False,,False,,,False,True,,,,False,False,False,,,,,,,,,,False
