,actual_cases,COVIDhub-baseline,BPagano-RtDriven,CEID-Walk,COVIDhub-ensemble,COVIDhub-trained_ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,FDANIHASU-Sweight,Google_Harvard-CPF,IBF-TimeSeries,IEM_MED-CovidProject,IowaStateLW-STEM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,JHU_UNC_GAS-StatMechPool,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MIT_ISOLAT-Mixtures,MOBS-GLEAM_COVID,Microsoft-DeepSTIA,OliverWyman-Navigator,OneQuietNight-ML,QJHong-Encounter,RobertWalraven-ESG,SigSci-TS,TTU-squider,UCF-AEM,UMich-RidgeTfReg,USC-SI_kJalpha,UVA-Ensemble,UpstateSU-GRU,error-COVIDhub-baseline,error-BPagano-RtDriven,error-CEID-Walk,error-COVIDhub-ensemble,error-COVIDhub-trained_ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-FDANIHASU-Sweight,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IEM_MED-CovidProject,error-IowaStateLW-STEM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-JHU_UNC_GAS-StatMechPool,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MIT_ISOLAT-Mixtures,error-MOBS-GLEAM_COVID,error-Microsoft-DeepSTIA,error-OliverWyman-Navigator,error-OneQuietNight-ML,error-QJHong-Encounter,error-RobertWalraven-ESG,error-SigSci-TS,error-TTU-squider,error-UCF-AEM,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,error-UVA-Ensemble,error-UpstateSU-GRU,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-COVIDhub-ensemble,beat_baseline-COVIDhub-trained_ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-FDANIHASU-Sweight,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IEM_MED-CovidProject,beat_baseline-IowaStateLW-STEM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-JHU_UNC_GAS-StatMechPool,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MIT_ISOLAT-Mixtures,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-Microsoft-DeepSTIA,beat_baseline-OliverWyman-Navigator,beat_baseline-OneQuietNight-ML,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-SigSci-TS,beat_baseline-TTU-squider,beat_baseline-UCF-AEM,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha,beat_baseline-UVA-Ensemble,beat_baseline-UpstateSU-GRU
New Hampshire,4410,4888.0,2452.2,4769.5,4016.0,8587.0,4814.0,,4674.4,2838.0,,4802.8,,3783.4,5380.0,1941.7,5030.0,4740.5,3839.0,3283.7,3099.0,3743.2,3554.9,6605.9,3252.3,5020.0,3804.0,,4186.1,4797.0,4568.2,,4657.8,4521.0,3952.1,,478.0,-1957.8,359.5,-394.0,4177.0,404.0,,264.4,-1572.0,,392.8,,-626.6,970.0,-2468.3,620.0,330.5,-571.0,-1126.3,-1311.0,-666.8,-855.1,2195.9,-1157.7,610.0,-606.0,,-223.9,387.0,158.2,,247.8,111.0,-457.9,,False,True,True,False,True,,True,False,,True,,False,False,False,False,True,False,False,False,False,False,False,False,False,False,,True,True,True,,True,True,True,
New Jersey,43148,51968.0,29196.2,53273.8,42660.0,60756.0,47539.0,,39973.8,44196.0,,28584.1,,39916.0,48426.0,21882.3,51307.0,42595.3,21167.5,37769.3,31891.0,37372.4,42129.8,42898.6,39003.8,45385.0,38321.0,,38527.5,52588.0,31998.2,,62047.1,48755.0,43861.7,,8820.0,-13951.8,10125.8,-488.0,17608.0,4391.0,,-3174.2,1048.0,,-14563.9,,-3232.0,5278.0,-21265.7,8159.0,-552.7,-21980.5,-5378.7,-11257.0,-5775.6,-1018.2,-249.4,-4144.2,2237.0,-4827.0,,-4620.5,9440.0,-11149.8,,18899.1,5607.0,713.7,,False,False,True,False,True,,True,True,,False,,True,True,False,True,True,False,True,False,True,True,True,True,True,True,,True,False,False,,False,True,True,
New Mexico,4599,6150.0,4201.3,5917.2,4567.0,9548.0,4158.0,,5507.1,5699.0,,4683.1,,4456.3,7423.0,3577.2,5930.0,5789.2,4717.5,3963.9,3483.0,4716.0,4800.5,4062.1,4535.6,5071.0,4065.0,,4194.2,5725.0,3285.3,,7739.7,5359.0,4400.4,,1551.0,-397.7,1318.2,-32.0,4949.0,-441.0,,908.1,1100.0,,84.1,,-142.7,2824.0,-1021.8,1331.0,1190.2,118.5,-635.1,-1116.0,117.0,201.5,-536.9,-63.4,472.0,-534.0,,-404.8,1126.0,-1313.7,,3140.7,760.0,-198.6,,True,True,True,False,True,,True,True,,True,,True,False,True,True,True,True,True,True,True,True,True,True,True,True,,True,True,True,,False,True,True,
New York,104500,122478.0,66804.5,123707.3,96203.0,138386.0,100630.0,,91816.9,86316.0,,82288.1,,94883.1,115098.0,72151.9,109485.0,120514.1,49487.5,85897.2,81908.5,96226.0,103661.8,87926.5,91749.0,110101.0,90032.0,,106496.8,143786.0,130491.6,,92100.9,100258.0,105428.0,,17978.0,-37695.5,19207.3,-8297.0,33886.0,-3870.0,,-12683.1,-18184.0,,-22211.9,,-9616.9,10598.0,-32348.1,4985.0,16014.1,-55012.5,-18602.8,-22591.5,-8274.0,-838.2,-16573.5,-12751.0,5601.0,-14468.0,,1996.8,39286.0,25991.6,,-12399.1,-4242.0,928.0,,False,False,True,False,True,,True,False,,False,,True,True,False,True,True,False,False,False,True,True,True,True,True,True,,True,False,False,,True,True,True,
North Carolina,39824,54406.0,42132.8,53790.0,46369.0,75463.0,43266.0,,53119.9,36814.0,,46756.0,,45845.2,71500.0,70812.9,44194.0,50941.4,24194.5,45392.7,33014.5,41661.4,37932.9,54819.8,47626.3,57661.0,42532.0,,43708.2,42665.0,62948.6,,61656.6,47885.0,52754.1,,14582.0,2308.8,13966.0,6545.0,35639.0,3442.0,,13295.9,-3010.0,,6932.0,,6021.2,31676.0,30988.9,4370.0,11117.4,-15629.5,5568.7,-6809.5,1837.4,-1891.1,14995.8,7802.3,17837.0,2708.0,,3884.2,2841.0,23124.6,,21832.6,8061.0,12930.1,,True,True,True,False,True,,True,True,,True,,True,False,False,True,True,False,True,True,True,True,False,True,False,True,,True,True,False,,False,True,True,
North Dakota,1229,890.0,424.5,869.7,712.0,3468.0,438.0,,758.6,278.0,,664.9,,716.9,1339.0,272.2,671.0,1715.4,493.0,491.0,432.0,776.5,869.8,556.5,848.7,701.0,1988.0,,727.4,783.0,395.7,,,704.0,664.8,,-339.0,-804.5,-359.3,-517.0,2239.0,-791.0,,-470.4,-951.0,,-564.1,,-512.1,110.0,-956.8,-558.0,486.4,-736.0,-738.0,-797.0,-452.5,-359.2,-672.5,-380.3,-528.0,759.0,,-501.6,-446.0,-833.3,,,-525.0,-564.2,,False,False,False,False,False,,False,False,,False,,False,True,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,,,False,False,
Ohio,28613,38924.0,72859.2,37438.6,33499.0,63004.0,29961.0,,35694.4,30228.0,,42147.3,,27911.1,41754.0,26413.6,35420.0,37316.7,14723.0,31820.1,22834.5,32343.5,31867.6,50894.0,28378.0,34232.0,36521.0,,22311.5,38075.0,18293.4,,39977.9,33234.0,24467.4,,10311.0,44246.2,8825.6,4886.0,34391.0,1348.0,,7081.4,1615.0,,13534.3,,-701.9,13141.0,-2199.4,6807.0,8703.7,-13890.0,3207.1,-5778.5,3730.5,3254.6,22281.0,-235.0,5619.0,7908.0,,-6301.5,9462.0,-10319.6,,11364.9,4621.0,-4145.6,,False,True,True,False,True,,True,True,,False,,True,False,True,True,True,False,True,True,True,True,False,True,True,True,,True,True,False,,False,True,True,
Oklahoma,11526,20992.0,17084.6,21370.3,19145.0,33090.0,17363.0,,20502.1,21284.0,,13385.8,,17027.5,24960.0,20524.9,18832.0,19578.1,17154.5,17963.6,12104.5,14689.6,20454.3,22144.0,16583.3,20756.0,24461.0,,19056.5,21374.0,15853.0,,33273.4,18480.0,19294.3,,9466.0,5558.6,9844.3,7619.0,21564.0,5837.0,,8976.1,9758.0,,1859.8,,5501.5,13434.0,8998.9,7306.0,8052.1,5628.5,6437.6,578.5,3163.6,8928.3,10618.0,5057.3,9230.0,12935.0,,7530.5,9848.0,4327.0,,21747.4,6954.0,7768.3,,True,False,True,False,True,,True,False,,True,,True,False,True,True,True,True,True,True,True,True,False,True,True,False,,True,False,True,,False,True,True,
Oregon,5281,6586.0,4302.1,6827.9,6037.0,18473.0,5356.0,,6724.6,6347.0,,7958.9,,5273.7,7963.0,7116.0,6409.0,6866.5,5898.5,6521.3,4537.0,5000.5,3270.6,7697.4,5879.8,7040.0,10648.0,,4988.7,5958.0,10271.2,,5771.3,5587.0,5454.0,,1305.0,-978.9,1546.9,756.0,13192.0,75.0,,1443.6,1066.0,,2677.9,,-7.3,2682.0,1835.0,1128.0,1585.5,617.5,1240.3,-744.0,-280.5,-2010.4,2416.4,598.8,1759.0,5367.0,,-292.3,677.0,4990.2,,490.3,306.0,173.0,,True,False,True,False,True,,False,True,,False,,True,False,False,True,False,True,True,True,True,False,False,True,False,False,,True,True,False,,True,True,True,
Pennsylvania,36871,50876.0,29069.1,51336.0,42174.0,71264.0,50063.0,,44581.0,19148.0,,32875.7,,37562.2,62721.0,31943.4,49585.0,52539.9,20081.0,41967.4,31925.5,36162.5,26780.4,43170.9,39250.0,43237.0,38885.0,,41070.9,49310.0,48724.7,,44245.3,46828.0,36478.7,,14005.0,-7801.9,14465.0,5303.0,34393.0,13192.0,,7710.0,-17723.0,,-3995.3,,691.2,25850.0,-4927.6,12714.0,15668.9,-16790.0,5096.4,-4945.5,-708.5,-10090.6,6299.9,2379.0,6366.0,2014.0,,4199.9,12439.0,11853.7,,7374.3,9957.0,-392.3,,True,False,True,False,True,,True,False,,True,,True,False,True,True,False,False,True,True,True,True,True,True,True,True,,True,True,True,,True,True,True,
Rhode Island,4801,5860.0,3716.5,5984.8,4431.0,13828.0,4523.0,,4901.8,4070.0,,635.2,,4317.8,6727.0,2299.8,5651.0,6307.3,3950.5,5464.5,3201.0,4003.2,4503.9,5757.8,4703.7,5185.0,4235.0,,3735.0,6877.0,2670.3,,6799.8,4012.0,3688.3,,1059.0,-1084.5,1183.8,-370.0,9027.0,-278.0,,100.8,-731.0,,-4165.8,,-483.2,1926.0,-2501.2,850.0,1506.3,-850.5,663.5,-1600.0,-797.8,-297.1,956.8,-97.3,384.0,-566.0,,-1066.0,2076.0,-2130.7,,1998.8,-789.0,-1112.7,,False,False,True,False,True,,True,True,,False,,True,False,False,True,False,True,True,False,True,True,True,True,True,True,,False,False,False,,False,True,False,
South Carolina,31932,40318.0,26776.9,40343.7,35209.0,47946.0,35468.0,,36242.1,28299.0,,43210.1,,40924.8,39351.0,29457.7,38699.0,28422.2,17700.5,34155.9,34482.0,37952.6,32621.4,33936.1,35645.6,39917.0,30570.0,,32451.6,39268.0,46354.3,,38202.3,36032.0,39054.1,,8386.0,-5155.1,8411.7,3277.0,16014.0,3536.0,,4310.1,-3633.0,,11278.1,,8992.8,7419.0,-2474.3,6767.0,-3509.8,-14231.5,2223.9,2550.0,6020.6,689.4,2004.1,3713.6,7985.0,-1362.0,,519.6,7336.0,14422.3,,6270.3,4100.0,7122.1,,True,False,True,False,True,,True,True,,False,,False,True,True,True,True,False,True,True,True,True,True,True,True,True,,True,True,False,,True,True,True,
South Dakota,2088,2146.0,924.1,2203.2,1674.0,5082.0,829.0,,1802.9,1661.0,,1717.8,,1693.8,2165.0,1258.7,2657.0,2350.1,1527.5,1191.5,1241.0,1836.6,607.4,1138.2,1528.2,1725.0,3521.0,,909.2,2124.0,224.0,,,2261.0,1715.4,,58.0,-1163.9,115.2,-414.0,2994.0,-1259.0,,-285.1,-427.0,,-370.2,,-394.2,77.0,-829.3,569.0,262.1,-560.5,-896.5,-847.0,-251.4,-1480.6,-949.8,-559.8,-363.0,1433.0,,-1178.8,36.0,-1864.0,,,173.0,-372.6,,False,False,False,False,False,,False,False,,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,True,False,,,False,False,
Tennessee,17816,27716.0,23096.4,27814.4,23599.0,44141.0,24438.0,,25938.4,9612.0,,15812.1,,20724.6,35320.0,19485.1,25714.0,25095.4,10217.0,18765.3,13875.5,21345.6,23165.8,30032.9,18825.5,25711.0,26475.0,,20907.5,24445.0,26304.3,,34177.3,26940.0,34072.2,,9900.0,5280.4,9998.4,5783.0,26325.0,6622.0,,8122.4,-8204.0,,-2003.9,,2908.6,17504.0,1669.1,7898.0,7279.4,-7599.0,949.3,-3940.5,3529.6,5349.8,12216.9,1009.5,7895.0,8659.0,,3091.5,6629.0,8488.3,,16361.3,9124.0,16256.2,,True,False,True,False,True,,True,True,,True,,True,False,True,True,True,True,True,True,True,True,False,True,True,True,,True,True,True,,False,True,False,
Texas,85308,147776.0,139974.4,147270.2,138516.0,225425.0,111189.0,,134264.8,206619.0,,112040.5,,107561.1,163850.0,230698.7,105319.0,171628.3,71803.5,113143.0,79238.5,107138.3,203391.1,184809.7,140155.1,151827.0,117126.0,,132982.7,159451.0,137821.2,,177587.0,108303.0,155692.1,,62468.0,54666.4,61962.2,53208.0,140117.0,25881.0,,48956.8,121311.0,,26732.5,,22253.1,78542.0,145390.7,20011.0,86320.3,-13504.5,27835.0,-6069.5,21830.3,118083.1,99501.7,54847.1,66519.0,31818.0,,47674.7,74143.0,52513.2,,92279.0,22995.0,70384.1,,True,True,True,False,True,,True,False,,True,,True,False,False,True,False,True,True,True,True,False,False,True,False,True,,True,False,True,,False,True,False,
Utah,10186,13768.0,5686.4,13213.0,10651.0,20436.0,7766.0,,12500.0,10881.0,,11326.4,,9990.2,15290.0,6980.1,11979.0,11097.5,10764.0,9386.1,7295.5,10690.1,12486.6,14392.7,10181.6,11919.0,10651.0,,11218.0,12832.0,6631.2,,,11941.0,8294.1,,3582.0,-4499.6,3027.0,465.0,10250.0,-2420.0,,2314.0,695.0,,1140.4,,-195.8,5104.0,-3205.9,1793.0,911.5,578.0,-799.9,-2890.5,504.1,2300.6,4206.7,-4.4,1733.0,465.0,,1032.0,2646.0,-3554.8,,,1755.0,-1891.9,,False,True,True,False,True,,True,True,,True,,True,False,True,True,True,True,True,True,True,True,False,True,True,True,,True,True,True,,,True,True,
Vermont,1537,1590.0,979.8,1590.2,1600.0,3435.0,1735.0,,1531.5,3195.0,,1855.5,,1519.4,1809.0,2717.2,1482.0,1700.8,1604.0,1878.9,1505.0,1394.4,1535.3,1619.2,1571.8,2083.0,1716.0,,1655.5,1603.0,2071.0,,1674.4,1798.0,1672.3,,53.0,-557.2,53.2,63.0,1898.0,198.0,,-5.5,1658.0,,318.5,,-17.6,272.0,1180.2,-55.0,163.8,67.0,341.9,-32.0,-142.6,-1.7,82.2,34.8,546.0,179.0,,118.5,66.0,534.0,,137.4,261.0,135.3,,False,False,False,False,False,,True,False,,False,,True,False,False,False,False,False,False,True,False,True,False,True,False,False,,False,False,False,,False,False,False,
Virginia,26890,42496.0,24756.6,43703.3,34810.0,57876.0,42221.0,,40504.2,31428.0,,40013.4,,32397.2,45380.0,22299.8,42515.0,39297.8,31341.0,32255.3,30916.5,34665.1,32103.7,45633.7,36669.7,45978.0,33725.0,,30442.1,41413.0,53217.3,,28010.0,33559.0,41681.1,,15606.0,-2133.4,16813.3,7920.0,30986.0,15331.0,,13614.2,4538.0,,13123.4,,5507.2,18490.0,-4590.2,15625.0,12407.8,4451.0,5365.3,4026.5,7775.1,5213.7,18743.7,9779.7,19088.0,6835.0,,3552.1,14523.0,26327.3,,1120.0,6669.0,14791.1,,True,False,True,False,True,,True,True,,True,,True,False,True,False,True,True,True,True,True,True,False,True,False,True,,True,True,False,,True,True,True,
Washington,11726,15802.0,12473.3,15745.5,14063.0,37336.0,13676.0,,15288.4,18058.0,,10853.9,,12740.0,19122.0,13829.1,14891.0,18823.6,12786.5,11820.6,8967.0,9575.1,6435.9,20013.5,13155.0,15236.0,21447.0,,14086.1,16284.0,24455.0,,19237.5,10093.0,13902.3,,4076.0,747.3,4019.5,2337.0,25610.0,1950.0,,3562.4,6332.0,,-872.1,,1014.0,7396.0,2103.1,3165.0,7097.6,1060.5,94.6,-2759.0,-2150.9,-5290.1,8287.5,1429.0,3510.0,9721.0,,2360.1,4558.0,12729.0,,7511.5,-1633.0,2176.3,,True,True,True,False,True,,True,False,,True,,True,False,True,True,False,True,True,True,True,False,False,True,True,False,,True,False,False,,False,True,True,
West Virginia,4298,6184.0,4074.5,6145.0,4935.0,10298.0,5218.0,,5748.0,4830.0,,4834.3,,4503.4,5886.0,4043.2,5905.0,6043.0,4680.0,4215.3,3418.5,4278.9,4354.1,5657.7,4308.7,5654.0,6389.0,,5103.3,5454.0,6011.1,,3101.1,4799.0,4590.0,,1886.0,-223.5,1847.0,637.0,6000.0,920.0,,1450.0,532.0,,536.3,,205.4,1588.0,-254.8,1607.0,1745.0,382.0,-82.7,-879.5,-19.1,56.1,1359.7,10.7,1356.0,2091.0,,805.3,1156.0,1713.1,,-1196.9,501.0,292.0,,True,True,True,False,True,,True,True,,True,,True,True,True,True,True,True,True,True,True,True,True,True,True,False,,True,True,True,,True,True,True,
Wisconsin,10235,13270.0,8263.8,13007.6,10649.0,27188.0,11442.0,,12840.7,10498.0,,10500.5,,9608.8,13984.0,8810.1,11477.0,23158.2,4729.0,8726.7,6827.0,10556.5,4373.2,12400.2,10133.5,12171.0,14849.0,,9703.7,13422.0,5311.4,,9656.0,11104.0,9515.5,,3035.0,-1971.2,2772.6,414.0,16953.0,1207.0,,2605.7,263.0,,265.5,,-626.2,3749.0,-1424.9,1242.0,12923.2,-5506.0,-1508.3,-3408.0,321.5,-5861.8,2165.2,-101.5,1936.0,4614.0,,-531.3,3187.0,-4923.6,,-579.0,869.0,-719.5,,True,True,True,False,True,,True,True,,True,,True,False,True,True,False,False,True,False,True,False,True,True,True,False,,True,False,False,,True,True,True,
Wyoming,1264,936.0,786.8,954.7,851.0,3307.0,679.0,,891.3,3199.0,,1031.1,,658.2,1624.0,1269.7,742.0,1346.4,561.5,1144.3,322.0,698.5,175.5,1260.1,768.6,990.0,1914.0,,654.0,,1474.3,,1335.6,583.0,850.5,,-328.0,-477.2,-309.3,-413.0,2043.0,-585.0,,-372.7,1935.0,,-232.9,,-605.8,360.0,5.7,-522.0,82.4,-702.5,-119.7,-942.0,-565.5,-1088.5,-3.9,-495.4,-274.0,650.0,,-610.0,,210.3,,71.6,-681.0,-413.5,,False,True,False,False,False,,False,False,,True,,False,False,True,False,True,False,True,False,False,False,True,False,True,False,,False,,True,,True,False,False,
US,951753,1315114.0,1033028.1,1325655.7,1063231.0,1640763.0,1052640.0,1155280.0,1040002.0,1026643.0,1062754.1,,1385120.0,917077.9,1358159.0,1032478.8,1153298.0,1434972.6,,955203.0,732549.0,951948.2,1234692.8,1404218.4,1012579.9,1224193.0,876368.0,1200585.3,887840.6,1068592.0,1327674.3,1105261.0,948070.9,1095124.0,1054875.9,1234214.8,363361.0,81275.1,373902.7,111478.0,689010.0,100887.0,203527.0,88249.0,74890.0,111001.1,,433367.0,-34675.1,406406.0,80725.8,201545.0,483219.6,,3450.0,-219204.0,195.2,282939.8,452465.4,60826.9,272440.0,-75385.0,248832.3,-63912.4,116839.0,375921.3,153508.0,-3682.1,143371.0,103122.9,282461.8,True,False,True,False,True,True,True,True,True,,False,True,False,True,True,False,,True,True,True,True,False,True,True,True,True,True,True,False,True,True,True,True,True
