,actual_cases,COVIDhub-baseline,BPagano-RtDriven,CEID-Walk,COVIDhub-ensemble,COVIDhub-trained_ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,FDANIHASU-Sweight,Google_Harvard-CPF,IBF-TimeSeries,IEM_MED-CovidProject,IowaStateLW-STEM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,JHU_UNC_GAS-StatMechPool,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MIT_ISOLAT-Mixtures,MOBS-GLEAM_COVID,Microsoft-DeepSTIA,OneQuietNight-ML,QJHong-Encounter,RobertWalraven-ESG,SigSci-TS,TTU-squider,UCF-AEM,UCLA-SuEIR,UMich-RidgeTfReg,USC-SI_kJalpha,UVA-Ensemble,UpstateSU-GRU,error-COVIDhub-baseline,error-BPagano-RtDriven,error-CEID-Walk,error-COVIDhub-ensemble,error-COVIDhub-trained_ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-FDANIHASU-Sweight,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IEM_MED-CovidProject,error-IowaStateLW-STEM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-JHU_UNC_GAS-StatMechPool,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MIT_ISOLAT-Mixtures,error-MOBS-GLEAM_COVID,error-Microsoft-DeepSTIA,error-OneQuietNight-ML,error-QJHong-Encounter,error-RobertWalraven-ESG,error-SigSci-TS,error-TTU-squider,error-UCF-AEM,error-UCLA-SuEIR,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,error-UVA-Ensemble,error-UpstateSU-GRU,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-COVIDhub-ensemble,beat_baseline-COVIDhub-trained_ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-FDANIHASU-Sweight,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IEM_MED-CovidProject,beat_baseline-IowaStateLW-STEM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-JHU_UNC_GAS-StatMechPool,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MIT_ISOLAT-Mixtures,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-Microsoft-DeepSTIA,beat_baseline-OneQuietNight-ML,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-SigSci-TS,beat_baseline-TTU-squider,beat_baseline-UCF-AEM,beat_baseline-UCLA-SuEIR,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha,beat_baseline-UVA-Ensemble,beat_baseline-UpstateSU-GRU
Nevada,16139,30544.0,25915.9,28073.8,25249.0,23071.0,33476.0,,28450.7,19237.0,30347.4,,26749.8,,18880.8,23471.0,14183.8,28209.0,24130.8,22008.0,15417.9,19572.5,19484.0,29400.6,32071.0,24186.4,21442.0,,15394.2,29100.0,18593.7,,36263.6,26436.4,25482.0,21805.2,,14405.0,9776.9,11934.8,9110.0,6932.0,17337.0,,12311.7,3098.0,14208.4,,10610.8,,2741.8,7332.0,-1955.2,12070.0,7991.8,5869.0,-721.1,3433.5,3345.0,13261.6,15932.0,8047.4,5303.0,,-744.8,12961.0,2454.7,,20124.6,10297.4,9343.0,5666.2,,True,True,True,True,False,,True,True,True,,True,,True,True,True,True,True,True,True,True,True,True,False,True,True,,True,True,True,,False,True,True,True,
New Hampshire,9511,15144.0,16676.2,14590.8,13605.0,14645.0,10396.0,,15294.0,8107.0,15619.1,,14415.2,,9418.8,16445.0,22783.5,15594.0,11667.2,17786.5,10609.6,10936.0,9440.7,12723.0,13207.6,14160.7,14625.0,,12064.0,13945.0,14183.3,,14356.2,16256.2,12531.0,14181.6,,5633.0,7165.2,5079.8,4094.0,5134.0,885.0,,5783.0,-1404.0,6108.1,,4904.2,,-92.2,6934.0,13272.5,6083.0,2156.2,8275.5,1098.6,1425.0,-70.3,3212.0,3696.6,4649.7,5114.0,,2553.0,4434.0,4672.3,,4845.2,6745.2,3020.0,4670.6,,False,True,True,True,True,,False,True,False,,True,,True,False,False,False,True,False,True,True,True,True,True,True,True,,True,True,True,,True,False,True,True,
New Jersey,94424,140028.0,107640.9,136274.7,117419.0,120933.0,141768.0,,122264.0,93405.0,104397.6,,127352.5,,126087.9,115099.0,81683.8,141924.0,86415.0,143088.0,113312.0,103235.5,109324.2,53944.3,88130.3,132827.6,119419.0,,121665.8,149028.0,71922.0,,98187.9,161755.9,116640.0,118892.1,,45604.0,13216.9,41850.7,22995.0,26509.0,47344.0,,27840.0,-1019.0,9973.6,,32928.5,,31663.9,20675.0,-12740.2,47500.0,-8009.0,48664.0,18888.0,8811.5,14900.2,-40479.7,-6293.7,38403.6,24995.0,,27241.8,54604.0,-22502.0,,3763.9,67331.9,22216.0,24468.1,,True,True,True,True,False,,True,True,True,,True,,True,True,True,False,True,False,True,True,True,True,True,True,True,,True,False,True,,True,False,True,True,
New Mexico,11349,19840.0,14947.2,16813.4,15283.0,16056.0,17921.0,,18872.9,15169.0,17085.6,,17820.9,,12191.1,20980.0,8773.8,19824.0,14575.9,14204.5,14360.8,12797.5,13312.2,17819.7,11752.7,15319.1,16625.0,,9633.6,18753.0,8025.0,,21581.4,26374.7,14426.0,12687.7,,8491.0,3598.2,5464.4,3934.0,4707.0,6572.0,,7523.9,3820.0,5736.6,,6471.9,,842.1,9631.0,-2575.2,8475.0,3226.9,2855.5,3011.8,1448.5,1963.2,6470.7,403.7,3970.1,5276.0,,-1715.4,7404.0,-3324.0,,10232.4,15025.7,3077.0,1338.7,,True,True,True,True,True,,True,True,True,,True,,True,False,True,True,True,True,True,True,True,True,True,True,True,,True,True,True,,False,False,True,True,
New York,227342,341544.0,275578.7,326637.0,294965.0,306763.0,356138.0,,278079.1,365981.0,294082.2,,312253.4,,284350.6,287064.0,355319.3,448012.0,276640.2,295966.5,234242.9,246555.5,255267.7,321773.5,342573.3,334299.8,282481.0,,270133.0,343507.0,298386.8,,280847.2,400753.2,295850.0,283730.1,,114202.0,48236.7,99295.0,67623.0,79421.0,128796.0,,50737.1,138639.0,66740.2,,84911.4,,57008.6,59722.0,127977.3,220670.0,49298.2,68624.5,6900.9,19213.5,27925.7,94431.5,115231.3,106957.8,55139.0,,42791.0,116165.0,71044.8,,53505.2,173411.2,68508.0,56388.1,,True,True,True,True,False,,True,False,True,,True,,True,True,False,False,True,True,True,True,True,True,False,True,True,,True,False,True,,True,False,True,True,
North Carolina,105921,159644.0,149097.9,151775.1,135485.0,133259.0,88149.0,,158350.0,100621.0,213006.7,,131727.9,,128696.8,172981.0,126093.5,156325.0,109368.3,153094.0,109872.0,115992.0,105281.2,58701.3,145373.2,141895.5,121784.0,,117359.1,143202.0,146880.1,,141330.4,185052.7,123036.0,130974.8,,53723.0,43176.9,45854.1,29564.0,27338.0,-17772.0,,52429.0,-5300.0,107085.7,,25806.9,,22775.8,67060.0,20172.5,50404.0,3447.3,47173.0,3951.0,10071.0,-639.8,-47219.7,39452.2,35974.5,15863.0,,11438.1,37281.0,40959.1,,35409.4,79131.7,17115.0,25053.8,,True,True,True,True,True,,True,True,False,,True,,True,False,True,True,True,True,True,True,True,True,True,True,True,,True,True,True,,True,False,True,True,
North Dakota,2228,3364.0,1730.2,3689.1,2365.0,6687.0,1548.0,,3225.1,661.0,2478.8,,2708.8,,2167.4,4578.0,2066.5,3533.0,3833.2,2145.0,1361.0,1953.0,2733.6,1827.1,883.5,2923.5,10216.0,,1896.6,2951.0,646.3,,1614.0,4442.3,2473.0,2553.9,,1136.0,-497.8,1461.1,137.0,4459.0,-680.0,,997.1,-1567.0,250.8,,480.8,,-60.6,2350.0,-161.5,1305.0,1605.2,-83.0,-867.0,-275.0,505.6,-400.9,-1344.5,695.5,7988.0,,-331.4,723.0,-1581.7,,-614.0,2214.3,245.0,325.9,,True,False,True,False,True,,True,False,True,,True,,True,False,True,False,False,True,True,True,True,True,False,True,False,,True,True,False,,True,False,True,True,
Ohio,73373,131760.0,115646.2,127978.3,107726.0,119955.0,115019.0,,123081.5,53110.0,134153.9,,103707.8,,81200.7,128792.0,73639.9,117633.0,88701.5,97808.5,107029.7,74600.0,82505.1,65924.4,108192.7,104615.4,133334.0,,79373.2,131760.0,50262.6,,130065.7,127050.8,95756.0,89811.1,,58387.0,42273.2,54605.3,34353.0,46582.0,41646.0,,49708.5,-20263.0,60780.9,,30334.8,,7827.7,55419.0,266.9,44260.0,15328.5,24435.5,33656.7,1227.0,9132.1,-7448.6,34819.7,31242.4,59961.0,,6000.2,58387.0,-23110.4,,56692.7,53677.8,22383.0,16438.1,,True,True,True,True,True,,True,True,False,,True,,True,True,True,True,True,True,True,True,True,True,True,True,False,,True,False,True,,True,True,True,True,
Oklahoma,37212,65764.0,57024.7,65673.6,57849.0,55871.0,57157.0,,64633.6,52631.0,77501.9,,46388.9,,55692.1,69434.0,28983.3,77762.0,41018.1,51296.5,42504.6,41843.5,42963.4,72732.5,67393.2,60258.9,53690.0,,44932.4,84687.0,36454.0,,55522.5,81101.4,53095.0,62476.3,,28552.0,19812.7,28461.6,20637.0,18659.0,19945.0,,27421.6,15419.0,40289.9,,9176.9,,18480.1,32222.0,-8228.7,40550.0,3806.1,14084.5,5292.6,4631.5,5751.4,35520.5,30181.2,23046.9,16478.0,,7720.4,47475.0,-758.0,,18310.5,43889.4,15883.0,25264.3,,True,True,True,True,True,,True,True,False,,True,,True,False,True,False,True,True,True,True,True,False,False,True,True,,True,False,True,,True,False,True,True,
Oregon,12899,19264.0,17146.4,20651.5,16467.0,22449.0,23895.0,,17493.3,17082.0,16392.4,,17419.7,,10067.3,17723.0,10122.3,19392.0,17230.4,17037.0,16765.3,11972.0,13142.6,4045.1,19228.3,17178.1,26951.0,,16200.6,19920.0,26246.8,,16010.5,18831.3,15937.0,14107.4,,6365.0,4247.4,7752.5,3568.0,9550.0,10996.0,,4594.3,4183.0,3493.4,,4520.7,,-2831.7,4824.0,-2776.7,6493.0,4331.4,4138.0,3866.3,-927.0,243.6,-8853.9,6329.3,4279.1,14052.0,,3301.6,7021.0,13347.8,,3111.5,5932.3,3038.0,1208.4,,True,False,True,False,False,,True,True,True,,True,,True,True,True,False,True,True,True,True,True,False,True,True,False,,True,False,False,,True,True,True,True,
Pennsylvania,89056,155560.0,106344.8,151370.5,115487.0,125988.0,134018.0,,149180.0,50078.0,115850.1,,164368.9,,104145.1,128429.0,75843.9,170920.0,123061.4,118365.5,106340.6,106178.5,116013.4,72317.3,86128.2,124435.1,133862.0,,111047.0,136463.0,121020.4,,145868.0,167596.1,123081.0,109693.9,,66504.0,17288.8,62314.5,26431.0,36932.0,44962.0,,60124.0,-38978.0,26794.1,,75312.9,,15089.1,39373.0,-13212.1,81864.0,34005.4,29309.5,17284.6,17122.5,26957.4,-16738.7,-2927.8,35379.1,44806.0,,21991.0,47407.0,31964.4,,56812.0,78540.1,34025.0,20637.9,,True,True,True,True,True,,True,True,True,,False,,True,True,True,False,True,True,True,True,True,True,True,True,True,,True,True,True,,True,False,True,True,
Rhode Island,11184,18812.0,13314.4,20496.7,16434.0,16528.0,17249.0,,19219.2,2422.0,3161228.3,,20594.3,,12464.2,20208.0,6847.7,19165.0,14731.8,15155.0,14454.9,13226.5,11644.6,20897.2,19048.6,16228.9,17025.0,,14365.6,21523.0,6863.3,,13760.4,22534.8,14515.0,19103.1,,7628.0,2130.4,9312.7,5250.0,5344.0,6065.0,,8035.2,-8762.0,3150044.3,,9410.3,,1280.2,9024.0,-4336.3,7981.0,3547.8,3971.0,3270.9,2042.5,460.6,9713.2,7864.6,5044.9,5841.0,,3181.6,10339.0,-4320.7,,2576.4,11350.8,3331.0,7919.1,,True,False,True,True,True,,False,False,False,,False,,True,False,True,False,True,True,True,True,True,False,False,True,True,,True,False,True,,True,False,True,False,
South Carolina,75287,103984.0,103388.4,103763.2,91390.0,91051.0,82739.0,,104884.5,237505.0,149149.1,,90661.3,,86511.6,104686.0,82132.1,100892.0,66011.5,89965.0,78845.1,75215.5,64754.7,91312.8,60155.7,99902.8,77409.0,,91049.6,103984.0,122769.1,,104081.0,112406.8,81702.0,99271.9,,28697.0,28101.4,28476.2,16103.0,15764.0,7452.0,,29597.5,162218.0,73862.1,,15374.3,,11224.6,29399.0,6845.1,25605.0,-9275.5,14678.0,3558.1,-71.5,-10532.3,16025.8,-15131.3,24615.8,2122.0,,15762.6,28697.0,47482.1,,28794.0,37119.8,6415.0,23984.9,,True,True,True,True,True,,False,False,False,,True,,True,False,True,True,True,True,True,True,True,True,True,True,True,,True,False,False,,False,False,True,True,
South Dakota,4223,4428.0,3157.4,4429.3,3371.0,7915.0,2812.0,,4454.0,4975.0,4966.6,,7028.7,,2617.0,5958.0,1206.0,5138.0,5377.6,3345.0,3155.3,2051.0,3469.7,1286.1,5298.9,4518.3,11110.0,,2249.5,2048.0,1299.6,,4901.9,4889.4,3097.0,2816.4,,205.0,-1065.6,206.3,-852.0,3692.0,-1411.0,,231.0,752.0,743.6,,2805.7,,-1606.0,1735.0,-3017.0,915.0,1154.6,-878.0,-1067.7,-2172.0,-753.3,-2936.9,1075.9,295.3,6887.0,,-1973.5,-2175.0,-2923.4,,678.9,666.4,-1126.0,-1406.6,,False,False,False,False,False,,False,False,False,,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,,False,False,False,False,
Tennessee,49145,75464.0,68235.2,75919.3,62592.0,64042.0,59592.0,,68627.4,45481.0,94404.4,,51725.4,,47429.1,83003.0,32062.3,71586.0,59914.6,48224.5,41208.8,41429.5,54837.1,66857.4,77619.5,56281.7,65493.0,,37240.3,68928.0,72736.0,,64270.9,90633.4,58808.0,44692.9,,26319.0,19090.2,26774.3,13447.0,14897.0,10447.0,,19482.4,-3664.0,45259.4,,2580.4,,-1715.9,33858.0,-17082.7,22441.0,10769.6,-920.5,-7936.2,-7715.5,5692.1,17712.4,28474.5,7136.7,16348.0,,-11904.7,19783.0,23591.0,,15125.9,41488.4,9663.0,-4452.1,,True,False,True,True,True,,True,True,False,,True,,True,False,True,True,True,True,True,True,True,True,False,True,True,,True,True,True,,True,False,True,True,
Texas,286097,483172.0,430461.0,510557.2,440142.0,431087.0,597256.0,,495506.9,497963.0,442570.3,,457648.8,,357180.8,505826.0,466691.8,525655.0,378898.2,472060.0,372359.3,395762.0,339241.9,553238.0,311258.9,456348.6,395914.0,,356511.7,448028.0,320159.2,,392807.4,542085.4,378575.0,446383.9,,197075.0,144364.0,224460.2,154045.0,144990.0,311159.0,,209409.9,211866.0,156473.3,,171551.8,,71083.8,219729.0,180594.8,239558.0,92801.2,185963.0,86262.3,109665.0,53144.9,267141.0,25161.9,170251.6,109817.0,,70414.7,161931.0,34062.2,,106710.4,255988.4,92478.0,160286.9,,True,False,True,True,False,,False,False,True,,True,,True,False,True,False,True,True,True,True,True,False,True,True,True,,True,True,True,,True,False,True,True,
Utah,25340,42164.0,39080.6,42591.7,37474.0,42781.0,31993.0,,40001.2,124789.0,54903.4,,35416.9,,22016.0,42492.0,10841.3,40387.0,25717.3,29858.0,38321.0,27632.0,27580.8,10333.2,45661.8,38559.1,43306.0,,36010.6,41300.0,16427.0,,25838.6,54413.5,32217.0,26323.0,,16824.0,13740.6,17251.7,12134.0,17441.0,6653.0,,14661.2,99449.0,29563.4,,10076.9,,-3324.0,17152.0,-14498.7,15047.0,377.3,4518.0,12981.0,2292.0,2240.8,-15006.8,20321.8,13219.1,17966.0,,10670.6,15960.0,-8913.0,,498.6,29073.5,6877.0,983.0,,True,False,True,False,True,,True,False,False,,True,,True,False,True,True,True,True,True,True,True,True,False,True,False,,True,True,True,,True,False,True,True,
Vermont,3267,3692.0,2456.5,3702.0,3613.0,5194.0,3445.0,,3688.4,8251.0,2927.8,,2667.5,,3304.2,3486.0,4319.6,3493.0,3301.2,3895.0,4333.0,3091.0,3046.6,2881.8,4509.5,3709.6,6281.0,,3485.8,3692.0,4402.2,,2384.6,3781.5,3338.0,3911.6,,425.0,-810.5,435.0,346.0,1927.0,178.0,,421.4,4984.0,-339.2,,-599.5,,37.2,219.0,1052.6,226.0,34.2,628.0,1066.0,-176.0,-220.4,-385.2,1242.5,442.6,3014.0,,218.8,425.0,1135.2,,-882.4,514.5,71.0,644.6,,False,False,True,False,True,,True,False,True,,False,,True,True,False,True,True,False,False,True,True,True,False,False,False,,True,False,False,,False,False,True,False,
Virginia,72093,134264.0,138226.1,136108.0,127770.0,114695.0,133079.0,,131775.2,145390.0,112368.5,,98076.0,,107826.5,113494.0,254960.7,144508.0,93493.1,136711.5,98461.9,104514.0,94053.3,121024.3,91662.3,124168.9,98007.0,,96099.2,141021.0,116356.6,,118508.5,157739.0,101739.0,127537.9,,62171.0,66133.1,64015.0,55677.0,42602.0,60986.0,,59682.2,73297.0,40275.5,,25983.0,,35733.5,41401.0,182867.7,72415.0,21400.1,64618.5,26368.9,32421.0,21960.3,48931.3,19569.3,52075.9,25914.0,,24006.2,68928.0,44263.6,,46415.5,85646.0,29646.0,55444.9,,False,False,True,True,True,,True,False,True,,True,,True,True,False,False,True,False,True,True,True,True,True,True,True,,True,False,True,,True,False,True,True,
Washington,28176,45596.0,41720.3,39879.5,39528.0,41882.0,54030.0,,38084.0,42450.0,27080.9,,33877.3,,35064.7,46944.0,19755.2,56741.0,48899.9,34635.0,40746.7,37170.0,29361.9,9924.5,46903.4,44390.5,42560.0,,33356.8,63532.0,60845.2,,34496.5,53577.9,36197.0,47054.4,,17420.0,13544.3,11703.5,11352.0,13706.0,25854.0,,9908.0,14274.0,-1095.1,,5701.3,,6888.7,18768.0,-8420.8,28565.0,20723.9,6459.0,12570.7,8994.0,1185.9,-18251.5,18727.4,16214.5,14384.0,,5180.8,35356.0,32669.2,,6320.5,25401.9,8021.0,18878.4,,True,True,True,True,False,,True,True,True,,True,,True,False,True,False,False,True,True,True,True,False,False,True,True,,True,False,False,,True,False,True,False,
West Virginia,11240,22352.0,19123.5,21159.4,17396.0,20697.0,18046.0,,20779.6,22365.0,18316.7,,19698.3,,15884.7,22931.0,13589.7,24157.0,15185.9,15999.5,14031.9,15962.5,15661.0,15662.3,12402.3,19732.4,21156.0,,15048.9,11181.0,15929.8,,16403.5,25175.8,18766.0,17067.4,,11112.0,7883.5,9919.4,6156.0,9457.0,6806.0,,9539.6,11125.0,7076.7,,8458.3,,4644.7,11691.0,2349.7,12917.0,3945.9,4759.5,2791.9,4722.5,4421.0,4422.3,1162.3,8492.4,9916.0,,3808.9,-59.0,4689.8,,5163.5,13935.8,7526.0,5827.4,,True,True,True,True,True,,True,False,True,,True,,True,False,True,False,True,True,True,True,True,True,True,True,True,,True,True,True,,True,False,True,True,
Wisconsin,25889,43976.0,35920.6,49604.2,35384.0,59388.0,36502.0,,41955.3,21660.0,43362.4,,38778.0,,25452.2,41285.0,19446.4,44645.0,46686.7,33939.0,29952.0,27180.5,28626.6,65541.1,35869.4,37439.9,78675.0,,25925.2,27260.0,13833.5,,37748.5,40611.6,32273.0,31723.0,,18087.0,10031.6,23715.2,9495.0,33499.0,10613.0,,16066.3,-4229.0,17473.4,,12889.0,,-436.8,15396.0,-6442.6,18756.0,20797.7,8050.0,4063.0,1291.5,2737.6,39652.1,9980.4,11550.9,52786.0,,36.2,1371.0,-12055.5,,11859.5,14722.6,6384.0,5834.0,,True,False,True,False,True,,True,True,True,,True,,True,True,True,False,False,True,True,True,True,False,True,True,False,,True,True,True,,True,True,True,True,
Wyoming,2646,4484.0,4275.2,4611.0,3667.0,5724.0,2607.0,,3853.1,9666.0,5027.4,,4438.4,,2397.4,4933.0,2836.2,4257.0,3468.5,3511.5,2846.4,3117.0,3163.4,1814.8,2849.7,4354.1,6916.0,,2943.8,4808.0,3283.6,,5994.4,3541.9,2031.0,3714.3,,1838.0,1629.2,1965.0,1021.0,3078.0,-39.0,,1207.1,7020.0,2381.4,,1792.4,,-248.6,2287.0,190.2,1611.0,822.5,865.5,200.4,471.0,517.4,-831.2,203.7,1708.1,4270.0,,297.8,2162.0,637.6,,3348.4,895.9,-615.0,1068.3,,True,False,True,False,True,,True,False,False,,True,,True,False,True,True,True,True,True,True,True,True,True,True,False,,True,False,True,,False,True,True,True,
US,2461348,4232276.0,3643168.2,4205209.2,3539771.0,4014249.0,4160740.0,3198299.0,4115895.5,4026219.0,13989571.0,3747400.8,,4131186.0,2845908.1,3773001.0,3036776.0,4312800.0,3305949.3,,2816556.1,2857264.0,2790279.2,3212739.8,3422327.7,3658709.3,4174538.0,3691042.0,2819727.9,3588590.0,3222602.1,3475819.0,4818703.2,4256320.8,3321902.0,3435994.0,3045656.6,1770928.0,1181820.2,1743861.2,1078423.0,1552901.0,1699392.0,736951.0,1654547.5,1564871.0,11528223.0,1286052.8,,1669838.0,384560.1,1311653.0,575428.0,1851452.0,844601.3,,355208.1,395916.0,328931.2,751391.8,960979.7,1197361.3,1713190.0,1229694.0,358379.9,1127242.0,761254.1,1014471.0,2357355.2,1794972.8,860554.0,974646.0,584308.6,True,True,True,True,True,True,True,True,False,True,,True,True,True,True,False,True,,True,True,True,True,True,True,True,True,True,True,True,True,False,False,True,True,True
