,actual_deaths,Baseline,Auquan-SEIR,COVIDhub-baseline,COVIDhub-ensemble,CU-select,CovidAnalytics-DELPHI,GT-DeepCOVID,Geneva-DetGrowth,IHME-CurveFit,Imperial-ensemble1,Imperial-ensemble2,IowaStateLW-STEM,JHU_IDD-CovidSP,LANL-GrowthRate,MOBS-GLEAM_COVID,NotreDame-FRED,PSI-DRAFT,UCLA-SuEIR,UChicago-CovidIL,UChicago-CovidIL_100,UChicago-CovidIL_10_+,UChicago-CovidIL_30_+,UMass-MechBayes,USACE-ERDC_SEIR,UT-Mobility,YYG-ParamSearch,error-Baseline,error-Auquan-SEIR,error-COVIDhub-baseline,error-COVIDhub-ensemble,error-CU-select,error-CovidAnalytics-DELPHI,error-GT-DeepCOVID,error-Geneva-DetGrowth,error-IHME-CurveFit,error-Imperial-ensemble1,error-Imperial-ensemble2,error-IowaStateLW-STEM,error-JHU_IDD-CovidSP,error-LANL-GrowthRate,error-MOBS-GLEAM_COVID,error-NotreDame-FRED,error-PSI-DRAFT,error-UCLA-SuEIR,error-UChicago-CovidIL,error-UChicago-CovidIL_100,error-UChicago-CovidIL_10_+,error-UChicago-CovidIL_30_+,error-UMass-MechBayes,error-USACE-ERDC_SEIR,error-UT-Mobility,error-YYG-ParamSearch,beat_baseline-Auquan-SEIR,beat_baseline-COVIDhub-baseline,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-GT-DeepCOVID,beat_baseline-Geneva-DetGrowth,beat_baseline-IHME-CurveFit,beat_baseline-Imperial-ensemble1,beat_baseline-Imperial-ensemble2,beat_baseline-IowaStateLW-STEM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-LANL-GrowthRate,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-NotreDame-FRED,beat_baseline-PSI-DRAFT,beat_baseline-UCLA-SuEIR,beat_baseline-UChicago-CovidIL,beat_baseline-UChicago-CovidIL_100,beat_baseline-UChicago-CovidIL_10_+,beat_baseline-UChicago-CovidIL_30_+,beat_baseline-UMass-MechBayes,beat_baseline-USACE-ERDC_SEIR,beat_baseline-UT-Mobility,beat_baseline-YYG-ParamSearch
New Jersey,12869,11311.9,12043.0,11406.0,11281.0,10918.0,11183.0,,,11424.1,,,11662.5,11563.6,11017.0,11246.6,,11378.5,11056.7,,,,,11170.0,10612.5,10907.1,11249.5,197.9,929.0,292.0,167.0,-196.0,69.0,,,310.1,,,548.5,449.6,-97.0,132.6,,264.5,-57.3,,,,,56.0,-501.5,-206.9,135.5,False,False,True,True,True,,,False,,,False,False,True,True,,False,True,,,,,True,False,False,True
New Mexico,308,320.7,324.0,327.0,318.6,257.0,324.0,,,319.9,,,301.0,314.6,308.8,334.8,,326.0,328.9,,,,,323.0,310.8,318.0,320.4,12.7,16.0,19.0,10.6,-51.0,16.0,,,11.9,,,-7.0,6.6,0.8,26.8,,18.0,20.9,,,,,15.0,2.8,10.0,12.4,False,False,True,False,False,,,True,,,True,True,True,False,,False,False,,,,,False,True,True,True
New York,30032,29595.7,30957.0,29486.0,29558.1,28175.0,29166.0,,,29705.6,,,30410.0,25514.2,29389.6,29329.5,,27168.5,29276.9,,,,,29254.0,28458.7,28995.6,29317.2,302.7,1664.0,193.0,265.1,-1118.0,-127.0,,,412.6,,,1117.0,-3778.8,96.6,36.5,,-2124.5,-16.1,,,,,-39.0,-834.3,-297.4,24.2,False,True,True,False,True,,,False,,,False,False,True,True,,False,True,,,,,True,False,True,True
North Carolina,778,790.6,907.0,801.0,819.2,834.0,880.0,,,836.1,,,671.0,958.5,804.4,792.5,,806.0,787.2,,,,,804.0,814.1,779.6,786.3,12.6,129.0,23.0,41.2,56.0,102.0,,,58.1,,,-107.0,180.5,26.4,14.5,,28.0,9.2,,,,,26.0,36.1,1.6,8.3,False,False,False,False,False,,,False,,,False,False,False,False,,False,True,,,,,False,False,True,True
North Dakota,52,49.9,59.0,49.0,53.0,21.0,54.0,,,54.9,,,56.0,48.2,54.0,53.0,,50.0,48.9,,,,,52.0,52.1,51.1,50.4,-2.1,7.0,-3.0,1.0,-31.0,2.0,,,2.9,,,4.0,-3.8,2.0,1.0,,-2.0,-3.1,,,,,0.0,0.1,-0.9,-1.6,False,False,True,False,True,,,False,,,False,False,True,True,,True,False,,,,,True,True,True,True
Ohio,1956,1868.4,1881.0,1889.0,1857.9,1846.0,1850.0,,,1925.4,,,1891.0,2198.1,1820.0,1903.4,1754.0,1992.0,1836.5,,,,,1848.0,1940.1,1821.6,1862.3,-87.6,-75.0,-67.0,-98.1,-110.0,-106.0,,,-30.6,,,-65.0,242.1,-136.0,-52.6,-202.0,36.0,-119.5,,,,,-108.0,-15.9,-134.4,-93.7,True,True,False,False,False,,,True,,,True,False,False,True,False,True,False,,,,,False,True,False,False
Oklahoma,311,301.7,334.0,306.0,313.0,302.0,337.0,306.0,,314.7,,,287.0,337.5,319.6,311.4,,331.5,317.7,,,,,307.0,320.3,299.6,305.7,-9.3,23.0,-5.0,2.0,-9.0,26.0,-5.0,,3.7,,,-24.0,26.5,8.6,0.4,,20.5,6.7,,,,,-4.0,9.3,-11.4,-5.3,False,True,True,True,False,True,,True,,,False,False,True,True,,False,True,,,,,True,True,False,True
Oregon,147,145.6,170.0,147.0,150.4,157.0,161.0,,,159.6,,,149.0,248.0,146.2,149.9,,150.0,151.7,,,,,147.0,151.2,146.1,145.7,-1.4,23.0,0.0,3.4,10.0,14.0,,,12.6,,,2.0,101.0,-0.8,2.9,,3.0,4.7,,,,,0.0,4.2,-0.9,-1.3,False,True,False,False,False,,,False,,,False,False,True,False,,False,False,,,,,True,False,True,True
Pennsylvania,5112,5085.6,5287.0,5181.0,5140.2,4880.0,5417.0,5128.0,,5543.6,,,5427.0,5344.3,4936.9,5433.9,,5499.5,4972.8,,,,,5066.0,4562.8,4952.4,5079.8,-26.4,175.0,69.0,28.2,-232.0,305.0,16.0,,431.6,,,315.0,232.3,-175.1,321.9,,387.5,-139.2,,,,,-46.0,-549.2,-159.6,-32.2,False,False,False,False,False,True,,False,,,False,False,False,False,,False,False,,,,,False,False,False,False
Rhode Island,619,565.0,621.0,560.0,582.5,848.0,549.0,,,569.7,,,660.0,118.7,562.8,586.1,,582.0,573.0,,,,,564.0,501.3,553.8,564.9,-5.0,51.0,-10.0,12.5,278.0,-21.0,,,-0.3,,,90.0,-451.3,-7.2,16.1,,12.0,3.0,,,,,-6.0,-68.7,-16.2,-5.1,False,False,False,False,False,,,True,,,False,False,False,False,,False,True,,,,,False,False,False,False
