,actual_deaths,Baseline,AIpert-pwllnod,BPagano-RtDriven,CEID-Walk,CMU-TimeSeries,COVIDhub-baseline,COVIDhub-ensemble,CU-select,Caltech-CS156,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,GT-DeepCOVID,Google_Harvard-CPF,IBF-TimeSeries,IHME-CurveFit,IowaStateLW-STEM,JHU_CSSE-DECOM,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MIT_CritData-GBCF,MIT_ISOLAT-Mixtures,MOBS-GLEAM_COVID,Microsoft-DeepSTIA,OliverWyman-Navigator,PSI-DRAFT,QJHong-Encounter,RPI_UW-Mob_Collision,RobertWalraven-ESG,SigSci-TS,SteveMcConnell-CovidComplete,TTU-squider,UA-EpiCovDA,UCLA-SuEIR,UCM_MESALab-FoGSEIR,UCSB-ACTS,UCSD_NEU-DeepGLEAM,UChicagoCHATTOPADHYAY-UnIT,UMass-MechBayes,UMich-RidgeTfReg,USC-SI_kJalpha,UpstateSU-GRU,WalmartLabsML-LogForecasting,epiforecasts-ensemble1,error-Baseline,error-AIpert-pwllnod,error-BPagano-RtDriven,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-baseline,error-COVIDhub-ensemble,error-CU-select,error-Caltech-CS156,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-GT-DeepCOVID,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IHME-CurveFit,error-IowaStateLW-STEM,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MIT_CritData-GBCF,error-MIT_ISOLAT-Mixtures,error-MOBS-GLEAM_COVID,error-Microsoft-DeepSTIA,error-OliverWyman-Navigator,error-PSI-DRAFT,error-QJHong-Encounter,error-RPI_UW-Mob_Collision,error-RobertWalraven-ESG,error-SigSci-TS,error-SteveMcConnell-CovidComplete,error-TTU-squider,error-UA-EpiCovDA,error-UCLA-SuEIR,error-UCM_MESALab-FoGSEIR,error-UCSB-ACTS,error-UCSD_NEU-DeepGLEAM,error-UChicagoCHATTOPADHYAY-UnIT,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,error-UpstateSU-GRU,error-WalmartLabsML-LogForecasting,error-epiforecasts-ensemble1,beat_baseline-AIpert-pwllnod,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-baseline,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Caltech-CS156,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-GT-DeepCOVID,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MIT_CritData-GBCF,beat_baseline-MIT_ISOLAT-Mixtures,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-Microsoft-DeepSTIA,beat_baseline-OliverWyman-Navigator,beat_baseline-PSI-DRAFT,beat_baseline-QJHong-Encounter,beat_baseline-RPI_UW-Mob_Collision,beat_baseline-RobertWalraven-ESG,beat_baseline-SigSci-TS,beat_baseline-SteveMcConnell-CovidComplete,beat_baseline-TTU-squider,beat_baseline-UA-EpiCovDA,beat_baseline-UCLA-SuEIR,beat_baseline-UCM_MESALab-FoGSEIR,beat_baseline-UCSB-ACTS,beat_baseline-UCSD_NEU-DeepGLEAM,beat_baseline-UChicagoCHATTOPADHYAY-UnIT,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha,beat_baseline-UpstateSU-GRU,beat_baseline-WalmartLabsML-LogForecasting,beat_baseline-epiforecasts-ensemble1
Maryland,7107,7114.9,7059.1,6922.9,7127.4,7157.0,7131.0,7156.0,7204.0,7064.2,7199.0,7014.2,8414.0,7266.0,7217.2,7213.6,,7159.6,7141.0,7140.0,7030.2,7183.9,7147.0,7123.6,7197.0,6935.5,7171.5,7213.9,7152.5,6981.0,,7350.0,7066.4,,7195.0,6988.3,7011.0,7079.1,,7401.6,7192.1,7053.1,7087.0,7159.7,7201.0,,6684.2,7233.0,7.9,-47.9,-184.1,20.4,50.0,24.0,49.0,97.0,-42.8,92.0,-92.8,1307.0,159.0,110.2,106.6,,52.6,34.0,33.0,-76.8,76.9,40.0,16.6,90.0,-171.5,64.5,106.9,45.5,-126.0,,243.0,-40.6,,88.0,-118.7,-96.0,-27.9,,294.6,85.1,-53.9,-20.0,52.7,94.0,,-422.8,126.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,,False,False,False,False,,False,False,False,False,False,False,,False,False
Massachusetts,14531,14582.4,14602.8,14439.9,14569.6,14771.0,14601.0,14653.0,14732.0,14449.4,14773.0,14421.1,15177.0,14722.8,14717.1,14751.9,,14986.2,14648.0,14712.0,14510.8,14712.0,14541.0,14596.3,14837.0,14783.3,14742.9,15000.5,14647.1,14563.0,,14864.7,14513.2,,14727.0,15302.7,14590.0,14386.1,,15780.0,14762.1,14538.1,14610.0,14743.6,14745.0,,14036.1,14592.0,51.4,71.8,-91.1,38.6,240.0,70.0,122.0,201.0,-81.6,242.0,-109.9,646.0,191.8,186.1,220.9,,455.2,117.0,181.0,-20.2,181.0,10.0,65.3,306.0,252.3,211.9,469.5,116.1,32.0,,333.7,-17.8,,196.0,771.7,59.0,-144.9,,1249.0,231.1,7.1,79.0,212.6,214.0,,-494.9,61.0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,True,False,True,False,False,False,False,False,False,True,,False,True,,False,False,False,False,,False,False,True,False,False,False,,False,False
Michigan,15525,15642.1,15772.2,15518.9,15833.1,15922.0,15717.0,15720.0,15537.0,15543.0,15961.0,15262.4,16050.0,16019.6,15605.1,15847.8,,16537.2,16220.0,16066.0,15368.5,15465.7,15606.0,15668.5,15926.0,15488.8,15852.8,15863.2,15612.4,15680.0,,16390.0,15620.2,,15720.0,14905.2,15216.0,15427.3,,16241.1,15866.3,15457.0,15525.0,16109.4,16264.0,,15123.3,15628.0,117.1,247.2,-6.1,308.1,397.0,192.0,195.0,12.0,18.0,436.0,-262.6,525.0,494.6,80.1,322.8,,1012.2,695.0,541.0,-156.5,-59.3,81.0,143.5,401.0,-36.2,327.8,338.2,87.4,155.0,,865.0,95.2,,195.0,-619.8,-309.0,-97.7,,716.1,341.3,-68.0,0.0,584.4,739.0,,-401.7,103.0,False,True,False,False,False,False,True,True,False,False,False,False,True,False,,False,False,False,False,True,True,False,False,True,False,False,True,False,,False,True,,False,False,False,True,,False,False,True,True,False,False,,False,True
Minnesota,6255,6403.6,6305.9,6239.8,6423.1,6451.0,6403.0,6373.0,6209.0,6316.6,6315.0,6269.5,6364.0,6493.3,6346.2,6351.2,,6553.0,6554.0,6477.0,6276.0,6271.5,6353.0,6396.5,6440.0,6214.2,6411.0,6454.7,6360.3,6455.0,,6610.5,6372.7,,6392.0,5405.7,6540.0,6371.5,,6660.9,6426.0,6288.5,6341.0,6611.5,6457.0,,6278.8,6348.0,148.6,50.9,-15.2,168.1,196.0,148.0,118.0,-46.0,61.6,60.0,14.5,109.0,238.3,91.2,96.2,,298.0,299.0,222.0,21.0,16.5,98.0,141.5,185.0,-40.8,156.0,199.7,105.3,200.0,,355.5,117.7,,137.0,-849.3,285.0,116.5,,405.9,171.0,33.5,86.0,356.5,202.0,,23.8,93.0,True,True,False,False,True,True,True,True,True,True,True,False,True,True,,False,False,False,True,True,True,True,False,True,False,False,True,False,,False,True,,True,False,False,True,,False,False,True,True,False,False,,True,True
Mississippi,6018,6178.4,6270.3,5930.2,6138.3,6105.0,6150.7,6114.0,5796.0,6009.7,6067.0,5807.4,6132.0,6438.7,6015.1,6088.5,,6158.0,6100.0,6067.0,5876.0,6171.3,6256.0,6132.5,6181.0,6156.0,6147.0,6159.0,6127.9,6054.5,,6074.8,6161.2,,6098.0,6064.2,6072.0,6161.5,,6267.2,6172.0,5990.9,6081.0,6051.5,6160.0,,5772.0,6228.0,160.4,252.3,-87.8,120.3,87.0,132.7,96.0,-222.0,-8.3,49.0,-210.6,114.0,420.7,-2.9,70.5,,140.0,82.0,49.0,-142.0,153.3,238.0,114.5,163.0,138.0,129.0,141.0,109.9,36.5,,56.8,143.2,,80.0,46.2,54.0,143.5,,249.2,154.0,-27.1,63.0,33.5,142.0,,-246.0,210.0,False,True,True,True,True,True,False,True,True,False,True,False,True,True,,True,True,True,True,True,False,True,False,True,True,True,True,True,,True,True,,True,True,True,True,,False,True,True,True,True,True,,False,False
Missouri,7040,7090.1,7178.6,6972.3,7163.8,7197.0,7142.9,7143.0,6909.0,6999.8,7187.0,6987.2,7017.0,7405.2,7034.1,7187.9,,7630.9,7404.0,7151.0,6750.0,7004.1,6988.0,7027.5,7163.0,6891.4,7187.9,7155.7,7040.2,7089.0,,7461.2,6730.9,,7146.0,6809.7,6775.0,6698.8,,7625.5,7227.4,7027.9,6958.0,7343.3,7167.0,,6475.2,5828.0,78.1,166.6,-39.7,151.8,185.0,130.9,131.0,-103.0,-12.2,175.0,-24.8,5.0,393.2,22.1,175.9,,618.9,392.0,139.0,-262.0,-7.9,-24.0,15.5,151.0,-120.6,175.9,143.7,28.2,77.0,,449.2,-281.1,,134.0,-202.3,-237.0,-313.2,,613.5,215.4,15.9,-54.0,331.3,155.0,,-536.8,-1184.0,False,True,False,False,False,False,False,True,False,True,True,False,True,False,,False,False,False,False,True,True,True,False,False,False,False,True,True,,False,False,,False,False,False,False,,False,False,True,True,False,False,,False,False
Montana,1232,1158.9,1163.9,1163.2,1163.3,1184.0,1156.0,1179.0,1149.0,1179.4,1208.0,1141.6,1144.0,1196.7,1183.8,1186.2,,1262.4,1215.0,1206.0,1210.1,1160.2,1164.0,1174.1,1235.0,1187.0,1163.6,1203.2,1178.7,1169.0,,,1166.6,,1180.0,1039.5,1181.0,1164.3,,1285.6,1186.8,1196.5,1171.0,1207.9,1148.0,,1159.4,1179.0,-73.1,-68.1,-68.8,-68.7,-48.0,-76.0,-53.0,-83.0,-52.6,-24.0,-90.4,-88.0,-35.3,-48.2,-45.8,,30.4,-17.0,-26.0,-21.9,-71.8,-68.0,-57.9,3.0,-45.0,-68.4,-28.8,-53.3,-63.0,,,-65.4,,-52.0,-192.5,-51.0,-67.7,,53.6,-45.2,-35.5,-61.0,-24.1,-84.0,,-72.6,-53.0,True,True,True,True,False,True,False,True,True,False,False,True,True,True,,True,True,True,True,True,True,True,True,True,True,True,True,True,,,True,,True,False,True,True,,True,True,True,True,True,False,,True,True
Nebraska,1920,1980.0,1955.6,1926.3,2046.0,2065.0,2037.0,2006.0,2044.0,1994.3,1980.0,1934.3,1955.0,2085.6,1964.9,2001.9,,2019.1,2028.0,2018.0,2031.2,1957.3,1980.0,2019.1,2075.0,,2019.3,2062.6,1973.6,1959.0,,,1920.7,,2002.0,1737.1,1957.0,1952.5,,2065.8,2041.7,1993.3,1957.0,2124.8,2009.0,,1946.6,2135.0,60.0,35.6,6.3,126.0,145.0,117.0,86.0,124.0,74.3,60.0,14.3,35.0,165.6,44.9,81.9,,99.1,108.0,98.0,111.2,37.3,60.0,99.1,155.0,,99.3,142.6,53.6,39.0,,,0.7,,82.0,-182.9,37.0,32.5,,145.8,121.7,73.3,37.0,204.8,89.0,,26.6,215.0,True,True,False,False,False,False,False,False,False,True,True,False,True,False,,False,False,False,False,True,False,False,False,,False,False,True,True,,,True,,False,False,True,True,,False,False,False,True,False,False,,True,False
Nevada,4264,4358.4,4307.0,4167.7,4374.4,4394.0,4383.1,4370.0,4168.0,4175.1,4248.0,3977.6,4370.0,4630.1,4275.6,4318.0,,4412.5,4363.0,4310.0,4103.5,4196.8,4409.0,4330.7,4424.0,4487.5,4352.1,4354.7,4403.7,4410.0,,4419.8,4380.4,,4259.0,4119.6,4150.0,4324.8,,4639.6,4373.3,4259.3,4202.0,4477.0,4470.0,,4007.7,4466.0,94.4,43.0,-96.3,110.4,130.0,119.1,106.0,-96.0,-88.9,-16.0,-286.4,106.0,366.1,11.6,54.0,,148.5,99.0,46.0,-160.5,-67.2,145.0,66.7,160.0,223.5,88.1,90.7,139.7,146.0,,155.8,116.4,,-5.0,-144.4,-114.0,60.8,,375.6,109.3,-4.7,-62.0,213.0,206.0,,-256.3,202.0,True,False,False,False,False,False,False,True,True,False,False,False,True,True,,False,False,True,False,True,False,True,False,False,True,True,False,False,,False,False,,True,False,False,True,,False,False,True,True,False,False,,False,False
New Hampshire,1042,1051.9,1053.0,1048.9,1065.4,1069.0,1057.0,1069.0,1032.0,1073.2,1078.0,1058.7,1140.0,1066.2,1057.1,1066.3,,1139.7,1097.0,1102.0,1129.3,1062.3,1046.0,1054.1,1121.0,,1034.5,1109.7,1062.1,1168.0,,,1056.4,,1074.0,1079.8,1079.0,1008.9,,1196.4,1058.1,1037.2,1056.0,1088.3,1071.0,,972.3,1107.0,9.9,11.0,6.9,23.4,27.0,15.0,27.0,-10.0,31.2,36.0,16.7,98.0,24.2,15.1,24.3,,97.7,55.0,60.0,87.3,20.3,4.0,12.1,79.0,,-7.5,67.7,20.1,126.0,,,14.4,,32.0,37.8,37.0,-33.1,,154.4,16.1,-4.8,14.0,46.3,29.0,,-69.7,65.0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,False,False,True,False,False,,True,False,False,False,,,False,,False,False,False,False,,False,False,True,False,False,False,,False,False
New Jersey,21455,21525.4,21901.6,21282.4,21554.0,21682.0,21534.0,21652.0,21757.0,21587.4,21787.0,21211.4,22090.0,21455.4,21633.3,21748.1,,21988.2,21607.0,21706.0,21428.2,21563.4,22424.5,21651.6,21798.0,21640.0,21611.0,21669.7,21714.0,21284.0,,21699.7,21356.8,,21705.0,20391.8,21652.0,21420.0,,22528.1,21630.4,21468.2,21633.0,21070.8,21737.0,,20737.9,21940.0,70.4,446.6,-172.6,99.0,227.0,79.0,197.0,302.0,132.4,332.0,-243.6,635.0,0.4,178.3,293.1,,533.2,152.0,251.0,-26.8,108.4,969.5,196.6,343.0,185.0,156.0,214.7,259.0,-171.0,,244.7,-98.2,,250.0,-1063.2,197.0,-35.0,,1073.1,175.4,13.2,178.0,-384.2,282.0,,-717.1,485.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,,False,False,False,True,False,False,False,False,False,False,False,False,False,,False,False,,False,False,False,True,,False,False,True,False,False,False,,False,False
New Mexico,3265,3271.9,3227.2,3147.3,3283.4,3267.0,3266.0,3268.0,3182.0,3192.2,3260.0,3127.6,3318.0,3291.5,3261.5,3252.5,,3375.9,3289.0,3278.0,3145.4,3200.2,3270.0,3264.2,3302.0,,3262.5,3299.1,3271.0,3223.0,,,3211.3,,3275.0,3211.8,3301.0,3201.9,,3209.3,3284.6,3231.0,3242.0,3311.6,3291.0,,3147.2,3286.0,6.9,-37.8,-117.7,18.4,2.0,1.0,3.0,-83.0,-72.8,-5.0,-137.4,53.0,26.5,-3.5,-12.5,,110.9,24.0,13.0,-119.6,-64.8,5.0,-0.8,37.0,,-2.5,34.1,6.0,-42.0,,,-53.7,,10.0,-53.2,36.0,-63.1,,-55.7,19.6,-34.0,-23.0,46.6,26.0,,-117.8,21.0,False,False,False,True,True,True,False,False,True,False,False,False,True,False,,False,False,False,False,False,True,True,False,,True,False,True,False,,,False,,False,False,False,False,,False,False,False,False,False,False,,False,False
New York,43453,43520.6,43624.8,42795.0,43518.2,43897.0,43476.3,43570.0,43978.0,43157.1,44138.0,43045.0,45438.0,43011.6,43272.0,43695.2,,43232.7,43367.0,43510.0,43657.4,43814.2,43803.0,43769.8,43918.0,43179.6,43737.6,43888.2,43784.3,42461.0,,43181.9,43649.7,,43674.0,42329.4,43168.0,43559.4,,43510.1,43768.1,43386.8,43470.0,43673.3,43896.0,,41217.6,43661.0,67.6,171.8,-658.0,65.2,444.0,23.3,117.0,525.0,-295.9,685.0,-408.0,1985.0,-441.4,-181.0,242.2,,-220.3,-86.0,57.0,204.4,361.2,350.0,316.8,465.0,-273.4,284.6,435.2,331.3,-992.0,,-271.1,196.7,,221.0,-1123.6,-285.0,106.4,,57.1,315.1,-66.2,17.0,220.3,443.0,,-2235.4,208.0,False,False,True,False,True,False,False,False,False,False,False,False,False,False,,False,False,True,False,False,False,False,False,False,False,False,False,False,,False,False,,False,False,False,False,,True,False,True,True,False,False,,False,False
North Carolina,9287,9041.3,8801.3,8943.7,9175.9,9414.0,9198.1,9235.0,9169.0,8941.8,9347.0,8618.5,9064.0,9365.3,9083.5,9219.6,,9255.9,9271.0,9590.0,9490.9,9265.9,9155.0,9224.4,9458.0,9228.1,9346.7,9398.2,9257.3,9050.0,,9106.7,9279.9,,9277.0,9608.2,9346.0,8851.8,,10229.2,9365.9,9232.1,9215.0,9149.5,9782.0,,8522.7,9071.0,-245.7,-485.7,-343.3,-111.1,127.0,-88.9,-52.0,-118.0,-345.2,60.0,-668.5,-223.0,78.3,-203.5,-67.4,,-31.1,-16.0,303.0,203.9,-21.1,-132.0,-62.6,171.0,-58.9,59.7,111.2,-29.7,-237.0,,-180.3,-7.1,,-10.0,321.2,59.0,-435.2,,942.2,78.9,-54.9,-72.0,-137.5,495.0,,-764.3,-216.0,False,False,True,True,True,True,True,False,True,False,True,True,True,True,,True,True,False,True,True,True,True,True,True,True,True,True,True,,True,True,,True,False,True,False,,False,True,True,True,True,False,,False,True
North Dakota,1447,1491.4,1469.0,1418.1,1486.0,1473.0,1489.0,1462.0,1385.0,1446.2,1450.0,1430.1,1480.0,1489.0,1453.6,1451.2,,1333.5,1462.0,1474.0,1444.0,1448.6,1462.0,1470.2,1484.0,1436.3,1453.5,1470.1,1473.2,1439.0,,,1481.2,,1457.0,1226.9,1469.0,1408.7,,1417.5,1476.9,1452.7,1458.0,1524.5,1458.0,,1453.1,1473.0,44.4,22.0,-28.9,39.0,26.0,42.0,15.0,-62.0,-0.8,3.0,-16.9,33.0,42.0,6.6,4.2,,-113.5,15.0,27.0,-3.0,1.6,15.0,23.2,37.0,-10.7,6.5,23.1,26.2,-8.0,,,34.2,,10.0,-220.1,22.0,-38.3,,-29.5,29.9,5.7,11.0,77.5,11.0,,6.1,26.0,True,True,True,True,True,True,False,True,True,True,True,True,True,True,,False,True,True,True,True,True,True,True,True,True,True,True,True,,,True,,True,False,True,True,,True,True,True,True,False,True,,True,True
Ohio,11121,11264.1,11308.8,10885.5,11208.8,11393.0,11207.0,11218.0,10893.0,10978.5,11008.0,10672.7,11313.0,11865.0,10918.1,11146.3,,11458.2,11187.0,11236.0,11673.3,11046.4,11280.0,11281.5,11513.0,10889.4,11280.9,11454.1,11183.4,11021.0,,11455.6,11089.7,,11218.0,12248.4,10926.0,11321.0,,12094.2,11292.1,11340.0,11168.0,11272.9,11285.0,,10783.7,11254.0,143.1,187.8,-235.5,87.8,272.0,86.0,97.0,-228.0,-142.5,-113.0,-448.3,192.0,744.0,-202.9,25.3,,337.2,66.0,115.0,552.3,-74.6,159.0,160.5,392.0,-231.6,159.9,333.1,62.4,-100.0,,334.6,-31.3,,97.0,1127.4,-195.0,200.0,,973.2,171.1,219.0,47.0,151.9,164.0,,-337.3,133.0,False,False,True,False,True,True,False,True,True,False,False,False,False,True,,False,True,True,False,True,False,False,False,False,False,False,True,True,,False,True,,True,False,False,False,,False,False,False,True,False,False,,False,True
Oklahoma,3504,3406.7,3466.3,3266.4,3382.2,3494.0,3380.0,3399.0,3239.0,3395.2,3460.0,3202.8,3475.0,3467.7,3323.7,3361.9,,3387.7,3457.0,3536.0,3563.4,3354.2,3344.0,3441.9,3550.0,3409.7,3396.9,3476.2,3402.5,3378.0,,,3395.0,,3436.0,3110.9,3392.0,3416.1,,3953.7,3418.9,3530.9,3412.0,3368.4,3436.0,,3182.9,3412.0,-97.3,-37.7,-237.6,-121.8,-10.0,-124.0,-105.0,-265.0,-108.8,-44.0,-301.2,-29.0,-36.3,-180.3,-142.1,,-116.3,-47.0,32.0,59.4,-149.8,-160.0,-62.1,46.0,-94.3,-107.1,-27.8,-101.5,-126.0,,,-109.0,,-68.0,-393.1,-112.0,-87.9,,449.7,-85.1,26.9,-92.0,-135.6,-68.0,,-321.1,-92.0,True,False,False,True,False,False,False,False,True,False,True,True,False,False,,False,True,True,True,False,False,True,True,True,False,True,False,False,,,False,,True,False,False,True,,False,True,True,True,False,True,,False,True
Oregon,1957,2164.0,2447.1,1937.5,2158.9,2153.0,2191.0,2080.0,1903.0,2019.6,1988.0,1836.3,2010.0,2075.2,2078.1,2038.0,,1876.6,2136.0,2052.0,2146.3,2031.7,2090.0,2079.6,2101.0,,2024.6,2059.3,2195.0,2193.0,,,2173.2,,2036.0,2015.9,2136.0,2210.2,,2167.2,2046.0,2097.6,2044.0,2116.4,2172.0,,1940.4,2188.0,207.0,490.1,-19.5,201.9,196.0,234.0,123.0,-54.0,62.6,31.0,-120.7,53.0,118.2,121.1,81.0,,-80.4,179.0,95.0,189.3,74.7,133.0,122.6,144.0,,67.6,102.3,238.0,236.0,,,216.2,,79.0,58.9,179.0,253.2,,210.2,89.0,140.6,87.0,159.4,215.0,,-16.6,231.0,False,True,True,True,False,True,True,True,True,True,True,True,True,True,,True,True,True,True,True,True,True,True,,True,True,False,False,,,False,,True,True,True,False,,False,True,True,True,True,False,,True,False
Pennsylvania,21562,22111.3,22423.9,21156.9,22363.0,22097.0,22177.1,21841.0,21033.0,21303.3,21489.0,20562.8,22006.0,22748.0,21713.2,21404.7,,21610.4,22355.0,21900.0,20953.7,21496.0,22256.0,22078.6,21945.0,22546.7,22226.3,22128.7,21908.7,20900.5,,22922.9,21935.2,,21757.0,21186.3,21435.0,21874.4,,22244.6,22258.3,21348.0,21418.0,22289.3,22290.0,,20259.7,21807.0,549.3,861.9,-405.1,801.0,535.0,615.1,279.0,-529.0,-258.7,-73.0,-999.2,444.0,1186.0,151.2,-157.3,,48.4,793.0,338.0,-608.3,-66.0,694.0,516.6,383.0,984.7,664.3,566.7,346.7,-661.5,,1360.9,373.2,,195.0,-375.7,-127.0,312.4,,682.6,696.3,-214.0,-144.0,727.3,728.0,,-1302.3,245.0,False,True,False,True,False,True,True,True,True,False,True,False,True,True,,True,False,True,False,True,False,True,True,False,False,False,True,False,,False,True,,True,True,True,True,,False,False,True,True,False,False,,False,True
Rhode Island,2154,2170.3,2266.5,2177.7,2178.8,2197.0,2183.0,2192.0,2211.0,2105.0,2225.0,2183.6,2217.0,2617.3,2215.2,2245.8,,2344.3,2273.0,2211.0,2086.7,2182.3,2261.0,2164.5,2226.0,2041.2,2235.0,2249.6,2172.0,2133.5,,,2111.9,,2158.0,2111.6,2058.0,2116.3,,2382.7,2252.9,2168.4,2178.0,2167.8,2223.0,,1985.4,2192.0,16.3,112.5,23.7,24.8,43.0,29.0,38.0,57.0,-49.0,71.0,29.6,63.0,463.3,61.2,91.8,,190.3,119.0,57.0,-67.3,28.3,107.0,10.5,72.0,-112.8,81.0,95.6,18.0,-20.5,,,-42.1,,4.0,-42.4,-96.0,-37.7,,228.7,98.9,14.4,24.0,13.8,69.0,,-168.6,38.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,False,False,False,True,False,False,False,False,False,False,,,False,,True,False,False,False,,False,False,True,False,True,False,,False,False
South Carolina,7014,7028.1,7013.9,6713.9,6800.2,6909.0,6807.9,6945.0,6894.0,6731.4,7013.0,6662.9,7427.0,7050.2,6849.5,6931.8,,7173.9,6779.0,6889.0,6927.2,7042.8,6959.0,7165.8,6995.0,6849.9,6868.5,7105.6,7037.1,6706.0,,7417.2,7183.8,,6987.0,7868.3,7223.0,7012.8,,7421.6,6893.0,6877.6,7206.0,6619.9,7076.0,,6502.9,7025.0,14.1,-0.1,-300.1,-213.8,-105.0,-206.1,-69.0,-120.0,-282.6,-1.0,-351.1,413.0,36.2,-164.5,-82.2,,159.9,-235.0,-125.0,-86.8,28.8,-55.0,151.8,-19.0,-164.1,-145.5,91.6,23.1,-308.0,,403.2,169.8,,-27.0,854.3,209.0,-1.2,,407.6,-121.0,-136.4,192.0,-394.1,62.0,,-511.1,11.0,True,False,False,False,False,False,False,False,True,False,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,,False,False,False,True,,False,False,False,False,False,False,,False,True
South Dakota,1775,1787.9,1785.1,1677.3,1766.5,1777.0,1759.0,1753.0,1677.0,1722.7,1733.0,1661.3,1813.0,1824.2,1709.4,1751.0,,1749.6,1754.0,1758.0,1721.6,1727.7,1732.0,1752.0,1763.0,,1756.5,1760.7,1751.6,1726.0,,,1792.6,,1742.0,1358.3,1790.0,1753.6,,1734.9,1779.3,1735.1,1765.0,1809.0,1770.0,,1752.6,1729.0,12.9,10.1,-97.7,-8.5,2.0,-16.0,-22.0,-98.0,-52.3,-42.0,-113.7,38.0,49.2,-65.6,-24.0,,-25.4,-21.0,-17.0,-53.4,-47.3,-43.0,-23.0,-12.0,,-18.5,-14.3,-23.4,-49.0,,,17.6,,-33.0,-416.7,15.0,-21.4,,-40.1,4.3,-39.9,-10.0,34.0,-5.0,,-22.4,-46.0,True,False,True,True,False,False,False,False,False,False,False,False,False,False,,False,False,False,False,False,False,False,True,,False,False,False,False,,,False,,False,False,False,False,,False,True,False,True,False,True,,False,False
Tennessee,9574,9516.4,9608.7,9467.8,9671.4,9784.0,9657.0,9483.0,9100.0,9358.4,9423.0,8968.4,9483.0,9753.1,9377.0,9511.4,,9867.3,9833.0,10021.0,9264.2,9481.5,9416.0,9471.6,9639.0,9811.7,9626.4,9774.2,9337.9,9540.0,,9969.6,9410.6,,9583.0,9415.9,9365.0,9370.7,,10516.3,9645.6,9405.9,9348.0,9710.4,9377.0,,8777.0,9539.0,-57.6,34.7,-106.2,97.4,210.0,83.0,-91.0,-474.0,-215.6,-151.0,-605.6,-91.0,179.1,-197.0,-62.6,,293.3,259.0,447.0,-309.8,-92.5,-158.0,-102.4,65.0,237.7,52.4,200.2,-236.1,-34.0,,395.6,-163.4,,9.0,-158.1,-209.0,-203.3,,942.3,71.6,-168.1,-226.0,136.4,-197.0,,-797.0,-35.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,False,False,False,False,False,False,True,False,False,True,,False,False,,True,False,False,False,,False,False,False,False,False,False,,False,True
