,actual_deaths,Baseline,AIpert-pwllnod,BPagano-RtDriven,CEID-Walk,CMU-TimeSeries,COVIDhub-baseline,COVIDhub-ensemble,CU-select,Caltech-CS156,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,GT-DeepCOVID,Google_Harvard-CPF,IBF-TimeSeries,IowaStateLW-STEM,JHUAPL-Bucky,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MITCovAlliance-SIR,MIT_CritData-GBCF,MOBS-GLEAM_COVID,Microsoft-DeepSTIA,OliverWyman-Navigator,PSI-DRAFT,QJHong-Encounter,RPI_UW-Mob_Collision,RobertWalraven-ESG,SteveMcConnell-CovidComplete,TTU-squider,UA-EpiCovDA,UCLA-SuEIR,UCM_MESALab-FoGSEIR,UCSB-ACTS,UCSD_NEU-DeepGLEAM,UMass-MechBayes,UMich-RidgeTfReg,USC-SI_kJalpha,Wadhwani_AI-BayesOpt,WalmartLabsML-LogForecasting,epiforecasts-ensemble1,error-Baseline,error-AIpert-pwllnod,error-BPagano-RtDriven,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-baseline,error-COVIDhub-ensemble,error-CU-select,error-Caltech-CS156,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-GT-DeepCOVID,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JHUAPL-Bucky,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MITCovAlliance-SIR,error-MIT_CritData-GBCF,error-MOBS-GLEAM_COVID,error-Microsoft-DeepSTIA,error-OliverWyman-Navigator,error-PSI-DRAFT,error-QJHong-Encounter,error-RPI_UW-Mob_Collision,error-RobertWalraven-ESG,error-SteveMcConnell-CovidComplete,error-TTU-squider,error-UA-EpiCovDA,error-UCLA-SuEIR,error-UCM_MESALab-FoGSEIR,error-UCSB-ACTS,error-UCSD_NEU-DeepGLEAM,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,error-Wadhwani_AI-BayesOpt,error-WalmartLabsML-LogForecasting,error-epiforecasts-ensemble1,beat_baseline-AIpert-pwllnod,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-baseline,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Caltech-CS156,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-GT-DeepCOVID,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MITCovAlliance-SIR,beat_baseline-MIT_CritData-GBCF,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-Microsoft-DeepSTIA,beat_baseline-OliverWyman-Navigator,beat_baseline-PSI-DRAFT,beat_baseline-QJHong-Encounter,beat_baseline-RPI_UW-Mob_Collision,beat_baseline-RobertWalraven-ESG,beat_baseline-SteveMcConnell-CovidComplete,beat_baseline-TTU-squider,beat_baseline-UA-EpiCovDA,beat_baseline-UCLA-SuEIR,beat_baseline-UCM_MESALab-FoGSEIR,beat_baseline-UCSB-ACTS,beat_baseline-UCSD_NEU-DeepGLEAM,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha,beat_baseline-Wadhwani_AI-BayesOpt,beat_baseline-WalmartLabsML-LogForecasting,beat_baseline-epiforecasts-ensemble1
Maryland,7107,7081.7,7011.5,7198.1,7051.2,7012.0,7115.1,7034.0,6632.0,7045.0,6840.0,7201.7,6538.0,6970.4,7144.5,7270.0,,7011.0,7039.3,7069.7,7164.4,7041.0,7043.8,6895.3,7157.0,7102.4,7107.7,7391.8,6780.5,,6746.7,6988.9,7077.0,7024.4,6938.0,6907.8,,6848.3,7138.1,6956.0,7506.6,7023.0,7707.6,6359.4,7097.9,-25.3,-95.5,91.1,-55.8,-95.0,8.1,-73.0,-475.0,-62.0,-267.0,94.7,-569.0,-136.6,37.5,163.0,,-96.0,-67.7,-37.3,57.4,-66.0,-63.2,-211.7,50.0,-4.6,0.7,284.8,-326.5,,-360.3,-118.1,-30.0,-82.6,-169.0,-199.2,,-258.7,31.1,-151.0,399.6,-84.0,600.6,-747.6,-9.1,False,False,False,False,True,False,False,False,False,False,False,False,False,False,,False,False,False,False,False,False,False,False,True,True,False,False,,False,False,False,False,False,False,,False,False,False,False,False,False,False,True
Massachusetts,14531,14538.6,14850.3,14403.7,14539.1,14582.0,14469.5,14440.0,14089.0,14230.7,13608.0,14143.0,14179.0,13856.2,14347.6,14665.6,,14424.0,14114.5,14600.7,15294.7,15092.0,14202.6,14383.4,14117.0,14760.8,14703.5,14522.9,14527.0,,13526.8,14192.9,14485.0,16190.5,14526.0,14275.8,,13980.1,14784.9,14435.0,14300.4,14533.0,14429.1,13066.4,14782.6,7.6,319.3,-127.3,8.1,51.0,-61.5,-91.0,-442.0,-300.3,-923.0,-388.0,-352.0,-674.8,-183.4,134.6,,-107.0,-416.5,69.7,763.7,561.0,-328.4,-147.6,-414.0,229.8,172.5,-8.1,-4.0,,-1004.2,-338.1,-46.0,1659.5,-5.0,-255.2,,-550.9,253.9,-96.0,-230.6,2.0,-101.9,-1464.6,251.6,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,True,,False,False,False,False,True,False,,False,False,False,False,True,False,False,False
Michigan,15525,15682.0,15936.0,16116.6,15730.1,15246.0,15769.5,14963.0,14566.0,14895.1,14393.0,14963.4,14827.0,15179.2,14755.0,15109.5,,15691.0,14482.2,15194.4,15045.7,15711.0,14806.6,15283.1,15144.0,15651.0,14961.0,15559.7,14925.5,,14549.6,14624.4,15067.0,13893.9,14422.0,14124.0,,14782.5,15810.9,14884.0,16417.2,14766.0,15919.5,14100.6,15917.0,157.0,411.0,591.6,205.1,-279.0,244.5,-562.0,-959.0,-629.9,-1132.0,-561.6,-698.0,-345.8,-770.0,-415.5,,166.0,-1042.8,-330.6,-479.3,186.0,-718.4,-241.9,-381.0,126.0,-564.0,34.7,-599.5,,-975.4,-900.6,-458.0,-1631.1,-1103.0,-1401.0,,-742.5,285.9,-641.0,892.2,-759.0,394.5,-1424.4,392.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,False,False,False,False,False,True,False,True,False,,False,False,False,False,False,False,,False,False,False,False,False,False,False,False
Minnesota,6255,6580.6,6726.1,6946.1,6472.0,6287.0,6516.5,6339.0,5878.0,6196.4,5945.0,6420.6,6575.0,6208.9,6358.2,6208.3,,6687.0,5865.0,6305.0,6256.0,6367.0,6079.6,6181.8,6482.0,6514.2,6455.3,6321.4,6326.5,,6365.1,5995.5,6038.0,5169.0,6054.0,6463.4,,6211.4,6533.7,6099.0,6640.3,6082.0,6548.9,6097.5,6715.1,325.6,471.1,691.1,217.0,32.0,261.5,84.0,-377.0,-58.6,-310.0,165.6,320.0,-46.1,103.2,-46.7,,432.0,-390.0,50.0,1.0,112.0,-175.4,-73.2,227.0,259.2,200.3,66.4,71.5,,110.1,-259.5,-217.0,-1086.0,-201.0,208.4,,-43.6,278.7,-156.0,385.3,-173.0,293.9,-157.5,460.1,False,False,True,True,True,True,False,True,True,True,True,True,True,True,,False,False,True,True,True,True,True,True,True,True,True,True,,True,True,True,False,True,True,,True,True,True,False,True,True,True,False
Mississippi,6018,5893.1,6298.7,5779.0,5877.1,5766.0,5940.5,5798.0,5488.0,5906.6,5372.0,5824.9,5866.0,5830.3,5855.7,5893.5,,5750.0,5694.4,5583.6,5861.1,5768.0,5725.2,5363.7,5548.0,5941.7,5835.9,6013.8,5443.0,,5467.5,5690.6,5931.0,6186.7,5743.0,5987.3,,5427.6,6003.7,5826.0,5585.7,5816.0,5756.0,5238.0,5964.9,-124.9,280.7,-239.0,-140.9,-252.0,-77.5,-220.0,-530.0,-111.4,-646.0,-193.1,-152.0,-187.7,-162.3,-124.5,,-268.0,-323.6,-434.4,-156.9,-250.0,-292.8,-654.3,-470.0,-76.3,-182.1,-4.2,-575.0,,-550.5,-327.4,-87.0,168.7,-275.0,-30.7,,-590.4,-14.3,-192.0,-432.3,-202.0,-262.0,-780.0,-53.1,False,False,False,False,True,False,False,True,False,False,False,False,False,True,,False,False,False,False,False,False,False,False,True,False,True,False,,False,False,True,False,False,True,,False,True,False,False,False,False,False,True
Missouri,7040,6758.1,6886.7,7544.2,6777.9,6619.0,6704.8,6874.0,6597.0,6723.2,6923.0,7301.5,7089.0,6692.2,6816.3,7422.3,,7382.0,6281.9,6823.6,7096.8,6661.0,6823.2,6317.5,6966.0,7119.7,6905.1,7541.1,7797.5,,6743.9,6113.8,6821.0,6823.0,6715.0,6247.7,,6927.9,7122.9,6742.0,7318.1,6542.0,,6043.5,5650.5,-277.9,-149.3,508.2,-258.1,-417.0,-331.2,-162.0,-439.0,-312.8,-113.0,265.5,53.0,-343.8,-219.7,386.3,,346.0,-754.1,-212.4,60.8,-375.0,-212.8,-718.5,-70.0,83.7,-130.9,505.1,761.5,,-292.1,-922.2,-215.0,-213.0,-321.0,-788.3,,-108.1,86.9,-294.0,282.1,-494.0,,-992.5,-1385.5,True,False,True,False,False,True,False,False,True,True,True,False,True,False,,False,False,True,True,False,True,False,True,True,True,False,False,,False,False,True,True,False,False,,True,True,False,False,False,,False,False
Montana,1232,1157.1,1128.2,1247.0,1187.7,1181.0,1179.0,1124.0,978.0,1117.4,1064.0,1069.3,1037.0,1100.1,1178.4,1099.6,,1225.0,1083.2,1228.8,1083.8,1060.0,1072.6,1170.1,1305.0,1163.0,1155.8,1090.9,1128.0,,,1119.8,1120.0,1045.5,1076.0,1217.8,,1064.3,1214.9,1092.0,1189.8,1080.0,1187.3,1086.5,1152.9,-74.9,-103.8,15.0,-44.3,-51.0,-53.0,-108.0,-254.0,-114.6,-168.0,-162.7,-195.0,-131.9,-53.6,-132.4,,-7.0,-148.8,-3.2,-148.2,-172.0,-159.4,-61.9,73.0,-69.0,-76.2,-141.1,-104.0,,,-112.2,-112.0,-186.5,-156.0,-14.2,,-167.7,-17.1,-140.0,-42.2,-152.0,-44.7,-145.5,-79.1,False,True,True,True,True,False,False,False,False,False,False,False,True,False,,True,False,True,False,False,False,True,True,True,False,False,False,,,False,False,False,False,True,,False,True,False,True,False,True,False,False
Nebraska,1920,2107.9,2220.5,2126.2,2094.1,2033.0,2109.0,2016.0,1951.0,1952.4,1844.0,2026.7,2054.0,2074.1,2056.0,2000.0,,2016.5,1878.3,2111.0,1893.0,1811.0,1972.4,1963.5,2267.0,2055.7,1983.7,1963.2,1961.0,,,1990.5,1952.0,1731.7,1967.0,2040.7,,2009.8,2098.7,1929.0,2193.4,1944.0,2119.4,1909.0,2108.3,187.9,300.5,206.2,174.1,113.0,189.0,96.0,31.0,32.4,-76.0,106.7,134.0,154.1,136.0,80.0,,96.5,-41.7,191.0,-27.0,-109.0,52.4,43.5,347.0,135.7,63.7,43.2,41.0,,,70.5,32.0,-188.3,47.0,120.7,,89.8,178.7,9.0,273.4,24.0,199.4,-11.0,188.3,False,False,True,True,False,True,True,True,True,True,True,True,True,True,,True,True,False,True,True,True,True,False,True,True,True,True,,,True,True,False,True,True,,True,True,True,False,True,False,True,False
Nevada,4264,4067.1,3817.4,4058.4,3952.7,3901.0,3971.9,3910.0,3706.0,3859.3,3651.0,4044.5,3720.0,4143.8,3858.7,3953.8,,3971.0,3546.0,3870.0,3939.0,3756.0,3825.4,3963.7,3855.0,4006.5,3986.0,4230.2,3847.0,,3784.3,3658.1,3892.0,4119.6,3827.0,3930.0,,3909.6,4037.7,3880.0,3896.7,3765.0,,3499.6,4069.1,-196.9,-446.6,-205.6,-311.3,-363.0,-292.1,-354.0,-558.0,-404.7,-613.0,-219.5,-544.0,-120.2,-405.3,-310.2,,-293.0,-718.0,-394.0,-325.0,-508.0,-438.6,-300.3,-409.0,-257.5,-278.0,-33.8,-417.0,,-479.7,-605.9,-372.0,-144.4,-437.0,-334.0,,-354.4,-226.3,-384.0,-367.3,-499.0,,-764.4,-194.9,False,False,False,False,False,False,False,False,False,False,False,True,False,False,,False,False,False,False,False,False,False,False,False,False,True,False,,False,False,False,True,False,False,,False,False,False,False,False,,False,True
New Hampshire,1042,1057.7,1441.2,1031.3,1042.4,1007.0,1041.0,1026.0,820.0,1055.7,965.0,1052.6,938.0,962.3,1015.4,1098.2,,1087.0,959.8,1181.4,989.1,982.0,983.7,911.3,1021.0,1074.4,1125.6,1054.2,1285.0,,,1006.7,1031.0,1192.5,1022.0,971.7,,1035.9,1128.8,996.0,997.0,1022.0,1104.2,830.8,1116.2,15.7,399.2,-10.7,0.4,-35.0,-1.0,-16.0,-222.0,13.7,-77.0,10.6,-104.0,-79.7,-26.6,56.2,,45.0,-82.2,139.4,-52.9,-60.0,-58.3,-130.7,-21.0,32.4,83.6,12.2,243.0,,,-35.3,-11.0,150.5,-20.0,-70.3,,-6.1,86.8,-46.0,-45.0,-20.0,62.2,-211.2,74.2,False,True,True,False,True,False,False,True,False,True,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,True,False,,,False,True,False,False,False,,True,False,False,False,False,False,False,False
New Jersey,21455,21437.4,21517.3,21172.1,21419.5,21452.0,21483.4,21093.0,20465.0,20948.8,20784.0,20950.7,19996.0,20936.6,21321.3,21387.4,,21002.0,20196.7,21154.8,21086.6,21193.0,21379.8,22295.6,20974.0,21405.0,21190.7,21825.3,20960.0,,20100.1,21485.3,21369.0,19949.9,20901.0,21568.6,,20919.0,21458.2,20831.0,20211.8,21071.0,21057.1,19647.5,21385.3,-17.6,62.3,-282.9,-35.5,-3.0,28.4,-362.0,-990.0,-506.2,-671.0,-504.3,-1459.0,-518.4,-133.7,-67.6,,-453.0,-1258.3,-300.2,-368.4,-262.0,-75.2,840.6,-481.0,-50.0,-264.3,370.3,-495.0,,-1354.9,30.3,-86.0,-1505.1,-554.0,113.6,,-536.0,3.2,-624.0,-1243.2,-384.0,-397.9,-1807.5,-69.7,False,False,False,True,False,False,False,False,False,False,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,False,False,False,,False,True,False,False,False,False,False,False
New Mexico,3265,3341.7,3112.4,3303.2,3406.5,3237.0,3405.9,3174.0,2894.0,3137.7,3026.0,3068.2,2926.0,3100.5,3121.7,3205.5,,3174.0,3014.7,2937.8,3306.5,3057.0,3124.0,3343.7,3090.0,3276.1,3210.1,3116.6,3278.0,,,3268.2,3182.0,3169.3,3094.0,3218.0,,2828.3,3328.4,3136.0,3386.3,3083.0,3254.2,2909.7,3217.3,76.7,-152.6,38.2,141.5,-28.0,140.9,-91.0,-371.0,-127.3,-239.0,-196.8,-339.0,-164.5,-143.3,-59.5,,-91.0,-250.3,-327.2,41.5,-208.0,-141.0,78.7,-175.0,11.1,-54.9,-148.4,13.0,,,3.2,-83.0,-95.7,-171.0,-47.0,,-436.7,63.4,-129.0,121.3,-182.0,-10.8,-355.3,-47.7,False,True,False,True,False,False,False,False,False,False,False,False,False,True,,False,False,False,True,False,False,False,False,True,True,False,True,,,True,False,False,False,True,,False,True,False,False,False,True,False,True
New York,43453,42287.6,42400.8,42506.8,42330.7,42733.0,42225.7,42485.0,41165.0,42474.4,42728.0,43014.5,41281.0,41678.0,42358.6,44669.5,,41826.0,41362.3,44340.3,43673.9,43861.0,43137.0,41773.9,42145.0,42723.8,42719.0,43257.5,39763.0,,40376.7,42101.7,44271.0,41962.7,42818.0,42473.7,,44627.4,42776.8,42472.0,43157.7,42756.0,43233.0,38730.1,43517.5,-1165.4,-1052.2,-946.2,-1122.3,-720.0,-1227.3,-968.0,-2288.0,-978.6,-725.0,-438.5,-2172.0,-1775.0,-1094.4,1216.5,,-1627.0,-2090.7,887.3,220.9,408.0,-316.0,-1679.1,-1308.0,-729.2,-734.0,-195.5,-3690.0,,-3076.3,-1351.3,818.0,-1490.3,-635.0,-979.3,,1174.4,-676.2,-981.0,-295.3,-697.0,-220.0,-4722.9,64.5,True,True,True,True,False,True,False,True,True,True,False,False,True,False,,False,False,True,True,True,True,False,False,True,True,True,False,,False,False,True,False,True,True,,False,True,True,True,True,True,False,True
North Carolina,9287,8302.4,8281.8,8614.5,8358.7,8596.0,8356.2,8391.0,7392.0,8615.7,7824.0,8411.5,8945.0,7861.9,8396.3,8859.3,,8559.0,8612.4,9458.7,9073.6,8133.0,8423.4,8233.9,8583.0,8448.8,8374.9,8859.2,9254.0,,7796.2,7843.6,8665.0,9141.8,8402.0,8140.8,,8335.4,8530.0,8834.0,8021.1,8234.0,8414.5,7562.8,8587.7,-984.6,-1005.2,-672.5,-928.3,-691.0,-930.8,-896.0,-1895.0,-671.3,-1463.0,-875.5,-342.0,-1425.1,-890.7,-427.7,,-728.0,-674.6,171.7,-213.4,-1154.0,-863.6,-1053.1,-704.0,-838.2,-912.1,-427.8,-33.0,,-1490.8,-1443.4,-622.0,-145.2,-885.0,-1146.2,,-951.6,-757.0,-453.0,-1265.9,-1053.0,-872.5,-1724.2,-699.3,False,True,True,True,True,True,False,True,False,True,True,False,True,True,,True,True,True,True,False,True,False,True,True,True,True,True,,False,False,True,True,True,False,,True,True,True,False,False,True,False,True
North Dakota,1447,1479.7,1426.5,1542.2,1439.7,1467.0,1494.0,1426.0,1319.0,1413.8,1395.0,1478.8,1385.0,1420.6,1534.2,1394.2,,1493.0,1403.6,1471.3,1392.4,1377.0,1388.4,1449.8,1594.0,1420.5,1470.9,1445.6,1411.0,,,1350.7,1419.0,1226.9,1412.0,1430.1,,1318.5,1471.7,1405.0,1697.5,1386.0,1424.7,1453.6,1533.5,39.7,-13.5,102.2,-0.3,27.0,54.0,-14.0,-121.0,-26.2,-45.0,38.8,-55.0,-19.4,94.2,-45.8,,53.0,-36.4,31.3,-47.6,-63.0,-51.6,9.8,154.0,-19.5,30.9,5.6,-29.0,,,-89.3,-21.0,-213.1,-28.0,-9.9,,-121.5,31.7,-35.0,257.5,-54.0,-15.3,13.6,93.5,True,False,True,True,False,True,False,True,False,True,False,True,False,False,,False,True,True,False,False,False,True,False,True,True,True,True,,,False,True,False,True,True,,False,True,True,False,False,True,True,False
Ohio,11121,11263.0,11921.7,11251.0,11090.8,11332.0,11181.6,10896.0,9410.0,10901.2,10112.0,10909.3,11311.0,11070.1,10739.2,10754.8,,11657.0,10291.4,12187.8,10666.5,11195.0,11051.8,10386.1,11242.0,11457.3,11263.7,10745.6,10767.0,,10234.6,10168.2,10792.0,12531.6,10306.0,11388.6,,11176.4,11447.9,11008.0,11121.6,10603.0,10894.0,9891.3,11140.3,142.0,800.7,130.0,-30.2,211.0,60.6,-225.0,-1711.0,-219.8,-1009.0,-211.7,190.0,-50.9,-381.8,-366.2,,536.0,-829.6,1066.8,-454.5,74.0,-69.2,-734.9,121.0,336.3,142.7,-375.4,-354.0,,-886.4,-952.8,-329.0,1410.6,-815.0,267.6,,55.4,326.9,-113.0,0.6,-518.0,-227.0,-1229.7,19.3,False,True,True,False,True,False,False,False,False,False,False,True,False,False,,False,False,False,False,True,True,False,True,False,False,False,False,,False,False,False,False,False,False,,True,False,True,True,False,False,False,True
Oklahoma,3504,3229.7,3206.5,3311.7,3207.5,3225.0,3207.1,3228.0,2632.0,3326.8,3116.0,3179.4,3231.0,3026.4,3208.6,3296.9,,3342.0,3188.0,3581.1,3303.0,3266.0,3235.0,2934.8,3374.0,3267.4,3281.2,3184.8,3324.0,,,3107.1,3224.0,2956.8,3305.0,3267.4,,3377.4,3308.0,3300.0,3076.1,3176.0,3159.4,2850.4,3358.5,-274.3,-297.5,-192.3,-296.5,-279.0,-296.9,-276.0,-872.0,-177.2,-388.0,-324.6,-273.0,-477.6,-295.4,-207.1,,-162.0,-316.0,77.1,-201.0,-238.0,-269.0,-569.2,-130.0,-236.6,-222.8,-319.2,-180.0,,,-396.9,-280.0,-547.2,-199.0,-236.6,,-126.6,-196.0,-204.0,-427.9,-328.0,-344.6,-653.6,-145.5,False,True,False,False,False,False,False,True,False,False,True,False,False,True,,True,False,True,True,True,True,False,True,True,True,False,True,,,False,False,False,True,True,,True,True,True,False,False,False,False,True
Oregon,1957,1781.6,1593.5,2056.1,1736.1,1831.0,1772.0,1846.0,1734.0,1922.4,1739.0,2061.8,1971.0,1840.5,1879.7,1823.1,,1877.0,1982.3,2244.6,1824.2,1711.0,1713.8,1890.1,2024.0,1783.4,1846.5,2064.7,1816.0,,,1676.2,1916.0,2106.0,1810.0,1797.4,,1889.6,1829.0,1846.0,1856.6,1718.0,2022.5,1701.3,2011.3,-175.4,-363.5,99.1,-220.9,-126.0,-185.0,-111.0,-223.0,-34.6,-218.0,104.8,14.0,-116.5,-77.3,-133.9,,-80.0,25.3,287.6,-132.8,-246.0,-243.2,-66.9,67.0,-173.6,-110.5,107.7,-141.0,,,-280.8,-41.0,149.0,-147.0,-159.6,,-67.4,-128.0,-111.0,-100.4,-239.0,65.5,-255.7,54.3,False,True,False,True,False,True,False,True,False,True,True,True,True,True,,True,True,False,True,False,False,True,True,True,True,True,True,,,False,True,True,True,True,,True,True,True,True,False,True,False,True
Pennsylvania,21562,21093.9,22294.4,21056.2,21390.6,20763.0,21463.6,20714.0,20590.0,20373.6,19227.0,22025.0,22028.0,20265.2,20883.5,20842.5,,21816.0,18318.2,20109.5,20411.2,20622.0,20363.4,19911.7,20411.0,22010.3,20798.0,21155.7,19576.5,,19446.5,19176.7,20148.0,21861.9,19365.0,21195.2,,21074.6,21995.8,19740.0,21909.9,20098.0,21066.5,17553.1,20139.0,-468.1,732.4,-505.8,-171.4,-799.0,-98.4,-848.0,-972.0,-1188.4,-2335.0,463.0,466.0,-1296.8,-678.5,-719.5,,254.0,-3243.8,-1452.5,-1150.8,-940.0,-1198.6,-1650.3,-1151.0,448.3,-764.0,-406.3,-1985.5,,-2115.5,-2385.3,-1414.0,299.9,-2197.0,-366.8,,-487.4,433.8,-1822.0,347.9,-1464.0,-495.5,-4008.9,-1423.0,False,False,True,False,True,False,False,False,False,True,True,False,False,False,,True,False,False,False,False,False,False,False,True,False,True,False,,False,False,False,True,False,True,,False,True,False,True,False,False,False,False
Rhode Island,2154,2058.6,2281.5,2186.4,2072.5,2107.0,2068.9,2072.0,1898.0,1977.4,1897.0,2140.2,2035.0,2251.9,2082.2,2164.2,,2207.0,1993.6,1999.1,2065.3,1955.0,1979.3,2092.4,2147.0,2189.3,2101.3,2041.0,2307.5,,,2040.1,1928.0,2123.0,1824.0,1887.6,,2112.5,2227.9,2007.0,2080.8,1905.0,2134.4,1817.4,2139.0,-95.4,127.5,32.4,-81.5,-47.0,-85.1,-82.0,-256.0,-176.6,-257.0,-13.8,-119.0,97.9,-71.8,10.2,,53.0,-160.4,-154.9,-88.7,-199.0,-174.7,-61.6,-7.0,35.3,-52.7,-113.0,153.5,,,-113.9,-226.0,-31.0,-330.0,-266.4,,-41.5,73.9,-147.0,-73.2,-249.0,-19.6,-336.6,-15.0,False,True,True,True,True,True,False,False,False,True,False,False,True,True,,True,False,False,True,False,False,True,True,True,True,False,False,,,False,False,True,False,False,,True,True,False,True,False,True,False,True
South Carolina,7014,6680.1,6829.7,6440.0,6441.1,6496.0,6429.1,6438.0,6016.0,6561.5,6390.0,6502.6,6382.0,6371.2,,6708.3,,6334.0,6546.2,6741.4,7099.0,7380.5,6454.5,6041.8,6230.0,6542.9,6655.4,6719.4,6181.0,,6361.9,6925.4,6727.0,7964.3,6867.0,6379.2,,6208.4,6603.3,7174.0,5923.8,6368.0,6709.6,5862.2,7323.5,-333.9,-184.3,-574.0,-572.9,-518.0,-584.9,-576.0,-998.0,-452.5,-624.0,-511.4,-632.0,-642.8,,-305.7,,-680.0,-467.8,-272.6,85.0,366.5,-559.5,-972.2,-784.0,-471.1,-358.6,-294.6,-833.0,,-652.1,-88.6,-287.0,950.3,-147.0,-634.8,,-805.6,-410.7,160.0,-1090.2,-646.0,-304.4,-1151.8,309.5,True,False,False,False,False,False,False,False,False,False,False,False,,True,,False,False,True,True,False,False,False,False,False,False,True,False,,False,True,True,False,True,False,,False,False,True,False,False,True,False,True
South Dakota,1775,1771.4,1717.0,1883.9,1701.6,1686.0,1721.0,1721.0,1550.0,1681.4,1658.0,1753.6,1883.0,1710.0,1646.8,1725.2,,1808.0,1738.2,1691.9,1724.4,1607.0,1636.1,1805.0,1874.0,1662.0,1749.1,1692.1,1745.0,,,1611.1,1721.0,1388.9,1821.0,1582.6,,1722.8,1706.9,1775.0,1891.5,1664.0,1727.1,1702.6,1955.9,-3.6,-58.0,108.9,-73.4,-89.0,-54.0,-54.0,-225.0,-93.6,-117.0,-21.4,108.0,-65.0,-128.2,-49.8,,33.0,-36.8,-83.1,-50.6,-168.0,-138.9,30.0,99.0,-113.0,-25.9,-82.9,-30.0,,,-163.9,-54.0,-386.1,46.0,-192.4,,-52.2,-68.1,0.0,116.5,-111.0,-47.9,-72.4,180.9,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,,,False,False,False,False,False,,False,False,True,False,False,False,False,False
Tennessee,9574,9003.7,9096.8,9394.7,9093.7,9047.0,9077.6,9067.0,8129.0,9179.3,7817.0,10092.7,10621.0,8605.8,9168.3,9212.7,,9296.0,8401.5,9009.5,9085.0,8548.0,8639.1,8375.6,8752.0,9163.0,9056.0,9506.6,9349.5,,8605.8,8278.1,9533.0,9544.9,8210.0,9263.7,,9034.8,9172.6,8906.0,8753.2,8472.0,9009.1,7755.4,9508.2,-570.3,-477.2,-179.3,-480.3,-527.0,-496.4,-507.0,-1445.0,-394.7,-1757.0,518.7,1047.0,-968.2,-405.7,-361.3,,-278.0,-1172.5,-564.5,-489.0,-1026.0,-934.9,-1198.4,-822.0,-411.0,-518.0,-67.4,-224.5,,-968.2,-1295.9,-41.0,-29.1,-1364.0,-310.3,,-539.2,-401.4,-668.0,-820.8,-1102.0,-564.9,-1818.6,-65.8,True,True,True,True,True,True,False,True,False,True,False,False,True,True,,True,False,True,True,False,False,False,False,True,True,True,True,,False,False,True,True,False,True,,True,True,False,False,False,True,False,True
Texas,36924,34076.9,37013.6,34357.3,34273.5,33941.0,34026.9,33897.0,36136.0,33372.8,33899.0,33444.1,32356.0,33414.2,35579.0,34662.8,,34299.0,35091.6,35200.3,34822.7,34331.0,33765.5,32342.5,32830.0,35169.7,33744.6,35444.3,33056.0,,33003.4,33025.7,35375.0,34564.8,33308.0,33450.2,,33788.9,35245.7,34110.0,32449.7,33496.0,33323.9,30900.2,33261.1,-2781.1,155.6,-2500.7,-2584.5,-2917.0,-2831.1,-2961.0,-722.0,-3485.2,-2959.0,-3413.9,-4502.0,-3443.8,-1279.0,-2195.2,,-2559.0,-1766.4,-1657.7,-2035.3,-2527.0,-3092.5,-4515.5,-4028.0,-1688.3,-3113.4,-1413.7,-3802.0,,-3854.6,-3832.3,-1483.0,-2293.2,-3550.0,-3407.8,,-3069.1,-1612.3,-2748.0,-4408.3,-3362.0,-3534.1,-5957.8,-3596.9,True,True,True,False,False,False,True,False,False,False,False,False,True,True,,True,True,True,True,True,False,False,False,True,False,True,False,,False,False,True,True,False,False,,False,True,True,False,False,False,False,False
