,actual_deaths,Baseline,AIpert-pwllnod,BPagano-RtDriven,CEID-Walk,CMU-TimeSeries,COVIDhub-baseline,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,FDANIHASU-Sweight,GT-DeepCOVID,Geneva-DetGrowth,Google_Harvard-CPF,IBF-TimeSeries,IHME-CurveFit,IowaStateLW-STEM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MIT_CritData-GBCF,MIT_ISOLAT-Mixtures,MOBS-GLEAM_COVID,Microsoft-DeepSTIA,OliverWyman-Navigator,PSI-DRAFT,QJHong-Encounter,RPI_UW-Mob_Collision,RobertWalraven-ESG,SigSci-TS,SteveMcConnell-CovidComplete,TTU-squider,UA-EpiCovDA,UCLA-SuEIR,UCM_MESALab-FoGSEIR,UCSB-ACTS,UCSD_NEU-DeepGLEAM,UChicagoCHATTOPADHYAY-UnIT,UMass-MechBayes,UMich-RidgeTfReg,USC-SI_kJalpha,UT-Mobility,UpstateSU-GRU,WalmartLabsML-LogForecasting,epiforecasts-ensemble1,error-Baseline,error-AIpert-pwllnod,error-BPagano-RtDriven,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-baseline,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-FDANIHASU-Sweight,error-GT-DeepCOVID,error-Geneva-DetGrowth,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IHME-CurveFit,error-IowaStateLW-STEM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MIT_CritData-GBCF,error-MIT_ISOLAT-Mixtures,error-MOBS-GLEAM_COVID,error-Microsoft-DeepSTIA,error-OliverWyman-Navigator,error-PSI-DRAFT,error-QJHong-Encounter,error-RPI_UW-Mob_Collision,error-RobertWalraven-ESG,error-SigSci-TS,error-SteveMcConnell-CovidComplete,error-TTU-squider,error-UA-EpiCovDA,error-UCLA-SuEIR,error-UCM_MESALab-FoGSEIR,error-UCSB-ACTS,error-UCSD_NEU-DeepGLEAM,error-UChicagoCHATTOPADHYAY-UnIT,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,error-UT-Mobility,error-UpstateSU-GRU,error-WalmartLabsML-LogForecasting,error-epiforecasts-ensemble1,beat_baseline-AIpert-pwllnod,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-baseline,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-FDANIHASU-Sweight,beat_baseline-GT-DeepCOVID,beat_baseline-Geneva-DetGrowth,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MIT_CritData-GBCF,beat_baseline-MIT_ISOLAT-Mixtures,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-Microsoft-DeepSTIA,beat_baseline-OliverWyman-Navigator,beat_baseline-PSI-DRAFT,beat_baseline-QJHong-Encounter,beat_baseline-RPI_UW-Mob_Collision,beat_baseline-RobertWalraven-ESG,beat_baseline-SigSci-TS,beat_baseline-SteveMcConnell-CovidComplete,beat_baseline-TTU-squider,beat_baseline-UA-EpiCovDA,beat_baseline-UCLA-SuEIR,beat_baseline-UCM_MESALab-FoGSEIR,beat_baseline-UCSB-ACTS,beat_baseline-UCSD_NEU-DeepGLEAM,beat_baseline-UChicagoCHATTOPADHYAY-UnIT,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha,beat_baseline-UT-Mobility,beat_baseline-UpstateSU-GRU,beat_baseline-WalmartLabsML-LogForecasting,beat_baseline-epiforecasts-ensemble1
New York,43453,43466.7,43591.5,43386.3,43458.1,43471.0,43462.0,43498.0,43833.0,43705.0,42776.0,43840.0,43698.4,,43248.6,43427.5,43623.2,,43668.7,43466.0,43661.7,43461.0,43314.3,43617.5,43492.0,43512.4,43697.0,42984.3,43442.3,43506.9,43428.6,43524.5,,43284.7,43394.2,,43503.0,42329.4,43237.0,43453.8,,43564.5,43447.7,43311.3,43408.0,43555.1,43704.0,43824.0,,42389.3,43419.0,13.7,138.5,-66.7,5.1,18.0,9.0,45.0,380.0,252.0,-677.0,387.0,245.4,,-204.4,-25.5,170.2,,215.7,13.0,208.7,8.0,-138.7,164.5,39.0,59.4,244.0,-468.7,-10.7,53.9,-24.4,71.5,,-168.3,-58.8,,50.0,-1123.6,-216.0,0.8,,111.5,-5.3,-141.7,-45.0,102.1,251.0,371.0,,-1063.7,-34.0,False,False,True,False,True,False,False,False,False,False,False,,False,False,False,,False,True,False,True,False,False,False,False,False,False,True,False,False,False,,False,False,,False,False,False,True,,False,True,False,False,False,False,False,,False,False
North Carolina,9287,9219.6,9022.8,9112.1,9169.7,9128.0,9156.0,9135.0,9086.0,9162.0,8790.0,9085.0,9313.9,,9120.9,9296.1,9144.6,,9008.3,9108.0,9067.0,9138.0,9286.2,9124.8,9352.0,9281.4,9315.0,9199.4,9128.9,9259.1,9162.0,9171.0,,9147.2,9122.0,,9186.0,9608.2,9347.0,9121.4,,9090.4,9131.8,9146.2,9203.0,9130.7,9248.0,9367.0,,8942.6,9230.0,-67.4,-264.2,-174.9,-117.3,-159.0,-131.0,-152.0,-201.0,-125.0,-497.0,-202.0,26.9,,-166.1,9.1,-142.4,,-278.7,-179.0,-220.0,-149.0,-0.8,-162.2,65.0,-5.6,28.0,-87.6,-158.1,-27.9,-125.0,-116.0,,-139.8,-165.0,,-101.0,321.2,60.0,-165.6,,-196.6,-155.2,-140.8,-84.0,-156.3,-39.0,80.0,,-344.4,-57.0,False,False,False,False,False,False,False,False,False,False,True,,False,True,False,,False,False,False,False,True,False,True,True,True,False,False,True,False,False,,False,False,,False,False,True,False,,False,False,False,False,False,True,False,,False,True
North Dakota,1447,1461.7,1468.2,1457.7,1469.2,1468.0,1469.0,1464.0,1443.0,1466.0,1419.5,1456.0,1464.7,,1465.3,1475.4,1449.0,,1469.5,1471.0,1466.9,1478.0,1435.8,1455.0,1457.0,1457.1,1463.0,1455.2,1463.1,1463.5,1463.5,1470.0,,,1466.1,,1464.0,1226.9,1460.0,1446.3,,1444.1,1471.8,1458.2,1458.0,1484.5,1470.0,1455.0,,1443.2,1471.0,14.7,21.2,10.7,22.2,21.0,22.0,17.0,-4.0,19.0,-27.5,9.0,17.7,,18.3,28.4,2.0,,22.5,24.0,19.9,31.0,-11.2,8.0,10.0,10.1,16.0,8.2,16.1,16.5,16.5,23.0,,,19.1,,17.0,-220.1,13.0,-0.7,,-2.9,24.8,11.2,11.0,37.5,23.0,8.0,,-3.8,24.0,False,True,False,False,False,False,True,False,False,True,False,,False,False,True,,False,False,False,False,True,True,True,True,False,True,False,False,False,False,,,False,,False,False,True,True,,True,False,True,True,False,False,True,,True,False
Ohio,11121,11149.0,11236.0,11143.6,11221.8,11227.0,11225.0,11177.0,11061.0,11118.0,10726.1,11059.0,11565.2,,11146.3,11219.5,11116.7,,11127.7,11332.0,11168.0,11230.0,11331.6,11125.3,11101.0,11189.5,11343.0,11205.6,11222.6,11203.0,11129.6,11349.0,,11253.1,11052.0,,11177.0,12248.4,11037.0,11241.1,,11205.8,11227.1,11210.0,11100.0,11226.7,11257.0,11149.5,,11016.5,11194.0,28.0,115.0,22.6,100.8,106.0,104.0,56.0,-60.0,-3.0,-394.9,-62.0,444.2,,25.3,98.5,-4.3,,6.7,211.0,47.0,109.0,210.6,4.3,-20.0,68.5,222.0,84.6,101.6,82.0,8.6,228.0,,132.1,-69.0,,56.0,1127.4,-84.0,120.1,,84.8,106.1,89.0,-21.0,105.7,136.0,28.5,,-104.5,73.0,False,True,False,False,False,False,False,True,False,False,False,,True,False,True,,True,False,False,False,False,True,True,False,False,False,False,False,True,False,,False,False,,False,False,False,False,,False,False,False,True,False,False,False,,False,False
Oklahoma,3504,3529.3,3504.8,3442.4,3514.0,3492.0,3510.0,3488.0,3374.0,3475.0,3236.4,3450.0,3562.9,,3430.7,3535.5,3472.9,,3397.2,3464.0,3418.1,3523.0,3535.8,3423.2,3496.0,3530.0,3527.0,3480.8,3490.4,3494.6,3513.3,3453.0,,,3408.3,,3483.0,3110.9,3557.0,3524.9,,3444.2,3497.4,3522.5,3487.0,3489.9,3545.0,3589.0,,3390.6,3489.0,25.3,0.8,-61.6,10.0,-12.0,6.0,-16.0,-130.0,-29.0,-267.6,-54.0,58.9,,-73.3,31.5,-31.1,,-106.8,-40.0,-85.9,19.0,31.8,-80.8,-8.0,26.0,23.0,-23.2,-13.6,-9.4,9.3,-51.0,,,-95.7,,-21.0,-393.1,53.0,20.9,,-59.8,-6.6,18.5,-17.0,-14.1,41.0,85.0,,-113.4,-15.0,True,False,True,True,True,True,False,False,False,False,False,,False,False,False,,False,False,False,True,False,False,True,False,True,True,True,True,True,False,,,False,,True,False,False,True,,False,True,True,True,True,False,False,,False,True
Oregon,1957,1948.6,2030.8,1988.8,1946.9,1981.0,1955.0,1976.0,1952.0,1985.0,1854.3,1961.0,2032.6,,1983.2,1917.9,1990.0,,2096.4,2052.0,2004.2,1988.0,2022.9,1974.9,1986.0,1969.5,2019.0,,1962.8,1977.3,1944.1,2074.0,,,1975.3,,1984.0,2016.8,1961.0,1950.4,,1967.2,1970.5,1973.7,1961.0,1995.3,1974.0,1958.0,,1948.4,1987.0,-8.4,73.8,31.8,-10.1,24.0,-2.0,19.0,-5.0,28.0,-102.7,4.0,75.6,,26.2,-39.1,33.0,,139.4,95.0,47.2,31.0,65.9,17.9,29.0,12.5,62.0,,5.8,20.3,-12.9,117.0,,,18.3,,27.0,59.8,4.0,-6.6,,10.2,13.5,16.7,4.0,38.3,17.0,1.0,,-8.6,30.0,False,False,False,False,True,False,True,False,False,True,False,,False,False,False,,False,False,False,False,False,False,False,False,False,,True,False,False,False,,,False,,False,False,True,True,,False,False,False,True,False,False,True,,False,False
Pennsylvania,21562,21626.6,21943.8,21755.8,21782.5,21757.0,21765.0,21627.0,21596.0,21613.0,20698.3,21489.0,22359.5,,21696.7,21604.6,21500.9,,21568.7,21984.0,21393.2,21739.0,21276.8,21574.2,21702.0,21620.3,21762.0,22066.6,21745.8,21750.4,21531.0,21386.0,,21913.0,21499.9,,21522.0,21186.3,21536.0,21649.1,,22004.4,21763.4,21317.9,21469.0,21906.4,21698.0,21605.5,,21134.8,21718.0,64.6,381.8,193.8,220.5,195.0,203.0,65.0,34.0,51.0,-863.7,-73.0,797.5,,134.7,42.6,-61.1,,6.7,422.0,-168.8,177.0,-285.2,12.2,140.0,58.3,200.0,504.6,183.8,188.4,-31.0,-176.0,,351.0,-62.1,,-40.0,-375.7,-26.0,87.1,,442.4,201.4,-244.1,-93.0,344.4,136.0,43.5,,-427.2,156.0,False,False,False,False,False,False,True,True,False,False,False,,False,True,True,,True,False,False,False,False,True,False,True,False,False,False,False,True,False,,False,True,,True,False,True,False,,False,False,False,False,False,False,True,,False,False
Rhode Island,2154,2149.9,2147.2,2156.5,2160.1,2160.0,2161.0,2162.0,2182.0,2169.0,2149.2,2143.0,2373.9,,2181.1,2196.5,2162.7,,2166.2,2216.0,2201.8,2174.0,2076.5,2168.9,2150.0,2141.7,2186.0,2161.3,2172.9,2166.6,2150.1,2157.0,,,2145.5,,2141.0,2110.5,2109.0,2114.7,,2151.0,2179.2,2163.2,2153.0,2172.3,2136.0,2136.0,,2046.1,2179.0,-4.1,-6.8,2.5,6.1,6.0,7.0,8.0,28.0,15.0,-4.8,-11.0,219.9,,27.1,42.5,8.7,,12.2,62.0,47.8,20.0,-77.5,14.9,-4.0,-12.3,32.0,7.3,18.9,12.6,-3.9,3.0,,,-8.5,,-13.0,-43.5,-45.0,-39.3,,-3.0,25.2,9.2,-1.0,18.3,-18.0,-18.0,,-107.9,25.0,False,True,False,False,False,False,False,False,False,False,False,,False,False,False,,False,False,False,False,False,False,True,False,False,False,False,False,True,True,,,False,,False,False,False,False,,True,False,False,True,False,False,False,,False,False
South Carolina,7014,6812.7,6949.9,6819.6,6853.1,6855.0,6850.0,6885.0,6927.0,6937.0,6704.8,6957.0,6981.1,,6867.3,6921.2,6853.8,,7024.4,6917.0,7029.0,6904.0,6891.8,6841.6,6736.0,6871.2,6940.0,6911.2,6853.2,6880.2,6852.1,6884.0,,6935.2,6811.8,,6902.0,7205.8,6931.0,6838.7,,6759.2,6862.5,6877.1,6897.0,6789.4,6947.0,6949.0,,6691.8,6961.0,-201.3,-64.1,-194.4,-160.9,-159.0,-164.0,-129.0,-87.0,-77.0,-309.2,-57.0,-32.9,,-146.7,-92.8,-160.2,,10.4,-97.0,15.0,-110.0,-122.2,-172.4,-278.0,-142.8,-74.0,-102.8,-160.8,-133.8,-161.9,-130.0,,-78.8,-202.2,,-112.0,191.8,-83.0,-175.3,,-254.8,-151.5,-136.9,-117.0,-224.6,-67.0,-65.0,,-322.2,-53.0,True,True,True,True,True,True,True,True,False,True,True,,True,True,True,,True,True,True,True,True,True,False,True,True,True,True,True,True,True,,True,False,,True,True,True,True,,False,True,True,True,False,True,True,,False,True
South Dakota,1775,1747.0,1758.2,1737.6,1757.5,1747.0,1759.0,1749.0,1722.0,1747.0,1674.7,1748.0,1762.7,,1741.3,1739.2,1739.2,,1784.2,1737.0,1751.6,1764.0,1739.5,1735.4,1735.0,1738.8,1746.0,1720.2,1748.9,1748.7,1739.8,1745.0,,,1740.8,,1749.0,1707.4,1763.0,1749.8,,1723.4,1757.7,1742.2,1747.0,1770.2,1754.0,1753.0,,1750.8,1755.0,-28.0,-16.8,-37.4,-17.5,-28.0,-16.0,-26.0,-53.0,-28.0,-100.3,-27.0,-12.3,,-33.7,-35.8,-35.8,,9.2,-38.0,-23.4,-11.0,-35.5,-39.6,-40.0,-36.2,-29.0,-54.8,-26.1,-26.3,-35.2,-30.0,,,-34.2,,-26.0,-67.6,-12.0,-25.2,,-51.6,-17.3,-32.8,-28.0,-4.8,-21.0,-22.0,,-24.2,-20.0,True,False,True,False,True,True,False,False,False,True,True,,False,False,False,,True,False,True,True,False,False,False,False,False,False,True,True,False,False,,,False,,True,False,True,True,,False,True,False,False,True,True,True,,True,True
Tennessee,9574,9260.1,9286.7,9344.1,9286.2,9281.0,9283.0,9276.0,9125.0,9261.0,9146.1,9183.0,9630.3,,9190.9,9158.5,9228.5,,9579.8,9370.0,9185.5,9331.0,9075.0,9277.9,9218.0,9296.7,9400.0,9322.6,9337.8,9309.8,9179.2,9356.0,,9499.0,9222.2,,9318.0,9415.9,9167.0,9232.0,,9191.6,9333.5,9236.7,9238.0,9433.0,9269.0,9283.0,,8937.1,9332.0,-313.9,-287.3,-229.9,-287.8,-293.0,-291.0,-298.0,-449.0,-313.0,-427.9,-391.0,56.3,,-383.1,-415.5,-345.5,,5.8,-204.0,-388.5,-243.0,-499.0,-296.1,-356.0,-277.3,-174.0,-251.4,-236.2,-264.2,-394.8,-218.0,,-75.0,-351.8,,-256.0,-158.1,-407.0,-342.0,,-382.4,-240.5,-337.3,-336.0,-141.0,-305.0,-291.0,,-636.9,-242.0,True,True,True,True,True,True,False,True,False,False,True,,False,False,False,,True,True,False,True,False,True,False,True,True,True,True,True,False,True,,True,False,,True,True,False,False,,False,True,False,False,True,True,True,,False,True
Texas,36924,36891.9,37243.3,36640.0,37007.7,37000.0,37022.0,36900.0,36809.0,37342.0,34703.4,36624.0,38189.3,,36890.3,37385.0,36757.9,,36126.9,36910.0,37238.7,37055.0,36465.9,37145.1,36890.0,37115.0,37064.0,36909.5,36813.5,37050.1,36975.5,36778.0,,37257.9,36273.2,,37067.0,34811.9,36621.0,36910.4,,37017.8,36840.2,36721.2,36688.0,36895.5,37282.0,37185.5,,35834.3,37029.0,-32.1,319.3,-284.0,83.7,76.0,98.0,-24.0,-115.0,418.0,-2220.6,-300.0,1265.3,,-33.7,461.0,-166.1,,-797.1,-14.0,314.7,131.0,-458.1,221.1,-34.0,191.0,140.0,-14.5,-110.5,126.1,51.5,-146.0,,333.9,-650.8,,143.0,-2112.1,-303.0,-13.6,,93.8,-83.8,-202.8,-236.0,-28.5,358.0,261.5,,-1089.7,105.0,False,False,False,False,False,True,False,False,False,False,False,,False,False,False,,False,True,False,False,False,False,False,False,False,True,False,False,False,False,,False,False,,False,False,False,True,,False,False,False,False,True,False,False,,False,False
Utah,1663,1682.4,1691.7,1667.3,1677.2,1687.0,1679.0,1677.0,1635.0,1678.0,1575.3,1678.0,1684.9,,1670.0,1693.5,1676.9,,1656.1,1654.0,1704.8,1676.0,1217.0,1663.0,1669.0,1699.3,1698.0,,1686.3,1681.4,1665.0,1665.0,,,1669.5,,1662.0,1436.9,1669.0,1677.7,,1722.7,1694.3,1656.5,1667.0,1677.0,1662.0,1683.5,,1153.8,1675.0,19.4,28.7,4.3,14.2,24.0,16.0,14.0,-28.0,15.0,-87.7,15.0,21.9,,7.0,30.5,13.9,,-6.9,-9.0,41.8,13.0,-446.0,0.0,6.0,36.3,35.0,,23.3,18.4,2.0,2.0,,,6.5,,-1.0,-226.1,6.0,14.7,,59.7,31.3,-6.5,4.0,14.0,-1.0,20.5,,-509.2,12.0,False,True,True,False,True,True,False,True,False,True,False,,True,False,True,,True,True,False,True,False,True,True,False,False,,False,True,True,True,,,True,,True,False,True,True,,False,False,True,True,True,True,False,,False,True
Vermont,173,176.0,176.5,176.6,177.7,176.0,177.0,179.0,178.0,181.0,185.9,185.0,180.5,,182.6,176.7,176.2,,179.7,188.0,175.6,181.0,199.8,185.9,175.0,174.5,199.0,170.5,178.6,181.2,177.0,177.0,,,175.6,,179.0,182.0,190.0,176.4,,175.5,187.2,180.8,178.0,179.1,177.0,176.0,,181.3,185.0,3.0,3.5,3.6,4.7,3.0,4.0,6.0,5.0,8.0,12.9,12.0,7.5,,9.6,3.7,3.2,,6.7,15.0,2.6,8.0,26.8,12.9,2.0,1.5,26.0,-2.5,5.6,8.2,4.0,4.0,,,2.6,,6.0,9.0,17.0,3.4,,2.5,14.2,7.8,5.0,6.1,4.0,3.0,,8.3,12.0,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,,False,False,True,False,False,False,True,True,False,True,False,False,False,False,,,True,,False,False,False,False,,True,False,False,False,False,False,False,,False,False
Virginia,6449,6377.1,6457.2,6380.2,6456.8,6441.0,6452.0,6433.0,6382.0,6456.0,6124.9,6372.0,6535.8,,6410.1,6481.9,6331.2,,6372.7,6436.0,6527.8,6485.0,6524.6,6431.3,6437.0,6406.5,6463.0,6416.9,6464.6,6414.8,6427.8,6477.0,,6396.5,6396.1,,6537.0,6754.0,6281.0,6427.6,,6369.2,6469.6,6495.6,6369.0,6447.5,6463.0,6362.5,,6220.9,6476.0,-71.9,8.2,-68.8,7.8,-8.0,3.0,-16.0,-67.0,7.0,-324.1,-77.0,86.8,,-38.9,32.9,-117.8,,-76.3,-13.0,78.8,36.0,75.6,-17.7,-12.0,-42.5,14.0,-32.1,15.6,-34.2,-21.2,28.0,,-52.5,-52.9,,88.0,305.0,-168.0,-21.4,,-79.8,20.6,46.6,-80.0,-1.5,14.0,-86.5,,-228.1,27.0,True,True,True,True,True,True,True,True,False,False,False,,True,True,False,,False,True,False,True,False,True,True,True,True,True,True,True,True,True,,True,True,,False,False,False,True,,False,True,True,False,True,True,False,,False,True
Washington,4285,4294.9,4304.3,4298.1,4337.3,4303.0,4325.0,4297.0,4322.0,4330.0,4255.8,4244.0,4270.3,,4274.1,4211.7,4250.6,,4478.9,4354.0,4342.4,4352.0,4318.4,4297.8,4225.0,4247.8,4390.0,4322.1,4345.1,4314.3,4281.8,4389.0,,4279.6,4243.3,,4333.0,4445.1,4297.0,4304.6,,4278.9,4347.2,4333.2,4278.0,4276.2,4234.0,4230.5,,4207.9,4315.0,9.9,19.3,13.1,52.3,18.0,40.0,12.0,37.0,45.0,-29.2,-41.0,-14.7,,-10.9,-73.3,-34.4,,193.9,69.0,57.4,67.0,33.4,12.8,-60.0,-37.2,105.0,37.1,60.1,29.3,-3.2,104.0,,-5.4,-41.7,,48.0,160.1,12.0,19.6,,-6.1,62.2,48.2,-7.0,-8.8,-51.0,-54.5,,-77.1,30.0,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,True,False,,True,False,,False,False,False,False,,True,False,False,True,True,False,False,,False,False
West Virginia,2015,1997.0,2007.3,2023.8,1974.0,1991.0,1983.0,2010.0,1989.0,2030.0,1972.8,2020.0,2114.8,,1985.2,1916.0,1991.9,,2106.7,2043.0,2029.1,2025.0,2048.6,2012.3,2014.0,2011.1,2041.0,,2000.5,2022.8,1974.2,2042.0,,,1982.3,,2010.0,2188.5,1986.0,1975.4,,1994.7,2007.2,1981.4,2002.0,2035.1,2041.0,2029.0,,1980.7,2019.0,-18.0,-7.7,8.8,-41.0,-24.0,-32.0,-5.0,-26.0,15.0,-42.2,5.0,99.8,,-29.8,-99.0,-23.1,,91.7,28.0,14.1,10.0,33.6,-2.7,-1.0,-3.9,26.0,,-14.5,7.8,-40.8,27.0,,,-32.7,,-5.0,173.5,-29.0,-39.6,,-20.3,-7.8,-33.6,-13.0,20.1,26.0,14.0,,-34.3,4.0,True,True,False,False,False,True,False,True,False,True,False,,False,False,False,,False,False,True,True,False,True,True,True,False,,True,True,False,False,,,False,,True,False,False,False,,False,True,False,True,False,False,True,,False,True
Wisconsin,6430,6433.4,6452.1,6428.1,6442.6,6539.0,6463.0,6432.0,6402.0,6468.0,6089.7,6359.0,6413.5,,6376.7,6515.8,6363.0,,6208.5,6510.0,6440.2,6492.0,6428.7,6383.6,6425.0,6449.7,6486.0,6416.3,6441.5,6446.4,6402.7,6548.0,,6458.9,6407.3,,6442.0,5286.2,6404.0,6428.9,,6381.5,6445.7,6420.4,6384.0,6503.0,6474.0,6436.0,,6377.3,6452.0,3.4,22.1,-1.9,12.6,109.0,33.0,2.0,-28.0,38.0,-340.3,-71.0,-16.5,,-53.3,85.8,-67.0,,-221.5,80.0,10.2,62.0,-1.3,-46.4,-5.0,19.7,56.0,-13.7,11.5,16.4,-27.3,118.0,,28.9,-22.7,,12.0,-1143.8,-26.0,-1.1,,-48.5,15.7,-9.6,-46.0,73.0,44.0,6.0,,-52.7,22.0,False,True,False,False,False,True,False,False,False,False,False,,False,False,False,,False,False,False,False,True,False,False,False,False,False,False,False,False,False,,False,False,,False,False,False,True,,False,False,False,False,False,False,False,,False,False
Wyoming,596,613.0,608.4,604.2,621.3,617.0,620.0,603.0,598.0,623.0,584.0,602.0,620.0,,602.2,614.4,584.2,,592.2,582.0,610.7,612.0,594.3,595.4,604.0,585.1,602.0,,611.0,604.1,608.1,608.0,,,589.0,,618.0,500.2,610.0,580.4,,599.0,619.2,605.9,597.0,610.2,612.0,592.0,,596.2,616.0,17.0,12.4,8.2,25.3,21.0,24.0,7.0,2.0,27.0,-12.0,6.0,24.0,,6.2,18.4,-11.8,,-3.8,-14.0,14.7,16.0,-1.7,-0.6,8.0,-10.9,6.0,,15.0,8.1,12.1,12.0,,,-7.0,,22.0,-95.8,14.0,-15.6,,3.0,23.2,9.9,1.0,14.2,16.0,-4.0,,0.2,20.0,True,True,False,False,False,True,True,False,True,True,False,,True,False,True,,True,True,True,True,True,True,True,True,True,,True,True,True,True,,,True,,False,False,True,True,,True,False,True,True,True,True,True,,True,False
US,439530,437740.3,440942.1,437246.7,439071.3,,439027.0,438174.0,436358.0,439591.0,445724.4,436796.0,449524.8,437102.8,437338.1,439898.4,,448348.0,436775.0,438054.0,435696.9,439491.0,432903.0,437552.7,439690.5,439826.8,441747.0,436047.9,438753.8,439322.3,436926.5,441441.0,438307.3,441187.2,436305.1,439056.0,438727.0,435482.0,436417.0,435966.2,438825.0,,439137.5,436261.9,436375.0,440305.0,440253.0,438594.5,435110.2,429799.7,438511.0,-1752.7,1449.1,-2246.3,-421.7,,-466.0,-1319.0,-3135.0,98.0,6231.4,-2697.0,10031.8,-2390.2,-2154.9,405.4,,8855.0,-2718.0,-1439.0,-3796.1,-2.0,-6590.0,-1940.3,197.5,333.8,2254.0,-3445.1,-739.2,-170.7,-2566.5,1948.0,-1185.7,1694.2,-3187.9,-437.0,-766.0,-4011.0,-3076.0,-3526.8,-668.0,,-355.5,-3231.1,-3118.0,812.0,760.0,-898.5,-4382.8,-9693.3,-982.0,True,False,True,,True,True,False,True,False,False,False,False,False,True,,False,False,True,False,True,False,False,True,True,False,False,True,True,False,False,True,True,False,True,True,False,False,False,True,,True,False,False,True,True,True,False,False,True
