,actual_deaths,Baseline,AIpert-pwllnod,BPagano-RtDriven,CEID-Walk,CMU-TimeSeries,COVIDhub-baseline,COVIDhub-ensemble,CU-select,Caltech-CS156,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,GT-DeepCOVID,Google_Harvard-CPF,IBF-TimeSeries,IowaStateLW-STEM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MITCovAlliance-SIR,MIT_CritData-GBCF,MOBS-GLEAM_COVID,Microsoft-DeepSTIA,OliverWyman-Navigator,PSI-DRAFT,QJHong-Encounter,RPI_UW-Mob_Collision,RobertWalraven-ESG,SigSci-TS,SteveMcConnell-CovidComplete,TTU-squider,UA-EpiCovDA,UCLA-SuEIR,UCM_MESALab-FoGSEIR,UCSB-ACTS,UCSD_NEU-DeepGLEAM,UMass-MechBayes,UMich-RidgeTfReg,USC-SI_kJalpha,UT-Mobility,UpstateSU-GRU,WalmartLabsML-LogForecasting,epiforecasts-ensemble1,error-Baseline,error-AIpert-pwllnod,error-BPagano-RtDriven,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-baseline,error-COVIDhub-ensemble,error-CU-select,error-Caltech-CS156,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-GT-DeepCOVID,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MITCovAlliance-SIR,error-MIT_CritData-GBCF,error-MOBS-GLEAM_COVID,error-Microsoft-DeepSTIA,error-OliverWyman-Navigator,error-PSI-DRAFT,error-QJHong-Encounter,error-RPI_UW-Mob_Collision,error-RobertWalraven-ESG,error-SigSci-TS,error-SteveMcConnell-CovidComplete,error-TTU-squider,error-UA-EpiCovDA,error-UCLA-SuEIR,error-UCM_MESALab-FoGSEIR,error-UCSB-ACTS,error-UCSD_NEU-DeepGLEAM,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,error-UT-Mobility,error-UpstateSU-GRU,error-WalmartLabsML-LogForecasting,error-epiforecasts-ensemble1,beat_baseline-AIpert-pwllnod,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-baseline,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Caltech-CS156,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-GT-DeepCOVID,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MITCovAlliance-SIR,beat_baseline-MIT_CritData-GBCF,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-Microsoft-DeepSTIA,beat_baseline-OliverWyman-Navigator,beat_baseline-PSI-DRAFT,beat_baseline-QJHong-Encounter,beat_baseline-RPI_UW-Mob_Collision,beat_baseline-RobertWalraven-ESG,beat_baseline-SigSci-TS,beat_baseline-SteveMcConnell-CovidComplete,beat_baseline-TTU-squider,beat_baseline-UA-EpiCovDA,beat_baseline-UCLA-SuEIR,beat_baseline-UCM_MESALab-FoGSEIR,beat_baseline-UCSB-ACTS,beat_baseline-UCSD_NEU-DeepGLEAM,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha,beat_baseline-UT-Mobility,beat_baseline-UpstateSU-GRU,beat_baseline-WalmartLabsML-LogForecasting,beat_baseline-epiforecasts-ensemble1
Maryland,7107,7066.3,7025.7,7096.7,7060.4,7131.0,7082.8,7149.0,6897.0,7025.2,,7014.6,7745.0,7376.0,7156.7,7294.6,,6976.0,7226.7,7128.0,7065.3,7201.4,7155.0,7206.0,7051.5,7225.0,7129.5,7147.2,7228.5,6914.0,,7610.0,7076.4,,7281.0,7024.4,6994.0,6955.3,,7448.2,7167.3,7098.0,7308.2,7182.0,6980.0,,6486.7,7241.0,-40.7,-81.3,-10.3,-46.6,24.0,-24.2,42.0,-210.0,-81.8,,-92.4,638.0,269.0,49.7,187.6,,-131.0,119.7,21.0,-41.7,94.4,48.0,99.0,-55.5,118.0,22.5,40.2,121.5,-193.0,,503.0,-30.6,,174.0,-82.6,-113.0,-151.7,,341.2,60.3,-9.0,201.2,75.0,-127.0,,-620.3,134.0,False,True,False,True,True,False,False,False,,False,False,False,False,False,,False,False,True,False,False,False,False,False,False,True,True,False,False,,False,True,,False,False,False,False,,False,False,True,False,False,False,,False,False
Massachusetts,14531,14696.7,14945.1,14518.5,14734.4,14689.0,14790.3,14770.0,14498.0,14324.7,,14119.1,14719.0,14521.2,14792.0,14944.2,,14669.0,14184.7,14873.0,14491.8,14679.6,15327.0,14910.2,14890.2,14689.0,14721.6,14955.1,15234.0,14027.5,,14940.2,15271.9,,14667.0,16190.5,14639.0,14538.5,,15585.0,14764.2,14989.0,14874.4,14811.0,14948.0,,13524.8,14776.0,165.7,414.1,-12.5,203.4,158.0,259.3,239.0,-33.0,-206.3,,-411.9,188.0,-9.8,261.0,413.2,,138.0,-346.3,342.0,-39.2,148.6,796.0,379.2,359.2,158.0,190.6,424.1,703.0,-503.5,,409.2,740.9,,136.0,1659.5,108.0,7.5,,1054.0,233.2,458.0,343.4,280.0,417.0,,-1006.2,245.0,False,True,False,True,False,False,True,False,,False,False,True,False,False,,True,False,False,True,True,False,False,False,True,False,False,False,False,,False,False,,True,False,True,True,,False,False,False,False,False,False,,False,False
Michigan,15525,16542.1,16381.7,16253.7,16814.9,16366.0,16662.2,15968.0,15232.0,15349.1,,14928.6,15611.0,16595.4,15941.6,15653.3,,16360.0,15562.5,16164.0,15553.2,15767.4,16269.0,15924.4,15910.5,15866.0,16065.1,15856.2,16151.2,15815.5,,16594.9,16425.0,,15727.0,13895.7,15261.0,15994.3,,15949.0,16146.0,15978.0,16618.6,16695.0,15661.0,,14814.1,15957.0,1017.1,856.7,728.7,1289.9,841.0,1137.2,443.0,-293.0,-175.9,,-596.4,86.0,1070.4,416.6,128.3,,835.0,37.5,639.0,28.2,242.4,744.0,399.4,385.5,341.0,540.1,331.2,626.2,290.5,,1069.9,900.0,,202.0,-1629.3,-264.0,469.3,,424.0,621.0,453.0,1093.6,1170.0,136.0,,-710.9,432.0,True,True,False,True,False,True,True,True,,True,True,False,True,True,,True,True,True,True,True,True,True,True,True,True,True,True,True,,False,True,,True,False,True,True,,True,True,True,False,False,True,,True,True
Minnesota,6255,6592.1,6609.4,6770.4,6612.6,6506.0,6615.9,6534.0,6119.0,6286.8,,6298.8,6172.0,6668.2,6389.4,6385.6,,6758.0,6566.6,6506.0,6319.2,6485.6,6572.0,6525.1,6357.7,6488.0,6516.5,6519.2,6719.3,7259.5,,7065.8,6503.3,,6314.0,5169.0,6860.0,6738.3,,6520.7,6546.4,6412.0,6644.2,6482.0,6402.0,,6239.7,6568.0,337.1,354.4,515.4,357.6,251.0,360.9,279.0,-136.0,31.8,,43.8,-83.0,413.2,134.4,130.6,,503.0,311.6,251.0,64.2,230.6,317.0,270.1,102.7,233.0,261.5,264.2,464.3,1004.5,,810.8,248.3,,59.0,-1086.0,605.0,483.3,,265.7,291.4,157.0,389.2,227.0,147.0,,-15.3,313.0,False,False,False,True,False,True,True,True,,True,True,False,True,True,,False,True,True,True,True,True,True,True,True,True,True,False,False,,False,True,,True,False,False,False,,True,True,True,False,True,True,,True,True
Mississippi,6018,6012.7,6264.6,5884.2,6060.8,5838.0,6064.4,5980.0,5766.0,5776.4,,5742.8,5795.0,6436.1,6084.3,6036.8,,5763.0,5872.2,5900.0,5697.3,5962.5,6206.0,6031.4,5730.0,5953.0,6091.9,6018.7,6305.4,5946.0,,5906.2,6213.7,,5989.0,6046.9,5960.0,5995.3,,6221.5,6132.6,6110.0,5972.8,5873.0,6051.5,,5488.5,6043.0,-5.3,246.6,-133.8,42.8,-180.0,46.4,-38.0,-252.0,-241.6,,-275.2,-223.0,418.1,66.3,18.8,,-255.0,-145.8,-118.0,-320.7,-55.5,188.0,13.4,-288.0,-65.0,73.9,0.7,287.4,-72.0,,-111.8,195.7,,-29.0,28.9,-58.0,-22.7,,203.5,114.6,92.0,-45.2,-145.0,33.5,,-529.5,25.0,False,False,False,False,False,False,False,False,,False,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,True,False,False,,False,False,,False,False,False,False,,False,False,False,False,False,False,,False,False
Missouri,7040,7267.3,7176.1,7255.7,7385.0,7223.0,7364.6,7149.0,6855.0,6857.4,,7066.1,6718.0,7384.7,7131.0,7196.8,,7414.0,7151.9,7186.0,6830.9,7261.4,7146.0,7219.3,6682.6,7202.0,7348.7,7072.6,7617.3,6964.0,,7448.5,6954.7,,7127.0,6718.0,7070.0,6532.2,,7639.2,7452.9,7065.0,7483.5,6821.0,6895.0,,6316.0,6044.0,244.3,153.1,232.7,362.0,200.0,341.6,126.0,-168.0,-165.6,,43.1,-305.0,361.7,108.0,173.8,,391.0,128.9,163.0,-192.1,238.4,123.0,196.3,-340.4,179.0,325.7,49.6,594.3,-59.0,,425.5,-68.3,,104.0,-305.0,47.0,-490.8,,616.2,429.9,42.0,460.5,-202.0,-128.0,,-707.0,-979.0,True,True,False,True,False,True,True,True,,True,False,False,True,True,,False,True,True,True,True,True,True,False,True,False,True,False,True,,False,True,,True,False,True,False,,False,False,True,False,True,True,,False,False
Montana,1232,1296.0,1191.4,1258.7,1322.4,1296.0,1303.0,1234.0,1056.0,1205.1,,1086.7,1101.0,1253.9,1276.3,1213.1,,1317.0,1169.9,1239.0,1247.0,1155.5,1252.0,1255.9,1186.1,1273.0,1245.6,1248.1,1270.7,1177.0,,,1323.0,,1206.0,1047.0,1169.0,1344.5,,1206.3,1286.0,1206.0,1258.5,1205.0,1206.0,,1159.5,1213.0,64.0,-40.6,26.7,90.4,64.0,71.0,2.0,-176.0,-26.9,,-145.3,-131.0,21.9,44.3,-18.9,,85.0,-62.1,7.0,15.0,-76.5,20.0,23.9,-45.9,41.0,13.6,16.1,38.7,-55.0,,,91.0,,-26.0,-185.0,-63.0,112.5,,-25.7,54.0,-26.0,26.5,-27.0,-26.0,,-72.5,-19.0,True,True,False,False,False,True,False,True,,False,False,True,True,True,,False,True,True,True,False,True,True,True,True,True,True,True,True,,,False,,True,False,True,False,,True,True,True,True,True,True,,False,True
Nebraska,1920,2011.4,2031.5,2141.5,1971.5,2125.0,1941.0,2028.0,1973.0,1985.5,,1933.4,1887.0,2183.7,1936.8,2062.9,,2289.0,2101.2,2032.0,2079.0,1945.0,1967.0,2138.2,1965.2,2139.0,2006.8,2052.2,1936.2,2040.0,,,1931.2,,1929.0,1731.7,1932.0,1855.8,,2145.5,2048.5,1966.0,2202.7,1938.0,2144.5,,1944.5,2266.0,91.4,111.5,221.5,51.5,205.0,21.0,108.0,53.0,65.5,,13.4,-33.0,263.7,16.8,142.9,,369.0,181.2,112.0,159.0,25.0,47.0,218.2,45.2,219.0,86.8,132.2,16.2,120.0,,,11.2,,9.0,-188.3,12.0,-64.2,,225.5,128.5,46.0,282.7,18.0,224.5,,24.5,346.0,False,False,True,False,True,False,True,True,,True,True,False,True,False,,False,False,False,False,True,True,False,True,False,True,False,True,False,,,True,,True,False,True,True,,False,False,True,False,True,False,,True,False
Nevada,4264,4287.0,4096.4,4139.9,4344.0,4072.0,4355.8,4216.0,4216.0,4009.7,,3890.0,3977.0,4755.7,4307.6,4181.2,,4108.0,3705.6,4203.0,3927.2,4102.3,4329.0,4304.0,4046.2,4208.0,4245.2,4225.1,4547.4,3999.0,,4345.6,4372.6,,4086.0,4119.6,4257.0,4383.7,,4389.4,4286.1,4163.0,4262.4,4063.0,4245.0,,3754.7,4144.0,23.0,-167.6,-124.1,80.0,-192.0,91.8,-48.0,-48.0,-254.3,,-374.0,-287.0,491.7,43.6,-82.8,,-156.0,-558.4,-61.0,-336.8,-161.7,65.0,40.0,-217.8,-56.0,-18.8,-38.9,283.4,-265.0,,81.6,108.6,,-178.0,-144.4,-7.0,119.7,,125.4,22.1,-101.0,-1.6,-201.0,-19.0,,-509.3,-120.0,False,False,False,False,False,False,False,False,,False,False,False,False,False,,False,False,False,False,False,False,False,False,False,True,False,False,False,,False,False,,False,False,True,False,,False,True,False,True,False,True,,False,False
New Hampshire,1042,1123.3,1343.4,1035.2,1141.8,1045.0,1141.0,1109.0,931.0,1097.0,,1025.8,1083.0,1047.7,1142.2,1110.0,,1109.0,991.0,1115.0,1211.9,1070.4,1070.0,1073.5,984.7,1109.0,1156.5,1151.0,1173.4,1221.0,,,1225.6,,1074.0,1192.5,1088.0,1092.9,,1199.7,1200.2,1071.0,1144.0,1124.0,1244.5,,920.1,1102.0,81.3,301.4,-6.8,99.8,3.0,99.0,67.0,-111.0,55.0,,-16.2,41.0,5.7,100.2,68.0,,67.0,-51.0,73.0,169.9,28.4,28.0,31.5,-57.3,67.0,114.5,109.0,131.4,179.0,,,183.6,,32.0,150.5,46.0,50.9,,157.7,158.2,29.0,102.0,82.0,202.5,,-121.9,60.0,False,True,False,True,False,True,False,True,,True,True,True,False,True,,True,True,True,False,True,True,True,True,True,False,False,False,False,,,False,,True,False,True,True,,False,False,True,False,False,False,,False,True
New Jersey,21455,21699.7,22021.6,21427.6,21859.7,21731.0,21855.7,21682.0,21137.0,21707.2,,20920.9,21401.0,21517.0,21843.5,21942.1,,21496.0,20722.7,21754.0,21422.0,21493.5,22419.0,21953.9,22702.0,21556.0,21910.6,21701.2,22200.3,20650.0,,21762.9,22095.1,,21520.0,19949.9,21376.0,21660.7,,22633.5,21941.9,21252.0,20900.0,21905.0,21848.5,,20248.2,21522.0,244.7,566.6,-27.4,404.7,276.0,400.7,227.0,-318.0,252.2,,-534.1,-54.0,62.0,388.5,487.1,,41.0,-732.3,299.0,-33.0,38.5,964.0,498.9,1247.0,101.0,455.6,246.2,745.3,-805.0,,307.9,640.1,,65.0,-1505.1,-79.0,205.7,,1178.5,486.9,-203.0,-555.0,450.0,393.5,,-1206.8,67.0,False,True,False,False,False,True,False,False,,False,True,True,False,False,,True,False,False,True,True,False,False,False,True,False,False,False,False,,False,False,,True,False,True,True,,False,False,True,False,False,False,,False,True
New Mexico,3265,3314.7,3210.9,3352.8,3374.3,3239.0,3326.0,3272.0,3074.0,3181.1,,3068.7,3012.0,3431.6,3346.3,3342.5,,3268.0,3249.0,3294.0,3048.8,3252.3,3405.0,3316.2,3354.2,3289.0,3277.6,3285.8,3427.8,3239.0,,,3268.3,,3239.0,3099.3,3186.0,3138.0,,3233.2,3319.0,3272.0,3380.7,3312.0,3273.0,,3049.0,3257.0,49.7,-54.1,87.8,109.3,-26.0,61.0,7.0,-191.0,-83.9,,-196.3,-253.0,166.6,81.3,77.5,,3.0,-16.0,29.0,-216.2,-12.7,140.0,51.2,89.2,24.0,12.6,20.8,162.8,-26.0,,,3.3,,-26.0,-165.7,-79.0,-127.0,,-31.8,54.0,7.0,115.7,47.0,8.0,,-216.0,-8.0,False,False,False,True,False,True,False,False,,False,False,False,False,False,,True,True,True,False,True,False,False,False,True,True,True,False,True,,,True,,True,False,False,False,,True,False,True,False,True,True,,False,True
New York,43453,43109.1,43258.3,42584.0,43011.7,43333.0,43067.7,43346.0,42158.0,42659.7,,42786.6,43688.0,42661.8,43206.5,44103.5,,42638.0,41877.3,43092.0,44133.3,44031.9,44026.0,43935.0,45285.3,43273.0,43604.1,43345.1,44193.4,40573.0,,42879.6,43344.1,,44139.0,41962.7,43346.0,43472.8,,42964.7,43654.0,43632.0,44327.1,43591.0,42719.5,,39830.5,43668.0,-343.9,-194.7,-869.0,-441.3,-120.0,-385.3,-107.0,-1295.0,-793.3,,-666.4,235.0,-791.2,-246.5,650.5,,-815.0,-1575.7,-361.0,680.3,578.9,573.0,482.0,1832.3,-180.0,151.1,-107.9,740.4,-2880.0,,-573.4,-108.9,,686.0,-1490.3,-107.0,19.8,,-488.3,201.0,179.0,874.1,138.0,-733.5,,-3622.5,215.0,True,False,False,True,False,True,False,False,,False,True,False,True,False,,False,False,False,False,False,False,False,False,True,True,True,False,False,,False,True,,False,False,True,True,,False,True,True,False,True,False,,False,True
North Carolina,9287,9444.1,8540.3,8695.5,9043.0,9054.0,9023.7,9125.0,8022.0,8639.1,,8281.5,8571.0,9281.4,9283.7,9228.0,,8789.0,8771.1,9157.0,9431.2,9275.8,9590.0,9440.5,8553.0,9152.0,9159.9,9279.4,9543.4,8928.0,,8579.7,9731.6,,8905.0,9141.8,9359.0,9090.0,,9748.2,9211.8,9590.0,8746.1,8939.0,10084.0,,8155.0,9298.0,157.1,-746.7,-591.5,-244.0,-233.0,-263.3,-162.0,-1265.0,-647.9,,-1005.5,-716.0,-5.6,-3.3,-59.0,,-498.0,-515.9,-130.0,144.2,-11.2,303.0,153.5,-734.0,-135.0,-127.1,-7.6,256.4,-359.0,,-707.3,444.6,,-382.0,-145.2,72.0,-197.0,,461.2,-75.2,303.0,-540.9,-348.0,797.0,,-1132.0,11.0,False,False,False,False,False,False,False,False,,False,False,True,True,True,,False,False,True,True,True,False,True,False,True,True,True,False,False,,False,False,,False,True,True,False,,False,True,False,False,False,False,,False,True
North Dakota,1447,1472.0,1450.0,1552.2,1469.2,1477.0,1478.0,1454.0,1352.0,1421.7,,1438.2,1426.0,1468.2,1416.6,1440.2,,1519.0,1466.7,1492.0,1473.3,1417.6,1413.0,1440.1,1440.3,1510.0,1425.1,1468.4,1464.6,1428.0,,,1460.4,,1444.0,1226.9,1414.0,1441.0,,1368.4,1467.5,1428.0,1571.9,1454.0,1407.0,,1459.5,1469.0,33.0,11.0,113.2,30.2,38.0,39.0,15.0,-87.0,-17.3,,-0.8,-13.0,29.2,-22.4,1.2,,80.0,27.7,53.0,34.3,-21.4,-26.0,1.1,1.3,71.0,-13.9,29.4,25.6,-11.0,,,21.4,,5.0,-212.1,-25.0,2.0,,-70.6,28.5,-11.0,132.9,15.0,-32.0,,20.5,30.0,True,False,True,False,False,True,False,True,,True,True,True,True,True,,False,True,False,False,True,True,True,True,False,True,True,True,True,,,True,,True,False,True,True,,False,True,True,False,True,True,,True,True
Ohio,11121,11201.3,11557.8,11211.0,11310.3,11336.0,11344.6,11305.0,9988.0,10869.1,,10511.7,10804.0,12259.0,10797.2,11304.7,,11346.0,10950.0,11298.0,11918.0,11017.5,11336.0,11313.9,10885.1,11465.0,11400.2,11400.1,11571.8,12217.0,,11632.2,10785.3,,10973.0,12531.5,10625.0,11456.3,,12001.8,11415.9,11283.0,11450.0,11068.0,10986.0,,10399.7,11021.0,80.3,436.8,90.0,189.3,215.0,223.6,184.0,-1133.0,-251.9,,-609.3,-317.0,1138.0,-323.8,183.7,,225.0,-171.0,177.0,797.0,-103.5,215.0,192.9,-235.9,344.0,279.2,279.1,450.8,1096.0,,511.2,-335.7,,-148.0,1410.5,-496.0,335.3,,880.8,294.9,162.0,329.0,-53.0,-135.0,,-721.3,-100.0,False,False,False,False,False,False,False,False,,False,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,,False,False,False,False,,False,False,False,False,True,False,,False,False
Oklahoma,3504,3372.4,3291.9,3288.0,3368.9,3287.0,3371.1,3371.0,2886.0,3336.0,,3163.0,3250.0,3376.8,3354.3,3434.4,,3384.0,3607.6,3504.0,3502.8,3393.7,3324.0,3515.8,3070.6,3499.0,3377.6,3446.8,3562.5,3474.0,,,3454.5,,3297.0,2956.8,3346.0,3443.0,,3829.6,3416.7,3493.0,3357.5,3287.0,3367.0,,3022.4,3354.0,-131.6,-212.1,-216.0,-135.1,-217.0,-132.9,-133.0,-618.0,-168.0,,-341.0,-254.0,-127.2,-149.7,-69.6,,-120.0,103.6,0.0,-1.2,-110.3,-180.0,11.8,-433.4,-5.0,-126.4,-57.2,58.5,-30.0,,,-49.5,,-207.0,-547.2,-158.0,-61.0,,325.6,-87.3,-11.0,-146.5,-217.0,-137.0,,-481.6,-150.0,False,False,False,False,False,False,False,False,,False,False,True,False,True,,True,True,True,True,True,False,True,False,True,True,True,True,True,,,True,,False,False,False,True,,False,True,True,False,False,False,,False,False
Oregon,1957,1901.1,1774.1,1945.2,1917.0,1858.0,1936.0,1916.0,1837.0,1871.9,,1901.6,1796.0,2003.9,1863.1,1905.7,,1937.0,2257.9,1955.0,2184.5,1920.1,1805.0,1837.1,1906.1,1986.0,1892.4,1885.6,1941.1,1889.0,,,1805.5,,1857.0,2108.2,1800.0,1940.7,,2057.8,1934.7,1920.0,1875.7,1853.0,1750.5,,1770.9,1917.0,-55.9,-182.9,-11.8,-40.0,-99.0,-21.0,-41.0,-120.0,-85.1,,-55.4,-161.0,46.9,-93.9,-51.3,,-20.0,300.9,-2.0,227.5,-36.9,-152.0,-119.9,-50.9,29.0,-64.6,-71.4,-15.9,-68.0,,,-151.5,,-100.0,151.2,-157.0,-16.3,,100.8,-22.3,-37.0,-81.3,-104.0,-206.5,,-186.1,-40.0,False,True,True,False,True,True,False,False,,True,False,True,False,True,,True,False,True,False,True,False,False,True,True,False,False,True,False,,,False,,False,False,False,True,,False,True,True,False,False,False,,False,True
Pennsylvania,21562,21965.6,21976.6,21005.7,22146.7,21325.0,21966.7,21525.0,20636.0,20690.4,,20498.3,20624.0,22824.8,21556.7,21287.7,,21765.0,18917.6,21074.0,20608.2,21265.7,22260.5,21924.1,21639.8,21435.0,22388.9,21406.6,22536.5,23849.5,,23386.8,21722.2,,21146.0,21802.5,20727.0,21697.4,,21974.5,22442.9,21058.0,22950.5,21221.0,20699.0,,18916.9,21479.0,403.6,414.6,-556.3,584.7,-237.0,404.7,-37.0,-926.0,-871.6,,-1063.7,-938.0,1262.8,-5.3,-274.3,,203.0,-2644.4,-488.0,-953.8,-296.3,698.5,362.1,77.8,-127.0,826.9,-155.4,974.5,2287.5,,1824.8,160.2,,-416.0,240.5,-835.0,135.4,,412.5,880.9,-504.0,1388.5,-341.0,-863.0,,-2645.1,-83.0,False,False,False,True,False,True,False,False,,False,False,False,True,True,,True,False,False,False,True,False,True,True,True,False,True,False,False,,False,True,,False,True,False,True,,False,False,False,False,True,False,,False,True
Rhode Island,2154,2313.1,2319.7,2223.9,2338.3,2214.0,2333.0,2242.0,2123.0,2056.5,,2111.1,2140.0,2440.2,2294.6,2348.3,,2366.0,2160.2,2345.0,2068.0,2199.9,2245.0,2172.4,2180.2,2255.0,2338.8,2261.0,2303.2,2056.0,,,2362.3,,2173.0,2123.0,2015.0,2013.4,,2252.8,2385.0,2306.0,2213.4,2069.0,2160.0,,1934.3,2239.0,159.1,165.7,69.9,184.3,60.0,179.0,88.0,-31.0,-97.5,,-42.9,-14.0,286.2,140.6,194.3,,212.0,6.2,191.0,-86.0,45.9,91.0,18.4,26.2,101.0,184.8,107.0,149.2,-98.0,,,208.3,,19.0,-31.0,-139.0,-140.6,,98.8,231.0,152.0,59.4,-85.0,6.0,,-219.7,85.0,False,True,False,True,False,True,True,True,,True,True,False,True,False,,False,True,False,True,True,True,True,True,True,False,True,True,True,,,False,,True,True,True,True,,True,False,True,True,True,True,,False,True
South Carolina,7014,6788.1,7042.2,6590.9,6839.1,6954.0,6877.1,6911.0,6666.0,6758.8,,6447.7,7048.0,6977.1,6875.5,6998.8,,6773.0,6471.9,6896.0,6759.9,7248.4,7126.5,6914.2,6317.0,6758.0,6857.7,6911.0,7336.2,6728.0,,8096.4,7096.8,,6940.0,7965.2,7016.0,6883.4,,7095.2,6896.8,7168.0,6592.8,6915.0,7248.0,,6156.2,7117.0,-225.9,28.2,-423.1,-174.9,-60.0,-136.9,-103.0,-348.0,-255.2,,-566.3,34.0,-36.9,-138.5,-15.2,,-241.0,-542.1,-118.0,-254.1,234.4,112.5,-99.8,-697.0,-256.0,-156.3,-103.0,322.2,-286.0,,1082.4,82.8,,-74.0,951.2,2.0,-130.6,,81.2,-117.2,154.0,-421.2,-99.0,234.0,,-857.8,103.0,True,False,True,True,True,True,False,False,,False,True,True,True,True,,False,False,True,False,False,True,True,False,False,True,True,False,False,,False,True,,True,False,True,True,,True,True,True,False,True,False,,False,True
South Dakota,1775,1790.7,1710.2,1840.6,1796.8,1703.0,1777.0,1755.0,1607.0,1691.8,,1681.6,1751.0,1862.5,1714.3,1751.0,,1756.0,1793.9,1753.0,1707.2,1713.2,1714.0,1724.3,1777.4,1793.0,1764.3,1758.9,1769.3,1667.0,,,1770.9,,1726.0,1689.2,1791.0,1705.3,,1677.5,1807.0,1767.0,1835.3,1718.0,1755.0,,1728.6,1823.0,15.7,-64.8,65.6,21.8,-72.0,2.0,-20.0,-168.0,-83.2,,-93.4,-24.0,87.5,-60.7,-24.0,,-19.0,18.9,-22.0,-67.8,-61.8,-61.0,-50.7,2.4,18.0,-10.7,-16.1,-5.7,-108.0,,,-4.1,,-49.0,-85.8,16.0,-69.7,,-97.5,32.0,-8.0,60.3,-57.0,-20.0,,-46.4,48.0,False,False,False,False,True,False,False,False,,False,False,False,False,False,,False,False,False,False,False,False,False,True,False,True,False,True,False,,,True,,False,False,False,False,,False,False,True,False,False,False,,False,False
Tennessee,9574,9956.4,9452.0,9442.9,9972.3,9582.0,9905.5,9611.0,8633.0,9255.8,,8986.4,8867.0,9996.1,9778.9,9686.7,,9569.0,8524.4,9460.0,9181.6,9726.8,9460.0,9724.1,9044.1,9429.0,9803.9,9652.1,9461.3,9211.0,,9822.3,9965.1,,9387.0,9544.9,9261.0,10090.9,,10539.6,9846.1,9611.0,9642.8,9162.0,9865.5,,8400.9,9711.0,382.4,-122.0,-131.1,398.3,8.0,331.5,37.0,-941.0,-318.2,,-587.6,-707.0,422.1,204.9,112.7,,-5.0,-1049.6,-114.0,-392.4,152.8,-114.0,150.1,-529.9,-145.0,229.9,78.1,-112.7,-363.0,,248.3,391.1,,-187.0,-29.1,-313.0,516.9,,965.6,272.1,37.0,68.8,-412.0,291.5,,-1173.1,137.0,True,True,False,True,True,True,False,True,,False,False,False,True,True,,True,False,True,False,True,True,True,False,True,True,True,True,True,,True,False,,True,True,True,False,,False,True,True,True,False,True,,False,True
Texas,36924,36144.7,37054.5,34363.3,35708.9,35224.0,35926.0,35560.0,35090.0,34285.2,,33330.4,34080.0,39298.6,36549.0,36191.0,,34822.0,34706.2,34580.0,35573.8,35882.9,35562.0,36542.3,33190.1,35322.0,36603.4,35367.6,37785.7,33781.0,,35851.4,36525.3,,36401.0,34564.8,36971.0,35660.5,,34520.6,36732.7,36153.0,35019.0,35557.0,36048.5,,32633.5,35439.0,-779.3,130.5,-2560.7,-1215.1,-1700.0,-998.0,-1364.0,-1834.0,-2638.8,,-3593.6,-2844.0,2374.6,-375.0,-733.0,,-2102.0,-2217.8,-2344.0,-1350.2,-1041.1,-1362.0,-381.7,-3733.9,-1602.0,-320.6,-1556.4,861.7,-3143.0,,-1072.6,-398.7,,-523.0,-2359.2,47.0,-1263.5,,-2403.4,-191.3,-771.0,-1905.0,-1367.0,-875.5,,-4290.5,-1485.0,True,False,False,False,False,False,False,False,,False,False,False,True,True,,False,False,False,False,False,False,True,False,False,True,False,False,False,,False,True,,True,False,True,False,,False,True,True,False,False,False,,False,False
