,actual_cases,COVIDhub-baseline,CEID-Walk,CMU-TimeSeries,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,QJHong-Encounter,RobertWalraven-ESG,TTU-squider,UCLA-SuEIR,UMass-MechBayes,UMich-RidgeTfReg,USC-SI_kJalpha,UVA-Ensemble,error-COVIDhub-baseline,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-QJHong-Encounter,error-RobertWalraven-ESG,error-TTU-squider,error-UCLA-SuEIR,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,error-UVA-Ensemble,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-TTU-squider,beat_baseline-UCLA-SuEIR,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha,beat_baseline-UVA-Ensemble
13141,22,28.0,32.1,,21.0,0.0,,,,,20.0,,28.1,25.2,,4.2,24.5,,15.5,,32.2,,,23.0,18.7,6.0,10.1,,-1.0,-22.0,,,,,-2.0,,6.1,3.2,,-17.8,2.5,,-6.5,,10.2,,,1.0,-3.3,False,,True,False,,,,,True,,False,True,,False,True,,False,,False,,,True,True
13143,161,168.0,167.0,,152.0,160.0,,,,,114.0,,153.3,99.1,,77.1,163.6,,141.9,,165.6,,,158.0,119.1,7.0,6.0,,-9.0,-1.0,,,,,-47.0,,-7.7,-61.9,,-83.9,2.6,,-19.1,,4.6,,,-3.0,-41.9,True,,False,True,,,,,False,,False,False,,False,True,,False,,True,,,True,False
13145,53,48.0,46.8,,44.0,34.0,,,,,78.0,,45.3,36.4,,12.6,52.0,,47.7,,26.2,,,49.0,42.7,-5.0,-6.2,,-9.0,-19.0,,,,,25.0,,-7.7,-16.6,,-40.4,-1.0,,-5.3,,-26.8,,,-4.0,-10.3,False,,False,False,,,,,False,,False,False,,False,True,,False,,False,,,True,False
13147,74,80.0,80.7,,66.0,58.0,,,,,124.0,,90.3,52.6,,17.7,73.7,,8.5,,59.2,,,81.0,60.4,6.0,6.7,,-8.0,-16.0,,,,,50.0,,16.3,-21.4,,-56.3,-0.3,,-65.5,,-14.8,,,7.0,-13.6,False,,False,False,,,,,False,,False,False,,False,True,,False,,False,,,False,False
13149,39,28.0,35.9,,22.0,0.0,,,,,28.0,,28.9,19.2,,6.9,23.4,,8.0,,25.3,,,43.0,97.2,-11.0,-3.1,,-17.0,-39.0,,,,,-11.0,,-10.1,-19.8,,-32.1,-15.6,,-31.0,,-13.7,,,4.0,58.2,True,,False,False,,,,,False,,True,False,,False,False,,False,,False,,,True,False
13151,960,872.0,872.2,,625.0,802.0,,,,,492.0,,687.6,757.7,,559.4,817.6,,261.7,,518.9,698.0,,791.0,633.2,-88.0,-87.8,,-335.0,-158.0,,,,,-468.0,,-272.4,-202.3,,-400.6,-142.4,,-698.3,,-441.1,-262.0,,-169.0,-326.8,True,,False,False,,,,,False,,False,False,,False,False,,False,,False,False,,False,False
13153,541,224.0,276.9,,186.0,72.0,,,,,366.0,,190.4,381.3,,102.8,254.6,,77.8,,176.8,110.0,,137.0,220.5,-317.0,-264.1,,-355.0,-469.0,,,,,-175.0,,-350.6,-159.7,,-438.2,-286.4,,-463.2,,-364.2,-431.0,,-404.0,-320.5,True,,False,False,,,,,True,,False,True,,False,True,,False,,False,False,,False,False
13155,39,120.0,116.8,,72.0,58.0,,,,,27.0,,97.6,27.5,,61.9,81.4,,15.4,,121.5,,,59.0,74.7,81.0,77.8,,33.0,19.0,,,,,-12.0,,58.6,-11.5,,22.9,42.4,,-23.6,,82.5,,,20.0,35.7,True,,True,True,,,,,True,,True,True,,True,True,,True,,False,,,True,True
13157,396,320.0,294.0,,246.0,247.0,,,,,256.0,,319.7,238.8,,135.7,283.6,,73.6,,215.2,,,270.0,372.4,-76.0,-102.0,,-150.0,-149.0,,,,,-140.0,,-76.3,-157.2,,-260.3,-112.4,,-322.4,,-180.8,,,-126.0,-23.6,False,,False,False,,,,,False,,False,False,,False,False,,False,,False,,,False,True
13159,28,16.0,9.7,,16.0,28.0,,,,,47.0,,19.1,20.3,,3.0,23.2,,17.8,,15.8,,,36.0,22.0,-12.0,-18.3,,-12.0,0.0,,,,,19.0,,-8.9,-7.7,,-25.0,-4.8,,-10.2,,-12.2,,,8.0,-6.0,False,,False,True,,,,,False,,True,True,,False,True,,True,,False,,,True,True
13161,82,48.0,52.6,,43.0,6.0,,,,,38.0,,49.0,33.7,,8.4,51.6,,16.7,,48.4,,,33.0,54.2,-34.0,-29.4,,-39.0,-76.0,,,,,-44.0,,-33.0,-48.3,,-73.6,-30.4,,-65.3,,-33.6,,,-49.0,-27.8,True,,False,False,,,,,False,,True,False,,False,True,,False,,True,,,False,True
13163,44,96.0,90.6,,60.0,54.0,,,,,61.0,,84.2,49.7,,22.6,71.0,,37.1,,54.3,,,72.0,76.0,52.0,46.6,,16.0,10.0,,,,,17.0,,40.2,5.7,,-21.4,27.0,,-6.9,,10.3,,,28.0,32.0,True,,True,True,,,,,True,,True,True,,True,True,,True,,True,,,True,True
13165,35,88.0,91.6,,46.0,26.0,,,,,45.0,,85.9,25.0,,10.6,62.5,,27.9,,37.6,,,36.0,90.3,53.0,56.6,,11.0,-9.0,,,,,10.0,,50.9,-10.0,,-24.4,27.5,,-7.1,,2.6,,,1.0,55.3,False,,True,True,,,,,True,,True,True,,True,True,,True,,True,,,True,False
13167,24,16.0,21.5,,19.0,10.0,,,,,51.0,,8.6,20.4,,2.4,23.3,,34.5,,41.9,,,4.0,53.0,-8.0,-2.5,,-5.0,-14.0,,,,,27.0,,-15.4,-3.6,,-21.6,-0.7,,10.5,,17.9,,,-20.0,29.0,True,,True,False,,,,,False,,False,True,,False,True,,False,,False,,,False,False
13169,83,92.0,95.6,,69.0,32.0,,,,,72.0,,92.3,82.5,,13.2,72.9,,61.8,,96.9,,,77.0,51.3,9.0,12.6,,-14.0,-51.0,,,,,-11.0,,9.3,-0.5,,-69.8,-10.1,,-21.2,,13.9,,,-6.0,-31.7,False,,False,False,,,,,False,,False,True,,False,False,,False,,False,,,True,False
13171,51,64.0,63.3,,50.0,0.0,,,,,69.0,,66.4,29.1,,18.3,50.5,,0.0,,57.9,,,109.0,38.8,13.0,12.3,,-1.0,-51.0,,,,,18.0,,15.4,-21.9,,-32.7,-0.5,,-51.0,,6.9,,,58.0,-12.2,True,,True,False,,,,,False,,False,False,,False,True,,False,,True,,,False,True
13173,23,8.0,5.4,,6.0,0.0,,,,,23.0,,6.4,13.0,,0.0,3.9,,1.2,,10.9,,,2.0,23.0,-15.0,-17.6,,-17.0,-23.0,,,,,0.0,,-16.6,-10.0,,-23.0,-19.1,,-21.8,,-12.1,,,-21.0,-0.0,False,,False,False,,,,,True,,False,True,,False,False,,False,,True,,,False,True
13175,329,232.0,208.3,,198.0,189.0,,,,,207.0,,187.3,128.2,,173.7,272.4,,108.5,,208.5,,,151.0,240.0,-97.0,-120.7,,-131.0,-140.0,,,,,-122.0,,-141.7,-200.8,,-155.3,-56.6,,-220.6,,-120.5,,,-178.0,-89.0,False,,False,False,,,,,False,,False,False,,False,True,,False,,False,,,False,True
13177,47,40.0,38.3,,37.0,29.0,,,,,74.0,,33.4,46.3,,11.9,51.8,,30.0,,45.1,,,23.0,33.4,-7.0,-8.7,,-10.0,-18.0,,,,,27.0,,-13.6,-0.7,,-35.1,4.8,,-17.0,,-1.9,,,-24.0,-13.6,False,,False,False,,,,,False,,False,True,,False,True,,False,,True,,,False,False
13179,152,140.0,135.1,,113.0,106.0,,,,,192.0,,118.6,139.2,,46.0,132.2,,50.5,,95.7,,,90.0,123.5,-12.0,-16.9,,-39.0,-46.0,,,,,40.0,,-33.4,-12.8,,-106.0,-19.8,,-101.5,,-56.3,,,-62.0,-28.5,False,,False,False,,,,,False,,False,False,,False,False,,False,,False,,,False,False
13181,23,4.0,3.0,,4.0,0.0,,,,,24.0,,3.9,9.8,,0.0,2.6,,0.9,,5.4,,,2.0,7.2,-19.0,-20.0,,-19.0,-23.0,,,,,1.0,,-19.1,-13.2,,-23.0,-20.4,,-22.1,,-17.6,,,-21.0,-15.8,False,,False,False,,,,,True,,False,True,,False,False,,False,,True,,,False,True
13183,25,16.0,28.1,,23.0,29.0,,,,,32.0,,17.4,33.0,,4.4,39.8,,24.3,,16.2,,,26.0,42.9,-9.0,3.1,,-2.0,4.0,,,,,7.0,,-7.6,8.0,,-20.6,14.8,,-0.7,,-8.8,,,1.0,17.9,True,,True,True,,,,,True,,True,True,,False,False,,True,,True,,,True,False
13185,543,356.0,360.2,,282.0,298.0,,,,,427.0,,237.7,164.1,,132.6,311.4,,235.9,,205.4,,,310.0,311.9,-187.0,-182.8,,-261.0,-245.0,,,,,-116.0,,-305.3,-378.9,,-410.4,-231.6,,-307.1,,-337.6,,,-233.0,-231.1,True,,False,False,,,,,True,,False,False,,False,False,,False,,False,,,False,False
13187,124,140.0,160.7,,120.0,176.0,,,,,136.0,,129.1,97.7,,61.6,115.2,,22.6,,243.0,,,75.0,70.0,16.0,36.7,,-4.0,52.0,,,,,12.0,,5.1,-26.3,,-62.4,-8.8,,-101.4,,119.0,,,-49.0,-54.0,False,,True,False,,,,,True,,True,False,,False,True,,False,,False,,,False,False
13189,84,56.0,59.6,,45.0,19.0,,,,,109.0,,42.3,65.5,,7.4,54.7,,52.4,,36.5,,,66.0,38.3,-28.0,-24.4,,-39.0,-65.0,,,,,25.0,,-41.7,-18.5,,-76.6,-29.3,,-31.6,,-47.5,,,-18.0,-45.7,True,,False,False,,,,,True,,False,True,,False,False,,False,,False,,,True,False
13191,20,32.0,37.3,,21.0,2.0,,,,,19.0,,20.0,31.3,,4.9,26.7,,10.4,,26.5,,,24.0,25.2,12.0,17.3,,1.0,-18.0,,,,,-1.0,,0.0,11.3,,-15.1,6.7,,-9.6,,6.5,,,4.0,5.2,False,,True,False,,,,,True,,True,True,,False,True,,True,,True,,,True,True
13193,21,8.0,8.7,,8.0,0.0,,,,,46.0,,9.2,27.0,,1.3,11.5,,7.1,,9.1,,,14.0,6.5,-13.0,-12.3,,-13.0,-21.0,,,,,25.0,,-11.8,6.0,,-19.7,-9.5,,-13.9,,-11.9,,,-7.0,-14.5,True,,False,False,,,,,False,,True,True,,False,True,,False,,True,,,True,False
13195,99,96.0,101.9,,88.0,57.0,,,,,125.0,,93.9,74.2,,24.7,82.0,,29.4,,86.9,,,52.0,90.7,-3.0,2.9,,-11.0,-42.0,,,,,26.0,,-5.1,-24.8,,-74.3,-17.0,,-69.6,,-12.1,,,-47.0,-8.3,True,,False,False,,,,,False,,False,False,,False,False,,False,,False,,,False,False
13197,13,12.0,6.7,,7.0,0.0,,,,,25.0,,6.8,11.1,,0.8,6.0,,3.0,,9.7,,,6.0,9.3,-1.0,-6.3,,-6.0,-13.0,,,,,12.0,,-6.2,-1.9,,-12.2,-7.0,,-10.0,,-3.3,,,-7.0,-3.7,False,,False,False,,,,,False,,False,False,,False,False,,False,,False,,,False,False
13199,45,48.0,47.3,,35.0,28.0,,,,,57.0,,23.3,36.0,,11.3,45.9,,18.8,,44.9,,,32.0,40.1,3.0,2.3,,-10.0,-17.0,,,,,12.0,,-21.7,-9.0,,-33.7,0.9,,-26.2,,-0.1,,,-13.0,-4.9,True,,False,False,,,,,False,,False,False,,False,True,,False,,True,,,False,False
13201,43,76.0,82.1,,53.0,0.0,,,,,24.0,,62.2,15.5,,14.2,64.0,,39.0,,69.1,,,42.0,68.8,33.0,39.1,,10.0,-43.0,,,,,-19.0,,19.2,-27.5,,-28.8,21.0,,-4.0,,26.1,,,-1.0,25.8,False,,True,False,,,,,True,,True,True,,True,True,,True,,True,,,True,True
13205,32,96.0,102.1,,75.0,93.0,,,,,70.0,,82.7,63.5,,11.2,71.8,,52.8,,81.6,,,89.0,354.1,64.0,70.1,,43.0,61.0,,,,,38.0,,50.7,31.5,,-20.8,39.8,,20.8,,49.6,,,57.0,322.1,False,,True,True,,,,,True,,True,True,,True,True,,True,,True,,,True,False
13207,70,80.0,79.8,,66.0,63.0,,,,,86.0,,92.3,60.2,,19.6,65.9,,34.8,,61.3,,,7.0,65.8,10.0,9.8,,-4.0,-7.0,,,,,16.0,,22.3,-9.8,,-50.4,-4.1,,-35.2,,-8.7,,,-63.0,-4.2,True,,True,True,,,,,False,,False,True,,False,True,,False,,True,,,False,True
13209,72,64.0,47.2,,48.0,44.0,,,,,22.0,,60.1,27.6,,22.9,57.4,,38.2,,50.4,,,46.0,86.9,-8.0,-24.8,,-24.0,-28.0,,,,,-50.0,,-11.9,-44.4,,-49.1,-14.6,,-33.8,,-21.6,,,-26.0,14.9,False,,False,False,,,,,False,,False,False,,False,False,,False,,False,,,False,False
13211,51,32.0,37.7,,31.0,1.0,,,,,102.0,,33.0,33.3,,2.5,34.6,,5.0,,50.4,,,21.0,16.1,-19.0,-13.3,,-20.0,-50.0,,,,,51.0,,-18.0,-17.7,,-48.5,-16.4,,-46.0,,-0.6,,,-30.0,-34.9,True,,False,False,,,,,False,,True,True,,False,True,,False,,True,,,False,False
13213,245,104.0,119.3,,101.0,126.0,,,,,184.0,,102.4,59.8,,33.6,102.5,,37.8,,65.5,,,92.0,82.3,-141.0,-125.7,,-144.0,-119.0,,,,,-61.0,,-142.6,-185.2,,-211.4,-142.5,,-207.2,,-179.5,,,-153.0,-162.7,True,,False,True,,,,,True,,False,False,,False,False,,False,,False,,,False,False
13215,320,412.0,403.2,,307.0,269.0,,,,,574.0,,309.8,324.6,,112.0,347.5,,147.8,,293.0,193.0,,372.0,839.8,92.0,83.2,,-13.0,-51.0,,,,,254.0,,-10.2,4.6,,-208.0,27.5,,-172.2,,-27.0,-127.0,,52.0,519.8,True,,True,True,,,,,False,,True,True,,False,True,,False,,True,False,,True,False
13217,291,192.0,190.2,,145.0,146.0,,,,,268.0,,151.4,224.6,,98.5,214.8,,70.8,,133.6,,,130.0,127.5,-99.0,-100.8,,-146.0,-145.0,,,,,-23.0,,-139.6,-66.4,,-192.5,-76.2,,-220.2,,-157.4,,,-161.0,-163.5,False,,False,False,,,,,True,,False,True,,False,True,,False,,False,,,False,False
13219,102,124.0,127.3,,102.0,54.0,,,,,113.0,,121.9,110.6,,47.2,107.8,,11.4,,106.2,,,78.0,202.3,22.0,25.3,,0.0,-48.0,,,,,11.0,,19.9,8.6,,-54.8,5.8,,-90.6,,4.2,,,-24.0,100.3,False,,True,False,,,,,True,,True,True,,False,True,,False,,True,,,False,False
13221,87,52.0,48.0,,46.0,3.0,,,,,57.0,,60.3,36.0,,18.8,58.9,,17.1,,29.6,,,41.0,46.1,-35.0,-39.0,,-41.0,-84.0,,,,,-30.0,,-26.7,-51.0,,-68.2,-28.1,,-69.9,,-57.4,,,-46.0,-40.9,False,,False,False,,,,,True,,True,False,,False,True,,False,,False,,,False,False
13223,391,336.0,372.0,,281.0,444.0,,,,,406.0,,254.1,362.3,,236.7,294.2,,90.6,,289.5,193.0,,195.0,9.4,-55.0,-19.0,,-110.0,53.0,,,,,15.0,,-136.9,-28.7,,-154.3,-96.8,,-300.4,,-101.5,-198.0,,-196.0,-381.6,True,,False,True,,,,,True,,False,True,,False,False,,False,,False,False,,False,False
13225,120,64.0,63.0,,46.0,40.0,,,,,74.0,,39.2,58.6,,11.5,56.6,,35.7,,59.5,,,24.0,34.1,-56.0,-57.0,,-74.0,-80.0,,,,,-46.0,,-80.8,-61.4,,-108.5,-63.4,,-84.3,,-60.5,,,-96.0,-85.9,False,,False,False,,,,,True,,False,False,,False,False,,False,,False,,,False,False
13227,188,40.0,50.4,,38.0,31.0,,,,,119.0,,32.6,56.7,,25.3,67.8,,22.5,,58.8,,,19.0,,-148.0,-137.6,,-150.0,-157.0,,,,,-69.0,,-155.4,-131.3,,-162.7,-120.2,,-165.5,,-129.2,,,-169.0,,True,,False,False,,,,,True,,False,True,,False,True,,False,,True,,,False,
13229,69,68.0,76.0,,50.0,50.0,,,,,48.0,,60.5,43.0,,7.5,48.7,,27.6,,47.6,,,33.0,56.4,-1.0,7.0,,-19.0,-19.0,,,,,-21.0,,-8.5,-26.0,,-61.5,-20.3,,-41.4,,-21.4,,,-36.0,-12.6,False,,False,False,,,,,False,,False,False,,False,False,,False,,False,,,False,False
13231,48,92.0,90.3,,50.0,28.0,,,,,45.0,,104.1,44.0,,20.7,62.0,,15.5,,67.6,,,115.0,45.4,44.0,42.3,,2.0,-20.0,,,,,-3.0,,56.1,-4.0,,-27.3,14.0,,-32.5,,19.6,,,67.0,-2.6,True,,True,True,,,,,True,,False,True,,True,True,,True,,True,,,False,True
13233,234,160.0,179.1,,154.0,198.0,,,,,212.0,,148.9,102.4,,38.1,150.5,,25.6,,168.0,,,141.0,81.2,-74.0,-54.9,,-80.0,-36.0,,,,,-22.0,,-85.1,-131.6,,-195.9,-83.5,,-208.4,,-66.0,,,-93.0,-152.8,True,,False,True,,,,,True,,False,False,,False,False,,False,,True,,,False,False
13235,25,24.0,13.1,,23.0,35.0,,,,,34.0,,21.3,26.9,,2.9,19.9,,3.1,,106.3,,,5.0,211.8,-1.0,-11.9,,-2.0,10.0,,,,,9.0,,-3.7,1.9,,-22.1,-5.1,,-21.9,,81.3,,,-20.0,186.8,False,,False,False,,,,,False,,False,False,,False,False,,False,,False,,,False,False
13237,107,104.0,98.6,,76.0,28.0,,,,,81.0,,70.4,62.1,,44.4,91.7,,104.0,,78.3,,,122.0,54.6,-3.0,-8.4,,-31.0,-79.0,,,,,-26.0,,-36.6,-44.9,,-62.6,-15.3,,-3.0,,-28.7,,,15.0,-52.4,False,,False,False,,,,,False,,False,False,,False,False,,False,,False,,,False,False
13239,8,8.0,7.7,,4.0,0.0,,,,,4.0,,8.3,1.1,,0.1,0.3,,12.5,,6.0,,,19.0,5.0,0.0,-0.3,,-4.0,-8.0,,,,,-4.0,,0.3,-6.9,,-7.9,-7.7,,4.5,,-2.0,,,11.0,-3.0,False,,False,False,,,,,False,,False,False,,False,False,,False,,False,,,False,False
13241,57,160.0,165.2,,102.0,120.0,,,,,53.0,,179.5,38.5,,107.1,77.8,,19.9,,111.9,,,274.0,79.3,103.0,108.2,,45.0,63.0,,,,,-4.0,,122.5,-18.5,,50.1,20.8,,-37.1,,54.9,,,217.0,22.3,False,,True,True,,,,,True,,False,True,,True,True,,True,,True,,,False,True
13243,9,0.0,0.0,,0.0,0.0,,,,,34.0,,0.3,6.8,,0.1,1.2,,1.1,,17.6,,,0.0,1.8,-9.0,-9.0,,-9.0,-9.0,,,,,25.0,,-8.7,-2.2,,-8.9,-7.8,,-7.9,,8.6,,,-9.0,-7.2,False,,False,False,,,,,False,,True,True,,True,True,,True,,True,,,False,True
13245,870,732.0,698.4,,568.0,469.0,,,,,1051.0,,569.2,601.8,,535.4,633.4,,122.7,,640.7,422.0,,499.0,496.1,-138.0,-171.6,,-302.0,-401.0,,,,,181.0,,-300.8,-268.2,,-334.6,-236.6,,-747.3,,-229.3,-448.0,,-371.0,-373.9,False,,False,False,,,,,False,,False,False,,False,False,,False,,False,False,,False,False
13247,277,184.0,187.4,,149.0,146.0,,,,,235.0,,144.7,188.4,,102.7,179.5,,137.5,,151.7,,,153.0,104.2,-93.0,-89.6,,-128.0,-131.0,,,,,-42.0,,-132.3,-88.6,,-174.3,-97.5,,-139.5,,-125.3,,,-124.0,-172.8,True,,False,False,,,,,True,,False,True,,False,False,,False,,False,,,False,False
13249,5,4.0,4.5,,4.0,0.0,,,,,13.0,,3.8,4.6,,0.0,0.6,,2.4,,6.3,,,2.0,4.5,-1.0,-0.5,,-1.0,-5.0,,,,,8.0,,-1.2,-0.4,,-5.0,-4.4,,-2.6,,1.3,,,-3.0,-0.5,True,,False,False,,,,,False,,False,True,,False,False,,False,,False,,,False,True
13251,31,44.0,50.4,,45.0,64.0,,,,,54.0,,46.8,47.3,,14.5,53.0,,11.9,,33.0,,,37.0,118.0,13.0,19.4,,14.0,33.0,,,,,23.0,,15.8,16.3,,-16.5,22.0,,-19.1,,2.0,,,6.0,87.0,False,,False,False,,,,,False,,False,False,,False,False,,False,,True,,,True,False
13253,35,60.0,58.6,,51.0,0.0,,,,,41.0,,54.7,23.4,,13.1,56.8,,1.5,,91.1,,,28.0,69.9,25.0,23.6,,16.0,-35.0,,,,,6.0,,19.7,-11.6,,-21.9,21.8,,-33.5,,56.1,,,-7.0,34.9,True,,True,False,,,,,True,,True,True,,True,True,,False,,False,,,True,False
13255,274,92.0,95.0,,93.0,85.0,,,,,179.0,,104.7,126.4,,59.9,139.6,,80.8,,91.1,,,101.0,102.8,-182.0,-179.0,,-181.0,-189.0,,,,,-95.0,,-169.3,-147.6,,-214.1,-134.4,,-193.2,,-182.9,,,-173.0,-171.2,True,,True,False,,,,,True,,True,True,,False,True,,False,,False,,,True,True
13257,179,228.0,182.2,,204.0,229.0,,,,,163.0,,218.3,104.4,,206.5,219.1,,52.3,,186.4,,,133.0,266.0,49.0,3.2,,25.0,50.0,,,,,-16.0,,39.3,-74.6,,27.5,40.1,,-126.7,,7.4,,,-46.0,87.0,True,,True,False,,,,,True,,True,False,,True,True,,False,,True,,,True,False
13259,51,8.0,9.1,,6.0,0.0,,,,,16.0,,5.3,18.6,,0.3,16.2,,1.2,,11.3,,,0.0,87.3,-43.0,-41.9,,-45.0,-51.0,,,,,-35.0,,-45.7,-32.4,,-50.7,-34.8,,-49.8,,-39.7,,,-51.0,36.3,True,,False,False,,,,,True,,False,True,,False,True,,False,,True,,,False,True
13261,26,48.0,50.3,,39.0,19.0,,,,,84.0,,38.9,57.7,,10.2,38.9,,18.3,,53.5,,,25.0,20.4,22.0,24.3,,13.0,-7.0,,,,,58.0,,12.9,31.7,,-15.8,12.9,,-7.7,,27.5,,,-1.0,-5.6,False,,True,True,,,,,False,,True,False,,True,True,,True,,False,,,True,True
13263,11,0.0,3.9,,1.0,0.0,,,,,18.0,,1.6,5.1,,0.8,2.3,,1.1,,3.4,,,6.0,13.9,-11.0,-7.1,,-10.0,-11.0,,,,,7.0,,-9.4,-5.9,,-10.2,-8.7,,-9.9,,-7.6,,,-5.0,2.9,True,,True,False,,,,,True,,True,True,,True,True,,True,,True,,,True,True
13265,8,4.0,3.6,,2.0,0.0,,,,,6.0,,0.5,1.4,,0.1,0.0,,3.5,,,,,4.0,4.3,-4.0,-4.4,,-6.0,-8.0,,,,,-2.0,,-7.5,-6.6,,-7.9,-8.0,,-4.5,,,,,-4.0,-3.7,False,,False,False,,,,,True,,False,False,,False,False,,False,,,,,False,True
13267,106,64.0,76.5,,69.0,99.0,,,,,109.0,,78.0,56.1,,25.8,74.6,,12.8,,56.5,,,71.0,110.0,-42.0,-29.5,,-37.0,-7.0,,,,,3.0,,-28.0,-49.9,,-80.2,-31.4,,-93.2,,-49.5,,,-35.0,4.0,True,,True,True,,,,,True,,True,False,,False,True,,False,,False,,,True,True
13269,21,36.0,41.2,,26.0,28.0,,,,,26.0,,25.4,20.1,,2.7,23.6,,27.5,,39.8,,,13.0,15.1,15.0,20.2,,5.0,7.0,,,,,5.0,,4.4,-0.9,,-18.3,2.6,,6.5,,18.8,,,-8.0,-5.9,False,,True,True,,,,,True,,True,True,,False,True,,True,,False,,,True,True
13271,118,48.0,45.9,,33.0,23.0,,,,,49.0,,42.3,21.2,,8.3,29.9,,34.0,,30.9,,,34.0,25.0,-70.0,-72.1,,-85.0,-95.0,,,,,-69.0,,-75.7,-96.8,,-109.7,-88.1,,-84.0,,-87.1,,,-84.0,-93.0,False,,False,False,,,,,True,,False,False,,False,False,,False,,False,,,False,False
13273,13,4.0,5.4,,4.0,0.0,,,,,31.0,,0.6,8.4,,1.3,3.8,,0.0,,10.1,,,7.0,4.2,-9.0,-7.6,,-9.0,-13.0,,,,,18.0,,-12.4,-4.6,,-11.7,-9.2,,-13.0,,-2.9,,,-6.0,-8.8,True,,False,False,,,,,False,,False,True,,False,False,,False,,True,,,True,True
13275,114,68.0,32.1,,53.0,58.0,,,,,156.0,,48.5,71.3,,15.2,65.8,,34.1,,80.3,,,51.0,59.7,-46.0,-81.9,,-61.0,-56.0,,,,,42.0,,-65.5,-42.7,,-98.8,-48.2,,-79.9,,-33.7,,,-63.0,-54.3,False,,False,False,,,,,True,,False,True,,False,False,,False,,True,,,False,False
13277,159,204.0,194.4,,167.0,205.0,,,,,136.0,,182.8,78.8,,72.0,168.9,,44.1,,94.9,,,201.0,290.9,45.0,35.4,,8.0,46.0,,,,,-23.0,,23.8,-80.2,,-87.0,9.9,,-114.9,,-64.1,,,42.0,131.9,True,,True,False,,,,,True,,True,False,,False,True,,False,,False,,,True,False
13279,159,132.0,132.3,,105.0,105.0,,,,,130.0,,120.9,83.4,,38.1,109.9,,49.7,,101.0,,,138.0,19.6,-27.0,-26.7,,-54.0,-54.0,,,,,-29.0,,-38.1,-75.6,,-120.9,-49.1,,-109.3,,-58.0,,,-21.0,-139.4,True,,False,False,,,,,False,,False,False,,False,False,,False,,False,,,True,False
13281,108,76.0,68.4,,64.0,67.0,,,,,31.0,,81.5,42.5,,38.8,73.2,,23.0,,60.6,,,60.0,438.4,-32.0,-39.6,,-44.0,-41.0,,,,,-77.0,,-26.5,-65.5,,-69.2,-34.8,,-85.0,,-47.4,,,-48.0,330.4,False,,False,False,,,,,False,,True,False,,False,False,,False,,False,,,False,False
13283,58,24.0,20.2,,20.0,5.0,,,,,27.0,,25.7,16.0,,4.4,23.9,,3.8,,27.0,,,26.0,12.1,-34.0,-37.8,,-38.0,-53.0,,,,,-31.0,,-32.3,-42.0,,-53.6,-34.1,,-54.2,,-31.0,,,-32.0,-45.9,False,,False,False,,,,,True,,True,False,,False,False,,False,,True,,,True,False
13285,237,180.0,178.7,,133.0,148.0,,,,,220.0,,133.7,102.7,,70.2,159.8,,86.0,,81.2,,,59.0,102.3,-57.0,-58.3,,-104.0,-89.0,,,,,-17.0,,-103.3,-134.3,,-166.8,-77.2,,-151.0,,-155.8,,,-178.0,-134.7,False,,False,False,,,,,True,,False,False,,False,False,,False,,False,,,False,False
13287,22,60.0,61.6,,31.0,0.0,,,,,19.0,,41.0,16.9,,12.4,37.8,,13.3,,41.5,,,95.0,41.3,38.0,39.6,,9.0,-22.0,,,,,-3.0,,19.0,-5.1,,-9.6,15.8,,-8.7,,19.5,,,73.0,19.3,False,,True,True,,,,,True,,True,True,,True,True,,True,,True,,,False,True
13289,23,48.0,48.3,,30.0,35.0,,,,,27.0,,42.0,16.0,,5.1,22.2,,5.3,,59.2,,,48.0,22.2,25.0,25.3,,7.0,12.0,,,,,4.0,,19.0,-7.0,,-17.9,-0.8,,-17.7,,36.2,,,25.0,-0.8,False,,True,True,,,,,True,,True,True,,True,True,,True,,False,,,False,True
