,actual_cases,COVIDhub-baseline,BPagano-RtDriven,CEID-Walk,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,IBF-TimeSeries,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MSRA-DeepST,OliverWyman-Navigator,QJHong-Encounter,RobertWalraven-ESG,TTU-squider,UCLA-SuEIR,UMich-RidgeTfReg,USC-SI_kJalpha,error-COVIDhub-baseline,error-BPagano-RtDriven,error-CEID-Walk,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MSRA-DeepST,error-OliverWyman-Navigator,error-QJHong-Encounter,error-RobertWalraven-ESG,error-TTU-squider,error-UCLA-SuEIR,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MSRA-DeepST,beat_baseline-OliverWyman-Navigator,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-TTU-squider,beat_baseline-UCLA-SuEIR,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha
Rhode Island,5183,2794.0,6555.8,2836.2,2496.0,2840.0,,2294.4,718.0,13988.1,,3034.0,2212.7,2391.8,2527.5,2605.8,3365.8,1399.5,2487.9,3536.6,3564.0,,4261.9,1843.8,2091.4,2090.7,3040.0,-2389.0,1372.8,-2346.8,-2687.0,-2343.0,,-2888.6,-4465.0,8805.1,,-2149.0,-2970.3,-2791.2,-2655.5,-2577.2,-1817.2,-3783.5,-2695.1,-1646.4,-1619.0,,-921.1,-3339.2,-3091.6,-3092.3,-2143.0,True,True,False,True,,False,False,False,,True,False,False,False,False,True,False,False,True,True,,True,False,False,False,True
South Carolina,13398,13186.0,12102.6,12640.9,12079.0,15332.0,,11818.5,5637.0,14190.0,,10965.0,13889.8,11305.3,13992.3,4640.9,12209.5,10900.1,13165.4,15736.6,15658.0,,13817.9,10373.8,9689.1,13020.1,12844.0,-212.0,-1295.4,-757.1,-1319.0,1934.0,,-1579.5,-7761.0,792.0,,-2433.0,491.8,-2092.7,594.3,-8757.1,-1188.5,-2497.9,-232.6,2338.6,2260.0,,419.9,-3024.2,-3708.9,-377.9,-554.0,False,False,False,False,,False,False,False,,False,False,False,False,False,False,False,False,False,False,,False,False,False,False,False
South Dakota,13381,9328.0,8329.6,9403.0,9110.0,8818.0,,8830.7,5777.0,11738.7,,9110.0,9861.0,13833.7,9115.1,1695.0,11510.7,9324.0,10143.4,9628.8,12728.0,,10740.6,7001.3,6373.6,12290.6,8449.0,-4053.0,-5051.4,-3978.0,-4271.0,-4563.0,,-4550.3,-7604.0,-1642.3,,-4271.0,-3520.0,452.7,-4265.9,-11686.0,-1870.3,-4057.0,-3237.6,-3752.2,-653.0,,-2640.4,-6379.7,-7007.4,-1090.4,-4932.0,False,True,False,False,,False,False,True,,False,True,True,False,False,True,False,True,True,True,,True,False,False,True,False
Tennessee,34533,26980.0,22988.4,27175.0,25959.0,26530.0,,27113.4,13803.0,30981.4,,20146.0,26850.0,29143.7,23451.3,11099.2,17825.1,28427.2,32264.6,25670.0,34260.0,,29466.3,4966.4,19800.3,26026.4,25973.0,-7553.0,-11544.6,-7358.0,-8574.0,-8003.0,,-7419.6,-20730.0,-3551.6,,-14387.0,-7683.0,-5389.3,-11081.7,-23433.8,-16707.9,-6105.8,-2268.4,-8863.0,-273.0,,-5066.7,-29566.6,-14732.7,-8506.6,-8560.0,False,True,False,False,,True,False,True,,False,False,True,False,False,False,True,True,False,True,,True,False,False,False,False
Texas,85918,65054.0,58982.5,58589.3,59956.0,79878.0,,54515.2,28107.0,81183.9,,65842.0,68069.6,57950.9,67868.3,48698.7,81707.6,63733.6,80109.2,59452.7,76639.0,,70507.1,37941.7,50837.8,65741.1,59304.0,-20864.0,-26935.5,-27328.7,-25962.0,-6040.0,,-31402.8,-57811.0,-4734.1,,-20076.0,-17848.4,-27967.1,-18049.7,-37219.3,-4210.4,-22184.4,-5808.8,-26465.3,-9279.0,,-15410.9,-47976.3,-35080.2,-20176.9,-26614.0,False,False,False,True,,False,False,True,,True,True,False,True,False,True,False,True,False,True,,True,False,False,True,False
Utah,21359,17306.0,7088.0,17251.1,14029.0,13838.0,,16920.1,7212.0,21633.7,,14323.0,19665.0,13614.0,15187.2,6911.9,20331.9,14724.8,17307.8,17588.4,21184.0,,13885.8,6696.6,10947.7,16908.0,15742.0,-4053.0,-14271.0,-4107.9,-7330.0,-7521.0,,-4438.9,-14147.0,274.7,,-7036.0,-1694.0,-7745.0,-6171.8,-14447.1,-1027.1,-6634.2,-4051.2,-3770.6,-175.0,,-7473.2,-14662.4,-10411.3,-4451.0,-5617.0,False,False,False,False,,False,False,True,,False,True,False,False,False,True,False,True,True,True,,False,False,False,False,False
Vermont,253,138.0,45.0,131.9,138.0,187.0,,95.5,17.0,141.0,,143.0,109.7,340.5,212.9,246.2,208.8,116.3,154.9,331.6,207.0,,160.0,75.2,113.8,89.4,160.0,-115.0,-208.0,-121.1,-115.0,-66.0,,-157.5,-236.0,-112.0,,-110.0,-143.3,87.5,-40.1,-6.8,-44.2,-136.7,-98.1,78.6,-46.0,,-93.0,-177.8,-139.2,-163.6,-93.0,False,False,False,True,,False,False,True,,True,False,True,True,True,True,False,True,True,True,,True,False,False,False,True
Virginia,15952,14372.0,16349.1,14682.6,14683.0,15509.0,,14484.1,5026.0,16111.2,,12091.0,14590.1,16447.0,15994.7,12389.4,16162.7,11425.3,15054.3,15756.8,19299.0,,16756.8,11703.3,10750.4,13673.5,15186.0,-1580.0,397.1,-1269.4,-1269.0,-443.0,,-1467.9,-10926.0,159.2,,-3861.0,-1361.9,495.0,42.7,-3562.6,210.7,-4526.7,-897.7,-195.2,3347.0,,804.8,-4248.7,-5201.6,-2278.5,-766.0,True,True,True,True,,True,False,True,,False,True,True,True,False,True,False,True,True,False,,True,False,False,False,True
Washington,10703,9272.0,12506.0,9430.6,9240.0,11329.0,,6498.2,2858.0,8033.4,,6946.0,8290.0,8202.2,9845.1,8787.1,10046.3,7222.7,10569.7,9975.1,11558.0,,9624.8,3564.4,7487.4,8586.1,9652.0,-1431.0,1803.0,-1272.4,-1463.0,626.0,,-4204.8,-7845.0,-2669.6,,-3757.0,-2413.0,-2500.8,-857.9,-1915.9,-656.7,-3480.3,-133.3,-727.9,855.0,,-1078.2,-7138.6,-3215.6,-2116.9,-1051.0,False,True,False,True,,False,False,False,,False,False,False,True,False,True,False,True,True,True,,True,False,False,False,True
West Virginia,4655,3756.0,4039.1,3805.9,3756.0,4758.0,,3216.1,2106.0,4499.9,,2447.0,3621.8,5353.2,4582.9,2896.5,2896.8,3681.3,4314.4,,5079.0,,4044.7,4128.8,2907.0,3936.8,3863.0,-899.0,-615.9,-849.1,-899.0,103.0,,-1438.9,-2549.0,-155.1,,-2208.0,-1033.2,698.2,-72.1,-1758.5,-1758.2,-973.7,-340.6,,424.0,,-610.3,-526.2,-1748.0,-718.2,-792.0,True,True,False,True,,False,False,True,,False,False,True,True,False,False,False,True,,True,,True,True,False,True,True
Wisconsin,71683,37252.0,41410.9,37372.1,36980.0,40462.0,,37464.4,26208.0,41259.4,,32628.0,47554.9,51004.0,45588.2,19132.9,43855.4,9934.3,28167.4,,43061.0,,36417.3,19728.1,34747.9,36037.0,32200.0,-34431.0,-30272.1,-34310.9,-34703.0,-31221.0,,-34218.6,-45475.0,-30423.6,,-39055.0,-24128.1,-20679.0,-26094.8,-52550.1,-27827.6,-61748.7,-43515.6,,-28622.0,,-35265.7,-51954.9,-36935.1,-35646.0,-39483.0,True,True,False,True,,True,False,True,,False,True,True,True,False,True,False,False,,True,,False,False,False,False,False
Wyoming,4482,2722.0,2686.0,2728.1,2722.0,2525.0,,2292.8,1508.0,3444.6,,2463.0,2877.2,4487.6,3276.5,1027.9,3582.3,2661.4,2894.2,,3718.0,,2989.2,1599.0,2096.0,3741.3,2539.0,-1760.0,-1796.0,-1753.9,-1760.0,-1957.0,,-2189.2,-2974.0,-1037.4,,-2019.0,-1604.8,5.6,-1205.5,-3454.1,-899.7,-1820.6,-1587.8,,-764.0,,-1492.8,-2883.0,-2386.0,-740.7,-1943.0,False,True,False,False,,False,False,True,,False,True,True,True,False,True,False,True,,True,,True,False,False,True,False
US,1041902,776904.0,889602.0,778736.2,777290.0,870134.0,827975.7,656019.6,375850.0,900187.5,783658.0,653139.0,759983.7,760748.4,,551713.4,886692.8,581790.1,881146.0,694679.6,969589.0,892860.2,860695.0,354944.1,643355.3,854150.1,793804.0,-264998.0,-152300.0,-263165.8,-264612.0,-171768.0,-213926.3,-385882.4,-666052.0,-141714.5,-258244.0,-388763.0,-281918.3,-281153.6,,-490188.6,-155209.2,-460111.9,-160756.0,-347222.4,-72313.0,-149041.8,-181207.0,-686957.9,-398546.7,-187751.9,-248098.0,True,True,True,True,True,False,False,True,True,False,False,False,,False,True,False,True,False,True,True,True,False,False,True,True
