,actual_cases,COVIDhub-baseline,BPagano-RtDriven,CEID-Walk,CMU-TimeSeries,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,Geneva-DetGrowth,Google_Harvard-CPF,IBF-TimeSeries,IQVIA_ACOE-STAN,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,JHU_UNC_GAS-StatMechPool,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MITCovAlliance-SIR,OliverWyman-Navigator,PandemicCentral-USCounty,QJHong-Encounter,RobertWalraven-ESG,TTU-squider,UCLA-SuEIR,UMass-MechBayes,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,UVA-Ensemble,error-COVIDhub-baseline,error-BPagano-RtDriven,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-Geneva-DetGrowth,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IQVIA_ACOE-STAN,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-JHU_UNC_GAS-StatMechPool,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MITCovAlliance-SIR,error-OliverWyman-Navigator,error-PandemicCentral-USCounty,error-QJHong-Encounter,error-RobertWalraven-ESG,error-TTU-squider,error-UCLA-SuEIR,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,error-UVA-Ensemble,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-Geneva-DetGrowth,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IQVIA_ACOE-STAN,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-JHU_UNC_GAS-StatMechPool,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MITCovAlliance-SIR,beat_baseline-OliverWyman-Navigator,beat_baseline-PandemicCentral-USCounty,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-TTU-squider,beat_baseline-UCLA-SuEIR,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-UVA-Ensemble
12077,7,9.0,,8.8,,6.0,,,,,,,4.9,,,10.0,,10.9,,4.5,,,0.5,3.5,0.0,6.0,,,,,,,,,0.0,15.0,2.0,,1.8,,-1.0,,,,,,,-2.1,,,3.0,,3.9,,-2.5,,,-6.5,-3.5,-7.0,-1.0,,,,,,,,,-7.0,8.0,,True,,True,,,,,,,False,,,False,,False,,False,,,False,False,False,True,,,,,,,,,False,False
12079,11,19.0,,19.2,,14.0,2.0,,,,,,12.8,,,16.0,,28.3,,7.5,,,4.3,11.9,0.0,20.0,13.0,,,,20.0,,,,14.0,11.9,8.0,,8.2,,3.0,-9.0,,,,,,1.8,,,5.0,,17.3,,-3.5,,,-6.7,0.9,-11.0,9.0,2.0,,,,9.0,,,,3.0,0.9,,False,,True,False,,,,,,True,,,True,,False,,True,,,True,True,False,False,True,,,,False,,,,True,True
12081,533,442.0,,440.0,462.9,393.0,428.0,,,,,,496.6,,,350.0,,364.4,,367.1,402.5,,344.4,437.9,10.2,498.0,350.0,,,,342.8,422.0,,,466.0,318.6,-91.0,,-93.0,-70.1,-140.0,-105.0,,,,,,-36.4,,,-183.0,,-168.6,,-165.9,-130.5,,-188.6,-95.1,-522.8,-35.0,-183.0,,,,-190.2,-111.0,,,-67.0,-214.4,,False,True,False,False,,,,,,True,,,False,,False,,False,False,,False,False,False,True,False,,,,False,False,,,True,False
12083,248,262.0,,254.6,329.2,246.0,291.0,,,,,,289.9,,,355.0,,229.4,,326.4,264.0,,181.0,250.8,2.4,296.0,87.0,,,,239.9,220.0,,,293.0,,14.0,,6.6,81.2,-2.0,43.0,,,,,,41.9,,,107.0,,-18.6,,78.4,16.0,,-67.0,2.8,-245.6,48.0,-161.0,,,,-8.1,-28.0,,,45.0,,,True,False,True,False,,,,,,False,,,False,,False,,False,False,,False,True,False,False,False,,,,True,False,,,False,
12085,131,107.0,,108.0,,105.0,118.0,,,,,,132.8,,,81.0,,89.2,,74.9,96.0,,79.9,112.9,2.1,141.0,72.0,,,,105.2,120.0,,,103.0,,-24.0,,-23.0,,-26.0,-13.0,,,,,,1.8,,,-50.0,,-41.8,,-56.1,-35.0,,-51.1,-18.1,-128.9,10.0,-59.0,,,,-25.8,-11.0,,,-28.0,,,True,,False,True,,,,,,True,,,False,,False,,False,False,,False,True,False,True,False,,,,False,True,,,False,
12086,4258,3740.0,,3644.1,4018.7,3611.0,3718.0,,,,,,3836.4,,,11294.0,,2676.7,,1914.8,3122.0,,2895.8,3610.6,,3703.0,3170.0,,,,3224.4,3316.0,,,0.0,,-518.0,,-613.9,-239.3,-647.0,-540.0,,,,,,-421.6,,,7036.0,,-1581.3,,-2343.2,-1136.0,,-1362.2,-647.4,,-555.0,-1088.0,,,,-1033.6,-942.0,,,-4258.0,,,False,True,False,False,,,,,,True,,,False,,False,,False,False,,False,False,,False,False,,,,False,False,,,False,
12087,126,140.0,,146.2,,119.0,188.0,,,,,,137.0,,,110.0,,126.1,,40.3,,,87.5,118.4,1.0,176.0,87.0,,,,118.4,,,,112.0,,14.0,,20.2,,-7.0,62.0,,,,,,11.0,,,-16.0,,0.1,,-85.7,,,-38.5,-7.6,-125.0,50.0,-39.0,,,,-7.6,,,,-14.0,,,False,,True,False,,,,,,True,,,False,,True,,False,,,False,True,False,False,False,,,,True,,,,False,
12089,79,84.0,,89.8,,71.0,78.0,,,,,,104.2,,,62.0,,62.4,,66.2,84.5,,68.8,85.2,0.6,92.0,133.0,,,,73.7,,,,59.0,,5.0,,10.8,,-8.0,-1.0,,,,,,25.2,,,-17.0,,-16.6,,-12.8,5.5,,-10.2,6.2,-78.4,13.0,54.0,,,,-5.3,,,,-20.0,,,False,,False,True,,,,,,False,,,False,,False,,False,False,,False,False,False,False,False,,,,False,,,,False,
12091,401,342.0,,346.0,,330.0,330.0,,,,,,322.4,,,296.0,,304.1,,148.0,339.0,,343.2,372.9,11.8,452.0,50.0,,,,260.6,380.0,,,353.0,,-59.0,,-55.0,,-71.0,-71.0,,,,,,-78.6,,,-105.0,,-96.9,,-253.0,-62.0,,-57.8,-28.1,-389.2,51.0,-351.0,,,,-140.4,-21.0,,,-48.0,,,True,,False,False,,,,,,False,,,False,,False,,False,False,,True,True,False,True,False,,,,False,True,,,True,
12093,39,48.0,,45.8,,38.0,35.0,,,,,,78.2,,,39.0,,40.5,,28.0,37.0,,17.6,37.1,0.0,43.0,31.0,,,,49.6,,,,27.0,,9.0,,6.8,,-1.0,-4.0,,,,,,39.2,,,0.0,,1.5,,-11.0,-2.0,,-21.4,-1.9,-39.0,4.0,-8.0,,,,10.6,,,,-12.0,,,True,,True,True,,,,,,False,,,True,,True,,False,True,,False,True,False,True,True,,,,False,,,,False,
12095,1513,1619.0,,1593.1,1770.7,1411.0,1612.0,,,,,,1767.0,,,1394.0,,1352.4,,1194.4,1417.5,,1272.7,1578.7,152.7,1728.0,348.0,,,,1340.2,1428.0,,,1663.0,1752.5,106.0,,80.1,257.7,-102.0,99.0,,,,,,254.0,,,-119.0,,-160.6,,-318.6,-95.5,,-240.3,65.7,-1360.3,215.0,-1165.0,,,,-172.8,-85.0,,,150.0,239.5,,True,False,True,True,,,,,,False,,,False,,False,,False,True,,False,True,False,False,False,,,,False,True,,,False,False
12097,435,416.0,,414.0,421.4,410.0,440.0,,,,,,446.2,,,382.0,,333.2,,263.9,368.5,,405.7,458.0,88.8,430.0,453.0,,,,358.6,433.0,,,406.0,,-19.0,,-21.0,-13.6,-25.0,5.0,,,,,,11.2,,,-53.0,,-101.8,,-171.1,-66.5,,-29.3,23.0,-346.2,-5.0,18.0,,,,-76.4,-2.0,,,-29.0,,,False,True,False,True,,,,,,True,,,False,,False,,False,False,,False,False,False,True,True,,,,False,True,,,False,
12099,2131,1446.0,,1506.9,1437.0,1442.0,1708.0,,,,,,1613.9,,,1191.0,,870.4,,868.8,1150.5,,1446.3,1579.8,76.7,1435.0,1909.0,,,,1285.1,1801.0,,,1356.0,,-685.0,,-624.1,-694.0,-689.0,-423.0,,,,,,-517.1,,,-940.0,,-1260.6,,-1262.2,-980.5,,-684.7,-551.2,-2054.3,-696.0,-222.0,,,,-845.9,-330.0,,,-775.0,,,True,False,False,True,,,,,,True,,,False,,False,,False,False,,True,True,False,False,True,,,,False,True,,,False,
12101,433,370.0,,361.3,408.2,366.0,326.0,,,,,,408.6,,,496.0,,294.4,,402.3,362.5,,377.9,418.8,20.2,421.0,504.0,,,,287.3,462.0,,,344.0,,-63.0,,-71.7,-24.8,-67.0,-107.0,,,,,,-24.4,,,63.0,,-138.6,,-30.7,-70.5,,-55.1,-14.2,-412.8,-12.0,71.0,,,,-145.7,29.0,,,-89.0,,,False,True,False,False,,,,,,True,,,False,,False,,True,False,,True,True,False,True,False,,,,False,True,,,False,
12103,1000,1004.0,,1035.9,1111.9,974.0,955.0,,,,,,1165.5,,,901.0,,832.2,,581.5,907.5,,993.7,1124.0,69.9,1174.0,956.0,,,,801.5,1175.0,,,1079.0,557.1,4.0,,35.9,111.9,-26.0,-45.0,,,,,,165.5,,,-99.0,,-167.8,,-418.5,-92.5,,-6.3,124.0,-930.1,174.0,-44.0,,,,-198.5,175.0,,,79.0,-442.9,,False,False,False,False,,,,,,False,,,False,,False,,False,False,,False,False,False,False,False,,,,False,False,,,False,False
12105,683,768.0,,798.4,834.6,743.0,789.0,,,,,,915.5,,,824.0,,619.4,,443.5,701.0,,635.8,718.4,25.0,786.0,72.0,,,,695.2,787.0,,,724.0,,85.0,,115.4,151.6,60.0,106.0,,,,,,232.5,,,141.0,,-63.6,,-239.5,18.0,,-47.2,35.4,-658.0,103.0,-611.0,,,,12.2,104.0,,,41.0,,,False,False,True,False,,,,,,False,,,False,,True,,False,True,,True,True,False,False,False,,,,True,False,,,True,
12107,54,86.0,,87.5,,74.0,83.0,,,,,,115.8,,,72.0,,65.3,,40.4,69.0,,63.2,76.3,0.1,91.0,77.0,,,,75.9,,,,105.0,,32.0,,33.5,,20.0,29.0,,,,,,61.8,,,18.0,,11.3,,-13.6,15.0,,9.2,22.3,-53.9,37.0,23.0,,,,21.9,,,,51.0,,,False,,True,True,,,,,,False,,,True,,True,,True,True,,True,True,False,False,True,,,,True,,,,False,
12109,363,292.0,,277.6,,278.0,320.0,,,,,,231.3,,,179.0,,254.6,,186.3,269.5,,289.0,323.1,28.4,329.0,,,,,233.7,336.0,,,298.0,,-71.0,,-85.4,,-85.0,-43.0,,,,,,-131.7,,,-184.0,,-108.4,,-176.7,-93.5,,-74.0,-39.9,-334.6,-34.0,,,,,-129.3,-27.0,,,-65.0,,,False,,False,True,,,,,,False,,,False,,False,,False,False,,False,True,False,True,,,,,False,True,,,True,
12111,272,295.0,,293.6,324.8,285.0,383.0,,,,,,308.9,,,224.0,,226.4,,186.2,237.0,,252.4,306.3,4.4,286.0,,,,,275.8,323.0,,,298.0,,23.0,,21.6,52.8,13.0,111.0,,,,,,36.9,,,-48.0,,-45.6,,-85.8,-35.0,,-19.6,34.3,-267.6,14.0,,,,,3.8,51.0,,,26.0,,,True,False,True,False,,,,,,False,,,False,,False,,False,False,,True,False,False,True,,,,,True,False,,,False,
12113,145,144.0,,143.1,,140.0,140.0,,,,,,166.5,,,319.0,,123.0,,97.7,150.5,,117.2,150.1,3.8,174.0,1.0,,,,116.7,143.0,,,134.0,191.1,-1.0,,-1.9,,-5.0,-5.0,,,,,,21.5,,,174.0,,-22.0,,-47.3,5.5,,-27.8,5.1,-141.2,29.0,-144.0,,,,-28.3,-2.0,,,-11.0,46.1,,False,,False,False,,,,,,False,,,False,,False,,False,False,,False,False,False,False,False,,,,False,False,,,False,False
12115,405,371.0,,356.1,425.7,345.0,365.0,,,,,,405.1,,,329.0,,334.7,,268.1,364.0,,340.2,411.0,205.2,421.0,60.0,,,,299.7,349.0,,,364.0,,-34.0,,-48.9,20.7,-60.0,-40.0,,,,,,0.1,,,-76.0,,-70.3,,-136.9,-41.0,,-64.8,6.0,-199.8,16.0,-345.0,,,,-105.3,-56.0,,,-41.0,,,False,True,False,False,,,,,,True,,,False,,False,,False,False,,False,True,False,True,False,,,,False,False,,,False,
12117,402,335.0,,348.8,369.1,329.0,358.0,,,,,,379.7,,,344.0,,266.3,,228.1,283.0,,276.3,332.9,30.5,354.0,344.0,,,,278.5,325.0,,,324.0,,-67.0,,-53.2,-32.9,-73.0,-44.0,,,,,,-22.3,,,-58.0,,-135.7,,-173.9,-119.0,,-125.7,-69.1,-371.5,-48.0,-58.0,,,,-123.5,-77.0,,,-78.0,,,True,True,False,True,,,,,,True,,,True,,False,,False,False,,False,False,False,True,True,,,,False,False,,,False,
12119,101,102.0,,84.5,,83.0,64.0,,,,,,85.0,,,132.0,,82.7,,79.6,120.5,,70.8,85.5,27.5,127.0,138.0,,,,90.4,71.0,,,73.0,185.2,1.0,,-16.5,,-18.0,-37.0,,,,,,-16.0,,,31.0,,-18.3,,-21.4,19.5,,-30.2,-15.5,-73.5,26.0,37.0,,,,-10.6,-30.0,,,-28.0,84.2,,False,,False,False,,,,,,False,,,False,,False,,False,False,,False,False,False,False,False,,,,False,False,,,False,False
12121,48,51.0,,38.2,,42.0,42.0,,,,,,80.6,,,44.0,,71.5,,35.9,62.0,,26.5,52.7,0.3,79.0,26.0,,,,42.2,,,,0.0,88.4,3.0,,-9.8,,-6.0,-6.0,,,,,,32.6,,,-4.0,,23.5,,-12.1,14.0,,-21.5,4.7,-47.7,31.0,-22.0,,,,-5.8,,,,-48.0,40.4,,False,,False,False,,,,,,False,,,False,,False,,False,False,,False,False,False,False,False,,,,False,,,,False,False
12123,42,28.0,,29.9,,25.0,0.0,,,,,,47.9,,,23.0,,31.7,,24.2,,,12.6,27.0,0.0,32.0,0.0,,,,28.1,,,,0.0,55.8,-14.0,,-12.1,,-17.0,-42.0,,,,,,5.9,,,-19.0,,-10.3,,-17.8,,,-29.4,-15.0,-42.0,-10.0,-42.0,,,,-13.9,,,,-42.0,13.8,,True,,False,False,,,,,,True,,,False,,True,,False,,,False,False,False,True,False,,,,True,,,,False,True
12125,22,40.0,,42.4,,23.0,9.0,,,,,,49.9,,,20.0,,38.6,,19.9,,,13.7,26.9,0.1,54.0,0.0,,,,41.7,,,,0.0,,18.0,,20.4,,1.0,-13.0,,,,,,27.9,,,-2.0,,16.6,,-2.1,,,-8.3,4.9,-21.9,32.0,-22.0,,,,19.7,,,,-22.0,,,False,,True,True,,,,,,False,,,True,,True,,True,,,True,True,False,False,False,,,,False,,,,False,
12127,528,496.0,,488.3,456.9,469.0,481.0,,,,,,612.3,,,511.0,,364.5,,311.7,448.0,,493.9,555.0,13.4,550.0,326.0,,,,397.8,407.0,,,264.0,,-32.0,,-39.7,-71.1,-59.0,-47.0,,,,,,84.3,,,-17.0,,-163.5,,-216.3,-80.0,,-34.1,27.0,-514.6,22.0,-202.0,,,,-130.2,-121.0,,,-264.0,,,False,False,False,False,,,,,,False,,,True,,False,,False,False,,False,True,False,True,False,,,,False,False,,,False,
12129,28,56.0,,59.5,,49.0,51.0,,,,,,67.5,,,22.0,,60.1,,17.7,47.0,,21.5,46.8,0.0,73.0,19.0,,,,53.7,,,,66.0,48.2,28.0,,31.5,,21.0,23.0,,,,,,39.5,,,-6.0,,32.1,,-10.3,19.0,,-6.5,18.8,-28.0,45.0,-9.0,,,,25.7,,,,38.0,20.2,,False,,True,True,,,,,,False,,,True,,False,,True,True,,True,True,True,False,True,,,,True,,,,False,True
12131,149,141.0,,137.7,,131.0,191.0,,,,,,120.2,,,73.0,,138.7,,33.4,112.5,,79.4,128.4,3.6,166.0,75.0,,,,133.0,,,,128.0,,-8.0,,-11.3,,-18.0,42.0,,,,,,-28.8,,,-76.0,,-10.3,,-115.6,-36.5,,-69.6,-20.6,-145.4,17.0,-74.0,,,,-16.0,,,,-21.0,,,False,,False,False,,,,,,False,,,False,,False,,False,False,,False,False,False,False,False,,,,False,,,,False,
12133,39,47.0,,47.9,,41.0,0.0,,,,,,53.2,,,37.0,,60.1,,14.0,,,25.7,46.1,0.0,71.0,14.0,,,,45.3,,,,68.0,45.3,8.0,,8.9,,2.0,-39.0,,,,,,14.2,,,-2.0,,21.1,,-25.0,,,-13.3,7.1,-39.0,32.0,-25.0,,,,6.3,,,,29.0,6.3,,False,,True,False,,,,,,False,,,True,,False,,False,,,False,True,False,False,False,,,,True,,,,False,True
13001,21,32.0,,29.7,,27.0,7.0,,,,,,39.3,,,32.0,,29.9,,20.0,,,10.4,24.1,0.0,32.0,42.0,,,,32.3,,,,0.0,38.7,11.0,,8.7,,6.0,-14.0,,,,,,18.3,,,11.0,,8.9,,-1.0,,,-10.6,3.1,-21.0,11.0,21.0,,,,11.3,,,,-21.0,17.7,,True,,True,False,,,,,,False,,,False,,True,,True,,,True,True,False,False,False,,,,False,,,,False,False
13003,6,9.0,,9.6,,6.0,0.0,,,,,,11.2,,,6.0,,5.7,,4.5,,,2.9,9.1,0.0,11.0,,,,,,,,,1.0,7.5,3.0,,3.6,,0.0,-6.0,,,,,,5.2,,,0.0,,-0.3,,-1.5,,,-3.1,3.1,-6.0,5.0,,,,,,,,,-5.0,1.5,,False,,True,False,,,,,,False,,,True,,True,,True,,,False,False,False,False,,,,,,,,,False,True
13005,4,11.0,,11.0,,7.0,0.0,,,,,,11.7,,,18.0,,22.0,,6.1,,,0.5,7.4,0.0,9.0,6.0,,,,,,,,10.0,10.3,7.0,,7.0,,3.0,-4.0,,,,,,7.7,,,14.0,,18.0,,2.1,,,-3.5,3.4,-4.0,5.0,2.0,,,,,,,,6.0,6.3,,False,,True,True,,,,,,False,,,False,,False,,True,,,True,True,True,True,True,,,,,,,,True,True
13007,2,4.0,,3.8,,3.0,0.0,,,,,,2.9,,,3.0,,3.0,,0.4,,,1.8,2.7,,2.0,,,,,,,,,6.0,,2.0,,1.8,,1.0,-2.0,,,,,,0.9,,,1.0,,1.0,,-1.6,,,-0.2,0.7,,0.0,,,,,,,,,4.0,,,True,,True,False,,,,,,True,,,True,,True,,True,,,True,True,,True,,,,,,,,,False,
13009,34,56.0,,55.9,,52.0,57.0,,,,,,81.5,,,77.0,,36.6,,32.5,49.0,,26.1,47.7,0.0,53.0,182.0,,,,66.3,,,,44.0,,22.0,,21.9,,18.0,23.0,,,,,,47.5,,,43.0,,2.6,,-1.5,15.0,,-7.9,13.7,-34.0,19.0,148.0,,,,32.3,,,,10.0,,,True,,True,False,,,,,,False,,,False,,True,,True,True,,True,True,False,True,False,,,,False,,,,True,
13011,23,15.0,,13.8,,11.0,9.0,,,,,,12.6,,,42.0,,24.5,,10.2,,,3.3,11.3,0.0,12.0,11.0,,,,,,,,18.0,20.2,-8.0,,-9.2,,-12.0,-14.0,,,,,,-10.4,,,19.0,,1.5,,-12.8,,,-19.7,-11.7,-23.0,-11.0,-12.0,,,,,,,,-5.0,-2.8,,False,,False,False,,,,,,False,,,False,,True,,False,,,False,False,False,False,False,,,,,,,,True,True
13013,99,92.0,,90.2,,89.0,92.0,,,,,,96.8,,,123.0,,91.5,,65.3,112.0,,54.4,87.4,0.9,91.0,105.0,,,,86.3,,,,95.0,,-7.0,,-8.8,,-10.0,-7.0,,,,,,-2.2,,,24.0,,-7.5,,-33.7,13.0,,-44.6,-11.6,-98.1,-8.0,6.0,,,,-12.7,,,,-4.0,,,False,,False,False,,,,,,True,,,False,,False,,False,False,,False,False,False,False,True,,,,False,,,,True,
13015,176,213.0,,205.7,,195.0,242.0,,,,,,225.0,,,179.0,,221.2,,62.2,242.5,,176.4,233.5,127.4,234.0,129.0,,,,184.7,,,,265.0,232.2,37.0,,29.7,,19.0,66.0,,,,,,49.0,,,3.0,,45.2,,-113.8,66.5,,0.4,57.5,-48.6,58.0,-47.0,,,,8.7,,,,89.0,56.2,,True,,True,False,,,,,,False,,,True,,False,,False,False,,True,False,False,False,False,,,,True,,,,False,False
13017,17,24.0,,24.5,,18.0,11.0,,,,,,21.1,,,25.0,,19.0,,14.2,,,13.1,18.5,0.0,19.0,92.0,,,,,,,,24.0,,7.0,,7.5,,1.0,-6.0,,,,,,4.1,,,8.0,,2.0,,-2.8,,,-3.9,1.5,-17.0,2.0,75.0,,,,,,,,7.0,,,False,,True,True,,,,,,True,,,False,,True,,True,,,True,True,False,True,False,,,,,,,,False,
13019,12,12.0,,11.5,,9.0,0.0,,,,,,22.0,,,29.0,,17.8,,11.8,,,4.7,9.0,0.0,9.0,11.0,,,,,,,,8.0,10.1,0.0,,-0.5,,-3.0,-12.0,,,,,,10.0,,,17.0,,5.8,,-0.2,,,-7.3,-3.0,-12.0,-3.0,-1.0,,,,,,,,-4.0,-1.9,,False,,False,False,,,,,,False,,,False,,False,,False,,,False,False,False,False,False,,,,,,,,False,False
13021,126,123.0,,124.9,,112.0,100.0,,,,,,109.0,,,262.0,,86.3,,97.6,148.0,,88.6,123.0,1.3,143.0,167.0,,,,111.8,112.0,,,131.0,198.4,-3.0,,-1.1,,-14.0,-26.0,,,,,,-17.0,,,136.0,,-39.7,,-28.4,22.0,,-37.4,-3.0,-124.7,17.0,41.0,,,,-14.2,-14.0,,,5.0,72.4,,True,,False,False,,,,,,False,,,False,,False,,False,False,,False,True,False,False,False,,,,False,False,,,False,False
13023,11,10.0,,17.3,,10.0,0.0,,,,,,13.5,,,30.0,,37.1,,11.5,,,4.9,15.0,0.0,,0.0,,,,,,,,32.0,20.1,-1.0,,6.3,,-1.0,-11.0,,,,,,2.5,,,19.0,,26.1,,0.5,,,-6.1,4.0,-11.0,,-11.0,,,,,,,,21.0,9.1,,False,,False,False,,,,,,False,,,False,,False,,True,,,False,False,False,,False,,,,,,,,False,False
13025,46,24.0,,23.2,,23.0,13.0,,,,,,30.1,,,12.0,,44.1,,10.8,,,39.2,46.9,9.5,42.0,11.0,,,,,,,,26.0,33.2,-22.0,,-22.8,,-23.0,-33.0,,,,,,-15.9,,,-34.0,,-1.9,,-35.2,,,-6.8,0.9,-36.5,-4.0,-35.0,,,,,,,,-20.0,-12.8,,False,,False,False,,,,,,True,,,False,,True,,False,,,True,True,False,True,False,,,,,,,,True,True
13027,2,8.0,,9.0,,7.0,0.0,,,,,,8.9,,,12.0,,20.0,,6.8,,,1.7,7.1,0.0,10.0,0.0,,,,,,,,17.0,9.9,6.0,,7.0,,5.0,-2.0,,,,,,6.9,,,10.0,,18.0,,4.8,,,-0.3,5.1,-2.0,8.0,-2.0,,,,,,,,15.0,7.9,,False,,True,True,,,,,,False,,,False,,False,,True,,,True,True,True,False,True,,,,,,,,False,False
13029,38,34.0,,35.5,,34.0,21.0,,,,,,12.8,,,40.0,,54.8,,21.1,42.0,,23.2,42.7,4.1,33.0,22.0,,,,34.2,,,,44.0,42.7,-4.0,,-2.5,,-4.0,-17.0,,,,,,-25.2,,,2.0,,16.8,,-16.9,4.0,,-14.8,4.7,-33.9,-5.0,-16.0,,,,-3.8,,,,6.0,4.7,,True,,False,False,,,,,,False,,,True,,False,,False,False,,False,False,False,False,False,,,,True,,,,False,False
13031,46,59.0,,60.1,,57.0,67.0,,,,,,55.9,,,126.0,,41.1,,32.8,75.0,,37.5,59.3,0.0,53.0,158.0,,,,55.7,,,,66.0,94.3,13.0,,14.1,,11.0,21.0,,,,,,9.9,,,80.0,,-4.9,,-13.2,29.0,,-8.5,13.3,-46.0,7.0,112.0,,,,9.7,,,,20.0,48.3,,False,,True,False,,,,,,True,,,False,,True,,False,False,,True,False,False,True,False,,,,True,,,,False,False
13033,22,11.0,,12.0,,11.0,7.0,,,,,,14.2,,,47.0,,13.5,,12.6,,,4.3,10.5,0.0,12.0,39.0,,,,,,,,7.0,21.4,-11.0,,-10.0,,-11.0,-15.0,,,,,,-7.8,,,25.0,,-8.5,,-9.4,,,-17.7,-11.5,-22.0,-10.0,17.0,,,,,,,,-15.0,-0.6,,True,,False,False,,,,,,True,,,False,,True,,True,,,False,False,False,True,False,,,,,,,,False,True
13035,10,18.0,,20.1,,18.0,20.0,,,,,,28.9,,,36.0,,21.0,,12.3,,,5.2,12.6,0.1,10.0,72.0,,,,,,,,9.0,38.7,8.0,,10.1,,8.0,10.0,,,,,,18.9,,,26.0,,11.0,,2.3,,,-4.8,2.6,-9.9,0.0,62.0,,,,,,,,-1.0,28.7,,False,,False,False,,,,,,False,,,False,,False,,True,,,True,True,False,True,False,,,,,,,,True,False
13037,11,5.0,,4.8,,3.0,0.0,,,,,,6.6,,,9.0,,2.7,,1.8,,,1.1,3.9,0.0,5.0,,,,,,,,,4.0,7.1,-6.0,,-6.2,,-8.0,-11.0,,,,,,-4.4,,,-2.0,,-8.3,,-9.2,,,-9.9,-7.1,-11.0,-6.0,,,,,,,,,-7.0,-3.9,,False,,False,False,,,,,,True,,,True,,False,,False,,,False,False,False,False,,,,,,,,,False,True
13039,53,24.0,,23.1,,22.0,14.0,,,,,,27.9,,,46.0,,24.7,,23.5,29.0,,16.4,27.7,0.0,20.0,21.0,,,,21.2,,,,23.0,29.5,-29.0,,-29.9,,-31.0,-39.0,,,,,,-25.1,,,-7.0,,-28.3,,-29.5,-24.0,,-36.6,-25.3,-53.0,-33.0,-32.0,,,,-31.8,,,,-30.0,-23.5,,False,,False,False,,,,,,True,,,True,,True,,False,True,,False,True,False,False,False,,,,False,,,,False,True
13043,11,18.0,,20.2,,17.0,5.0,,,,,,25.4,,,17.0,,16.7,,7.8,,,8.9,17.5,0.0,22.0,6.0,,,,,,,,11.0,20.1,7.0,,9.2,,6.0,-6.0,,,,,,14.4,,,6.0,,5.7,,-3.2,,,-2.1,6.5,-11.0,11.0,-5.0,,,,,,,,0.0,9.1,,False,,True,True,,,,,,False,,,True,,True,,True,,,True,True,False,False,True,,,,,,,,True,False
13045,123,163.0,,167.5,,148.0,181.0,,,,,,175.1,,,161.0,,135.3,,85.2,233.5,,126.5,164.1,4.5,183.0,189.0,,,,133.7,,,,0.0,182.2,40.0,,44.5,,25.0,58.0,,,,,,52.1,,,38.0,,12.3,,-37.8,110.5,,3.5,41.1,-118.5,60.0,66.0,,,,10.7,,,,-123.0,59.2,,False,,True,False,,,,,,False,,,True,,True,,True,False,,True,False,False,False,False,,,,True,,,,False,False
13047,101,49.0,,47.6,,49.0,49.0,,,,,,59.6,,,200.0,,56.8,,35.5,62.5,,66.6,83.7,0.6,51.0,39.0,,,,47.0,,,,55.0,58.8,-52.0,,-53.4,,-52.0,-52.0,,,,,,-41.4,,,99.0,,-44.2,,-65.5,-38.5,,-34.4,-17.3,-100.4,-50.0,-62.0,,,,-54.0,,,,-46.0,-42.2,,False,,False,False,,,,,,True,,,False,,True,,False,True,,True,True,False,True,False,,,,False,,,,True,True
