,actual_cases,COVIDhub-baseline,CEID-Walk,CMU-TimeSeries,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,Google_Harvard-CPF,IBF-TimeSeries,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MITCovAlliance-SIR,OliverWyman-Navigator,QJHong-Encounter,RobertWalraven-ESG,TTU-squider,UCLA-SuEIR,UMass-MechBayes,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,UVA-Ensemble,Yu_Group-CLEP,error-COVIDhub-baseline,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MITCovAlliance-SIR,error-OliverWyman-Navigator,error-QJHong-Encounter,error-RobertWalraven-ESG,error-TTU-squider,error-UCLA-SuEIR,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,error-UVA-Ensemble,error-Yu_Group-CLEP,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MITCovAlliance-SIR,beat_baseline-OliverWyman-Navigator,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-TTU-squider,beat_baseline-UCLA-SuEIR,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-UVA-Ensemble,beat_baseline-Yu_Group-CLEP
18091,795,504.0,520.0,,457.0,588.0,,,,,344.8,,448.0,,454.6,330.6,,333.1,630.0,461.9,879.0,,,,293.6,,,,535.0,265.3,,-291.0,-275.0,,-338.0,-207.0,,,,,-450.2,,-347.0,,-340.4,-464.4,,-461.9,-165.0,-333.1,84.0,,,,-501.4,,,,-260.0,-529.7,,True,,False,True,,,,,False,,False,,False,False,,False,True,False,True,,,,False,,,,True,False,
18093,464,228.0,214.0,,192.0,445.0,,,,,169.4,,121.0,,218.5,72.0,,148.8,219.6,143.8,367.0,,,,,,,,330.0,31.7,,-236.0,-250.0,,-272.0,-19.0,,,,,-294.6,,-343.0,,-245.5,-392.0,,-315.2,-244.4,-320.2,-97.0,,,,,,,,-134.0,-432.3,,False,,False,True,,,,,False,,False,,False,False,,False,False,False,True,,,,,,,,True,False,
18095,817,516.0,510.7,,454.0,562.0,,,,,389.6,,422.0,,430.3,639.8,,336.1,591.6,427.2,911.0,,,,376.5,1188.0,,,470.0,194.1,,-301.0,-306.3,,-363.0,-255.0,,,,,-427.4,,-395.0,,-386.7,-177.2,,-480.9,-225.4,-389.8,94.0,,,,-440.5,371.0,,,-347.0,-622.9,,False,,False,True,,,,,False,,False,,False,True,,False,True,False,True,,,,False,False,,,False,False,
18097,4417,2769.0,2697.2,2528.5,2420.0,2880.0,,,,,1108.3,,2345.0,,2096.8,3819.2,,1969.8,3012.7,222.6,3741.0,,,,2141.0,3199.0,,,3250.0,2149.0,,-1648.0,-1719.8,-1888.5,-1997.0,-1537.0,,,,,-3308.7,,-2072.0,,-2320.2,-597.8,,-2447.2,-1404.3,-4194.4,-676.0,,,,-2276.0,-1218.0,,,-1167.0,-2268.0,,False,False,False,True,,,,,False,,False,,False,True,,False,True,False,True,,,,False,True,,,True,False,
18099,465,252.0,249.9,,208.0,490.0,,,,,182.9,,208.0,,205.3,102.9,,139.3,328.4,152.3,375.0,,,,172.9,,,,351.0,84.0,,-213.0,-215.1,,-257.0,25.0,,,,,-282.1,,-257.0,,-259.7,-362.1,,-325.7,-136.6,-312.7,-90.0,,,,-292.1,,,,-114.0,-381.0,,False,,False,True,,,,,False,,False,,False,False,,False,True,False,True,,,,False,,,,True,False,
18101,33,27.0,30.5,,23.0,0.0,,,,,65.6,,28.0,,17.1,14.5,,8.1,28.6,17.6,49.0,,,,,,,,10.0,25.4,,-6.0,-2.5,,-10.0,-33.0,,,,,32.6,,-5.0,,-15.9,-18.5,,-24.9,-4.4,-15.4,16.0,,,,,,,,-23.0,-7.6,,True,,False,False,,,,,False,,True,,False,False,,False,True,False,False,,,,,,,,False,False,
18103,277,87.0,107.0,,92.0,14.0,,,,,178.5,,135.0,,66.4,70.5,,72.8,134.1,124.3,151.0,,,,,,,,140.0,55.8,,-190.0,-170.0,,-185.0,-263.0,,,,,-98.5,,-142.0,,-210.6,-206.5,,-204.2,-142.9,-152.7,-126.0,,,,,,,,-137.0,-221.2,,True,,True,False,,,,,True,,True,,False,False,,False,True,True,True,,,,,,,,True,False,
18105,583,552.0,586.9,,483.0,913.0,,,,,376.5,,478.0,,425.0,627.4,,479.8,617.3,0.7,343.0,,,,672.2,330.0,,,350.0,572.3,,-31.0,3.9,,-100.0,330.0,,,,,-206.5,,-105.0,,-158.0,44.4,,-103.2,34.3,-582.3,-240.0,,,,89.2,-253.0,,,-233.0,-10.7,,True,,False,False,,,,,False,,False,,False,False,,False,False,False,False,,,,False,False,,,False,True,
18107,192,42.0,39.6,,39.0,0.0,,,,,184.8,,100.0,,25.4,49.9,,17.3,64.6,137.6,52.0,,,,,,,,10.0,55.9,,-150.0,-152.4,,-153.0,-192.0,,,,,-7.2,,-92.0,,-166.6,-142.1,,-174.7,-127.4,-54.4,-140.0,,,,,,,,-182.0,-136.1,,False,,False,False,,,,,True,,True,,False,True,,False,True,True,True,,,,,,,,False,True,
18109,250,189.0,200.8,,185.0,255.0,,,,,238.5,,181.0,,166.2,274.8,,107.8,172.7,201.3,311.0,,,,,,,,254.0,93.8,,-61.0,-49.2,,-65.0,5.0,,,,,-11.5,,-69.0,,-83.8,24.8,,-142.2,-77.3,-48.7,61.0,,,,,,,,4.0,-156.2,,True,,False,True,,,,,True,,False,,False,True,,False,False,True,False,,,,,,,,True,False,
18111,74,33.0,28.2,,26.0,20.0,,,,,120.8,,33.0,,16.2,31.8,,8.0,25.8,34.6,49.0,,,,,,,,23.0,36.6,112.7,-41.0,-45.8,,-48.0,-54.0,,,,,46.8,,-41.0,,-57.8,-42.2,,-66.0,-48.2,-39.4,-25.0,,,,,,,,-51.0,-37.4,38.7,False,,False,False,,,,,False,,False,,False,False,,False,False,True,True,,,,,,,,False,True,True
18113,348,138.0,128.9,,129.0,170.0,,,,,195.9,,136.0,,99.6,114.5,,60.2,167.4,94.8,214.0,,,,,,,,120.0,76.7,,-210.0,-219.1,,-219.0,-178.0,,,,,-152.1,,-212.0,,-248.4,-233.5,,-287.8,-180.6,-253.2,-134.0,,,,,,,,-228.0,-271.3,,False,,False,True,,,,,True,,False,,False,False,,False,True,False,True,,,,,,,,False,False,
18115,66,9.0,9.1,,10.0,0.0,,,,,73.5,,12.0,,10.7,4.9,,7.1,18.9,,16.0,,,,,,,,21.0,9.2,0.8,-57.0,-56.9,,-56.0,-66.0,,,,,7.5,,-54.0,,-55.3,-61.1,,-58.9,-47.1,,-50.0,,,,,,,,-45.0,-56.8,-65.2,True,,True,False,,,,,True,,True,,True,False,,False,True,,True,,,,,,,,True,True,False
18117,120,111.0,103.5,,73.0,21.0,,,,,142.6,,57.0,,57.0,44.8,,91.5,110.8,53.7,158.0,,,,,,,,141.0,29.6,,-9.0,-16.5,,-47.0,-99.0,,,,,22.6,,-63.0,,-63.0,-75.2,,-28.5,-9.2,-66.3,38.0,,,,,,,,21.0,-90.4,,False,,False,False,,,,,False,,False,,False,False,,False,False,False,False,,,,,,,,False,False,
18119,51,24.0,24.9,,24.0,19.0,,,,,132.2,,41.0,,18.9,29.0,,2.1,29.3,32.1,43.0,,,,,,,,9.0,12.2,,-27.0,-26.1,,-27.0,-32.0,,,,,81.2,,-10.0,,-32.1,-22.0,,-48.9,-21.7,-18.9,-8.0,,,,,,,,-42.0,-38.8,,True,,False,False,,,,,False,,True,,False,True,,False,True,True,True,,,,,,,,False,False,
18121,123,96.0,97.6,,97.0,154.0,,,,,114.9,,42.0,,130.3,25.3,,59.7,112.2,53.6,172.0,,,,,,,,116.0,162.7,,-27.0,-25.4,,-26.0,31.0,,,,,-8.1,,-81.0,,7.3,-97.7,,-63.3,-10.8,-69.4,49.0,,,,,,,,-7.0,39.7,,True,,True,False,,,,,True,,False,,True,False,,False,True,False,False,,,,,,,,True,False,
18123,213,36.0,34.2,,36.0,13.0,,,,,116.7,,47.0,,37.3,24.3,,18.3,64.6,31.0,50.0,,,,,,,,52.0,25.1,,-177.0,-178.8,,-177.0,-200.0,,,,,-96.3,,-166.0,,-175.7,-188.7,,-194.7,-148.4,-182.0,-163.0,,,,,,,,-161.0,-187.9,,False,,False,False,,,,,True,,True,,True,False,,False,True,False,True,,,,,,,,True,False,
18125,112,105.0,112.1,,90.0,194.0,,,,,67.7,,34.0,,111.1,28.7,,41.1,97.1,61.2,199.0,,,,,,,,57.0,263.6,,-7.0,0.1,,-22.0,82.0,,,,,-44.3,,-78.0,,-0.9,-83.3,,-70.9,-14.9,-50.8,87.0,,,,,,,,-55.0,151.6,,True,,False,False,,,,,False,,False,,True,False,,False,False,False,False,,,,,,,,False,False,
18127,1376,693.0,696.4,,693.0,1133.0,,,,,353.4,,511.0,,621.8,773.0,,746.4,865.7,692.2,1153.0,,,,507.8,1256.0,,,902.0,452.8,,-683.0,-679.6,,-683.0,-243.0,,,,,-1022.6,,-865.0,,-754.2,-603.0,,-629.6,-510.3,-683.8,-223.0,,,,-868.2,-120.0,,,-474.0,-923.2,,True,,False,True,,,,,False,,False,,False,True,,True,True,False,True,,,,False,True,,,True,False,
18129,290,378.0,360.7,,360.0,654.0,,,,,175.0,,55.0,,392.7,66.9,,549.3,383.9,201.7,611.0,,,,,,,,1.0,230.1,,88.0,70.7,,70.0,364.0,,,,,-115.0,,-235.0,,102.7,-223.1,,259.3,93.9,-88.3,321.0,,,,,,,,-289.0,-59.9,,True,,True,False,,,,,False,,False,,False,False,,False,False,False,False,,,,,,,,False,True,
18131,73,15.0,12.8,,14.0,0.0,,,,,93.2,,39.0,,11.7,11.6,,1.8,14.7,32.1,26.0,,,,,,,,52.0,6.8,45.8,-58.0,-60.2,,-59.0,-73.0,,,,,20.2,,-34.0,,-61.3,-61.4,,-71.2,-58.3,-40.9,-47.0,,,,,,,,-21.0,-66.2,-27.2,False,,False,False,,,,,True,,True,,False,False,,False,False,True,True,,,,,,,,True,False,True
18133,169,129.0,148.8,,112.0,153.0,,,,,184.0,,92.0,,81.1,130.6,,19.2,111.6,142.4,148.0,,,,,,,,53.0,74.6,,-40.0,-20.2,,-57.0,-16.0,,,,,15.0,,-77.0,,-87.9,-38.4,,-149.8,-57.4,-26.6,-21.0,,,,,,,,-116.0,-94.4,,True,,False,True,,,,,True,,False,,False,True,,False,False,True,True,,,,,,,,False,False,
18135,226,90.0,95.1,,87.0,112.0,,,,,121.9,,72.0,,87.3,48.2,,43.3,110.2,56.4,176.0,,,,,,,,110.0,52.0,,-136.0,-130.9,,-139.0,-114.0,,,,,-104.1,,-154.0,,-138.7,-177.8,,-182.7,-115.8,-169.6,-50.0,,,,,,,,-116.0,-174.0,,True,,False,True,,,,,True,,False,,False,False,,False,True,False,True,,,,,,,,True,False,
18137,197,102.0,102.5,,98.0,139.0,,,,,171.0,,64.0,,87.1,60.8,,54.0,98.1,100.5,159.0,,,,,,,,113.0,34.9,,-95.0,-94.5,,-99.0,-58.0,,,,,-26.0,,-133.0,,-109.9,-136.2,,-143.0,-98.9,-96.5,-38.0,,,,,,,,-84.0,-162.1,,True,,False,True,,,,,True,,False,,False,False,,False,False,False,True,,,,,,,,True,False,
18139,130,12.0,10.3,,14.0,0.0,,,,,118.0,,47.0,,14.5,29.8,,5.1,32.8,39.7,36.0,,,,,,,,5.0,14.8,,-118.0,-119.7,,-116.0,-130.0,,,,,-12.0,,-83.0,,-115.5,-100.2,,-124.9,-97.2,-90.3,-94.0,,,,,,,,-125.0,-115.2,,False,,True,False,,,,,True,,True,,True,True,,False,True,True,True,,,,,,,,False,True,
18141,2703,1998.0,2004.2,,1794.0,1803.0,,,,,1223.0,,1162.0,,1891.2,1233.0,,1628.4,2161.3,1559.9,3051.0,,,,1571.4,2460.0,,,2354.0,729.0,,-705.0,-698.8,,-909.0,-900.0,,,,,-1480.0,,-1541.0,,-811.8,-1470.0,,-1074.6,-541.7,-1143.1,348.0,,,,-1131.6,-243.0,,,-349.0,-1974.0,,True,,False,False,,,,,False,,False,,False,False,,False,True,False,True,,,,False,True,,,True,False,
18143,144,135.0,136.6,,121.0,227.0,,,,,147.8,,62.0,,123.2,85.6,,63.9,142.6,53.3,215.0,,,,,,,,153.0,57.6,,-9.0,-7.4,,-23.0,83.0,,,,,3.8,,-82.0,,-20.8,-58.4,,-80.1,-1.4,-90.7,71.0,,,,,,,,9.0,-86.4,,True,,False,False,,,,,True,,False,,False,False,,False,True,False,False,,,,,,,,False,False,
18145,288,75.0,82.8,,80.0,76.0,,,,,216.7,,132.0,,52.8,124.3,,23.3,97.3,109.2,115.0,,,,,,,,31.0,52.4,,-213.0,-205.2,,-208.0,-212.0,,,,,-71.3,,-156.0,,-235.2,-163.7,,-264.7,-190.7,-178.8,-173.0,,,,,,,,-257.0,-235.6,,True,,True,True,,,,,True,,True,,False,True,,False,True,True,True,,,,,,,,False,False,
18147,129,114.0,103.4,,93.0,135.0,,,,,105.1,,32.0,,89.7,54.7,,31.2,96.7,72.1,138.0,,,,,,,,43.0,62.8,,-15.0,-25.6,,-36.0,6.0,,,,,-23.9,,-97.0,,-39.3,-74.3,,-97.8,-32.3,-56.9,9.0,,,,,,,,-86.0,-66.2,,False,,False,True,,,,,False,,False,,False,False,,False,False,False,True,,,,,,,,False,False,
18149,186,123.0,120.2,,115.0,128.0,,,,,125.0,,87.0,,108.7,58.6,,120.9,129.6,44.2,192.0,,,,,,,,132.0,60.0,,-63.0,-65.8,,-71.0,-58.0,,,,,-61.0,,-99.0,,-77.3,-127.4,,-65.1,-56.4,-141.8,6.0,,,,,,,,-54.0,-126.0,,False,,False,True,,,,,True,,False,,False,False,,False,True,False,True,,,,,,,,True,False,
18151,251,168.0,156.4,,145.0,204.0,,,,,145.8,,113.0,,132.1,149.7,,180.7,214.7,98.6,315.0,,,,,,,,153.0,73.3,,-83.0,-94.6,,-106.0,-47.0,,,,,-105.2,,-138.0,,-118.9,-101.3,,-70.3,-36.3,-152.4,64.0,,,,,,,,-98.0,-177.7,,False,,False,True,,,,,False,,False,,False,False,,True,True,False,True,,,,,,,,False,False,
18153,121,84.0,85.1,,59.0,0.0,,,,,128.3,,61.0,,60.1,59.0,,27.2,90.4,28.8,132.0,,,,,,,,102.0,37.2,,-37.0,-35.9,,-62.0,-121.0,,,,,7.3,,-60.0,,-60.9,-62.0,,-93.8,-30.6,-92.2,11.0,,,,,,,,-19.0,-83.8,,True,,False,False,,,,,True,,False,,False,False,,False,True,False,True,,,,,,,,True,False,
18155,34,12.0,13.3,,7.0,0.0,,,,,77.1,,19.0,,5.4,9.3,,2.1,7.7,,20.0,,,,,,,,28.0,11.6,14.0,-22.0,-20.7,,-27.0,-34.0,,,,,43.1,,-15.0,,-28.6,-24.7,,-31.9,-26.3,,-14.0,,,,,,,,-6.0,-22.4,-20.0,True,,False,False,,,,,False,,True,,False,False,,False,False,,True,,,,,,,,True,False,True
18157,1341,909.0,939.9,,918.0,931.0,,,,,435.2,,667.0,,845.7,768.7,,912.7,962.7,962.6,1022.0,,,,958.2,961.0,,,876.0,367.4,,-432.0,-401.1,,-423.0,-410.0,,,,,-905.8,,-674.0,,-495.3,-572.3,,-428.3,-378.3,-378.4,-319.0,,,,-382.8,-380.0,,,-465.0,-973.6,,True,,True,True,,,,,False,,False,,False,False,,True,True,True,True,,,,True,True,,,False,False,
18159,49,36.0,30.6,,36.0,0.0,,,,,114.3,,41.0,,35.4,29.4,,5.5,42.8,43.1,82.0,,,,,,,,38.0,31.8,,-13.0,-18.4,,-13.0,-49.0,,,,,65.3,,-8.0,,-13.6,-19.6,,-43.5,-6.2,-5.9,33.0,,,,,,,,-11.0,-17.2,,False,,False,False,,,,,False,,True,,False,False,,False,True,True,False,,,,,,,,True,False,
18161,48,9.0,8.8,,9.0,0.0,,,,,59.1,,13.0,,9.9,8.6,,3.7,7.7,,13.0,,,,,,,,26.0,6.4,64.9,-39.0,-39.2,,-39.0,-48.0,,,,,11.1,,-35.0,,-38.1,-39.4,,-44.3,-40.3,,-35.0,,,,,,,,-22.0,-41.6,16.9,False,,False,False,,,,,True,,True,,True,False,,False,False,,True,,,,,,,,True,False,True
18163,1844,1779.0,1790.4,,1779.0,2113.0,,,,,629.8,,570.0,,1706.5,843.7,,1972.1,1874.8,1548.6,2757.0,,,,1216.8,2968.0,,,1757.0,795.7,,-65.0,-53.6,,-65.0,269.0,,,,,-1214.2,,-1274.0,,-137.5,-1000.3,,128.1,30.8,-295.4,913.0,,,,-627.2,1124.0,,,-87.0,-1048.3,,True,,False,False,,,,,False,,False,,False,False,,False,True,False,False,,,,False,False,,,False,False,
18165,144,48.0,48.1,,46.0,34.0,,,,,103.5,,42.0,,43.5,25.3,,35.6,67.1,36.9,85.0,,,,,,,,52.0,32.0,,-96.0,-95.9,,-98.0,-110.0,,,,,-40.5,,-102.0,,-100.5,-118.7,,-108.4,-76.9,-107.1,-59.0,,,,,,,,-92.0,-112.0,,True,,False,False,,,,,True,,False,,False,False,,False,True,False,True,,,,,,,,True,False,
18167,870,516.0,485.5,,407.0,823.0,,,,,263.4,,382.0,,428.1,447.9,,321.8,660.1,318.1,966.0,,,,419.9,,,,451.0,283.9,,-354.0,-384.5,,-463.0,-47.0,,,,,-606.6,,-488.0,,-441.9,-422.1,,-548.2,-209.9,-551.9,96.0,,,,-450.1,,,,-419.0,-586.1,,False,,False,True,,,,,False,,False,,False,False,,False,True,False,True,,,,False,,,,False,False,
18169,239,81.0,80.0,,81.0,81.0,,,,,131.7,,96.0,,69.5,72.6,,34.9,90.2,76.9,136.0,,,,,,,,122.0,41.6,,-158.0,-159.0,,-158.0,-158.0,,,,,-107.3,,-143.0,,-169.5,-166.4,,-204.1,-148.8,-162.1,-103.0,,,,,,,,-117.0,-197.4,,False,,False,False,,,,,True,,True,,False,False,,False,True,False,True,,,,,,,,True,False,
18171,60,36.0,34.8,,24.0,18.0,,,,,93.9,,19.0,,28.8,7.8,,1.8,24.4,,,,,,,,,,36.0,19.0,,-24.0,-25.2,,-36.0,-42.0,,,,,33.9,,-41.0,,-31.2,-52.2,,-58.2,-35.6,,,,,,,,,,-24.0,-41.0,,False,,False,False,,,,,False,,False,,False,False,,False,False,,,,,,,,,,False,False,
18173,504,501.0,463.6,,457.0,354.0,,,,,270.0,,190.0,,444.8,353.2,,456.0,487.4,459.8,449.0,,,,520.4,,,,390.0,1354.6,,-3.0,-40.4,,-47.0,-150.0,,,,,-234.0,,-314.0,,-59.2,-150.8,,-48.0,-16.6,-44.2,-55.0,,,,16.4,,,,-114.0,850.6,,False,,False,False,,,,,False,,False,,False,False,,False,False,False,False,,,,False,,,,False,False,
18175,121,63.0,59.3,,62.0,38.0,,,,,151.9,,67.0,,73.6,65.6,,24.5,74.9,62.5,124.0,,,,,,,,163.0,35.9,,-58.0,-61.7,,-59.0,-83.0,,,,,30.9,,-54.0,,-47.4,-55.4,,-96.5,-46.1,-58.5,3.0,,,,,,,,42.0,-85.1,,False,,False,False,,,,,True,,True,,True,True,,False,True,False,True,,,,,,,,True,False,
18177,788,288.0,293.2,,282.0,704.0,,,,,172.0,,216.0,,276.4,299.3,,347.9,384.9,191.3,526.0,,,,,,,,522.0,183.7,,-500.0,-494.8,,-506.0,-84.0,,,,,-616.0,,-572.0,,-511.6,-488.7,,-440.1,-403.1,-596.7,-262.0,,,,,,,,-266.0,-604.3,,True,,False,True,,,,,False,,False,,False,True,,True,True,False,True,,,,,,,,True,False,
18179,220,135.0,139.9,,130.0,199.0,,,,,136.1,,107.0,,110.4,71.7,,121.8,135.4,98.7,199.0,,,,,,,,100.0,80.3,,-85.0,-80.1,,-90.0,-21.0,,,,,-83.9,,-113.0,,-109.6,-148.3,,-98.2,-84.6,-121.3,-21.0,,,,,,,,-120.0,-139.7,,True,,False,True,,,,,True,,False,,False,False,,False,True,False,True,,,,,,,,False,False,
18181,169,45.0,45.8,,45.0,34.0,,,,,146.3,,82.0,,44.2,74.9,,23.9,73.8,95.6,90.0,,,,,,,,82.0,31.6,40.2,-124.0,-123.2,,-124.0,-135.0,,,,,-22.7,,-87.0,,-124.8,-94.1,,-145.1,-95.2,-73.4,-79.0,,,,,,,,-87.0,-137.4,-128.8,True,,False,False,,,,,True,,True,,False,True,,False,True,True,True,,,,,,,,True,False,False
18183,194,156.0,154.9,,145.0,275.0,,,,,128.7,,109.0,,149.8,79.1,,136.5,154.7,104.7,263.0,,,,,,,,159.0,27.7,,-38.0,-39.1,,-49.0,81.0,,,,,-65.3,,-85.0,,-44.2,-114.9,,-57.5,-39.3,-89.3,69.0,,,,,,,,-35.0,-166.3,,False,,False,False,,,,,False,,False,,False,False,,False,False,False,False,,,,,,,,True,False,
19001,123,63.0,54.7,,47.0,39.0,,,,,72.5,,27.0,,59.0,6.6,,23.1,51.0,,50.0,,,,,,,,65.0,63.0,,-60.0,-68.3,,-76.0,-84.0,,,,,-50.5,,-96.0,,-64.0,-116.4,,-99.9,-72.0,,-73.0,,,,,,,,-58.0,-60.0,,False,,False,False,,,,,True,,False,,False,False,,False,False,,False,,,,,,,,True,False,
19003,33,39.0,37.8,,29.0,21.0,,,,,27.9,,17.0,,61.6,4.7,,10.2,31.7,,40.0,,,,,,,,37.0,46.3,,6.0,4.8,,-4.0,-12.0,,,,,-5.1,,-16.0,,28.6,-28.3,,-22.8,-1.3,,7.0,,,,,,,,4.0,13.3,,True,,True,False,,,,,True,,False,,False,False,,False,True,,False,,,,,,,,True,False,
19005,133,75.0,75.7,,58.0,58.0,,,,,165.0,,90.0,,66.2,15.3,,19.2,55.1,0.0,106.0,,,,,,,,105.0,41.7,,-58.0,-57.3,,-75.0,-75.0,,,,,32.0,,-43.0,,-66.8,-117.7,,-113.8,-77.9,-133.0,-27.0,,,,,,,,-28.0,-91.3,,True,,False,False,,,,,True,,True,,False,False,,False,False,False,True,,,,,,,,True,False,
19007,96,84.0,90.5,,70.0,61.0,,,,,75.7,,71.0,,71.5,17.7,,38.1,83.7,40.2,136.0,,,,,,,,50.0,61.3,,-12.0,-5.5,,-26.0,-35.0,,,,,-20.3,,-25.0,,-24.5,-78.3,,-57.9,-12.3,-55.8,40.0,,,,,,,,-46.0,-34.7,,True,,False,False,,,,,False,,False,,False,False,,False,False,False,False,,,,,,,,False,False,
19009,76,33.0,26.4,,28.0,30.0,,,,,56.7,,24.0,,42.3,7.5,,4.7,41.5,0.0,29.0,,,,,,,,31.0,34.0,,-43.0,-49.6,,-48.0,-46.0,,,,,-19.3,,-52.0,,-33.7,-68.5,,-71.3,-34.5,-76.0,-47.0,,,,,,,,-45.0,-42.0,,False,,False,False,,,,,True,,False,,True,False,,False,True,False,False,,,,,,,,False,True,
19011,296,126.0,118.5,,127.0,150.0,,,,,153.9,,112.0,,133.0,51.2,,71.1,145.3,172.7,189.0,,,,,,,,86.0,57.7,,-170.0,-177.5,,-169.0,-146.0,,,,,-142.1,,-184.0,,-163.0,-244.8,,-224.9,-150.7,-123.3,-107.0,,,,,,,,-210.0,-238.3,,False,,True,True,,,,,True,,False,,True,False,,False,True,True,True,,,,,,,,False,False,
19013,1432,762.0,748.0,,739.0,1143.0,,,,,729.3,,730.0,,579.5,309.7,,770.1,792.3,24.7,1202.0,,,,606.6,886.0,,,638.0,568.8,,-670.0,-684.0,,-693.0,-289.0,,,,,-702.7,,-702.0,,-852.5,-1122.3,,-661.9,-639.7,-1407.3,-230.0,,,,-825.4,-546.0,,,-794.0,-863.2,,False,,False,True,,,,,False,,False,,False,False,,True,True,False,True,,,,False,True,,,False,False,
19015,172,171.0,160.9,,154.0,152.0,,,,,175.9,,113.0,,167.9,79.4,,73.1,165.4,138.5,237.0,,,,,,,,153.0,86.9,,-1.0,-11.1,,-18.0,-20.0,,,,,3.9,,-59.0,,-4.1,-92.6,,-98.9,-6.6,-33.5,65.0,,,,,,,,-19.0,-85.1,,False,,False,False,,,,,False,,False,,False,False,,False,False,False,False,,,,,,,,False,False,
19017,207,105.0,102.9,,97.0,67.0,,,,,136.9,,115.0,,93.4,68.7,,44.3,123.0,55.7,136.0,,,,,,,,72.0,88.4,,-102.0,-104.1,,-110.0,-140.0,,,,,-70.1,,-92.0,,-113.6,-138.3,,-162.7,-84.0,-151.3,-71.0,,,,,,,,-135.0,-118.6,,False,,False,False,,,,,True,,True,,False,False,,False,True,False,True,,,,,,,,False,False,
19019,185,108.0,100.1,,107.0,116.0,,,,,153.4,,118.0,,99.8,51.2,,34.1,107.1,114.8,155.0,,,,,,,,60.0,50.5,,-77.0,-84.9,,-78.0,-69.0,,,,,-31.6,,-67.0,,-85.2,-133.8,,-150.9,-77.9,-70.2,-30.0,,,,,,,,-125.0,-134.5,,False,,False,True,,,,,True,,True,,False,False,,False,False,True,True,,,,,,,,False,False,
19021,221,246.0,237.5,,150.0,0.0,,,,,150.5,,169.0,,186.2,182.4,,81.4,277.4,8.5,306.0,,,,131.3,,,,327.0,131.2,,25.0,16.5,,-71.0,-221.0,,,,,-70.5,,-52.0,,-34.8,-38.6,,-139.6,56.4,-212.5,85.0,,,,-89.7,,,,106.0,-89.8,,True,,False,False,,,,,False,,False,,False,False,,False,False,False,False,,,,False,,,,False,False,
19023,108,81.0,86.2,,59.0,40.0,,,,,83.8,,53.0,,83.5,26.3,,58.5,93.7,0.0,161.0,,,,,,,,99.0,42.5,,-27.0,-21.8,,-49.0,-68.0,,,,,-24.2,,-55.0,,-24.5,-81.7,,-49.5,-14.3,-108.0,53.0,,,,,,,,-9.0,-65.5,,True,,False,False,,,,,True,,False,,True,False,,False,True,False,False,,,,,,,,True,False,
19025,104,105.0,105.2,,74.0,68.0,,,,,40.6,,54.0,,114.0,35.6,,56.0,84.0,73.1,179.0,,,,,,,,124.0,60.0,,1.0,1.2,,-30.0,-36.0,,,,,-63.4,,-50.0,,10.0,-68.4,,-48.0,-20.0,-30.9,75.0,,,,,,,,20.0,-44.0,,False,,False,False,,,,,False,,False,,False,False,,False,False,False,False,,,,,,,,False,False,
19027,344,462.0,458.9,,362.0,287.0,,,,,86.2,,160.0,,457.5,83.0,,390.6,361.9,300.6,652.0,,,,,,,,173.0,196.0,,118.0,114.9,,18.0,-57.0,,,,,-257.8,,-184.0,,113.5,-261.0,,46.6,17.9,-43.4,308.0,,,,,,,,-171.0,-148.0,,True,,True,True,,,,,False,,False,,True,False,,True,True,True,False,,,,,,,,False,False,
