,actual_cases,COVIDhub-baseline,BPagano-RtDriven,CEID-Walk,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,FDANIHASU-Sweight,Google_Harvard-CPF,IBF-TimeSeries,IEM_MED-CovidProject,IowaStateLW-STEM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,JHU_UNC_GAS-StatMechPool,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MIT_ISOLAT-Mixtures,MOBS-GLEAM_COVID,Microsoft-DeepSTIA,OliverWyman-Navigator,OneQuietNight-ML,QJHong-Encounter,RobertWalraven-ESG,SigSci-TS,TTU-squider,UCF-AEM,UCLA-SuEIR,UCSB-ACTS,UChicagoCHATTOPADHYAY-UnIT,UMich-RidgeTfReg,USC-SI_kJalpha,UVA-Ensemble,UpstateSU-GRU,error-COVIDhub-baseline,error-BPagano-RtDriven,error-CEID-Walk,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-FDANIHASU-Sweight,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IEM_MED-CovidProject,error-IowaStateLW-STEM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-JHU_UNC_GAS-StatMechPool,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MIT_ISOLAT-Mixtures,error-MOBS-GLEAM_COVID,error-Microsoft-DeepSTIA,error-OliverWyman-Navigator,error-OneQuietNight-ML,error-QJHong-Encounter,error-RobertWalraven-ESG,error-SigSci-TS,error-TTU-squider,error-UCF-AEM,error-UCLA-SuEIR,error-UCSB-ACTS,error-UChicagoCHATTOPADHYAY-UnIT,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,error-UVA-Ensemble,error-UpstateSU-GRU,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-FDANIHASU-Sweight,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IEM_MED-CovidProject,beat_baseline-IowaStateLW-STEM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-JHU_UNC_GAS-StatMechPool,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MIT_ISOLAT-Mixtures,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-Microsoft-DeepSTIA,beat_baseline-OliverWyman-Navigator,beat_baseline-OneQuietNight-ML,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-SigSci-TS,beat_baseline-TTU-squider,beat_baseline-UCF-AEM,beat_baseline-UCLA-SuEIR,beat_baseline-UCSB-ACTS,beat_baseline-UChicagoCHATTOPADHYAY-UnIT,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha,beat_baseline-UVA-Ensemble,beat_baseline-UpstateSU-GRU
Montana,4307,4708.0,4025.5,5057.5,4308.0,3566.0,,5045.2,2418.0,3891.1,,6070.3,,4309.6,5327.0,2195.1,4914.0,3613.1,4845.5,3925.6,2824.5,3559.0,1423.2,3968.0,4767.4,5164.0,6147.0,,5421.6,,2318.3,,3358.7,5531.6,5571.7,5489.2,4711.0,4705.6,,401.0,-281.5,750.5,1.0,-741.0,,738.2,-1889.0,-415.9,,1763.3,,2.6,1020.0,-2111.9,607.0,-693.9,538.5,-381.4,-1482.5,-748.0,-2883.8,-339.0,460.4,857.0,1840.0,,1114.6,,-1988.7,,-948.3,1224.6,1264.7,1182.2,404.0,398.6,,True,False,True,False,,False,False,False,,False,,True,False,False,False,False,False,True,False,False,False,True,False,False,False,,False,,False,,False,False,False,False,False,True,
Nebraska,6567,11888.0,6168.9,11833.9,9471.0,14754.0,,10423.5,1882.0,7446.7,,10940.6,,9256.8,8543.0,4064.9,11619.0,9998.5,9972.0,8065.1,9557.0,7481.1,14321.7,8038.2,10420.5,10775.0,14163.0,,9483.3,,3114.5,,15152.6,9988.9,10628.6,9442.7,9003.0,13197.1,,5321.0,-398.1,5266.9,2904.0,8187.0,,3856.5,-4685.0,879.7,,4373.6,,2689.8,1976.0,-2502.1,5052.0,3431.5,3405.0,1498.1,2990.0,914.1,7754.7,1471.2,3853.5,4208.0,7596.0,,2916.3,,-3452.5,,8585.6,3421.9,4061.6,2875.7,2436.0,6630.1,,True,True,True,False,,True,True,True,,True,,True,True,True,True,True,True,True,True,True,False,True,True,True,False,,True,,True,,False,True,True,True,True,False,
Nevada,13678,19246.0,21266.1,19852.7,18566.0,21301.0,,20789.9,15153.0,20315.8,,18763.7,,16285.2,20691.0,11918.7,17936.0,17228.7,19166.0,19988.6,12156.0,14160.5,21441.3,21581.8,20377.1,19659.0,18450.0,,21361.7,,14290.7,,18470.7,32938.0,13986.1,12626.5,16163.0,18539.9,,5568.0,7588.1,6174.7,4888.0,7623.0,,7111.9,1475.0,6637.8,,5085.7,,2607.2,7013.0,-1759.3,4258.0,3550.7,5488.0,6310.6,-1522.0,482.5,7763.3,7903.8,6699.1,5981.0,4772.0,,7683.7,,612.7,,4792.7,19260.0,308.1,-1051.5,2485.0,4861.9,,False,False,True,False,,False,True,False,,True,,True,False,True,True,True,True,False,True,True,False,False,False,False,True,,False,,True,,True,False,True,True,True,True,
New Hampshire,6265,11262.0,9034.3,11399.4,10192.0,11984.0,,10691.2,5955.0,11150.2,,12091.8,,10191.3,10532.0,8180.2,10922.0,8008.0,11169.0,9970.4,9325.5,8880.9,8283.1,8242.6,10482.6,11732.0,10407.0,,7933.2,,11427.5,,9937.6,13982.5,5941.4,11190.1,9659.0,14530.5,,4997.0,2769.3,5134.4,3927.0,5719.0,,4426.2,-310.0,4885.2,,5826.8,,3926.3,4267.0,1915.2,4657.0,1743.0,4904.0,3705.4,3060.5,2615.9,2018.1,1977.6,4217.6,5467.0,4142.0,,1668.2,,5162.5,,3672.6,7717.5,-323.6,4925.1,3394.0,8265.5,,True,False,True,False,,True,True,True,,False,,True,True,True,True,True,True,True,True,True,True,True,True,False,True,,True,,False,,True,False,True,True,True,False,
New Jersey,60299,70894.0,65751.9,71128.2,70771.0,70174.0,,76253.1,58008.0,59397.9,,83548.7,,80137.3,75870.0,61057.6,64241.0,51925.3,72554.0,73007.5,70096.5,69529.7,91026.9,62545.2,75929.9,78395.0,63099.0,,66353.0,,40905.8,,59722.4,102021.5,50593.3,80237.5,66805.0,121285.3,,10595.0,5452.9,10829.2,10472.0,9875.0,,15954.1,-2291.0,-901.1,,23249.7,,19838.3,15571.0,758.6,3942.0,-8373.7,12255.0,12708.5,9797.5,9230.7,30727.9,2246.2,15630.9,18096.0,2800.0,,6054.0,,-19393.2,,-576.6,41722.5,-9705.7,19938.5,6506.0,60986.3,,True,False,True,True,,False,True,True,,False,,False,False,True,True,True,False,False,True,True,False,True,False,False,True,,True,,False,,True,False,True,False,True,False,
New Mexico,8635,11372.0,12211.5,10896.1,10830.0,8654.0,,12179.9,9866.0,10332.7,,10652.1,,9458.2,12730.0,7336.3,11944.0,9125.7,11802.5,11900.1,7430.0,8243.6,11722.0,9969.1,12336.4,11490.0,10946.0,,12471.4,,10912.3,,10552.3,18451.0,11304.1,13788.5,9844.0,10479.4,,2737.0,3576.5,2261.1,2195.0,19.0,,3544.9,1231.0,1697.7,,2017.1,,823.2,4095.0,-1298.7,3309.0,490.7,3167.5,3265.1,-1205.0,-391.4,3087.0,1334.1,3701.4,2855.0,2311.0,,3836.4,,2277.3,,1917.3,9816.0,2669.1,5153.5,1209.0,1844.4,,False,True,True,True,,False,True,True,,True,,True,False,True,False,True,False,False,True,True,False,True,False,False,True,,False,,True,,True,False,True,False,True,True,
New York,146989,188890.0,177553.7,190909.3,186119.0,222457.0,,187914.5,249345.0,164284.0,,163348.9,,185513.8,186450.0,178921.2,,163830.1,204457.5,232965.6,152991.5,162725.5,213771.1,127230.5,215469.5,216639.0,183466.0,,182280.7,,185043.7,,179023.0,294773.0,118010.4,206528.9,179663.0,353081.0,,41901.0,30564.7,43920.3,39130.0,75468.0,,40925.5,102356.0,17295.0,,16359.9,,38524.8,39461.0,31932.2,,16841.1,57468.5,85976.6,6002.5,15736.5,66782.1,-19758.5,68480.5,69650.0,36477.0,,35291.7,,38054.7,,32034.0,147784.0,-28978.6,59539.9,32674.0,206092.0,,True,False,True,False,,True,False,True,,True,,True,True,True,,True,False,False,True,True,False,True,False,False,True,,True,,True,,True,False,True,False,True,False,
North Carolina,78805,89780.0,85817.4,88708.8,88709.0,81894.0,,96860.9,78923.0,79568.0,,104541.9,,93186.9,98500.0,66358.4,87932.0,71283.2,96712.0,99375.0,92118.5,80801.0,55016.5,59649.8,112024.2,105582.0,81653.0,,85907.3,,90898.3,,84676.9,142910.1,57740.7,104001.9,102131.0,139458.3,,10975.0,7012.4,9903.8,9904.0,3089.0,,18055.9,118.0,763.0,,25736.9,,14381.9,19695.0,-12446.6,9127.0,-7521.8,17907.0,20570.0,13313.5,1996.0,-23788.5,-19155.2,33219.2,26777.0,2848.0,,7102.3,,12093.3,,5871.9,64105.1,-21064.3,25196.9,23326.0,60653.3,,True,True,True,True,,False,True,True,,False,,False,False,False,True,True,False,False,False,True,False,False,False,False,True,,True,,False,,True,False,False,False,False,False,
North Dakota,1386,2012.0,1163.4,1995.9,1676.0,1225.0,,2005.4,290.0,1566.4,,2103.6,,1589.3,2386.0,1083.4,2206.0,2268.3,1729.0,1242.8,1106.0,1536.1,1327.7,1104.6,1796.8,1712.0,4219.0,,921.0,,662.6,,3590.4,620.4,2301.0,3561.6,1739.0,2288.4,,626.0,-222.6,609.9,290.0,-161.0,,619.4,-1096.0,180.4,,717.6,,203.3,1000.0,-302.6,820.0,882.3,343.0,-143.2,-280.0,150.1,-58.3,-281.4,410.8,326.0,2833.0,,-465.0,,-723.4,,2204.4,-765.6,915.0,2175.6,353.0,902.4,,True,True,True,True,,True,False,True,,False,,True,False,True,False,False,True,True,True,True,True,True,True,True,False,,True,,False,,False,False,False,False,True,False,
Ohio,58238,76668.0,76960.0,76489.4,73126.0,62127.0,,81109.6,41514.0,77168.3,,92081.4,,63385.0,81429.0,51607.1,71410.0,56993.1,79989.0,77338.0,53400.0,60359.5,59901.9,67105.9,79557.9,82061.0,77129.0,,74071.1,,41343.5,,74749.3,116980.2,55624.7,87291.1,67380.0,104296.9,,18430.0,18722.0,18251.4,14888.0,3889.0,,22871.6,-16724.0,18930.3,,33843.4,,5147.0,23191.0,-6630.9,13172.0,-1244.9,21751.0,19100.0,-4838.0,2121.5,1663.9,8867.9,21319.9,23823.0,18891.0,,15833.1,,-16894.5,,16511.3,58742.2,-2613.3,29053.1,9142.0,46058.9,,False,True,True,True,,False,True,False,,False,,True,False,True,True,True,False,False,True,True,True,True,False,False,False,,True,,True,,True,False,True,False,True,False,
Oklahoma,31631,36968.0,39202.8,38039.7,35110.0,30348.0,,39865.6,35088.0,40231.1,,38050.2,,36364.2,37841.0,23574.7,33465.0,25867.7,39446.5,29126.0,24318.5,30921.8,22212.2,51646.7,43820.9,41497.0,34493.0,,35658.1,,22439.5,,33588.5,67150.9,27087.1,47906.0,32600.0,50306.9,,5337.0,7571.8,6408.7,3479.0,-1283.0,,8234.6,3457.0,8600.1,,6419.2,,4733.2,6210.0,-8056.3,1834.0,-5763.3,7815.5,-2505.0,-7312.5,-709.2,-9418.8,20015.7,12189.9,9866.0,2862.0,,4027.1,,-9191.5,,1957.5,35519.9,-4543.9,16275.0,969.0,18675.9,,False,False,True,True,,False,True,False,,False,,True,False,False,True,False,False,True,False,True,False,False,False,False,True,,True,,False,,True,False,True,False,True,False,
Oregon,9141,10376.0,11215.7,10032.5,10384.0,7500.0,,11888.3,10534.0,11921.7,,17230.7,,8995.2,12358.0,10672.2,11165.0,11124.2,13364.5,10184.8,5623.0,8610.2,7434.4,9095.9,12122.1,12202.0,10563.0,,9910.6,,15445.8,,9665.7,17274.5,10225.4,11533.5,8791.0,11700.9,,1235.0,2074.7,891.5,1243.0,-1641.0,,2747.3,1393.0,2780.7,,8089.7,,-145.8,3217.0,1531.2,2024.0,1983.2,4223.5,1043.8,-3518.0,-530.8,-1706.6,-45.1,2981.1,3061.0,1422.0,,769.6,,6304.8,,524.7,8133.5,1084.4,2392.5,-350.0,2559.9,,False,True,False,False,,False,False,False,,False,,True,False,False,False,False,False,True,False,True,False,True,False,False,False,,True,,False,,True,False,True,False,True,False,
Pennsylvania,65637,76192.0,85593.4,74822.0,73591.0,67380.0,,76054.3,42606.0,75477.1,,78759.8,,59595.4,79592.0,50686.3,69123.0,69311.8,80161.5,71075.3,49485.5,55963.7,80734.5,53168.0,76406.2,76773.0,70514.0,,65027.2,,106980.6,,73728.0,108653.5,49984.5,91188.4,69984.0,110941.6,,10555.0,19956.4,9185.0,7954.0,1743.0,,10417.3,-23031.0,9840.1,,13122.8,,-6041.6,13955.0,-14950.7,3486.0,3674.8,14524.5,5438.3,-16151.5,-9673.3,15097.5,-12469.0,10769.2,11136.0,4877.0,,-609.8,,41343.6,,8091.0,43016.5,-15652.5,25551.4,4347.0,45304.6,,False,True,True,True,,True,False,True,,False,,True,False,False,True,True,False,True,False,True,False,False,False,False,True,,True,,False,,True,False,False,False,True,False,
Rhode Island,8156,10584.0,9491.6,8801.1,9540.0,13250.0,,10527.6,2807.0,125654.4,,6268.7,,9683.2,13747.0,3447.7,10310.0,7574.7,9202.0,10113.5,9381.5,8196.9,3049.9,9772.5,13201.3,11575.0,9525.0,,10027.0,,5456.1,,7948.2,19242.2,6880.1,12609.3,4374.0,10210.3,,2428.0,1335.6,645.1,1384.0,5094.0,,2371.6,-5349.0,117498.4,,-1887.3,,1527.2,5591.0,-4708.3,2154.0,-581.3,1046.0,1957.5,1225.5,40.9,-5106.1,1616.5,5045.3,3419.0,1369.0,,1871.0,,-2699.9,,-207.8,11086.2,-1275.9,4453.3,-3782.0,2054.3,,True,True,True,False,,True,False,False,,True,,True,False,False,True,True,True,True,True,True,False,True,False,False,True,,True,,False,,True,False,True,False,False,True,
South Carolina,49192,62734.0,53085.8,63381.1,63930.0,59098.0,,69587.8,109184.0,59897.6,,51860.4,,67672.6,66138.0,54719.1,63001.0,41614.2,64681.0,72862.0,48873.0,51473.4,64059.3,45880.5,65699.2,72345.0,56505.0,,57728.8,,71047.3,,61736.3,93514.6,46210.6,74201.2,62387.0,79398.8,,13542.0,3893.8,14189.1,14738.0,9906.0,,20395.8,59992.0,10705.6,,2668.4,,18480.6,16946.0,5527.1,13809.0,-7577.8,15489.0,23670.0,-319.0,2281.4,14867.3,-3311.5,16507.2,23153.0,7313.0,,8536.8,,21855.3,,12544.3,44322.6,-2981.4,25009.2,13195.0,30206.8,,True,False,False,True,,False,False,True,,True,,False,False,True,False,True,False,False,True,True,False,True,False,False,True,,True,,False,,True,False,True,False,True,False,
South Dakota,2169,3370.0,2363.2,3330.5,2981.0,1983.0,,3577.2,3101.0,3222.7,,5230.9,,2740.3,3634.0,1808.3,3221.0,3462.3,3312.5,2571.6,1683.5,2394.1,1666.3,1656.3,3405.6,3102.0,5050.0,,2974.8,,2348.1,,3654.9,4018.1,3801.5,2382.4,3045.0,3599.2,,1201.0,194.2,1161.5,812.0,-186.0,,1408.2,932.0,1053.7,,3061.9,,571.3,1465.0,-360.7,1052.0,1293.3,1143.5,402.6,-485.5,225.1,-502.7,-512.7,1236.6,933.0,2881.0,,805.8,,179.1,,1485.9,1849.1,1632.5,213.4,876.0,1430.2,,True,True,True,True,,False,True,True,,False,,True,False,True,True,False,True,True,True,True,True,True,False,True,False,,True,,True,,False,False,False,True,True,False,
Tennessee,36337,50058.0,55928.5,50408.8,47505.0,37451.0,,49704.3,46608.0,52679.4,,41047.6,,39317.3,48652.0,22271.6,47045.0,43022.7,48688.5,40882.1,27761.5,37318.5,46898.5,39398.2,55447.9,50900.0,44052.0,,45622.0,,60936.2,,48021.9,77510.4,35922.8,67961.0,42548.0,68653.3,,13721.0,19591.5,14071.8,11168.0,1114.0,,13367.3,10271.0,16342.4,,4710.6,,2980.3,12315.0,-14065.4,10708.0,6685.7,12351.5,4545.1,-8575.5,981.5,10561.5,3061.2,19110.9,14563.0,7715.0,,9285.0,,24599.2,,11684.9,41173.4,-414.2,31624.0,6211.0,32316.3,,False,False,True,True,,True,True,False,,True,,True,True,False,True,True,True,True,True,True,True,True,False,False,True,,True,,False,,True,False,True,False,True,False,
Texas,244032,259622.0,251992.4,266313.0,262095.0,259416.0,,290216.1,277400.0,176136.3,,284850.8,,256925.6,293660.0,310837.8,,229647.7,289800.5,284137.6,180922.0,188850.0,266038.1,206005.4,276407.5,304827.0,250392.0,,254518.9,,182283.3,,218363.0,426586.2,211274.8,259649.7,224251.0,292468.1,,15590.0,7960.4,22281.0,18063.0,15384.0,,46184.1,33368.0,-67895.7,,40818.8,,12893.6,49628.0,66805.8,,-14384.3,45768.5,40105.6,-63110.0,-55182.0,22006.1,-38026.6,32375.5,60795.0,6360.0,,10486.9,,-61748.7,,-25669.0,182554.2,-32757.2,15617.7,-19781.0,48436.1,,True,False,False,True,,False,False,False,,False,,True,False,False,,True,False,False,False,False,False,False,False,False,True,,True,,False,,False,False,False,False,False,False,
Utah,18811,25274.0,23460.4,24236.9,23916.0,16362.0,,29233.6,48326.0,25694.1,,36326.3,,23422.2,27181.0,11881.9,24218.0,18199.8,27884.5,28610.2,15951.5,20468.6,18486.6,32449.3,31964.6,25671.0,25116.0,,25433.9,,12322.5,,18850.6,47060.4,12274.7,31233.9,20427.0,21206.3,,6463.0,4649.4,5425.9,5105.0,-2449.0,,10422.6,29515.0,6883.1,,17515.3,,4611.2,8370.0,-6929.1,5407.0,-611.2,9073.5,9799.2,-2859.5,1657.6,-324.4,13638.3,13153.6,6860.0,6305.0,,6622.9,,-6488.5,,39.6,28249.4,-6536.3,12422.9,1616.0,2395.3,,True,True,True,True,,False,False,False,,False,,True,False,False,True,True,False,False,True,True,True,False,False,False,True,,False,,False,,True,False,False,False,True,True,
Vermont,1858,1986.0,1447.0,2038.5,2042.0,1628.0,,2389.5,3030.0,1762.1,,2030.1,,2219.7,2181.0,1919.8,2198.0,2379.7,2041.0,2248.4,1800.5,1752.8,2070.1,1803.9,2305.6,2737.0,2257.0,,1912.3,,1979.8,,1179.6,2793.8,1415.7,2010.6,1958.0,2132.2,,128.0,-411.0,180.5,184.0,-230.0,,531.5,1172.0,-95.9,,172.1,,361.7,323.0,61.8,340.0,521.7,183.0,390.4,-57.5,-105.2,212.1,-54.1,447.6,879.0,399.0,,54.3,,121.8,,-678.4,935.8,-442.3,152.6,100.0,274.2,,False,False,False,False,,False,False,True,,False,,False,False,True,False,False,False,False,True,True,False,True,False,False,False,,True,,True,,False,False,False,False,True,False,
Virginia,57521,78528.0,62825.5,77762.5,77437.0,75343.0,,86552.7,85813.0,52387.6,,98156.2,,77110.1,59166.0,96511.4,82558.0,57284.3,82360.0,78827.2,47645.0,55417.5,80007.4,63329.9,76949.5,84992.0,72284.0,,68727.7,,66434.1,,59471.7,94254.9,54006.0,91889.2,69472.0,97330.2,,21007.0,5304.5,20241.5,19916.0,17822.0,,29031.7,28292.0,-5133.4,,40635.2,,19589.1,1645.0,38990.4,25037.0,-236.7,24839.0,21306.2,-9876.0,-2103.5,22486.4,5808.9,19428.5,27471.0,14763.0,,11206.7,,8913.1,,1950.7,36733.9,-3515.0,34368.2,11951.0,39809.2,,True,True,True,True,,False,False,True,,False,,True,True,False,False,True,False,False,True,True,False,True,True,False,True,,True,,True,,True,False,True,False,True,False,
Washington,19948,28456.0,26383.3,32756.7,25449.0,30589.0,,25007.9,24825.0,11711.2,,30615.3,,24197.7,26225.0,14366.0,25688.0,24989.0,26284.5,27928.0,20919.5,18169.2,12148.6,38906.6,30257.7,29432.0,27207.0,,27135.4,,37705.5,,25794.9,39044.1,22740.0,31028.7,20096.0,35038.1,,8508.0,6435.3,12808.7,5501.0,10641.0,,5059.9,4877.0,-8236.8,,10667.3,,4249.7,6277.0,-5582.0,5740.0,5041.0,6336.5,7980.0,971.5,-1778.8,-7799.4,18958.6,10309.7,9484.0,7259.0,,7187.4,,17757.5,,5846.9,19096.1,2792.0,11080.7,148.0,15090.1,,True,False,True,False,,True,True,True,,False,,True,True,True,True,True,True,True,True,True,True,False,False,False,True,,True,,False,,True,False,True,False,True,False,
West Virginia,9438,13256.0,14249.7,12588.6,12733.0,10738.0,,13874.2,15794.0,13805.3,,11955.5,,10993.5,14243.0,9546.8,13080.0,10254.9,14606.5,10952.4,8099.0,9278.6,12848.3,8422.6,16155.8,15261.0,12329.0,,11830.4,,11759.3,,11386.4,23257.7,9094.1,14841.3,11857.0,14647.7,,3818.0,4811.7,3150.6,3295.0,1300.0,,4436.2,6356.0,4367.3,,2517.5,,1555.5,4805.0,108.8,3642.0,816.9,5168.5,1514.4,-1339.0,-159.4,3410.3,-1015.4,6717.8,5823.0,2891.0,,2392.4,,2321.3,,1948.4,13819.7,-343.9,5403.3,2419.0,5209.7,,False,True,True,True,,False,False,False,,True,,True,False,True,True,True,False,True,True,True,True,True,False,False,True,,True,,True,,True,False,True,False,True,False,
Wisconsin,20013,27456.0,26461.7,30359.0,23440.0,22742.0,,29646.0,14034.0,21482.6,,34134.0,,23788.9,27174.0,15844.9,25049.0,25478.5,28408.0,21184.6,15965.5,20329.9,11018.2,22047.0,29011.5,27666.0,34166.0,,29888.1,,9729.6,,22398.6,45704.3,20082.6,21327.2,23207.0,31716.0,,7443.0,6448.7,10346.0,3427.0,2729.0,,9633.0,-5979.0,1469.6,,14121.0,,3775.9,7161.0,-4168.1,5036.0,5465.5,8395.0,1171.6,-4047.5,316.9,-8994.8,2034.0,8998.5,7653.0,14153.0,,9875.1,,-10283.4,,2385.6,25691.3,69.6,1314.2,3194.0,11703.0,,True,False,True,True,,False,True,True,,False,,True,True,True,True,True,False,True,True,True,False,True,False,False,False,,False,,False,,True,False,True,True,True,False,
Wyoming,2035,3030.0,3165.5,2924.6,3082.0,2818.0,,3639.3,4425.0,3230.0,,4337.3,,3374.7,3593.0,2082.9,3216.0,2156.4,3106.5,2148.9,2569.0,2942.2,3655.2,2056.9,3459.3,3334.0,3658.0,,2822.5,,1707.2,,2541.7,3378.0,2603.5,2310.4,2255.0,3267.8,,995.0,1130.5,889.6,1047.0,783.0,,1604.3,2390.0,1195.0,,2302.3,,1339.7,1558.0,47.9,1181.0,121.4,1071.5,113.9,534.0,907.2,1620.2,21.9,1424.3,1299.0,1623.0,,787.5,,-327.8,,506.7,1343.0,568.5,275.4,220.0,1232.8,,False,True,False,True,,False,False,False,,False,,False,False,True,False,True,False,True,True,True,False,True,False,False,False,,True,,True,,True,False,True,True,True,False,
US,1908294,2471216.0,2453677.2,2482117.1,2420772.0,2248845.0,2540175.0,2460839.5,2907822.0,3329366.0,2178160.8,,2157611.0,1987573.5,2483694.0,1958709.7,,2102415.6,,2454453.0,1621823.0,2055669.8,2469293.5,2197340.8,2709186.7,2737584.0,2545561.0,2423279.0,2452953.5,2733788.0,2216470.0,2263270.0,2458359.1,,1798818.0,2507198.4,2215690.0,3428952.3,1883542.4,562922.0,545383.2,573823.1,512478.0,340551.0,631881.0,552545.5,999528.0,1421072.0,269866.8,,249317.0,79279.5,575400.0,50415.7,,194121.6,,546159.0,-286471.0,147375.8,560999.5,289046.8,800892.7,829290.0,637267.0,514985.0,544659.5,825494.0,308176.0,354976.0,550065.1,,-109476.0,598904.4,307396.0,1520658.3,-24751.6,True,False,True,True,False,True,False,False,True,,True,True,False,True,,True,,True,True,True,True,True,False,False,False,True,True,False,True,True,True,,True,False,True,False,True
