,actual_cases,COVIDhub-baseline,Columbia_UNC-SurvCon,Covid19Sim-Simulator,IBF-TimeSeries,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,UCF-AEM,UCLA-SuEIR,UMass-MechBayes,USC-SI_kJalpha,error-COVIDhub-baseline,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-UCF-AEM,error-UCLA-SuEIR,error-UMass-MechBayes,error-USC-SI_kJalpha,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-UCF-AEM,beat_baseline-UCLA-SuEIR,beat_baseline-UMass-MechBayes,beat_baseline-USC-SI_kJalpha
05031,4093,5080.0,,,,5274.0,,3370.4,,2360.0,,,987.0,,,,1181.0,,-722.6,,-1733.0,,,,,,False,,True,,False,,
05033,2824,2576.0,,,,3364.0,,1872.4,,,,,-248.0,,,,540.0,,-951.6,,,,,,,,False,,False,,,,
05035,1814,1632.0,,,,2060.0,,947.7,,2061.2,,,-182.0,,,,246.0,,-866.3,,247.2,,,,,,False,,False,,False,,
05037,772,1128.0,,,,782.0,,485.7,,,,,356.0,,,,10.0,,-286.3,,,,,,,,True,,True,,,,
05039,310,328.0,,,,255.0,,186.5,,,,,18.0,,,,-55.0,,-123.5,,,,,,,,False,,False,,,,
05041,524,712.0,,,,391.0,,1608.5,,,,,188.0,,,,-133.0,,1084.5,,,,,,,,True,,False,,,,
05043,783,1472.0,,,,725.0,,3077.3,,,,,689.0,,,,-58.0,,2294.3,,,,,,,,True,,False,,,,
05045,5269,5000.0,,,,4572.0,,6717.9,,1598.1,,,-269.0,,,,-697.0,,1448.9,,-3670.9,,,,,,False,,False,,False,,
05047,613,504.0,,,,811.0,,290.4,,,,,-109.0,,,,198.0,,-322.6,,,,,,,,False,,False,,,,
05049,415,360.0,,,,326.0,,64.1,,,,,-55.0,,,,-89.0,,-350.9,,,,,,,,False,,False,,,,
05051,4403,3576.0,,,,4265.0,,2437.4,,2565.8,,,-827.0,,,,-138.0,,-1965.6,,-1837.2,,,,,,True,,False,,False,,
05053,744,544.0,,,,624.0,,198.9,,,,,-200.0,,,,-120.0,,-545.1,,,,,,,,True,,False,,,,
05055,1934,3288.0,,,,2271.0,,1988.5,,5647.7,,,1354.0,,,,337.0,,54.5,,3713.7,,,,,,True,,True,,False,,
05057,706,704.0,,,,735.0,,291.0,,,,,-2.0,,,,29.0,,-415.0,,,,,,,,False,,False,,,,
05059,1423,1072.0,,,,1580.0,,150.9,,774.6,,,-351.0,,,,157.0,,-1272.1,,-648.4,,,,,,True,,False,,False,,
05061,517,520.0,,,,442.0,,227.4,,,,,3.0,,,,-75.0,,-289.6,,,,,,,,False,,False,,,,
05063,1217,896.0,,,,1991.0,,548.6,,518.0,,,-321.0,,,,774.0,,-668.4,,-699.0,,,,,,False,,False,,False,,
05065,536,336.0,,,,421.0,,74.1,,,,,-200.0,,,,-115.0,,-461.9,,,,,,,,True,,False,,,,
05067,696,3128.0,,,,804.0,,1204.8,,,,,2432.0,,,,108.0,,508.8,,,,,,,,True,,True,,,,
05069,2635,1768.0,,,,2567.0,,703.6,,525.8,,,-867.0,,,,-68.0,,-1931.4,,-2109.2,,,,,,True,,False,,False,,
05071,1109,952.0,,,,1265.0,,982.8,,,,,-157.0,,,,156.0,,-126.2,,,,,,,,True,,True,,,,
05073,184,120.0,,,,190.0,,22.8,,,,,-64.0,,,,6.0,,-161.2,,,,,,,,True,,False,,,,
05075,633,544.0,,,,760.0,,206.4,,,,,-89.0,,,,127.0,,-426.6,,,,,,,,False,,False,,,,
05077,298,576.0,,,,415.0,,1203.0,,,,,278.0,,,,117.0,,905.0,,,,,,,,True,,False,,,,
05079,427,784.0,,,,519.0,,1330.1,,176.3,,,357.0,,,,92.0,,903.1,,-250.7,,,,,,True,,False,,True,,
05081,391,176.0,,,,417.0,,53.8,,,,,-215.0,,,,26.0,,-337.2,,,,,,,,True,,False,,,,
05083,909,752.0,,,,1174.0,,278.7,,,,,-157.0,,,,265.0,,-630.3,,,,,,,,False,,False,,,,
05085,3039,2160.0,,,,2697.0,,1407.1,,1685.5,,,-879.0,,,,-342.0,,-1631.9,,-1353.5,,,,,,True,,False,,False,,
05087,558,592.0,,,,520.0,,1051.0,,,,,34.0,,,,-38.0,,493.0,,,,,,,,False,,False,,,,
05089,376,328.0,,,,381.0,,36.2,,,,,-48.0,,,,5.0,,-339.8,,,,,,,,True,,False,,,,
05091,1226,664.0,,,,1381.0,,184.1,,709.5,,,-562.0,,,,155.0,,-1041.9,,-516.5,,,,,,True,,False,,True,,
05093,1607,2376.0,,,,2286.0,,2609.1,,1449.6,,,769.0,,,,679.0,,1002.1,,-157.4,,,,,,True,,False,,True,,
05095,402,296.0,,,,277.0,,293.9,,,,,-106.0,,,,-125.0,,-108.1,,,,,,,,False,,False,,,,
05097,294,424.0,,,,318.0,,380.5,,,,,130.0,,,,24.0,,86.5,,,,,,,,True,,True,,,,
05099,225,176.0,,,,372.0,,66.4,,,,,-49.0,,,,147.0,,-158.6,,,,,,,,False,,False,,,,
05101,168,200.0,,,,220.0,,98.0,,,,,32.0,,,,52.0,,-70.0,,,,,,,,False,,False,,,,
05103,1010,1024.0,,,,928.0,,885.3,,,,,14.0,,,,-82.0,,-124.7,,,,,,,,False,,False,,,,
05105,412,248.0,,,,329.0,,135.9,,,,,-164.0,,,,-83.0,,-276.1,,,,,,,,True,,False,,,,
05107,579,504.0,,,,888.0,,212.2,,,,,-75.0,,,,309.0,,-366.8,,,,,,,,False,,False,,,,
05109,423,448.0,,,,407.0,,1203.6,,,,,25.0,,,,-16.0,,780.6,,,,,,,,True,,False,,,,
05111,1049,1336.0,,,,1384.0,,926.7,,,,,287.0,,,,335.0,,-122.3,,,,,,,,False,,True,,,,
05113,758,688.0,,,,809.0,,330.4,,,,,-70.0,,,,51.0,,-427.6,,,,,,,,True,,False,,,,
05115,3035,2688.0,,,,2623.0,,1478.7,,4031.5,,,-347.0,,,,-412.0,,-1556.3,,996.5,,,,,,False,,False,,False,,
05117,420,272.0,,,,303.0,,72.2,,,,,-148.0,,,,-117.0,,-347.8,,,,,,,,True,,False,,,,
05119,15759,12776.0,,,,13888.0,,8481.0,,6849.1,10795.0,,-2983.0,,,,-1871.0,,-7278.0,,-8909.9,-4964.0,,,,,True,,False,,False,False,
05121,700,920.0,,,,792.0,,961.4,,,,,220.0,,,,92.0,,261.4,,,,,,,,True,,False,,,,
05123,1022,1288.0,,,,1251.0,,1961.7,,557.9,,,266.0,,,,229.0,,939.7,,-464.1,,,,,,True,,False,,False,,
05125,4757,5160.0,,,,5331.0,,3386.5,,6918.7,,,403.0,,,,574.0,,-1370.5,,2161.7,,,,,,False,,False,,False,,
05127,436,352.0,,,,446.0,,207.0,,,,,-84.0,,,,10.0,,-229.0,,,,,,,,True,,False,,,,
05129,228,456.0,,,,260.0,,927.2,,,,,228.0,,,,32.0,,699.2,,,,,,,,True,,False,,,,
05131,5897,4688.0,,,,6413.0,,2066.4,,3155.8,,,-1209.0,,,,516.0,,-3830.6,,-2741.2,,,,,,True,,False,,False,,
05133,598,496.0,,,,642.0,,223.2,,,,,-102.0,,,,44.0,,-374.8,,,,,,,,True,,False,,,,
05135,628,520.0,,,,595.0,,151.8,,,,,-108.0,,,,-33.0,,-476.2,,,,,,,,True,,False,,,,
05137,345,456.0,,,,356.0,,2228.9,,,,,111.0,,,,11.0,,1883.9,,,,,,,,True,,False,,,,
05139,1675,1240.0,,,,1643.0,,1126.7,,,,,-435.0,,,,-32.0,,-548.3,,,,,,,,True,,False,,,,
05141,618,784.0,,,,544.0,,592.1,,,,,166.0,,,,-74.0,,-25.9,,,,,,,,True,,True,,,,
05143,10430,10392.0,,,,8364.0,,5156.1,,10228.9,11313.0,,-38.0,,,,-2066.0,,-5273.9,,-201.1,883.0,,,,,False,,False,,False,False,
05145,3302,2344.0,,,,3850.0,,337.1,,4212.2,,,-958.0,,,,548.0,,-2964.9,,910.2,,,,,,True,,False,,True,,
05147,330,368.0,,,,218.0,,425.3,,,,,38.0,,,,-112.0,,95.3,,,,,,,,False,,False,,,,
05149,1259,1296.0,,,,890.0,,1265.1,,,,,37.0,,,,-369.0,,6.1,,,,,,,,False,,True,,,,
06001,42584,35280.0,,,,32880.0,,215744.4,,14960.7,168400.0,,-7304.0,,,,-9704.0,,173160.4,,-27623.3,125816.0,,,,,False,,False,,False,False,
06003,22,48.0,,,,74.0,,44.4,,,,,26.0,,,,52.0,,22.4,,,,,,,,False,,True,,,,
06005,1786,2976.0,,,,1604.0,,16046.1,,,,,1190.0,,,,-182.0,,14260.1,,,,,,,,True,,False,,,,
