,actual_cases,COVIDhub-baseline,BPagano-RtDriven,CEID-Walk,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,Google_Harvard-CPF,IBF-TimeSeries,IEM_MED-CovidProject,IowaStateLW-STEM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,JHU_UNC_GAS-StatMechPool,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MOBS-GLEAM_COVID,Microsoft-DeepSTIA,OneQuietNight-ML,QJHong-Encounter,RobertWalraven-ESG,SigSci-TS,TTU-squider,UCF-AEM,UCLA-SuEIR,UCSB-ACTS,UMich-RidgeTfReg,USC-SI_kJalpha,UVA-Ensemble,UpstateSU-GRU,error-COVIDhub-baseline,error-BPagano-RtDriven,error-CEID-Walk,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IEM_MED-CovidProject,error-IowaStateLW-STEM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-JHU_UNC_GAS-StatMechPool,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MOBS-GLEAM_COVID,error-Microsoft-DeepSTIA,error-OneQuietNight-ML,error-QJHong-Encounter,error-RobertWalraven-ESG,error-SigSci-TS,error-TTU-squider,error-UCF-AEM,error-UCLA-SuEIR,error-UCSB-ACTS,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,error-UVA-Ensemble,error-UpstateSU-GRU,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IEM_MED-CovidProject,beat_baseline-IowaStateLW-STEM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-JHU_UNC_GAS-StatMechPool,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-Microsoft-DeepSTIA,beat_baseline-OneQuietNight-ML,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-SigSci-TS,beat_baseline-TTU-squider,beat_baseline-UCF-AEM,beat_baseline-UCLA-SuEIR,beat_baseline-UCSB-ACTS,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha,beat_baseline-UVA-Ensemble,beat_baseline-UpstateSU-GRU
New Jersey,138585,152192.0,131656.1,153135.2,151386.0,288341.0,,171163.8,69663.0,195750.0,193064.3,,702711.0,134827.0,148228.5,163609.0,133940.2,146160.5,129144.0,167601.0,182431.9,145229.2,159754.6,119469.0,,134080.5,,77826.2,,121044.0,162774.4,172723.7,149746.0,154911.5,,13607.0,-6928.9,14550.2,12801.0,149756.0,,32578.8,-68922.0,57165.0,54479.3,,564126.0,-3758.0,9643.5,25024.0,-4644.8,7575.5,-9441.0,29016.0,43846.9,6644.2,21169.6,-19116.0,,-4504.5,,-60758.8,,-17541.0,24189.4,34138.7,11161.0,16326.5,,True,False,True,False,,False,False,False,False,,False,True,True,False,True,True,True,False,False,True,False,False,,True,,False,,False,False,False,True,False,
New Mexico,22260,38300.0,37111.7,36685.3,35403.0,55577.0,,34011.4,6663.0,42851.4,45268.6,,40157.1,36151.0,33996.8,36474.0,20160.7,35227.0,22566.1,41761.5,47115.5,20147.5,36032.4,30586.0,,34474.1,,18243.2,,32579.0,19196.8,42495.8,32247.0,39550.9,,16040.0,14851.7,14425.3,13143.0,33317.0,,11751.4,-15597.0,20591.4,23008.6,,17897.1,13891.0,11736.8,14214.0,-2099.3,12967.0,306.1,19501.5,24855.5,-2112.5,13772.4,8326.0,,12214.1,,-4016.8,,10319.0,-3063.2,20235.8,9987.0,17290.9,,True,True,True,False,,True,True,False,False,,False,True,True,True,True,True,True,False,False,True,True,True,,True,,True,,True,True,False,True,False,
New York,351017,430476.0,317013.5,429873.2,487125.0,625952.0,,474927.0,318871.0,605325.0,517904.6,,687034.4,393171.0,645729.7,,414807.3,414197.5,524507.2,564842.5,562893.5,380241.4,480320.7,380873.0,,406901.8,,393344.3,,646889.4,487651.5,670269.5,428343.0,531994.3,,79459.0,-34003.5,78856.2,136108.0,274935.0,,123910.0,-32146.0,254308.0,166887.6,,336017.4,42154.0,294712.7,,63790.3,63180.5,173490.2,213825.5,211876.5,29224.4,129303.7,29856.0,,55884.8,,42327.3,,295872.4,136634.5,319252.5,77326.0,180977.3,,True,True,False,False,,False,True,False,False,,False,True,False,,True,True,False,False,False,True,False,True,,True,,True,,False,False,False,True,False,
North Carolina,177166,223672.0,241824.6,229172.7,243903.0,318483.0,,223864.9,152005.0,358190.1,256800.9,,378970.8,251367.0,277217.2,245870.0,150570.5,215378.0,274792.8,296302.0,266700.2,172622.7,239000.1,197464.0,,252074.2,,116715.7,,208602.5,247679.2,233711.2,253994.0,314636.5,,46506.0,64658.6,52006.7,66737.0,141317.0,,46698.9,-25161.0,181024.1,79634.9,,201804.8,74201.0,100051.2,68704.0,-26595.5,38212.0,97626.8,119136.0,89534.2,-4543.3,61834.1,20298.0,,74908.2,,-60450.3,,31436.5,70513.2,56545.2,76828.0,137470.5,,False,False,False,False,,False,True,False,False,,False,False,False,False,True,True,False,False,False,True,False,True,,False,,False,,True,False,False,False,False,
North Dakota,3548,6668.0,8740.7,7298.6,6197.0,5910.0,,6353.4,868.0,6260.7,7341.0,,5210.0,9339.0,3146.6,7712.0,5881.0,4986.0,2534.8,5010.0,7564.3,2137.5,7475.3,12460.0,,3815.5,,2098.1,,8027.6,0.0,6161.7,4511.0,8140.4,,3120.0,5192.7,3750.6,2649.0,2362.0,,2805.4,-2680.0,2712.7,3793.0,,1662.0,5791.0,-401.4,4164.0,2333.0,1438.0,-1013.2,1462.0,4016.3,-1410.5,3927.3,8912.0,,267.5,,-1449.9,,4479.6,-3548.0,2613.7,963.0,4592.4,,False,False,True,True,,True,True,True,False,,True,False,True,False,True,True,True,True,False,True,False,False,,True,,True,,False,False,True,True,False,
Ohio,147102,225216.0,254627.9,233501.0,220442.0,312824.0,,204794.3,69081.0,343747.5,266447.2,,234422.3,238462.0,179469.0,251791.0,127928.7,181166.0,169328.3,209601.5,235481.3,170701.6,214732.4,182080.0,,193194.6,,94153.7,,206638.1,149307.5,275065.3,223246.0,241740.0,,78114.0,107525.9,86399.0,73340.0,165722.0,,57692.3,-78021.0,196645.5,119345.2,,87320.3,91360.0,32367.0,104689.0,-19173.3,34064.0,22226.3,62499.5,88379.3,23599.6,67630.4,34978.0,,46092.6,,-52948.3,,59536.1,2205.5,127963.3,76144.0,94638.0,,False,False,True,False,,True,True,False,False,,False,False,True,False,True,True,True,True,False,True,True,True,,True,,True,,True,True,False,True,False,
Oklahoma,76905,115280.0,111248.2,114400.8,110548.0,197975.0,,105690.4,54931.0,172281.9,117200.6,,171589.1,108367.0,108215.5,118526.0,52997.9,102509.5,76016.8,108875.0,133595.5,99267.8,114593.5,104889.0,,119446.0,,43033.3,,99635.2,109175.0,100608.1,90770.0,119010.8,,38375.0,34343.2,37495.8,33643.0,121070.0,,28785.4,-21974.0,95376.9,40295.6,,94684.1,31462.0,31310.5,41621.0,-23907.1,25604.5,-888.2,31970.0,56690.5,22362.8,37688.5,27984.0,,42541.0,,-33871.7,,22730.2,32270.0,23703.1,13865.0,42105.8,,True,True,True,False,,True,True,False,False,,False,True,True,False,True,True,True,True,False,True,True,True,,False,,True,,True,True,True,True,False,
Oregon,22265,32512.0,36693.4,29862.6,31744.0,50628.0,,30407.5,14951.0,51389.0,38747.1,,38020.2,32044.0,37079.4,34713.0,32514.3,30788.0,25951.4,25535.5,35948.3,25800.8,36143.8,24010.0,,32553.8,,37995.1,,26682.4,33538.9,27008.5,31345.0,31172.7,,10247.0,14428.4,7597.6,9479.0,28363.0,,8142.5,-7314.0,29124.0,16482.1,,15755.2,9779.0,14814.4,12448.0,10249.3,8523.0,3686.4,3270.5,13683.3,3535.8,13878.8,1745.0,,10288.8,,15730.1,,4417.4,11273.9,4743.5,9080.0,8907.7,,False,True,True,False,,True,True,False,False,,False,True,False,False,False,True,True,True,False,True,False,True,,False,,False,,True,False,True,True,True,
Pennsylvania,151945,226788.0,209858.7,229345.9,219461.0,349310.0,,196946.7,92128.0,360336.1,251644.0,,216647.3,218519.0,159277.9,277035.0,170902.5,204318.5,167523.1,234128.5,261550.3,161341.0,210537.4,164060.0,,206190.6,,260610.9,,230541.0,235942.6,318182.5,217587.0,286604.7,,74843.0,57913.7,77400.9,67516.0,197365.0,,45001.7,-59817.0,208391.1,99699.0,,64702.3,66574.0,7332.9,125090.0,18957.5,52373.5,15578.1,82183.5,109605.3,9396.0,58592.4,12115.0,,54245.6,,108665.9,,78596.0,83997.6,166237.5,65642.0,134659.7,,True,False,True,False,,True,True,False,False,,True,True,True,False,True,True,True,False,False,True,True,True,,True,,False,,False,False,False,True,False,
Rhode Island,20277,38660.0,27072.3,35442.7,27849.0,58416.0,,32023.5,8525.0,153732.4,56529.3,,41679.5,29188.0,25089.0,51313.0,17113.7,24593.5,23006.0,31206.0,30302.7,29325.8,34720.7,33393.0,,26698.5,,15938.1,,25377.3,20865.1,35493.9,14867.0,17901.6,,18383.0,6795.3,15165.7,7572.0,38139.0,,11746.5,-11752.0,133455.4,36252.3,,21402.5,8911.0,4812.0,31036.0,-3163.3,4316.5,2729.0,10929.0,10025.7,9048.8,14443.7,13116.0,,6421.5,,-4338.9,,5100.3,588.1,15216.9,-5410.0,-2375.4,,True,True,True,False,,True,True,False,False,,False,True,True,False,True,True,True,True,True,True,True,True,,True,,True,,True,True,True,True,True,
South Carolina,112897,149464.0,119117.6,150083.3,146927.0,282677.0,,133880.5,232699.0,220853.4,106299.8,,205536.5,115174.0,155600.7,165123.0,62125.7,140585.0,197569.5,153346.0,138962.4,108778.0,138570.3,138807.0,,136228.9,,129323.1,,137160.0,131837.2,153653.1,136121.0,174665.0,,36567.0,6220.6,37186.3,34030.0,169780.0,,20983.5,119802.0,107956.4,-6597.2,,92639.5,2277.0,42703.7,52226.0,-50771.3,27688.0,84672.5,40449.0,26065.4,-4119.0,25673.3,25910.0,,23331.9,,16426.1,,24263.0,18940.2,40756.1,23224.0,61768.0,,True,False,True,False,,True,False,False,True,,False,True,False,False,False,True,False,False,True,True,True,True,,True,,True,,True,True,False,True,False,
South Dakota,6231,12288.0,12345.0,13115.9,10901.0,11695.0,,10591.6,6595.0,14234.4,14225.5,,9385.8,11840.0,4839.2,15360.0,6994.0,9958.0,5748.1,9134.0,11454.2,3589.0,12651.8,15628.0,,7369.8,,6202.9,,11801.3,2271.6,11943.4,8554.0,12175.2,,6057.0,6114.0,6884.9,4670.0,5464.0,,4360.6,364.0,8003.4,7994.5,,3154.8,5609.0,-1391.8,9129.0,763.0,3727.0,-482.9,2903.0,5223.2,-2642.0,6420.8,9397.0,,1138.8,,-28.1,,5570.3,-3959.4,5712.4,2323.0,5944.2,,False,False,True,True,,True,True,False,False,,True,True,True,False,True,True,True,True,True,True,False,False,,True,,True,,True,True,True,True,True,
Tennessee,95763,169272.0,203809.6,165856.7,170585.0,241251.0,,175001.1,133477.0,282002.2,173336.5,,166739.2,217381.0,99330.1,193268.0,103212.7,173893.0,195777.2,139254.5,173225.7,152014.3,164749.6,138587.0,,150893.9,,151819.9,,141743.9,247411.5,172437.3,144780.0,203872.5,,73509.0,108046.6,70093.7,74822.0,145488.0,,79238.1,37714.0,186239.2,77573.5,,70976.2,121618.0,3567.1,97505.0,7449.7,78130.0,100014.2,43491.5,77462.7,56251.3,68986.6,42824.0,,55130.9,,56056.9,,45980.9,151648.5,76674.3,49017.0,108109.5,,False,True,False,False,,False,True,False,False,,True,False,True,False,True,False,False,True,False,True,True,True,,True,,True,,True,False,False,True,False,
Texas,534590,602936.0,542915.5,623186.0,598383.0,1150962.0,,596285.1,388825.0,867679.3,375141.9,,804735.4,582401.0,790527.6,958192.0,425559.0,453576.0,551100.8,539209.0,617096.6,521697.5,683502.6,564174.0,,603021.4,,393084.9,,484723.1,644315.6,673777.1,532627.0,637229.5,,68346.0,8325.5,88596.0,63793.0,616372.0,,61695.1,-145765.0,333089.3,-159448.1,,270145.4,47811.0,255937.6,423602.0,-109031.0,-81014.0,16510.8,4619.0,82506.6,-12892.5,148912.6,29584.0,,68431.4,,-141505.1,,-49866.9,109725.6,139187.1,-1963.0,102639.5,,True,False,True,False,,True,False,False,False,,False,True,False,False,False,False,True,True,False,True,False,True,,False,,False,,True,False,False,True,False,
Utah,49977,88276.0,92190.1,90184.1,84214.0,60053.0,,84345.7,82240.0,111743.9,109878.1,,117682.6,87570.0,60699.2,86855.0,33155.0,75462.5,55056.0,89353.0,94187.0,85360.7,84739.2,75197.0,,97431.2,,31349.8,,66125.1,68604.8,81527.7,74669.0,74057.3,,38299.0,42213.1,40207.1,34237.0,10076.0,,34368.7,32263.0,61766.9,59901.1,,67705.6,37593.0,10722.2,36878.0,-16822.0,25485.5,5079.0,39376.0,44210.0,35383.7,34762.2,25220.0,,47454.2,,-18627.2,,16148.1,18627.8,31550.7,24692.0,24080.3,,False,False,True,True,,True,True,False,False,,False,True,True,True,True,True,True,False,False,True,True,True,,False,,True,,True,True,True,True,True,
Vermont,3976,4404.0,2958.8,4367.9,4770.0,10424.0,,3875.3,2458.0,5729.0,5692.0,,9058.5,5122.0,10247.1,5773.0,5227.7,4031.5,7896.7,7538.5,5567.1,5816.7,5822.5,4019.0,,4766.8,,2017.3,,4681.9,3649.4,3719.0,5383.0,4880.1,,428.0,-1017.2,391.9,794.0,6448.0,,-100.7,-1518.0,1753.0,1716.0,,5082.5,1146.0,6271.1,1797.0,1251.7,55.5,3920.7,3562.5,1591.1,1840.7,1846.5,43.0,,790.8,,-1958.7,,705.9,-326.6,-257.0,1407.0,904.1,,False,True,False,False,,True,False,False,False,,False,False,False,False,False,True,False,False,False,False,False,True,,False,,False,,False,True,True,False,False,
Virginia,132461,139840.0,143432.6,139549.5,148419.0,198673.0,,138133.6,85148.0,178462.9,182428.1,,207356.9,132068.0,167413.5,149310.0,125355.7,139943.0,165539.1,147622.0,164439.5,135107.3,151988.7,122921.0,,148940.2,,76204.3,,95578.8,166609.6,160671.2,104051.0,150351.6,,7379.0,10971.6,7088.5,15958.0,66212.0,,5672.6,-47313.0,46001.9,49967.1,,74895.9,-393.0,34952.5,16849.0,-7105.3,7482.0,33078.1,15161.0,31978.5,2646.3,19527.7,-9540.0,,16479.2,,-56256.7,,-36882.2,34148.6,28210.2,-28410.0,17890.6,,False,True,False,False,,True,False,False,False,,False,True,False,False,True,False,False,False,False,True,False,False,,False,,False,,False,False,False,False,False,
Washington,48551,99372.0,93306.3,88682.1,76205.0,88061.0,,123582.4,41525.0,77717.9,107212.5,,95912.4,67776.0,206572.7,87776.0,48490.7,57516.5,78974.9,64895.5,67616.3,106224.9,73761.8,89444.0,,81598.4,,87211.7,,89447.6,26575.5,64385.5,64111.0,72832.0,,50821.0,44755.3,40131.1,27654.0,39510.0,,75031.4,-7026.0,29166.9,58661.5,,47361.4,19225.0,158021.7,39225.0,-60.3,8965.5,30423.9,16344.5,19065.3,57673.9,25210.8,40893.0,,33047.4,,38660.7,,40896.6,-21975.5,15834.5,15560.0,24281.0,,True,True,True,True,,False,True,True,False,,True,True,False,True,True,True,True,True,True,False,True,True,,True,,True,,True,True,True,True,True,
West Virginia,24412,41804.0,41007.1,42229.7,42360.0,54974.0,,39938.0,27843.0,62127.3,62798.1,,56223.6,42371.0,49049.2,48328.0,26549.3,45639.0,40126.9,39326.5,44443.2,40793.5,43549.1,33201.0,,39531.6,,24431.1,,39799.0,51630.1,46737.0,41209.0,49281.5,,17392.0,16595.1,17817.7,17948.0,30562.0,,15526.0,3431.0,37715.3,38386.1,,31811.6,17959.0,24637.2,23916.0,2137.3,21227.0,15714.9,14914.5,20031.2,16381.5,19137.1,8789.0,,15119.6,,19.1,,15387.0,27218.1,22325.0,16797.0,24869.5,,True,False,False,False,,True,True,False,False,,False,False,False,False,True,False,True,True,False,True,False,True,,True,,True,,True,False,False,True,False,
Wisconsin,51882,97928.0,100816.6,101390.4,93482.0,221397.0,,83781.7,14062.0,95896.7,97374.2,,98740.4,87698.0,40498.1,112705.0,45262.2,67200.0,44483.0,90981.0,115712.1,61604.6,92815.3,115725.0,,89401.5,,21296.3,,94223.5,34567.2,106667.2,67951.0,102523.3,,46046.0,48934.6,49508.4,41600.0,169515.0,,31899.7,-37820.0,44014.7,45492.2,,46858.4,35816.0,-11383.9,60823.0,-6619.8,15318.0,-7399.0,39099.0,63830.1,9722.6,40933.3,63843.0,,37519.5,,-30585.7,,42341.5,-17314.8,54785.2,16069.0,50641.3,,False,False,True,False,,True,True,True,True,,False,True,True,False,True,True,True,True,False,True,True,False,,True,,True,,True,True,False,True,False,
Wyoming,5899,8584.0,9651.8,8259.1,7388.0,10312.0,,6871.8,1076.0,7655.6,11674.6,,5003.6,7761.0,8754.8,11597.0,4054.7,6030.0,2927.8,6725.0,7874.0,6995.6,7516.6,9500.0,,6616.8,,4699.5,,10498.3,904.9,11334.0,5825.0,7953.1,,2685.0,3752.8,2360.1,1489.0,4413.0,,972.8,-4823.0,1756.6,5775.6,,-895.4,1862.0,2855.8,5698.0,-1844.3,131.0,-2971.2,826.0,1975.0,1096.6,1617.6,3601.0,,717.8,,-1199.5,,4599.3,-4994.1,5435.0,-74.0,2054.1,,False,True,True,False,,True,False,True,False,,True,True,False,False,True,True,False,True,True,True,True,False,,True,,True,,False,False,False,True,True,
US,4710023,6824400.0,6389097.3,6752026.9,6943132.0,11334081.0,6632834.0,7104681.7,7166417.0,12398476.0,,7288577.0,8553966.5,6120553.0,7034455.7,,4613651.5,,6427185.0,7082456.0,7513183.0,5315043.6,6787480.9,7134033.0,6412683.0,6253242.1,7479633.0,4742336.7,7316553.0,7315985.2,,8216760.4,6326749.0,7893486.8,3253280.4,2114377.0,1679074.3,2042003.9,2233109.0,6624058.0,1922811.0,2394658.7,2456394.0,7688453.0,,2578554.0,3843943.5,1410530.0,2324432.7,,-96371.5,,1717162.0,2372433.0,2803160.0,605020.6,2077457.9,2424010.0,1702660.0,1543219.1,2769610.0,32313.7,2606530.0,2605962.2,,3506737.4,1616726.0,3183463.8,-1456742.6,True,True,False,False,True,False,False,False,,False,False,True,False,,True,,True,False,False,True,True,False,True,True,False,True,False,False,,False,True,False,True
