,actual_cases,COVIDhub-baseline,BPagano-RtDriven,CEID-Walk,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,Google_Harvard-CPF,IBF-TimeSeries,IEM_MED-CovidProject,IowaStateLW-STEM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MIT_ISOLAT-Mixtures,MOBS-GLEAM_COVID,Microsoft-DeepSTIA,OliverWyman-Navigator,OneQuietNight-ML,QJHong-Encounter,RobertWalraven-ESG,SigSci-TS,TTU-squider,UCF-AEM,UCLA-SuEIR,UCSB-ACTS,UMich-RidgeTfReg,USC-SI_kJalpha,UVA-Ensemble,UpstateSU-GRU,error-COVIDhub-baseline,error-BPagano-RtDriven,error-CEID-Walk,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IEM_MED-CovidProject,error-IowaStateLW-STEM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MIT_ISOLAT-Mixtures,error-MOBS-GLEAM_COVID,error-Microsoft-DeepSTIA,error-OliverWyman-Navigator,error-OneQuietNight-ML,error-QJHong-Encounter,error-RobertWalraven-ESG,error-SigSci-TS,error-TTU-squider,error-UCF-AEM,error-UCLA-SuEIR,error-UCSB-ACTS,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,error-UVA-Ensemble,error-UpstateSU-GRU,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IEM_MED-CovidProject,beat_baseline-IowaStateLW-STEM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MIT_ISOLAT-Mixtures,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-Microsoft-DeepSTIA,beat_baseline-OliverWyman-Navigator,beat_baseline-OneQuietNight-ML,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-SigSci-TS,beat_baseline-TTU-squider,beat_baseline-UCF-AEM,beat_baseline-UCLA-SuEIR,beat_baseline-UCSB-ACTS,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha,beat_baseline-UVA-Ensemble,beat_baseline-UpstateSU-GRU
New Hampshire,12116,15222.0,17348.3,15320.3,14911.0,11556.0,,14751.0,6716.0,23506.5,17410.0,,14029.5,18035.0,14931.4,16906.0,13409.6,14335.7,13513.0,15212.4,11090.3,10965.1,16105.4,17647.0,10545.0,,12635.6,,17607.3,,11276.4,22836.7,15907.6,15503.0,17176.3,,3106.0,5232.3,3204.3,2795.0,-560.0,,2635.0,-5400.0,11390.5,5294.0,,1913.5,5919.0,2815.4,4790.0,1293.6,2219.7,1397.0,3096.4,-1025.7,-1150.9,3989.4,5531.0,-1571.0,,519.6,,5491.3,,-839.6,10720.7,3791.6,3387.0,5060.3,,False,False,True,True,,True,False,False,False,,True,False,True,False,True,True,True,True,True,True,False,False,True,,True,,False,,True,False,False,False,False,
New Jersey,95746,128517.0,102453.4,128386.4,126692.0,195383.0,,122127.5,68721.0,121325.5,133458.2,,166770.9,122708.0,108557.7,132723.0,93773.8,121607.6,126277.5,123727.6,190798.4,102138.8,124846.9,136380.0,107950.0,,141921.6,,66818.4,,128557.9,132043.3,143531.6,127546.0,144773.6,,32771.0,6707.4,32640.4,30946.0,99637.0,,26381.5,-27025.0,25579.5,37712.2,,71024.9,26962.0,12811.7,36977.0,-1972.2,25861.6,30531.5,27981.6,95052.4,6392.8,29100.9,40634.0,12204.0,,46175.6,,-28927.6,,32811.9,36297.3,47785.6,31800.0,49027.6,,True,True,True,False,,True,True,True,False,,False,True,True,False,True,True,True,True,False,True,True,False,True,,False,,True,,False,False,False,True,False,
New Mexico,14321,23817.0,22151.0,22964.0,22164.0,20088.0,,24536.8,8230.0,20465.2,29137.8,,23365.6,25665.0,22656.1,25719.0,15049.3,18912.3,19745.0,20388.7,17589.3,16134.0,22068.4,25598.0,21461.0,,20188.7,,9606.7,,20873.4,27301.0,27548.4,22824.0,21751.6,,9496.0,7830.0,8643.0,7843.0,5767.0,,10215.8,-6091.0,6144.2,14816.8,,9044.6,11344.0,8335.1,11398.0,728.3,4591.3,5424.0,6067.7,3268.3,1813.0,7747.4,11277.0,7140.0,,5867.7,,-4714.3,,6552.4,12980.0,13227.4,8503.0,7430.6,,True,True,True,True,,False,True,True,False,,True,False,True,False,True,True,True,True,True,True,True,False,True,,True,,True,,True,False,False,True,True,
New York,241434,328749.0,289148.9,328116.5,335037.0,417668.0,,305979.1,378697.0,390843.2,348218.6,,382796.9,308309.0,376186.4,,301351.3,376717.1,358847.0,301999.6,382125.4,307240.5,354538.9,412593.0,278140.0,,321633.4,,285601.7,,296302.4,441657.3,299112.6,336337.0,497444.5,,87315.0,47714.9,86682.5,93603.0,176234.0,,64545.1,137263.0,149409.2,106784.6,,141362.9,66875.0,134752.4,,59917.3,135283.1,117413.0,60565.6,140691.4,65806.5,113104.9,171159.0,36706.0,,80199.4,,44167.7,,54868.4,200223.3,57678.6,94903.0,256010.5,,True,True,False,False,,True,False,False,False,,False,True,False,,True,False,False,True,False,True,False,False,True,,True,,True,,True,False,True,False,False,
North Carolina,123695,160413.0,182305.9,162113.9,165955.0,133024.0,,173011.5,109060.0,221341.7,175238.4,,206903.9,178102.0,175114.3,164780.0,126297.7,203457.0,158975.0,147957.1,122191.4,176731.2,173188.4,206596.0,130543.0,,165025.1,,140611.2,,151126.7,213707.1,166456.0,178080.0,205879.8,,36718.0,58610.9,38418.9,42260.0,9329.0,,49316.5,-14635.0,97646.7,51543.4,,83208.9,54407.0,51419.3,41085.0,2602.7,79762.0,35280.0,24262.1,-1503.6,53036.2,49493.4,82901.0,6848.0,,41330.1,,16916.2,,27431.7,90012.1,42761.0,54385.0,82184.8,,False,False,False,True,,False,True,False,False,,False,False,False,False,True,False,True,True,True,False,False,False,True,,False,,True,,True,False,False,False,False,
North Dakota,2392,3468.0,2403.7,3546.6,2867.0,2190.0,,3483.3,462.0,2675.4,5110.9,,2928.1,5820.0,1630.9,4060.0,3474.2,1979.1,2937.5,3220.8,2720.6,1588.6,3328.2,3123.0,7009.0,,2704.7,,1245.4,,1673.7,240.0,953.1,2845.0,3622.0,,1076.0,11.7,1154.6,475.0,-202.0,,1091.3,-1930.0,283.4,2718.9,,536.1,3428.0,-761.1,1668.0,1082.2,-412.9,545.5,828.8,328.6,-803.4,936.2,731.0,4617.0,,312.7,,-1146.6,,-718.3,-2152.0,-1438.9,453.0,1230.0,,True,False,True,True,,False,False,True,False,,True,False,True,False,False,True,True,True,True,True,True,True,False,,True,,False,,True,False,False,True,False,
Ohio,96572,151590.0,154620.2,155788.9,144066.0,125751.0,,150389.9,43976.0,195153.8,186384.6,,150721.9,162664.0,127059.1,156868.0,99744.8,124790.8,161898.0,129189.0,102970.8,124573.4,143782.7,164990.0,121233.0,,127131.5,,71906.3,,128846.2,167892.7,128725.6,155513.0,178793.3,,55018.0,58048.2,59216.9,47494.0,29179.0,,53817.9,-52596.0,98581.8,89812.6,,54149.9,66092.0,30487.1,60296.0,3172.8,28218.8,65326.0,32617.0,6398.8,28001.4,47210.7,68418.0,24661.0,,30559.5,,-24665.7,,32274.2,71320.7,32153.6,58941.0,82221.3,,False,False,True,True,,True,True,False,False,,True,False,True,False,True,True,False,True,True,True,True,False,True,,True,,True,,True,False,True,False,False,
Oklahoma,50115,80370.0,81142.1,81598.2,78747.0,70574.0,,86203.4,42570.0,95270.4,68915.8,,81554.8,88361.0,88862.8,78037.0,44198.8,69571.9,57541.0,60830.6,77611.3,77749.6,80475.7,88316.0,62715.0,,74473.5,,37354.3,,55399.2,97123.9,85923.7,80727.0,98691.0,,30255.0,31027.1,31483.2,28632.0,20459.0,,36088.4,-7545.0,45155.4,18800.8,,31439.8,38246.0,38747.8,27922.0,-5916.2,19456.9,7426.0,10715.6,27496.3,27634.6,30360.7,38201.0,12600.0,,24358.5,,-12760.7,,5284.2,47008.9,35808.7,30612.0,48576.0,,False,False,True,True,,False,True,False,True,,False,False,False,True,True,True,True,True,True,True,False,False,True,,True,,True,,True,False,False,False,False,
Oregon,14329,23808.0,22255.3,23446.7,21733.0,21137.0,,24722.2,13322.0,28902.8,35500.7,,25623.1,26187.0,19750.8,26044.0,21694.0,21243.4,18909.0,19699.8,7627.6,19500.1,21987.9,27345.0,17447.0,,19506.0,,23950.3,,17981.7,25279.1,25576.4,26015.0,23283.2,,9479.0,7926.3,9117.7,7404.0,6808.0,,10393.2,-1007.0,14573.8,21171.7,,11294.1,11858.0,5421.8,11715.0,7365.0,6914.4,4580.0,5370.8,-6701.4,5171.1,7658.9,13016.0,3118.0,,5177.0,,9621.3,,3652.7,10950.1,11247.4,11686.0,8954.2,,True,True,True,True,,False,True,False,False,,False,False,True,False,True,True,True,True,True,True,True,False,True,,True,,False,,True,False,False,False,True,
Pennsylvania,103733,144636.0,154347.9,146622.8,136129.0,118247.0,,144903.6,58870.0,177513.7,189424.4,,140548.8,164070.0,134474.7,152062.0,120213.5,116254.6,119911.5,127143.1,178580.8,121896.4,133749.3,155431.0,99188.0,,109691.8,,171399.6,,114873.4,179242.7,75891.3,150807.0,197054.0,,40903.0,50614.9,42889.8,32396.0,14514.0,,41170.6,-44863.0,73780.7,85691.4,,36815.8,60337.0,30741.7,48329.0,16480.5,12521.6,16178.5,23410.1,74847.8,18163.4,30016.3,51698.0,-4545.0,,5958.8,,67666.6,,11140.4,75509.7,-27841.7,47074.0,93321.0,,False,False,True,True,,False,False,False,False,,True,False,True,False,True,True,True,True,False,True,True,False,True,,True,,False,,True,False,True,False,False,
Rhode Island,13448,20487.0,19304.4,17881.8,19264.0,35582.0,,20590.6,5308.0,83203.6,30984.8,,21259.3,22102.0,16746.3,20488.0,15096.2,15763.9,19886.0,19366.1,27396.4,20525.5,22767.9,21503.0,14831.0,,14518.5,,9428.5,,16209.8,32539.9,18186.6,15673.0,17460.6,,7039.0,5856.4,4433.8,5816.0,22134.0,,7142.6,-8140.0,69755.6,17536.8,,7811.3,8654.0,3298.3,7040.0,1648.2,2315.9,6438.0,5918.1,13948.4,7077.5,9319.9,8055.0,1383.0,,1070.5,,-4019.5,,2761.8,19091.9,4738.6,2225.0,4012.6,,True,True,True,False,,False,False,False,False,,False,False,True,False,True,True,True,True,False,False,False,False,True,,True,,True,,True,False,True,True,True,
South Carolina,80559,97014.0,98915.6,97918.5,103503.0,92582.0,,100501.2,191713.0,173256.4,81249.4,,132801.3,97993.0,110997.5,88478.0,63012.2,126187.6,105286.5,103685.0,119135.0,76729.4,110251.1,126776.0,78147.0,,117133.5,,105169.1,,91336.2,142789.4,123773.8,101850.0,126376.4,,16455.0,18356.6,17359.5,22944.0,12023.0,,19942.2,111154.0,92697.4,690.4,,52242.3,17434.0,30438.5,7919.0,-17546.8,45628.6,24727.5,23126.0,38576.0,-3829.6,29692.1,46217.0,-2412.0,,36574.5,,24610.1,,10777.2,62230.4,43214.8,21291.0,45817.4,,False,False,False,True,,False,False,False,True,,False,False,False,True,False,False,False,False,False,True,False,False,True,,False,,False,,True,False,False,False,False,
South Dakota,3854,7131.0,4684.5,7587.1,6179.0,4565.0,,6869.8,4755.0,8276.4,11428.9,,6204.7,7816.0,4169.2,7452.0,5307.7,4787.5,4589.0,5712.3,3374.3,8873.0,6591.1,6088.0,10426.0,,5012.4,,1508.3,,6534.3,6392.5,10693.5,5652.0,7380.4,,3277.0,830.5,3733.1,2325.0,711.0,,3015.8,901.0,4422.4,7574.9,,2350.7,3962.0,315.2,3598.0,1453.7,933.5,735.0,1858.3,-479.7,5019.0,2737.1,2234.0,6572.0,,1158.4,,-2345.7,,2680.3,2538.5,6839.5,1798.0,3526.4,,True,False,True,True,,True,True,False,False,,True,False,True,False,True,True,True,True,True,False,True,True,False,,True,,True,,True,True,False,True,False,
Tennessee,61366,103191.0,129358.2,108773.1,95218.0,93683.0,,101338.0,89912.0,122271.9,97757.3,,89200.3,114439.0,81044.0,87451.0,74471.2,99492.5,67470.5,75757.2,71958.4,79048.6,107697.3,108976.0,81097.0,,93247.6,,100848.7,,79520.6,141460.7,128506.3,103376.0,123209.7,,41825.0,67992.2,47407.1,33852.0,32317.0,,39972.0,28546.0,60905.9,36391.3,,27834.3,53073.0,19678.0,26085.0,13105.2,38126.5,6104.5,14391.2,10592.4,17682.6,46331.3,47610.0,19731.0,,31881.6,,39482.7,,18154.6,80094.7,67140.3,42010.0,61843.7,,False,False,True,True,,True,True,False,True,,True,False,True,True,True,True,True,True,True,True,False,False,True,,True,,True,,True,False,False,False,False,
Texas,373843,482241.0,433255.6,505770.6,481320.0,579950.0,,488608.0,332785.0,490332.0,489515.8,,531498.1,484105.0,509997.7,763066.0,382723.4,476341.8,450727.5,436589.2,,333836.5,471036.2,551435.0,424472.0,,435634.9,,289233.5,,362818.6,592539.4,547140.1,451610.0,565931.0,,108398.0,59412.6,131927.6,107477.0,206107.0,,114765.0,-41058.0,116489.0,115672.8,,157655.1,110262.0,136154.7,389223.0,8880.4,102498.8,76884.5,62746.2,,-40006.5,97193.2,177592.0,50629.0,,61791.9,,-84609.5,,-11024.4,218696.4,173297.1,77767.0,192088.0,,True,False,True,False,,False,True,False,False,,False,False,False,False,True,True,True,True,,True,True,False,True,,True,,True,,True,False,False,True,False,
Utah,31448,55587.0,52471.9,50385.8,51841.0,28168.0,,60127.6,67170.0,73626.6,88750.3,,57046.6,62502.0,47310.9,58233.0,31286.7,43947.6,31629.0,47904.9,80232.2,47918.9,57882.9,54958.0,46024.0,,51619.6,,21221.2,,32542.9,72364.9,60031.8,51331.0,48054.1,,24139.0,21023.9,18937.8,20393.0,-3280.0,,28679.6,35722.0,42178.6,57302.3,,25598.6,31054.0,15862.9,26785.0,-161.3,12499.6,181.0,16456.9,48784.2,16470.9,26434.9,23510.0,14576.0,,20171.6,,-10226.8,,1094.9,40916.9,28583.8,19883.0,16606.1,,True,True,True,True,,False,False,False,False,,False,False,True,False,True,True,True,True,False,True,False,True,True,,True,,True,,True,False,False,True,True,
Vermont,2851,3375.0,2585.0,3479.8,3534.0,3719.0,,3707.3,2391.0,3355.0,4266.1,,5084.9,3875.0,9814.2,4578.0,3761.8,5616.6,3375.0,3312.9,2985.4,3709.7,3658.1,5124.0,3372.0,,3422.2,,2003.4,,1434.2,3643.0,2981.7,4182.0,3888.5,,524.0,-266.0,628.8,683.0,868.0,,856.3,-460.0,504.0,1415.1,,2233.9,1024.0,6963.2,1727.0,910.8,2765.6,524.0,461.9,134.4,858.7,807.1,2273.0,521.0,,571.2,,-847.6,,-1416.8,792.0,130.7,1331.0,1037.5,,True,False,False,False,,False,True,True,False,,False,False,False,False,False,False,False,True,True,False,False,False,True,,False,,False,,False,False,True,False,False,
Virginia,96785,107028.0,110505.2,107217.4,111612.0,114003.0,,114809.7,79565.0,122489.8,156599.6,,186891.4,104634.0,100673.4,107564.0,85539.4,143238.6,120075.5,142746.2,108283.7,116444.8,133818.9,137561.0,101375.0,,142214.5,,78044.5,,106763.1,136586.4,125584.7,82509.0,124425.5,,10243.0,13720.2,10432.4,14827.0,17218.0,,18024.7,-17220.0,25704.8,59814.6,,90106.4,7849.0,3888.4,10779.0,-11245.6,46453.6,23290.5,45961.2,11498.7,19659.8,37033.9,40776.0,4590.0,,45429.5,,-18740.5,,9978.1,39801.4,28799.7,-14276.0,27640.5,,False,False,False,False,,False,False,False,False,,False,True,True,False,False,False,False,False,False,False,False,False,True,,False,,False,,True,False,False,False,False,
Washington,34176,43125.0,60625.8,38261.9,52110.0,26193.0,,67257.7,29465.0,50481.9,58748.1,,55375.0,56100.0,103102.8,59954.0,40646.4,49695.6,52823.5,52205.5,64534.4,75634.0,57075.6,56414.0,23903.0,,43323.2,,57832.9,,52777.5,68774.9,47542.4,51352.0,55734.6,,8949.0,26449.8,4085.9,17934.0,-7983.0,,33081.7,-4711.0,16305.9,24572.1,,21199.0,21924.0,68926.8,25778.0,6470.4,15519.6,18647.5,18029.5,30358.4,41458.0,22899.6,22238.0,-10273.0,,9147.2,,23656.9,,18601.5,34598.9,13366.4,17176.0,21558.6,,False,True,False,True,,False,True,False,False,,False,False,False,False,True,False,False,False,False,False,False,False,False,,False,,False,,False,False,False,False,False,
West Virginia,16066,25038.0,29514.8,25411.2,24641.0,22342.0,,25829.2,24733.0,28211.6,22505.8,,22093.8,26443.0,21854.0,26285.0,18374.4,27223.8,20426.5,19819.4,24261.4,22996.4,27757.4,31255.0,19813.0,,19479.8,,19171.6,,17564.6,39821.8,30615.4,27133.0,29713.9,,8972.0,13448.8,9345.2,8575.0,6276.0,,9763.2,8667.0,12145.6,6439.8,,6027.8,10377.0,5788.0,10219.0,2308.4,11157.8,4360.5,3753.4,8195.4,6930.4,11691.4,15189.0,3747.0,,3413.8,,3105.6,,1498.6,23755.8,14549.4,11067.0,13647.9,,False,False,True,True,,False,True,False,True,,True,False,True,False,True,False,True,True,True,True,False,False,True,,True,,True,,True,False,False,False,False,
Wisconsin,33741,54423.0,49611.9,55475.5,52176.0,61612.0,,60234.5,7928.0,47014.9,84439.5,,58846.4,54405.0,49980.1,57457.0,39392.2,38333.2,45216.5,49357.9,51448.8,43981.1,55235.3,60861.0,57100.0,,48356.2,,17134.2,,45728.3,74856.1,40754.2,49957.0,66849.9,,20682.0,15870.9,21734.5,18435.0,27871.0,,26493.5,-25813.0,13273.9,50698.5,,25105.4,20664.0,16239.1,23716.0,5651.2,4592.2,11475.5,15616.9,17707.8,10240.1,21494.3,27120.0,23359.0,,14615.2,,-16606.8,,11987.3,41115.1,7013.2,16216.0,33108.9,,True,False,True,False,,False,False,True,False,,False,True,True,False,True,True,True,True,True,True,False,False,False,,True,,True,,True,False,True,True,False,
Wyoming,3550,7047.0,5615.9,7445.8,6826.0,6238.0,,6906.5,570.0,5790.7,9285.8,,7395.1,7512.0,11725.9,8749.0,3846.5,3539.2,5818.0,7258.8,5842.1,3664.0,5601.9,7162.0,7100.0,,6035.7,,2836.6,,7265.1,2122.8,7659.0,5430.0,6909.2,,3497.0,2065.9,3895.8,3276.0,2688.0,,3356.5,-2980.0,2240.7,5735.8,,3845.1,3962.0,8175.9,5199.0,296.5,-10.8,2268.0,3708.8,2292.1,114.0,2051.9,3612.0,3550.0,,2485.7,,-713.4,,3715.1,-1427.2,4109.0,1880.0,3359.2,,True,False,True,True,,True,True,True,False,,False,False,False,False,True,True,True,False,True,True,True,False,False,,True,,True,,False,True,False,True,True,
US,3133768,4695234.0,4658506.8,4639082.4,4720482.0,5088810.0,5078519.0,4683690.4,5931778.0,13907452.0,,4542096.7,4753246.3,4952994.0,4545057.4,,3598530.5,4703116.9,4251839.0,4184096.7,6237710.5,4320675.7,4738991.1,5390267.0,4865335.0,4973142.0,4494532.2,4716797.0,3464522.5,4380233.0,4042862.6,,4159344.6,4679370.0,5981236.8,3273163.1,1561466.0,1524738.8,1505314.4,1586714.0,1955042.0,1944751.0,1549922.4,2798010.0,10773684.0,,1408328.7,1619478.3,1819226.0,1411289.4,,464762.5,1569348.9,1118071.0,1050328.7,3103942.5,1186907.7,1605223.1,2256499.0,1731567.0,1839374.0,1360764.2,1583029.0,330754.5,1246465.0,909094.6,,1025576.6,1545602.0,2847468.8,139395.1,True,True,False,False,False,True,False,False,,True,False,False,True,,True,False,True,True,False,True,False,False,False,False,True,False,True,True,True,,True,True,False,True
