,actual_cases,COVIDhub-baseline,BPagano-RtDriven,CEID-Walk,CMU-TimeSeries,COVIDhub-ensemble,COVIDhub-trained_ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,FAIR-NRAR,FDANIHASU-Sweight,Geneva-DetGrowth,Google_Harvard-CPF,IBF-TimeSeries,IEM_MED-CovidProject,IowaStateLW-STEM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,JHU_UNC_GAS-StatMechPool,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MIT_ISOLAT-Mixtures,MOBS-GLEAM_COVID,Microsoft-DeepSTIA,OliverWyman-Navigator,OneQuietNight-ML,PandemicCentral-USCounty,QJHong-Encounter,RobertWalraven-ESG,SigSci-TS,TTU-squider,UCF-AEM,UCLA-SuEIR,UChicagoCHATTOPADHYAY-UnIT,UMass-MechBayes,UMich-RidgeTfReg,USC-SI_kJalpha,UVA-Ensemble,UpstateSU-GRU,error-COVIDhub-baseline,error-BPagano-RtDriven,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-ensemble,error-COVIDhub-trained_ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-FAIR-NRAR,error-FDANIHASU-Sweight,error-Geneva-DetGrowth,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IEM_MED-CovidProject,error-IowaStateLW-STEM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-JHU_UNC_GAS-StatMechPool,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MIT_ISOLAT-Mixtures,error-MOBS-GLEAM_COVID,error-Microsoft-DeepSTIA,error-OliverWyman-Navigator,error-OneQuietNight-ML,error-PandemicCentral-USCounty,error-QJHong-Encounter,error-RobertWalraven-ESG,error-SigSci-TS,error-TTU-squider,error-UCF-AEM,error-UCLA-SuEIR,error-UChicagoCHATTOPADHYAY-UnIT,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,error-UVA-Ensemble,error-UpstateSU-GRU,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-ensemble,beat_baseline-COVIDhub-trained_ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-FAIR-NRAR,beat_baseline-FDANIHASU-Sweight,beat_baseline-Geneva-DetGrowth,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IEM_MED-CovidProject,beat_baseline-IowaStateLW-STEM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-JHU_UNC_GAS-StatMechPool,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MIT_ISOLAT-Mixtures,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-Microsoft-DeepSTIA,beat_baseline-OliverWyman-Navigator,beat_baseline-OneQuietNight-ML,beat_baseline-PandemicCentral-USCounty,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-SigSci-TS,beat_baseline-TTU-squider,beat_baseline-UCF-AEM,beat_baseline-UCLA-SuEIR,beat_baseline-UChicagoCHATTOPADHYAY-UnIT,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha,beat_baseline-UVA-Ensemble,beat_baseline-UpstateSU-GRU
06079,862,1168.0,,1209.0,,909.0,870.0,823.0,,,,,645.4,,,166.1,,909.1,1254.0,925.7,,752.8,1005.0,,551.0,649.8,,,,1183.0,635.0,1279.1,,,,,,919.4,997.2,,,,1049.8,1181.5,306.0,,347.0,,47.0,8.0,-39.0,,,,,-216.6,,,-695.9,,47.1,392.0,63.7,,-109.2,143.0,,-311.0,-212.2,,,,321.0,-227.0,417.1,,,,,,57.4,135.2,,,,187.8,319.5,,False,,True,True,True,,,,,True,,,False,,True,False,True,,True,True,,False,True,,,,False,True,False,,,,,,True,True,,,,True,False
06081,1223,1735.0,,1628.4,1789.7,1521.0,1424.0,1280.0,,,,,1224.4,,,1294.6,,1315.8,1503.0,2250.1,,1759.3,1888.5,,894.0,1209.0,,,,1950.0,527.0,2846.6,,,,,,1576.5,1678.2,1416.0,,,1691.5,1938.7,512.0,,405.4,566.7,298.0,201.0,57.0,,,,,1.4,,,71.6,,92.8,280.0,1027.1,,536.3,665.5,,-329.0,-14.0,,,,727.0,-696.0,1623.6,,,,,,353.5,455.2,193.0,,,468.5,715.7,,True,False,True,True,True,,,,,True,,,True,,True,True,False,,False,False,,True,True,,,,False,False,False,,,,,,True,True,True,,,True,False
06083,1417,1824.0,,1923.0,2003.1,1481.0,1564.0,1392.0,,,,,1134.5,,,683.8,,1481.1,1748.0,2203.6,,1444.7,2083.5,,1086.5,1463.8,,,,2294.0,1030.0,1956.7,,,,,,1418.5,1533.4,1186.0,,,1758.3,2250.1,407.0,,506.0,586.1,64.0,147.0,-25.0,,,,,-282.5,,,-733.2,,64.1,331.0,786.6,,27.7,666.5,,-330.5,46.8,,,,877.0,-387.0,539.7,,,,,,1.5,116.4,-231.0,,,341.3,833.1,,False,False,True,True,True,,,,,True,,,False,,True,True,False,,True,False,,True,True,,,,False,True,False,,,,,,True,True,True,,,True,False
06085,3156,5018.0,,5388.0,4660.7,4051.0,3730.0,5963.0,,,,,2906.3,,,3071.1,,3032.2,5439.0,4186.4,,3678.3,4967.0,,2145.5,3159.8,,,,4413.0,1747.0,6630.1,,,,,,4995.1,4611.3,3500.0,,,3812.8,5436.5,1862.0,,2232.0,1504.7,895.0,574.0,2807.0,,,,,-249.7,,,-84.9,,-123.8,2283.0,1030.4,,522.3,1811.0,,-1010.5,3.8,,,,1257.0,-1409.0,3474.1,,,,,,1839.1,1455.3,344.0,,,656.8,2280.5,,False,True,True,True,False,,,,,True,,,True,,True,False,True,,True,True,,True,True,,,,True,True,False,,,,,,True,True,True,,,True,False
06087,594,634.0,,602.7,,538.0,534.0,528.0,,,,,432.6,,,156.2,,411.7,506.0,703.3,,629.9,775.5,,477.0,456.5,,,,666.0,268.0,825.0,,,,,,611.4,690.1,473.0,,,599.4,678.5,40.0,,8.7,,-56.0,-60.0,-66.0,,,,,-161.4,,,-437.8,,-182.3,-88.0,109.3,,35.9,181.5,,-117.0,-137.5,,,,72.0,-326.0,231.0,,,,,,17.4,96.1,-121.0,,,5.4,84.5,,True,,False,False,False,,,,,False,,,False,,False,False,False,,True,False,,False,False,,,,False,False,False,,,,,,True,False,False,,,True,False
06089,309,413.0,,426.2,,254.0,295.0,254.0,,,,,229.9,,,349.0,,,322.0,201.3,,226.8,274.5,,184.0,242.7,,,,383.0,133.0,389.2,,,,,,427.7,387.5,203.0,,,402.8,502.4,104.0,,117.2,,-55.0,-14.0,-55.0,,,,,-79.1,,,40.0,,,13.0,-107.7,,-82.2,-34.5,,-125.0,-66.3,,,,74.0,-176.0,80.2,,,,,,118.7,78.5,-106.0,,,93.8,193.4,,False,,True,True,True,,,,,True,,,True,,,True,False,,True,True,,False,True,,,,True,False,True,,,,,,False,True,False,,,True,False
06091,0,7.0,,6.4,,6.0,8.0,6.0,,,,,1.4,,,3.2,,,4.0,42.7,,6.5,,,10.0,3.8,,,,12.0,4.0,,,,,,,,8.3,,,,12.8,8.7,7.0,,6.4,,6.0,8.0,6.0,,,,,1.4,,,3.2,,,4.0,42.7,,6.5,,,10.0,3.8,,,,12.0,4.0,,,,,,,,8.3,,,,12.8,8.7,,True,,True,False,True,,,,,True,,,True,,,True,False,,True,,,False,True,,,,False,True,,,,,,,,False,,,,False,False
06093,66,48.0,,44.7,,49.0,46.0,50.0,,,,,40.3,,,17.6,,,65.0,64.6,,32.7,55.5,,38.0,31.4,,,,64.0,2.0,73.4,,,,,,,44.5,,,,33.8,80.8,-18.0,,-21.3,,-17.0,-20.0,-16.0,,,,,-25.7,,,-48.4,,,-1.0,-1.4,,-33.3,-10.5,,-28.0,-34.6,,,,-2.0,-64.0,7.4,,,,,,,-21.5,,,,-32.2,14.8,,False,,True,False,True,,,,,False,,,False,,,True,True,,False,True,,False,False,,,,True,False,True,,,,,,,False,,,,False,True
06095,980,1212.0,,1143.7,1392.8,1110.0,1062.0,983.0,,,,,812.4,,,291.1,,1172.4,1305.0,1628.8,,1061.3,1108.0,,414.0,885.7,,,,1387.0,576.0,1680.3,,,,,,990.3,1186.9,1201.0,,,892.0,1705.2,232.0,,163.7,412.8,130.0,82.0,3.0,,,,,-167.6,,,-688.9,,192.4,325.0,648.8,,81.3,128.0,,-566.0,-94.3,,,,407.0,-404.0,700.3,,,,,,10.3,206.9,221.0,,,-88.0,725.2,,True,False,True,True,True,,,,,True,,,False,,True,False,False,,True,True,,False,True,,,,False,False,False,,,,,,True,True,True,,,True,False
06097,682,1231.0,,1205.9,,1000.0,1055.0,987.0,,,,,780.3,,,833.2,,928.0,1420.0,1269.9,,867.0,1264.0,,726.5,946.8,,,,1289.0,511.0,2110.3,,,,,,1031.4,1155.5,635.0,,,1165.1,1421.2,549.0,,523.9,,318.0,373.0,305.0,,,,,98.3,,,151.2,,246.0,738.0,587.9,,185.0,582.0,,44.5,264.8,,,,607.0,-171.0,1428.3,,,,,,349.4,473.5,-47.0,,,483.1,739.2,,True,,True,True,True,,,,,True,,,True,,True,False,False,,True,False,,True,True,,,,False,True,False,,,,,,True,True,True,,,True,False
06099,1894,2236.0,,2224.8,1861.0,1875.0,1931.0,2084.0,,,,,1329.5,,,1365.7,,,1926.0,1392.9,,1671.5,3218.0,,1617.5,1889.2,,,,2176.0,1221.0,1892.8,,,,,,1799.6,1819.1,1565.0,,,1939.8,2751.0,342.0,,330.8,-33.0,-19.0,37.0,190.0,,,,,-564.5,,,-528.3,,,32.0,-501.1,,-222.5,1324.0,,-276.5,-4.8,,,,282.0,-673.0,-1.2,,,,,,-94.4,-74.9,-329.0,,,45.8,857.0,,True,True,True,True,True,,,,,False,,,False,,,True,False,,True,False,,True,True,,,,True,False,True,,,,,,True,True,True,,,True,False
06101,252,337.0,,331.9,,274.0,252.0,271.0,,,,,207.0,,,80.6,,,292.0,423.5,,220.4,334.0,,106.0,224.8,,,,351.0,176.0,329.3,,,,,,397.8,391.7,,,,259.6,359.9,85.0,,79.9,,22.0,0.0,19.0,,,,,-45.0,,,-171.4,,,40.0,171.5,,-31.6,82.0,,-146.0,-27.2,,,,99.0,-76.0,77.3,,,,,,145.8,139.7,,,,7.6,107.9,,True,,True,True,True,,,,,True,,,False,,,True,False,,True,True,,False,True,,,,False,True,True,,,,,,False,False,,,,True,False
06103,171,192.0,,223.1,,185.0,201.0,218.0,,,,,124.3,,,203.3,,,178.0,952.8,,184.0,140.0,,185.0,144.5,,,,395.0,114.0,114.0,,,,,,,132.2,,,,222.0,311.3,21.0,,52.1,,14.0,30.0,47.0,,,,,-46.7,,,32.3,,,7.0,781.8,,13.0,-31.0,,14.0,-26.5,,,,224.0,-57.0,-57.0,,,,,,,-38.8,,,,51.0,140.3,,False,,True,False,False,,,,,False,,,False,,,True,False,,True,False,,True,False,,,,False,False,False,,,,,,,False,,,,False,False
06105,4,2.0,,1.8,,1.0,4.0,0.0,,,,,3.6,,,4.1,,,18.0,1.2,,3.5,,,7.0,1.1,,,,,0.0,10.3,,,,,,,7.7,,,,0.7,4.1,-2.0,,-2.2,,-3.0,0.0,-4.0,,,,,-0.4,,,0.1,,,14.0,-2.8,,-0.5,,,3.0,-2.9,,,,,-4.0,6.3,,,,,,,3.7,,,,-3.3,0.1,,False,,False,True,False,,,,,True,,,True,,,False,False,,True,,,False,False,,,,,False,False,,,,,,,False,,,,False,True
06107,1316,1759.0,,1781.3,1716.2,1536.0,1307.0,1657.0,,,,,1095.9,,,0.0,,,1778.0,1797.0,,1485.1,1458.5,,0.0,1163.7,,,,1698.0,1062.0,,,,,,,1427.0,1445.6,1604.0,,,1535.7,2398.0,443.0,,465.3,400.2,220.0,-9.0,341.0,,,,,-220.1,,,-1316.0,,,462.0,481.0,,169.1,142.5,,-1316.0,-152.3,,,,382.0,-254.0,,,,,,,111.0,129.6,288.0,,,219.7,1082.0,,False,True,True,True,True,,,,,True,,,False,,,False,False,,True,True,,False,True,,,,True,True,,,,,,,True,True,True,,,True,False
06109,111,106.0,,111.0,,106.0,107.0,98.0,,,,,78.3,,,31.8,,,100.0,126.5,,60.7,69.0,,106.0,75.3,,,,115.0,36.0,132.4,,,,,,,122.1,,,,82.5,159.3,-5.0,,0.0,,-5.0,-4.0,-13.0,,,,,-32.7,,,-79.2,,,-11.0,15.5,,-50.3,-42.0,,-5.0,-35.7,,,,4.0,-75.0,21.4,,,,,,,11.1,,,,-28.5,48.3,,True,,False,True,False,,,,,False,,,False,,,False,False,,False,False,,False,False,,,,True,False,False,,,,,,,False,,,,False,False
06111,3442,5107.0,,4833.8,4980.1,3479.0,3995.0,4916.0,,,,,2807.5,,,2897.8,,3265.5,4073.0,4071.8,,3587.2,4687.0,,3001.0,3173.1,,,,5007.0,3184.0,2863.5,,,,,,4269.8,4397.1,3300.0,,,4296.0,6236.2,1665.0,,1391.8,1538.1,37.0,553.0,1474.0,,,,,-634.5,,,-544.2,,-176.5,631.0,629.8,,145.2,1245.0,,-441.0,-268.9,,,,1565.0,-258.0,-578.5,,,,,,827.8,955.1,-142.0,,,854.0,2794.2,,True,True,True,True,True,,,,,True,,,True,,True,True,True,,True,True,,True,True,,,,True,True,True,,,,,,True,True,True,,,True,False
06113,413,598.0,,591.1,,504.0,497.0,465.0,,,,,315.2,,,610.0,,,676.0,875.9,,463.6,587.5,,483.0,504.1,,,,623.0,219.0,759.2,,,,,,449.3,622.9,478.0,,,572.5,598.1,185.0,,178.1,,91.0,84.0,52.0,,,,,-97.8,,,197.0,,,263.0,462.9,,50.6,174.5,,70.0,91.1,,,,210.0,-194.0,346.2,,,,,,36.3,209.9,65.0,,,159.5,185.1,,True,,True,True,True,,,,,True,,,False,,,False,False,,True,True,,True,True,,,,False,False,False,,,,,,True,False,True,,,True,False
06115,107,275.0,,251.0,,216.0,221.0,155.0,,,,,159.4,,,18.2,,,188.0,178.0,,141.0,226.0,,275.0,158.0,,,,262.0,127.0,306.8,,,,,,241.3,259.7,,,,250.3,259.0,168.0,,144.0,,109.0,114.0,48.0,,,,,52.4,,,-88.8,,,81.0,71.0,,34.0,119.0,,168.0,51.0,,,,155.0,20.0,199.8,,,,,,134.3,152.7,,,,143.3,152.0,,True,,True,True,True,,,,,True,,,True,,,True,True,,True,True,,False,True,,,,True,True,False,,,,,,True,True,,,,True,True
08001,780,866.0,,903.5,930.5,743.0,841.0,735.0,,,,,608.2,,,718.1,,743.4,878.0,368.0,,1107.8,1300.0,,608.0,696.2,,,,786.0,884.0,1367.7,,,,,,937.5,881.9,718.0,,,397.4,986.3,86.0,,123.5,150.5,-37.0,61.0,-45.0,,,,,-171.8,,,-61.9,,-36.6,98.0,-412.0,,327.8,520.0,,-172.0,-83.8,,,,6.0,104.0,587.7,,,,,,157.5,101.9,-62.0,,,-382.6,206.3,,False,False,True,True,True,,,,,False,,,True,,True,False,False,,False,False,,False,True,,,,True,False,False,,,,,,False,False,True,,,False,False
08003,51,44.0,,40.9,,42.0,45.0,42.0,,,,,19.4,,,35.6,,,35.0,33.0,,33.1,,,47.0,45.9,,,,43.0,42.0,39.0,,,,,,,30.9,,,,53.3,50.0,-7.0,,-10.1,,-9.0,-6.0,-9.0,,,,,-31.6,,,-15.4,,,-16.0,-18.0,,-17.9,,,-4.0,-5.1,,,,-8.0,-9.0,-12.0,,,,,,,-20.1,,,,2.3,-1.0,,False,,False,True,False,,,,,False,,,False,,,False,False,,False,,,True,True,,,,False,False,False,,,,,,,False,,,,True,True
08005,1030,1146.0,,1135.9,1145.0,1003.0,1135.0,1193.0,,,,,721.7,,,967.3,,1002.6,882.0,548.9,,1093.7,1623.5,,862.5,909.5,,,,1127.0,1179.0,1572.9,,,,,,1271.1,1432.8,968.0,,,789.8,1276.2,116.0,,105.9,115.0,-27.0,105.0,163.0,,,,,-308.3,,,-62.7,,-27.4,-148.0,-481.1,,63.7,593.5,,-167.5,-120.5,,,,97.0,149.0,542.9,,,,,,241.1,402.8,-62.0,,,-240.2,246.2,,True,True,True,True,False,,,,,False,,,True,,True,False,False,,True,False,,False,False,,,,True,False,False,,,,,,False,False,True,,,False,False
08007,10,11.0,,10.6,,13.0,23.0,10.0,,,,,12.4,,,13.8,,,21.0,16.0,,14.6,,,4.0,8.0,,,,20.0,16.0,30.4,,,,,,,26.2,,,,9.2,45.9,1.0,,0.6,,3.0,13.0,0.0,,,,,2.4,,,3.8,,,11.0,6.0,,4.6,,,-6.0,-2.0,,,,10.0,6.0,20.4,,,,,,,16.2,,,,-0.8,35.9,,True,,False,False,True,,,,,False,,,False,,,False,False,,False,,,False,False,,,,False,False,False,,,,,,,False,,,,True,False
08009,5,4.0,,7.4,,7.0,8.0,0.0,,,,,6.8,,,3.9,,,8.0,18.1,,10.7,,,0.0,4.4,,,,,7.0,12.3,,,,,,,3.9,,,,3.8,16.9,-1.0,,2.4,,2.0,3.0,-5.0,,,,,1.8,,,-1.1,,,3.0,13.1,,5.7,,,-5.0,-0.6,,,,,2.0,7.3,,,,,,,-1.1,,,,-1.2,11.9,,False,,False,False,False,,,,,False,,,False,,,False,False,,False,,,False,True,,,,,False,False,,,,,,,False,,,,False,False
08011,41,5.0,,2.7,,8.0,23.0,7.0,,,,,22.8,,,7.6,,,10.0,0.7,,13.0,,,2.0,12.4,,,,,8.0,48.6,,,,,,,4.8,,,,0.0,54.6,-36.0,,-38.3,,-33.0,-18.0,-34.0,,,,,-18.2,,,-33.4,,,-31.0,-40.3,,-28.0,,,-39.0,-28.6,,,,,-33.0,7.6,,,,,,,-36.2,,,,-41.0,13.6,,False,,True,True,True,,,,,True,,,True,,,True,False,,True,,,False,True,,,,,True,True,,,,,,,False,,,,False,True
08013,410,496.0,,436.1,,408.0,441.0,562.0,,,,,271.9,,,427.5,,421.1,473.0,271.5,,481.5,444.5,,330.0,373.6,,,,479.0,448.0,701.0,,,,,,545.2,448.2,377.0,,,394.4,483.9,86.0,,26.1,,-2.0,31.0,152.0,,,,,-138.1,,,17.5,,11.1,63.0,-138.5,,71.5,34.5,,-80.0,-36.4,,,,69.0,38.0,291.0,,,,,,135.2,38.2,-33.0,,,-15.6,73.9,,True,,True,True,False,,,,,False,,,True,,True,True,False,,True,True,,True,True,,,,True,True,False,,,,,,False,True,True,,,True,True
08014,106,118.0,,121.0,,112.0,111.0,112.0,,,,,59.3,,,100.3,,,106.0,99.3,,132.2,111.5,,106.0,94.1,,,,126.0,118.0,151.2,,,,,,96.1,,,,,,112.0,12.0,,15.0,,6.0,5.0,6.0,,,,,-46.7,,,-5.7,,,0.0,-6.7,,26.2,5.5,,0.0,-11.9,,,,20.0,12.0,45.2,,,,,,-9.9,,,,,,6.0,,False,,True,True,True,,,,,False,,,True,,,True,True,,False,True,,True,True,,,,False,False,False,,,,,,True,,,,,,True
08015,36,52.0,,54.3,,36.0,37.0,35.0,,,,,26.6,,,45.3,,,40.0,18.2,,35.9,,,27.0,36.3,,,,25.0,46.0,36.9,,,,,,,51.5,,,,46.6,34.5,16.0,,18.3,,0.0,1.0,-1.0,,,,,-9.4,,,9.3,,,4.0,-17.8,,-0.1,,,-9.0,0.3,,,,-11.0,10.0,0.9,,,,,,,15.5,,,,10.6,-1.5,,False,,True,True,True,,,,,True,,,True,,,True,False,,True,,,True,True,,,,True,True,True,,,,,,,True,,,,True,True
08017,5,7.0,,7.4,,4.0,5.0,0.0,,,,,2.3,,,16.1,,,4.0,2.9,,3.3,,,5.0,2.3,,,,6.0,6.0,,,,,,,,7.8,,,,5.5,,2.0,,2.4,,-1.0,0.0,-5.0,,,,,-2.7,,,11.1,,,-1.0,-2.1,,-1.7,,,0.0,-2.7,,,,1.0,1.0,,,,,,,,2.8,,,,0.5,,,False,,True,True,False,,,,,False,,,False,,,True,False,,True,,,True,False,,,,True,True,,,,,,,,False,,,,True,
08019,6,4.0,,4.0,,4.0,6.0,4.0,,,,,6.6,,,8.4,,,14.0,2.9,,8.3,,,0.0,2.7,,,,,7.0,,,,,,,,6.7,,,,4.1,12.5,-2.0,,-2.0,,-2.0,0.0,-2.0,,,,,0.6,,,2.4,,,8.0,-3.1,,2.3,,,-6.0,-3.3,,,,,1.0,,,,,,,,0.7,,,,-1.9,6.5,,True,,False,True,False,,,,,True,,,False,,,False,False,,False,,,False,False,,,,,True,,,,,,,,True,,,,True,False
08021,9,17.0,,16.9,,16.0,17.0,14.0,,,,,8.0,,,16.9,,,17.0,14.9,,13.5,,,16.0,12.3,,,,19.0,15.0,25.6,,,,,,,19.0,,,,18.6,18.5,8.0,,7.9,,7.0,8.0,5.0,,,,,-1.0,,,7.9,,,8.0,5.9,,4.5,,,7.0,3.3,,,,10.0,6.0,16.6,,,,,,,10.0,,,,9.6,9.5,,True,,True,False,True,,,,,True,,,True,,,False,True,,True,,,True,True,,,,False,True,False,,,,,,,False,,,,False,False
08023,1,4.0,,3.7,,3.0,5.0,0.0,,,,,2.7,,,0.7,,,7.0,1.1,,2.9,,,4.0,1.2,,,,3.0,4.0,,,,,,,,5.8,,,,2.8,8.8,3.0,,2.7,,2.0,4.0,-1.0,,,,,1.7,,,-0.3,,,6.0,0.1,,1.9,,,3.0,0.2,,,,2.0,3.0,,,,,,,,4.8,,,,1.8,7.8,,True,,True,False,True,,,,,True,,,True,,,False,True,,True,,,False,True,,,,True,False,,,,,,,,False,,,,True,False
08025,70,51.0,,47.5,,30.0,29.0,0.0,,,,,26.9,,,31.8,,,9.0,2.3,,33.7,,,12.0,28.9,,,,45.0,33.0,12.3,,,,,,,32.0,,,,31.8,45.1,-19.0,,-22.5,,-40.0,-41.0,-70.0,,,,,-43.1,,,-38.2,,,-61.0,-67.7,,-36.3,,,-58.0,-41.1,,,,-25.0,-37.0,-57.7,,,,,,,-38.0,,,,-38.2,-24.9,,False,,False,False,False,,,,,False,,,False,,,False,False,,False,,,False,False,,,,False,False,False,,,,,,,False,,,,False,False
08027,0,1.0,,1.6,,2.0,2.0,0.0,,,,,2.0,,,1.3,,,5.0,0.7,,2.0,,,2.0,0.6,,,,,3.0,,,,,,,,3.7,,,,0.0,2.8,1.0,,1.6,,2.0,2.0,0.0,,,,,2.0,,,1.3,,,5.0,0.7,,2.0,,,2.0,0.6,,,,,3.0,,,,,,,,3.7,,,,0.0,2.8,,False,,False,False,True,,,,,False,,,False,,,False,True,,False,,,False,True,,,,,False,,,,,,,,False,,,,True,False
08029,51,102.0,,98.9,,84.0,85.0,104.0,,,,,63.4,,,89.4,,,105.0,53.8,,87.3,95.0,,51.0,65.5,,,,118.0,95.0,106.7,,,,,,110.3,81.7,,,,71.9,106.8,51.0,,47.9,,33.0,34.0,53.0,,,,,12.4,,,38.4,,,54.0,2.8,,36.3,44.0,,0.0,14.5,,,,67.0,44.0,55.7,,,,,,59.3,30.7,,,,20.9,55.8,,True,,True,True,False,,,,,True,,,True,,,False,True,,True,True,,True,True,,,,False,True,False,,,,,,False,True,,,,True,False
08031,986,1217.0,,1388.2,1133.6,1100.0,1138.0,1486.0,,,,,826.8,,,1268.5,,922.1,1007.0,359.9,,1261.1,1485.0,,844.0,929.4,,,,1118.0,1099.0,1991.3,,,,,,1440.4,1157.0,958.0,,,1250.6,1256.4,231.0,,402.2,147.6,114.0,152.0,500.0,,,,,-159.2,,,282.5,,-63.9,21.0,-626.1,,275.1,499.0,,-142.0,-56.6,,,,132.0,113.0,1005.3,,,,,,454.4,171.0,-28.0,,,264.6,270.4,,False,True,True,True,False,,,,,True,,,False,,True,True,False,,False,False,,True,True,,,,True,True,False,,,,,,False,True,True,,,False,False
08033,0,1.0,,0.3,,1.0,3.0,0.0,,,,,1.0,,,1.4,,,5.0,30.6,,2.6,,,2.0,0.9,,,,,2.0,,,,,,,,2.5,,,,1.4,,1.0,,0.3,,1.0,3.0,0.0,,,,,1.0,,,1.4,,,5.0,30.6,,2.6,,,2.0,0.9,,,,,2.0,,,,,,,,2.5,,,,1.4,,,True,,False,False,True,,,,,True,,,False,,,False,False,,False,,,False,True,,,,,False,,,,,,,,False,,,,False,
08035,721,564.0,,488.1,,466.0,512.0,544.0,,,,,323.7,,,433.1,,420.6,469.0,257.8,,420.3,634.0,,409.0,443.6,,,,543.0,546.0,740.1,,,,,,677.5,666.0,438.0,,,545.5,558.7,-157.0,,-232.9,,-255.0,-209.0,-177.0,,,,,-397.3,,,-287.9,,-300.4,-252.0,-463.2,,-300.7,-87.0,,-312.0,-277.4,,,,-178.0,-175.0,19.1,,,,,,-43.5,-55.0,-283.0,,,-175.5,-162.3,,False,,False,False,False,,,,,False,,,False,,False,False,False,,False,True,,False,False,,,,False,False,True,,,,,,True,True,False,,,False,False
08037,203,203.0,,203.3,,162.0,162.0,206.0,,,,,97.4,,,151.0,,174.6,178.0,153.4,,132.4,189.5,,149.0,147.6,,,,220.0,189.0,159.9,,,,,,181.5,207.3,,,,184.3,162.4,0.0,,0.3,,-41.0,-41.0,3.0,,,,,-105.6,,,-52.0,,-28.4,-25.0,-49.6,,-70.6,-13.5,,-54.0,-55.4,,,,17.0,-14.0,-43.1,,,,,,-21.5,4.3,,,,-18.7,-40.6,,False,,False,False,False,,,,,False,,,False,,False,False,False,,False,False,,False,False,,,,False,False,False,,,,,,False,False,,,,False,False
08039,50,31.0,,31.5,,27.0,31.0,21.0,,,,,18.5,,,34.6,,,32.0,16.1,,27.6,,,28.0,35.5,,,,33.0,36.0,40.9,,,,,,,28.7,,,,24.7,26.9,-19.0,,-18.5,,-23.0,-19.0,-29.0,,,,,-31.5,,,-15.4,,,-18.0,-33.9,,-22.4,,,-22.0,-14.5,,,,-17.0,-14.0,-9.1,,,,,,,-21.3,,,,-25.3,-23.1,,True,,False,False,False,,,,,False,,,True,,,True,False,,False,,,False,True,,,,True,True,True,,,,,,,False,,,,False,False
08041,1083,977.0,,1049.2,973.5,857.0,1002.0,890.0,,,,,634.4,,,1001.0,,739.5,1016.0,466.4,,1025.3,1095.5,,692.0,763.4,,,,893.0,1022.0,1786.4,,,,,,1331.6,943.4,725.0,,,594.4,1083.7,-106.0,,-33.8,-109.5,-226.0,-81.0,-193.0,,,,,-448.6,,,-82.0,,-343.5,-67.0,-616.6,,-57.7,12.5,,-391.0,-319.6,,,,-190.0,-61.0,703.4,,,,,,248.6,-139.6,-358.0,,,-488.6,0.7,,True,False,False,True,False,,,,,False,,,True,,False,True,False,,True,True,,False,False,,,,False,True,False,,,,,,False,False,False,,,False,True
08043,60,106.0,,106.0,,62.0,83.0,45.0,,,,,70.8,,,196.5,,,76.0,18.8,,103.2,62.0,,25.0,62.2,,,,104.0,106.0,121.8,,,,,,147.1,97.4,,,,44.3,118.1,46.0,,46.0,,2.0,23.0,-15.0,,,,,10.8,,,136.5,,,16.0,-41.2,,43.2,2.0,,-35.0,2.2,,,,44.0,46.0,61.8,,,,,,87.1,37.4,,,,-15.7,58.1,,False,,True,True,True,,,,,True,,,False,,,True,True,,True,True,,True,True,,,,True,False,False,,,,,,False,True,,,,True,False
