,actual_cases,COVIDhub-baseline,CDDEP-SEIR_MCMC,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,IowaStateLW-STEM,LANL-GrowthRate,MITCovAlliance-SIR,RobertWalraven-ESG,UCLA-SuEIR,USACE-ERDC_SEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-CDDEP-SEIR_MCMC,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-IowaStateLW-STEM,error-LANL-GrowthRate,error-MITCovAlliance-SIR,error-RobertWalraven-ESG,error-UCLA-SuEIR,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,beat_baseline-CDDEP-SEIR_MCMC,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IowaStateLW-STEM,beat_baseline-LANL-GrowthRate,beat_baseline-MITCovAlliance-SIR,beat_baseline-RobertWalraven-ESG,beat_baseline-UCLA-SuEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha
18153,173,420.0,,,,,102.0,129.2,168.0,108.4,365.3,,598.0,247.0,,,,,-71.0,-43.8,-5.0,-64.6,192.3,,425.0,,,,,True,True,True,True,True,,False
18155,14,91.0,,,,,14.0,3.8,,4.4,32.9,,215.0,77.0,,,,,0.0,-10.2,,-9.6,18.9,,201.0,,,,,True,True,,True,True,,False
18157,1461,889.0,1390.2,,,,812.0,536.2,456.8,883.7,685.5,,907.0,-572.0,-70.8,,,,-649.0,-924.8,-1004.2,-577.3,-775.5,,-554.0,True,,,,False,False,False,False,False,,True
18159,80,161.0,,,,,64.0,24.7,131.2,6.1,181.4,,88.0,81.0,,,,,-16.0,-55.3,51.2,-73.9,101.4,,8.0,,,,,True,True,True,True,False,,True
18161,38,21.0,,,,,7.0,8.1,,1.0,20.7,,20.0,-17.0,,,,,-31.0,-29.9,,-37.0,-17.3,,-18.0,,,,,False,False,,False,False,,False
18163,2004,1589.0,4897.7,,,,1183.0,1176.6,532.4,1207.2,1559.0,,921.0,-415.0,2893.7,,,,-821.0,-827.4,-1471.6,-796.8,-445.0,,-1083.0,False,,,,False,False,False,False,False,,False
18165,77,105.0,,,,,77.0,6.2,,2.7,127.0,,69.0,28.0,,,,,0.0,-70.8,,-74.3,50.0,,-8.0,,,,,True,False,,False,False,,True
18167,1178,1351.0,827.0,,,,658.0,422.9,753.1,905.4,2001.2,,1801.0,173.0,-351.0,,,,-520.0,-755.1,-424.9,-272.6,823.2,,623.0,False,,,,False,False,False,False,False,,False
18169,102,119.0,,,,,138.0,10.0,172.0,60.9,146.2,,118.0,17.0,,,,,36.0,-92.0,70.0,-41.1,44.2,,16.0,,,,,False,False,False,False,False,,True
18171,19,21.0,,,,,31.0,4.0,,24.8,24.8,,85.0,2.0,,,,,12.0,-15.0,,5.8,5.8,,66.0,,,,,False,False,,False,False,,False
18173,879,301.0,822.0,,,,293.0,245.5,197.3,144.3,213.1,,181.0,-578.0,-57.0,,,,-586.0,-633.5,-681.7,-734.7,-665.9,,-698.0,True,,,,False,False,False,False,False,,False
18175,126,140.0,,,,,52.0,42.3,102.8,19.9,51.7,,201.0,14.0,,,,,-74.0,-83.7,-23.2,-106.1,-74.3,,75.0,,,,,False,False,False,False,False,,False
18177,401,392.0,527.2,,,,301.0,205.3,235.8,278.9,349.4,,376.0,-9.0,126.2,,,,-100.0,-195.7,-165.2,-122.1,-51.6,,-25.0,False,,,,False,False,False,False,False,,False
18179,99,126.0,,,,,119.0,14.1,180.3,41.0,336.7,,113.0,27.0,,,,,20.0,-84.9,81.3,-58.0,237.7,,14.0,,,,,True,False,False,False,False,,True
18181,116,182.0,,,,,130.0,29.7,43.5,944.4,175.1,,184.0,66.0,,,,,14.0,-86.3,-72.5,828.4,59.1,,68.0,,,,,True,False,False,False,True,,False
18183,145,91.0,,,,,150.0,46.0,24.1,0.0,87.5,,66.0,-54.0,,,,,5.0,-99.0,-120.9,-145.0,-57.5,,-79.0,,,,,True,False,False,False,False,,False
19001,42,63.0,,,,,14.0,3.2,,19.5,44.3,,46.0,21.0,,,,,-28.0,-38.8,,-22.5,2.3,,4.0,,,,,False,False,,False,True,,True
19003,23,7.0,,,,,7.0,0.8,,3.9,,,1.0,-16.0,,,,,-16.0,-22.2,,-19.1,,,-22.0,,,,,False,False,,False,,,False
19005,110,63.0,,,,,56.0,5.1,46.3,26.9,72.3,,113.0,-47.0,,,,,-54.0,-104.9,-63.7,-83.1,-37.7,,3.0,,,,,False,False,False,False,True,,True
19007,97,42.0,,,,,66.0,5.8,,26.0,66.9,,22.0,-55.0,,,,,-31.0,-91.2,,-71.0,-30.1,,-75.0,,,,,True,False,,False,True,,False
19009,78,14.0,,,,,7.0,1.3,,0.3,22.7,,41.0,-64.0,,,,,-71.0,-76.7,,-77.7,-55.3,,-37.0,,,,,False,False,,False,True,,True
19011,194,112.0,,,,,98.0,15.6,272.8,32.5,254.0,,69.0,-82.0,,,,,-96.0,-178.4,78.8,-161.5,60.0,,-125.0,,,,,False,False,True,False,True,,False
19013,1357,1183.0,1235.8,,,,648.0,985.5,258.4,951.4,1058.7,,801.0,-174.0,-121.2,,,,-709.0,-371.5,-1098.6,-405.6,-298.3,,-556.0,True,,,,False,False,False,False,False,,False
19015,263,238.0,,,,,72.0,54.4,127.9,95.0,189.7,,422.0,-25.0,,,,,-191.0,-208.6,-135.1,-168.0,-73.3,,159.0,,,,,False,False,False,False,False,,False
19017,283,133.0,,,,,90.0,12.1,114.7,14.1,113.7,,187.0,-150.0,,,,,-193.0,-270.9,-168.3,-268.9,-169.3,,-96.0,,,,,False,False,False,False,False,,True
19019,171,133.0,,,,,78.0,31.5,78.5,123.8,80.2,,119.0,-38.0,,,,,-93.0,-139.5,-92.5,-47.2,-90.8,,-52.0,,,,,False,False,False,False,False,,False
19021,244,77.0,,,,,111.0,6.0,3.2,72.2,87.6,,0.0,-167.0,,,,,-133.0,-238.0,-240.8,-171.8,-156.4,,-244.0,,,,,True,False,False,False,True,,False
19023,156,119.0,,,,,31.0,89.0,85.9,50.7,133.2,,128.0,-37.0,,,,,-125.0,-67.0,-70.1,-105.3,-22.8,,-28.0,,,,,False,False,False,False,True,,True
19025,143,70.0,,,,,16.0,34.4,,5.9,66.9,,145.0,-73.0,,,,,-127.0,-108.6,,-137.2,-76.1,,2.0,,,,,False,False,,False,False,,True
19027,523,238.0,,,,,67.0,154.6,101.2,91.7,241.7,,377.0,-285.0,,,,,-456.0,-368.4,-421.8,-431.3,-281.3,,-146.0,,,,,False,False,False,False,True,,True
19029,122,161.0,,,,,29.0,8.4,,14.0,165.5,,183.0,39.0,,,,,-93.0,-113.6,,-108.0,43.5,,61.0,,,,,False,False,,False,False,,False
19031,143,42.0,,,,,55.0,1.5,112.6,34.4,31.2,,22.0,-101.0,,,,,-88.0,-141.5,-30.4,-108.6,-111.8,,-121.0,,,,,True,False,True,False,False,,False
19033,449,483.0,,,,,215.0,264.2,99.6,165.9,308.4,,506.0,34.0,,,,,-234.0,-184.8,-349.4,-283.1,-140.6,,57.0,,,,,False,False,False,False,False,,False
19035,208,28.0,,,,,38.0,2.8,39.6,20.8,46.9,,42.0,-180.0,,,,,-170.0,-205.2,-168.4,-187.2,-161.1,,-166.0,,,,,True,False,True,False,True,,True
19037,227,84.0,,,,,35.0,14.8,,13.1,90.1,,199.0,-143.0,,,,,-192.0,-212.2,,-213.9,-136.9,,-28.0,,,,,False,False,,False,True,,True
19039,67,84.0,,,,,39.0,6.7,0.0,53.8,89.6,,25.0,17.0,,,,,-28.0,-60.3,-67.0,-13.2,22.6,,-42.0,,,,,False,False,False,True,False,,False
19041,159,182.0,,,,,57.0,24.1,46.8,101.5,140.1,,210.0,23.0,,,,,-102.0,-134.9,-112.2,-57.5,-18.9,,51.0,,,,,False,False,False,False,True,,False
19043,167,98.0,,,,,63.0,21.7,37.2,64.8,63.8,,80.0,-69.0,,,,,-104.0,-145.3,-129.8,-102.2,-103.2,,-87.0,,,,,False,False,False,False,False,,False
19045,720,658.0,,,,,145.0,1029.0,358.2,1345.4,989.0,,561.0,-62.0,,,,,-575.0,309.0,-361.8,625.4,269.0,,-159.0,,,,,False,False,False,False,False,,False
19047,398,182.0,,,,,79.0,38.2,3.6,42.7,107.6,,45.0,-216.0,,,,,-319.0,-359.8,-394.4,-355.2,-290.4,,-353.0,,,,,False,False,False,False,False,,False
19049,940,756.0,729.0,,,,352.0,379.4,287.5,294.2,491.3,,567.0,-184.0,-211.0,,,,-588.0,-560.6,-652.5,-645.8,-448.7,,-373.0,False,,,,False,False,False,False,False,,False
19051,82,49.0,,,,,28.0,8.6,,43.8,31.8,,55.0,-33.0,,,,,-54.0,-73.4,,-38.2,-50.2,,-27.0,,,,,False,False,,False,False,,True
19053,47,42.0,,,,,21.0,4.0,,6.8,65.0,,64.0,-5.0,,,,,-26.0,-43.0,,-40.2,18.0,,17.0,,,,,False,False,,False,False,,False
19055,368,140.0,,,,,63.0,105.6,134.2,87.6,166.2,,157.0,-228.0,,,,,-305.0,-262.4,-233.8,-280.4,-201.8,,-211.0,,,,,False,False,False,False,True,,True
19057,653,511.0,,,,,297.0,205.3,368.4,784.4,238.2,,788.0,-142.0,,,,,-356.0,-447.7,-284.6,131.4,-414.8,,135.0,,,,,False,False,False,True,False,,True
19059,254,63.0,,,,,80.0,4.7,50.8,71.5,149.7,,51.0,-191.0,,,,,-174.0,-249.3,-203.2,-182.5,-104.3,,-203.0,,,,,True,False,False,True,True,,False
19061,1901,910.0,3219.1,,,,405.0,575.4,251.2,55.9,733.3,,526.0,-991.0,1318.1,,,,-1496.0,-1325.6,-1649.8,-1845.1,-1167.7,,-1375.0,False,,,,False,False,False,False,False,,False
19063,100,49.0,,,,,35.0,11.0,0.0,7.5,123.2,,10.0,-51.0,,,,,-65.0,-89.0,-100.0,-92.5,23.2,,-90.0,,,,,False,False,False,False,True,,False
19065,151,119.0,,,,,88.0,31.5,72.5,24.7,54.3,,326.0,-32.0,,,,,-63.0,-119.5,-78.5,-126.3,-96.7,,175.0,,,,,False,False,False,False,False,,False
19067,212,168.0,,,,,47.0,83.5,71.0,71.6,98.0,,89.0,-44.0,,,,,-165.0,-128.5,-141.0,-140.4,-114.0,,-123.0,,,,,False,False,False,False,False,,False
19069,96,182.0,,,,,25.0,109.7,0.0,32.7,186.7,,61.0,86.0,,,,,-71.0,13.7,-96.0,-63.3,90.7,,-35.0,,,,,True,True,False,True,False,,True
19071,98,21.0,,,,,15.0,5.4,,1.7,,,14.0,-77.0,,,,,-83.0,-92.6,,-96.3,,,-84.0,,,,,False,False,,False,,,False
19073,87,7.0,,,,,8.0,8.0,,21.5,16.3,,5.0,-80.0,,,,,-79.0,-79.0,,-65.5,-70.7,,-82.0,,,,,True,True,,True,True,,False
19075,150,70.0,,,,,28.0,13.2,,27.9,39.2,,101.0,-80.0,,,,,-122.0,-136.8,,-122.1,-110.8,,-49.0,,,,,False,False,,False,False,,True
19077,143,105.0,,,,,22.0,14.0,53.2,65.3,59.2,,122.0,-38.0,,,,,-121.0,-129.0,-89.8,-77.7,-83.8,,-21.0,,,,,False,False,False,False,False,,True
19079,109,84.0,,,,,43.0,15.0,51.1,2.5,82.9,,58.0,-25.0,,,,,-66.0,-94.0,-57.9,-106.5,-26.1,,-51.0,,,,,False,False,False,False,False,,False
19081,118,28.0,,,,,19.0,5.2,40.5,11.2,168.1,,9.0,-90.0,,,,,-99.0,-112.8,-77.5,-106.8,50.1,,-109.0,,,,,False,False,True,False,True,,False
19083,136,105.0,,,,,47.0,21.1,133.9,33.2,37.1,,46.0,-31.0,,,,,-89.0,-114.9,-2.1,-102.8,-98.9,,-90.0,,,,,False,False,True,False,False,,False
19085,195,70.0,,,,,43.0,10.8,85.9,33.3,126.4,,54.0,-125.0,,,,,-152.0,-184.2,-109.1,-161.7,-68.6,,-141.0,,,,,False,False,True,False,True,,False
19087,688,196.0,,,,,104.0,95.0,43.3,736.4,117.7,,428.0,-492.0,,,,,-584.0,-593.0,-644.7,48.4,-570.3,,-260.0,,,,,False,False,False,True,False,,True
19089,140,49.0,,,,,17.0,15.2,,23.2,27.7,,184.0,-91.0,,,,,-123.0,-124.8,,-116.8,-112.3,,44.0,,,,,False,False,,False,False,,True
19091,110,175.0,,,,,20.0,66.1,52.4,23.1,138.7,,106.0,65.0,,,,,-90.0,-43.9,-57.6,-86.9,28.7,,-4.0,,,,,False,True,True,False,True,,True
19093,115,28.0,,,,,21.0,2.8,,7.9,20.7,,130.0,-87.0,,,,,-94.0,-112.2,,-107.1,-94.3,,15.0,,,,,False,False,,False,False,,True
19095,152,14.0,,,,,63.0,8.2,,1.4,44.2,,4.0,-138.0,,,,,-89.0,-143.8,,-150.6,-107.8,,-148.0,,,,,True,False,,False,True,,False
19097,231,126.0,,,,,44.0,23.8,145.9,48.5,193.5,,85.0,-105.0,,,,,-187.0,-207.2,-85.1,-182.5,-37.5,,-146.0,,,,,False,False,True,False,True,,False
19099,414,133.0,,,,,144.0,42.9,85.0,49.0,148.1,,137.0,-281.0,,,,,-270.0,-371.1,-329.0,-365.0,-265.9,,-277.0,,,,,True,False,False,False,True,,True
19101,60,56.0,,,,,81.0,13.5,,36.7,50.5,,99.0,-4.0,,,,,21.0,-46.5,,-23.3,-9.5,,39.0,,,,,False,False,,False,False,,False
19103,3077,805.0,1585.1,,,,500.0,411.4,614.6,678.9,1041.7,,348.0,-2272.0,-1491.9,,,,-2577.0,-2665.6,-2462.4,-2398.1,-2035.3,,-2729.0,True,,,,False,False,False,False,True,,False
19105,176,42.0,,,,,77.0,8.4,56.1,18.6,32.3,,18.0,-134.0,,,,,-99.0,-167.6,-119.9,-157.4,-143.7,,-158.0,,,,,True,False,True,False,False,,False
19107,86,56.0,,,,,40.0,3.5,,91.4,49.5,,63.0,-30.0,,,,,-46.0,-82.5,,5.4,-36.5,,-23.0,,,,,False,False,,True,False,,True
19109,210,98.0,,,,,26.0,25.6,68.5,195.5,79.4,,164.0,-112.0,,,,,-184.0,-184.4,-141.5,-14.5,-130.6,,-46.0,,,,,False,False,False,True,False,,True
19111,543,252.0,,,,,131.0,265.1,203.5,218.6,354.2,,591.0,-291.0,,,,,-412.0,-277.9,-339.5,-324.4,-188.8,,48.0,,,,,False,True,False,False,True,,True
19113,1841,1281.0,1162.3,,,,933.0,997.9,1785.0,441.1,682.4,,575.0,-560.0,-678.7,,,,-908.0,-843.1,-56.0,-1399.9,-1158.6,,-1266.0,False,,,,False,False,True,False,False,,False
19115,69,0.0,,,,,43.0,10.9,1.3,0.6,11.3,,0.0,-69.0,,,,,-26.0,-58.1,-67.7,-68.4,-57.7,,-69.0,,,,,True,True,True,True,True,,False
19117,86,84.0,,,,,42.0,9.2,,23.5,75.8,,41.0,-2.0,,,,,-44.0,-76.8,,-62.5,-10.2,,-45.0,,,,,False,False,,False,False,,False
19119,295,98.0,,,,,37.0,29.0,60.5,103.2,62.8,,80.0,-197.0,,,,,-258.0,-266.0,-234.5,-191.8,-232.2,,-215.0,,,,,False,False,False,True,False,,False
19121,131,105.0,,,,,36.0,14.1,142.6,78.8,82.7,,61.0,-26.0,,,,,-95.0,-116.9,11.6,-52.2,-48.3,,-70.0,,,,,False,False,True,False,False,,False
19123,305,42.0,,,,,92.0,3.1,13.1,37.3,39.9,,71.0,-263.0,,,,,-213.0,-301.9,-291.9,-267.7,-265.1,,-234.0,,,,,True,False,False,False,False,,True
19125,600,203.0,,,,,149.0,187.1,182.4,107.1,123.9,,280.0,-397.0,,,,,-451.0,-412.9,-417.6,-492.9,-476.1,,-320.0,,,,,False,False,False,False,False,,True
19127,332,392.0,,,,,226.0,117.8,27.9,220.4,270.0,,122.0,60.0,,,,,-106.0,-214.2,-304.1,-111.6,-62.0,,-210.0,,,,,False,False,False,False,False,,False
19129,124,56.0,,,,,68.0,17.4,,20.3,162.5,,40.0,-68.0,,,,,-56.0,-106.6,,-103.7,38.5,,-84.0,,,,,True,False,,False,True,,False
19131,124,35.0,,,,,18.0,33.3,,36.4,217.9,,68.0,-89.0,,,,,-106.0,-90.7,,-87.7,93.9,,-56.0,,,,,False,False,,True,False,,True
19133,82,14.0,,,,,25.0,20.6,,13.3,31.1,,8.0,-68.0,,,,,-57.0,-61.4,,-68.7,-50.9,,-74.0,,,,,True,True,,False,True,,False
19135,87,35.0,,,,,28.0,7.7,,45.9,30.0,,34.0,-52.0,,,,,-59.0,-79.3,,-41.1,-57.0,,-53.0,,,,,False,False,,True,False,,False
19137,49,35.0,,,,,23.0,5.2,,24.0,27.8,,38.0,-14.0,,,,,-26.0,-43.8,,-25.0,-21.2,,-11.0,,,,,False,False,,False,False,,True
19139,277,287.0,,,,,184.0,174.9,60.5,201.6,227.8,,169.0,10.0,,,,,-93.0,-102.1,-216.5,-75.4,-49.2,,-108.0,,,,,False,False,False,False,False,,False
19141,306,70.0,,,,,48.0,14.7,74.8,37.9,91.3,,21.0,-236.0,,,,,-258.0,-291.3,-231.2,-268.1,-214.7,,-285.0,,,,,False,False,True,False,True,,False
19143,96,42.0,,,,,23.0,12.1,,12.7,14.4,,105.0,-54.0,,,,,-73.0,-83.9,,-83.3,-81.6,,9.0,,,,,False,False,,False,False,,True
19145,148,49.0,,,,,51.0,3.5,63.7,4.8,42.0,,19.0,-99.0,,,,,-97.0,-144.5,-84.3,-143.2,-106.0,,-129.0,,,,,True,False,True,False,False,,False
19147,136,105.0,,,,,18.0,94.0,62.3,0.0,77.0,,117.0,-31.0,,,,,-118.0,-42.0,-73.7,-136.0,-59.0,,-19.0,,,,,False,False,False,False,False,,True
19149,753,322.0,,,,,102.0,72.6,59.6,142.6,196.4,,280.0,-431.0,,,,,-651.0,-680.4,-693.4,-610.4,-556.6,,-473.0,,,,,False,False,False,False,False,,False
19151,83,49.0,,,,,9.0,7.1,6.0,19.1,67.6,,122.0,-34.0,,,,,-74.0,-75.9,-77.0,-63.9,-15.4,,39.0,,,,,False,False,False,False,True,,False
19153,5529,4886.0,2087.5,,,,3013.0,1699.0,1095.9,2814.6,4341.5,,2939.0,-643.0,-3441.5,,,,-2516.0,-3830.0,-4433.1,-2714.4,-1187.5,,-2590.0,False,,,,False,False,False,False,False,,False
19155,912,714.0,738.2,,,,389.0,181.4,255.2,422.2,453.8,,361.0,-198.0,-173.8,,,,-523.0,-730.6,-656.8,-489.8,-458.2,,-551.0,True,,,,False,False,False,False,False,,False
19157,191,35.0,,,,,66.0,2.9,100.0,11.9,279.9,,9.0,-156.0,,,,,-125.0,-188.1,-91.0,-179.1,88.9,,-182.0,,,,,True,False,True,False,True,,False
19159,34,21.0,,,,,7.0,4.0,,4.5,29.3,,120.0,-13.0,,,,,-27.0,-30.0,,-29.5,-4.7,,86.0,,,,,False,False,,False,True,,False
19161,198,28.0,,,,,22.0,17.4,,15.9,41.8,,44.0,-170.0,,,,,-176.0,-180.6,,-182.1,-156.2,,-154.0,,,,,False,False,,False,True,,True
19163,1456,882.0,1666.6,,,,681.0,669.8,356.5,593.7,415.1,,1083.0,-574.0,210.6,,,,-775.0,-786.2,-1099.5,-862.3,-1040.9,,-373.0,True,,,,False,False,False,False,False,,True
19165,92,77.0,,,,,32.0,20.5,47.2,29.2,43.6,,22.0,-15.0,,,,,-60.0,-71.5,-44.8,-62.8,-48.4,,-70.0,,,,,False,False,False,False,False,,False
19167,1170,448.0,,,,,156.0,151.2,66.5,171.3,245.0,,450.0,-722.0,,,,,-1014.0,-1018.8,-1103.5,-998.7,-925.0,,-720.0,,,,,False,False,False,False,False,,True
19169,2169,1554.0,460.3,,,,330.0,2241.5,406.0,754.4,751.3,,2489.0,-615.0,-1708.7,,,,-1839.0,72.5,-1763.0,-1414.6,-1417.7,,320.0,False,,,,False,True,False,False,False,,True
19171,229,91.0,,,,,62.0,7.7,40.1,57.8,86.8,,55.0,-138.0,,,,,-167.0,-221.3,-188.9,-171.2,-142.2,,-174.0,,,,,False,False,False,False,False,,False
19173,60,42.0,,,,,17.0,1.5,19.6,40.5,36.6,,80.0,-18.0,,,,,-43.0,-58.5,-40.4,-19.5,-23.4,,20.0,,,,,False,False,False,False,False,,False
19175,67,70.0,,,,,35.0,24.6,,48.3,57.0,,97.0,3.0,,,,,-32.0,-42.4,,-18.7,-10.0,,30.0,,,,,False,False,,False,False,,False
19177,87,42.0,,,,,21.0,6.4,,21.7,62.2,,21.0,-45.0,,,,,-66.0,-80.6,,-65.3,-24.8,,-66.0,,,,,False,False,,False,True,,False
19179,427,462.0,,,,,231.0,67.9,10.9,309.0,239.9,,322.0,35.0,,,,,-196.0,-359.1,-416.1,-118.0,-187.1,,-105.0,,,,,False,False,False,False,False,,False
19181,392,322.0,283.3,,,,195.0,58.3,198.8,47.6,347.4,,216.0,-70.0,-108.7,,,,-197.0,-333.7,-193.2,-344.4,-44.6,,-176.0,False,,,,False,False,False,False,True,,False
19183,207,70.0,,,,,79.0,2.9,47.3,46.9,55.5,,86.0,-137.0,,,,,-128.0,-204.1,-159.7,-160.1,-151.5,,-121.0,,,,,True,False,False,False,False,,True
19185,81,14.0,,,,,24.0,7.4,,0.0,,,3.0,-67.0,,,,,-57.0,-73.6,,-81.0,,,-78.0,,,,,True,False,,False,,,False
19187,726,553.0,,,,,193.0,124.3,99.3,436.0,884.9,,266.0,-173.0,,,,,-533.0,-601.7,-626.7,-290.0,158.9,,-460.0,,,,,False,False,False,False,True,,False
19189,227,238.0,,,,,20.0,236.4,43.0,114.8,181.1,,290.0,11.0,,,,,-207.0,9.4,-184.0,-112.2,-45.9,,63.0,,,,,False,True,False,False,False,,False
19191,245,91.0,,,,,63.0,9.9,61.0,77.3,29.8,,85.0,-154.0,,,,,-182.0,-235.1,-184.0,-167.7,-215.2,,-160.0,,,,,False,False,False,False,False,,False
19193,2103,609.0,444.9,,,,570.0,129.4,32.8,573.8,624.3,,341.0,-1494.0,-1658.1,,,,-1533.0,-1973.6,-2070.2,-1529.2,-1478.7,,-1762.0,False,,,,False,False,False,False,True,,False
19195,45,35.0,,,,,10.0,18.7,,8.5,50.1,,11.0,-10.0,,,,,-35.0,-26.3,,-36.5,5.1,,-34.0,,,,,False,False,,False,True,,False
19197,132,161.0,,,,,44.0,32.7,8.5,162.4,272.4,,48.0,29.0,,,,,-88.0,-99.3,-123.5,30.4,140.4,,-84.0,,,,,False,False,False,False,False,,False
20001,50,49.0,,,,,31.0,,,11.5,,,234.0,-1.0,,,,,-19.0,,,-38.5,,,184.0,,,,,False,,,False,,,False
20003,53,7.0,,,,,23.0,4.5,,20.2,,,1.0,-46.0,,,,,-30.0,-48.5,,-32.8,,,-52.0,,,,,True,False,,True,,,False
20005,283,133.0,,,,,53.0,5.2,,52.1,55.4,,171.0,-150.0,,,,,-230.0,-277.8,,-230.9,-227.6,,-112.0,,,,,False,False,,False,False,,True
20007,11,0.0,,,,,14.0,0.1,,0.0,2.4,,0.0,-11.0,,,,,3.0,-10.9,,-11.0,-8.6,,-11.0,,,,,True,True,,False,True,,False
20009,393,70.0,,,,,135.0,16.2,97.1,36.2,552.9,,29.0,-323.0,,,,,-258.0,-376.8,-295.9,-356.8,159.9,,-364.0,,,,,True,False,True,False,True,,False
20011,104,35.0,,,,,98.0,21.4,,0.0,65.5,,8.0,-69.0,,,,,-6.0,-82.6,,-104.0,-38.5,,-96.0,,,,,True,False,,False,True,,False
20013,98,70.0,,,,,26.0,4.7,,15.9,33.8,,55.0,-28.0,,,,,-72.0,-93.3,,-82.1,-64.2,,-43.0,,,,,False,False,,False,False,,False
20015,685,546.0,368.6,,,,392.0,150.9,331.6,56.9,670.3,,436.0,-139.0,-316.4,,,,-293.0,-534.1,-353.4,-628.1,-14.7,,-249.0,False,,,,False,False,False,False,True,,False
20017,37,28.0,,,,,3.0,2.3,,10.7,,,1.0,-9.0,,,,,-34.0,-34.7,,-26.3,,,-36.0,,,,,False,False,,False,,,False
20019,15,7.0,,,,,7.0,0.1,,0.1,3.6,,52.0,-8.0,,,,,-8.0,-14.9,,-14.9,-11.4,,37.0,,,,,False,False,,False,False,,False
20021,383,273.0,,,,,200.0,104.8,151.9,133.3,383.6,,246.0,-110.0,,,,,-183.0,-278.2,-231.1,-249.7,0.6,,-137.0,,,,,False,False,False,False,True,,False
20023,67,14.0,,,,,0.0,0.1,,2.4,4.6,,18.0,-53.0,,,,,-67.0,-66.9,,-64.6,-62.4,,-49.0,,,,,False,False,,False,False,,True
20025,10,7.0,,,,,11.0,3.3,,6.6,4.8,,1.0,-3.0,,,,,1.0,-6.7,,-3.4,-5.2,,-9.0,,,,,True,False,,False,False,,False
20027,42,14.0,,,,,8.0,1.6,,3.7,,,9.0,-28.0,,,,,-34.0,-40.4,,-38.3,,,-33.0,,,,,False,False,,False,,,False
20029,33,63.0,,,,,17.0,3.9,,4.7,37.4,,98.0,30.0,,,,,-16.0,-29.1,,-28.3,4.4,,65.0,,,,,True,True,,True,True,,False
20031,59,21.0,,,,,21.0,3.7,,6.1,9.0,,44.0,-38.0,,,,,-38.0,-55.3,,-52.9,-50.0,,-15.0,,,,,False,False,,False,False,,True
20033,7,28.0,,,,,7.0,0.2,,4.2,11.6,,21.0,21.0,,,,,0.0,-6.8,,-2.8,4.6,,14.0,,,,,True,True,,True,True,,True
20035,225,119.0,,,,,269.0,20.0,87.7,280.4,232.4,,90.0,-106.0,,,,,44.0,-205.0,-137.3,55.4,7.4,,-135.0,,,,,True,False,False,True,True,,False
20037,731,245.0,,,,,349.0,83.8,46.7,43.0,101.1,,600.0,-486.0,,,,,-382.0,-647.2,-684.3,-688.0,-629.9,,-131.0,,,,,True,False,False,False,False,,True
20039,23,0.0,,,,,0.0,,,0.0,1.6,,0.0,-23.0,,,,,-23.0,,,-23.0,-21.4,,-23.0,,,,,False,,,False,True,,False
20041,179,0.0,,,,,39.0,7.9,,0.0,69.3,,0.0,-179.0,,,,,-140.0,-171.1,,-179.0,-109.7,,-179.0,,,,,True,True,,False,True,,False
20043,77,0.0,,,,,20.0,4.2,,11.7,23.7,,0.0,-77.0,,,,,-57.0,-72.8,,-65.3,-53.3,,-77.0,,,,,True,True,,True,True,,False
20045,1609,637.0,981.6,,,,686.0,247.9,258.8,415.5,317.6,,503.0,-972.0,-627.4,,,,-923.0,-1361.1,-1350.2,-1193.5,-1291.4,,-1106.0,True,,,,True,False,False,False,False,,False
20047,41,42.0,,,,,10.0,0.6,,8.1,17.1,,83.0,1.0,,,,,-31.0,-40.4,,-32.9,-23.9,,42.0,,,,,False,False,,False,False,,False
20049,6,0.0,,,,,0.0,,,0.0,,,0.0,-6.0,,,,,-6.0,,,-6.0,,,-6.0,,,,,False,,,False,,,False
20051,939,84.0,,,,,122.0,7.9,45.6,4.3,79.3,,50.0,-855.0,,,,,-817.0,-931.1,-893.4,-934.7,-859.7,,-889.0,,,,,True,False,False,False,False,,False
20053,42,0.0,,,,,17.0,0.7,,2.4,20.9,,0.0,-42.0,,,,,-25.0,-41.3,,-39.6,-21.1,,-42.0,,,,,True,True,,True,True,,False
20055,530,0.0,,,,,433.0,2.8,7.3,17.1,54.1,,0.0,-530.0,,,,,-97.0,-527.2,-522.7,-512.9,-475.9,,-530.0,,,,,True,True,True,True,True,,False
20057,762,959.0,,,,,470.0,197.6,4.2,27.9,428.0,,0.0,197.0,,,,,-292.0,-564.4,-757.8,-734.1,-334.0,,-762.0,,,,,False,False,False,False,False,,False
20059,194,308.0,,,,,132.0,136.3,181.4,73.8,393.6,,173.0,114.0,,,,,-62.0,-57.7,-12.6,-120.2,199.6,,-21.0,,,,,True,True,True,False,False,,True
