,actual_cases,COVIDhub-baseline,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,IowaStateLW-STEM,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,MITCovAlliance-SIR,QJHong-Encounter,RobertWalraven-ESG,UCLA-SuEIR,USACE-ERDC_SEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-IowaStateLW-STEM,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-MITCovAlliance-SIR,error-QJHong-Encounter,error-RobertWalraven-ESG,error-UCLA-SuEIR,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IowaStateLW-STEM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-MITCovAlliance-SIR,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-UCLA-SuEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha
02188,75,15.0,0.0,,,,,24.5,,6.2,,,0.5,,,,-60.0,-75.0,,,,,-50.5,,-68.8,,,-74.5,,,,False,,,,,True,,False,,,False,,,
02195,1,0.0,0.0,,,,,0.2,,0.2,,,0.0,0.4,,,-1.0,-1.0,,,,,-0.8,,-0.8,,,-1.0,-0.6,,,False,,,,,True,,True,,,False,True,,
02198,8,15.0,0.0,,,,,12.5,,3.7,,,11.4,,,,7.0,-8.0,,,,,4.5,,-4.3,,,3.4,,,,False,,,,,True,,True,,,True,,,
02220,16,20.0,0.0,,,,,20.0,,2.2,,,7.1,13.5,,,4.0,-16.0,,,,,4.0,,-13.8,,,-8.9,-2.5,,,False,,,,,False,,False,,,False,True,,
02230,0,0.0,0.0,,,,,0.0,,,,,0.0,,,,0.0,0.0,,,,,0.0,,,,,0.0,,,,True,,,,,True,,,,,True,,,
02240,11,0.0,0.0,,,,,0.7,,0.6,,,0.3,5.7,,,-11.0,-11.0,,,,,-10.3,,-10.4,,,-10.7,-5.3,,,False,,,,,True,,True,,,True,True,,
02261,8,20.0,0.0,,,,,9.9,,5.3,,,15.2,15.6,,,12.0,-8.0,,,,,1.9,,-2.7,,,7.2,7.6,,,True,,,,,True,,True,,,True,True,,
02275,2,10.0,0.0,,,,,1.8,,,,,1.1,12.4,,,8.0,-2.0,,,,,-0.2,,,,,-0.9,10.4,,,True,,,,,True,,,,,True,False,,
02282,8,45.0,0.0,,,,,0.0,,,,,208.4,25.4,,,37.0,-8.0,,,,,-8.0,,,,,200.4,17.4,,,True,,,,,True,,,,,False,True,,
02290,13,25.0,0.0,,,,,5.5,,8.4,,,5.8,64.5,,,12.0,-13.0,,,,,-7.5,,-4.6,,,-7.2,51.5,,,False,,,,,True,,True,,,True,False,,
