,actual_cases,COVIDhub-baseline,CDDEP-SEIR_MCMC,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,IowaStateLW-STEM,LANL-GrowthRate,MITCovAlliance-SIR,RobertWalraven-ESG,UCLA-SuEIR,USACE-ERDC_SEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-CDDEP-SEIR_MCMC,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-IowaStateLW-STEM,error-LANL-GrowthRate,error-MITCovAlliance-SIR,error-RobertWalraven-ESG,error-UCLA-SuEIR,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,beat_baseline-CDDEP-SEIR_MCMC,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IowaStateLW-STEM,beat_baseline-LANL-GrowthRate,beat_baseline-MITCovAlliance-SIR,beat_baseline-RobertWalraven-ESG,beat_baseline-UCLA-SuEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha
17181,170,138.0,,175.0,,,,153.0,70.3,42.5,31.9,161.6,,69.0,-32.0,,5.0,,,,-17.0,-99.7,-127.5,-138.1,-8.4,,-101.0,,True,,,,True,False,False,False,True,,False
17183,481,180.0,278.2,182.0,,,,366.0,112.0,166.2,100.5,149.6,,165.0,-301.0,-202.8,-299.0,,,,-115.0,-369.0,-314.8,-380.5,-331.4,,-316.0,True,True,,,,True,False,False,False,False,,False
17185,99,144.0,,374.0,,,,59.0,69.1,,349.3,83.4,,248.0,45.0,,275.0,,,,-40.0,-29.9,,250.3,-15.6,,149.0,,False,,,,True,True,,False,True,,False
17187,131,54.0,,0.0,,,,66.0,13.5,64.9,50.0,93.6,,36.0,-77.0,,-131.0,,,,-65.0,-117.5,-66.1,-81.0,-37.4,,-95.0,,False,,,,True,False,True,False,True,,False
17189,137,42.0,,39.0,,,,52.0,16.4,,0.0,57.0,,45.0,-95.0,,-98.0,,,,-85.0,-120.6,,-137.0,-80.0,,-92.0,,False,,,,True,False,,False,True,,True
17191,206,72.0,,164.0,,,,89.0,41.1,,17.5,90.6,,36.0,-134.0,,-42.0,,,,-117.0,-164.9,,-188.5,-115.4,,-170.0,,True,,,,True,False,,False,True,,False
17193,89,78.0,,46.0,,,,65.0,96.9,,26.7,,,96.0,-11.0,,-43.0,,,,-24.0,7.9,,-62.3,,,7.0,,False,,,,False,True,,False,,,True
17195,350,222.0,198.9,213.0,,,,166.0,30.4,129.5,225.0,338.2,,232.0,-128.0,-151.1,-137.0,,,,-184.0,-319.6,-220.5,-125.0,-11.8,,-118.0,False,False,,,,False,False,False,True,True,,True
17197,4113,3918.0,1846.8,3662.0,,,,2980.0,1753.9,1243.9,4312.8,4091.3,,3089.0,-195.0,-2266.2,-451.0,,,,-1133.0,-2359.1,-2869.1,199.8,-21.7,,-1024.0,False,False,,,,False,False,False,False,True,,False
17199,878,744.0,917.4,1492.0,,,,505.0,420.6,286.2,988.2,1124.6,,759.0,-134.0,39.4,614.0,,,,-373.0,-457.4,-591.8,110.2,246.6,,-119.0,True,False,,,,False,False,False,True,False,,True
17201,1995,486.0,1307.5,334.0,,,,1498.0,110.2,226.5,557.3,448.8,,293.0,-1509.0,-687.5,-1661.0,,,,-497.0,-1884.8,-1768.5,-1437.7,-1546.2,,-1702.0,True,False,,,,True,False,False,True,False,,False
17203,237,228.0,,347.0,,,,130.0,163.1,280.8,40.2,351.6,,171.0,-9.0,,110.0,,,,-107.0,-73.9,43.8,-196.8,114.6,,-66.0,,False,,,,False,False,False,False,False,,False
18001,134,216.0,,577.0,,,,112.0,222.5,206.4,107.0,120.4,,592.0,82.0,,443.0,,,,-22.0,88.5,72.4,-27.0,-13.6,,458.0,,False,,,,True,False,True,True,True,,False
18003,2019,2340.0,2615.2,4323.0,,,,1466.0,1500.8,844.0,663.0,2181.6,,3155.0,321.0,596.2,2304.0,,,,-553.0,-518.2,-1175.0,-1356.0,162.6,,1136.0,False,False,,,,False,False,False,False,True,,False
18005,282,648.0,131.3,1899.0,,,,290.0,360.3,112.4,1334.5,846.0,,1156.0,366.0,-150.7,1617.0,,,,8.0,78.3,-169.6,1052.5,564.0,,874.0,True,False,,,,True,True,True,False,False,,False
18007,20,42.0,,31.0,,,,24.0,15.1,,0.3,24.4,,105.0,22.0,,11.0,,,,4.0,-4.9,,-19.7,4.4,,85.0,,True,,,,True,True,,True,True,,False
18009,54,18.0,,45.0,,,,38.0,7.5,,7.4,19.0,,25.0,-36.0,,-9.0,,,,-16.0,-46.5,,-46.6,-35.0,,-29.0,,True,,,,True,False,,False,True,,True
18011,255,324.0,166.1,333.0,,,,275.0,181.8,261.4,345.8,555.2,,319.0,69.0,-88.9,78.0,,,,20.0,-73.2,6.4,90.8,300.2,,64.0,False,False,,,,True,False,True,False,False,,True
18013,27,30.0,,0.0,,,,19.0,7.7,,29.2,34.9,,16.0,3.0,,-27.0,,,,-8.0,-19.3,,2.2,7.9,,-11.0,,False,,,,False,False,,True,False,,False
18015,52,240.0,,442.0,,,,81.0,155.3,111.7,65.2,246.9,,354.0,188.0,,390.0,,,,29.0,103.3,59.7,13.2,194.9,,302.0,,False,,,,True,True,True,True,False,,False
18017,136,192.0,,0.0,,,,226.0,46.8,3.5,217.9,157.6,,27.0,56.0,,-136.0,,,,90.0,-89.2,-132.5,81.9,21.6,,-109.0,,False,,,,False,False,False,False,True,,False
18019,842,1098.0,428.8,1366.0,,,,460.0,468.0,262.9,915.3,1315.4,,975.0,256.0,-413.2,524.0,,,,-382.0,-374.0,-579.1,73.3,473.4,,133.0,False,False,,,,False,False,False,True,False,,True
18021,138,282.0,,798.0,,,,78.0,177.3,70.3,151.5,197.3,,679.0,144.0,,660.0,,,,-60.0,39.3,-67.7,13.5,59.3,,541.0,,False,,,,True,True,True,True,True,,False
18023,129,264.0,,430.0,,,,151.0,54.8,96.8,39.9,195.3,,348.0,135.0,,301.0,,,,22.0,-74.2,-32.2,-89.1,66.3,,219.0,,False,,,,True,True,True,True,True,,False
18025,56,48.0,,58.0,,,,12.0,5.3,,11.6,23.1,,122.0,-8.0,,2.0,,,,-44.0,-50.7,,-44.4,-32.9,,66.0,,True,,,,False,False,,False,False,,False
18027,363,270.0,,330.0,,,,109.0,72.0,117.4,115.0,752.3,,215.0,-93.0,,-33.0,,,,-254.0,-291.0,-245.6,-248.0,389.3,,-148.0,,True,,,,False,False,False,False,False,,False
18029,131,222.0,,113.0,,,,126.0,45.1,126.3,102.6,145.0,,108.0,91.0,,-18.0,,,,-5.0,-85.9,-4.7,-28.4,14.0,,-23.0,,True,,,,True,True,True,True,True,,True
18031,100,138.0,,131.0,,,,59.0,19.8,90.0,15.2,405.9,,105.0,38.0,,31.0,,,,-41.0,-80.2,-10.0,-84.8,305.9,,5.0,,True,,,,False,False,True,False,False,,True
18033,233,120.0,,163.0,,,,138.0,17.3,90.3,0.0,124.6,,118.0,-113.0,,-70.0,,,,-95.0,-215.7,-142.7,-233.0,-108.4,,-115.0,,True,,,,True,False,False,False,True,,False
18035,1164,492.0,287.5,382.0,,,,457.0,157.7,203.1,298.6,503.0,,569.0,-672.0,-876.5,-782.0,,,,-707.0,-1006.3,-960.9,-865.4,-661.0,,-595.0,False,False,,,,False,False,False,False,True,,True
18037,238,324.0,,302.0,,,,169.0,47.3,230.3,36.2,189.1,,162.0,86.0,,64.0,,,,-69.0,-190.7,-7.7,-201.8,-48.9,,-76.0,,True,,,,True,False,True,False,True,,True
18039,1521,1806.0,1001.8,3138.0,,,,1075.0,764.8,249.8,1639.5,1473.8,,1201.0,285.0,-519.2,1617.0,,,,-446.0,-756.2,-1271.2,118.5,-47.2,,-320.0,False,False,,,,False,False,False,True,True,,False
18041,207,174.0,,347.0,,,,74.0,43.5,67.6,122.0,155.3,,204.0,-33.0,,140.0,,,,-133.0,-163.5,-139.4,-85.0,-51.7,,-3.0,,False,,,,False,False,False,False,False,,True
18043,493,630.0,276.5,706.0,,,,261.0,457.4,150.0,577.6,643.9,,476.0,137.0,-216.5,213.0,,,,-232.0,-35.6,-343.0,84.6,150.9,,-17.0,False,False,,,,False,True,False,True,False,,True
18045,52,18.0,,40.0,,,,64.0,8.6,,0.8,13.1,,33.0,-34.0,,-12.0,,,,12.0,-43.4,,-51.2,-38.9,,-19.0,,True,,,,True,False,,False,False,,True
18047,56,72.0,,21.0,,,,49.0,8.3,140.0,8.4,222.1,,37.0,16.0,,-35.0,,,,-7.0,-47.7,84.0,-47.6,166.1,,-19.0,,False,,,,True,False,False,False,False,,False
18049,65,78.0,,54.0,,,,108.0,6.6,63.6,35.6,327.1,,46.0,13.0,,-11.0,,,,43.0,-58.4,-1.4,-29.4,262.1,,-19.0,,True,,,,False,False,True,False,False,,False
18051,276,150.0,,208.0,,,,126.0,52.0,166.9,66.1,194.5,,206.0,-126.0,,-68.0,,,,-150.0,-224.0,-109.1,-209.9,-81.5,,-70.0,,True,,,,False,False,True,False,True,,True
18053,387,72.0,428.1,5.0,,,,237.0,10.4,123.5,6.6,146.6,,33.0,-315.0,41.1,-382.0,,,,-150.0,-376.6,-263.5,-380.4,-240.4,,-354.0,True,False,,,,True,False,True,False,True,,False
18055,166,102.0,,151.0,,,,114.0,16.1,91.6,80.0,100.8,,98.0,-64.0,,-15.0,,,,-52.0,-149.9,-74.4,-86.0,-65.2,,-68.0,,True,,,,True,False,False,False,False,,False
18057,1801,2280.0,1315.5,4405.0,,,,1346.0,2866.6,1130.2,1653.7,3473.7,,2789.0,479.0,-485.5,2604.0,,,,-455.0,1065.6,-670.8,-147.3,1672.7,,988.0,False,False,,,,True,False,False,True,False,,False
18059,226,384.0,139.2,541.0,,,,238.0,71.4,182.5,312.0,519.0,,343.0,158.0,-86.8,315.0,,,,12.0,-154.6,-43.5,86.0,293.0,,117.0,True,False,,,,True,True,True,True,False,,True
18061,211,270.0,,423.0,,,,89.0,126.2,87.9,278.6,473.1,,302.0,59.0,,212.0,,,,-122.0,-84.8,-123.1,67.6,262.1,,91.0,,False,,,,False,False,False,False,False,,False
18063,745,750.0,242.2,669.0,,,,677.0,368.7,213.8,532.0,1614.0,,992.0,5.0,-502.8,-76.0,,,,-68.0,-376.3,-531.2,-213.0,869.0,,247.0,False,False,,,,False,False,False,False,False,,False
18065,301,756.0,,6004.0,,,,202.0,675.7,228.4,59.8,331.6,,1533.0,455.0,,5703.0,,,,-99.0,374.7,-72.6,-241.2,30.6,,1232.0,,False,,,,True,True,True,True,True,,False
18067,348,486.0,384.4,468.0,,,,378.0,188.9,188.7,362.1,526.2,,516.0,138.0,36.4,120.0,,,,30.0,-159.1,-159.3,14.1,178.2,,168.0,True,True,,,,True,False,False,True,False,,False
18069,110,54.0,,13.0,,,,137.0,32.4,70.1,65.9,30.0,,77.0,-56.0,,-97.0,,,,27.0,-77.6,-39.9,-44.1,-80.0,,-33.0,,False,,,,True,False,True,True,False,,True
18071,138,216.0,,363.0,,,,118.0,82.3,55.4,253.6,135.5,,410.0,78.0,,225.0,,,,-20.0,-55.7,-82.6,115.6,-2.5,,272.0,,False,,,,True,True,False,False,True,,False
18073,126,216.0,,312.0,,,,138.0,21.2,155.0,136.7,207.0,,293.0,90.0,,186.0,,,,12.0,-104.8,29.0,10.7,81.0,,167.0,,False,,,,True,False,True,True,True,,False
18075,86,48.0,,146.0,,,,55.0,9.7,27.9,19.5,25.0,,170.0,-38.0,,60.0,,,,-31.0,-76.3,-58.1,-66.5,-61.0,,84.0,,False,,,,True,False,False,False,False,,False
18077,68,120.0,,122.0,,,,64.0,22.6,36.3,106.9,72.4,,221.0,52.0,,54.0,,,,-4.0,-45.4,-31.7,38.9,4.4,,153.0,,False,,,,True,True,True,True,True,,False
18079,80,66.0,,128.0,,,,61.0,22.2,48.5,29.7,30.0,,82.0,-14.0,,48.0,,,,-19.0,-57.8,-31.5,-50.3,-50.0,,2.0,,False,,,,False,False,False,False,False,,True
18081,500,552.0,317.2,467.0,,,,708.0,191.4,417.2,476.5,375.8,,551.0,52.0,-182.8,-33.0,,,,208.0,-308.6,-82.8,-23.5,-124.2,,51.0,False,True,,,,False,False,False,True,False,,True
18083,333,198.0,,245.0,,,,122.0,167.8,128.9,31.4,305.1,,242.0,-135.0,,-88.0,,,,-211.0,-165.2,-204.1,-301.6,-27.9,,-91.0,,True,,,,False,False,False,False,True,,True
18085,337,204.0,635.7,122.0,,,,268.0,13.6,92.2,94.0,143.0,,100.0,-133.0,298.7,-215.0,,,,-69.0,-323.4,-244.8,-243.0,-194.0,,-237.0,False,False,,,,True,False,False,False,False,,False
18087,66,90.0,,122.0,,,,187.0,9.5,54.9,6.1,68.2,,55.0,24.0,,56.0,,,,121.0,-56.5,-11.1,-59.9,2.2,,-11.0,,False,,,,False,False,True,False,True,,True
18089,2534,3216.0,2113.6,3969.0,,,,1841.0,2063.0,1113.3,1772.1,3130.6,,3026.0,682.0,-420.4,1435.0,,,,-693.0,-471.0,-1420.7,-761.9,596.6,,492.0,True,False,,,,False,True,False,False,True,,True
18091,465,510.0,299.4,556.0,,,,396.0,163.6,175.0,583.9,496.3,,533.0,45.0,-165.6,91.0,,,,-69.0,-301.4,-290.0,118.9,31.3,,68.0,False,False,,,,False,False,False,False,True,,False
18093,150,120.0,,85.0,,,,134.0,20.5,99.3,87.8,139.3,,87.0,-30.0,,-65.0,,,,-16.0,-129.5,-50.7,-62.2,-10.7,,-63.0,,False,,,,True,False,False,False,True,,False
18095,591,816.0,144.8,1060.0,,,,563.0,244.4,217.1,280.0,403.0,,1353.0,225.0,-446.2,469.0,,,,-28.0,-346.6,-373.9,-311.0,-188.0,,762.0,False,False,,,,True,False,False,False,True,,False
18097,4783,5028.0,1870.4,2819.0,,,,5205.0,2057.6,240.1,7214.1,5160.1,,3990.0,245.0,-2912.6,-1964.0,,,,422.0,-2725.4,-4542.9,2431.1,377.1,,-793.0,False,False,,,,False,False,False,False,False,,False
18099,201,198.0,,238.0,,,,210.0,12.7,88.1,46.2,108.6,,130.0,-3.0,,37.0,,,,9.0,-188.3,-112.9,-154.8,-92.4,,-71.0,,False,,,,False,False,False,False,False,,False
18101,118,66.0,,,,,,18.0,14.9,,13.9,81.9,,181.0,-52.0,,,,,,-100.0,-103.1,,-104.1,-36.1,,63.0,,,,,,False,False,,False,True,,False
18103,152,90.0,,69.0,,,,193.0,12.7,72.5,66.0,62.9,,56.0,-62.0,,-83.0,,,,41.0,-139.3,-79.5,-86.0,-89.1,,-96.0,,False,,,,True,False,False,False,False,,False
18105,1804,288.0,936.3,191.0,,,,452.0,151.0,217.2,222.6,184.7,,196.0,-1516.0,-867.7,-1613.0,,,,-1352.0,-1653.0,-1586.8,-1581.4,-1619.3,,-1608.0,True,False,,,,True,False,False,False,False,,False
18107,143,96.0,,156.0,,,,168.0,10.8,24.4,12.2,84.8,,87.0,-47.0,,13.0,,,,25.0,-132.2,-118.6,-130.8,-58.2,,-56.0,,True,,,,True,False,False,False,False,,False
18109,220,228.0,67.6,251.0,,,,269.0,34.5,180.6,109.7,430.8,,286.0,8.0,-152.4,31.0,,,,49.0,-185.5,-39.4,-110.3,210.8,,66.0,False,False,,,,False,False,False,False,False,,False
18111,51,24.0,,33.0,,,,48.0,0.9,25.8,0.6,17.5,,41.0,-27.0,,-18.0,,,,-3.0,-50.1,-25.2,-50.4,-33.5,,-10.0,,True,,,,True,False,True,False,False,,True
18113,193,366.0,,691.0,,,,151.0,86.6,111.8,241.9,251.4,,475.0,173.0,,498.0,,,,-42.0,-106.4,-81.2,48.9,58.4,,282.0,,False,,,,True,True,True,True,True,,False
18115,15,6.0,,14.0,,,,6.0,10.1,,70.1,26.1,,13.0,-9.0,,-1.0,,,,-9.0,-4.9,,55.1,11.1,,-2.0,,True,,,,False,True,,False,False,,True
18117,98,126.0,,150.0,,,,46.0,34.6,31.1,55.2,81.0,,364.0,28.0,,52.0,,,,-52.0,-63.4,-66.9,-42.8,-17.0,,266.0,,False,,,,False,False,False,False,True,,False
18119,55,162.0,,409.0,,,,54.0,21.0,123.3,43.6,194.7,,363.0,107.0,,354.0,,,,-1.0,-34.0,68.3,-11.4,139.7,,308.0,,False,,,,True,True,True,True,False,,False
18121,43,54.0,,108.0,,,,48.0,5.8,,28.1,42.9,,52.0,11.0,,65.0,,,,5.0,-37.2,,-14.9,-0.1,,9.0,,False,,,,True,False,,False,True,,True
18123,35,42.0,,42.0,,,,44.0,5.5,29.4,46.3,31.2,,67.0,7.0,,7.0,,,,9.0,-29.5,-5.6,11.3,-3.8,,32.0,,False,,,,False,False,True,False,True,,False
18125,79,120.0,,160.0,,,,36.0,5.9,,16.7,120.7,,101.0,41.0,,81.0,,,,-43.0,-73.1,,-62.3,41.7,,22.0,,False,,,,False,False,,False,False,,True
18127,716,864.0,658.1,744.0,,,,475.0,500.5,439.0,497.2,583.5,,920.0,148.0,-57.9,28.0,,,,-241.0,-215.5,-277.0,-218.8,-132.5,,204.0,True,True,,,,False,False,False,False,True,,False
18129,149,96.0,,42.0,,,,96.0,19.3,146.8,49.0,64.3,,51.0,-53.0,,-107.0,,,,-53.0,-129.7,-2.2,-100.0,-84.7,,-98.0,,False,,,,False,False,True,False,False,,False
18131,33,36.0,,74.0,,,,60.0,8.6,,125.7,14.6,,102.0,3.0,,41.0,,,,27.0,-24.4,,92.7,-18.4,,69.0,,False,,,,False,False,,False,False,,False
18133,240,324.0,,759.0,,,,147.0,24.1,86.2,115.9,361.9,,455.0,84.0,,519.0,,,,-93.0,-215.9,-153.8,-124.1,121.9,,215.0,,False,,,,False,False,False,False,False,,False
18135,84,96.0,,265.0,,,,60.0,15.5,104.7,18.5,69.0,,139.0,12.0,,181.0,,,,-24.0,-68.5,20.7,-65.5,-15.0,,55.0,,False,,,,False,False,False,False,False,,False
18137,77,144.0,,186.0,,,,58.0,22.3,92.3,52.1,73.7,,182.0,67.0,,109.0,,,,-19.0,-54.7,15.3,-24.9,-3.3,,105.0,,False,,,,True,True,True,True,True,,False
18139,56,150.0,,359.0,,,,27.0,25.9,76.1,37.6,64.9,,658.0,94.0,,303.0,,,,-29.0,-30.1,20.1,-18.4,8.9,,602.0,,False,,,,True,True,True,True,True,,False
18141,2680,2310.0,2056.6,2097.0,,,,1170.0,1212.9,494.9,3096.1,2578.5,,2057.0,-370.0,-623.4,-583.0,,,,-1510.0,-1467.1,-2185.1,416.1,-101.5,,-623.0,False,False,,,,False,False,False,False,True,,False
18143,90,126.0,,121.0,,,,56.0,33.7,46.2,106.4,105.9,,90.0,36.0,,31.0,,,,-34.0,-56.3,-43.8,16.4,15.9,,0.0,,True,,,,True,False,False,True,True,,True
18145,94,204.0,,379.0,,,,144.0,19.1,160.8,53.9,137.2,,254.0,110.0,,285.0,,,,50.0,-74.9,66.8,-40.1,43.2,,160.0,,False,,,,True,True,True,True,True,,False
18147,112,54.0,,70.0,,,,41.0,3.3,92.9,0.0,84.2,,64.0,-58.0,,-42.0,,,,-71.0,-108.7,-19.1,-112.0,-27.8,,-48.0,,True,,,,False,False,True,False,True,,True
18149,85,42.0,,28.0,,,,131.0,9.2,72.8,28.9,22.3,,27.0,-43.0,,-57.0,,,,46.0,-75.8,-12.2,-56.1,-62.7,,-58.0,,False,,,,False,False,True,False,False,,False
18151,164,90.0,,67.0,,,,132.0,15.8,78.4,51.3,94.7,,48.0,-74.0,,-97.0,,,,-32.0,-148.2,-85.6,-112.7,-69.3,,-116.0,,False,,,,True,False,False,False,True,,False
18153,164,360.0,,905.0,,,,87.0,125.9,153.6,100.9,314.0,,571.0,196.0,,741.0,,,,-77.0,-38.1,-10.4,-63.1,150.0,,407.0,,False,,,,True,True,True,True,True,,False
18155,11,78.0,,188.0,,,,12.0,3.8,,4.4,30.7,,181.0,67.0,,177.0,,,,1.0,-7.2,,-6.6,19.7,,170.0,,False,,,,True,True,,True,True,,False
18157,1167,762.0,1135.4,903.0,,,,696.0,489.6,421.2,767.1,611.8,,787.0,-405.0,-31.6,-264.0,,,,-471.0,-677.4,-745.8,-399.9,-555.2,,-380.0,True,True,,,,False,False,False,True,False,,True
18159,67,138.0,,94.0,,,,55.0,24.2,122.9,6.1,159.8,,83.0,71.0,,27.0,,,,-12.0,-42.8,55.9,-60.9,92.8,,16.0,,True,,,,True,True,True,True,False,,True
18161,37,18.0,,0.0,,,,6.0,8.1,,1.0,17.0,,18.0,-19.0,,-37.0,,,,-31.0,-28.9,,-36.0,-20.0,,-19.0,,False,,,,False,False,,False,False,,False
18163,1503,1362.0,4019.7,1037.0,,,,1016.0,1041.3,512.1,1055.5,1360.7,,856.0,-141.0,2516.7,-466.0,,,,-487.0,-461.7,-990.9,-447.5,-142.3,,-647.0,False,False,,,,False,False,False,False,False,,False
18165,67,90.0,,231.0,,,,65.0,6.1,,2.7,105.2,,63.0,23.0,,164.0,,,,-2.0,-60.9,,-64.3,38.2,,-4.0,,False,,,,True,False,,False,False,,True
18167,1023,1158.0,682.8,1287.0,,,,560.0,416.0,694.6,782.9,1689.5,,1613.0,135.0,-340.2,264.0,,,,-463.0,-607.0,-328.4,-240.1,666.5,,590.0,False,False,,,,False,False,False,False,False,,False
18169,88,102.0,,146.0,,,,118.0,10.0,146.0,55.6,122.2,,101.0,14.0,,58.0,,,,30.0,-78.0,58.0,-32.4,34.2,,13.0,,False,,,,False,False,False,False,False,,True
18171,16,18.0,,0.0,,,,26.0,3.9,,23.2,21.4,,65.0,2.0,,-16.0,,,,10.0,-12.1,,7.2,5.4,,49.0,,False,,,,False,False,,False,False,,False
18173,708,258.0,665.3,112.0,,,,252.0,215.4,186.6,140.1,193.9,,170.0,-450.0,-42.7,-596.0,,,,-456.0,-492.6,-521.4,-567.9,-514.1,,-538.0,True,False,,,,False,False,False,False,False,,False
18175,108,120.0,,167.0,,,,45.0,39.8,93.4,19.8,48.4,,175.0,12.0,,59.0,,,,-63.0,-68.2,-14.6,-88.2,-59.6,,67.0,,False,,,,False,False,False,False,False,,False
18177,337,336.0,441.4,289.0,,,,257.0,186.6,215.7,240.6,306.0,,332.0,-1.0,104.4,-48.0,,,,-80.0,-150.4,-121.3,-96.4,-31.0,,-5.0,False,False,,,,False,False,False,False,False,,False
18179,83,108.0,,181.0,,,,102.0,13.0,163.1,38.8,259.7,,103.0,25.0,,98.0,,,,19.0,-70.0,80.1,-44.2,176.7,,20.0,,False,,,,True,False,False,False,False,,True
18181,100,156.0,,210.0,,,,112.0,29.3,41.1,815.7,152.4,,163.0,56.0,,110.0,,,,12.0,-70.7,-58.9,715.7,52.4,,63.0,,False,,,,True,False,False,False,True,,False
18183,115,78.0,,57.0,,,,128.0,40.0,22.9,0.0,75.6,,58.0,-37.0,,-58.0,,,,13.0,-75.0,-92.1,-115.0,-39.4,,-57.0,,False,,,,True,False,False,False,False,,False
19001,38,54.0,,0.0,,,,12.0,3.1,,18.2,36.8,,43.0,16.0,,-38.0,,,,-26.0,-34.9,,-19.8,-1.2,,5.0,,False,,,,False,False,,False,True,,True
19003,16,6.0,,0.0,,,,6.0,0.8,,3.4,,,1.0,-10.0,,-16.0,,,,-10.0,-15.2,,-12.6,,,-15.0,,False,,,,False,False,,False,,,False
19005,100,54.0,,,,,,48.0,5.0,38.0,25.6,61.1,,91.0,-46.0,,,,,,-52.0,-95.0,-62.0,-74.4,-38.9,,-9.0,,,,,,False,False,False,False,True,,True
19007,82,36.0,,42.0,,,,56.0,5.7,,22.4,54.0,,20.0,-46.0,,-40.0,,,,-26.0,-76.3,,-59.6,-28.0,,-62.0,,True,,,,True,False,,False,True,,False
19009,56,12.0,,0.0,,,,6.0,1.3,,0.3,18.1,,31.0,-44.0,,-56.0,,,,-50.0,-54.7,,-55.7,-37.9,,-25.0,,False,,,,False,False,,False,True,,True
19011,139,96.0,,89.0,,,,84.0,15.3,232.2,31.5,211.9,,63.0,-43.0,,-50.0,,,,-55.0,-123.7,93.2,-107.5,72.9,,-76.0,,False,,,,False,False,False,False,False,,False
19013,1205,1014.0,1060.8,1558.0,,,,568.0,857.9,245.9,827.9,918.7,,746.0,-191.0,-144.2,353.0,,,,-637.0,-347.1,-959.1,-377.1,-286.3,,-459.0,True,False,,,,False,False,False,False,False,,False
19015,218,204.0,,324.0,,,,63.0,53.6,115.6,81.5,167.5,,371.0,-14.0,,106.0,,,,-155.0,-164.4,-102.4,-136.5,-50.5,,153.0,,False,,,,False,False,False,False,False,,False
19017,250,114.0,,129.0,,,,78.0,12.0,107.5,14.1,102.7,,167.0,-136.0,,-121.0,,,,-172.0,-238.0,-142.5,-235.9,-147.3,,-83.0,,True,,,,False,False,False,False,False,,True
19019,136,114.0,,127.0,,,,67.0,31.1,72.3,106.8,71.9,,105.0,-22.0,,-9.0,,,,-69.0,-104.9,-63.7,-29.2,-64.1,,-31.0,,True,,,,False,False,False,False,False,,False
19021,189,66.0,,,,,,101.0,5.9,3.2,64.5,77.1,,0.0,-123.0,,,,,,-88.0,-183.1,-185.8,-124.5,-111.9,,-189.0,,,,,,True,False,False,False,True,,False
19023,133,102.0,,84.0,,,,27.0,74.2,77.6,43.7,114.7,,115.0,-31.0,,-49.0,,,,-106.0,-58.8,-55.4,-89.3,-18.3,,-18.0,,False,,,,False,False,False,False,True,,True
19025,120,60.0,,51.0,,,,14.0,29.5,,5.3,55.8,,127.0,-60.0,,-69.0,,,,-106.0,-90.5,,-114.7,-64.2,,7.0,,False,,,,False,False,,False,False,,True
19027,440,204.0,,139.0,,,,58.0,132.6,92.3,79.4,202.3,,354.0,-236.0,,-301.0,,,,-382.0,-307.4,-347.7,-360.6,-237.7,,-86.0,,False,,,,False,False,False,False,False,,True
19029,96,138.0,,231.0,,,,25.0,8.3,,14.0,134.4,,173.0,42.0,,135.0,,,,-71.0,-87.7,,-82.0,38.4,,77.0,,False,,,,False,False,,False,True,,False
19031,109,36.0,,55.0,,,,48.0,1.5,95.8,29.8,27.8,,21.0,-73.0,,-54.0,,,,-61.0,-107.5,-13.2,-79.2,-81.2,,-88.0,,True,,,,True,False,True,False,False,,False
19033,401,414.0,,358.0,,,,187.0,232.5,95.5,149.3,281.1,,474.0,13.0,,-43.0,,,,-214.0,-168.5,-305.5,-251.7,-119.9,,73.0,,False,,,,False,False,False,False,False,,False
19035,165,24.0,,18.0,,,,33.0,2.7,35.5,18.0,37.3,,38.0,-141.0,,-147.0,,,,-132.0,-162.3,-129.5,-147.0,-127.7,,-127.0,,False,,,,True,False,True,False,True,,True
19037,185,72.0,,106.0,,,,30.0,13.5,,11.5,72.3,,164.0,-113.0,,-79.0,,,,-155.0,-171.5,,-173.5,-112.7,,-21.0,,True,,,,False,False,,False,True,,True
19039,57,72.0,,84.0,,,,34.0,6.6,0.0,46.6,74.2,,25.0,15.0,,27.0,,,,-23.0,-50.4,-57.0,-10.4,17.2,,-32.0,,False,,,,False,False,False,True,False,,False
19041,115,156.0,,267.0,,,,50.0,23.5,43.6,92.3,116.9,,196.0,41.0,,152.0,,,,-65.0,-91.5,-71.4,-22.7,1.9,,81.0,,False,,,,False,False,False,True,True,,False
19043,135,84.0,,74.0,,,,54.0,21.3,35.0,57.3,58.6,,71.0,-51.0,,-61.0,,,,-81.0,-113.7,-100.0,-77.7,-76.4,,-64.0,,False,,,,False,False,False,False,False,,False
19045,648,564.0,,630.0,,,,125.0,868.6,323.8,1185.4,854.1,,503.0,-84.0,,-18.0,,,,-523.0,220.6,-324.2,537.4,206.1,,-145.0,,True,,,,False,False,False,False,False,,False
19047,336,156.0,,139.0,,,,70.0,36.8,3.5,38.7,96.0,,44.0,-180.0,,-197.0,,,,-266.0,-299.2,-332.5,-297.3,-240.0,,-292.0,,False,,,,False,False,False,False,False,,False
