,actual_cases,COVIDhub-baseline,CDDEP-SEIR_MCMC,Columbia_UNC-SurvCon,CovidAnalytics-DELPHI,IHME-CurveFit,LANL-GrowthRate,UCLA-SuEIR,USACE-ERDC_SEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-CDDEP-SEIR_MCMC,error-Columbia_UNC-SurvCon,error-CovidAnalytics-DELPHI,error-IHME-CurveFit,error-LANL-GrowthRate,error-UCLA-SuEIR,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,beat_baseline-CDDEP-SEIR_MCMC,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IHME-CurveFit,beat_baseline-LANL-GrowthRate,beat_baseline-UCLA-SuEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha
17181,193,175.0,,,,,15.2,379.1,,155.0,-18.0,,,,,-177.8,186.1,,-38.0,,,,,False,False,,False
17183,513,238.0,287.6,,,,78.7,629.1,,164.0,-275.0,-225.4,,,,-434.3,116.1,,-349.0,True,,,,False,True,,False
17185,123,28.0,,,,,25.5,29.2,,96.0,-95.0,,,,,-97.5,-93.8,,-27.0,,,,,False,True,,True
17187,140,70.0,,,,,4.2,18.9,,51.0,-70.0,,,,,-135.8,-121.1,,-89.0,,,,,False,False,,False
17189,144,70.0,,,,,10.4,15.7,,44.0,-74.0,,,,,-133.6,-128.3,,-100.0,,,,,False,False,,False
17191,218,126.0,,,,,25.8,111.0,,308.0,-92.0,,,,,-192.2,-107.0,,90.0,,,,,False,False,,True
17193,102,70.0,,,,,64.1,,,34.0,-32.0,,,,,-37.9,,,-68.0,,,,,False,,,False
17195,387,308.0,212.5,,,,60.3,401.3,,265.0,-79.0,-174.5,,,,-326.7,14.3,,-122.0,False,,,,False,True,,False
17197,4766,4543.0,2023.6,,,,2078.6,5866.4,,5671.0,-223.0,-2742.4,,,,-2687.4,1100.4,,905.0,False,,,,False,False,,False
17199,1002,511.0,677.9,,,,172.7,732.6,,628.0,-491.0,-324.1,,,,-829.3,-269.4,,-374.0,True,,,,False,True,,True
17201,2076,763.0,488.2,,,,135.6,845.4,,502.0,-1313.0,-1587.8,,,,-1940.4,-1230.6,,-1574.0,False,,,,False,True,,False
17203,276,385.0,,,,,1142.9,336.7,,1149.0,109.0,,,,,866.9,60.7,,873.0,,,,,False,True,,False
18001,170,119.0,,,,,157.1,116.0,,284.0,-51.0,,,,,-12.9,-54.0,,114.0,,,,,True,False,,False
18003,2409,1946.0,2411.3,,,,1429.2,1841.9,,2355.0,-463.0,2.3,,,,-979.8,-567.1,,-54.0,True,,,,False,False,,True
18005,390,371.0,185.3,,,,132.3,471.9,,364.0,-19.0,-204.7,,,,-257.7,81.9,,-26.0,False,,,,False,False,,False
18007,28,7.0,,,,,15.6,7.5,,17.0,-21.0,,,,,-12.4,-20.5,,-11.0,,,,,True,True,,True
18009,57,84.0,,,,,8.2,50.9,,197.0,27.0,,,,,-48.8,-6.1,,140.0,,,,,False,True,,False
18011,309,322.0,286.5,,,,119.9,587.1,,306.0,13.0,-22.5,,,,-189.1,278.1,,-3.0,False,,,,False,False,,True
18013,32,28.0,,,,,7.4,30.1,,12.0,-4.0,,,,,-24.6,-1.9,,-20.0,,,,,False,True,,False
18015,92,322.0,,,,,452.2,138.2,,708.0,230.0,,,,,360.2,46.2,,616.0,,,,,False,True,,False
18017,168,301.0,,,,,164.0,148.4,,48.0,133.0,,,,,-4.0,-19.6,,-120.0,,,,,True,True,,True
18019,1025,980.0,439.3,,,,534.9,1432.6,,1095.0,-45.0,-585.7,,,,-490.1,407.6,,70.0,False,,,,False,False,,False
18021,185,154.0,,,,,50.6,166.0,,269.0,-31.0,,,,,-134.4,-19.0,,84.0,,,,,False,True,,False
18023,173,567.0,,,,,181.3,272.2,,905.0,394.0,,,,,8.3,99.2,,732.0,,,,,True,True,,False
18025,64,21.0,,,,,6.5,13.8,,24.0,-43.0,,,,,-57.5,-50.2,,-40.0,,,,,False,False,,True
18027,408,168.0,,,,,44.7,534.9,,142.0,-240.0,,,,,-363.3,126.9,,-266.0,,,,,False,True,,False
18029,168,280.0,,,,,99.3,217.1,,154.0,112.0,,,,,-68.7,49.1,,-14.0,,,,,True,True,,True
18031,123,175.0,,,,,20.6,423.0,,227.0,52.0,,,,,-102.4,300.0,,104.0,,,,,False,False,,False
18033,253,112.0,,,,,10.8,138.9,,85.0,-141.0,,,,,-242.2,-114.1,,-168.0,,,,,False,True,,False
18035,1246,602.0,199.4,,,,267.8,761.6,,1195.0,-644.0,-1046.6,,,,-978.2,-484.4,,-51.0,False,,,,False,True,,True
18037,292,497.0,,,,,104.3,216.2,,211.0,205.0,,,,,-187.7,-75.8,,-81.0,,,,,True,True,,True
18039,1822,1645.0,629.5,,,,938.7,1109.3,,795.0,-177.0,-1192.5,,,,-883.3,-712.7,,-1027.0,False,,,,False,False,,False
18041,236,252.0,,,,,45.7,319.7,,417.0,16.0,,,,,-190.3,83.7,,181.0,,,,,False,False,,False
18043,598,749.0,330.3,,,,312.5,986.3,,611.0,151.0,-267.7,,,,-285.5,388.3,,13.0,False,,,,False,False,,True
18045,55,77.0,,,,,11.5,37.7,,76.0,22.0,,,,,-43.5,-17.3,,21.0,,,,,False,True,,True
18047,68,308.0,,,,,20.6,287.0,,320.0,240.0,,,,,-47.4,219.0,,252.0,,,,,True,True,,False
18049,78,175.0,,,,,53.8,190.3,,167.0,97.0,,,,,-24.2,112.3,,89.0,,,,,True,False,,True
18051,301,175.0,,,,,137.1,202.6,,97.0,-126.0,,,,,-163.9,-98.4,,-204.0,,,,,False,True,,False
18053,399,210.0,429.2,,,,23.2,515.9,,85.0,-189.0,30.2,,,,-375.8,116.9,,-314.0,True,,,,False,True,,False
18055,183,77.0,,,,,13.8,97.2,,61.0,-106.0,,,,,-169.2,-85.8,,-122.0,,,,,False,True,,False
18057,2181,1939.0,798.1,,,,2132.3,2028.6,,1696.0,-242.0,-1382.9,,,,-48.7,-152.4,,-485.0,False,,,,True,True,,False
18059,290,273.0,171.8,,,,64.8,148.1,,184.0,-17.0,-118.2,,,,-225.2,-141.9,,-106.0,False,,,,False,False,,False
18061,256,315.0,,,,,162.2,600.2,,637.0,59.0,,,,,-93.8,344.2,,381.0,,,,,False,False,,False
18063,870,980.0,132.8,,,,571.7,1358.6,,1504.0,110.0,-737.2,,,,-298.3,488.6,,634.0,False,,,,False,False,,False
18065,427,126.0,,,,,66.5,76.0,,86.0,-301.0,,,,,-360.5,-351.0,,-341.0,,,,,False,False,,False
18067,429,602.0,349.9,,,,193.2,849.8,,598.0,173.0,-79.1,,,,-235.8,420.8,,169.0,True,,,,False,False,,True
18069,119,28.0,,,,,2.7,16.3,,5.0,-91.0,,,,,-116.3,-102.7,,-114.0,,,,,False,False,,False
18071,174,266.0,,,,,93.5,134.8,,391.0,92.0,,,,,-80.5,-39.2,,217.0,,,,,True,True,,False
18073,162,245.0,,,,,82.5,276.8,,268.0,83.0,,,,,-79.5,114.8,,106.0,,,,,True,False,,False
18075,94,70.0,,,,,16.8,35.2,,440.0,-24.0,,,,,-77.2,-58.8,,346.0,,,,,False,False,,False
18077,89,84.0,,,,,11.5,58.1,,23.0,-5.0,,,,,-77.5,-30.9,,-66.0,,,,,False,False,,False
18079,91,112.0,,,,,42.1,33.0,,261.0,21.0,,,,,-48.9,-58.0,,170.0,,,,,False,False,,False
18081,592,770.0,225.5,,,,404.2,782.8,,695.0,178.0,-366.5,,,,-187.8,190.8,,103.0,False,,,,False,False,,True
18083,366,175.0,,,,,107.4,257.3,,179.0,-191.0,,,,,-258.6,-108.7,,-187.0,,,,,False,True,,True
18085,371,231.0,370.1,,,,38.9,68.3,,125.0,-140.0,-0.9,,,,-332.1,-302.7,,-246.0,True,,,,False,False,,False
18087,81,126.0,,,,,14.7,64.2,,91.0,45.0,,,,,-66.3,-16.8,,10.0,,,,,False,True,,True
18089,3070,3514.0,3330.7,,,,2507.8,2870.5,,2346.0,444.0,260.7,,,,-562.2,-199.5,,-724.0,True,,,,False,True,,False
18091,550,532.0,360.6,,,,164.8,471.0,,674.0,-18.0,-189.4,,,,-385.2,-79.0,,124.0,False,,,,False,False,,False
18093,170,119.0,,,,,31.1,116.5,,148.0,-51.0,,,,,-138.9,-53.5,,-22.0,,,,,False,False,,True
18095,727,770.0,33.9,,,,357.8,950.1,,2093.0,43.0,-693.1,,,,-369.2,223.1,,1366.0,False,,,,False,False,,False
18097,5621,7861.0,1045.4,,,,3473.8,7166.6,,7262.0,2240.0,-4575.6,,,,-2147.2,1545.6,,1641.0,False,,,,True,True,,True
18099,234,245.0,,,,,60.2,149.6,,97.0,11.0,,,,,-173.8,-84.4,,-137.0,,,,,False,False,,False
18101,129,7.0,,,,,19.1,36.9,,2.0,-122.0,,,,,-109.9,-92.1,,-127.0,,,,,True,True,,False
18103,167,91.0,,,,,28.9,108.1,,99.0,-76.0,,,,,-138.1,-58.9,,-68.0,,,,,False,True,,True
18105,1852,504.0,864.5,,,,434.5,406.7,,258.0,-1348.0,-987.5,,,,-1417.5,-1445.3,,-1594.0,True,,,,False,False,,False
18107,159,112.0,,,,,13.7,74.5,,185.0,-47.0,,,,,-145.3,-84.5,,26.0,,,,,False,False,,True
18109,262,385.0,80.0,,,,171.6,551.6,,758.0,123.0,-182.0,,,,-90.4,289.6,,496.0,False,,,,True,False,,False
18111,55,63.0,,,,,9.0,34.9,,191.0,8.0,,,,,-46.0,-20.1,,136.0,,,,,False,False,,False
18113,254,273.0,,,,,75.2,191.5,,204.0,19.0,,,,,-178.8,-62.5,,-50.0,,,,,False,False,,False
18115,18,126.0,,,,,9.0,103.3,,132.0,108.0,,,,,-9.0,85.3,,114.0,,,,,True,True,,False
18117,119,56.0,,,,,7.7,65.8,,55.0,-63.0,,,,,-111.3,-53.2,,-64.0,,,,,False,True,,False
18119,82,63.0,,,,,12.9,173.8,,101.0,-19.0,,,,,-69.1,91.8,,19.0,,,,,False,False,,False
18121,54,35.0,,,,,4.3,9.3,,37.0,-19.0,,,,,-49.7,-44.7,,-17.0,,,,,False,False,,True
18123,42,98.0,,,,,17.4,62.5,,165.0,56.0,,,,,-24.6,20.5,,123.0,,,,,True,True,,False
18125,99,84.0,,,,,4.6,,,156.0,-15.0,,,,,-94.4,,,57.0,,,,,False,,,False
18127,860,1050.0,600.9,,,,703.8,707.3,,1018.0,190.0,-259.1,,,,-156.2,-152.7,,158.0,False,,,,True,True,,True
18129,165,112.0,,,,,28.7,151.2,,26.0,-53.0,,,,,-136.3,-13.8,,-139.0,,,,,False,True,,False
18131,41,56.0,,,,,11.2,26.8,,346.0,15.0,,,,,-29.8,-14.2,,305.0,,,,,False,True,,False
18133,294,483.0,,,,,95.0,400.7,,1126.0,189.0,,,,,-199.0,106.7,,832.0,,,,,False,True,,False
18135,100,112.0,,,,,32.5,64.2,,201.0,12.0,,,,,-67.5,-35.8,,101.0,,,,,False,False,,False
18137,101,91.0,,,,,56.3,60.6,,42.0,-10.0,,,,,-44.7,-40.4,,-59.0,,,,,False,False,,False
18139,81,0.0,,,,,11.4,2.7,,0.0,-81.0,,,,,-69.6,-78.3,,-81.0,,,,,True,True,,False
18141,3065,2464.0,1393.4,,,,1640.4,2730.1,,2120.0,-601.0,-1671.6,,,,-1424.6,-334.9,,-945.0,False,,,,False,True,,False
18143,111,154.0,,,,,33.9,143.3,,88.0,43.0,,,,,-77.1,32.3,,-23.0,,,,,False,True,,True
18145,128,266.0,,,,,49.1,190.3,,609.0,138.0,,,,,-78.9,62.3,,481.0,,,,,True,True,,False
18147,121,147.0,,,,,49.3,189.3,,80.0,26.0,,,,,-71.7,68.3,,-41.0,,,,,False,False,,False
18149,92,112.0,,,,,28.1,83.9,,98.0,20.0,,,,,-63.9,-8.1,,6.0,,,,,False,True,,True
18151,179,84.0,,,,,15.7,70.9,,32.0,-95.0,,,,,-163.3,-108.1,,-147.0,,,,,False,False,,False
18153,224,273.0,,,,,228.9,127.5,,801.0,49.0,,,,,4.9,-96.5,,577.0,,,,,True,False,,False
18155,24,21.0,,,,,9.7,5.2,,72.0,-3.0,,,,,-14.3,-18.8,,48.0,,,,,False,False,,False
18157,1294,728.0,931.8,,,,508.4,619.7,,903.0,-566.0,-362.2,,,,-785.6,-674.3,,-391.0,True,,,,False,False,,True
18159,90,245.0,,,,,38.4,234.0,,193.0,155.0,,,,,-51.6,144.0,,103.0,,,,,True,True,,True
18161,40,77.0,,,,,5.2,70.5,,106.0,37.0,,,,,-34.8,30.5,,66.0,,,,,True,True,,False
18163,1730,1701.0,5143.2,,,,1730.6,1515.0,,1055.0,-29.0,3413.2,,,,0.6,-215.0,,-675.0,False,,,,True,False,,False
18165,82,105.0,,,,,7.5,49.0,,371.0,23.0,,,,,-74.5,-33.0,,289.0,,,,,False,False,,False
18167,1216,1155.0,463.3,,,,485.3,1396.0,,2347.0,-61.0,-752.7,,,,-730.7,180.0,,1131.0,False,,,,False,False,,False
18169,105,70.0,,,,,8.8,81.0,,66.0,-35.0,,,,,-96.2,-24.0,,-39.0,,,,,False,True,,False
18171,19,21.0,,,,,1.8,10.3,,36.0,2.0,,,,,-17.2,-8.7,,17.0,,,,,False,False,,False
18173,751,637.0,546.7,,,,383.5,542.5,,550.0,-114.0,-204.3,,,,-367.5,-208.5,,-201.0,False,,,,False,False,,False
18175,128,224.0,,,,,72.7,286.6,,491.0,96.0,,,,,-55.3,158.6,,363.0,,,,,True,False,,False
18177,393,385.0,397.8,,,,213.6,325.9,,362.0,-8.0,4.8,,,,-179.4,-67.1,,-31.0,True,,,,False,False,,False
18179,101,231.0,,,,,211.9,357.7,,445.0,130.0,,,,,110.9,256.7,,344.0,,,,,True,False,,False
18181,126,119.0,,,,,36.0,49.3,,81.0,-7.0,,,,,-90.0,-76.7,,-45.0,,,,,False,False,,False
18183,128,49.0,,,,,5.3,23.0,,21.0,-79.0,,,,,-122.7,-105.0,,-107.0,,,,,False,False,,False
19001,47,63.0,,,,,3.5,39.9,,299.0,16.0,,,,,-43.5,-7.1,,252.0,,,,,False,True,,False
19003,17,0.0,,,,,0.8,,,1.0,-17.0,,,,,-16.2,,,-16.0,,,,,True,,,True
19005,109,35.0,,,,,2.4,56.8,,51.0,-74.0,,,,,-106.6,-52.2,,-58.0,,,,,False,True,,True
19007,88,56.0,,,,,4.4,98.6,,90.0,-32.0,,,,,-83.6,10.6,,2.0,,,,,False,True,,True
19009,58,0.0,,,,,1.4,8.1,,0.0,-58.0,,,,,-56.6,-49.9,,-58.0,,,,,True,True,,False
19011,155,112.0,,,,,12.5,56.6,,130.0,-43.0,,,,,-142.5,-98.4,,-25.0,,,,,False,False,,True
19013,1374,917.0,564.2,,,,683.4,826.1,,472.0,-457.0,-809.8,,,,-690.6,-547.9,,-902.0,False,,,,False,False,,False
19015,252,189.0,,,,,45.5,166.4,,196.0,-63.0,,,,,-206.5,-85.6,,-56.0,,,,,False,False,,True
19017,269,259.0,,,,,61.9,969.6,,347.0,-10.0,,,,,-207.1,700.6,,78.0,,,,,False,False,,False
19019,155,133.0,,,,,14.8,100.3,,119.0,-22.0,,,,,-140.2,-54.7,,-36.0,,,,,False,False,,False
19021,200,56.0,,,,,7.2,57.4,,0.0,-144.0,,,,,-192.8,-142.6,,-200.0,,,,,False,True,,False
19023,150,70.0,,,,,18.7,134.1,,28.0,-80.0,,,,,-131.3,-15.9,,-122.0,,,,,False,True,,False
19025,130,14.0,,,,,30.5,46.5,,3.0,-116.0,,,,,-99.5,-83.5,,-127.0,,,,,True,True,,False
19027,474,84.0,,,,,27.3,105.5,,24.0,-390.0,,,,,-446.7,-368.5,,-450.0,,,,,False,True,,False
19029,119,196.0,,,,,9.4,115.1,,414.0,77.0,,,,,-109.6,-3.9,,295.0,,,,,False,True,,False
19031,115,84.0,,,,,10.7,53.0,,128.0,-31.0,,,,,-104.3,-62.0,,13.0,,,,,False,False,,True
19033,470,217.0,,,,,280.4,68.3,,58.0,-253.0,,,,,-189.6,-401.7,,-412.0,,,,,True,False,,False
19035,169,77.0,,,,,19.0,69.6,,212.0,-92.0,,,,,-150.0,-99.4,,43.0,,,,,False,False,,True
19037,197,28.0,,,,,10.6,29.3,,24.0,-169.0,,,,,-186.4,-167.7,,-173.0,,,,,False,True,,False
19039,69,147.0,,,,,15.0,115.4,,121.0,78.0,,,,,-54.0,46.4,,52.0,,,,,True,True,,True
19041,142,112.0,,,,,33.4,121.1,,373.0,-30.0,,,,,-108.6,-20.9,,231.0,,,,,False,True,,False
19043,149,63.0,,,,,5.1,18.7,,22.0,-86.0,,,,,-143.9,-130.3,,-127.0,,,,,False,False,,False
19045,742,525.0,,,,,889.4,253.9,,449.0,-217.0,,,,,147.4,-488.1,,-293.0,,,,,True,False,,False
19047,362,119.0,,,,,7.1,75.3,,55.0,-243.0,,,,,-354.9,-286.7,,-307.0,,,,,False,False,,False
19049,907,777.0,244.0,,,,364.5,654.8,,652.0,-130.0,-663.0,,,,-542.5,-252.2,,-255.0,False,,,,False,False,,False
19051,81,42.0,,,,,7.2,31.5,,170.0,-39.0,,,,,-73.8,-49.5,,89.0,,,,,False,False,,False
19053,44,14.0,,,,,3.3,10.3,,6.0,-30.0,,,,,-40.7,-33.7,,-38.0,,,,,False,False,,False
19055,291,168.0,,,,,164.3,153.0,,317.0,-123.0,,,,,-126.7,-138.0,,26.0,,,,,False,False,,True
19057,616,217.0,,,,,89.8,147.4,,390.0,-399.0,,,,,-526.2,-468.6,,-226.0,,,,,False,False,,True
19059,219,42.0,,,,,3.1,116.3,,16.0,-177.0,,,,,-215.9,-102.7,,-203.0,,,,,False,True,,False
19061,1592,1134.0,2138.6,,,,912.6,1075.9,,700.0,-458.0,546.6,,,,-679.4,-516.1,,-892.0,False,,,,False,False,,False
19063,75,91.0,,,,,29.5,237.6,,22.0,16.0,,,,,-45.5,162.6,,-53.0,,,,,False,False,,False
19065,141,35.0,,,,,8.0,21.5,,14.0,-106.0,,,,,-133.0,-119.5,,-127.0,,,,,False,False,,False
19067,210,259.0,,,,,159.0,140.7,,410.0,49.0,,,,,-51.0,-69.3,,200.0,,,,,False,False,,False
19069,115,189.0,,,,,56.1,186.8,,63.0,74.0,,,,,-58.9,71.8,,-52.0,,,,,True,True,,True
19071,79,49.0,,,,,4.3,,,37.0,-30.0,,,,,-74.7,,,-42.0,,,,,False,,,False
19073,64,21.0,,,,,8.8,24.6,,119.0,-43.0,,,,,-55.2,-39.4,,55.0,,,,,False,True,,False
19075,141,49.0,,,,,10.3,32.5,,23.0,-92.0,,,,,-130.7,-108.5,,-118.0,,,,,False,False,,False
19077,114,42.0,,,,,3.2,61.1,,13.0,-72.0,,,,,-110.8,-52.9,,-101.0,,,,,False,True,,False
19079,102,56.0,,,,,2.6,70.7,,17.0,-46.0,,,,,-99.4,-31.3,,-85.0,,,,,False,True,,False
19081,95,56.0,,,,,3.7,245.0,,16.0,-39.0,,,,,-91.3,150.0,,-79.0,,,,,False,False,,False
19083,123,112.0,,,,,46.4,25.6,,36.0,-11.0,,,,,-76.6,-97.4,,-87.0,,,,,False,False,,False
19085,117,77.0,,,,,16.3,74.5,,91.0,-40.0,,,,,-100.7,-42.5,,-26.0,,,,,False,False,,True
19087,623,63.0,,,,,15.6,61.1,,133.0,-560.0,,,,,-607.4,-561.9,,-490.0,,,,,False,False,,True
19089,139,7.0,,,,,4.6,22.6,,4.0,-132.0,,,,,-134.4,-116.4,,-135.0,,,,,False,True,,False
19091,123,133.0,,,,,81.9,87.2,,156.0,10.0,,,,,-41.1,-35.8,,33.0,,,,,False,False,,False
19093,95,0.0,,,,,1.5,10.6,,0.0,-95.0,,,,,-93.5,-84.4,,-95.0,,,,,True,True,,False
19095,115,49.0,,,,,9.1,30.0,,36.0,-66.0,,,,,-105.9,-85.0,,-79.0,,,,,False,False,,False
19097,198,119.0,,,,,32.4,160.7,,62.0,-79.0,,,,,-165.6,-37.3,,-136.0,,,,,False,True,,False
19099,362,161.0,,,,,51.8,106.0,,101.0,-201.0,,,,,-310.2,-256.0,,-261.0,,,,,False,False,,False
19101,56,49.0,,,,,14.2,47.5,,72.0,-7.0,,,,,-41.8,-8.5,,16.0,,,,,False,False,,False
19103,3059,1162.0,1393.9,,,,1058.7,800.4,,960.0,-1897.0,-1665.1,,,,-2000.3,-2258.6,,-2099.0,True,,,,False,False,,False
19105,145,56.0,,,,,5.5,62.1,,17.0,-89.0,,,,,-139.5,-82.9,,-128.0,,,,,False,True,,False
19107,78,28.0,,,,,3.1,31.6,,112.0,-50.0,,,,,-74.9,-46.4,,34.0,,,,,False,True,,True
19109,183,84.0,,,,,16.0,123.4,,246.0,-99.0,,,,,-167.0,-59.6,,63.0,,,,,False,True,,True
19111,524,175.0,,,,,63.5,82.7,,183.0,-349.0,,,,,-460.5,-441.3,,-341.0,,,,,False,False,,True
19113,1662,1988.0,628.0,,,,2634.2,1723.0,,1989.0,326.0,-1034.0,,,,972.2,61.0,,327.0,False,,,,False,True,,False
19115,55,7.0,,,,,0.2,12.0,,0.0,-48.0,,,,,-54.8,-43.0,,-55.0,,,,,False,True,,False
19117,94,147.0,,,,,13.8,91.1,,297.0,53.0,,,,,-80.2,-2.9,,203.0,,,,,False,True,,False
19119,213,98.0,,,,,13.2,206.7,,52.0,-115.0,,,,,-199.8,-6.3,,-161.0,,,,,False,True,,False
19121,103,154.0,,,,,41.1,90.1,,225.0,51.0,,,,,-61.9,-12.9,,122.0,,,,,False,True,,False
19123,273,28.0,,,,,0.6,14.3,,76.0,-245.0,,,,,-272.4,-258.7,,-197.0,,,,,False,False,,True
19125,594,147.0,,,,,59.6,93.8,,85.0,-447.0,,,,,-534.4,-500.2,,-509.0,,,,,False,False,,False
19127,346,399.0,,,,,91.5,261.9,,109.0,53.0,,,,,-254.5,-84.1,,-237.0,,,,,False,False,,False
19129,93,70.0,,,,,16.2,146.4,,75.0,-23.0,,,,,-76.8,53.4,,-18.0,,,,,False,False,,True
19131,116,14.0,,,,,36.0,41.6,,2.0,-102.0,,,,,-80.0,-74.4,,-114.0,,,,,True,True,,False
19133,63,7.0,,,,,22.1,33.5,,2.0,-56.0,,,,,-40.9,-29.5,,-61.0,,,,,True,True,,False
19135,87,42.0,,,,,7.4,38.4,,71.0,-45.0,,,,,-79.6,-48.6,,-16.0,,,,,False,False,,True
19137,41,112.0,,,,,5.1,,,115.0,71.0,,,,,-35.9,,,74.0,,,,,True,,,False
19139,262,217.0,,,,,50.3,181.4,,131.0,-45.0,,,,,-211.7,-80.6,,-131.0,,,,,False,False,,False
19141,238,147.0,,,,,12.8,72.6,,251.0,-91.0,,,,,-225.2,-165.4,,13.0,,,,,False,False,,True
19143,79,42.0,,,,,12.5,17.7,,66.0,-37.0,,,,,-66.5,-61.3,,-13.0,,,,,False,False,,True
19145,80,161.0,,,,,8.0,179.4,,107.0,81.0,,,,,-72.0,99.4,,27.0,,,,,True,False,,True
19147,121,70.0,,,,,34.3,48.9,,43.0,-51.0,,,,,-86.7,-72.1,,-78.0,,,,,False,False,,False
19149,685,119.0,,,,,21.2,77.4,,57.0,-566.0,,,,,-663.8,-607.6,,-628.0,,,,,False,False,,False
19151,73,14.0,,,,,0.6,63.0,,7.0,-59.0,,,,,-72.4,-10.0,,-66.0,,,,,False,True,,False
19153,5649,4298.0,3143.2,,,,1626.3,3848.6,,3133.0,-1351.0,-2505.8,,,,-4022.7,-1800.4,,-2516.0,False,,,,False,False,,False
19155,799,770.0,456.1,,,,181.2,909.9,,666.0,-29.0,-342.9,,,,-617.8,110.9,,-133.0,False,,,,False,False,,False
19157,141,84.0,,,,,13.6,141.6,,112.0,-57.0,,,,,-127.4,0.6,,-29.0,,,,,False,True,,True
19159,31,0.0,,,,,5.0,9.3,,0.0,-31.0,,,,,-26.0,-21.7,,-31.0,,,,,True,True,,False
19161,166,21.0,,,,,17.2,35.8,,40.0,-145.0,,,,,-148.8,-130.2,,-126.0,,,,,False,True,,True
19163,1295,980.0,3130.6,,,,613.4,530.8,,770.0,-315.0,1835.6,,,,-681.6,-764.2,,-525.0,False,,,,False,False,,False
19165,86,189.0,,,,,61.3,96.7,,140.0,103.0,,,,,-24.7,10.7,,54.0,,,,,True,True,,True
19167,993,259.0,,,,,88.2,147.4,,199.0,-734.0,,,,,-904.8,-845.6,,-794.0,,,,,False,False,,False
19169,2284,413.0,684.2,,,,268.2,272.7,,241.0,-1871.0,-1599.8,,,,-2015.8,-2011.3,,-2043.0,True,,,,False,False,,False
19171,164,98.0,,,,,14.8,82.3,,51.0,-66.0,,,,,-149.2,-81.7,,-113.0,,,,,False,False,,False
19173,32,35.0,,,,,8.9,31.5,,15.0,3.0,,,,,-23.1,-0.5,,-17.0,,,,,False,True,,False
19175,60,49.0,,,,,22.3,31.7,,94.0,-11.0,,,,,-37.7,-28.3,,34.0,,,,,False,False,,False
19177,82,28.0,,,,,7.1,52.4,,22.0,-54.0,,,,,-74.9,-29.6,,-60.0,,,,,False,True,,False
19179,452,364.0,,,,,86.5,470.5,,193.0,-88.0,,,,,-365.5,18.5,,-259.0,,,,,False,True,,False
19181,399,280.0,905.2,,,,58.2,136.3,,178.0,-119.0,506.2,,,,-340.8,-262.7,,-221.0,False,,,,False,False,,False
19183,162,91.0,,,,,10.7,71.5,,93.0,-71.0,,,,,-151.3,-90.5,,-69.0,,,,,False,False,,True
19185,78,28.0,,,,,2.6,,,37.0,-50.0,,,,,-75.4,,,-41.0,,,,,False,,,True
19187,671,644.0,,,,,149.4,929.4,,301.0,-27.0,,,,,-521.6,258.4,,-370.0,,,,,False,False,,False
19189,227,56.0,,,,,21.0,32.6,,27.0,-171.0,,,,,-206.0,-194.4,,-200.0,,,,,False,False,,False
19191,240,119.0,,,,,11.8,42.6,,160.0,-121.0,,,,,-228.2,-197.4,,-80.0,,,,,False,False,,True
19193,1731,602.0,828.1,,,,103.4,529.1,,317.0,-1129.0,-902.9,,,,-1627.6,-1201.9,,-1414.0,True,,,,False,False,,False
19195,44,42.0,,,,,19.8,72.0,,18.0,-2.0,,,,,-24.2,28.0,,-26.0,,,,,False,False,,False
19197,126,175.0,,,,,42.9,310.9,,96.0,49.0,,,,,-83.1,184.9,,-30.0,,,,,False,False,,True
20001,35,7.0,,,,,,,,10.0,-28.0,,,,,,,,-25.0,,,,,,,,True
20003,46,14.0,,,,,1.4,,,9.0,-32.0,,,,,-44.6,,,-37.0,,,,,False,,,False
20005,283,21.0,,,,,1.3,7.0,,25.0,-262.0,,,,,-281.7,-276.0,,-258.0,,,,,False,False,,True
20007,5,0.0,,,,,0.0,,,0.0,-5.0,,,,,-5.0,,,-5.0,,,,,True,,,False
20009,375,175.0,,,,,22.9,71.5,,245.0,-200.0,,,,,-352.1,-303.5,,-130.0,,,,,False,False,,True
20011,97,56.0,,,,,6.7,175.6,,30.0,-41.0,,,,,-90.3,78.6,,-67.0,,,,,False,False,,False
20013,89,35.0,,,,,1.2,20.0,,33.0,-54.0,,,,,-87.8,-69.0,,-56.0,,,,,False,False,,False
20015,673,385.0,572.3,,,,114.5,411.8,,564.0,-288.0,-100.7,,,,-558.5,-261.2,,-109.0,True,,,,False,True,,True
20017,41,252.0,,,,,0.7,90.8,,83.0,211.0,,,,,-40.3,49.8,,42.0,,,,,True,True,,True
20019,11,0.0,,,,,0.0,,,0.0,-11.0,,,,,-11.0,,,-11.0,,,,,True,,,False
20021,376,315.0,,,,,316.5,232.2,,330.0,-61.0,,,,,-59.5,-143.8,,-46.0,,,,,True,False,,True
20023,55,7.0,,,,,0.0,,,1.0,-48.0,,,,,-55.0,,,-54.0,,,,,False,,,False
20025,6,7.0,,,,,1.2,9.3,,4.0,1.0,,,,,-4.8,3.3,,-2.0,,,,,False,False,,False
